* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DT 700 Pro X_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:29:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DT 700 Pro X_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: DT 700 Pro X_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 92.875 -11.9190
5.036232 92.871 -11.9190
5.072727 92.867 -11.9190
5.109486 92.862 -11.9189
5.146511 92.857 -11.9190
5.183805 92.851 -11.9199
5.221369 92.844 -11.9210
5.259205 92.837 -11.9219
5.297316 92.829 -11.9230
5.335702 92.821 -11.9244
5.374367 92.813 -11.9260
5.413311 92.805 -11.9275
5.452538 92.797 -11.9290
5.492050 92.789 -11.9305
5.531847 92.781 -11.9320
5.571934 92.772 -11.9334
5.612310 92.764 -11.9350
5.652979 92.756 -11.9370
5.693943 92.748 -11.9390
5.735204 92.740 -11.9406
5.776763 92.732 -11.9420
5.818624 92.724 -11.9434
5.860788 92.715 -11.9450
5.903258 92.707 -11.9469
5.946035 92.699 -11.9490
5.989123 92.691 -11.9511
6.032523 92.683 -11.9530
6.076237 92.675 -11.9545
6.120268 92.667 -11.9560
6.164618 92.659 -11.9579
6.209289 92.650 -11.9600
6.254284 92.642 -11.9620
6.299605 92.634 -11.9640
6.345255 92.626 -11.9661
6.391235 92.618 -11.9680
6.437549 92.610 -11.9695
6.484198 92.602 -11.9710
6.531185 92.593 -11.9729
6.578513 92.585 -11.9750
6.626183 92.577 -11.9770
6.674199 92.569 -11.9790
6.722563 92.561 -11.9810
6.771278 92.553 -11.9830
6.820345 92.545 -11.9849
6.869768 92.537 -11.9870
6.919549 92.529 -11.9895
6.969691 92.520 -11.9920
7.020196 92.512 -11.9941
7.071068 92.504 -11.9960
7.122308 92.496 -11.9980
7.173919 92.488 -12.0000
7.225904 92.479 -12.0019
7.278266 92.471 -12.0040
7.331007 92.463 -12.0065
7.384131 92.455 -12.0090
7.437639 92.447 -12.0110
7.491535 92.439 -12.0130
7.545822 92.431 -12.0155
7.600502 92.423 -12.0180
7.655579 92.414 -12.0200
7.711054 92.406 -12.0220
7.766932 92.398 -12.0245
7.823214 92.390 -12.0270
7.879904 92.382 -12.0290
7.937005 92.374 -12.0310
7.994520 92.366 -12.0334
8.052452 92.358 -12.0360
8.110803 92.350 -12.0385
8.169578 92.341 -12.0410
8.228777 92.333 -12.0436
8.288406 92.325 -12.0460
8.348468 92.317 -12.0480
8.408964 92.309 -12.0500
8.469899 92.300 -12.0524
8.531276 92.292 -12.0550
8.593097 92.284 -12.0575
8.655366 92.276 -12.0600
8.718086 92.268 -12.0625
8.781260 92.260 -12.0650
8.844893 92.252 -12.0675
8.908987 92.244 -12.0700
8.973545 92.236 -12.0725
9.038571 92.227 -12.0750
9.104069 92.219 -12.0775
9.170040 92.211 -12.0800
9.236490 92.203 -12.0825
9.303422 92.195 -12.0850
9.370838 92.187 -12.0874
9.438744 92.179 -12.0900
9.507140 92.171 -12.0930
9.576033 92.162 -12.0960
9.645425 92.154 -12.0986
9.715320 92.146 -12.1010
9.785721 92.138 -12.1035
9.856632 92.130 -12.1060
9.928058 92.122 -12.1084
10.000000 92.114 -12.1110
10.072464 92.106 -12.1140
10.145453 92.097 -12.1170
10.218971 92.089 -12.1196
10.293022 92.081 -12.1220
10.367610 92.073 -12.1245
10.442738 92.065 -12.1270
10.518411 92.057 -12.1294
10.594631 92.048 -12.1320
10.671404 92.040 -12.1350
10.748734 92.032 -12.1380
10.826623 92.024 -12.1406
10.905077 92.016 -12.1430
10.984100 92.008 -12.1455
11.063695 92.000 -12.1480
11.143867 91.992 -12.1504
11.224621 91.983 -12.1530
11.305959 91.975 -12.1560
11.387886 91.967 -12.1590
11.470407 91.959 -12.1616
11.553527 91.951 -12.1640
11.637249 91.943 -12.1665
11.721577 91.935 -12.1690
11.806517 91.927 -12.1715
11.892071 91.918 -12.1740
11.978246 91.910 -12.1765
12.065045 91.902 -12.1790
12.152473 91.894 -12.1815
12.240536 91.886 -12.1840
12.329235 91.878 -12.1865
12.418578 91.870 -12.1890
12.508568 91.862 -12.1916
12.599211 91.853 -12.1940
12.690510 91.845 -12.1960
12.782471 91.837 -12.1980
12.875097 91.829 -12.2005
12.968395 91.821 -12.2030
13.062370 91.813 -12.2051
13.157025 91.804 -12.2070
13.252366 91.796 -12.2090
13.348398 91.788 -12.2110
13.445127 91.780 -12.2130
13.542556 91.772 -12.2150
13.640691 91.764 -12.2171
13.739536 91.756 -12.2190
13.839099 91.748 -12.2206
13.939383 91.739 -12.2220
14.040393 91.731 -12.2235
14.142136 91.723 -12.2250
14.244616 91.715 -12.2265
14.347837 91.707 -12.2280
14.451808 91.699 -12.2296
14.556532 91.691 -12.2310
14.662014 91.683 -12.2321
14.768262 91.674 -12.2330
14.875278 91.666 -12.2341
14.983070 91.658 -12.2350
15.091644 91.650 -12.2356
15.201005 91.642 -12.2360
15.311157 91.634 -12.2366
15.422109 91.625 -12.2370
15.533863 91.617 -12.2371
15.646428 91.609 -12.2370
15.759809 91.601 -12.2366
15.874010 91.593 -12.2360
15.989040 91.585 -12.2356
16.104904 91.577 -12.2350
16.221605 91.569 -12.2337
16.339155 91.560 -12.2320
16.457554 91.552 -12.2301
16.576813 91.544 -12.2280
16.696936 91.536 -12.2257
16.817928 91.528 -12.2230
16.939798 91.520 -12.2198
17.062551 91.512 -12.2160
17.186193 91.504 -12.2118
17.310732 91.495 -12.2070
17.436172 91.487 -12.2018
17.562521 91.479 -12.1960
17.689787 91.471 -12.1894
17.817974 91.463 -12.1820
17.947090 91.455 -12.1740
18.077143 91.447 -12.1650
18.208138 91.439 -12.1547
18.340080 91.430 -12.1430
18.472980 91.422 -12.1299
18.606844 91.414 -12.1150
18.741676 91.406 -12.0983
18.877487 91.398 -12.0790
19.014280 91.390 -12.0568
19.152065 91.382 -12.0310
19.290850 91.374 -12.0013
19.430639 91.367 -11.9670
19.571442 91.360 -11.9273
19.713264 91.354 -11.8831
19.856115 91.350 -11.8344
20.000000 91.347 -11.7831
20.144928 91.346 -11.7291
20.290907 91.347 -11.6770
20.437943 91.352 -11.6297
20.586044 91.359 -11.5930
20.735220 91.368 -11.5736
20.885475 91.379 -11.5720
21.036821 91.390 -11.5915
21.189262 91.401 -11.6309
21.342808 91.411 -11.6908
21.497467 91.420 -11.7699
21.653246 91.426 -11.8689
21.810154 91.429 -11.9818
21.968201 91.428 -12.1050
22.127390 91.422 -12.2329
22.287735 91.412 -12.3596
22.449242 91.398 -12.4819
22.611917 91.381 -12.5970
22.775772 91.360 -12.6969
22.940815 91.333 -12.7806
23.107054 91.300 -12.8240
23.274498 91.257 -12.7981
23.443153 91.216 -12.7162
23.613033 91.190 -12.5706
23.784142 91.173 -12.3952
23.956491 91.166 -12.2227
24.130091 91.165 -12.0482
24.304947 91.166 -11.8715
24.481071 91.175 -11.7112
24.658470 91.200 -11.5803
24.837156 91.231 -11.4961
25.017136 91.263 -11.4907
25.198421 91.291 -11.5329
25.381020 91.307 -11.6064
25.564941 91.317 -11.6979
25.750195 91.327 -11.7890
25.936790 91.333 -11.8789
26.124741 91.334 -11.9609
26.314051 91.333 -12.0339
26.504732 91.334 -12.0926
26.696796 91.335 -12.1429
26.890253 91.337 -12.1884
27.085112 91.340 -12.2319
27.281382 91.346 -12.2758
27.479073 91.353 -12.3249
27.678198 91.362 -12.3850
27.878765 91.372 -12.4569
28.080786 91.383 -12.5422
28.284271 91.394 -12.6438
28.489231 91.406 -12.7656
28.695675 91.418 -12.9068
28.903616 91.427 -13.0691
29.113064 91.433 -13.2487
29.324028 91.437 -13.4457
29.536524 91.436 -13.6498
29.750557 91.427 -13.8554
29.966141 91.413 -14.0488
30.183289 91.395 -14.2118
30.402010 91.375 -14.3518
30.622314 91.359 -14.4664
30.844217 91.344 -14.5669
31.067726 91.332 -14.6624
31.292856 91.322 -14.7569
31.519617 91.315 -14.8550
31.748020 91.309 -14.9639
31.978081 91.305 -15.0922
32.209808 91.301 -15.2388
32.443211 91.294 -15.4099
32.678310 91.283 -15.5918
32.915108 91.264 -15.7786
33.153625 91.240 -15.9528
33.393871 91.208 -16.0921
33.635857 91.175 -16.2039
33.879597 91.147 -16.2846
34.125103 91.121 -16.3439
34.372387 91.095 -16.3894
34.621464 91.072 -16.4240
34.872345 91.054 -16.4501
35.125042 91.038 -16.4770
35.379574 91.026 -16.5174
35.635948 91.013 -16.5629
35.894180 90.996 -16.6109
36.154285 90.979 -16.6569
36.416275 90.964 -16.6948
36.680161 90.951 -16.7280
36.945961 90.938 -16.7570
37.213688 90.927 -16.7850
37.483353 90.919 -16.8110
37.754974 90.915 -16.8469
38.028561 90.916 -16.9048
38.304131 90.919 -16.9839
38.581699 90.919 -17.0889
38.861279 90.917 -17.2148
39.142883 90.915 -17.3587
39.426529 90.911 -17.5188
39.712231 90.904 -17.6951
40.000000 90.893 -17.8787
40.289856 90.877 -18.0595
40.581814 90.860 -18.2417
40.875885 90.844 -18.4264
41.172089 90.827 -18.6137
41.470440 90.804 -18.8059
41.770950 90.779 -18.9987
42.073643 90.754 -19.1890
42.378525 90.726 -19.3757
42.685616 90.694 -19.5588
42.994934 90.659 -19.7328
43.306492 90.621 -19.8899
43.620308 90.583 -20.0368
43.936401 90.547 -20.1773
44.254780 90.510 -20.3118
44.575470 90.469 -20.4434
44.898483 90.425 -20.5668
45.223835 90.381 -20.6776
45.551544 90.335 -20.7769
45.881630 90.288 -20.8669
46.214108 90.238 -20.9399
46.548996 90.183 -20.9899
46.886307 90.127 -21.0130
47.226067 90.072 -21.0005
47.568283 90.018 -20.9611
47.912983 89.968 -20.8973
48.260181 89.921 -20.8191
48.609894 89.879 -20.7369
48.962143 89.840 -20.6521
49.316940 89.801 -20.5706
49.674313 89.762 -20.4891
50.034271 89.724 -20.4084
50.396843 89.686 -20.3221
50.762039 89.644 -20.2274
51.129883 89.601 -20.1152
51.500389 89.556 -19.9743
51.873581 89.513 -19.8093
52.249481 89.474 -19.6213
52.628101 89.438 -19.4094
53.009464 89.402 -19.1715
53.393593 89.371 -18.9125
53.780506 89.348 -18.6302
54.170223 89.334 -18.3425
54.562763 89.330 -18.0651
54.958145 89.332 -17.8014
55.356396 89.338 -17.5574
55.757530 89.350 -17.3413
56.161572 89.372 -17.1603
56.568542 89.399 -17.0232
56.978462 89.428 -16.9429
57.391350 89.457 -16.9140
57.807232 89.485 -16.9357
58.226128 89.512 -17.0068
58.648056 89.537 -17.1279
59.073048 89.557 -17.2937
59.501114 89.570 -17.5029
59.932281 89.577 -17.7445
60.366577 89.576 -18.0085
60.804020 89.567 -18.2915
61.244629 89.553 -18.5897
61.688435 89.530 -18.8955
62.135452 89.497 -19.2008
62.585712 89.456 -19.5025
63.039234 89.410 -19.7989
63.496040 89.354 -20.0765
63.956161 89.284 -20.3257
64.419617 89.205 -20.5327
64.886421 89.120 -20.6805
65.356621 89.029 -20.7699
65.830215 88.934 -20.7979
66.307251 88.834 -20.7582
66.787743 88.731 -20.6420
67.271713 88.627 -20.4524
67.759193 88.528 -20.1852
68.250206 88.433 -19.8527
68.744774 88.346 -19.4638
69.242928 88.264 -19.0249
69.744690 88.188 -18.5446
70.250084 88.119 -18.0240
70.759148 88.057 -17.4658
71.271896 88.002 -16.8731
71.788361 87.955 -16.2491
72.308571 87.916 -15.5973
72.832550 87.885 -14.9215
73.360321 87.863 -14.2233
73.891922 87.849 -13.5024
74.427376 87.847 -12.7684
74.966705 87.859 -12.0261
75.509949 87.883 -11.2893
76.057121 87.920 -10.5700
76.608261 87.970 -9.8783
77.163399 88.032 -9.2250
77.722557 88.105 -8.6202
78.285767 88.189 -8.0752
78.853058 88.281 -7.5979
79.424461 88.380 -7.1986
