* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\DT880_250Ohm_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:10:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\DT880_250Ohm_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: DT880_250Ohm_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 76.146 28.8310
5.036232 76.156 28.8271
5.072727 76.166 28.8230
5.109486 76.178 28.8183
5.146511 76.191 28.8130
5.183805 76.207 28.8071
5.221369 76.224 28.8010
5.259205 76.242 28.7950
5.297316 76.261 28.7890
5.335702 76.282 28.7830
5.374367 76.303 28.7770
5.413311 76.324 28.7710
5.452538 76.344 28.7650
5.492050 76.365 28.7590
5.531847 76.385 28.7530
5.571934 76.406 28.7470
5.612310 76.426 28.7410
5.652979 76.447 28.7350
5.693943 76.467 28.7290
5.735204 76.488 28.7230
5.776763 76.508 28.7170
5.818624 76.528 28.7110
5.860788 76.549 28.7050
5.903258 76.570 28.6991
5.946035 76.591 28.6930
5.989123 76.612 28.6865
6.032523 76.632 28.6800
6.076237 76.652 28.6740
6.120268 76.673 28.6680
6.164618 76.693 28.6616
6.209289 76.714 28.6550
6.254284 76.734 28.6485
6.299605 76.755 28.6420
6.345255 76.775 28.6355
6.391235 76.796 28.6290
6.437549 76.816 28.6226
6.484198 76.837 28.6160
6.531185 76.858 28.6090
6.578513 76.879 28.6020
6.626183 76.900 28.5955
6.674199 76.920 28.5890
6.722563 76.940 28.5821
6.771278 76.961 28.5750
6.820345 76.981 28.5680
6.869768 77.002 28.5610
6.919549 77.022 28.5540
6.969691 77.043 28.5470
7.020196 77.063 28.5401
7.071068 77.084 28.5330
7.122308 77.104 28.5255
7.173919 77.125 28.5180
7.225904 77.146 28.5110
7.278266 77.167 28.5040
7.331007 77.188 28.4966
7.384131 77.208 28.4890
7.437639 77.228 28.4815
7.491535 77.249 28.4740
7.545822 77.269 28.4666
7.600502 77.290 28.4590
7.655579 77.310 28.4510
7.711054 77.331 28.4430
7.766932 77.351 28.4355
7.823214 77.372 28.4280
7.879904 77.392 28.4201
7.937005 77.413 28.4120
7.994520 77.434 28.4040
8.052452 77.455 28.3960
8.110803 77.476 28.3881
8.169578 77.496 28.3800
8.228777 77.516 28.3715
8.288406 77.537 28.3630
8.348468 77.557 28.3550
8.408964 77.578 28.3470
8.469899 77.598 28.3386
8.531276 77.619 28.3300
8.593097 77.639 28.3216
8.655366 77.660 28.3130
8.718086 77.681 28.3040
8.781260 77.702 28.2950
8.844893 77.723 28.2865
8.908987 77.743 28.2780
8.973545 77.763 28.2691
9.038571 77.784 28.2600
9.104069 77.804 28.2510
9.170040 77.825 28.2420
9.236490 77.845 28.2331
9.303422 77.866 28.2240
9.370838 77.886 28.2146
9.438744 77.907 28.2050
9.507140 77.927 28.1955
9.576033 77.948 28.1860
9.645425 77.969 28.1765
9.715320 77.990 28.1670
9.785721 78.011 28.1576
9.856632 78.031 28.1480
9.928058 78.051 28.1380
10.000000 78.072 28.1280
10.072464 78.092 28.1185
10.145453 78.113 28.1090
10.218971 78.133 28.0991
10.293022 78.154 28.0890
10.367610 78.174 28.0785
10.442738 78.195 28.0680
10.518411 78.215 28.0580
10.594631 78.236 28.0480
10.671404 78.257 28.0376
10.748734 78.278 28.0270
10.826623 78.299 28.0160
10.905077 78.319 28.0050
10.984100 78.339 27.9945
11.063695 78.360 27.9840
11.143867 78.380 27.9731
11.224621 78.401 27.9620
11.305959 78.421 27.9510
11.387886 78.442 27.9400
11.470407 78.462 27.9291
11.553527 78.483 27.9180
11.637249 78.503 27.9066
11.721577 78.524 27.8950
11.806517 78.545 27.8835
11.892071 78.566 27.8720
11.978246 78.587 27.8605
12.065045 78.607 27.8490
12.152473 78.628 27.8376
12.240536 78.648 27.8260
12.329235 78.668 27.8141
12.418578 78.689 27.8020
12.508568 78.709 27.7901
12.599211 78.730 27.7780
12.690510 78.750 27.7656
12.782471 78.771 27.7530
12.875097 78.791 27.7405
12.968395 78.812 27.7280
13.062370 78.833 27.7155
13.157025 78.854 27.7030
13.252366 78.875 27.6906
13.348398 78.895 27.6780
13.445127 78.915 27.6651
13.542556 78.936 27.6520
13.640691 78.956 27.6390
13.739536 78.977 27.6260
13.839099 78.997 27.6131
13.939383 79.018 27.6000
14.040393 79.038 27.5866
14.142136 79.059 27.5730
14.244616 79.080 27.5595
14.347837 79.101 27.5460
14.451808 79.122 27.5326
14.556532 79.142 27.5190
14.662014 79.162 27.5051
14.768262 79.183 27.4910
14.875278 79.203 27.4770
14.983070 79.224 27.4630
15.091644 79.244 27.4491
15.201005 79.265 27.4350
15.311157 79.285 27.4206
15.422109 79.306 27.4060
15.533863 79.326 27.3916
15.646428 79.347 27.3770
15.759809 79.368 27.3620
15.874010 79.389 27.3470
15.989040 79.410 27.3325
16.104904 79.430 27.3180
16.221605 79.450 27.3031
16.339155 79.471 27.2880
16.457554 79.491 27.2725
16.576813 79.512 27.2570
16.696936 79.532 27.2420
16.817928 79.553 27.2270
16.939798 79.573 27.2116
17.062551 79.594 27.1960
17.186193 79.614 27.1800
17.310732 79.635 27.1640
17.436172 79.656 27.1485
17.562521 79.677 27.1330
17.689787 79.698 27.1171
17.817974 79.718 27.1010
17.947090 79.738 27.0850
18.077143 79.759 27.0690
18.208138 79.779 27.0531
18.340080 79.800 27.0370
18.472980 79.820 27.0206
18.606844 79.841 27.0040
18.741676 79.861 26.9876
18.877487 79.882 26.9710
19.014280 79.902 26.9543
19.152065 79.923 26.9370
19.290850 79.944 26.9188
19.430639 79.965 26.9000
19.571442 79.985 26.8805
19.713264 80.005 26.8610
19.856115 80.024 26.8415
20.000000 80.043 26.8240
20.144928 80.061 26.8102
20.290907 80.079 26.8020
20.437943 80.096 26.8026
20.586044 80.114 26.8100
20.735220 80.134 26.8251
20.885475 80.155 26.8430
21.036821 80.179 26.8599
21.189262 80.204 26.8730
21.342808 80.230 26.8784
21.497467 80.258 26.8760
21.653246 80.286 26.8651
21.810154 80.315 26.8430
21.968201 80.344 26.8065
22.127390 80.373 26.7571
22.287735 80.399 26.6922
22.449242 80.423 26.6211
22.611917 80.442 26.5511
22.775772 80.459 26.4851
22.940815 80.475 26.4277
23.107054 80.490 26.3801
23.274498 80.502 26.3440
23.443153 80.514 26.3220
23.613033 80.525 26.3182
23.784142 80.537 26.3300
23.956491 80.551 26.3574
24.130091 80.568 26.3960
24.304947 80.587 26.4423
24.481071 80.608 26.4929
24.658470 80.632 26.5458
24.837156 80.660 26.5939
25.017136 80.692 26.6294
25.198421 80.725 26.6530
25.381020 80.758 26.6626
25.564941 80.792 26.6590
25.750195 80.827 26.6429
25.936790 80.862 26.6130
26.124741 80.897 26.5671
26.314051 80.930 26.5091
26.504732 80.961 26.4412
26.696796 80.991 26.3661
26.890253 81.020 26.2867
27.085112 81.047 26.2041
27.281382 81.072 26.1189
27.479073 81.095 26.0361
27.678198 81.116 25.9623
27.878765 81.136 25.8941
28.080786 81.158 25.8306
28.284271 81.181 25.7711
28.489231 81.201 25.7143
28.695675 81.222 25.6611
28.903616 81.244 25.6134
29.113064 81.267 25.5661
29.324028 81.292 25.5143
29.536524 81.318 25.4591
29.750557 81.341 25.3992
29.966141 81.364 25.3371
30.183289 81.388 25.2759
30.402010 81.412 25.2121
30.622314 81.436 25.1411
30.844217 81.460 25.0691
31.067726 81.480 25.0013
31.292856 81.501 24.9361
31.519617 81.525 24.8753
31.748020 81.549 24.8131
31.978081 81.573 24.7427
32.209808 81.597 24.6681
32.443211 81.620 24.5921
32.678310 81.644 24.5111
32.915108 81.670 24.4223
33.153625 81.695 24.3261
33.393871 81.717 24.2200
33.635857 81.738 24.1102
33.879597 81.756 24.0020
34.125103 81.773 23.8961
34.372387 81.789 23.7951
34.621464 81.805 23.6991
34.872345 81.819 23.6093
35.125042 81.833 23.5251
35.379574 81.847 23.4465
35.635948 81.862 23.3731
35.894180 81.876 23.3048
36.154285 81.890 23.2411
36.416275 81.905 23.1819
36.680161 81.920 23.1261
36.945961 81.936 23.0730
37.213688 81.953 23.0211
37.483353 81.970 22.9684
37.754974 81.988 22.9161
38.028561 82.006 22.8663
38.304131 82.025 22.8141
38.581699 82.047 22.7558
38.861279 82.070 22.6901
39.142883 82.092 22.6122
39.426529 82.112 22.5281
39.712231 82.130 22.4412
40.000000 82.146 22.3541
40.289856 82.163 22.2714
40.581814 82.179 22.1911
40.875885 82.195 22.1130
41.172089 82.211 22.0371
41.470440 82.227 21.9633
41.770950 82.242 21.8921
42.073643 82.257 21.8245
42.378525 82.272 21.7591
42.685616 82.289 21.6958
42.994934 82.306 21.6321
43.306492 82.324 21.5652
43.620308 82.343 21.4961
43.936401 82.360 21.4237
44.254780 82.377 21.3511
44.575470 82.394 21.2824
44.898483 82.412 21.2131
45.223835 82.432 21.1409
45.551544 82.453 21.0631
45.881630 82.473 20.9749
46.214108 82.493 20.8811
46.548996 82.511 20.7853
46.886307 82.528 20.6872
47.226067 82.546 20.5892
47.568283 82.565 20.4872
47.912983 82.584 20.3766
48.260181 82.602 20.2602
48.609894 82.619 20.1387
48.962143 82.634 20.0132
49.316940 82.648 19.8849
49.674313 82.661 19.7542
50.034271 82.673 19.6213
50.396843 82.684 19.4882
50.762039 82.692 19.3555
51.129883 82.698 19.2282
51.500389 82.702 19.1115
51.873581 82.704 19.0062
52.249481 82.706 18.9151
52.628101 82.709 18.8371
53.009464 82.712 18.7735
53.393593 82.716 18.7191
53.780506 82.724 18.6713
54.170223 82.734 18.6241
54.562763 82.746 18.5698
54.958145 82.758 18.5101
55.356396 82.770 18.4438
55.757530 82.783 18.3711
56.161572 82.796 18.2914
56.568542 82.809 18.2061
56.978462 82.821 18.1148
57.391350 82.831 18.0222
57.807232 82.839 17.9328
58.226128 82.847 17.8461
58.648056 82.856 17.7641
59.073048 82.865 17.6831
59.501114 82.875 17.6009
59.932281 82.886 17.5152
60.366577 82.897 17.4232
60.804020 82.909 17.3242
61.244629 82.920 17.2160
61.688435 82.930 17.1002
62.135452 82.939 16.9771
62.585712 82.947 16.8482
63.039234 82.953 16.7147
63.496040 82.957 16.5782
63.956161 82.959 16.4402
64.419617 82.959 16.3022
64.886421 82.958 16.1652
65.356621 82.954 16.0322
65.830215 82.947 15.9049
66.307251 82.937 15.7882
66.787743 82.925 15.6884
67.271713 82.912 15.6031
67.759193 82.900 15.5324
68.250206 82.887 15.4751
68.744774 82.874 15.4308
69.242928 82.862 15.3971
69.744690 82.851 15.3736
70.250084 82.842 15.3540
70.759148 82.835 15.3312
71.271896 82.827 15.3070
71.788361 82.816 15.2796
72.308571 82.804 15.2540
72.832550 82.790 15.2332
73.360321 82.774 15.2220
73.891922 82.754 15.2242
74.427376 82.732 15.2469
74.966705 82.707 15.2991
75.509949 82.681 15.3798
76.057121 82.657 15.4908
76.608261 82.634 15.6327
77.163399 82.610 15.8067
77.722557 82.589 16.0135
78.285767 82.571 16.2577
78.853058 82.559 16.5294
79.424461 82.554 16.8224
80.000000 82.556 17.1304
80.579712 82.564 17.4466
81.163628 82.578 17.7664
81.751770 82.599 18.0863
82.344177 82.627 18.3964
82.940880 82.664 18.6877
83.541901 82.707 18.9535
84.147285 82.754 19.1823
84.757050 82.804 19.3787
85.371231 82.855 19.5426
85.989868 82.907 19.6768
86.612984 82.960 19.7841
87.240616 83.013 19.8629
87.872803 83.067 19.9107
88.509560 83.120 19.9330
89.150940 83.170 19.9331
89.796967 83.218 19.9151
90.447670 83.265 19.8855
91.103088 83.312 19.8401
91.763260 83.359 19.7762
92.428215 83.404 19.6962
93.097992 83.446 19.6000
93.772614 83.486 19.4922
94.452133 83.524 19.3784
95.136566 83.560 19.2563
95.825966 83.596 19.1235
96.520363 83.629 18.9853
