* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\DT990 32 Ohm_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:52:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\DT990 32 Ohm_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: DT990 32 Ohm_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 74.247 65.0810
5.036232 74.268 65.0665
5.072727 74.291 65.0510
5.109486 74.318 65.0331
5.146511 74.349 65.0130
5.183805 74.387 64.9897
5.221369 74.428 64.9650
5.259205 74.470 64.9403
5.297316 74.514 64.9150
5.335702 74.561 64.8887
5.374367 74.609 64.8620
5.413311 74.656 64.8355
5.452538 74.704 64.8090
5.492050 74.751 64.7825
5.531847 74.799 64.7560
5.571934 74.846 64.7296
5.612310 74.894 64.7030
5.652979 74.942 64.6756
5.693943 74.990 64.6480
5.735204 75.038 64.6205
5.776763 75.085 64.5930
5.818624 75.132 64.5656
5.860788 75.180 64.5380
5.903258 75.227 64.5101
5.946035 75.275 64.4820
5.989123 75.322 64.4536
6.032523 75.370 64.4250
6.076237 75.418 64.3961
6.120268 75.466 64.3670
6.164618 75.514 64.3381
6.209289 75.561 64.3090
6.254284 75.608 64.2791
6.299605 75.656 64.2490
6.345255 75.703 64.2191
6.391235 75.751 64.1890
6.437549 75.799 64.1586
6.484198 75.847 64.1280
6.531185 75.895 64.0971
6.578513 75.942 64.0660
6.626183 75.989 64.0351
6.674199 76.037 64.0040
6.722563 76.084 63.9721
6.771278 76.132 63.9400
6.820345 76.179 63.9081
6.869768 76.227 63.8760
6.919549 76.275 63.8436
6.969691 76.323 63.8110
7.020196 76.371 63.7781
7.071068 76.418 63.7450
7.122308 76.465 63.7116
7.173919 76.513 63.6780
7.225904 76.560 63.6441
7.278266 76.608 63.6100
7.331007 76.655 63.5756
7.384131 76.703 63.5410
7.437639 76.751 63.5061
7.491535 76.799 63.4710
7.545822 76.847 63.4356
7.600502 76.894 63.4000
7.655579 76.941 63.3641
7.711054 76.989 63.3280
7.766932 77.036 63.2916
7.823214 77.084 63.2550
7.879904 77.131 63.2181
7.937005 77.179 63.1810
7.994520 77.227 63.1436
8.052452 77.275 63.1060
8.110803 77.323 63.0682
8.169578 77.370 63.0300
8.228777 77.417 62.9911
8.288406 77.465 62.9520
8.348468 77.512 62.9131
8.408964 77.560 62.8740
8.469899 77.607 62.8342
8.531276 77.655 62.7940
8.593097 77.703 62.7536
8.655366 77.751 62.7130
8.718086 77.799 62.6727
8.781260 77.846 62.6320
8.844893 77.893 62.5902
8.908987 77.941 62.5480
8.973545 77.988 62.5061
9.038571 78.036 62.4640
9.104069 78.084 62.4211
9.170040 78.132 62.3780
9.236490 78.180 62.3351
9.303422 78.227 62.2920
9.370838 78.274 62.2483
9.438744 78.322 62.2040
9.507140 78.369 62.1591
9.576033 78.417 62.1140
9.645425 78.464 62.0692
9.715320 78.512 62.0240
9.785721 78.560 61.9777
9.856632 78.608 61.9310
9.928058 78.656 61.8846
10.000000 78.703 61.8380
10.072464 78.750 61.7907
10.145453 78.798 61.7431
10.218971 78.845 61.6952
10.293022 78.893 61.6470
10.367610 78.940 61.5982
10.442738 78.988 61.5490
10.518411 79.036 61.4996
10.594631 79.084 61.4500
10.671404 79.132 61.4003
10.748734 79.179 61.3500
10.826623 79.226 61.2987
10.905077 79.274 61.2470
10.984100 79.321 61.1957
11.063695 79.369 61.1440
11.143867 79.416 61.0918
11.224621 79.464 61.0390
11.305959 79.512 60.9857
11.387886 79.560 60.9320
11.470407 79.608 60.8782
11.553527 79.655 60.8240
11.637249 79.702 60.7693
11.721577 79.750 60.7141
11.806517 79.797 60.6583
11.892071 79.845 60.6021
11.978246 79.892 60.5452
12.065045 79.940 60.4880
12.152473 79.988 60.4307
12.240536 80.036 60.3730
12.329235 80.084 60.3147
12.418578 80.131 60.2561
12.508568 80.178 60.1973
12.599211 80.226 60.1380
12.690510 80.273 60.0778
12.782471 80.321 60.0171
12.875097 80.368 59.9562
12.968395 80.416 59.8950
13.062370 80.464 59.8333
13.157025 80.512 59.7710
13.252366 80.560 59.7078
13.348398 80.607 59.6440
13.445127 80.654 59.5803
13.542556 80.702 59.5161
13.640691 80.749 59.4513
13.739536 80.797 59.3860
13.839099 80.845 59.3203
13.939383 80.893 59.2541
14.040393 80.941 59.1873
14.142136 80.988 59.1200
14.244616 81.035 59.0523
14.347837 81.083 58.9840
14.451808 81.130 58.9153
14.556532 81.178 58.8460
14.662014 81.225 58.7758
14.768262 81.273 58.7051
14.875278 81.321 58.6343
14.983070 81.369 58.5631
15.091644 81.417 58.4909
15.201005 81.464 58.4181
15.311157 81.511 58.3443
15.422109 81.559 58.2701
15.533863 81.606 58.1958
15.646428 81.654 58.1210
15.759809 81.701 58.0454
15.874010 81.749 57.9691
15.989040 81.797 57.8918
16.104904 81.845 57.8141
16.221605 81.893 57.7364
16.339155 81.940 57.6581
16.457554 81.987 57.5784
16.576813 82.035 57.4981
16.696936 82.082 57.4178
16.817928 82.130 57.3371
16.939798 82.177 57.2555
17.062551 82.225 57.1731
17.186193 82.273 57.0899
17.310732 82.321 57.0061
17.436172 82.369 56.9218
17.562521 82.416 56.8371
17.689787 82.463 56.7519
17.817974 82.511 56.6661
17.947090 82.558 56.5794
18.077143 82.606 56.4921
18.208138 82.653 56.4043
18.340080 82.701 56.3161
18.472980 82.749 56.2273
18.606844 82.797 56.1381
18.741676 82.845 56.0488
18.877487 82.892 55.9591
19.014280 82.939 55.8685
19.152065 82.987 55.7781
19.290850 83.034 55.6890
19.430639 83.082 55.6001
19.571442 83.130 55.5106
19.713264 83.179 55.4211
19.856115 83.227 55.3322
20.000000 83.276 55.2421
20.144928 83.326 55.1497
20.290907 83.377 55.0541
20.437943 83.427 54.9527
20.586044 83.477 54.8491
20.735220 83.527 54.7472
20.885475 83.577 54.6431
21.036821 83.629 54.5346
21.189262 83.681 54.4212
21.342808 83.732 54.3003
21.497467 83.783 54.1752
21.653246 83.832 54.0489
21.810154 83.882 53.9192
21.968201 83.933 53.7844
22.127390 83.984 53.6452
22.287735 84.033 53.5008
22.449242 84.081 53.3541
22.611917 84.128 53.2075
22.775772 84.174 53.0612
22.940815 84.220 52.9158
23.107054 84.265 52.7722
23.274498 84.310 52.6316
23.443153 84.355 52.4932
23.613033 84.400 52.3569
23.784142 84.445 52.2221
23.956491 84.490 52.0881
24.130091 84.535 51.9552
24.304947 84.580 51.8234
24.481071 84.626 51.6922
24.658470 84.672 51.5610
24.837156 84.719 51.4292
25.017136 84.766 51.2957
25.198421 84.813 51.1611
25.381020 84.860 51.0264
25.564941 84.908 50.8891
25.750195 84.958 50.7473
25.936790 85.008 50.6002
26.124741 85.057 50.4461
26.314051 85.107 50.2862
26.504732 85.156 50.1223
26.696796 85.206 49.9512
26.890253 85.256 49.7702
27.085112 85.306 49.5802
27.281382 85.353 49.3792
27.479073 85.399 49.1733
27.678198 85.442 48.9678
27.878765 85.484 48.7633
28.080786 85.525 48.5617
28.284271 85.565 48.3643
28.489231 85.603 48.1726
28.695675 85.641 47.9872
28.903616 85.679 47.8102
29.113064 85.717 47.6392
29.324028 85.756 47.4745
29.536524 85.797 47.3112
29.750557 85.840 47.1446
29.966141 85.883 46.9742
30.183289 85.926 46.7979
30.402010 85.969 46.6152
30.622314 86.012 46.4239
30.844217 86.055 46.2272
31.067726 86.095 46.0273
31.292856 86.134 45.8263
31.519617 86.173 45.6274
31.748020 86.212 45.4292
31.978081 86.250 45.2310
32.209808 86.287 45.0343
32.443211 86.323 44.8407
32.678310 86.360 44.6492
32.915108 86.398 44.4608
33.153625 86.436 44.2712
33.393871 86.474 44.0755
33.635857 86.512 43.8773
33.879597 86.548 43.6782
34.125103 86.583 43.4803
34.372387 86.618 43.2868
34.621464 86.654 43.0953
34.872345 86.690 42.9040
35.125042 86.725 42.7132
35.379574 86.760 42.5235
35.635948 86.795 42.3332
35.894180 86.831 42.1416
36.154285 86.868 41.9473
36.416275 86.904 41.7481
36.680161 86.940 41.5463
36.945961 86.974 41.3430
37.213688 87.007 41.1403
37.483353 87.039 40.9400
37.754974 87.071 40.7443
38.028561 87.102 40.5557
38.304131 87.132 40.3752
38.581699 87.163 40.2072
38.861279 87.195 40.0442
39.142883 87.232 39.8816
39.426529 87.270 39.7152
39.712231 87.309 39.5385
40.000000 87.348 39.3543
40.289856 87.387 39.1640
40.581814 87.427 38.9653
40.875885 87.468 38.7552
41.172089 87.508 38.5363
41.470440 87.545 38.3082
41.770950 87.581 38.0774
42.073643 87.615 37.8520
42.378525 87.649 37.6263
42.685616 87.687 37.3983
42.994934 87.725 37.1643
43.306492 87.761 36.9183
43.620308 87.795 36.6664
43.936401 87.827 36.4131
44.254780 87.858 36.1574
44.575470 87.890 35.8996
44.898483 87.921 35.6404
45.223835 87.949 35.3781
45.551544 87.974 35.1204
45.881630 87.997 34.8761
46.214108 88.020 34.6404
46.548996 88.046 34.4122
46.886307 88.072 34.1884
47.226067 88.097 33.9650
47.568283 88.123 33.7434
47.912983 88.149 33.5246
48.260181 88.176 33.3054
48.609894 88.204 33.0815
48.962143 88.232 32.8563
49.316940 88.257 32.6325
49.674313 88.283 32.4084
50.034271 88.311 32.1834
50.396843 88.340 31.9563
50.762039 88.367 31.7250
51.129883 88.394 31.4914
51.500389 88.420 31.2576
51.873581 88.447 31.0214
52.249481 88.474 30.7803
52.628101 88.501 30.5374
53.009464 88.525 30.2943
53.393593 88.549 30.0524
53.780506 88.573 29.8137
54.170223 88.597 29.5774
54.562763 88.621 29.3443
54.958145 88.646 29.1114
55.356396 88.672 28.8763
55.757530 88.699 28.6374
56.161572 88.726 28.3916
56.568542 88.753 28.1404
56.978462 88.780 27.8850
57.391350 88.806 27.6235
57.807232 88.832 27.3538
58.226128 88.858 27.0785
58.648056 88.881 26.7987
59.073048 88.904 26.5165
59.501114 88.926 26.2344
59.932281 88.948 25.9515
60.366577 88.969 25.6676
60.804020 88.990 25.3825
61.244629 89.010 25.0959
61.688435 89.030 24.8085
62.135452 89.049 24.5209
62.585712 89.067 24.2325
63.039234 89.086 23.9435
63.496040 89.105 23.6515
63.956161 89.125 23.3542
64.419617 89.144 23.0515
64.886421 89.163 22.7438
65.356621 89.181 22.4285
65.830215 89.200 22.1034
66.307251 89.218 21.7687
66.787743 89.234 21.4227
67.271713 89.248 21.0687
67.759193 89.260 20.7087
68.250206 89.270 20.3437
68.744774 89.278 19.9750
69.242928 89.284 19.6037
69.744690 89.287 19.2315
70.250084 89.289 18.8577
70.759148 89.290 18.4832
71.271896 89.289 18.1047
71.788361 89.286 17.7185
72.308571 89.280 17.3268
72.832550 89.271 16.9279
73.360321 89.257 16.5287
73.891922 89.237 16.1330
74.427376 89.212 15.7487
74.966705 89.181 15.3828
75.509949 89.144 15.0426
76.057121 89.102 14.7365
76.608261 89.056 14.4685
77.163399 89.008 14.2459
77.722557 88.959 14.0673
78.285767 88.910 13.9356
78.853058 88.863 13.8451
79.424461 88.820 13.7939
80.000000 88.781 13.7740
80.579712 88.746 13.7774
81.163628 88.715 13.8019
81.751770 88.687 13.8431
82.344177 88.663 13.8999
82.940880 88.643 13.9707
83.541901 88.627 14.0528
84.147285 88.614 14.1427
84.757050 88.604 14.2418
85.371231 88.597 14.3513
85.989868 88.595 14.4688
86.612984 88.597 14.5942
87.240616 88.605 14.7208
87.872803 88.619 14.8429
88.509560 88.638 14.9558
89.150940 88.662 15.0544
89.796967 88.691 15.1339
90.447670 88.725 15.1887
91.103088 88.762 15.2160
91.763260 88.801 15.2107
92.428215 88.842 15.1731
93.097992 88.884 15.1008
93.772614 88.925 14.9972
94.452133 88.964 14.8634
95.136566 89.000 14.7044
95.825966 89.034 14.5248
96.520363 89.065 14.3274
