* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DT 990 600 Ohm_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:31:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DT 990 600 Ohm_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: DT 990 600 Ohm_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 74.868 62.9030
5.036232 74.888 62.8904
5.072727 74.910 62.8770
5.109486 74.936 62.8616
5.146511 74.966 62.8440
5.183805 75.002 62.8231
5.221369 75.041 62.8010
5.259205 75.081 62.7797
5.297316 75.124 62.7580
5.335702 75.169 62.7352
5.374367 75.216 62.7120
5.413311 75.261 62.6889
5.452538 75.307 62.6660
5.492050 75.353 62.6436
5.531847 75.399 62.6210
5.571934 75.444 62.5976
5.612310 75.490 62.5740
5.652979 75.536 62.5510
5.693943 75.582 62.5280
5.735204 75.627 62.5046
5.776763 75.673 62.4810
5.818624 75.719 62.4571
5.860788 75.765 62.4330
5.903258 75.810 62.4086
5.946035 75.856 62.3840
5.989123 75.902 62.3595
6.032523 75.948 62.3350
6.076237 75.993 62.3106
6.120268 76.039 62.2860
6.164618 76.085 62.2606
6.209289 76.131 62.2350
6.254284 76.176 62.2095
6.299605 76.222 62.1840
6.345255 76.268 62.1586
6.391235 76.314 62.1330
6.437549 76.360 62.1066
6.484198 76.406 62.0800
6.531185 76.451 62.0536
6.578513 76.497 62.0270
6.626183 76.543 62.0001
6.674199 76.589 61.9730
6.722563 76.634 61.9461
6.771278 76.680 61.9190
6.820345 76.726 61.8917
6.869768 76.772 61.8640
6.919549 76.817 61.8356
6.969691 76.863 61.8070
7.020196 76.909 61.7791
7.071068 76.955 61.7510
7.122308 77.000 61.7222
7.173919 77.046 61.6930
7.225904 77.092 61.6636
7.278266 77.138 61.6340
7.331007 77.183 61.6046
7.384131 77.229 61.5750
7.437639 77.275 61.5451
7.491535 77.321 61.5150
7.545822 77.366 61.4846
7.600502 77.412 61.4540
7.655579 77.458 61.4231
7.711054 77.504 61.3920
7.766932 77.550 61.3611
7.823214 77.596 61.3300
7.879904 77.641 61.2981
7.937005 77.687 61.2660
7.994520 77.733 61.2341
8.052452 77.779 61.2020
8.110803 77.824 61.1691
8.169578 77.870 61.1360
8.228777 77.916 61.1031
8.288406 77.962 61.0700
8.348468 78.007 61.0367
8.408964 78.053 61.0030
8.469899 78.099 60.9686
8.531276 78.145 60.9340
8.593097 78.190 60.8996
8.655366 78.236 60.8650
8.718086 78.282 60.8302
8.781260 78.328 60.7950
8.844893 78.373 60.7591
8.908987 78.419 60.7230
8.973545 78.465 60.6871
9.038571 78.511 60.6510
9.104069 78.556 60.6147
9.170040 78.602 60.5780
9.236490 78.648 60.5406
9.303422 78.694 60.5030
9.370838 78.740 60.4656
9.438744 78.786 60.4280
9.507140 78.831 60.3897
9.576033 78.877 60.3510
9.645425 78.923 60.3121
9.715320 78.969 60.2730
9.785721 79.014 60.2336
9.856632 79.060 60.1940
9.928058 79.106 60.1541
10.000000 79.152 60.1140
10.072464 79.197 60.0737
10.145453 79.243 60.0330
10.218971 79.289 59.9917
10.293022 79.335 59.9500
10.367610 79.381 59.9081
10.442738 79.426 59.8660
10.518411 79.472 59.8242
10.594631 79.518 59.7820
10.671404 79.563 59.7387
10.748734 79.609 59.6950
10.826623 79.655 59.6516
10.905077 79.701 59.6080
10.984100 79.746 59.5637
11.063695 79.792 59.5190
11.143867 79.838 59.4742
11.224621 79.884 59.4290
11.305959 79.930 59.3832
11.387886 79.976 59.3370
11.470407 80.021 59.2906
11.553527 80.067 59.2440
11.637249 80.113 59.1972
11.721577 80.159 59.1500
11.806517 80.204 59.1022
11.892071 80.250 59.0540
11.978246 80.296 59.0057
12.065045 80.342 58.9570
12.152473 80.387 58.9077
12.240536 80.433 58.8580
12.329235 80.479 58.8082
12.418578 80.525 58.7580
12.508568 80.570 58.7078
12.599211 80.616 58.6570
12.690510 80.662 58.6053
12.782471 80.708 58.5531
12.875097 80.753 58.5007
12.968395 80.799 58.4480
13.062370 80.845 58.3952
13.157025 80.891 58.3420
13.252366 80.936 58.2883
13.348398 80.982 58.2340
13.445127 81.028 58.1792
13.542556 81.074 58.1241
13.640691 81.120 58.0687
13.739536 81.166 58.0130
13.839099 81.211 57.9568
13.939383 81.257 57.9001
14.040393 81.303 57.8428
14.142136 81.349 57.7850
14.244616 81.394 57.7268
14.347837 81.440 57.6680
14.451808 81.486 57.6087
14.556532 81.532 57.5490
14.662014 81.577 57.4893
14.768262 81.623 57.4291
14.875278 81.669 57.3678
14.983070 81.715 57.3061
15.091644 81.760 57.2443
15.201005 81.806 57.1820
15.311157 81.852 57.1189
15.422109 81.898 57.0550
15.533863 81.943 56.9908
15.646428 81.989 56.9260
15.759809 82.035 56.8608
15.874010 82.081 56.7950
15.989040 82.126 56.7289
16.104904 82.172 56.6621
16.221605 82.218 56.5943
16.339155 82.264 56.5261
16.457554 82.310 56.4578
16.576813 82.356 56.3890
16.696936 82.401 56.3194
16.817928 82.447 56.2490
16.939798 82.493 56.1784
17.062551 82.539 56.1071
17.186193 82.584 56.0349
17.310732 82.630 55.9620
17.436172 82.676 55.8888
17.562521 82.722 55.8151
17.689787 82.767 55.7409
17.817974 82.813 55.6661
17.947090 82.859 55.5904
18.077143 82.905 55.5140
18.208138 82.950 55.4369
18.340080 82.996 55.3591
18.472980 83.042 55.2809
18.606844 83.088 55.2020
18.741676 83.133 55.1219
18.877487 83.179 55.0411
19.014280 83.225 54.9600
19.152065 83.271 54.8781
19.290850 83.316 54.7946
19.430639 83.362 54.7101
19.571442 83.408 54.6250
19.713264 83.454 54.5391
19.856115 83.500 54.4525
20.000000 83.545 54.3651
20.144928 83.590 54.2764
20.290907 83.635 54.1871
20.437943 83.681 54.0977
20.586044 83.726 54.0081
20.735220 83.771 53.9181
20.885475 83.815 53.8281
21.036821 83.860 53.7385
21.189262 83.905 53.6491
21.342808 83.950 53.5597
21.497467 83.995 53.4701
21.653246 84.040 53.3802
21.810154 84.085 53.2901
21.968201 84.130 53.1997
22.127390 84.175 53.1091
22.287735 84.220 53.0182
22.449242 84.265 52.9271
22.611917 84.310 52.8355
22.775772 84.355 52.7441
22.940815 84.400 52.6531
23.107054 84.445 52.5631
23.274498 84.490 52.4747
23.443153 84.535 52.3881
23.613033 84.580 52.3037
23.784142 84.626 52.2211
23.956491 84.673 52.1411
24.130091 84.721 52.0611
24.304947 84.771 51.9800
24.481071 84.822 51.8941
24.658470 84.875 51.7993
24.837156 84.928 51.6952
25.017136 84.981 51.5800
25.198421 85.035 51.4541
25.381020 85.089 51.3169
25.564941 85.142 51.1691
25.750195 85.194 51.0099
25.936790 85.244 50.8432
26.124741 85.291 50.6719
26.314051 85.337 50.4982
26.504732 85.382 50.3250
26.696796 85.425 50.1542
26.890253 85.466 49.9891
27.085112 85.507 49.8292
27.281382 85.548 49.6756
27.479073 85.589 49.5272
27.678198 85.629 49.3834
27.878765 85.669 49.2442
28.080786 85.710 49.1104
28.284271 85.753 48.9792
28.489231 85.796 48.8492
28.695675 85.841 48.7172
28.903616 85.887 48.5801
29.113064 85.934 48.4362
29.324028 85.981 48.2828
29.536524 86.028 48.1202
29.750557 86.075 47.9466
29.966141 86.120 47.7662
30.183289 86.163 47.5818
30.402010 86.204 47.3952
30.622314 86.245 47.2090
30.844217 86.284 47.0242
31.067726 86.322 46.8423
31.292856 86.359 46.6643
31.519617 86.396 46.4924
31.748020 86.433 46.3242
31.978081 86.470 46.1585
32.209808 86.508 45.9942
32.443211 86.545 45.8293
32.678310 86.582 45.6662
32.915108 86.618 45.5067
33.153625 86.654 45.3502
33.393871 86.690 45.1965
33.635857 86.727 45.0462
33.879597 86.763 44.9000
34.125103 86.800 44.7572
34.372387 86.838 44.6193
34.621464 86.878 44.4812
34.872345 86.919 44.3390
35.125042 86.962 44.1912
35.379574 87.005 44.0348
35.635948 87.048 43.8702
35.894180 87.091 43.6966
36.154285 87.134 43.5153
36.416275 87.175 43.3259
36.680161 87.215 43.1323
36.945961 87.253 42.9379
37.213688 87.290 42.7443
37.483353 87.327 42.5545
37.754974 87.363 42.3673
38.028561 87.400 42.1828
38.304131 87.436 42.0002
38.581699 87.472 41.8194
38.861279 87.508 41.6383
39.142883 87.546 41.4551
39.426529 87.584 41.2693
39.712231 87.621 41.0784
40.000000 87.658 40.8853
40.289856 87.694 40.6921
40.581814 87.729 40.4983
40.875885 87.765 40.3039
41.172089 87.801 40.1093
41.470440 87.836 39.9143
41.770950 87.870 39.7203
42.073643 87.904 39.5292
42.378525 87.938 39.3393
42.685616 87.973 39.1494
42.994934 88.008 38.9593
43.306492 88.043 38.7684
43.620308 88.079 38.5763
43.936401 88.115 38.3824
44.254780 88.152 38.1863
44.575470 88.188 37.9879
44.898483 88.225 37.7853
45.223835 88.263 37.5767
45.551544 88.301 37.3613
45.881630 88.338 37.1368
46.214108 88.375 36.9064
46.548996 88.410 36.6724
46.886307 88.444 36.4344
47.226067 88.479 36.1919
47.568283 88.512 35.9474
47.912983 88.543 35.7023
48.260181 88.572 35.4594
48.609894 88.601 35.2235
48.962143 88.631 34.9893
49.316940 88.662 34.7531
49.674313 88.694 34.5154
50.034271 88.724 34.2744
50.396843 88.753 34.0334
50.762039 88.782 33.7968
51.129883 88.811 33.5594
51.500389 88.842 33.3174
51.873581 88.874 33.0714
52.249481 88.903 32.8200
52.628101 88.932 32.5664
53.009464 88.961 32.3154
53.393593 88.991 32.0614
53.780506 89.023 31.8002
54.170223 89.054 31.5324
54.562763 89.083 31.2568
54.958145 89.112 30.9755
55.356396 89.141 30.6918
55.757530 89.170 30.4005
56.161572 89.201 30.0968
56.568542 89.231 29.7815
56.978462 89.258 29.4524
57.391350 89.284 29.1136
57.807232 89.308 28.7696
58.226128 89.330 28.4176
58.648056 89.353 28.0572
59.073048 89.374 27.6866
59.501114 89.392 27.3030
59.932281 89.408 26.9097
60.366577 89.421 26.5099
60.804020 89.431 26.1017
61.244629 89.439 25.6844
61.688435 89.444 25.2577
62.135452 89.444 24.8186
62.585712 89.439 24.3748
63.039234 89.426 23.9308
63.496040 89.407 23.4937
63.956161 89.382 23.0698
64.419617 89.350 22.6657
64.886421 89.311 22.2864
65.356621 89.264 21.9436
65.830215 89.211 21.6491
66.307251 89.152 21.4074
66.787743 89.090 21.2257
67.271713 89.026 21.1072
67.759193 88.960 21.0578
68.250206 88.895 21.0769
68.744774 88.833 21.1691
69.242928 88.777 21.3247
69.744690 88.729 21.5385
70.250084 88.690 21.8015
70.759148 88.659 22.1066
71.271896 88.639 22.4424
71.788361 88.632 22.8002
72.308571 88.637 23.1643
72.832550 88.654 23.5187
73.360321 88.682 23.8554
73.891922 88.718 24.1626
74.427376 88.763 24.4355
74.966705 88.815 24.6661
75.509949 88.873 24.8527
76.057121 88.933 24.9899
76.608261 88.994 25.0809
77.163399 89.056 25.1252
77.722557 89.117 25.1290
78.285767 89.175 25.0945
78.853058 89.230 25.0331
79.424461 89.280 24.9555
80.000000 89.327 24.8662
80.579712 89.373 24.7729
81.163628 89.417 24.6772
81.751770 89.459 24.5830
82.344177 89.501 24.4902
82.940880 89.544 24.4019
83.541901 89.588 24.3122
84.147285 89.635 24.2182
84.757050 89.684 24.1142
85.371231 89.735 23.9941
85.989868 89.788 23.8563
86.612984 89.841 23.6972
87.240616 89.893 23.5174
87.872803 89.945 23.3154
88.509560 89.995 23.0945
89.150940 90.043 22.8556
89.796967 90.088 22.6045
90.447670 90.129 22.3465
91.103088 90.168 22.0846
91.763260 90.206 21.8241
92.428215 90.242 21.5635
93.097992 90.277 21.3030
93.772614 90.312 21.0425
94.452133 90.346 20.7820
95.136566 90.379 20.5216
95.825966 90.412 20.2616
96.520363 90.445 20.0006
