* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DT990 Pro 250 Ohm_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:31:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DT990 Pro 250 Ohm_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: DT990 Pro 250 Ohm_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 76.609 60.3870
5.036232 76.629 60.3740
5.072727 76.650 60.3600
5.109486 76.675 60.3437
5.146511 76.704 60.3250
5.183805 76.739 60.3027
5.221369 76.777 60.2790
5.259205 76.815 60.2563
5.297316 76.856 60.2330
5.335702 76.900 60.2082
5.374367 76.945 60.1830
5.413311 76.989 60.1584
5.452538 77.033 60.1340
5.492050 77.077 60.1096
5.531847 77.122 60.0850
5.571934 77.166 60.0601
5.612310 77.210 60.0350
5.652979 77.254 60.0101
5.693943 77.298 59.9850
5.735204 77.342 59.9596
5.776763 77.387 59.9340
5.818624 77.431 59.9081
5.860788 77.475 59.8820
5.903258 77.519 59.8556
5.946035 77.563 59.8290
5.989123 77.607 59.8026
6.032523 77.652 59.7760
6.076237 77.696 59.7491
6.120268 77.740 59.7220
6.164618 77.784 59.6951
6.209289 77.828 59.6680
6.254284 77.872 59.6406
6.299605 77.917 59.6130
6.345255 77.961 59.5851
6.391235 78.005 59.5570
6.437549 78.049 59.5286
6.484198 78.093 59.5000
6.531185 78.137 59.4711
6.578513 78.182 59.4420
6.626183 78.226 59.4131
6.674199 78.270 59.3840
6.722563 78.314 59.3546
6.771278 78.358 59.3250
6.820345 78.402 59.2951
6.869768 78.447 59.2650
6.919549 78.491 59.2346
6.969691 78.535 59.2040
7.020196 78.579 59.1731
7.071068 78.624 59.1420
7.122308 78.668 59.1106
7.173919 78.712 59.0790
7.225904 78.756 59.0476
7.278266 78.800 59.0160
7.331007 78.844 58.9836
7.384131 78.889 58.9510
7.437639 78.933 58.9186
7.491535 78.977 58.8860
7.545822 79.021 58.8526
7.600502 79.065 58.8190
7.655579 79.109 58.7856
7.711054 79.154 58.7520
7.766932 79.198 58.7181
7.823214 79.242 58.6840
7.879904 79.286 58.6497
7.937005 79.330 58.6150
7.994520 79.374 58.5796
8.052452 79.419 58.5440
8.110803 79.463 58.5086
8.169578 79.507 58.4730
8.228777 79.551 58.4372
8.288406 79.595 58.4010
8.348468 79.639 58.3641
8.408964 79.684 58.3270
8.469899 79.728 58.2901
8.531276 79.772 58.2530
8.593097 79.816 58.2152
8.655366 79.860 58.1770
8.718086 79.904 58.1386
8.781260 79.949 58.1000
8.844893 79.993 58.0611
8.908987 80.037 58.0220
8.973545 80.081 57.9826
9.038571 80.126 57.9430
9.104069 80.170 57.9032
9.170040 80.214 57.8630
9.236490 80.258 57.8222
9.303422 80.302 57.7810
9.370838 80.346 57.7396
9.438744 80.391 57.6980
9.507140 80.435 57.6561
9.576033 80.479 57.6140
9.645425 80.523 57.5717
9.715320 80.567 57.5290
9.785721 80.611 57.4857
9.856632 80.656 57.4420
9.928058 80.700 57.3981
10.000000 80.744 57.3540
10.072464 80.788 57.3097
10.145453 80.832 57.2650
10.218971 80.876 57.2197
10.293022 80.921 57.1740
10.367610 80.965 57.1281
10.442738 81.009 57.0820
10.518411 81.053 57.0357
10.594631 81.097 56.9890
10.671404 81.141 56.9418
10.748734 81.186 56.8940
10.826623 81.230 56.8457
10.905077 81.274 56.7970
10.984100 81.318 56.7482
11.063695 81.362 56.6990
11.143867 81.406 56.6497
11.224621 81.451 56.6000
11.305959 81.495 56.5498
11.387886 81.539 56.4990
11.470407 81.583 56.4478
11.553527 81.628 56.3960
11.637249 81.672 56.3437
11.721577 81.716 56.2910
11.806517 81.760 56.2382
11.892071 81.804 56.1851
11.978246 81.848 56.1312
12.065045 81.893 56.0770
12.152473 81.937 56.0228
12.240536 81.981 55.9680
12.329235 82.025 55.9123
12.418578 82.069 55.8560
12.508568 82.113 55.7997
12.599211 82.158 55.7430
12.690510 82.202 55.6858
12.782471 82.246 55.6281
12.875097 82.290 55.5698
12.968395 82.334 55.5110
13.062370 82.378 55.4518
13.157025 82.423 55.3920
13.252366 82.467 55.3318
13.348398 82.511 55.2710
13.445127 82.555 55.2093
13.542556 82.599 55.1471
13.640691 82.643 55.0847
13.739536 82.688 55.0220
13.839099 82.732 54.9589
13.939383 82.776 54.8951
14.040393 82.820 54.8304
14.142136 82.864 54.7650
14.244616 82.908 54.6993
14.347837 82.953 54.6330
14.451808 82.997 54.5658
14.556532 83.041 54.4980
14.662014 83.085 54.4299
14.768262 83.130 54.3611
14.875278 83.174 54.2915
14.983070 83.218 54.2211
15.091644 83.262 54.1499
15.201005 83.306 54.0781
15.311157 83.350 54.0054
15.422109 83.395 53.9321
15.533863 83.439 53.8579
15.646428 83.483 53.7830
15.759809 83.527 53.7079
15.874010 83.571 53.6321
15.989040 83.615 53.5551
16.104904 83.660 53.4771
16.221605 83.704 53.3980
16.339155 83.748 53.3181
16.457554 83.792 53.2375
16.576813 83.836 53.1561
16.696936 83.880 53.0736
16.817928 83.925 52.9901
16.939798 83.969 52.9056
17.062551 84.013 52.8201
17.186193 84.057 52.7337
17.310732 84.101 52.6461
17.436172 84.145 52.5567
17.562521 84.190 52.4661
17.689787 84.234 52.3743
17.817974 84.278 52.2811
17.947090 84.322 52.1865
18.077143 84.366 52.0901
18.208138 84.410 51.9916
18.340080 84.455 51.8911
18.472980 84.499 51.7883
18.606844 84.543 51.6831
18.741676 84.587 51.5755
18.877487 84.631 51.4641
19.014280 84.676 51.3478
19.152065 84.720 51.2262
19.290850 84.763 51.0981
19.430639 84.806 50.9641
19.571442 84.848 50.8232
19.713264 84.888 50.6782
19.856115 84.926 50.5296
20.000000 84.961 50.3831
20.144928 84.993 50.2439
20.290907 85.024 50.1141
20.437943 85.053 49.9969
20.586044 85.081 49.8941
20.735220 85.108 49.8091
20.885475 85.136 49.7401
21.036821 85.166 49.6876
21.189262 85.197 49.6470
21.342808 85.231 49.6157
21.497467 85.267 49.5890
21.653246 85.306 49.5620
21.810154 85.347 49.5330
21.968201 85.389 49.4987
22.127390 85.433 49.4590
22.287735 85.477 49.4124
22.449242 85.522 49.3610
22.611917 85.567 49.3065
22.775772 85.612 49.2491
22.940815 85.658 49.1895
23.107054 85.704 49.1281
23.274498 85.750 49.0667
23.443153 85.798 49.0021
23.613033 85.848 48.9326
23.784142 85.899 48.8551
23.956491 85.951 48.7657
24.130091 86.004 48.6641
24.304947 86.057 48.5478
24.481071 86.109 48.4192
24.658470 86.159 48.2789
24.837156 86.208 48.1292
25.017136 86.256 47.9712
25.198421 86.301 47.8092
25.381020 86.343 47.6460
25.564941 86.383 47.4871
25.750195 86.421 47.3393
25.936790 86.458 47.2012
26.124741 86.496 47.0746
26.314051 86.535 46.9562
26.504732 86.575 46.8435
26.696796 86.616 46.7351
26.890253 86.658 46.6304
27.085112 86.702 46.5241
27.281382 86.749 46.4115
27.479073 86.798 46.2902
27.678198 86.846 46.1557
27.878765 86.894 46.0102
28.080786 86.942 45.8547
28.284271 86.990 45.6882
28.489231 87.037 45.5081
28.695675 87.082 45.3203
28.903616 87.123 45.1291
29.113064 87.163 44.9363
29.324028 87.203 44.7441
29.536524 87.241 44.5542
29.750557 87.277 44.3679
29.966141 87.311 44.1882
30.183289 87.344 44.0197
30.402010 87.377 43.8592
30.622314 87.412 43.7057
30.844217 87.448 43.5572
31.067726 87.483 43.4116
31.292856 87.519 43.2682
31.519617 87.557 43.1270
31.748020 87.597 42.9832
31.978081 87.638 42.8320
32.209808 87.679 42.6732
32.443211 87.720 42.5043
32.678310 87.761 42.3272
32.915108 87.801 42.1420
33.153625 87.839 41.9522
33.393871 87.875 41.7610
33.635857 87.909 41.5693
33.879597 87.944 41.3783
34.125103 87.977 41.1903
34.372387 88.008 41.0070
34.621464 88.038 40.8313
34.872345 88.068 40.6682
35.125042 88.098 40.5122
35.379574 88.131 40.3601
35.635948 88.165 40.2102
35.894180 88.199 40.0602
36.154285 88.234 39.9092
36.416275 88.271 39.7561
36.680161 88.308 39.5992
36.945961 88.345 39.4361
37.213688 88.382 39.2683
37.483353 88.419 39.0966
37.754974 88.456 38.9203
38.028561 88.494 38.7379
38.304131 88.531 38.5512
38.581699 88.566 38.3615
38.861279 88.601 38.1683
39.142883 88.637 37.9725
39.426529 88.673 37.7723
39.712231 88.708 37.5649
40.000000 88.742 37.3543
40.289856 88.774 37.1437
40.581814 88.805 36.9323
40.875885 88.837 36.7199
41.172089 88.867 36.5083
41.470440 88.894 36.2987
41.770950 88.921 36.0923
42.073643 88.949 35.8916
42.378525 88.977 35.6943
42.685616 89.004 35.4983
42.994934 89.030 35.3053
43.306492 89.056 35.1163
43.620308 89.082 34.9313
43.936401 89.109 34.7510
44.254780 89.136 34.5743
44.575470 89.163 34.4008
44.898483 89.190 34.2293
45.223835 89.218 34.0587
45.551544 89.247 33.8882
45.881630 89.276 33.7164
46.214108 89.306 33.5443
46.548996 89.336 33.3736
46.886307 89.366 33.2013
47.226067 89.398 33.0248
47.568283 89.431 32.8443
47.912983 89.463 32.6595
48.260181 89.496 32.4693
48.609894 89.530 32.2731
48.962143 89.565 32.0693
49.316940 89.598 31.8556
49.674313 89.631 31.6334
50.034271 89.664 31.4027
50.396843 89.696 31.1654
50.762039 89.726 30.9218
51.129883 89.754 30.6754
51.500389 89.780 30.4291
51.873581 89.805 30.1844
52.249481 89.829 29.9440
52.628101 89.852 29.7074
53.009464 89.875 29.4756
53.393593 89.898 29.2474
53.780506 89.920 29.0221
54.170223 89.942 28.7994
54.562763 89.964 28.5785
54.958145 89.987 28.3593
55.356396 90.009 28.1412
55.757530 90.031 27.9243
56.161572 90.054 27.7093
56.568542 90.077 27.4954
56.978462 90.100 27.2821
57.391350 90.123 27.0694
57.807232 90.147 26.8579
58.226128 90.171 26.6454
58.648056 90.196 26.4297
59.073048 90.222 26.2104
59.501114 90.248 25.9860
59.932281 90.274 25.7564
60.366577 90.301 25.5214
60.804020 90.328 25.2794
61.244629 90.355 25.0284
61.688435 90.381 24.7704
62.135452 90.406 24.5069
62.585712 90.430 24.2385
63.039234 90.454 23.9662
63.496040 90.477 23.6905
63.956161 90.499 23.4119
64.419617 90.521 23.1315
64.886421 90.542 22.8516
65.356621 90.563 22.5695
65.830215 90.584 22.2838
66.307251 90.606 21.9936
66.787743 90.627 21.6983
67.271713 90.648 21.3956
67.759193 90.671 21.0836
68.250206 90.694 20.7596
68.744774 90.715 20.4193
69.242928 90.735 20.0657
69.744690 90.753 19.6997
70.250084 90.769 19.3227
70.759148 90.783 18.9361
71.271896 90.794 18.5407
71.788361 90.803 18.1373
72.308571 90.809 17.7278
72.832550 90.812 17.3153
73.360321 90.813 16.8978
73.891922 90.812 16.4744
74.427376 90.808 16.0448
74.966705 90.801 15.6071
75.509949 90.789 15.1648
76.057121 90.772 14.7200
76.608261 90.750 14.2759
77.163399 90.723 13.8338
77.722557 90.690 13.4019
78.285767 90.649 12.9853
78.853058 90.601 12.5948
79.424461 90.546 12.2410
80.000000 90.485 11.9296
80.579712 90.420 11.6687
81.163628 90.352 11.4603
81.751770 90.282 11.3098
82.344177 90.211 11.2151
82.940880 90.141 11.1776
83.541901 90.074 11.1929
84.147285 90.011 11.2586
84.757050 89.952 11.3697
85.371231 89.898 11.5225
85.989868 89.849 11.7116
86.612984 89.807 11.9316
87.240616 89.771 12.1795
87.872803 89.741 12.4508
88.509560 89.717 12.7444
89.150940 89.700 13.0590
89.796967 89.690 13.3903
90.447670 89.689 13.7378
91.103088 89.697 14.0893
91.763260 89.716 14.4359
92.428215 89.746 14.7673
93.097992 89.785 15.0731
93.772614 89.833 15.3445
94.452133 89.888 15.5708
95.136566 89.950 15.7477
95.825966 90.016 15.8662
