* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\tygr 300r_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:43:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\tygr 300r_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: tygr 300r_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 76.601 61.2590
5.036232 76.621 61.2474
5.072727 76.643 61.2350
5.109486 76.668 61.2209
5.146511 76.697 61.2050
5.183805 76.732 61.1860
5.221369 76.770 61.1660
5.259205 76.809 61.1472
5.297316 76.850 61.1280
5.335702 76.894 61.1072
5.374367 76.939 61.0860
5.413311 76.983 61.0654
5.452538 77.028 61.0450
5.492050 77.072 61.0251
5.531847 77.117 61.0050
5.571934 77.162 60.9841
5.612310 77.206 60.9630
5.652979 77.250 60.9426
5.693943 77.294 60.9220
5.735204 77.338 60.9006
5.776763 77.383 60.8790
5.818624 77.427 60.8581
5.860788 77.472 60.8370
5.903258 77.516 60.8151
5.946035 77.561 60.7930
5.989123 77.606 60.7710
6.032523 77.650 60.7490
6.076237 77.694 60.7271
6.120268 77.738 60.7050
6.164618 77.782 60.6826
6.209289 77.827 60.6600
6.254284 77.871 60.6376
6.299605 77.916 60.6150
6.345255 77.960 60.5916
6.391235 78.005 60.5680
6.437549 78.050 60.5451
6.484198 78.094 60.5220
6.531185 78.138 60.4981
6.578513 78.182 60.4740
6.626183 78.226 60.4501
6.674199 78.271 60.4260
6.722563 78.315 60.4016
6.771278 78.360 60.3770
6.820345 78.404 60.3526
6.869768 78.449 60.3280
6.919549 78.494 60.3031
6.969691 78.538 60.2780
7.020196 78.582 60.2526
7.071068 78.626 60.2270
7.122308 78.670 60.2011
7.173919 78.715 60.1750
7.225904 78.759 60.1491
7.278266 78.804 60.1230
7.331007 78.848 60.0966
7.384131 78.893 60.0700
7.437639 78.937 60.0431
7.491535 78.982 60.0160
7.545822 79.027 59.9891
7.600502 79.071 59.9620
7.655579 79.115 59.9346
7.711054 79.159 59.9070
7.766932 79.203 59.8791
7.823214 79.248 59.8510
7.879904 79.292 59.8226
7.937005 79.337 59.7940
7.994520 79.381 59.7651
8.052452 79.426 59.7360
8.110803 79.471 59.7066
8.169578 79.515 59.6770
8.228777 79.559 59.6476
8.288406 79.603 59.6180
8.348468 79.647 59.5876
8.408964 79.692 59.5570
8.469899 79.736 59.5266
8.531276 79.781 59.4960
8.593097 79.825 59.4651
8.655366 79.870 59.4340
8.718086 79.915 59.4026
8.781260 79.959 59.3710
8.844893 80.003 59.3391
8.908987 80.047 59.3070
8.973545 80.091 59.2746
9.038571 80.136 59.2420
9.104069 80.180 59.2091
9.170040 80.225 59.1760
9.236490 80.269 59.1426
9.303422 80.314 59.1090
9.370838 80.359 59.0751
9.438744 80.403 59.0410
9.507140 80.447 59.0066
9.576033 80.491 58.9720
9.645425 80.535 58.9371
9.715320 80.580 58.9020
9.785721 80.624 58.8666
9.856632 80.669 58.8310
9.928058 80.713 58.7951
10.000000 80.758 58.7590
10.072464 80.803 58.7227
10.145453 80.847 58.6860
10.218971 80.891 58.6492
10.293022 80.935 58.6120
10.367610 80.979 58.5741
10.442738 81.024 58.5360
10.518411 81.068 58.4981
10.594631 81.113 58.4600
10.671404 81.158 58.4212
10.748734 81.202 58.3820
10.826623 81.246 58.3426
10.905077 81.291 58.3030
10.984100 81.336 58.2632
11.063695 81.380 58.2230
11.143867 81.424 58.1822
11.224621 81.468 58.1410
11.305959 81.512 58.0996
11.387886 81.557 58.0580
11.470407 81.601 58.0161
11.553527 81.646 57.9740
11.637249 81.690 57.9317
11.721577 81.735 57.8890
11.806517 81.780 57.8457
11.892071 81.824 57.8020
11.978246 81.868 57.7582
12.065045 81.912 57.7140
12.152473 81.956 57.6692
12.240536 82.001 57.6240
12.329235 82.045 57.5787
12.418578 82.090 57.5330
12.508568 82.134 57.4872
12.599211 82.179 57.4410
12.690510 82.224 57.3943
12.782471 82.268 57.3470
12.875097 82.312 57.2992
12.968395 82.356 57.2510
13.062370 82.400 57.2027
13.157025 82.445 57.1540
13.252366 82.489 57.1047
13.348398 82.534 57.0550
13.445127 82.578 57.0052
13.542556 82.623 56.9551
13.640691 82.668 56.9043
13.739536 82.712 56.8530
13.839099 82.756 56.8012
13.939383 82.800 56.7490
14.040393 82.844 56.6968
14.142136 82.889 56.6440
14.244616 82.933 56.5903
14.347837 82.978 56.5360
14.451808 83.022 56.4817
14.556532 83.067 56.4270
14.662014 83.111 56.3719
14.768262 83.156 56.3161
14.875278 83.201 56.2593
14.983070 83.245 56.2021
15.091644 83.289 56.1448
15.201005 83.333 56.0870
15.311157 83.377 56.0283
15.422109 83.422 55.9690
15.533863 83.466 55.9098
15.646428 83.511 55.8500
15.759809 83.555 55.7893
15.874010 83.600 55.7280
15.989040 83.645 55.6664
16.104904 83.689 55.6040
16.221605 83.733 55.5409
16.339155 83.777 55.4771
16.457554 83.821 55.4129
16.576813 83.866 55.3480
16.696936 83.910 55.2824
16.817928 83.955 55.2160
16.939798 83.999 55.1494
17.062551 84.044 55.0821
17.186193 84.089 55.0139
17.310732 84.133 54.9450
17.436172 84.177 54.8754
17.562521 84.221 54.8050
17.689787 84.265 54.7339
17.817974 84.310 54.6621
17.947090 84.354 54.5895
18.077143 84.399 54.5160
18.208138 84.443 54.4415
18.340080 84.488 54.3661
18.472980 84.533 54.2900
18.606844 84.577 54.2130
18.741676 84.621 54.1349
18.877487 84.665 54.0561
19.014280 84.709 53.9770
19.152065 84.754 53.8971
19.290850 84.799 53.8161
19.430639 84.845 53.7331
19.571442 84.890 53.6473
19.713264 84.936 53.5571
19.856115 84.983 53.4613
20.000000 85.029 53.3581
20.144928 85.075 53.2440
20.290907 85.119 53.1231
20.437943 85.161 52.9975
20.586044 85.201 52.8701
20.735220 85.240 52.7433
20.885475 85.276 52.6211
21.036821 85.309 52.5061
21.189262 85.340 52.4051
21.342808 85.369 52.3261
21.497467 85.398 52.2681
21.653246 85.429 52.2344
21.810154 85.463 52.2190
21.968201 85.500 52.2196
22.127390 85.541 52.2280
22.287735 85.588 52.2390
22.449242 85.640 52.2420
22.611917 85.698 52.2266
22.775772 85.760 52.1871
22.940815 85.824 52.1146
23.107054 85.888 52.0082
23.274498 85.952 51.8617
23.443153 86.014 51.6813
23.613033 86.070 51.4661
23.784142 86.121 51.2302
23.956491 86.164 50.9832
24.130091 86.200 50.7373
24.304947 86.229 50.5050
24.481071 86.253 50.2943
24.658470 86.271 50.1165
24.837156 86.287 49.9742
25.017136 86.302 49.8766
25.198421 86.320 49.8150
25.381020 86.342 49.7885
25.564941 86.370 49.7830
25.750195 86.404 49.7876
25.936790 86.444 49.7930
26.124741 86.489 49.7879
26.314051 86.537 49.7680
26.504732 86.588 49.7249
26.696796 86.641 49.6601
26.890253 86.694 49.5706
27.085112 86.745 49.4621
27.281382 86.794 49.3371
27.479073 86.840 49.2022
27.678198 86.884 49.0644
27.878765 86.926 48.9252
28.080786 86.967 48.7887
28.284271 87.008 48.6542
28.489231 87.048 48.5223
28.695675 87.087 48.3922
28.903616 87.127 48.2636
29.113064 87.167 48.1352
29.324028 87.206 48.0059
29.536524 87.246 47.8752
29.750557 87.286 47.7424
29.966141 87.326 47.6071
30.183289 87.366 47.4688
30.402010 87.405 47.3272
30.622314 87.444 47.1816
30.844217 87.482 47.0322
31.067726 87.520 46.8780
31.292856 87.556 46.7222
31.519617 87.590 46.5668
31.748020 87.623 46.4142
31.978081 87.654 46.2674
32.209808 87.685 46.1272
32.443211 87.715 45.9954
32.678310 87.744 45.8722
32.915108 87.774 45.7590
33.153625 87.804 45.6531
33.393871 87.836 45.5538
33.635857 87.870 45.4562
33.879597 87.905 45.3552
34.125103 87.941 45.2511
34.372387 87.977 45.1418
34.621464 88.013 45.0292
34.872345 88.049 44.9141
35.125042 88.084 44.7971
35.379574 88.119 44.6786
35.635948 88.153 44.5601
35.894180 88.187 44.4436
36.154285 88.221 44.3292
36.416275 88.255 44.2188
36.680161 88.289 44.1092
36.945961 88.325 43.9978
37.213688 88.361 43.8842
37.483353 88.397 43.7666
37.754974 88.432 43.6462
38.028561 88.468 43.5229
38.304131 88.503 43.3982
38.581699 88.537 43.2726
38.861279 88.570 43.1482
39.142883 88.602 43.0275
39.426529 88.635 42.9102
39.712231 88.668 42.7972
40.000000 88.702 42.6862
40.289856 88.737 42.5750
40.581814 88.772 42.4642
40.875885 88.807 42.3540
41.172089 88.842 42.2422
41.470440 88.879 42.1260
41.770950 88.916 42.0072
42.073643 88.951 41.8865
42.378525 88.987 41.7642
42.685616 89.024 41.6415
42.994934 89.061 41.5162
43.306492 89.098 41.3854
43.620308 89.135 41.2512
43.936401 89.171 41.1149
44.254780 89.207 40.9762
44.575470 89.243 40.8355
44.898483 89.280 40.6922
45.223835 89.316 40.5458
45.551544 89.351 40.3972
45.881630 89.386 40.2468
46.214108 89.420 40.0952
46.548996 89.454 39.9434
46.886307 89.488 39.7912
47.226067 89.521 39.6385
47.568283 89.553 39.4863
47.912983 89.586 39.3352
48.260181 89.618 39.1862
48.609894 89.649 39.0409
48.962143 89.681 38.8982
49.316940 89.713 38.7589
49.674313 89.746 38.6202
50.034271 89.780 38.4802
50.396843 89.815 38.3372
50.762039 89.851 38.1892
51.129883 89.887 38.0353
51.500389 89.923 37.8733
51.873581 89.959 37.7043
52.249481 89.994 37.5275
52.628101 90.028 37.3463
53.009464 90.060 37.1630
53.393593 90.090 36.9803
53.780506 90.119 36.8020
54.170223 90.148 36.6273
54.562763 90.178 36.4562
54.958145 90.207 36.2893
55.356396 90.235 36.1277
55.757530 90.263 35.9702
56.161572 90.293 35.8172
56.568542 90.325 35.6653
56.978462 90.358 35.5116
57.391350 90.392 35.3543
57.807232 90.427 35.1920
58.226128 90.463 35.0203
58.648056 90.502 34.8354
59.073048 90.542 34.6343
59.501114 90.581 34.4116
59.932281 90.618 34.1714
60.366577 90.652 33.9147
60.804020 90.684 33.6455
61.244629 90.713 33.3645
61.688435 90.737 33.0825
62.135452 90.754 32.8088
62.585712 90.768 32.5484
63.039234 90.781 32.3111
63.496040 90.794 32.0914
63.956161 90.807 31.8882
64.419617 90.822 31.6973
64.886421 90.839 31.5164
65.356621 90.857 31.3393
65.830215 90.878 31.1610
66.307251 90.900 30.9764
66.787743 90.924 30.7785
67.271713 90.948 30.5684
67.759193 90.970 30.3429
68.250206 90.991 30.1074
68.744774 91.008 29.8646
69.242928 91.023 29.6195
69.744690 91.035 29.3773
70.250084 91.044 29.1395
70.759148 91.052 28.9083
71.271896 91.058 28.6854
71.788361 91.062 28.4726
72.308571 91.064 28.2714
72.832550 91.065 28.0841
73.360321 91.066 27.9093
73.891922 91.067 27.7461
74.427376 91.067 27.5953
74.966705 91.067 27.4576
75.509949 91.067 27.3322
76.057121 91.068 27.2185
76.608261 91.069 27.1162
77.163399 91.070 27.0255
77.722557 91.073 26.9442
78.285767 91.078 26.8708
78.853058 91.084 26.8031
79.424461 91.091 26.7381
80.000000 91.099 26.6771
80.579712 91.107 26.6204
81.163628 91.116 26.5681
81.751770 91.126 26.5205
82.344177 91.138 26.4771
82.940880 91.150 26.4384
83.541901 91.164 26.4021
84.147285 91.179 26.3660
84.757050 91.196 26.3301
85.371231 91.214 26.2943
85.989868 91.233 26.2561
86.612984 91.254 26.2134
87.240616 91.276 26.1651
87.872803 91.298 26.1084
88.509560 91.321 26.0461
89.150940 91.343 25.9797
89.796967 91.364 25.9111
90.447670 91.385 25.8428
91.103088 91.407 25.7751
91.763260 91.428 25.7098
92.428215 91.450 25.6451
93.097992 91.474 25.5809
93.772614 91.498 25.5151
94.452133 91.522 25.4454
95.136566 91.547 25.3732
95.825966 91.572 25.3000
96.520363 91.597 25.2232
97.219788 91.625 25.1397
