* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Bose QC45_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:22:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Bose QC45_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Bose QC45_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.041 16.2340
5.036232 90.047 16.2243
5.072727 90.053 16.2140
5.109486 90.060 16.2028
5.146511 90.069 16.1900
5.183805 90.079 16.1742
5.221369 90.090 16.1570
5.259205 90.102 16.1394
5.297316 90.114 16.1210
5.335702 90.127 16.1017
5.374367 90.140 16.0820
5.413311 90.153 16.0626
5.452538 90.166 16.0430
5.492050 90.179 16.0231
5.531847 90.192 16.0030
5.571934 90.205 15.9825
5.612310 90.218 15.9620
5.652979 90.231 15.9421
5.693943 90.244 15.9220
5.735204 90.257 15.9011
5.776763 90.270 15.8800
5.818624 90.283 15.8590
5.860788 90.296 15.8380
5.903258 90.309 15.8171
5.946035 90.323 15.7960
5.989123 90.336 15.7741
6.032523 90.349 15.7520
6.076237 90.362 15.7300
6.120268 90.375 15.7080
6.164618 90.388 15.6861
6.209289 90.401 15.6640
6.254284 90.414 15.6416
6.299605 90.427 15.6190
6.345255 90.440 15.5961
6.391235 90.453 15.5730
6.437549 90.466 15.5501
6.484198 90.479 15.5270
6.531185 90.492 15.5036
6.578513 90.505 15.4800
6.626183 90.518 15.4561
6.674199 90.531 15.4320
6.722563 90.544 15.4076
6.771278 90.558 15.3830
6.820345 90.571 15.3586
6.869768 90.584 15.3340
6.919549 90.597 15.3091
6.969691 90.610 15.2840
7.020196 90.623 15.2591
7.071068 90.636 15.2340
7.122308 90.649 15.2081
7.173919 90.662 15.1820
7.225904 90.675 15.1561
7.278266 90.688 15.1300
7.331007 90.701 15.1036
7.384131 90.714 15.0770
7.437639 90.727 15.0506
7.491535 90.740 15.0240
7.545822 90.753 14.9966
7.600502 90.766 14.9690
7.655579 90.779 14.9416
7.711054 90.793 14.9140
7.766932 90.806 14.8861
7.823214 90.819 14.8580
7.879904 90.832 14.8296
7.937005 90.845 14.8010
7.994520 90.858 14.7721
8.052452 90.871 14.7430
8.110803 90.884 14.7141
8.169578 90.897 14.6850
8.228777 90.910 14.6551
8.288406 90.923 14.6250
8.348468 90.936 14.5951
8.408964 90.949 14.5650
8.469899 90.962 14.5346
8.531276 90.975 14.5040
8.593097 90.988 14.4732
8.655366 91.001 14.4420
8.718086 91.014 14.4101
8.781260 91.028 14.3780
8.844893 91.041 14.3461
8.908987 91.054 14.3140
8.973545 91.067 14.2816
9.038571 91.080 14.2490
9.104069 91.093 14.2161
9.170040 91.106 14.1830
9.236490 91.119 14.1496
9.303422 91.132 14.1160
9.370838 91.145 14.0821
9.438744 91.158 14.0480
9.507140 91.171 14.0136
9.576033 91.184 13.9790
9.645425 91.197 13.9441
9.715320 91.210 13.9090
9.785721 91.223 13.8736
9.856632 91.236 13.8380
9.928058 91.249 13.8021
10.000000 91.263 13.7660
10.072464 91.276 13.7297
10.145453 91.289 13.6930
10.218971 91.302 13.6557
10.293022 91.315 13.6180
10.367610 91.328 13.5801
10.442738 91.341 13.5420
10.518411 91.354 13.5041
10.594631 91.367 13.4660
10.671404 91.380 13.4272
10.748734 91.393 13.3880
10.826623 91.406 13.3487
10.905077 91.419 13.3090
10.984100 91.432 13.2687
11.063695 91.445 13.2280
11.143867 91.458 13.1876
11.224621 91.471 13.1470
11.305959 91.484 13.1057
11.387886 91.498 13.0640
11.470407 91.511 13.0222
11.553527 91.524 12.9800
11.637249 91.537 12.9372
11.721577 91.550 12.8940
11.806517 91.563 12.8507
11.892071 91.576 12.8070
11.978246 91.589 12.7632
12.065045 91.602 12.7190
12.152473 91.615 12.6742
12.240536 91.628 12.6290
12.329235 91.641 12.5837
12.418578 91.654 12.5380
12.508568 91.667 12.4922
12.599211 91.680 12.4460
12.690510 91.693 12.3993
12.782471 91.706 12.3520
12.875097 91.719 12.3042
12.968395 91.733 12.2560
13.062370 91.746 12.2077
13.157025 91.759 12.1590
13.252366 91.772 12.1102
13.348398 91.785 12.0610
13.445127 91.798 12.0113
13.542556 91.811 11.9611
13.640691 91.824 11.9103
13.739536 91.837 11.8590
13.839099 91.850 11.8072
13.939383 91.863 11.7550
14.040393 91.876 11.7027
14.142136 91.889 11.6500
14.244616 91.902 11.5968
14.347837 91.915 11.5430
14.451808 91.928 11.4888
14.556532 91.941 11.4340
14.662014 91.954 11.3788
14.768262 91.968 11.3231
14.875278 91.981 11.2668
14.983070 91.994 11.2101
15.091644 92.007 11.1528
15.201005 92.020 11.0950
15.311157 92.033 11.0368
15.422109 92.046 10.9780
15.533863 92.059 10.9188
15.646428 92.072 10.8590
15.759809 92.085 10.7989
15.874010 92.098 10.7380
15.989040 92.111 10.6764
16.104904 92.124 10.6140
16.221605 92.137 10.5514
16.339155 92.150 10.4881
16.457554 92.163 10.4239
16.576813 92.176 10.3590
16.696936 92.189 10.2939
16.817928 92.203 10.2280
16.939798 92.216 10.1614
17.062551 92.229 10.0941
17.186193 92.242 10.0259
17.310732 92.255 9.9570
17.436172 92.268 9.8875
17.562521 92.281 9.8171
17.689787 92.294 9.7455
17.817974 92.307 9.6731
17.947090 92.320 9.6001
18.077143 92.333 9.5260
18.208138 92.346 9.4507
18.340080 92.359 9.3741
18.472980 92.372 9.2963
18.606844 92.385 9.2170
18.741676 92.398 9.1366
18.877487 92.411 9.0541
19.014280 92.424 8.9690
19.152065 92.437 8.8811
19.290850 92.450 8.7902
19.430639 92.463 8.6961
19.571442 92.475 8.5982
19.713264 92.487 8.4971
19.856115 92.498 8.3924
20.000000 92.508 8.2861
20.144928 92.516 8.1795
20.290907 92.523 8.0741
20.437943 92.529 7.9713
20.586044 92.534 7.8731
20.735220 92.537 7.7808
20.885475 92.539 7.6971
21.036821 92.540 7.6248
21.189262 92.541 7.5641
21.342808 92.542 7.5163
21.497467 92.544 7.4810
21.653246 92.546 7.4593
21.810154 92.550 7.4480
21.968201 92.557 7.4464
22.127390 92.566 7.4490
22.287735 92.579 7.4510
22.449242 92.594 7.4500
22.611917 92.610 7.4417
22.775772 92.628 7.4270
22.940815 92.646 7.4059
23.107054 92.666 7.3770
23.274498 92.687 7.3391
23.443153 92.709 7.2921
23.613033 92.730 7.2343
23.784142 92.751 7.1691
23.956491 92.771 7.0989
24.130091 92.791 7.0251
24.304947 92.810 6.9505
24.481071 92.829 6.8731
24.658470 92.850 6.7916
24.837156 92.870 6.7071
25.017136 92.889 6.6193
25.198421 92.907 6.5311
25.381020 92.925 6.4463
25.564941 92.944 6.3621
25.750195 92.964 6.2777
25.936790 92.985 6.1911
26.124741 93.007 6.1007
26.314051 93.029 6.0051
26.504732 93.053 5.9030
26.696796 93.077 5.7931
26.890253 93.101 5.6723
27.085112 93.124 5.5451
27.281382 93.146 5.4151
27.479073 93.167 5.2822
27.678198 93.189 5.1484
27.878765 93.211 5.0112
28.080786 93.234 4.8675
28.284271 93.256 4.7202
28.489231 93.277 4.5720
28.695675 93.298 4.4212
28.903616 93.321 4.2678
29.113064 93.344 4.1092
29.324028 93.367 3.9427
29.536524 93.390 3.7692
29.750557 93.413 3.5881
29.966141 93.435 3.4012
30.183289 93.457 3.2106
30.402010 93.478 3.0152
30.622314 93.500 2.8149
30.844217 93.522 2.6092
31.067726 93.544 2.3980
31.292856 93.565 2.1803
31.519617 93.587 1.9552
31.748020 93.608 1.7223
31.978081 93.629 1.4813
32.209808 93.650 1.2313
32.443211 93.670 0.9715
32.678310 93.690 0.7014
32.915108 93.709 0.4194
33.153625 93.727 0.1274
33.393871 93.743 -0.1745
33.635857 93.756 -0.4835
33.879597 93.767 -0.7974
34.125103 93.776 -1.1146
34.372387 93.783 -1.4336
34.621464 93.789 -1.7525
34.872345 93.792 -2.0690
35.125042 93.794 -2.3826
35.379574 93.795 -2.6914
35.635948 93.796 -2.9976
35.894180 93.796 -3.3023
36.154285 93.796 -3.6076
36.416275 93.796 -3.9150
36.680161 93.795 -4.2265
36.945961 93.794 -4.5445
37.213688 93.792 -4.8685
37.483353 93.788 -5.1996
37.754974 93.782 -5.5355
38.028561 93.774 -5.8753
38.304131 93.764 -6.2165
38.581699 93.751 -6.5572
38.861279 93.735 -6.8945
39.142883 93.717 -7.2251
39.426529 93.697 -7.5486
39.712231 93.675 -7.8641
40.000000 93.651 -8.1696
40.289856 93.625 -8.4623
40.581814 93.598 -8.7436
40.875885 93.572 -9.0123
41.172089 93.545 -9.2726
41.470440 93.519 -9.5297
41.770950 93.491 -9.7796
42.073643 93.461 -10.0194
42.378525 93.430 -10.2507
42.685616 93.401 -10.4734
42.994934 93.372 -10.6887
43.306492 93.342 -10.8989
43.620308 93.311 -11.1007
43.936401 93.279 -11.2908
44.254780 93.247 -11.4707
44.575470 93.216 -11.6399
44.898483 93.186 -11.8007
45.223835 93.156 -11.9551
45.551544 93.127 -12.1038
45.881630 93.099 -12.2474
46.214108 93.072 -12.3888
46.548996 93.047 -12.5307
46.886307 93.023 -12.6748
47.226067 92.999 -12.8241
47.568283 92.974 -12.9767
47.912983 92.949 -13.1319
48.260181 92.923 -13.2887
48.609894 92.897 -13.4464
48.962143 92.870 -13.6048
49.316940 92.842 -13.7644
49.674313 92.812 -13.9218
50.034271 92.781 -14.0736
50.396843 92.748 -14.2198
50.762039 92.715 -14.3587
51.129883 92.682 -14.4908
51.500389 92.647 -14.6169
51.873581 92.611 -14.7338
52.249481 92.574 -14.8383
52.628101 92.537 -14.9309
53.009464 92.500 -15.0108
53.393593 92.463 -15.0789
53.780506 92.428 -15.1345
54.170223 92.393 -15.1809
54.562763 92.360 -15.2212
54.958145 92.327 -15.2550
55.356396 92.295 -15.2825
55.757530 92.263 -15.3050
56.161572 92.234 -15.3228
56.568542 92.205 -15.3380
56.978462 92.177 -15.3537
57.391350 92.149 -15.3660
57.807232 92.120 -15.3719
58.226128 92.091 -15.3710
58.648056 92.064 -15.3605
59.073048 92.038 -15.3440
59.501114 92.014 -15.3253
59.932281 91.990 -15.3020
60.366577 91.966 -15.2718
60.804020 91.944 -15.2381
61.244629 91.925 -15.2032
61.688435 91.908 -15.1681
62.135452 91.891 -15.1352
62.585712 91.875 -15.1021
63.039234 91.860 -15.0656
63.496040 91.846 -15.0291
63.956161 91.835 -14.9947
64.419617 91.825 -14.9631
64.886421 91.815 -14.9354
65.356621 91.807 -14.9110
65.830215 91.801 -14.8888
66.307251 91.796 -14.8720
66.787743 91.793 -14.8636
67.271713 91.791 -14.8640
67.759193 91.790 -14.8745
68.250206 91.789 -14.8950
68.744774 91.789 -14.9257
69.242928 91.789 -14.9659
69.744690 91.789 -15.0149
70.250084 91.789 -15.0729
70.759148 91.789 -15.1399
71.271896 91.789 -15.2159
71.788361 91.789 -15.3006
72.308571 91.789 -15.3948
72.832550 91.788 -15.4994
73.360321 91.786 -15.6138
73.891922 91.784 -15.7387
74.427376 91.780 -15.8717
74.966705 91.774 -16.0118
75.509949 91.766 -16.1557
76.057121 91.757 -16.3004
76.608261 91.746 -16.4447
77.163399 91.733 -16.5876
77.722557 91.718 -16.7267
78.285767 91.703 -16.8581
78.853058 91.687 -16.9847
79.424461 91.672 -17.1073
80.000000 91.658 -17.2288
80.579712 91.643 -17.3526
81.163628 91.628 -17.4778
81.751770 91.613 -17.6044
82.344177 91.597 -17.7327
82.940880 91.581 -17.8636
83.541901 91.565 -17.9957
84.147285 91.547 -18.1282
84.757050 91.528 -18.2607
85.371231 91.509 -18.3925
85.989868 91.490 -18.5237
86.612984 91.470 -18.6549
87.240616 91.449 -18.7847
87.872803 91.427 -18.9118
88.509560 91.405 -19.0377
89.150940 91.383 -19.1637
89.796967 91.361 -19.2897
90.447670 91.337 -19.4174
