* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\BW PX8 ANC_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:23:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\BW PX8 ANC_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: BW PX8 ANC_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 103.297 -3.7540
5.036232 103.297 -3.7617
5.072727 103.296 -3.7700
5.109486 103.296 -3.7796
5.146511 103.295 -3.7910
5.183805 103.295 -3.8053
5.221369 103.294 -3.8210
5.259205 103.293 -3.8366
5.297316 103.292 -3.8530
5.335702 103.291 -3.8712
5.374367 103.290 -3.8900
5.413311 103.289 -3.9084
5.452538 103.288 -3.9270
5.492050 103.287 -3.9459
5.531847 103.286 -3.9650
5.571934 103.286 -3.9839
5.612310 103.285 -4.0030
5.652979 103.284 -4.0224
5.693943 103.283 -4.0420
5.735204 103.282 -4.0619
5.776763 103.281 -4.0820
5.818624 103.280 -4.1019
5.860788 103.279 -4.1220
5.903258 103.278 -4.1424
5.946035 103.277 -4.1630
5.989123 103.276 -4.1834
6.032523 103.275 -4.2040
6.076237 103.274 -4.2249
6.120268 103.273 -4.2460
6.164618 103.272 -4.2674
6.209289 103.271 -4.2890
6.254284 103.270 -4.3104
6.299605 103.269 -4.3320
6.345255 103.268 -4.3539
6.391235 103.268 -4.3760
6.437549 103.267 -4.3984
6.484198 103.266 -4.4210
6.531185 103.265 -4.4434
6.578513 103.264 -4.4660
6.626183 103.263 -4.4889
6.674199 103.262 -4.5120
6.722563 103.261 -4.5354
6.771278 103.260 -4.5590
6.820345 103.259 -4.5829
6.869768 103.258 -4.6070
6.919549 103.257 -4.6309
6.969691 103.256 -4.6550
7.020196 103.255 -4.6794
7.071068 103.254 -4.7040
7.122308 103.253 -4.7289
7.173919 103.252 -4.7540
7.225904 103.252 -4.7789
7.278266 103.251 -4.8040
7.331007 103.250 -4.8294
7.384131 103.249 -4.8550
7.437639 103.248 -4.8809
7.491535 103.247 -4.9070
7.545822 103.246 -4.9334
7.600502 103.245 -4.9600
7.655579 103.244 -4.9869
7.711054 103.243 -5.0140
7.766932 103.242 -5.0414
7.823214 103.241 -5.0690
7.879904 103.240 -5.0964
7.937005 103.239 -5.1240
7.994520 103.238 -5.1518
8.052452 103.237 -5.1800
8.110803 103.236 -5.2089
8.169578 103.235 -5.2380
8.228777 103.235 -5.2669
8.288406 103.234 -5.2960
8.348468 103.233 -5.3254
8.408964 103.232 -5.3550
8.469899 103.231 -5.3849
8.531276 103.230 -5.4150
8.593097 103.229 -5.4454
8.655366 103.228 -5.4760
8.718086 103.227 -5.5069
8.781260 103.226 -5.5380
8.844893 103.225 -5.5694
8.908987 103.224 -5.6010
8.973545 103.223 -5.6329
9.038571 103.222 -5.6650
9.104069 103.221 -5.6974
9.170040 103.220 -5.7300
9.236490 103.219 -5.7629
9.303422 103.218 -5.7960
9.370838 103.218 -5.8294
9.438744 103.217 -5.8630
9.507140 103.216 -5.8969
9.576033 103.215 -5.9310
9.645425 103.214 -5.9653
9.715320 103.213 -6.0000
9.785721 103.212 -6.0353
9.856632 103.211 -6.0710
9.928058 103.210 -6.1069
10.000000 103.209 -6.1430
10.072464 103.208 -6.1788
10.145453 103.207 -6.2150
10.218971 103.206 -6.2517
10.293022 103.205 -6.2890
10.367610 103.204 -6.3269
10.442738 103.203 -6.3650
10.518411 103.202 -6.4029
10.594631 103.201 -6.4410
10.671404 103.200 -6.4798
10.748734 103.200 -6.5190
10.826623 103.199 -6.5583
10.905077 103.198 -6.5980
10.984100 103.197 -6.6383
11.063695 103.196 -6.6790
11.143867 103.195 -6.7199
11.224621 103.194 -6.7610
11.305959 103.193 -6.8023
11.387886 103.192 -6.8440
11.470407 103.191 -6.8863
11.553527 103.190 -6.9290
11.637249 103.189 -6.9718
11.721577 103.188 -7.0150
11.806517 103.187 -7.0588
11.892071 103.186 -7.1030
11.978246 103.185 -7.1473
12.065045 103.184 -7.1920
12.152473 103.183 -7.2372
12.240536 103.183 -7.2830
12.329235 103.182 -7.3293
12.418578 103.181 -7.3760
12.508568 103.180 -7.4228
12.599211 103.179 -7.4700
12.690510 103.178 -7.5177
12.782471 103.177 -7.5660
12.875097 103.176 -7.6148
12.968395 103.175 -7.6640
13.062370 103.174 -7.7132
13.157025 103.173 -7.7630
13.252366 103.172 -7.8137
13.348398 103.171 -7.8650
13.445127 103.170 -7.9163
13.542556 103.169 -7.9679
13.640691 103.168 -8.0202
13.739536 103.167 -8.0730
13.839099 103.167 -8.1262
13.939383 103.166 -8.1800
14.040393 103.165 -8.2342
14.142136 103.164 -8.2890
14.244616 103.163 -8.3447
14.347837 103.162 -8.4010
14.451808 103.161 -8.4572
14.556532 103.160 -8.5140
14.662014 103.159 -8.5716
14.768262 103.158 -8.6299
14.875278 103.157 -8.6886
14.983070 103.156 -8.7479
15.091644 103.155 -8.8081
15.201005 103.154 -8.8690
15.311157 103.153 -8.9301
15.422109 103.152 -8.9920
15.533863 103.151 -9.0546
15.646428 103.150 -9.1180
15.759809 103.150 -9.1816
15.874010 103.149 -9.2460
15.989040 103.148 -9.3116
16.104904 103.147 -9.3779
16.221605 103.146 -9.4446
16.339155 103.145 -9.5119
16.457554 103.144 -9.5801
16.576813 103.143 -9.6490
16.696936 103.142 -9.7181
16.817928 103.141 -9.7880
16.939798 103.140 -9.8589
17.062551 103.139 -9.9309
17.186193 103.138 -10.0041
17.310732 103.137 -10.0780
17.436172 103.136 -10.1521
17.562521 103.135 -10.2269
17.689787 103.134 -10.3029
17.817974 103.133 -10.3799
17.947090 103.133 -10.4580
18.077143 103.132 -10.5370
18.208138 103.131 -10.6165
18.340080 103.130 -10.6969
18.472980 103.129 -10.7784
18.606844 103.128 -10.8610
18.741676 103.127 -10.9444
18.877487 103.126 -11.0289
19.014280 103.125 -11.1144
19.152065 103.124 -11.2009
19.290850 103.123 -11.2884
19.430639 103.122 -11.3769
19.571442 103.121 -11.4664
19.713264 103.120 -11.5569
19.856115 103.119 -11.6483
20.000000 103.119 -11.7409
20.144928 103.118 -11.8352
20.290907 103.118 -11.9309
20.437943 103.117 -12.0280
20.586044 103.117 -12.1269
20.735220 103.117 -12.2278
20.885475 103.117 -12.3309
21.036821 103.117 -12.4367
21.189262 103.116 -12.5449
21.342808 103.116 -12.6551
21.497467 103.116 -12.7679
21.653246 103.116 -12.8835
21.810154 103.116 -13.0018
21.968201 103.116 -13.1228
22.127390 103.116 -13.2469
22.287735 103.116 -13.3742
22.449242 103.116 -13.5049
22.611917 103.116 -13.6389
22.775772 103.116 -13.7768
22.940815 103.116 -13.9188
23.107054 103.116 -14.0658
23.274498 103.116 -14.2188
23.443153 103.116 -14.3778
23.613033 103.115 -14.5430
23.784142 103.114 -14.7148
23.956491 103.113 -14.8947
24.130091 103.110 -15.0798
24.304947 103.105 -15.2686
24.481071 103.098 -15.4588
24.658470 103.090 -15.6472
24.837156 103.082 -15.8347
25.017136 103.073 -16.0211
25.198421 103.064 -16.2068
25.381020 103.054 -16.3923
25.564941 103.043 -16.5768
25.750195 103.031 -16.7592
25.936790 103.019 -16.9408
26.124741 103.007 -17.1220
26.314051 102.996 -17.3047
26.504732 102.985 -17.4916
26.696796 102.973 -17.6808
26.890253 102.959 -17.8724
27.085112 102.945 -18.0638
27.281382 102.930 -18.2505
27.479073 102.915 -18.4377
27.678198 102.903 -18.6296
27.878765 102.890 -18.8257
28.080786 102.875 -19.0279
28.284271 102.858 -19.2337
28.489231 102.842 -19.4402
28.695675 102.825 -19.6507
28.903616 102.809 -19.8684
29.113064 102.791 -20.0917
29.324028 102.771 -20.3202
29.536524 102.749 -20.5537
29.750557 102.727 -20.7925
29.966141 102.703 -21.0347
30.183289 102.676 -21.2797
30.402010 102.646 -21.5237
30.622314 102.614 -21.7640
30.844217 102.579 -21.9977
31.067726 102.541 -22.2221
31.292856 102.500 -22.4337
31.519617 102.458 -22.6271
31.748020 102.415 -22.8058
31.978081 102.373 -22.9709
32.209808 102.331 -23.1238
32.443211 102.288 -23.2659
32.678310 102.245 -23.3988
32.915108 102.204 -23.5231
33.153625 102.164 -23.6429
33.393871 102.125 -23.7632
33.635857 102.086 -23.8818
33.879597 102.045 -23.9987
34.125103 102.003 -24.1118
34.372387 101.961 -24.2189
34.621464 101.919 -24.3208
34.872345 101.876 -24.4180
35.125042 101.833 -24.5099
35.379574 101.791 -24.5955
35.635948 101.748 -24.6769
35.894180 101.705 -24.7562
36.154285 101.662 -24.8329
36.416275 101.619 -24.9071
36.680161 101.575 -24.9789
36.945961 101.531 -25.0488
37.213688 101.485 -25.1149
37.483353 101.438 -25.1766
37.754974 101.389 -25.2299
38.028561 101.339 -25.2706
38.304131 101.288 -25.2990
38.581699 101.237 -25.3141
38.861279 101.186 -25.3160
39.142883 101.135 -25.3040
39.426529 101.084 -25.2790
39.712231 101.034 -25.2408
40.000000 100.986 -25.1931
40.289856 100.939 -25.1391
40.581814 100.894 -25.0801
40.875885 100.850 -25.0185
41.172089 100.806 -24.9541
41.470440 100.763 -24.8879
41.770950 100.721 -24.8191
42.073643 100.678 -24.7478
42.378525 100.635 -24.6731
42.685616 100.592 -24.5946
42.994934 100.549 -24.5111
43.306492 100.506 -24.4221
43.620308 100.462 -24.3262
43.936401 100.418 -24.2227
44.254780 100.374 -24.1092
44.575470 100.329 -23.9836
44.898483 100.284 -23.8442
45.223835 100.240 -23.6871
45.551544 100.197 -23.5173
45.881630 100.158 -23.3381
46.214108 100.120 -23.1503
46.548996 100.082 -22.9563
46.886307 100.045 -22.7543
47.226067 100.011 -22.5404
47.568283 99.980 -22.3234
47.912983 99.954 -22.1114
48.260181 99.929 -21.9023
48.609894 99.902 -21.6992
48.962143 99.875 -21.4953
49.316940 99.849 -21.2838
49.674313 99.824 -21.0683
50.034271 99.801 -20.8499
50.396843 99.780 -20.6293
50.762039 99.759 -20.4089
51.129883 99.738 -20.1854
51.500389 99.718 -19.9567
51.873581 99.699 -19.7224
52.249481 99.682 -19.4802
52.628101 99.666 -19.2344
53.009464 99.654 -18.9888
53.393593 99.643 -18.7434
53.780506 99.633 -18.4994
54.170223 99.625 -18.2564
54.562763 99.618 -18.0137
54.958145 99.613 -17.7734
55.356396 99.610 -17.5373
55.757530 99.608 -17.3054
56.161572 99.607 -17.0788
56.568542 99.606 -16.8554
56.978462 99.606 -16.6337
57.391350 99.606 -16.4124
57.807232 99.607 -16.1902
58.226128 99.608 -15.9654
58.648056 99.610 -15.7353
59.073048 99.613 -15.5014
59.501114 99.618 -15.2638
59.932281 99.626 -15.0244
60.366577 99.636 -14.7849
60.804020 99.647 -14.5454
61.244629 99.660 -14.3063
61.688435 99.675 -14.0694
62.135452 99.693 -13.8361
62.585712 99.714 -13.6074
63.039234 99.736 -13.3847
63.496040 99.759 -13.1674
63.956161 99.785 -12.9549
64.419617 99.813 -12.7484
64.886421 99.843 -12.5492
65.356621 99.874 -12.3563
65.830215 99.907 -12.1687
66.307251 99.942 -11.9883
66.787743 99.980 -11.8166
67.271713 100.021 -11.6543
67.759193 100.063 -11.5034
68.250206 100.107 -11.3623
68.744774 100.153 -11.2284
69.242928 100.203 -11.1062
69.744690 100.256 -10.9983
70.250084 100.312 -10.9072
70.759148 100.370 -10.8352
71.271896 100.432 -10.7861
71.788361 100.497 -10.7627
72.308571 100.565 -10.7690
72.832550 100.635 -10.8098
73.360321 100.706 -10.8848
73.891922 100.777 -10.9949
74.427376 100.849 -11.1407
74.966705 100.920 -11.3239
75.509949 100.990 -11.5426
76.057121 101.058 -11.7966
76.608261 101.124 -12.0824
77.163399 101.188 -12.3964
77.722557 101.249 -12.7393
78.285767 101.308 -13.1110
78.853058 101.365 -13.5102
79.424461 101.418 -13.9354
