* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Aeon 2 Noire perf pads_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:17:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Aeon 2 Noire perf pads_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Aeon 2 Noire perf pads_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 87.836 -1.1360
5.036232 87.836 -1.1379
5.072727 87.836 -1.1400
5.109486 87.836 -1.1427
5.146511 87.836 -1.1460
5.183805 87.836 -1.1499
5.221369 87.835 -1.1540
5.259205 87.834 -1.1579
5.297316 87.834 -1.1620
5.335702 87.834 -1.1669
5.374367 87.834 -1.1720
5.413311 87.834 -1.1770
5.452538 87.833 -1.1820
5.492050 87.832 -1.1870
5.531847 87.832 -1.1920
5.571934 87.832 -1.1969
5.612310 87.832 -1.2020
5.652979 87.832 -1.2075
5.693943 87.831 -1.2130
5.735204 87.830 -1.2180
5.776763 87.830 -1.2230
5.818624 87.830 -1.2284
5.860788 87.830 -1.2340
5.903258 87.830 -1.2395
5.946035 87.829 -1.2450
5.989123 87.829 -1.2505
6.032523 87.828 -1.2560
6.076237 87.827 -1.2615
6.120268 87.827 -1.2670
6.164618 87.827 -1.2724
6.209289 87.827 -1.2780
6.254284 87.827 -1.2840
6.299605 87.826 -1.2900
6.345255 87.825 -1.2955
6.391235 87.825 -1.3010
6.437549 87.825 -1.3069
6.484198 87.825 -1.3130
6.531185 87.825 -1.3190
6.578513 87.824 -1.3250
6.626183 87.823 -1.3309
6.674199 87.823 -1.3370
6.722563 87.823 -1.3435
6.771278 87.823 -1.3500
6.820345 87.823 -1.3560
6.869768 87.822 -1.3620
6.919549 87.821 -1.3684
6.969691 87.821 -1.3750
7.020196 87.821 -1.3815
7.071068 87.821 -1.3880
7.122308 87.821 -1.3944
7.173919 87.820 -1.4010
7.225904 87.820 -1.4080
7.278266 87.819 -1.4150
7.331007 87.818 -1.4215
7.384131 87.818 -1.4280
7.437639 87.818 -1.4349
7.491535 87.818 -1.4420
7.545822 87.818 -1.4490
7.600502 87.817 -1.4560
7.655579 87.816 -1.4629
7.711054 87.816 -1.4700
7.766932 87.816 -1.4774
7.823214 87.816 -1.4850
7.879904 87.816 -1.4926
7.937005 87.815 -1.5000
7.994520 87.814 -1.5069
8.052452 87.814 -1.5140
8.110803 87.814 -1.5219
8.169578 87.814 -1.5300
8.228777 87.814 -1.5375
8.288406 87.813 -1.5450
8.348468 87.812 -1.5529
8.408964 87.812 -1.5610
8.469899 87.812 -1.5690
8.531276 87.812 -1.5770
8.593097 87.812 -1.5850
8.655366 87.811 -1.5930
8.718086 87.811 -1.6009
8.781260 87.810 -1.6090
8.844893 87.809 -1.6174
8.908987 87.809 -1.6260
8.973545 87.809 -1.6345
9.038571 87.809 -1.6430
9.104069 87.809 -1.6515
9.170040 87.808 -1.6600
9.236490 87.807 -1.6684
9.303422 87.807 -1.6770
9.370838 87.807 -1.6859
9.438744 87.807 -1.6950
9.507140 87.807 -1.7040
9.576033 87.806 -1.7130
9.645425 87.805 -1.7219
9.715320 87.805 -1.7310
9.785721 87.805 -1.7404
9.856632 87.805 -1.7500
9.928058 87.805 -1.7595
10.000000 87.804 -1.7690
10.072464 87.803 -1.7784
10.145453 87.803 -1.7880
10.218971 87.803 -1.7980
10.293022 87.803 -1.8080
10.367610 87.803 -1.8174
10.442738 87.802 -1.8270
10.518411 87.802 -1.8374
10.594631 87.801 -1.8480
10.671404 87.800 -1.8580
10.748734 87.800 -1.8680
10.826623 87.800 -1.8784
10.905077 87.800 -1.8890
10.984100 87.800 -1.8994
11.063695 87.799 -1.9100
11.143867 87.798 -1.9209
11.224621 87.798 -1.9320
11.305959 87.798 -1.9430
11.387886 87.798 -1.9540
11.470407 87.798 -1.9649
11.553527 87.797 -1.9760
11.637249 87.796 -1.9874
11.721577 87.796 -1.9990
11.806517 87.796 -2.0104
11.892071 87.796 -2.0220
11.978246 87.796 -2.0339
12.065045 87.795 -2.0460
12.152473 87.794 -2.0579
12.240536 87.794 -2.0700
12.329235 87.794 -2.0824
12.418578 87.794 -2.0950
12.508568 87.794 -2.1075
12.599211 87.793 -2.1200
12.690510 87.793 -2.1324
12.782471 87.792 -2.1450
12.875097 87.791 -2.1579
12.968395 87.791 -2.1710
13.062370 87.791 -2.1839
13.157025 87.791 -2.1970
13.252366 87.791 -2.2104
13.348398 87.790 -2.2240
13.445127 87.789 -2.2379
13.542556 87.789 -2.2520
13.640691 87.789 -2.2659
13.739536 87.789 -2.2800
13.839099 87.789 -2.2944
13.939383 87.788 -2.3090
14.040393 87.787 -2.3234
14.142136 87.787 -2.3380
14.244616 87.787 -2.3529
14.347837 87.787 -2.3680
14.451808 87.787 -2.3834
14.556532 87.786 -2.3990
14.662014 87.785 -2.4144
14.768262 87.785 -2.4300
14.875278 87.785 -2.4459
14.983070 87.785 -2.4620
15.091644 87.785 -2.4784
15.201005 87.784 -2.4950
15.311157 87.783 -2.5119
15.422109 87.783 -2.5290
15.533863 87.782 -2.5464
15.646428 87.782 -2.5640
15.759809 87.782 -2.5819
15.874010 87.782 -2.6000
15.989040 87.782 -2.6184
16.104904 87.781 -2.6370
16.221605 87.780 -2.6558
16.339155 87.780 -2.6750
16.457554 87.780 -2.6948
16.576813 87.780 -2.7150
16.696936 87.780 -2.7354
16.817928 87.779 -2.7560
16.939798 87.778 -2.7767
17.062551 87.778 -2.7980
17.186193 87.778 -2.8202
17.310732 87.778 -2.8430
17.436172 87.778 -2.8662
17.562521 87.777 -2.8900
17.689787 87.776 -2.9141
17.817974 87.776 -2.9390
17.947090 87.776 -2.9650
18.077143 87.776 -2.9920
18.208138 87.776 -3.0199
18.340080 87.775 -3.0490
18.472980 87.775 -3.0797
18.606844 87.774 -3.1120
18.741676 87.773 -3.1452
18.877487 87.773 -3.1810
19.014280 87.773 -3.2206
19.152065 87.773 -3.2639
19.290850 87.772 -3.3114
19.430639 87.770 -3.3630
19.571442 87.768 -3.4194
19.713264 87.765 -3.4789
19.856115 87.759 -3.5411
20.000000 87.752 -3.6019
20.144928 87.743 -3.6578
20.290907 87.733 -3.7070
20.437943 87.721 -3.7473
20.586044 87.707 -3.7760
20.735220 87.692 -3.7888
20.885475 87.677 -3.7870
21.036821 87.663 -3.7690
21.189262 87.651 -3.7390
21.342808 87.641 -3.7001
21.497467 87.632 -3.6541
21.653246 87.625 -3.6031
21.810154 87.619 -3.5501
21.968201 87.616 -3.4984
22.127390 87.615 -3.4481
22.287735 87.614 -3.4006
22.449242 87.613 -3.3550
22.611917 87.614 -3.3109
22.775772 87.615 -3.2681
22.940815 87.616 -3.2256
23.107054 87.619 -3.1851
23.274498 87.624 -3.1464
23.443153 87.630 -3.1130
23.613033 87.637 -3.0889
23.784142 87.645 -3.0730
23.956491 87.652 -3.0659
24.130091 87.660 -3.0670
24.304947 87.668 -3.0764
24.481071 87.675 -3.0930
24.658470 87.681 -3.1173
24.837156 87.686 -3.1450
25.017136 87.689 -3.1725
25.198421 87.690 -3.1980
25.381020 87.691 -3.2182
25.564941 87.692 -3.2340
25.750195 87.693 -3.2445
25.936790 87.695 -3.2510
26.124741 87.697 -3.2534
26.314051 87.701 -3.2550
26.504732 87.706 -3.2584
26.696796 87.713 -3.2660
26.890253 87.720 -3.2815
27.085112 87.728 -3.3040
27.281382 87.736 -3.3338
27.479073 87.743 -3.3709
27.678198 87.750 -3.4159
27.878765 87.756 -3.4669
28.080786 87.761 -3.5234
28.284271 87.765 -3.5819
28.489231 87.767 -3.6394
28.695675 87.769 -3.6949
28.903616 87.770 -3.7468
29.113064 87.770 -3.7949
29.324028 87.770 -3.8385
29.536524 87.770 -3.8780
29.750557 87.771 -3.9132
29.966141 87.772 -3.9450
30.183289 87.773 -3.9728
30.402010 87.776 -4.0000
30.622314 87.781 -4.0283
30.844217 87.787 -4.0610
31.067726 87.794 -4.1020
31.292856 87.802 -4.1509
31.519617 87.809 -4.2085
31.748020 87.817 -4.2749
31.978081 87.825 -4.3510
32.209808 87.832 -4.4359
32.443211 87.838 -4.5301
32.678310 87.842 -4.6309
32.915108 87.845 -4.7359
33.153625 87.847 -4.8439
33.393871 87.848 -4.9523
33.635857 87.847 -5.0618
33.879597 87.845 -5.1725
34.125103 87.842 -5.2829
34.372387 87.838 -5.3923
34.621464 87.832 -5.4978
34.872345 87.825 -5.5960
35.125042 87.817 -5.6879
35.379574 87.810 -5.7730
35.635948 87.802 -5.8529
35.894180 87.794 -5.9287
36.154285 87.787 -6.0009
36.416275 87.780 -6.0692
36.680161 87.774 -6.1379
36.945961 87.770 -6.2113
37.213688 87.766 -6.2889
37.483353 87.760 -6.3727
37.754974 87.753 -6.4589
38.028561 87.745 -6.5439
38.304131 87.737 -6.6279
38.581699 87.728 -6.7108
38.861279 87.717 -6.7899
39.142883 87.705 -6.8635
39.426529 87.692 -6.9289
39.712231 87.679 -6.9816
40.000000 87.666 -7.0259
40.289856 87.656 -7.0642
40.581814 87.647 -7.0980
40.875885 87.638 -7.1290
41.172089 87.630 -7.1590
41.470440 87.625 -7.1885
41.770950 87.622 -7.2229
42.073643 87.621 -7.2665
42.378525 87.621 -7.3229
42.685616 87.623 -7.3971
42.994934 87.624 -7.4899
43.306492 87.624 -7.6057
43.620308 87.622 -7.7378
43.936401 87.616 -7.8825
44.254780 87.606 -8.0348
44.575470 87.593 -8.1904
44.898483 87.575 -8.3438
45.223835 87.553 -8.4893
45.551544 87.527 -8.6218
45.881630 87.499 -8.7340
46.214108 87.468 -8.8269
46.548996 87.436 -8.8984
46.886307 87.404 -8.9499
47.226067 87.372 -8.9814
47.568283 87.340 -8.9950
47.912983 87.310 -8.9921
48.260181 87.281 -8.9750
48.609894 87.253 -8.9467
48.962143 87.226 -8.9071
49.316940 87.200 -8.8567
49.674313 87.175 -8.7971
50.034271 87.153 -8.7284
50.396843 87.132 -8.6551
50.762039 87.114 -8.5820
51.129883 87.097 -8.5091
51.500389 87.081 -8.4388
51.873581 87.066 -8.3691
52.249481 87.050 -8.2986
52.628101 87.035 -8.2281
53.009464 87.022 -8.1587
53.393593 87.009 -8.0891
53.780506 86.994 -8.0196
54.170223 86.979 -7.9471
54.562763 86.965 -7.8674
54.958145 86.952 -7.7841
55.356396 86.940 -7.7003
55.757530 86.928 -7.6141
56.161572 86.915 -7.5251
56.568542 86.902 -7.4322
56.978462 86.890 -7.3331
57.391350 86.879 -7.2302
57.807232 86.869 -7.1255
58.226128 86.859 -7.0182
58.648056 86.849 -6.9091
59.073048 86.839 -6.7952
59.501114 86.828 -6.6744
59.932281 86.818 -6.5452
60.366577 86.808 -6.4053
60.804020 86.799 -6.2553
61.244629 86.792 -6.0956
61.688435 86.785 -5.9243
62.135452 86.779 -5.7390
62.585712 86.774 -5.5413
63.039234 86.773 -5.3304
63.496040 86.776 -5.1124
63.956161 86.783 -4.8932
64.419617 86.794 -4.6734
64.886421 86.807 -4.4543
65.356621 86.823 -4.2394
65.830215 86.844 -4.0323
66.307251 86.867 -3.8334
66.787743 86.891 -3.6452
67.271713 86.918 -3.4653
67.759193 86.947 -3.2906
68.250206 86.979 -3.1263
68.744774 87.015 -2.9770
69.242928 87.053 -2.8412
69.744690 87.090 -2.7198
70.250084 87.129 -2.6112
70.759148 87.170 -2.5132
71.271896 87.213 -2.4281
71.788361 87.258 -2.3581
72.308571 87.305 -2.3021
72.832550 87.352 -2.2586
73.360321 87.401 -2.2310
73.891922 87.453 -2.2215
74.427376 87.508 -2.2330
74.966705 87.563 -2.2690
75.509949 87.620 -2.3299
76.057121 87.678 -2.4159
76.608261 87.736 -2.5297
77.163399 87.795 -2.6749
77.722557 87.853 -2.8486
78.285767 87.908 -3.0504
78.853058 87.961 -3.2765
