* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Aeon Open X_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:51:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Aeon Open X_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Aeon Open X_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 84.287 20.5510
5.036232 84.294 20.5509
5.072727 84.301 20.5510
5.109486 84.309 20.5514
5.146511 84.318 20.5520
5.183805 84.329 20.5523
5.221369 84.341 20.5530
5.259205 84.353 20.5548
5.297316 84.366 20.5570
5.335702 84.380 20.5589
5.374367 84.394 20.5610
5.413311 84.408 20.5634
5.452538 84.422 20.5660
5.492050 84.436 20.5685
5.531847 84.450 20.5710
5.571934 84.464 20.5735
5.612310 84.479 20.5760
5.652979 84.493 20.5785
5.693943 84.507 20.5810
5.735204 84.521 20.5834
5.776763 84.535 20.5860
5.818624 84.549 20.5890
5.860788 84.563 20.5920
5.903258 84.577 20.5945
5.946035 84.591 20.5970
5.989123 84.605 20.5999
6.032523 84.619 20.6030
6.076237 84.633 20.6060
6.120268 84.647 20.6090
6.164618 84.661 20.6120
6.209289 84.676 20.6150
6.254284 84.690 20.6180
6.299605 84.704 20.6210
6.345255 84.718 20.6239
6.391235 84.732 20.6270
6.437549 84.746 20.6305
6.484198 84.760 20.6340
6.531185 84.774 20.6370
6.578513 84.788 20.6400
6.626183 84.802 20.6435
6.674199 84.816 20.6470
6.722563 84.830 20.6500
6.771278 84.844 20.6530
6.820345 84.858 20.6564
6.869768 84.873 20.6600
6.919549 84.887 20.6635
6.969691 84.901 20.6670
7.020196 84.915 20.6705
7.071068 84.929 20.6740
7.122308 84.943 20.6774
7.173919 84.957 20.6810
7.225904 84.971 20.6850
7.278266 84.985 20.6890
7.331007 84.999 20.6925
7.384131 85.013 20.6960
7.437639 85.027 20.7000
7.491535 85.041 20.7040
7.545822 85.055 20.7075
7.600502 85.070 20.7110
7.655579 85.084 20.7149
7.711054 85.098 20.7190
7.766932 85.112 20.7230
7.823214 85.126 20.7270
7.879904 85.140 20.7309
7.937005 85.154 20.7350
7.994520 85.168 20.7395
8.052452 85.182 20.7440
8.110803 85.196 20.7480
8.169578 85.210 20.7520
8.228777 85.224 20.7565
8.288406 85.238 20.7610
8.348468 85.252 20.7650
8.408964 85.267 20.7690
8.469899 85.281 20.7734
8.531276 85.295 20.7780
8.593097 85.309 20.7824
8.655366 85.323 20.7870
8.718086 85.337 20.7920
8.781260 85.351 20.7970
8.844893 85.365 20.8015
8.908987 85.379 20.8060
8.973545 85.393 20.8110
9.038571 85.407 20.8160
9.104069 85.421 20.8205
9.170040 85.435 20.8250
9.236490 85.449 20.8299
9.303422 85.464 20.8350
9.370838 85.478 20.8400
9.438744 85.492 20.8450
9.507140 85.506 20.8499
9.576033 85.520 20.8550
9.645425 85.534 20.8604
9.715320 85.548 20.8660
9.785721 85.562 20.8716
9.856632 85.576 20.8770
9.928058 85.590 20.8820
10.000000 85.604 20.8870
10.072464 85.618 20.8924
10.145453 85.632 20.8980
10.218971 85.646 20.9040
10.293022 85.661 20.9100
10.367610 85.675 20.9155
10.442738 85.689 20.9210
10.518411 85.703 20.9269
10.594631 85.717 20.9330
10.671404 85.731 20.9390
10.748734 85.745 20.9450
10.826623 85.759 20.9510
10.905077 85.773 20.9570
10.984100 85.787 20.9629
11.063695 85.801 20.9690
11.143867 85.815 20.9754
11.224621 85.830 20.9820
11.305959 85.844 20.9885
11.387886 85.858 20.9950
11.470407 85.872 21.0015
11.553527 85.886 21.0080
11.637249 85.900 21.0145
11.721577 85.914 21.0210
11.806517 85.928 21.0274
11.892071 85.942 21.0340
11.978246 85.956 21.0409
12.065045 85.970 21.0480
12.152473 85.984 21.0549
12.240536 85.998 21.0620
12.329235 86.012 21.0695
12.418578 86.027 21.0770
12.508568 86.041 21.0840
12.599211 86.055 21.0910
12.690510 86.069 21.0984
12.782471 86.083 21.1060
12.875097 86.097 21.1140
12.968395 86.111 21.1220
13.062370 86.125 21.1295
13.157025 86.139 21.1370
13.252366 86.153 21.1449
13.348398 86.167 21.1530
13.445127 86.181 21.1615
13.542556 86.195 21.1700
13.640691 86.209 21.1780
13.739536 86.224 21.1860
13.839099 86.238 21.1944
13.939383 86.252 21.2030
14.040393 86.266 21.2114
14.142136 86.280 21.2200
14.244616 86.294 21.2289
14.347837 86.308 21.2380
14.451808 86.322 21.2469
14.556532 86.336 21.2560
14.662014 86.350 21.2654
14.768262 86.364 21.2750
14.875278 86.378 21.2845
14.983070 86.392 21.2940
15.091644 86.406 21.3035
15.201005 86.421 21.3130
15.311157 86.435 21.3224
15.422109 86.449 21.3320
15.533863 86.463 21.3424
15.646428 86.477 21.3530
15.759809 86.491 21.3630
15.874010 86.505 21.3730
15.989040 86.519 21.3834
16.104904 86.533 21.3940
16.221605 86.547 21.4049
16.339155 86.561 21.4160
16.457554 86.575 21.4269
16.576813 86.589 21.4380
16.696936 86.603 21.4494
16.817928 86.618 21.4610
16.939798 86.632 21.4725
17.062551 86.646 21.4840
17.186193 86.660 21.4954
17.310732 86.674 21.5070
17.436172 86.688 21.5194
17.562521 86.702 21.5320
17.689787 86.716 21.5439
17.817974 86.730 21.5560
17.947090 86.744 21.5689
18.077143 86.758 21.5820
18.208138 86.772 21.5950
18.340080 86.786 21.6080
18.472980 86.800 21.6210
18.606844 86.815 21.6340
18.741676 86.829 21.6471
18.877487 86.843 21.6600
19.014280 86.857 21.6720
19.152065 86.871 21.6840
19.290850 86.885 21.6964
19.430639 86.898 21.7090
19.571442 86.912 21.7215
19.713264 86.925 21.7350
19.856115 86.938 21.7499
20.000000 86.950 21.7670
20.144928 86.963 21.7880
20.290907 86.976 21.8110
20.437943 86.990 21.8349
20.586044 87.005 21.8580
20.735220 87.020 21.8779
20.885475 87.035 21.8950
21.036821 87.050 21.9082
21.189262 87.064 21.9190
21.342808 87.077 21.9277
21.497467 87.089 21.9370
21.653246 87.099 21.9486
21.810154 87.109 21.9660
21.968201 87.118 21.9931
22.127390 87.126 22.0300
22.287735 87.134 22.0792
22.449242 87.144 22.1370
22.611917 87.156 22.2011
22.775772 87.169 22.2689
22.940815 87.183 22.3372
23.107054 87.198 22.4059
23.274498 87.214 22.4742
23.443153 87.232 22.5409
23.613033 87.250 22.6039
23.784142 87.269 22.6649
23.956491 87.287 22.7247
24.130091 87.305 22.7849
24.304947 87.324 22.8481
24.481071 87.343 22.9129
24.658470 87.363 22.9792
24.837156 87.384 23.0459
25.017136 87.406 23.1119
25.198421 87.428 23.1779
25.381020 87.451 23.2443
25.564941 87.476 23.3109
25.750195 87.501 23.3784
25.936790 87.528 23.4459
26.124741 87.556 23.5147
26.314051 87.587 23.5799
26.504732 87.621 23.6399
26.696796 87.658 23.6870
26.890253 87.699 23.7128
27.085112 87.741 23.7170
27.281382 87.782 23.6965
27.479073 87.824 23.6511
27.678198 87.867 23.5801
27.878765 87.908 23.4822
28.080786 87.947 23.3523
28.284271 87.982 23.2012
28.489231 88.010 23.0360
28.695675 88.033 22.8632
28.903616 88.053 22.6918
29.113064 88.069 22.5222
29.324028 88.081 22.3564
29.536524 88.090 22.1992
29.750557 88.095 22.0562
29.966141 88.097 21.9271
30.183289 88.099 21.8141
30.402010 88.101 21.7151
30.622314 88.101 21.6290
30.844217 88.101 21.5551
31.067726 88.101 21.4926
31.292856 88.101 21.4401
31.519617 88.101 21.3956
31.748020 88.101 21.3590
31.978081 88.101 21.3298
32.209808 88.101 21.3080
32.443211 88.101 21.2937
32.678310 88.101 21.2870
32.915108 88.102 21.2886
33.153625 88.103 21.2970
33.393871 88.105 21.3118
33.635857 88.109 21.3300
33.879597 88.114 21.3497
34.125103 88.121 21.3670
34.372387 88.129 21.3781
34.621464 88.138 21.3810
34.872345 88.147 21.3710
35.125042 88.155 21.3520
35.379574 88.160 21.3238
35.635948 88.162 21.2940
35.894180 88.161 21.2694
36.154285 88.157 21.2520
36.416275 88.152 21.2453
36.680161 88.146 21.2520
36.945961 88.137 21.2761
37.213688 88.127 21.3179
37.483353 88.118 21.3815
37.754974 88.111 21.4599
38.028561 88.107 21.5484
38.304131 88.104 21.6439
38.581699 88.102 21.7414
38.861279 88.101 21.8418
39.142883 88.101 21.9442
39.426529 88.101 22.0489
39.712231 88.101 22.1552
40.000000 88.101 22.2648
40.289856 88.101 22.3790
40.581814 88.101 22.4978
40.875885 88.101 22.6216
41.172089 88.101 22.7508
41.470440 88.101 22.8855
41.770950 88.101 23.0268
42.073643 88.101 23.1755
42.378525 88.101 23.3318
42.685616 88.101 23.4954
42.994934 88.101 23.6677
43.306492 88.101 23.8497
43.620308 88.101 24.0427
43.936401 88.101 24.2478
44.254780 88.101 24.4666
44.575470 88.102 24.7009
44.898483 88.103 24.9516
45.223835 88.106 25.2205
45.551544 88.110 25.5066
45.881630 88.116 25.8107
46.214108 88.126 26.1295
46.548996 88.140 26.4605
46.886307 88.157 26.8015
47.226067 88.177 27.1504
47.568283 88.201 27.5044
47.912983 88.229 27.8607
48.260181 88.260 28.2174
48.609894 88.295 28.5714
48.962143 88.333 28.9235
49.316940 88.373 29.2726
49.674313 88.416 29.6204
50.034271 88.461 29.9678
50.396843 88.509 30.3165
50.762039 88.559 30.6691
51.129883 88.614 31.0234
51.500389 88.674 31.3801
51.873581 88.740 31.7324
52.249481 88.813 32.0772
52.628101 88.893 32.4045
53.009464 88.980 32.7069
53.393593 89.075 32.9726
53.780506 89.176 33.1894
54.170223 89.282 33.3508
54.562763 89.391 33.4451
54.958145 89.499 33.4760
55.356396 89.603 33.4395
55.757530 89.702 33.3472
56.161572 89.794 33.2047
56.568542 89.878 33.0263
56.978462 89.953 32.8245
57.391350 90.021 32.6104
57.807232 90.080 32.3989
58.226128 90.134 32.1914
58.648056 90.184 31.9924
59.073048 90.229 31.8063
59.501114 90.267 31.6375
59.932281 90.302 31.4902
60.366577 90.335 31.3709
60.804020 90.367 31.2781
61.244629 90.397 31.2119
61.688435 90.427 31.1750
62.135452 90.457 31.1718
62.585712 90.489 31.1979
63.039234 90.526 31.2546
63.496040 90.569 31.3299
63.956161 90.619 31.4157
64.419617 90.676 31.5009
64.886421 90.740 31.5741
65.356621 90.809 31.6269
65.830215 90.883 31.6460
66.307251 90.959 31.6351
66.787743 91.034 31.5920
67.271713 91.109 31.5212
67.759193 91.184 31.4243
68.250206 91.258 31.3062
68.744774 91.328 31.1709
69.242928 91.397 31.0233
69.744690 91.465 30.8705
70.250084 91.533 30.7093
70.759148 91.602 30.5412
71.271896 91.672 30.3594
71.788361 91.743 30.1581
72.308571 91.815 29.9354
72.832550 91.885 29.6860
73.360321 91.953 29.4135
73.891922 92.017 29.1172
74.427376 92.078 28.8056
74.966705 92.133 28.4840
75.509949 92.183 28.1616
76.057121 92.228 27.8480
76.608261 92.270 27.5476
77.163399 92.309 27.2692
77.722557 92.349 27.0085
78.285767 92.391 26.7678
78.853058 92.435 26.5365
79.424461 92.483 26.3074
80.000000 92.535 26.0725
80.579712 92.590 25.8216
81.163628 92.646 25.5535
81.751770 92.702 25.2635
82.344177 92.758 24.9527
82.940880 92.813 24.6195
83.541901 92.867 24.2667
84.147285 92.918 23.8947
84.757050 92.967 23.5087
85.371231 93.012 23.1134
85.989868 93.054 22.7108
86.612984 93.094 22.3050
87.240616 93.132 21.8958
87.872803 93.168 21.4841
88.509560 93.203 21.0708
89.150940 93.235 20.6574
89.796967 93.266 20.2429
90.447670 93.297 19.8281
91.103088 93.327 19.4089
91.763260 93.357 18.9824
92.428215 93.387 18.5459
93.097992 93.415 18.0957
93.772614 93.442 17.6320
94.452133 93.466 17.1532
95.136566 93.487 16.6611
95.825966 93.504 16.1550
96.520363 93.517 15.6401
97.219788 93.524 15.1186
