* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Aeon X Closed_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:17:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Aeon X Closed_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Aeon X Closed_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.810 2.9790
5.036232 88.811 2.9752
5.072727 88.813 2.9710
5.109486 88.815 2.9658
5.146511 88.817 2.9600
5.183805 88.819 2.9538
5.221369 88.821 2.9470
5.259205 88.823 2.9398
5.297316 88.826 2.9320
5.335702 88.829 2.9236
5.374367 88.832 2.9150
5.413311 88.835 2.9065
5.452538 88.838 2.8980
5.492050 88.840 2.8895
5.531847 88.843 2.8810
5.571934 88.846 2.8726
5.612310 88.849 2.8640
5.652979 88.851 2.8551
5.693943 88.854 2.8460
5.735204 88.857 2.8370
5.776763 88.860 2.8280
5.818624 88.863 2.8190
5.860788 88.866 2.8100
5.903258 88.868 2.8011
5.946035 88.871 2.7920
5.989123 88.874 2.7826
6.032523 88.877 2.7730
6.076237 88.880 2.7635
6.120268 88.883 2.7540
6.164618 88.886 2.7445
6.209289 88.888 2.7350
6.254284 88.891 2.7256
6.299605 88.894 2.7160
6.345255 88.897 2.7061
6.391235 88.900 2.6960
6.437549 88.902 2.6861
6.484198 88.905 2.6760
6.531185 88.908 2.6656
6.578513 88.911 2.6550
6.626183 88.914 2.6445
6.674199 88.917 2.6340
6.722563 88.919 2.6235
6.771278 88.922 2.6130
6.820345 88.925 2.6026
6.869768 88.928 2.5920
6.919549 88.931 2.5811
6.969691 88.934 2.5700
7.020196 88.937 2.5590
7.071068 88.939 2.5480
7.122308 88.942 2.5371
7.173919 88.945 2.5260
7.225904 88.947 2.5146
7.278266 88.950 2.5030
7.331007 88.953 2.4915
7.384131 88.956 2.4800
7.437639 88.959 2.4686
7.491535 88.962 2.4570
7.545822 88.965 2.4451
7.600502 88.967 2.4330
7.655579 88.970 2.4211
7.711054 88.973 2.4090
7.766932 88.976 2.3965
7.823214 88.979 2.3840
7.879904 88.981 2.3721
7.937005 88.984 2.3600
7.994520 88.987 2.3471
8.052452 88.990 2.3340
8.110803 88.993 2.3216
8.169578 88.996 2.3090
8.228777 88.998 2.2956
8.288406 89.001 2.2820
8.348468 89.004 2.2690
8.408964 89.007 2.2560
8.469899 89.010 2.2426
8.531276 89.013 2.2290
8.593097 89.015 2.2156
8.655366 89.018 2.2020
8.718086 89.021 2.1881
8.781260 89.024 2.1740
8.844893 89.027 2.1601
8.908987 89.030 2.1460
8.973545 89.033 2.1316
9.038571 89.035 2.1170
9.104069 89.038 2.1026
9.170040 89.041 2.0880
9.236490 89.043 2.0731
9.303422 89.046 2.0580
9.370838 89.049 2.0431
9.438744 89.052 2.0280
9.507140 89.055 2.0126
9.576033 89.058 1.9970
9.645425 89.061 1.9815
9.715320 89.063 1.9660
9.785721 89.066 1.9506
9.856632 89.069 1.9350
9.928058 89.072 1.9186
10.000000 89.075 1.9020
10.072464 89.077 1.8860
10.145453 89.080 1.8700
10.218971 89.083 1.8536
10.293022 89.086 1.8370
10.367610 89.089 1.8201
10.442738 89.092 1.8030
10.518411 89.095 1.7855
10.594631 89.097 1.7680
10.671404 89.100 1.7511
10.748734 89.103 1.7340
10.826623 89.106 1.7161
10.905077 89.109 1.6980
10.984100 89.111 1.6801
11.063695 89.114 1.6620
11.143867 89.117 1.6436
11.224621 89.120 1.6250
11.305959 89.123 1.6066
11.387886 89.126 1.5880
11.470407 89.128 1.5691
11.553527 89.131 1.5500
11.637249 89.134 1.5306
11.721577 89.137 1.5110
11.806517 89.139 1.4916
11.892071 89.142 1.4720
11.978246 89.145 1.4521
12.065045 89.148 1.4320
12.152473 89.151 1.4116
12.240536 89.154 1.3910
12.329235 89.156 1.3706
12.418578 89.159 1.3500
12.508568 89.162 1.3291
12.599211 89.165 1.3080
12.690510 89.168 1.2866
12.782471 89.171 1.2650
12.875097 89.174 1.2431
12.968395 89.176 1.2210
13.062370 89.179 1.1986
13.157025 89.182 1.1760
13.252366 89.185 1.1536
13.348398 89.188 1.1310
13.445127 89.190 1.1081
13.542556 89.193 1.0850
13.640691 89.196 1.0616
13.739536 89.199 1.0380
13.839099 89.202 1.0141
13.939383 89.205 0.9900
14.040393 89.207 0.9656
14.142136 89.210 0.9410
14.244616 89.213 0.9166
14.347837 89.216 0.8920
14.451808 89.219 0.8666
14.556532 89.222 0.8410
14.662014 89.224 0.8156
14.768262 89.227 0.7900
14.875278 89.230 0.7637
14.983070 89.233 0.7370
15.091644 89.235 0.7101
15.201005 89.238 0.6830
15.311157 89.241 0.6561
15.422109 89.244 0.6290
15.533863 89.247 0.6012
15.646428 89.250 0.5730
15.759809 89.252 0.5446
15.874010 89.255 0.5160
15.989040 89.258 0.4871
16.104904 89.261 0.4580
16.221605 89.264 0.4287
16.339155 89.267 0.3990
16.457554 89.270 0.3692
16.576813 89.272 0.3390
16.696936 89.275 0.3081
16.817928 89.278 0.2770
16.939798 89.281 0.2462
17.062551 89.284 0.2150
17.186193 89.286 0.1832
17.310732 89.289 0.1510
17.436172 89.292 0.1186
17.562521 89.295 0.0860
17.689787 89.298 0.0532
17.817974 89.301 0.0200
17.947090 89.303 -0.0133
18.077143 89.306 -0.0470
18.208138 89.309 -0.0809
18.340080 89.312 -0.1150
18.472980 89.315 -0.1488
18.606844 89.318 -0.1830
18.741676 89.320 -0.2178
18.877487 89.323 -0.2530
19.014280 89.326 -0.2886
19.152065 89.329 -0.3240
19.290850 89.331 -0.3586
19.430639 89.333 -0.3920
19.571442 89.335 -0.4237
19.713264 89.338 -0.4530
19.856115 89.340 -0.4785
20.000000 89.343 -0.5010
20.144928 89.347 -0.5187
20.290907 89.353 -0.5370
20.437943 89.361 -0.5599
20.586044 89.371 -0.5890
20.735220 89.380 -0.6274
20.885475 89.390 -0.6749
21.036821 89.400 -0.7321
21.189262 89.411 -0.7999
21.342808 89.422 -0.8809
21.497467 89.431 -0.9709
21.653246 89.437 -1.0678
21.810154 89.442 -1.1679
21.968201 89.445 -1.2666
22.127390 89.447 -1.3639
22.287735 89.448 -1.4580
22.449242 89.448 -1.5489
22.611917 89.448 -1.6357
22.775772 89.448 -1.7199
22.940815 89.448 -1.8025
23.107054 89.448 -1.8839
23.274498 89.448 -1.9645
23.443153 89.448 -2.0449
23.613033 89.448 -2.1257
23.784142 89.448 -2.2069
23.956491 89.448 -2.2886
24.130091 89.447 -2.3709
24.304947 89.447 -2.4545
24.481071 89.446 -2.5379
24.658470 89.445 -2.6198
24.837156 89.443 -2.7009
25.017136 89.442 -2.7808
25.198421 89.441 -2.8609
25.381020 89.440 -2.9425
25.564941 89.440 -3.0259
25.750195 89.439 -3.1115
25.936790 89.439 -3.1999
26.124741 89.439 -3.2916
26.314051 89.439 -3.3879
26.504732 89.440 -3.4899
26.696796 89.440 -3.5989
26.890253 89.440 -3.7173
27.085112 89.438 -3.8419
27.281382 89.435 -3.9707
27.479073 89.430 -4.1018
27.678198 89.423 -4.2331
27.878765 89.415 -4.3628
28.080786 89.405 -4.4888
28.284271 89.394 -4.6108
28.489231 89.383 -4.7269
28.695675 89.371 -4.8408
28.903616 89.361 -4.9569
29.113064 89.349 -5.0718
29.324028 89.334 -5.1853
29.536524 89.317 -5.2929
29.750557 89.300 -5.3893
29.966141 89.282 -5.4769
30.183289 89.264 -5.5580
30.402010 89.245 -5.6279
30.622314 89.224 -5.6818
30.844217 89.205 -5.7230
31.067726 89.189 -5.7485
31.292856 89.177 -5.7720
31.519617 89.169 -5.8056
31.748020 89.163 -5.8499
31.978081 89.156 -5.9092
32.209808 89.150 -5.9839
32.443211 89.145 -6.0771
32.678310 89.138 -6.1849
32.915108 89.126 -6.3074
33.153625 89.111 -6.4358
33.393871 89.092 -6.5631
33.635857 89.070 -6.6838
33.879597 89.043 -6.7915
34.125103 89.014 -6.8819
34.372387 88.983 -6.9472
34.621464 88.951 -6.9919
34.872345 88.922 -7.0152
35.125042 88.894 -7.0250
35.379574 88.869 -7.0291
35.635948 88.844 -7.0270
35.894180 88.819 -7.0207
36.154285 88.795 -7.0100
36.416275 88.773 -6.9936
36.680161 88.752 -6.9770
36.945961 88.733 -6.9658
37.213688 88.713 -6.9590
37.483353 88.693 -6.9610
37.754974 88.670 -6.9610
38.028561 88.642 -6.9496
38.304131 88.613 -6.9270
38.581699 88.588 -6.8891
38.861279 88.563 -6.8401
39.142883 88.537 -6.7848
39.426529 88.510 -6.7181
39.712231 88.483 -6.6358
40.000000 88.457 -6.5392
40.289856 88.433 -6.4264
40.581814 88.411 -6.3032
40.875885 88.393 -6.1726
41.172089 88.377 -6.0402
41.470440 88.365 -5.9130
41.770950 88.355 -5.7902
42.073643 88.345 -5.6740
42.378525 88.335 -5.5622
42.685616 88.327 -5.4521
42.994934 88.320 -5.3471
43.306492 88.314 -5.2502
43.620308 88.309 -5.1601
43.936401 88.303 -5.0782
44.254780 88.296 -5.0001
44.575470 88.288 -4.9224
44.898483 88.279 -4.8431
45.223835 88.269 -4.7588
45.551544 88.260 -4.6701
45.881630 88.252 -4.5762
46.214108 88.244 -4.4782
46.548996 88.236 -4.3772
46.886307 88.229 -4.2722
47.226067 88.223 -4.1599
47.568283 88.219 -4.0482
47.912983 88.220 -3.9427
48.260181 88.222 -3.8471
48.609894 88.224 -3.7669
48.962143 88.227 -3.7021
49.316940 88.231 -3.6564
49.674313 88.233 -3.6240
50.034271 88.229 -3.6028
50.396843 88.222 -3.5860
50.762039 88.214 -3.5669
51.129883 88.203 -3.5430
51.500389 88.188 -3.5116
51.873581 88.171 -3.4671
52.249481 88.151 -3.4028
52.628101 88.130 -3.3192
53.009464 88.108 -3.2136
53.393593 88.087 -3.0882
53.780506 88.067 -2.9443
54.170223 88.047 -2.7823
54.562763 88.028 -2.6035
54.958145 88.010 -2.4063
55.356396 87.993 -2.1905
55.757530 87.977 -1.9534
56.161572 87.963 -1.6893
56.568542 87.952 -1.4065
56.978462 87.949 -1.1100
57.391350 87.950 -0.8046
57.807232 87.953 -0.4962
58.226128 87.961 -0.1855
58.648056 87.973 0.1279
59.073048 87.991 0.4355
59.501114 88.015 0.7286
59.932281 88.042 1.0075
60.366577 88.069 1.2674
60.804020 88.097 1.5156
61.244629 88.126 1.7579
61.688435 88.157 1.9936
62.135452 88.190 2.2245
62.585712 88.225 2.4486
63.039234 88.262 2.6648
63.496040 88.302 2.8726
63.956161 88.343 3.0712
64.419617 88.387 3.2617
64.886421 88.432 3.4465
65.356621 88.479 3.6217
65.830215 88.530 3.7853
66.307251 88.585 3.9337
66.787743 88.642 4.0626
67.271713 88.701 4.1728
67.759193 88.762 4.2654
68.250206 88.825 4.3359
68.744774 88.891 4.3807
69.242928 88.959 4.3980
69.744690 89.026 4.3834
70.250084 89.094 4.3411
70.759148 89.161 4.2731
71.271896 89.227 4.1812
71.788361 89.292 4.0685
72.308571 89.357 3.9333
72.832550 89.423 3.7751
73.360321 89.488 3.5924
73.891922 89.551 3.3825
74.427376 89.613 3.1475
74.966705 89.672 2.8882
75.509949 89.730 2.6045
76.057121 89.786 2.2947
76.608261 89.838 1.9647
77.163399 89.884 1.6192
77.722557 89.926 1.2607
78.285767 89.967 0.8929
78.853058 90.004 0.5178
79.424461 90.035 0.1365
80.000000 90.063 -0.2442
80.579712 90.087 -0.6155
81.163628 90.110 -0.9823
81.751770 90.133 -1.3464
82.344177 90.156 -1.7093
82.940880 90.176 -2.0728
83.541901 90.195 -2.4373
84.147285 90.215 -2.8012
84.757050 90.236 -3.1723
85.371231 90.257 -3.5580
85.989868 90.278 -3.9582
86.612984 90.296 -4.3747
87.240616 90.312 -4.8081
87.872803 90.328 -5.2597
