* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Dan_Clark_Audio_Expanse__SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:24:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Dan_Clark_Audio_Expanse__SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Dan_Clark_Audio_Expanse__S
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 98.807 -7.2740
5.036232 98.805 -7.2779
5.072727 98.803 -7.2820
5.109486 98.801 -7.2866
5.146511 98.798 -7.2920
5.183805 98.795 -7.2986
5.221369 98.791 -7.3060
5.259205 98.787 -7.3142
5.297316 98.783 -7.3230
5.335702 98.779 -7.3319
5.374367 98.775 -7.3410
5.413311 98.771 -7.3504
5.452538 98.766 -7.3600
5.492050 98.762 -7.3694
5.531847 98.758 -7.3790
5.571934 98.754 -7.3890
5.612310 98.750 -7.3990
5.652979 98.745 -7.4084
5.693943 98.741 -7.4180
5.735204 98.737 -7.4284
5.776763 98.733 -7.4390
5.818624 98.729 -7.4490
5.860788 98.724 -7.4590
5.903258 98.720 -7.4694
5.946035 98.716 -7.4800
5.989123 98.712 -7.4905
6.032523 98.707 -7.5010
6.076237 98.703 -7.5114
6.120268 98.699 -7.5220
6.164618 98.695 -7.5329
6.209289 98.691 -7.5440
6.254284 98.687 -7.5550
6.299605 98.682 -7.5660
6.345255 98.678 -7.5769
6.391235 98.674 -7.5880
6.437549 98.670 -7.5994
6.484198 98.665 -7.6110
6.531185 98.661 -7.6225
6.578513 98.657 -7.6340
6.626183 98.653 -7.6454
6.674199 98.649 -7.6570
6.722563 98.645 -7.6689
6.771278 98.640 -7.6810
6.820345 98.636 -7.6929
6.869768 98.632 -7.7050
6.919549 98.628 -7.7174
6.969691 98.623 -7.7300
7.020196 98.619 -7.7425
7.071068 98.615 -7.7550
7.122308 98.611 -7.7674
7.173919 98.606 -7.7800
7.225904 98.602 -7.7929
7.278266 98.598 -7.8060
7.331007 98.594 -7.8190
7.384131 98.590 -7.8320
7.437639 98.586 -7.8449
7.491535 98.581 -7.8580
7.545822 98.577 -7.8714
7.600502 98.573 -7.8850
7.655579 98.569 -7.8990
7.711054 98.564 -7.9130
7.766932 98.560 -7.9264
7.823214 98.556 -7.9400
7.879904 98.551 -7.9544
7.937005 98.547 -7.9690
7.994520 98.543 -7.9830
8.052452 98.539 -7.9970
8.110803 98.535 -8.0114
8.169578 98.531 -8.0260
8.228777 98.527 -8.0409
8.288406 98.522 -8.0560
8.348468 98.518 -8.0710
8.408964 98.514 -8.0860
8.469899 98.509 -8.1009
8.531276 98.505 -8.1160
8.593097 98.501 -8.1314
8.655366 98.497 -8.1470
8.718086 98.493 -8.1630
8.781260 98.489 -8.1790
8.844893 98.485 -8.1944
8.908987 98.480 -8.2100
8.973545 98.476 -8.2264
9.038571 98.472 -8.2430
9.104069 98.467 -8.2595
9.170040 98.463 -8.2760
9.236490 98.459 -8.2924
9.303422 98.455 -8.3090
9.370838 98.451 -8.3259
9.438744 98.446 -8.3430
9.507140 98.442 -8.3604
9.576033 98.438 -8.3780
9.645425 98.434 -8.3954
9.715320 98.430 -8.4130
9.785721 98.425 -8.4309
9.856632 98.421 -8.4490
9.928058 98.417 -8.4669
10.000000 98.413 -8.4850
10.072464 98.409 -8.5034
10.145453 98.404 -8.5220
10.218971 98.400 -8.5404
10.293022 98.396 -8.5590
10.367610 98.392 -8.5779
10.442738 98.387 -8.5970
10.518411 98.383 -8.6164
10.594631 98.379 -8.6360
10.671404 98.375 -8.6554
10.748734 98.371 -8.6750
10.826623 98.367 -8.6949
10.905077 98.362 -8.7150
10.984100 98.358 -8.7354
11.063695 98.354 -8.7560
11.143867 98.350 -8.7764
11.224621 98.345 -8.7970
11.305959 98.341 -8.8179
11.387886 98.337 -8.8390
11.470407 98.333 -8.8599
11.553527 98.328 -8.8810
11.637249 98.324 -8.9029
11.721577 98.320 -8.9250
11.806517 98.316 -8.9469
11.892071 98.312 -8.9690
11.978246 98.308 -8.9914
12.065045 98.303 -9.0140
12.152473 98.299 -9.0364
12.240536 98.295 -9.0590
12.329235 98.291 -9.0818
12.418578 98.286 -9.1050
12.508568 98.282 -9.1289
12.599211 98.278 -9.1530
12.690510 98.274 -9.1770
12.782471 98.270 -9.2010
12.875097 98.266 -9.2249
12.968395 98.261 -9.2490
13.062370 98.257 -9.2739
13.157025 98.253 -9.2990
13.252366 98.249 -9.3239
13.348398 98.244 -9.3490
13.445127 98.240 -9.3748
13.542556 98.236 -9.4010
13.640691 98.231 -9.4269
13.739536 98.227 -9.4530
13.839099 98.223 -9.4794
13.939383 98.219 -9.5060
14.040393 98.215 -9.5329
14.142136 98.211 -9.5600
14.244616 98.207 -9.5874
14.347837 98.202 -9.6150
14.451808 98.198 -9.6429
14.556532 98.194 -9.6710
14.662014 98.189 -9.6994
14.768262 98.185 -9.7280
14.875278 98.181 -9.7568
14.983070 98.177 -9.7860
15.091644 98.173 -9.8158
15.201005 98.168 -9.8460
15.311157 98.164 -9.8759
15.422109 98.160 -9.9060
15.533863 98.156 -9.9363
15.646428 98.152 -9.9670
15.759809 98.147 -9.9984
15.874010 98.143 -10.0300
15.989040 98.139 -10.0614
16.104904 98.135 -10.0930
16.221605 98.131 -10.1253
16.339155 98.126 -10.1580
16.457554 98.122 -10.1908
16.576813 98.118 -10.2240
16.696936 98.114 -10.2574
16.817928 98.110 -10.2910
16.939798 98.106 -10.3248
17.062551 98.101 -10.3590
17.186193 98.097 -10.3938
17.310732 98.093 -10.4290
17.436172 98.089 -10.4639
17.562521 98.084 -10.4990
17.689787 98.080 -10.5348
17.817974 98.076 -10.5710
17.947090 98.072 -10.6073
18.077143 98.067 -10.6440
18.208138 98.063 -10.6808
18.340080 98.059 -10.7180
18.472980 98.055 -10.7554
18.606844 98.051 -10.7930
18.741676 98.047 -10.8305
18.877487 98.042 -10.8680
19.014280 98.038 -10.9056
19.152065 98.034 -10.9430
19.290850 98.029 -10.9797
19.430639 98.025 -11.0160
19.571442 98.021 -11.0520
19.713264 98.018 -11.0880
19.856115 98.014 -11.1238
20.000000 98.011 -11.1600
20.144928 98.008 -11.1965
20.290907 98.006 -11.2340
20.437943 98.004 -11.2728
20.586044 98.003 -11.3140
20.735220 98.002 -11.3586
20.885475 98.001 -11.4069
21.036821 98.000 -11.4590
21.189262 98.000 -11.5159
21.342808 98.000 -11.5790
21.497467 98.000 -11.6479
21.653246 97.999 -11.7226
21.810154 97.998 -11.8029
21.968201 97.996 -11.8893
22.127390 97.993 -11.9789
22.287735 97.988 -12.0705
22.449242 97.981 -12.1599
22.611917 97.972 -12.2424
22.775772 97.963 -12.3189
22.940815 97.954 -12.3887
23.107054 97.946 -12.4519
23.274498 97.937 -12.5082
23.443153 97.929 -12.5589
23.613033 97.922 -12.6037
23.784142 97.916 -12.6470
23.956491 97.913 -12.6925
24.130091 97.911 -12.7419
24.304947 97.910 -12.7985
24.481071 97.909 -12.8619
24.658470 97.909 -12.9330
24.837156 97.909 -13.0119
25.017136 97.909 -13.0989
25.198421 97.909 -13.1949
25.381020 97.909 -13.3009
25.564941 97.909 -13.4169
25.750195 97.908 -13.5433
25.936790 97.905 -13.6798
26.124741 97.901 -13.8280
26.314051 97.895 -13.9828
26.504732 97.885 -14.1422
26.696796 97.871 -14.2988
26.890253 97.854 -14.4442
27.085112 97.834 -14.5789
27.281382 97.815 -14.7013
27.479073 97.794 -14.8099
27.678198 97.771 -14.9030
27.878765 97.747 -14.9789
28.080786 97.725 -15.0318
28.284271 97.705 -15.0720
28.489231 97.690 -15.1063
28.695675 97.678 -15.1390
28.903616 97.666 -15.1762
29.113064 97.656 -15.2179
29.324028 97.648 -15.2650
29.536524 97.641 -15.3209
29.750557 97.636 -15.3901
29.966141 97.630 -15.4709
30.183289 97.623 -15.5643
30.402010 97.615 -15.6669
30.622314 97.606 -15.7755
30.844217 97.596 -15.8899
31.067726 97.584 -16.0096
31.292856 97.571 -16.1318
31.519617 97.555 -16.2550
31.748020 97.537 -16.3739
31.978081 97.517 -16.4819
32.209808 97.496 -16.5819
32.443211 97.477 -16.6739
32.678310 97.457 -16.7599
32.915108 97.437 -16.8419
33.153625 97.416 -16.9199
33.393871 97.396 -16.9947
33.635857 97.376 -17.0659
33.879597 97.355 -17.1341
34.125103 97.334 -17.1969
34.372387 97.313 -17.2513
34.621464 97.293 -17.2999
34.872345 97.274 -17.3443
35.125042 97.256 -17.3850
35.379574 97.238 -17.4221
35.635948 97.221 -17.4580
35.894180 97.206 -17.4923
36.154285 97.194 -17.5329
36.416275 97.185 -17.5871
36.680161 97.177 -17.6559
36.945961 97.167 -17.7455
37.213688 97.156 -17.8478
37.483353 97.142 -17.9576
37.754974 97.125 -18.0718
38.028561 97.107 -18.1864
38.304131 97.086 -18.2989
38.581699 97.063 -18.4061
38.861279 97.038 -18.5059
39.142883 97.012 -18.5927
39.426529 96.987 -18.6729
39.712231 96.964 -18.7506
40.000000 96.942 -18.8269
40.289856 96.917 -18.9054
40.581814 96.892 -18.9819
40.875885 96.866 -19.0516
41.172089 96.841 -19.1199
41.470440 96.817 -19.1911
41.770950 96.793 -19.2639
42.073643 96.766 -19.3401
42.378525 96.737 -19.4139
42.685616 96.707 -19.4789
42.994934 96.677 -19.5389
43.306492 96.648 -19.5960
43.620308 96.618 -19.6489
43.936401 96.586 -19.6984
44.254780 96.552 -19.7399
44.575470 96.518 -19.7675
44.898483 96.484 -19.7870
45.223835 96.453 -19.8016
45.551544 96.422 -19.8130
45.881630 96.390 -19.8249
46.214108 96.358 -19.8340
46.548996 96.325 -19.8364
46.886307 96.293 -19.8380
47.226067 96.263 -19.8459
47.568283 96.231 -19.8520
47.912983 96.193 -19.8531
48.260181 96.152 -19.8410
48.609894 96.112 -19.8043
48.962143 96.072 -19.7501
49.316940 96.034 -19.6824
49.674313 95.997 -19.6001
50.034271 95.959 -19.5025
50.396843 95.922 -19.3932
50.762039 95.891 -19.2735
51.129883 95.862 -19.1492
51.500389 95.833 -19.0284
51.873581 95.805 -18.9052
52.249481 95.777 -18.7750
52.628101 95.751 -18.6422
53.009464 95.728 -18.5102
53.393593 95.705 -18.3772
53.780506 95.680 -18.2445
54.170223 95.656 -18.1072
54.562763 95.633 -17.9579
54.958145 95.612 -17.8052
55.356396 95.595 -17.6562
55.757530 95.578 -17.5082
56.161572 95.559 -17.3640
56.568542 95.539 -17.2153
56.978462 95.519 -17.0544
57.391350 95.499 -16.8823
57.807232 95.481 -16.6969
58.226128 95.464 -16.5003
58.648056 95.451 -16.2930
59.073048 95.440 -16.0784
59.501114 95.432 -15.8590
59.932281 95.427 -15.6384
60.366577 95.426 -15.4193
60.804020 95.429 -15.2064
61.244629 95.435 -15.0050
61.688435 95.444 -14.8163
62.135452 95.455 -14.6437
62.585712 95.468 -14.4853
63.039234 95.480 -14.3414
63.496040 95.493 -14.2092
63.956161 95.506 -14.0857
64.419617 95.520 -13.9722
64.886421 95.535 -13.8684
65.356621 95.551 -13.7761
65.830215 95.567 -13.6988
66.307251 95.583 -13.6311
66.787743 95.597 -13.5690
67.271713 95.610 -13.5131
67.759193 95.625 -13.4627
68.250206 95.640 -13.4181
68.744774 95.654 -13.3806
69.242928 95.668 -13.3461
69.744690 95.681 -13.3106
70.250084 95.694 -13.2741
70.759148 95.707 -13.2336
71.271896 95.722 -13.1941
71.788361 95.741 -13.1582
72.308571 95.762 -13.1300
72.832550 95.783 -13.1143
73.360321 95.806 -13.1110
73.891922 95.830 -13.1203
74.427376 95.856 -13.1459
74.966705 95.883 -13.1926
75.509949 95.910 -13.2579
76.057121 95.934 -13.3428
76.608261 95.957 -13.4418
77.163399 95.978 -13.5495
77.722557 95.998 -13.6668
78.285767 96.018 -13.7927
