* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DCA Stealth_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:26:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\DCA Stealth_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: DCA Stealth_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 94.675 -22.3540
5.036232 94.668 -22.3534
5.072727 94.660 -22.3530
5.109486 94.652 -22.3529
5.146511 94.642 -22.3530
5.183805 94.630 -22.3529
5.221369 94.617 -22.3530
5.259205 94.603 -22.3539
5.297316 94.589 -22.3550
5.335702 94.574 -22.3559
5.374367 94.558 -22.3570
5.413311 94.543 -22.3584
5.452538 94.527 -22.3600
5.492050 94.511 -22.3620
5.531847 94.496 -22.3640
5.571934 94.481 -22.3655
5.612310 94.466 -22.3670
5.652979 94.451 -22.3690
5.693943 94.435 -22.3710
5.735204 94.419 -22.3725
5.776763 94.404 -22.3740
5.818624 94.389 -22.3759
5.860788 94.373 -22.3780
5.903258 94.357 -22.3800
5.946035 94.342 -22.3820
5.989123 94.327 -22.3840
6.032523 94.312 -22.3860
6.076237 94.297 -22.3880
6.120268 94.281 -22.3900
6.164618 94.266 -22.3920
6.209289 94.250 -22.3940
6.254284 94.235 -22.3959
6.299605 94.219 -22.3980
6.345255 94.203 -22.4005
6.391235 94.188 -22.4030
6.437549 94.173 -22.4050
6.484198 94.158 -22.4070
6.531185 94.143 -22.4095
6.578513 94.127 -22.4120
6.626183 94.112 -22.4140
6.674199 94.096 -22.4160
6.722563 94.081 -22.4184
6.771278 94.065 -22.4210
6.820345 94.049 -22.4235
6.869768 94.034 -22.4260
6.919549 94.019 -22.4285
6.969691 94.004 -22.4310
7.020196 93.989 -22.4335
7.071068 93.973 -22.4360
7.122308 93.958 -22.4385
7.173919 93.942 -22.4410
7.225904 93.927 -22.4434
7.278266 93.911 -22.4460
7.331007 93.895 -22.4490
7.384131 93.880 -22.4520
7.437639 93.865 -22.4545
7.491535 93.850 -22.4570
7.545822 93.835 -22.4600
7.600502 93.819 -22.4630
7.655579 93.804 -22.4655
7.711054 93.788 -22.4680
7.766932 93.773 -22.4709
7.823214 93.757 -22.4740
7.879904 93.741 -22.4770
7.937005 93.726 -22.4800
7.994520 93.711 -22.4830
8.052452 93.696 -22.4860
8.110803 93.681 -22.4890
8.169578 93.665 -22.4920
8.228777 93.650 -22.4949
8.288406 93.634 -22.4980
8.348468 93.619 -22.5015
8.408964 93.603 -22.5050
8.469899 93.587 -22.5080
8.531276 93.572 -22.5110
8.593097 93.557 -22.5144
8.655366 93.542 -22.5180
8.718086 93.527 -22.5215
8.781260 93.511 -22.5250
8.844893 93.496 -22.5285
8.908987 93.480 -22.5320
8.973545 93.465 -22.5355
9.038571 93.449 -22.5390
9.104069 93.433 -22.5425
9.170040 93.418 -22.5460
9.236490 93.403 -22.5494
9.303422 93.388 -22.5530
9.370838 93.373 -22.5569
9.438744 93.357 -22.5610
9.507140 93.342 -22.5651
9.576033 93.326 -22.5690
9.645425 93.311 -22.5725
9.715320 93.295 -22.5760
9.785721 93.279 -22.5799
9.856632 93.264 -22.5840
9.928058 93.249 -22.5885
10.000000 93.234 -22.5930
10.072464 93.219 -22.5971
10.145453 93.203 -22.6010
10.218971 93.188 -22.6049
10.293022 93.172 -22.6090
10.367610 93.157 -22.6134
10.442738 93.141 -22.6180
10.518411 93.125 -22.6225
10.594631 93.110 -22.6270
10.671404 93.095 -22.6315
10.748734 93.080 -22.6360
10.826623 93.065 -22.6404
10.905077 93.049 -22.6450
10.984100 93.034 -22.6500
11.063695 93.018 -22.6550
11.143867 93.003 -22.6595
11.224621 92.987 -22.6640
11.305959 92.971 -22.6689
11.387886 92.956 -22.6740
11.470407 92.941 -22.6789
11.553527 92.926 -22.6840
11.637249 92.911 -22.6895
11.721577 92.895 -22.6950
11.806517 92.880 -22.7000
11.892071 92.864 -22.7050
11.978246 92.849 -22.7104
12.065045 92.833 -22.7160
12.152473 92.817 -22.7215
12.240536 92.802 -22.7270
12.329235 92.787 -22.7324
12.418578 92.772 -22.7380
12.508568 92.757 -22.7439
12.599211 92.741 -22.7500
12.690510 92.726 -22.7560
12.782471 92.710 -22.7620
12.875097 92.695 -22.7680
12.968395 92.679 -22.7740
13.062370 92.663 -22.7799
13.157025 92.648 -22.7860
13.252366 92.633 -22.7924
13.348398 92.618 -22.7990
13.445127 92.603 -22.8054
13.542556 92.587 -22.8120
13.640691 92.572 -22.8190
13.739536 92.556 -22.8260
13.839099 92.541 -22.8325
13.939383 92.525 -22.8390
14.040393 92.509 -22.8459
14.142136 92.494 -22.8530
14.244616 92.479 -22.8605
14.347837 92.464 -22.8680
14.451808 92.449 -22.8749
14.556532 92.433 -22.8820
14.662014 92.418 -22.8899
14.768262 92.402 -22.8980
14.875278 92.387 -22.9055
14.983070 92.371 -22.9130
15.091644 92.355 -22.9209
15.201005 92.340 -22.9290
15.311157 92.325 -22.9374
15.422109 92.310 -22.9460
15.533863 92.295 -22.9545
15.646428 92.279 -22.9630
15.759809 92.264 -22.9714
15.874010 92.248 -22.9800
15.989040 92.233 -22.9889
16.104904 92.217 -22.9980
16.221605 92.201 -23.0074
16.339155 92.186 -23.0170
16.457554 92.171 -23.0265
16.576813 92.156 -23.0360
16.696936 92.141 -23.0454
16.817928 92.125 -23.0550
16.939798 92.110 -23.0649
17.062551 92.094 -23.0750
17.186193 92.079 -23.0854
17.310732 92.063 -23.0960
17.436172 92.047 -23.1065
17.562521 92.032 -23.1170
17.689787 92.017 -23.1274
17.817974 92.002 -23.1380
17.947090 91.987 -23.1494
18.077143 91.971 -23.1610
18.208138 91.956 -23.1720
18.340080 91.940 -23.1830
18.472980 91.925 -23.1944
18.606844 91.909 -23.2060
18.741676 91.893 -23.2176
18.877487 91.878 -23.2290
19.014280 91.863 -23.2400
19.152065 91.848 -23.2510
19.290850 91.832 -23.2619
19.430639 91.817 -23.2730
19.571442 91.802 -23.2844
19.713264 91.788 -23.2970
19.856115 91.774 -23.3117
20.000000 91.760 -23.3290
20.144928 91.746 -23.3504
20.290907 91.731 -23.3740
20.437943 91.716 -23.3989
20.586044 91.700 -23.4230
20.735220 91.683 -23.4444
20.885475 91.665 -23.4620
21.036821 91.647 -23.4734
21.189262 91.630 -23.4800
21.342808 91.614 -23.4814
21.497467 91.599 -23.4810
21.653246 91.585 -23.4808
21.810154 91.573 -23.4840
21.968201 91.562 -23.4938
22.127390 91.552 -23.5120
22.287735 91.542 -23.5425
22.449242 91.532 -23.5820
22.611917 91.521 -23.6289
22.775772 91.508 -23.6809
22.940815 91.494 -23.7361
23.107054 91.478 -23.7919
23.274498 91.461 -23.8451
23.443153 91.444 -23.8959
23.613033 91.427 -23.9433
23.784142 91.409 -23.9890
23.956491 91.391 -24.0355
24.130091 91.372 -24.0800
24.304947 91.352 -24.1200
24.481071 91.332 -24.1560
24.658470 91.313 -24.1868
24.837156 91.295 -24.2150
25.017136 91.276 -24.2427
25.198421 91.258 -24.2700
25.381020 91.241 -24.2971
25.564941 91.225 -24.3260
25.750195 91.209 -24.3580
25.936790 91.194 -24.3950
26.124741 91.179 -24.4397
26.314051 91.164 -24.4909
26.504732 91.148 -24.5495
26.696796 91.130 -24.6119
26.890253 91.111 -24.6758
27.085112 91.091 -24.7389
27.281382 91.069 -24.7991
27.479073 91.046 -24.8539
27.678198 91.023 -24.9000
27.878765 90.999 -24.9389
28.080786 90.976 -24.9698
28.284271 90.954 -24.9970
28.489231 90.934 -25.0237
28.695675 90.915 -25.0520
28.903616 90.897 -25.0841
29.113064 90.879 -25.1219
29.324028 90.863 -25.1682
29.536524 90.846 -25.2229
29.750557 90.828 -25.2878
29.966141 90.809 -25.3599
30.183289 90.789 -25.4376
30.402010 90.768 -25.5189
30.622314 90.744 -25.6028
30.844217 90.719 -25.6849
31.067726 90.691 -25.7598
31.292856 90.663 -25.8289
31.519617 90.636 -25.8905
31.748020 90.608 -25.9489
31.978081 90.580 -26.0089
32.209808 90.552 -26.0669
32.443211 90.522 -26.1207
32.678310 90.491 -26.1719
32.915108 90.462 -26.2203
33.153625 90.434 -26.2689
33.393871 90.405 -26.3227
33.635857 90.375 -26.3769
33.879597 90.342 -26.4286
34.125103 90.309 -26.4779
34.372387 90.276 -26.5244
34.621464 90.243 -26.5679
34.872345 90.208 -26.6084
35.125042 90.172 -26.6450
35.379574 90.136 -26.6762
35.635948 90.099 -26.7030
35.894180 90.062 -26.7262
36.154285 90.024 -26.7450
36.416275 89.985 -26.7585
36.680161 89.946 -26.7670
36.945961 89.906 -26.7711
37.213688 89.866 -26.7690
37.483353 89.824 -26.7604
37.754974 89.781 -26.7420
38.028561 89.737 -26.7097
38.304131 89.692 -26.6661
38.581699 89.649 -26.6123
38.861279 89.606 -26.5481
39.142883 89.562 -26.4737
39.426529 89.519 -26.3891
39.712231 89.477 -26.2938
40.000000 89.436 -26.1892
40.289856 89.395 -26.0776
40.581814 89.354 -25.9562
40.875885 89.313 -25.8226
41.172089 89.273 -25.6772
41.470440 89.234 -25.5198
41.770950 89.197 -25.3503
42.073643 89.161 -25.1684
42.378525 89.127 -24.9743
42.685616 89.095 -24.7661
42.994934 89.066 -24.5503
43.306492 89.043 -24.3316
43.620308 89.023 -24.1133
43.936401 89.005 -23.8999
44.254780 88.991 -23.6933
44.575470 88.981 -23.4952
44.898483 88.974 -23.3113
45.223835 88.970 -23.1482
45.551544 88.968 -23.0052
45.881630 88.965 -22.8842
46.214108 88.963 -22.7841
46.548996 88.962 -22.7054
46.886307 88.959 -22.6451
47.226067 88.953 -22.6017
47.568283 88.945 -22.5710
47.912983 88.936 -22.5485
48.260181 88.924 -22.5330
48.609894 88.910 -22.5231
48.962143 88.894 -22.5160
49.316940 88.875 -22.5091
49.674313 88.854 -22.5010
50.034271 88.832 -22.4903
50.396843 88.808 -22.4750
50.762039 88.781 -22.4539
51.129883 88.752 -22.4241
51.500389 88.721 -22.3826
51.873581 88.689 -22.3281
52.249481 88.656 -22.2588
52.628101 88.622 -22.1732
53.009464 88.587 -22.0684
53.393593 88.552 -21.9462
53.780506 88.519 -21.8069
54.170223 88.487 -21.6513
54.562763 88.455 -21.4796
54.958145 88.424 -21.2933
55.356396 88.398 -21.0923
55.757530 88.374 -20.8813
56.161572 88.353 -20.6651
56.568542 88.334 -20.4444
56.978462 88.317 -20.2206
57.391350 88.303 -19.9964
57.807232 88.293 -19.7733
58.226128 88.286 -19.5554
58.648056 88.282 -19.3475
59.073048 88.279 -19.1493
59.501114 88.277 -18.9622
59.932281 88.276 -18.7853
60.366577 88.276 -18.6190
60.804020 88.276 -18.4613
61.244629 88.276 -18.3103
61.688435 88.276 -18.1652
62.135452 88.276 -18.0248
62.585712 88.276 -17.8882
63.039234 88.276 -17.7549
63.496040 88.276 -17.6232
63.956161 88.276 -17.4919
64.419617 88.276 -17.3602
64.886421 88.277 -17.2274
65.356621 88.278 -17.0932
65.830215 88.280 -16.9570
66.307251 88.283 -16.8203
66.787743 88.288 -16.6835
67.271713 88.295 -16.5492
67.759193 88.304 -16.4200
68.250206 88.314 -16.2962
68.744774 88.325 -16.1784
69.242928 88.338 -16.0692
69.744690 88.354 -15.9699
70.250084 88.372 -15.8851
70.759148 88.392 -15.8206
71.271896 88.412 -15.7751
71.788361 88.431 -15.7500
72.308571 88.449 -15.7430
72.832550 88.467 -15.7523
73.360321 88.484 -15.7769
73.891922 88.498 -15.8165
74.427376 88.510 -15.8669
74.966705 88.519 -15.9253
75.509949 88.526 -15.9869
76.057121 88.530 -16.0462
76.608261 88.532 -16.1029
77.163399 88.533 -16.1545
77.722557 88.534 -16.2019
78.285767 88.534 -16.2447
78.853058 88.534 -16.2839
79.424461 88.534 -16.3201
