* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Drop Panda BT_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:28:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Drop Panda BT_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Drop Panda BT_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.319 -14.3260
5.036232 90.315 -14.3241
5.072727 90.310 -14.3220
5.109486 90.304 -14.3197
5.146511 90.297 -14.3170
5.183805 90.289 -14.3136
5.221369 90.281 -14.3100
5.259205 90.272 -14.3069
5.297316 90.262 -14.3040
5.335702 90.252 -14.3011
5.374367 90.242 -14.2980
5.413311 90.231 -14.2945
5.452538 90.221 -14.2910
5.492050 90.211 -14.2879
5.531847 90.201 -14.2850
5.571934 90.190 -14.2820
5.612310 90.180 -14.2790
5.652979 90.170 -14.2761
5.693943 90.160 -14.2730
5.735204 90.150 -14.2695
5.776763 90.139 -14.2660
5.818624 90.129 -14.2630
5.860788 90.119 -14.2600
5.903258 90.109 -14.2565
5.946035 90.098 -14.2530
5.989123 90.088 -14.2500
6.032523 90.078 -14.2470
6.076237 90.068 -14.2435
6.120268 90.057 -14.2400
6.164618 90.047 -14.2370
6.209289 90.037 -14.2340
6.254284 90.027 -14.2306
6.299605 90.017 -14.2270
6.345255 90.007 -14.2235
6.391235 89.996 -14.2200
6.437549 89.986 -14.2165
6.484198 89.976 -14.2130
6.531185 89.965 -14.2095
6.578513 89.955 -14.2060
6.626183 89.945 -14.2026
6.674199 89.935 -14.1990
6.722563 89.924 -14.1950
6.771278 89.914 -14.1910
6.820345 89.904 -14.1875
6.869768 89.894 -14.1840
6.919549 89.883 -14.1800
6.969691 89.873 -14.1760
7.020196 89.863 -14.1725
7.071068 89.853 -14.1690
7.122308 89.842 -14.1651
7.173919 89.832 -14.1610
7.225904 89.822 -14.1569
7.278266 89.812 -14.1530
7.331007 89.801 -14.1495
7.384131 89.791 -14.1460
7.437639 89.781 -14.1421
7.491535 89.771 -14.1380
7.545822 89.761 -14.1335
7.600502 89.750 -14.1290
7.655579 89.740 -14.1249
7.711054 89.730 -14.1210
7.766932 89.720 -14.1170
7.823214 89.710 -14.1130
7.879904 89.700 -14.1091
7.937005 89.689 -14.1050
7.994520 89.679 -14.1006
8.052452 89.669 -14.0960
8.110803 89.659 -14.0915
8.169578 89.648 -14.0870
8.228777 89.638 -14.0825
8.288406 89.628 -14.0780
8.348468 89.618 -14.0735
8.408964 89.607 -14.0690
8.469899 89.597 -14.0645
8.531276 89.587 -14.0600
8.593097 89.577 -14.0555
8.655366 89.566 -14.0510
8.718086 89.556 -14.0466
8.781260 89.546 -14.0420
8.844893 89.536 -14.0370
8.908987 89.525 -14.0320
8.973545 89.515 -14.0275
9.038571 89.505 -14.0230
9.104069 89.495 -14.0181
9.170040 89.484 -14.0130
9.236490 89.474 -14.0080
9.303422 89.464 -14.0030
9.370838 89.454 -13.9981
9.438744 89.444 -13.9930
9.507140 89.434 -13.9875
9.576033 89.423 -13.9820
9.645425 89.413 -13.9770
9.715320 89.403 -13.9720
9.785721 89.393 -13.9665
9.856632 89.382 -13.9610
9.928058 89.372 -13.9560
10.000000 89.362 -13.9510
10.072464 89.352 -13.9456
10.145453 89.341 -13.9400
10.218971 89.331 -13.9346
10.293022 89.321 -13.9290
10.367610 89.311 -13.9230
10.442738 89.300 -13.9170
10.518411 89.290 -13.9115
10.594631 89.280 -13.9060
10.671404 89.270 -13.9001
10.748734 89.259 -13.8940
10.826623 89.249 -13.8880
10.905077 89.239 -13.8820
10.984100 89.229 -13.8760
11.063695 89.218 -13.8700
11.143867 89.208 -13.8640
11.224621 89.198 -13.8580
11.305959 89.188 -13.8521
11.387886 89.177 -13.8460
11.470407 89.167 -13.8396
11.553527 89.157 -13.8330
11.637249 89.147 -13.8265
11.721577 89.137 -13.8200
11.806517 89.127 -13.8135
11.892071 89.116 -13.8070
11.978246 89.106 -13.8006
12.065045 89.096 -13.7940
12.152473 89.086 -13.7871
12.240536 89.075 -13.7800
12.329235 89.065 -13.7730
12.418578 89.055 -13.7660
12.508568 89.045 -13.7590
12.599211 89.034 -13.7520
12.690510 89.024 -13.7451
12.782471 89.014 -13.7380
12.875097 89.004 -13.7306
12.968395 88.993 -13.7230
13.062370 88.983 -13.7155
13.157025 88.973 -13.7080
13.252366 88.963 -13.7006
13.348398 88.952 -13.6930
13.445127 88.942 -13.6851
13.542556 88.932 -13.6770
13.640691 88.922 -13.6690
13.739536 88.911 -13.6610
13.839099 88.901 -13.6531
13.939383 88.891 -13.6450
14.040393 88.881 -13.6366
14.142136 88.870 -13.6280
14.244616 88.860 -13.6196
14.347837 88.850 -13.6110
14.451808 88.840 -13.6020
14.556532 88.830 -13.5930
14.662014 88.820 -13.5846
14.768262 88.809 -13.5760
14.875278 88.799 -13.5666
14.983070 88.789 -13.5570
15.091644 88.779 -13.5475
15.201005 88.768 -13.5380
15.311157 88.758 -13.5286
15.422109 88.748 -13.5190
15.533863 88.738 -13.5091
15.646428 88.727 -13.4990
15.759809 88.717 -13.4891
15.874010 88.707 -13.4790
15.989040 88.697 -13.4686
16.104904 88.686 -13.4580
16.221605 88.676 -13.4471
16.339155 88.666 -13.4360
16.457554 88.656 -13.4246
16.576813 88.645 -13.4130
16.696936 88.635 -13.4012
16.817928 88.625 -13.3890
16.939798 88.615 -13.3761
17.062551 88.604 -13.3630
17.186193 88.594 -13.3502
17.310732 88.584 -13.3370
17.436172 88.574 -13.3228
17.562521 88.564 -13.3080
17.689787 88.554 -13.2932
17.817974 88.543 -13.2780
17.947090 88.533 -13.2624
18.077143 88.523 -13.2460
18.208138 88.513 -13.2285
18.340080 88.502 -13.2100
18.472980 88.492 -13.1911
18.606844 88.482 -13.1710
18.741676 88.472 -13.1493
18.877487 88.461 -13.1260
19.014280 88.451 -13.1012
19.152065 88.441 -13.0740
19.290850 88.431 -13.0437
19.430639 88.421 -13.0100
19.571442 88.411 -12.9729
19.713264 88.402 -12.9321
19.856115 88.394 -12.8867
20.000000 88.386 -12.8380
20.144928 88.380 -12.7866
20.290907 88.375 -12.7341
20.437943 88.372 -12.6809
20.586044 88.371 -12.6310
20.735220 88.373 -12.5867
20.885475 88.377 -12.5530
21.036821 88.383 -12.5360
21.189262 88.390 -12.5350
21.342808 88.397 -12.5512
21.497467 88.404 -12.5849
21.653246 88.410 -12.6377
21.810154 88.415 -12.7079
21.968201 88.418 -12.7961
22.127390 88.419 -12.8969
22.287735 88.416 -13.0057
22.449242 88.409 -13.1199
22.611917 88.400 -13.2357
22.775772 88.389 -13.3519
22.940815 88.375 -13.4673
23.107054 88.358 -13.5779
23.274498 88.338 -13.6797
23.443153 88.315 -13.7709
23.613033 88.290 -13.8487
23.784142 88.264 -13.9120
23.956491 88.236 -13.9582
24.130091 88.208 -13.9880
24.304947 88.179 -14.0007
24.481071 88.150 -13.9970
24.658470 88.122 -13.9764
24.837156 88.095 -13.9411
25.017136 88.069 -13.8920
25.198421 88.045 -13.8321
25.381020 88.023 -13.7644
25.564941 88.003 -13.6891
25.750195 87.984 -13.6067
25.936790 87.966 -13.5191
26.124741 87.951 -13.4273
26.314051 87.938 -13.3341
26.504732 87.928 -13.2424
26.696796 87.919 -13.1531
26.890253 87.912 -13.0670
27.085112 87.907 -12.9871
27.281382 87.904 -12.9162
27.479073 87.903 -12.8551
27.678198 87.902 -12.8057
27.878765 87.901 -12.7670
28.080786 87.901 -12.7388
28.284271 87.901 -12.7210
28.489231 87.900 -12.7142
28.695675 87.899 -12.7170
28.903616 87.898 -12.7287
29.113064 87.895 -12.7480
29.324028 87.890 -12.7742
29.536524 87.884 -12.8040
29.750557 87.877 -12.8335
29.966141 87.868 -12.8630
30.183289 87.859 -12.8921
30.402010 87.849 -12.9190
30.622314 87.837 -12.9423
30.844217 87.825 -12.9600
31.067726 87.812 -12.9678
31.292856 87.800 -12.9710
31.519617 87.790 -12.9727
31.748020 87.781 -12.9750
31.978081 87.772 -12.9804
32.209808 87.763 -12.9900
32.443211 87.755 -13.0049
32.678310 87.748 -13.0270
32.915108 87.740 -13.0596
33.153625 87.732 -13.0999
33.393871 87.722 -13.1466
33.635857 87.710 -13.1979
33.879597 87.697 -13.2535
34.125103 87.681 -13.3079
34.372387 87.661 -13.3561
34.621464 87.639 -13.3959
34.872345 87.618 -13.4228
35.125042 87.596 -13.4390
35.379574 87.573 -13.4454
35.635948 87.550 -13.4410
35.894180 87.527 -13.4245
36.154285 87.505 -13.3980
36.416275 87.485 -13.3623
36.680161 87.466 -13.3201
36.945961 87.448 -13.2738
37.213688 87.431 -13.2251
37.483353 87.416 -13.1748
37.754974 87.403 -13.1271
38.028561 87.392 -13.0864
38.304131 87.382 -13.0530
38.581699 87.372 -13.0286
38.861279 87.363 -13.0130
39.142883 87.354 -13.0078
39.426529 87.343 -13.0100
39.712231 87.330 -13.0185
40.000000 87.316 -13.0300
40.289856 87.301 -13.0402
40.581814 87.285 -13.0500
40.875885 87.268 -13.0592
41.172089 87.251 -13.0670
41.470440 87.232 -13.0725
41.770950 87.213 -13.0750
42.073643 87.193 -13.0729
42.378525 87.172 -13.0680
42.685616 87.152 -13.0614
42.994934 87.132 -13.0530
43.306492 87.110 -13.0446
43.620308 87.086 -13.0310
43.936401 87.061 -13.0070
44.254780 87.035 -12.9741
44.575470 87.011 -12.9311
44.898483 86.987 -12.8811
45.223835 86.963 -12.8270
45.551544 86.940 -12.7671
45.881630 86.917 -12.7002
46.214108 86.894 -12.6281
46.548996 86.873 -12.5517
46.886307 86.852 -12.4731
47.226067 86.832 -12.3954
47.568283 86.812 -12.3171
47.912983 86.792 -12.2376
48.260181 86.773 -12.1571
48.609894 86.754 -12.0759
48.962143 86.736 -11.9941
49.316940 86.718 -11.9122
49.674313 86.700 -11.8301
50.034271 86.682 -11.7473
50.396843 86.665 -11.6661
50.762039 86.649 -11.5889
51.129883 86.633 -11.5161
51.500389 86.616 -11.4499
51.873581 86.598 -11.3871
52.249481 86.579 -11.3260
52.628101 86.558 -11.2651
53.009464 86.537 -11.2027
53.393593 86.514 -11.1371
53.780506 86.489 -11.0666
54.170223 86.462 -10.9891
54.562763 86.435 -10.9028
54.958145 86.407 -10.8062
55.356396 86.377 -10.6971
55.757530 86.346 -10.5752
56.161572 86.316 -10.4392
56.568542 86.285 -10.2893
56.978462 86.254 -10.1254
57.391350 86.224 -9.9463
57.807232 86.193 -9.7501
58.226128 86.164 -9.5384
58.648056 86.137 -9.3118
59.073048 86.112 -9.0724
59.501114 86.089 -8.8215
59.932281 86.068 -8.5625
60.366577 86.050 -8.2980
60.804020 86.035 -8.0315
61.244629 86.021 -7.7677
61.688435 86.009 -7.5045
62.135452 85.997 -7.2420
62.585712 85.985 -6.9775
63.039234 85.975 -6.7078
63.496040 85.965 -6.4335
63.956161 85.956 -6.1546
64.419617 85.948 -5.8695
64.886421 85.940 -5.5772
65.356621 85.933 -5.2765
65.830215 85.928 -4.9653
66.307251 85.925 -4.6456
66.787743 85.924 -4.3185
67.271713 85.926 -3.9856
67.759193 85.930 -3.6489
68.250206 85.937 -3.3086
68.744774 85.946 -2.9659
69.242928 85.958 -2.6206
69.744690 85.972 -2.2719
70.250084 85.989 -1.9227
70.759148 86.010 -1.5747
71.271896 86.035 -1.2306
71.788361 86.062 -0.8932
72.308571 86.093 -0.5636
72.832550 86.127 -0.2429
73.360321 86.165 0.0654
73.891922 86.206 0.3578
74.427376 86.250 0.6335
74.966705 86.295 0.8905
75.509949 86.341 1.1296
76.057121 86.389 1.3510
76.608261 86.439 1.5546
77.163399 86.489 1.7399
77.722557 86.540 1.9077
78.285767 86.591 2.0575
78.853058 86.642 2.1917
79.424461 86.692 2.3124
80.000000 86.743 2.4208
