* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Final_D8000_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:10:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Final_D8000_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Final_D8000_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 78.358 17.8740
5.036232 78.364 17.8706
5.072727 78.370 17.8670
5.109486 78.377 17.8628
5.146511 78.386 17.8580
5.183805 78.396 17.8526
5.221369 78.407 17.8470
5.259205 78.418 17.8416
5.297316 78.430 17.8360
5.335702 78.443 17.8300
5.374367 78.456 17.8240
5.413311 78.469 17.8185
5.452538 78.482 17.8130
5.492050 78.495 17.8070
5.531847 78.508 17.8010
5.571934 78.521 17.7955
5.612310 78.534 17.7900
5.652979 78.547 17.7841
5.693943 78.560 17.7780
5.735204 78.573 17.7720
5.776763 78.586 17.7660
5.818624 78.598 17.7601
5.860788 78.611 17.7540
5.903258 78.624 17.7475
5.946035 78.637 17.7410
5.989123 78.650 17.7350
6.032523 78.663 17.7290
6.076237 78.676 17.7225
6.120268 78.689 17.7160
6.164618 78.702 17.7100
6.209289 78.715 17.7040
6.254284 78.728 17.6976
6.299605 78.741 17.6910
6.345255 78.754 17.6846
6.391235 78.767 17.6780
6.437549 78.780 17.6710
6.484198 78.793 17.6640
6.531185 78.806 17.6575
6.578513 78.819 17.6510
6.626183 78.831 17.6440
6.674199 78.844 17.6370
6.722563 78.857 17.6305
6.771278 78.870 17.6240
6.820345 78.883 17.6171
6.869768 78.896 17.6100
6.919549 78.909 17.6031
6.969691 78.922 17.5960
7.020196 78.935 17.5885
7.071068 78.948 17.5810
7.122308 78.961 17.5740
7.173919 78.974 17.5670
7.225904 78.987 17.5596
7.278266 79.000 17.5520
7.331007 79.013 17.5445
7.384131 79.026 17.5370
7.437639 79.039 17.5295
7.491535 79.052 17.5220
7.545822 79.064 17.5146
7.600502 79.077 17.5070
7.655579 79.090 17.4991
7.711054 79.103 17.4910
7.766932 79.116 17.4830
7.823214 79.129 17.4750
7.879904 79.142 17.4670
7.937005 79.155 17.4590
7.994520 79.168 17.4511
8.052452 79.181 17.4430
8.110803 79.194 17.4345
8.169578 79.207 17.4260
8.228777 79.220 17.4180
8.288406 79.233 17.4100
8.348468 79.246 17.4016
8.408964 79.259 17.3930
8.469899 79.272 17.3846
8.531276 79.285 17.3760
8.593097 79.297 17.3670
8.655366 79.310 17.3580
8.718086 79.323 17.3495
8.781260 79.336 17.3410
8.844893 79.349 17.3321
8.908987 79.362 17.3230
8.973545 79.375 17.3135
9.038571 79.388 17.3040
9.104069 79.401 17.2950
9.170040 79.414 17.2860
9.236490 79.427 17.2766
9.303422 79.440 17.2670
9.370838 79.453 17.2575
9.438744 79.466 17.2480
9.507140 79.479 17.2385
9.576033 79.492 17.2290
9.645425 79.505 17.2196
9.715320 79.518 17.2100
9.785721 79.530 17.2001
9.856632 79.543 17.1900
9.928058 79.556 17.1801
10.000000 79.569 17.1700
10.072464 79.582 17.1595
10.145453 79.595 17.1490
10.218971 79.608 17.1390
10.293022 79.621 17.1290
10.367610 79.634 17.1186
10.442738 79.647 17.1080
10.518411 79.660 17.0970
10.594631 79.673 17.0860
10.671404 79.686 17.0755
10.748734 79.699 17.0650
10.826623 79.712 17.0541
10.905077 79.725 17.0430
10.984100 79.738 17.0321
11.063695 79.751 17.0210
11.143867 79.763 17.0096
11.224621 79.776 16.9980
11.305959 79.789 16.9865
11.387886 79.802 16.9750
11.470407 79.815 16.9635
11.553527 79.828 16.9520
11.637249 79.841 16.9406
11.721577 79.854 16.9290
11.806517 79.867 16.9171
11.892071 79.880 16.9050
11.978246 79.893 16.8925
12.065045 79.906 16.8800
12.152473 79.919 16.8680
12.240536 79.932 16.8560
12.329235 79.945 16.8436
12.418578 79.958 16.8310
12.508568 79.971 16.8180
12.599211 79.984 16.8050
12.690510 79.996 16.7926
12.782471 80.009 16.7800
12.875097 80.022 16.7666
12.968395 80.035 16.7530
13.062370 80.048 16.7400
13.157025 80.061 16.7270
13.252366 80.074 16.7136
13.348398 80.087 16.7000
13.445127 80.100 16.6866
13.542556 80.113 16.6730
13.640691 80.126 16.6591
13.739536 80.139 16.6450
13.839099 80.152 16.6311
13.939383 80.165 16.6170
14.040393 80.178 16.6026
14.142136 80.191 16.5880
14.244616 80.204 16.5736
14.347837 80.217 16.5590
14.451808 80.230 16.5441
14.556532 80.243 16.5290
14.662014 80.255 16.5140
14.768262 80.268 16.4990
14.875278 80.281 16.4841
14.983070 80.294 16.4690
15.091644 80.307 16.4531
15.201005 80.320 16.4370
15.311157 80.333 16.4216
15.422109 80.346 16.4060
15.533863 80.359 16.3896
15.646428 80.372 16.3730
15.759809 80.385 16.3565
15.874010 80.398 16.3400
15.989040 80.411 16.3236
16.104904 80.424 16.3070
16.221605 80.437 16.2901
16.339155 80.450 16.2730
16.457554 80.463 16.2556
16.576813 80.476 16.2380
16.696936 80.488 16.2206
16.817928 80.501 16.2030
16.939798 80.514 16.1851
17.062551 80.527 16.1670
17.186193 80.540 16.1486
17.310732 80.553 16.1300
17.436172 80.566 16.1111
17.562521 80.579 16.0920
17.689787 80.592 16.0726
17.817974 80.605 16.0530
17.947090 80.618 16.0336
18.077143 80.631 16.0140
18.208138 80.644 15.9937
18.340080 80.657 15.9730
18.472980 80.670 15.9521
18.606844 80.683 15.9310
18.741676 80.696 15.9097
18.877487 80.709 15.8880
19.014280 80.721 15.8658
19.152065 80.734 15.8430
19.290850 80.747 15.8198
19.430639 80.760 15.7960
19.571442 80.773 15.7715
19.713264 80.786 15.7460
19.856115 80.799 15.7197
20.000000 80.812 15.6920
20.144928 80.825 15.6629
20.290907 80.838 15.6320
20.437943 80.851 15.5992
20.586044 80.863 15.5640
20.735220 80.875 15.5261
20.885475 80.887 15.4860
21.036821 80.897 15.4434
21.189262 80.907 15.4011
21.342808 80.916 15.3611
21.497467 80.923 15.3250
21.653246 80.929 15.2944
21.810154 80.934 15.2710
21.968201 80.939 15.2574
22.127390 80.944 15.2530
22.287735 80.950 15.2587
22.449242 80.956 15.2720
22.611917 80.964 15.2918
22.775772 80.973 15.3150
22.940815 80.983 15.3377
23.107054 80.995 15.3610
23.274498 81.007 15.3851
23.443153 81.021 15.4080
23.613033 81.036 15.4279
23.784142 81.051 15.4440
23.956491 81.067 15.4536
24.130091 81.083 15.4600
24.304947 81.098 15.4666
24.481071 81.113 15.4710
24.658470 81.130 15.4729
24.837156 81.148 15.4690
25.017136 81.166 15.4541
25.198421 81.183 15.4340
25.381020 81.197 15.4121
25.564941 81.210 15.3910
25.750195 81.223 15.3740
25.936790 81.235 15.3630
26.124741 81.245 15.3606
26.314051 81.255 15.3680
26.504732 81.267 15.3890
26.696796 81.280 15.4190
26.890253 81.295 15.4569
27.085112 81.314 15.4960
27.281382 81.337 15.5319
27.479073 81.363 15.5560
27.678198 81.393 15.5574
27.878765 81.423 15.5380
28.080786 81.451 15.4938
28.284271 81.477 15.4321
28.489231 81.501 15.3581
28.695675 81.522 15.2751
28.903616 81.540 15.1847
29.113064 81.555 15.0971
29.324028 81.564 15.0230
29.536524 81.572 14.9631
29.750557 81.581 14.9235
29.966141 81.592 14.8980
30.183289 81.604 14.8828
30.402010 81.617 14.8760
30.622314 81.632 14.8767
30.844217 81.649 14.8780
31.067726 81.671 14.8743
31.292856 81.695 14.8600
31.519617 81.721 14.8261
31.748020 81.747 14.7771
31.978081 81.770 14.7132
32.209808 81.792 14.6381
32.443211 81.814 14.5547
32.678310 81.834 14.4651
32.915108 81.851 14.3699
33.153625 81.866 14.2761
33.393871 81.878 14.1910
33.635857 81.889 14.1141
33.879597 81.901 14.0488
34.125103 81.914 13.9911
34.372387 81.927 13.9389
34.621464 81.941 13.8891
34.872345 81.958 13.8393
35.125042 81.976 13.7851
35.379574 81.995 13.7200
35.635948 82.014 13.6471
35.894180 82.031 13.5663
36.154285 82.047 13.4811
36.416275 82.062 13.3953
36.680161 82.076 13.3081
36.945961 82.090 13.2203
37.213688 82.104 13.1321
37.483353 82.116 13.0440
37.754974 82.128 12.9571
38.028561 82.140 12.8731
38.304131 82.151 12.7911
38.581699 82.162 12.7109
38.861279 82.172 12.6331
39.142883 82.182 12.5574
39.426529 82.192 12.4861
39.712231 82.201 12.4220
40.000000 82.210 12.3631
40.289856 82.221 12.3092
40.581814 82.233 12.2581
40.875885 82.245 12.2084
41.172089 82.259 12.1571
41.470440 82.275 12.1018
41.770950 82.293 12.0381
42.073643 82.312 11.9591
42.378525 82.330 11.8691
42.685616 82.345 11.7689
42.994934 82.359 11.6622
43.306492 82.372 11.5520
43.620308 82.383 11.4412
43.936401 82.391 11.3317
44.254780 82.398 11.2282
44.575470 82.402 11.1356
44.898483 82.406 11.0551
45.223835 82.410 10.9902
45.551544 82.414 10.9381
45.881630 82.420 10.8991
46.214108 82.428 10.8680
46.548996 82.439 10.8400
46.886307 82.453 10.8140
47.226067 82.468 10.7896
47.568283 82.485 10.7601
47.912983 82.508 10.7211
48.260181 82.533 10.6651
48.609894 82.561 10.5807
48.962143 82.588 10.4742
49.316940 82.611 10.3476
49.674313 82.633 10.2032
50.034271 82.655 10.0438
50.396843 82.675 9.8703
50.762039 82.691 9.6810
51.129883 82.703 9.4863
51.500389 82.710 9.2955
51.873581 82.715 9.1103
52.249481 82.718 8.9365
52.628101 82.720 8.7723
53.009464 82.720 8.6178
53.393593 82.720 8.4722
53.780506 82.720 8.3354
54.170223 82.720 8.2052
54.562763 82.720 8.0795
54.958145 82.720 7.9582
55.356396 82.720 7.8405
55.757530 82.720 7.7262
56.161572 82.720 7.6149
56.568542 82.720 7.5062
56.978462 82.720 7.3992
57.391350 82.720 7.2942
57.807232 82.720 7.1908
58.226128 82.720 7.0892
58.648056 82.720 6.9895
59.073048 82.720 6.8912
59.501114 82.720 6.7932
59.932281 82.720 6.6962
60.366577 82.720 6.6008
60.804020 82.720 6.5062
61.244629 82.720 6.4115
61.688435 82.720 6.3172
62.135452 82.720 6.2236
62.585712 82.720 6.1302
63.039234 82.720 6.0363
63.496040 82.720 5.9422
63.956161 82.720 5.8477
64.419617 82.720 5.7522
64.886421 82.720 5.6552
65.356621 82.720 5.5562
65.830215 82.720 5.4551
66.307251 82.720 5.3502
66.787743 82.720 5.2397
67.271713 82.720 5.1232
67.759193 82.718 4.9997
68.250206 82.715 4.8702
68.744774 82.710 4.7338
69.242928 82.703 4.5963
69.744690 82.691 4.4602
70.250084 82.675 4.3352
70.759148 82.656 4.2321
71.271896 82.636 4.1491
71.788361 82.616 4.0883
72.308571 82.596 4.0491
72.832550 82.575 4.0324
73.360321 82.556 4.0360
73.891922 82.540 4.0609
74.427376 82.527 4.0969
74.966705 82.520 4.1349
75.509949 82.515 4.1719
76.057121 82.512 4.2018
76.608261 82.510 4.2260
77.163399 82.510 4.2438
77.722557 82.510 4.2560
78.285767 82.510 4.2618
78.853058 82.510 4.2640
79.424461 82.510 4.2651
80.000000 82.510 4.2650
80.579712 82.510 4.2641
81.163628 82.510 4.2630
81.751770 82.510 4.2623
82.344177 82.510 4.2630
82.940880 82.510 4.2666
83.541901 82.510 4.2730
84.147285 82.511 4.2823
84.757050 82.512 4.2950
85.371231 82.514 4.3123
85.989868 82.517 4.3320
86.612984 82.522 4.3530
87.240616 82.528 4.3720
87.872803 82.536 4.3854
88.509560 82.546 4.3930
89.150940 82.556 4.3932
89.796967 82.566 4.3860
90.447670 82.577 4.3709
91.103088 82.588 4.3481
91.763260 82.599 4.3180
92.428215 82.611 4.2801
93.097992 82.623 4.2342
93.772614 82.634 4.1791
94.452133 82.644 4.1131
95.136566 82.654 4.0382
95.825966 82.662 3.9547
96.520363 82.669 3.8662
97.219788 82.673 3.7746
