* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Final UX3000_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:35:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Final UX3000_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Final UX3000_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 71.966 108.9790
5.036232 72.003 108.9467
5.072727 72.043 108.9120
5.109486 72.089 108.8718
5.146511 72.143 108.8260
5.183805 72.206 108.7719
5.221369 72.276 108.7140
5.259205 72.348 108.6565
5.297316 72.424 108.5970
5.335702 72.505 108.5336
5.374367 72.587 108.4690
5.413311 72.668 108.4055
5.452538 72.750 108.3420
5.492050 72.832 108.2782
5.531847 72.913 108.2140
5.571934 72.994 108.1492
5.612310 73.075 108.0840
5.652979 73.156 108.0187
5.693943 73.238 107.9530
5.735204 73.319 107.8867
5.776763 73.401 107.8200
5.818624 73.482 107.7527
5.860788 73.564 107.6850
5.903258 73.645 107.6173
5.946035 73.727 107.5490
5.989123 73.808 107.4798
6.032523 73.890 107.4100
6.076237 73.971 107.3402
6.120268 74.053 107.2700
6.164618 74.134 107.1993
6.209289 74.216 107.1280
6.254284 74.297 107.0558
6.299605 74.379 106.9830
6.345255 74.461 106.9102
6.391235 74.542 106.8370
6.437549 74.623 106.7633
6.484198 74.704 106.6890
6.531185 74.785 106.6138
6.578513 74.867 106.5380
6.626183 74.948 106.4623
6.674199 75.030 106.3860
6.722563 75.111 106.3088
6.771278 75.193 106.2310
6.820345 75.274 106.1528
6.869768 75.356 106.0740
6.919549 75.437 105.9948
6.969691 75.519 105.9150
7.020196 75.600 105.8348
7.071068 75.682 105.7540
7.122308 75.763 105.6724
7.173919 75.845 105.5900
7.225904 75.926 105.5068
7.278266 76.008 105.4230
7.331007 76.090 105.3393
7.384131 76.171 105.2550
7.437639 76.252 105.1699
7.491535 76.333 105.0840
7.545822 76.414 104.9973
7.600502 76.496 104.9100
7.655579 76.577 104.8223
7.711054 76.659 104.7340
7.766932 76.740 104.6448
7.823214 76.822 104.5550
7.879904 76.903 104.4648
7.937005 76.985 104.3740
7.994520 77.066 104.2824
8.052452 77.148 104.1900
8.110803 77.229 104.0968
8.169578 77.311 104.0030
8.228777 77.392 103.9089
8.288406 77.474 103.8140
8.348468 77.555 103.7179
8.408964 77.637 103.6210
8.469899 77.719 103.5238
8.531276 77.800 103.4260
8.593097 77.881 103.3274
8.655366 77.962 103.2280
8.718086 78.043 103.1280
8.781260 78.125 103.0270
8.844893 78.206 102.9249
8.908987 78.288 102.8220
8.973545 78.369 102.7189
9.038571 78.451 102.6150
9.104069 78.532 102.5105
9.170040 78.614 102.4050
9.236490 78.695 102.2985
9.303422 78.777 102.1910
9.370838 78.858 102.0829
9.438744 78.940 101.9740
9.507140 79.021 101.8644
9.576033 79.103 101.7540
9.645425 79.184 101.6430
9.715320 79.266 101.5311
9.785721 79.348 101.4180
9.856632 79.429 101.3041
9.928058 79.510 101.1895
10.000000 79.591 101.0741
10.072464 79.672 100.9575
10.145453 79.754 100.8401
10.218971 79.835 100.7220
10.293022 79.917 100.6030
10.367610 79.998 100.4830
10.442738 80.080 100.3620
10.518411 80.161 100.2400
10.594631 80.243 100.1170
10.671404 80.324 99.9929
10.748734 80.406 99.8680
10.826623 80.487 99.7426
10.905077 80.569 99.6161
10.984100 80.650 99.4881
11.063695 80.732 99.3591
11.143867 80.813 99.2295
11.224621 80.895 99.0990
11.305959 80.977 98.9676
11.387886 81.058 98.8351
11.470407 81.139 98.7011
11.553527 81.220 98.5660
11.637249 81.301 98.4301
11.721577 81.383 98.2931
11.806517 81.464 98.1552
11.892071 81.546 98.0161
11.978246 81.627 97.8756
12.065045 81.709 97.7340
12.152473 81.790 97.5916
12.240536 81.872 97.4480
12.329235 81.953 97.3031
12.418578 82.035 97.1571
12.508568 82.116 97.0102
12.599211 82.198 96.8621
12.690510 82.279 96.7127
12.782471 82.361 96.5621
12.875097 82.442 96.4103
12.968395 82.524 96.2571
13.062370 82.606 96.1027
13.157025 82.687 95.9471
13.252366 82.768 95.7902
13.348398 82.849 95.6321
13.445127 82.930 95.4728
13.542556 83.012 95.3122
13.640691 83.093 95.1503
13.739536 83.175 94.9871
13.839099 83.256 94.8223
13.939383 83.338 94.6561
14.040393 83.419 94.4887
14.142136 83.501 94.3201
14.244616 83.582 94.1503
14.347837 83.664 93.9791
14.451808 83.745 93.8058
14.556532 83.827 93.6311
14.662014 83.908 93.4554
14.768262 83.990 93.2782
14.875278 84.071 93.0990
14.983070 84.153 92.9182
15.091644 84.234 92.7360
15.201005 84.316 92.5521
15.311157 84.397 92.3664
15.422109 84.478 92.1791
15.533863 84.559 91.9909
15.646428 84.641 91.8011
15.759809 84.722 91.6090
15.874010 84.804 91.4151
15.989040 84.885 91.2200
16.104904 84.967 91.0232
16.221605 85.048 90.8246
16.339155 85.130 90.6242
16.457554 85.211 90.4221
16.576813 85.293 90.2182
16.696936 85.374 90.0126
16.817928 85.456 89.8051
16.939798 85.537 89.5956
17.062551 85.619 89.3843
17.186193 85.700 89.1711
17.310732 85.782 88.9561
17.436172 85.863 88.7396
17.562521 85.944 88.5212
17.689787 86.025 88.3007
17.817974 86.107 88.0782
17.947090 86.188 87.8537
18.077143 86.270 87.6271
18.208138 86.351 87.3987
18.340080 86.433 87.1682
18.472980 86.514 86.9356
18.606844 86.596 86.7011
18.741676 86.677 86.4654
18.877487 86.759 86.2282
19.014280 86.840 85.9895
19.152065 86.922 85.7493
19.290850 87.004 85.5079
19.430639 87.086 85.2652
19.571442 87.168 85.0215
19.713264 87.251 84.7753
19.856115 87.335 84.5260
20.000000 87.420 84.2713
20.144928 87.506 84.0083
20.290907 87.592 83.7373
20.437943 87.677 83.4573
20.586044 87.762 83.1692
20.735220 87.847 82.8736
20.885475 87.931 82.5704
21.036821 88.014 82.2585
21.189262 88.096 81.9414
21.342808 88.176 81.6215
21.497467 88.256 81.3004
21.653246 88.335 80.9802
21.810154 88.413 80.6614
21.968201 88.490 80.3454
22.127390 88.567 80.0323
22.287735 88.645 79.7240
22.449242 88.723 79.4172
22.611917 88.802 79.1105
22.775772 88.883 78.8014
22.940815 88.965 78.4882
23.107054 89.049 78.1674
23.274498 89.134 77.8355
23.443153 89.219 77.4915
23.613033 89.305 77.1332
23.784142 89.390 76.7603
23.956491 89.475 76.3714
24.130091 89.558 75.9685
24.304947 89.639 75.5520
24.481071 89.719 75.1256
24.658470 89.796 74.6918
24.837156 89.871 74.2536
25.017136 89.943 73.8148
25.198421 90.014 73.3755
25.381020 90.084 72.9368
25.564941 90.153 72.4994
25.750195 90.220 72.0633
25.936790 90.285 71.6305
26.124741 90.349 71.2046
26.314051 90.414 70.7816
26.504732 90.479 70.3592
26.696796 90.545 69.9365
26.890253 90.610 69.5117
27.085112 90.674 69.0855
27.281382 90.738 68.6583
27.479073 90.802 68.2286
27.678198 90.866 67.7947
27.878765 90.929 67.3576
28.080786 90.991 66.9172
28.284271 91.053 66.4746
28.489231 91.114 66.0312
28.695675 91.174 65.5866
28.903616 91.233 65.1408
29.113064 91.292 64.6936
29.324028 91.350 64.2457
29.536524 91.409 63.7955
29.750557 91.468 63.3418
29.966141 91.526 62.8845
30.183289 91.583 62.4229
30.402010 91.639 61.9576
30.622314 91.695 61.4886
30.844217 91.750 61.0166
31.067726 91.803 60.5411
31.292856 91.854 60.0647
31.519617 91.905 59.5903
31.748020 91.955 59.1166
31.978081 92.004 58.6430
32.209808 92.052 58.1706
32.443211 92.099 57.7003
32.678310 92.146 57.2326
32.915108 92.192 56.7695
33.153625 92.238 56.3076
33.393871 92.285 55.8444
33.635857 92.333 55.3787
33.879597 92.380 54.9083
34.125103 92.427 54.4336
34.372387 92.473 53.9547
34.621464 92.518 53.4707
34.872345 92.563 52.9809
35.125042 92.607 52.4856
35.379574 92.650 51.9838
35.635948 92.690 51.4796
35.894180 92.727 50.9760
36.154285 92.762 50.4757
36.416275 92.796 49.9835
36.680161 92.830 49.4968
36.945961 92.864 49.0146
37.213688 92.897 48.5367
37.483353 92.930 48.0630
37.754974 92.962 47.5917
38.028561 92.995 47.1215
38.304131 93.028 46.6506
38.581699 93.061 46.1758
38.861279 93.093 45.6997
39.142883 93.123 45.2243
39.426529 93.153 44.7487
39.712231 93.183 44.2719
40.000000 93.212 43.7957
40.289856 93.239 43.3205
40.581814 93.265 42.8487
40.875885 93.290 42.3845
41.172089 93.316 41.9227
41.470440 93.343 41.4592
41.770950 93.370 40.9948
42.073643 93.395 40.5280
42.378525 93.420 40.0607
42.685616 93.444 39.5949
42.994934 93.468 39.1287
43.306492 93.492 38.6606
43.620308 93.515 38.1917
43.936401 93.536 37.7221
44.254780 93.557 37.2527
44.575470 93.578 36.7851
44.898483 93.598 36.3178
45.223835 93.617 35.8493
45.551544 93.635 35.3807
45.881630 93.652 34.9119
46.214108 93.669 34.4437
46.548996 93.684 33.9761
46.886307 93.698 33.5117
47.226067 93.710 33.0535
47.568283 93.722 32.6007
47.912983 93.734 32.1544
48.260181 93.745 31.7127
48.609894 93.756 31.2740
48.962143 93.767 30.8396
49.316940 93.778 30.4119
49.674313 93.789 29.9867
50.034271 93.801 29.5616
50.396843 93.814 29.1337
50.762039 93.827 28.6978
51.129883 93.840 28.2578
51.500389 93.850 27.8156
51.873581 93.859 27.3718
52.249481 93.868 26.9273
52.628101 93.876 26.4827
53.009464 93.882 26.0378
53.393593 93.887 25.5957
53.780506 93.890 25.1597
54.170223 93.891 24.7297
54.562763 93.892 24.3068
54.958145 93.893 23.8907
55.356396 93.893 23.4815
55.757530 93.893 23.0786
56.161572 93.893 22.6816
56.568542 93.893 22.2896
56.978462 93.893 21.9018
57.391350 93.893 21.5177
57.807232 93.893 21.1366
58.226128 93.893 20.7586
58.648056 93.893 20.3838
59.073048 93.893 20.0116
59.501114 93.893 19.6415
59.932281 93.893 19.2737
60.366577 93.893 18.9081
60.804020 93.893 18.5446
61.244629 93.893 18.1827
61.688435 93.893 17.8226
62.135452 93.893 17.4644
62.585712 93.893 17.1076
63.039234 93.893 16.7515
63.496040 93.893 16.3966
63.956161 93.893 16.0432
64.419617 93.893 15.6906
64.886421 93.893 15.3383
65.356621 93.893 14.9866
65.830215 93.893 14.6360
66.307251 93.893 14.2857
66.787743 93.893 13.9352
67.271713 93.893 13.5846
67.759193 93.893 13.2343
68.250206 93.893 12.8836
68.744774 93.893 12.5325
69.242928 93.893 12.1807
69.744690 93.893 11.8280
70.250084 93.893 11.4737
70.759148 93.893 11.1170
71.271896 93.893 10.7577
71.788361 93.893 10.3953
72.308571 93.892 10.0297
72.832550 93.891 9.6604
73.360321 93.889 9.2887
73.891922 93.886 8.9149
74.427376 93.881 8.5417
74.966705 93.875 8.1716
75.509949 93.868 7.8056
76.057121 93.861 7.4460
76.608261 93.853 7.0917
77.163399 93.845 6.7429
77.722557 93.838 6.3987
78.285767 93.831 6.0594
78.853058 93.825 5.7217
79.424461 93.821 5.3831
80.000000 93.818 5.0407
80.579712 93.815 4.6906
81.163628 93.813 4.3327
81.751770 93.811 3.9652
82.344177 93.808 3.5898
82.940880 93.804 3.2060
83.541901 93.798 2.8178
84.147285 93.790 2.4291
84.757050 93.781 2.0387
85.371231 93.772 1.6460
85.989868 93.762 1.2528
86.612984 93.749 0.8604
87.240616 93.735 0.4708
87.872803 93.721 0.0872
88.509560 93.706 -0.2932
89.150940 93.691 -0.6727
89.796967 93.676 -1.0502
90.447670 93.660 -1.4248
91.103088 93.643 -1.7982
91.763260 93.628 -2.1709
92.428215 93.613 -2.5452
93.097992 93.597 -2.9239
93.772614 93.580 -3.3062
94.452133 93.563 -3.6918
95.136566 93.546 -4.0822
95.825966 93.529 -4.4797
96.520363 93.510 -4.8811
