* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Bathys_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:36:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Bathys_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal Bathys_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 94.405 7.9230
5.036232 94.408 7.9173
5.072727 94.411 7.9110
5.109486 94.415 7.9031
5.146511 94.419 7.8940
5.183805 94.424 7.8834
5.221369 94.430 7.8720
5.259205 94.436 7.8603
5.297316 94.442 7.8480
5.335702 94.449 7.8346
5.374367 94.456 7.8210
5.413311 94.463 7.8081
5.452538 94.469 7.7950
5.492050 94.476 7.7811
5.531847 94.483 7.7670
5.571934 94.490 7.7535
5.612310 94.496 7.7400
5.652979 94.503 7.7261
5.693943 94.510 7.7120
5.735204 94.517 7.6981
5.776763 94.523 7.6840
5.818624 94.529 7.6696
5.860788 94.536 7.6550
5.903258 94.543 7.6405
5.946035 94.550 7.6260
5.989123 94.557 7.6116
6.032523 94.563 7.5970
6.076237 94.570 7.5821
6.120268 94.577 7.5670
6.164618 94.583 7.5521
6.209289 94.590 7.5370
6.254284 94.597 7.5216
6.299605 94.604 7.5060
6.345255 94.611 7.4906
6.391235 94.617 7.4750
6.437549 94.623 7.4591
6.484198 94.630 7.4430
6.531185 94.637 7.4271
6.578513 94.644 7.4110
6.626183 94.650 7.3946
6.674199 94.657 7.3780
6.722563 94.664 7.3615
6.771278 94.671 7.3450
6.820345 94.677 7.3286
6.869768 94.684 7.3120
6.919549 94.691 7.2946
6.969691 94.698 7.2770
7.020196 94.705 7.2600
7.071068 94.711 7.2430
7.122308 94.717 7.2256
7.173919 94.724 7.2080
7.225904 94.731 7.1901
7.278266 94.738 7.1720
7.331007 94.744 7.1541
7.384131 94.751 7.1360
7.437639 94.758 7.1176
7.491535 94.765 7.0990
7.545822 94.771 7.0806
7.600502 94.778 7.0620
7.655579 94.785 7.0431
7.711054 94.792 7.0240
7.766932 94.799 7.0051
7.823214 94.805 6.9860
7.879904 94.811 6.9666
7.937005 94.818 6.9470
7.994520 94.825 6.9276
8.052452 94.832 6.9080
8.110803 94.839 6.8881
8.169578 94.845 6.8680
8.228777 94.852 6.8476
8.288406 94.859 6.8270
8.348468 94.866 6.8066
8.408964 94.872 6.7860
8.469899 94.878 6.7651
8.531276 94.885 6.7440
8.593097 94.892 6.7226
8.655366 94.899 6.7010
8.718086 94.906 6.6796
8.781260 94.912 6.6580
8.844893 94.919 6.6361
8.908987 94.926 6.6140
8.973545 94.933 6.5921
9.038571 94.939 6.5700
9.104069 94.946 6.5471
9.170040 94.953 6.5240
9.236490 94.960 6.5016
9.303422 94.966 6.4790
9.370838 94.972 6.4556
9.438744 94.979 6.4320
9.507140 94.986 6.4086
9.576033 94.993 6.3850
9.645425 94.999 6.3611
9.715320 95.006 6.3370
9.785721 95.013 6.3126
9.856632 95.020 6.2880
9.928058 95.026 6.2631
10.000000 95.033 6.2380
10.072464 95.040 6.2131
10.145453 95.047 6.1880
10.218971 95.054 6.1626
10.293022 95.060 6.1370
10.367610 95.066 6.1111
10.442738 95.073 6.0850
10.518411 95.080 6.0586
10.594631 95.087 6.0320
10.671404 95.093 6.0056
10.748734 95.100 5.9790
10.826623 95.107 5.9522
10.905077 95.114 5.9250
10.984100 95.120 5.8971
11.063695 95.127 5.8690
11.143867 95.134 5.8410
11.224621 95.141 5.8130
11.305959 95.148 5.7851
11.387886 95.154 5.7570
11.470407 95.160 5.7282
11.553527 95.167 5.6990
11.637249 95.174 5.6696
11.721577 95.181 5.6400
11.806517 95.187 5.6101
11.892071 95.194 5.5800
11.978246 95.201 5.5501
12.065045 95.208 5.5200
12.152473 95.215 5.4892
12.240536 95.221 5.4580
12.329235 95.227 5.4266
12.418578 95.234 5.3950
12.508568 95.241 5.3636
12.599211 95.248 5.3320
12.690510 95.254 5.2996
12.782471 95.261 5.2670
12.875097 95.268 5.2347
12.968395 95.275 5.2020
13.062370 95.282 5.1687
13.157025 95.288 5.1350
13.252366 95.295 5.1011
13.348398 95.302 5.0670
13.445127 95.309 5.0327
13.542556 95.315 4.9980
13.640691 95.321 4.9632
13.739536 95.328 4.9280
13.839099 95.335 4.8921
13.939383 95.342 4.8560
14.040393 95.348 4.8201
14.142136 95.355 4.7840
14.244616 95.362 4.7472
14.347837 95.369 4.7100
14.451808 95.376 4.6726
14.556532 95.382 4.6350
14.662014 95.389 4.5972
14.768262 95.396 4.5590
14.875278 95.403 4.5202
14.983070 95.409 4.4810
15.091644 95.415 4.4417
15.201005 95.422 4.4020
15.311157 95.429 4.3618
15.422109 95.436 4.3210
15.533863 95.442 4.2797
15.646428 95.449 4.2380
15.759809 95.456 4.1967
15.874010 95.463 4.1550
15.989040 95.469 4.1123
16.104904 95.476 4.0690
16.221605 95.483 4.0257
16.339155 95.490 3.9821
16.457554 95.497 3.9383
16.576813 95.503 3.8940
16.696936 95.509 3.8488
16.817928 95.516 3.8030
16.939798 95.523 3.7572
17.062551 95.530 3.7111
17.186193 95.536 3.6643
17.310732 95.543 3.6170
17.436172 95.550 3.5693
17.562521 95.557 3.5210
17.689787 95.563 3.4723
17.817974 95.570 3.4231
17.947090 95.577 3.3734
18.077143 95.584 3.3230
18.208138 95.591 3.2719
18.340080 95.597 3.2201
18.472980 95.603 3.1674
18.606844 95.610 3.1140
18.741676 95.617 3.0600
18.877487 95.624 3.0051
19.014280 95.631 2.9487
19.152065 95.637 2.8911
19.290850 95.643 2.8322
19.430639 95.650 2.7720
19.571442 95.657 2.7102
19.713264 95.663 2.6471
19.856115 95.668 2.5825
20.000000 95.673 2.5181
20.144928 95.677 2.4549
20.290907 95.681 2.3941
20.437943 95.685 2.3367
20.586044 95.688 2.2830
20.735220 95.691 2.2339
20.885475 95.695 2.1881
21.036821 95.700 2.1458
21.189262 95.706 2.1041
21.342808 95.713 2.0596
21.497467 95.720 2.0131
21.653246 95.727 1.9643
21.810154 95.734 1.9131
21.968201 95.741 1.8593
22.127390 95.749 1.8031
22.287735 95.756 1.7440
22.449242 95.764 1.6830
22.611917 95.771 1.6213
22.775772 95.779 1.5581
22.940815 95.787 1.4929
23.107054 95.794 1.4261
23.274498 95.800 1.3578
23.443153 95.807 1.2881
23.613033 95.815 1.2170
23.784142 95.822 1.1451
23.956491 95.828 1.0724
24.130091 95.833 1.0001
24.304947 95.839 0.9300
24.481071 95.846 0.8601
24.658470 95.853 0.7893
24.837156 95.860 0.7171
25.017136 95.866 0.6422
25.198421 95.873 0.5651
25.381020 95.880 0.4861
25.564941 95.888 0.4051
25.750195 95.895 0.3215
25.936790 95.901 0.2371
26.124741 95.906 0.1541
26.314051 95.912 0.0711
26.504732 95.918 -0.0121
26.696796 95.925 -0.0969
26.890253 95.932 -0.1847
27.085112 95.939 -0.2759
27.281382 95.946 -0.3714
27.479073 95.953 -0.4709
27.678198 95.959 -0.5750
27.878765 95.965 -0.6819
28.080786 95.969 -0.7904
28.284271 95.971 -0.8979
28.489231 95.973 -1.0016
28.695675 95.974 -1.1009
28.903616 95.975 -1.1939
29.113064 95.977 -1.2819
29.324028 95.979 -1.3644
29.536524 95.981 -1.4439
29.750557 95.985 -1.5215
29.966141 95.991 -1.6009
30.183289 95.997 -1.6866
30.402010 96.004 -1.7779
30.622314 96.011 -1.8757
30.844217 96.018 -1.9799
31.067726 96.025 -2.0908
31.292856 96.031 -2.2078
31.519617 96.037 -2.3317
31.748020 96.041 -2.4588
31.978081 96.044 -2.5862
32.209808 96.045 -2.7128
32.443211 96.046 -2.8370
32.678310 96.046 -2.9588
32.915108 96.046 -3.0779
33.153625 96.046 -3.1949
33.393871 96.046 -3.3100
33.635857 96.046 -3.4238
33.879597 96.046 -3.5366
34.125103 96.046 -3.6488
34.372387 96.046 -3.7608
34.621464 96.046 -3.8728
34.872345 96.046 -3.9852
35.125042 96.046 -4.0979
35.379574 96.046 -4.2107
35.635948 96.046 -4.3239
35.894180 96.046 -4.4375
36.154285 96.046 -4.5518
36.416275 96.046 -4.6668
36.680161 96.046 -4.7828
36.945961 96.046 -4.9005
37.213688 96.046 -5.0198
37.483353 96.046 -5.1406
37.754974 96.046 -5.2638
38.028561 96.046 -5.3903
38.304131 96.046 -5.5198
38.581699 96.046 -5.6522
38.861279 96.045 -5.7878
39.142883 96.044 -5.9279
39.426529 96.041 -6.0698
39.712231 96.037 -6.2119
40.000000 96.031 -6.3518
40.289856 96.025 -6.4862
40.581814 96.018 -6.6158
40.875885 96.011 -6.7398
41.172089 96.004 -6.8588
41.470440 95.997 -6.9729
41.770950 95.991 -7.0828
42.073643 95.985 -7.1880
42.378525 95.981 -7.2929
42.685616 95.979 -7.4015
42.994934 95.977 -7.5148
43.306492 95.975 -7.6357
43.620308 95.973 -7.7628
43.936401 95.970 -7.8966
44.254780 95.967 -8.0348
44.575470 95.963 -8.1760
44.898483 95.957 -8.3178
45.223835 95.950 -8.4570
45.551544 95.943 -8.5948
45.881630 95.936 -8.7310
46.214108 95.929 -8.8658
46.548996 95.922 -8.9990
46.886307 95.914 -9.1318
47.226067 95.907 -9.2647
47.568283 95.900 -9.3988
47.912983 95.893 -9.5354
48.260181 95.885 -9.6738
48.609894 95.876 -9.8138
48.962143 95.867 -9.9548
49.316940 95.858 -10.0966
49.674313 95.848 -10.2378
50.034271 95.837 -10.3771
50.396843 95.826 -10.5138
50.762039 95.814 -10.6454
51.129883 95.803 -10.7758
51.500389 95.793 -10.9088
51.873581 95.782 -11.0428
52.249481 95.770 -11.1779
52.628101 95.758 -11.3128
53.009464 95.746 -11.4453
53.393593 95.734 -11.5778
53.780506 95.722 -11.7122
54.170223 95.710 -11.8468
54.562763 95.696 -11.9803
54.958145 95.681 -12.1128
55.356396 95.668 -12.2435
55.757530 95.654 -12.3738
56.161572 95.640 -12.5048
56.568542 95.625 -12.6358
56.978462 95.610 -12.7665
57.391350 95.595 -12.8968
57.807232 95.580 -13.0266
58.226128 95.564 -13.1558
58.648056 95.548 -13.2846
59.073048 95.531 -13.4118
59.501114 95.513 -13.5359
59.932281 95.495 -13.6578
60.366577 95.478 -13.7781
60.804020 95.460 -13.8968
61.244629 95.442 -14.0137
61.688435 95.424 -14.1298
62.135452 95.407 -14.2459
62.585712 95.389 -14.3618
63.039234 95.371 -14.4779
63.496040 95.352 -14.5938
63.956161 95.333 -14.7092
64.419617 95.313 -14.8238
64.886421 95.294 -14.9377
65.356621 95.274 -15.0498
65.830215 95.253 -15.1593
66.307251 95.231 -15.2658
66.787743 95.210 -15.3680
67.271713 95.189 -15.4678
67.759193 95.168 -15.5669
68.250206 95.147 -15.6648
68.744774 95.126 -15.7616
69.242928 95.105 -15.8578
69.744690 95.085 -15.9541
70.250084 95.064 -16.0508
70.759148 95.042 -16.1493
71.271896 95.020 -16.2468
71.788361 94.997 -16.3407
72.308571 94.974 -16.4328
72.832550 94.952 -16.5250
73.360321 94.929 -16.6148
73.891922 94.905 -16.7005
74.427376 94.880 -16.7828
74.966705 94.856 -16.8614
75.509949 94.833 -16.9389
76.057121 94.810 -17.0189
76.608261 94.787 -17.0988
77.163399 94.763 -17.1773
77.722557 94.738 -17.2538
78.285767 94.714 -17.3272
78.853058 94.689 -17.3989
79.424461 94.665 -17.4707
80.000000 94.640 -17.5409
80.579712 94.615 -17.6086
81.163628 94.589 -17.6729
81.751770 94.563 -17.7320
82.344177 94.537 -17.7879
82.940880 94.512 -17.8415
83.541901 94.487 -17.8939
84.147285 94.463 -17.9474
84.757050 94.438 -17.9999
85.371231 94.413 -18.0494
85.989868 94.388 -18.0979
86.612984 94.364 -18.1461
87.240616 94.340 -18.1959
87.872803 94.317 -18.2507
88.509560 94.293 -18.3069
89.150940 94.267 -18.3623
