* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Celestee_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:38:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Celestee_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal Celestee_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 87.440 2.9050
5.036232 87.441 2.8963
5.072727 87.443 2.8870
5.109486 87.445 2.8764
5.146511 87.448 2.8640
5.183805 87.451 2.8488
5.221369 87.454 2.8320
5.259205 87.457 2.8149
5.297316 87.461 2.7970
5.335702 87.465 2.7778
5.374367 87.469 2.7580
5.413311 87.472 2.7386
5.452538 87.476 2.7190
5.492050 87.480 2.6991
5.531847 87.484 2.6790
5.571934 87.487 2.6591
5.612310 87.491 2.6390
5.652979 87.495 2.6186
5.693943 87.499 2.5980
5.735204 87.502 2.5771
5.776763 87.506 2.5560
5.818624 87.510 2.5346
5.860788 87.514 2.5130
5.903258 87.518 2.4915
5.946035 87.521 2.4700
5.989123 87.525 2.4486
6.032523 87.529 2.4270
6.076237 87.533 2.4046
6.120268 87.536 2.3820
6.164618 87.540 2.3595
6.209289 87.544 2.3370
6.254284 87.548 2.3146
6.299605 87.552 2.2920
6.345255 87.555 2.2686
6.391235 87.559 2.2450
6.437549 87.563 2.2216
6.484198 87.567 2.1980
6.531185 87.570 2.1741
6.578513 87.574 2.1500
6.626183 87.578 2.1261
6.674199 87.582 2.1020
6.722563 87.585 2.0771
6.771278 87.589 2.0520
6.820345 87.593 2.0270
6.869768 87.597 2.0020
6.919549 87.600 1.9771
6.969691 87.604 1.9520
7.020196 87.608 1.9262
7.071068 87.612 1.9000
7.122308 87.616 1.8736
7.173919 87.619 1.8470
7.225904 87.623 1.8206
7.278266 87.627 1.7940
7.331007 87.631 1.7671
7.384131 87.635 1.7400
7.437639 87.638 1.7126
7.491535 87.642 1.6850
7.545822 87.646 1.6571
7.600502 87.650 1.6290
7.655579 87.653 1.6006
7.711054 87.657 1.5720
7.766932 87.661 1.5436
7.823214 87.665 1.5150
7.879904 87.668 1.4856
7.937005 87.672 1.4560
7.994520 87.676 1.4266
8.052452 87.680 1.3970
8.110803 87.683 1.3666
8.169578 87.687 1.3360
8.228777 87.691 1.3056
8.288406 87.695 1.2750
8.348468 87.699 1.2436
8.408964 87.702 1.2120
8.469899 87.706 1.1806
8.531276 87.710 1.1490
8.593097 87.714 1.1166
8.655366 87.717 1.0840
8.718086 87.721 1.0516
8.781260 87.725 1.0190
8.844893 87.729 0.9857
8.908987 87.733 0.9520
8.973545 87.736 0.9181
9.038571 87.740 0.8840
9.104069 87.744 0.8496
9.170040 87.748 0.8150
9.236490 87.751 0.7801
9.303422 87.755 0.7450
9.370838 87.759 0.7096
9.438744 87.763 0.6740
9.507140 87.766 0.6382
9.576033 87.770 0.6020
9.645425 87.774 0.5652
9.715320 87.778 0.5280
9.785721 87.782 0.4906
9.856632 87.785 0.4530
9.928058 87.789 0.4151
10.000000 87.793 0.3770
10.072464 87.797 0.3387
10.145453 87.800 0.3000
10.218971 87.804 0.2607
10.293022 87.808 0.2210
10.367610 87.812 0.1811
10.442738 87.815 0.1410
10.518411 87.819 0.1007
10.594631 87.823 0.0600
10.671404 87.827 0.0188
10.748734 87.831 -0.0230
10.826623 87.834 -0.0654
10.905077 87.838 -0.1080
10.984100 87.842 -0.1503
11.063695 87.846 -0.1930
11.143867 87.849 -0.2367
11.224621 87.853 -0.2810
11.305959 87.857 -0.3254
11.387886 87.861 -0.3700
11.470407 87.864 -0.4148
11.553527 87.868 -0.4600
11.637249 87.872 -0.5057
11.721577 87.876 -0.5520
11.806517 87.880 -0.5987
11.892071 87.883 -0.6460
11.978246 87.887 -0.6938
12.065045 87.891 -0.7420
12.152473 87.895 -0.7902
12.240536 87.898 -0.8390
12.329235 87.902 -0.8887
12.418578 87.906 -0.9390
12.508568 87.910 -0.9893
12.599211 87.914 -1.0400
12.690510 87.917 -1.0912
12.782471 87.921 -1.1429
12.875097 87.925 -1.1952
12.968395 87.929 -1.2480
13.062370 87.932 -1.3012
13.157025 87.936 -1.3550
13.252366 87.940 -1.4092
13.348398 87.944 -1.4640
13.445127 87.947 -1.5192
13.542556 87.951 -1.5749
13.640691 87.955 -1.6311
13.739536 87.959 -1.6880
13.839099 87.963 -1.7457
13.939383 87.966 -1.8039
14.040393 87.970 -1.8626
14.142136 87.974 -1.9220
14.244616 87.978 -1.9822
14.347837 87.981 -2.0430
14.451808 87.985 -2.1042
14.556532 87.989 -2.1660
14.662014 87.993 -2.2281
14.768262 87.996 -2.2909
14.875278 88.000 -2.3551
14.983070 88.004 -2.4199
15.091644 88.008 -2.4851
15.201005 88.012 -2.5510
15.311157 88.015 -2.6176
15.422109 88.019 -2.6850
15.533863 88.023 -2.7531
15.646428 88.027 -2.8220
15.759809 88.030 -2.8915
15.874010 88.034 -2.9619
15.989040 88.038 -3.0336
16.104904 88.042 -3.1059
16.221605 88.046 -3.1785
16.339155 88.049 -3.2519
16.457554 88.053 -3.3269
16.576813 88.057 -3.4029
16.696936 88.061 -3.4796
16.817928 88.064 -3.5570
16.939798 88.068 -3.6349
17.062551 88.072 -3.7139
17.186193 88.076 -3.7944
17.310732 88.079 -3.8759
17.436172 88.083 -3.9584
17.562521 88.087 -4.0419
17.689787 88.091 -4.1263
17.817974 88.095 -4.2119
17.947090 88.098 -4.2993
18.077143 88.102 -4.3879
18.208138 88.106 -4.4774
18.340080 88.110 -4.5679
18.472980 88.113 -4.6597
18.606844 88.117 -4.7529
18.741676 88.121 -4.8476
18.877487 88.125 -4.9439
19.014280 88.129 -5.0420
19.152065 88.132 -5.1419
19.290850 88.136 -5.2434
19.430639 88.140 -5.3469
19.571442 88.144 -5.4529
19.713264 88.147 -5.5609
19.856115 88.150 -5.6708
20.000000 88.152 -5.7819
20.144928 88.155 -5.8935
20.290907 88.157 -6.0049
20.437943 88.159 -6.1152
20.586044 88.160 -6.2239
20.735220 88.162 -6.3305
20.885475 88.164 -6.4349
21.036821 88.166 -6.5361
21.189262 88.169 -6.6369
21.342808 88.174 -6.7384
21.497467 88.181 -6.8449
21.653246 88.189 -6.9609
21.810154 88.197 -7.0858
21.968201 88.205 -7.2204
22.127390 88.213 -7.3648
22.287735 88.222 -7.5199
22.449242 88.230 -7.6849
22.611917 88.236 -7.8606
22.775772 88.241 -8.0428
22.940815 88.244 -8.2278
23.107054 88.246 -8.4147
23.274498 88.247 -8.6015
23.443153 88.248 -8.7887
23.613033 88.248 -8.9762
23.784142 88.248 -9.1648
23.956491 88.248 -9.3549
24.130091 88.248 -9.5478
24.304947 88.248 -9.7447
24.481071 88.248 -9.9467
24.658470 88.248 -10.1552
24.837156 88.248 -10.3707
25.017136 88.247 -10.5940
25.198421 88.246 -10.8258
25.381020 88.244 -11.0670
25.564941 88.241 -11.3168
25.750195 88.236 -11.5750
25.936790 88.230 -11.8397
26.124741 88.221 -12.1079
26.314051 88.211 -12.3816
26.504732 88.200 -12.6621
26.696796 88.188 -12.9476
26.890253 88.172 -13.2383
27.085112 88.154 -13.5297
27.281382 88.133 -13.8174
27.479073 88.109 -14.1016
27.678198 88.084 -14.3813
27.878765 88.058 -14.6556
28.080786 88.029 -14.9236
28.284271 87.998 -15.1847
28.489231 87.966 -15.4375
28.695675 87.934 -15.6837
28.903616 87.901 -15.9239
29.113064 87.867 -16.1597
29.324028 87.833 -16.3920
29.536524 87.798 -16.6227
29.750557 87.763 -16.8546
29.966141 87.726 -17.0857
30.183289 87.687 -17.3155
30.402010 87.646 -17.5427
30.622314 87.603 -17.7663
30.844217 87.559 -17.9847
31.067726 87.513 -18.1967
31.292856 87.465 -18.4007
31.519617 87.415 -18.5945
31.748020 87.363 -18.7798
31.978081 87.312 -18.9570
32.209808 87.259 -19.1268
32.443211 87.204 -19.2902
32.678310 87.148 -19.4458
32.915108 87.090 -19.5922
33.153625 87.030 -19.7298
33.393871 86.970 -19.8596
33.635857 86.907 -19.9788
33.879597 86.841 -20.0861
34.125103 86.773 -20.1779
34.372387 86.703 -20.2503
34.621464 86.631 -20.3029
34.872345 86.557 -20.3348
35.125042 86.482 -20.3440
35.379574 86.405 -20.3279
35.635948 86.328 -20.2871
35.894180 86.251 -20.2214
36.154285 86.173 -20.1301
36.416275 86.094 -20.0139
36.680161 86.015 -19.8692
36.945961 85.935 -19.6933
37.213688 85.856 -19.4843
37.483353 85.778 -19.2392
37.754974 85.702 -18.9595
38.028561 85.628 -18.6452
38.304131 85.557 -18.2975
38.581699 85.490 -17.9157
38.861279 85.428 -17.5046
39.142883 85.372 -17.0670
39.426529 85.321 -16.6086
39.712231 85.277 -16.1358
40.000000 85.239 -15.6507
40.289856 85.207 -15.1556
40.581814 85.181 -14.6567
40.875885 85.163 -14.1590
41.172089 85.151 -13.6687
41.470440 85.145 -13.1943
41.770950 85.144 -12.7338
42.073643 85.145 -12.2871
42.378525 85.150 -11.8566
42.685616 85.160 -11.4448
42.994934 85.173 -11.0515
43.306492 85.187 -10.6804
43.620308 85.201 -10.3225
43.936401 85.214 -9.9709
44.254780 85.229 -9.6236
44.575470 85.246 -9.2752
44.898483 85.266 -8.9296
45.223835 85.289 -8.5884
45.551544 85.315 -8.2515
45.881630 85.344 -7.9175
46.214108 85.377 -7.5915
46.548996 85.415 -7.2764
46.886307 85.459 -6.9775
47.226067 85.507 -6.6994
47.568283 85.560 -6.4464
47.912983 85.617 -6.2228
48.260181 85.679 -6.0333
48.609894 85.744 -5.8826
48.962143 85.812 -5.7751
49.316940 85.882 -5.7159
49.674313 85.954 -5.7070
50.034271 86.026 -5.7518
50.396843 86.097 -5.8508
50.762039 86.167 -6.0065
51.129883 86.233 -6.2166
51.500389 86.293 -6.4826
51.873581 86.347 -6.7954
52.249481 86.392 -7.1489
52.628101 86.430 -7.5353
53.009464 86.459 -7.9470
53.393593 86.480 -8.3783
53.780506 86.491 -8.8240
54.170223 86.492 -9.2743
54.562763 86.483 -9.7198
54.958145 86.464 -10.1533
55.356396 86.437 -10.5670
55.757530 86.401 -10.9534
56.161572 86.356 -11.3048
56.568542 86.303 -11.6145
56.978462 86.245 -11.8742
57.391350 86.181 -12.0817
57.807232 86.113 -12.2330
58.226128 86.042 -12.3259
58.648056 85.970 -12.3546
59.073048 85.898 -12.3251
59.501114 85.830 -12.2396
59.932281 85.765 -12.1033
60.366577 85.703 -11.9210
60.804020 85.645 -11.6964
61.244629 85.592 -11.4331
61.688435 85.545 -11.1365
62.135452 85.504 -10.8123
62.585712 85.469 -10.4636
63.039234 85.440 -10.0946
63.496040 85.416 -9.7077
63.956161 85.398 -9.3050
64.419617 85.387 -8.8907
64.886421 85.383 -8.4681
65.356621 85.386 -8.0417
65.830215 85.396 -7.6160
66.307251 85.412 -7.1948
66.787743 85.435 -6.7822
67.271713 85.465 -6.3827
67.759193 85.502 -6.0009
68.250206 85.546 -5.6416
68.744774 85.594 -5.3113
69.242928 85.647 -5.0095
69.744690 85.703 -4.7378
70.250084 85.763 -4.4974
70.759148 85.826 -4.2905
71.271896 85.892 -4.1163
71.788361 85.958 -3.9759
72.308571 86.025 -3.8662
72.832550 86.093 -3.7843
73.360321 86.162 -3.7301
73.891922 86.231 -3.7032
74.427376 86.300 -3.7010
74.966705 86.368 -3.7209
75.509949 86.437 -3.7629
76.057121 86.507 -3.8254
76.608261 86.578 -3.9108
77.163399 86.650 -4.0213
77.722557 86.722 -4.1567
78.285767 86.794 -4.3168
78.853058 86.868 -4.5036
79.424461 86.942 -4.7179
80.000000 87.018 -4.9635
80.579712 87.094 -5.2438
81.163628 87.170 -5.5604
81.751770 87.246 -5.9156
82.344177 87.321 -6.3101
82.940880 87.394 -6.7443
83.541901 87.466 -7.2220
