* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal clear_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:38:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal clear_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal clear_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 76.554 24.9580
5.036232 76.562 24.9532
5.072727 76.571 24.9480
5.109486 76.581 24.9419
5.146511 76.593 24.9350
5.183805 76.607 24.9268
5.221369 76.622 24.9180
5.259205 76.638 24.9096
5.297316 76.655 24.9010
5.335702 76.673 24.8920
5.374367 76.691 24.8830
5.413311 76.709 24.8745
5.452538 76.728 24.8660
5.492050 76.746 24.8571
5.531847 76.764 24.8480
5.571934 76.782 24.8390
5.612310 76.800 24.8300
5.652979 76.818 24.8210
5.693943 76.837 24.8120
5.735204 76.855 24.8031
5.776763 76.873 24.7940
5.818624 76.891 24.7846
5.860788 76.909 24.7750
5.903258 76.927 24.7655
5.946035 76.945 24.7560
5.989123 76.964 24.7465
6.032523 76.982 24.7370
6.076237 77.000 24.7276
6.120268 77.018 24.7180
6.164618 77.036 24.7080
6.209289 77.054 24.6980
6.254284 77.073 24.6885
6.299605 77.091 24.6790
6.345255 77.109 24.6691
6.391235 77.127 24.6590
6.437549 77.145 24.6485
6.484198 77.163 24.6380
6.531185 77.181 24.6280
6.578513 77.199 24.6180
6.626183 77.217 24.6076
6.674199 77.236 24.5970
6.722563 77.254 24.5866
6.771278 77.272 24.5760
6.820345 77.290 24.5651
6.869768 77.308 24.5540
6.919549 77.326 24.5430
6.969691 77.344 24.5320
7.020196 77.362 24.5210
7.071068 77.381 24.5100
7.122308 77.399 24.4991
7.173919 77.417 24.4880
7.225904 77.435 24.4766
7.278266 77.453 24.4650
7.331007 77.471 24.4535
7.384131 77.490 24.4420
7.437639 77.508 24.4306
7.491535 77.526 24.4190
7.545822 77.544 24.4071
7.600502 77.562 24.3950
7.655579 77.580 24.3830
7.711054 77.598 24.3710
7.766932 77.616 24.3591
7.823214 77.635 24.3470
7.879904 77.653 24.3346
7.937005 77.671 24.3220
7.994520 77.689 24.3096
8.052452 77.707 24.2970
8.110803 77.725 24.2840
8.169578 77.744 24.2710
8.228777 77.762 24.2586
8.288406 77.780 24.2460
8.348468 77.798 24.2326
8.408964 77.816 24.2190
8.469899 77.834 24.2060
8.531276 77.852 24.1930
8.593097 77.870 24.1796
8.655366 77.889 24.1660
8.718086 77.907 24.1526
8.781260 77.925 24.1390
8.844893 77.943 24.1251
8.908987 77.961 24.1110
8.973545 77.979 24.0971
9.038571 77.998 24.0830
9.104069 78.016 24.0686
9.170040 78.034 24.0540
9.236490 78.052 24.0395
9.303422 78.070 24.0250
9.370838 78.088 24.0106
9.438744 78.106 23.9960
9.507140 78.124 23.9811
9.576033 78.143 23.9660
9.645425 78.161 23.9506
9.715320 78.179 23.9350
9.785721 78.197 23.9195
9.856632 78.215 23.9040
9.928058 78.233 23.8886
10.000000 78.252 23.8730
10.072464 78.270 23.8571
10.145453 78.288 23.8410
10.218971 78.306 23.8251
10.293022 78.324 23.8090
10.367610 78.342 23.7926
10.442738 78.360 23.7760
10.518411 78.379 23.7596
10.594631 78.397 23.7430
10.671404 78.415 23.7261
10.748734 78.433 23.7090
10.826623 78.451 23.6921
10.905077 78.469 23.6750
10.984100 78.487 23.6576
11.063695 78.505 23.6400
11.143867 78.523 23.6226
11.224621 78.542 23.6050
11.305959 78.560 23.5871
11.387886 78.578 23.5690
11.470407 78.596 23.5511
11.553527 78.614 23.5330
11.637249 78.632 23.5146
11.721577 78.651 23.4960
11.806517 78.669 23.4771
11.892071 78.687 23.4580
11.978246 78.705 23.4391
12.065045 78.723 23.4200
12.152473 78.741 23.4006
12.240536 78.759 23.3810
12.329235 78.777 23.3616
12.418578 78.796 23.3420
12.508568 78.814 23.3221
12.599211 78.832 23.3020
12.690510 78.850 23.2816
12.782471 78.868 23.2610
12.875097 78.886 23.2401
12.968395 78.905 23.2190
13.062370 78.923 23.1980
13.157025 78.941 23.1770
13.252366 78.959 23.1561
13.348398 78.977 23.1350
13.445127 78.995 23.1131
13.542556 79.013 23.0910
13.640691 79.031 23.0691
13.739536 79.050 23.0470
13.839099 79.068 23.0246
13.939383 79.086 23.0020
14.040393 79.104 22.9791
14.142136 79.122 22.9560
14.244616 79.140 22.9331
14.347837 79.159 22.9100
14.451808 79.177 22.8861
14.556532 79.195 22.8620
14.662014 79.213 22.8381
14.768262 79.231 22.8140
14.875278 79.249 22.7897
14.983070 79.267 22.7650
15.091644 79.285 22.7396
15.201005 79.304 22.7140
15.311157 79.322 22.6886
15.422109 79.340 22.6630
15.533863 79.358 22.6371
15.646428 79.376 22.6110
15.759809 79.394 22.5847
15.874010 79.412 22.5580
15.989040 79.430 22.5306
16.104904 79.449 22.5030
16.221605 79.467 22.4757
16.339155 79.485 22.4480
16.457554 79.503 22.4197
16.576813 79.521 22.3910
16.696936 79.539 22.3621
16.817928 79.558 22.3330
16.939798 79.576 22.3037
17.062551 79.594 22.2740
17.186193 79.612 22.2438
17.310732 79.630 22.2130
17.436172 79.648 22.1817
17.562521 79.666 22.1500
17.689787 79.684 22.1183
17.817974 79.703 22.0860
17.947090 79.721 22.0528
18.077143 79.739 22.0190
18.208138 79.757 21.9848
18.340080 79.775 21.9500
18.472980 79.793 21.9145
18.606844 79.812 21.8780
18.741676 79.830 21.8406
18.877487 79.848 21.8020
19.014280 79.866 21.7624
19.152065 79.884 21.7211
19.290850 79.902 21.6777
19.430639 79.920 21.6320
19.571442 79.938 21.5835
19.713264 79.956 21.5321
19.856115 79.973 21.4768
20.000000 79.989 21.4191
20.144928 80.004 21.3586
20.290907 80.018 21.2991
20.437943 80.030 21.2434
20.586044 80.040 21.1940
20.735220 80.049 21.1539
20.885475 80.057 21.1250
21.036821 80.064 21.1108
21.189262 80.072 21.1100
21.342808 80.082 21.1245
21.497467 80.094 21.1490
21.653246 80.109 21.1809
21.810154 80.126 21.2140
21.968201 80.147 21.2420
22.127390 80.171 21.2620
22.287735 80.196 21.2693
22.449242 80.222 21.2630
22.611917 80.249 21.2398
22.775772 80.275 21.2021
22.940815 80.300 21.1486
23.107054 80.323 21.0861
23.274498 80.342 21.0191
23.443153 80.359 20.9531
23.613033 80.374 20.8951
23.784142 80.387 20.8450
23.956491 80.400 20.8053
24.130091 80.414 20.7750
24.304947 80.428 20.7545
24.481071 80.442 20.7420
24.658470 80.458 20.7380
24.837156 80.476 20.7360
25.017136 80.497 20.7305
25.198421 80.520 20.7190
25.381020 80.543 20.6957
25.564941 80.565 20.6650
25.750195 80.586 20.6297
25.936790 80.607 20.5901
26.124741 80.629 20.5470
26.314051 80.650 20.5021
26.504732 80.668 20.4554
26.696796 80.685 20.4121
26.890253 80.702 20.3780
27.085112 80.719 20.3500
27.281382 80.738 20.3279
27.479073 80.758 20.3090
27.678198 80.779 20.2915
27.878765 80.801 20.2730
28.080786 80.825 20.2516
28.284271 80.851 20.2250
28.489231 80.877 20.1902
28.695675 80.904 20.1481
28.903616 80.931 20.0993
29.113064 80.959 20.0411
29.324028 80.988 19.9706
29.536524 81.016 19.8891
29.750557 81.043 19.7950
29.966141 81.068 19.6941
30.183289 81.091 19.5922
30.402010 81.113 19.4871
30.622314 81.136 19.3780
30.844217 81.158 19.2671
31.067726 81.177 19.1560
31.292856 81.195 19.0462
31.519617 81.213 18.9410
31.748020 81.232 18.8371
31.978081 81.251 18.7329
32.209808 81.270 18.6261
32.443211 81.289 18.5144
32.678310 81.309 18.3962
32.915108 81.328 18.2693
33.153625 81.347 18.1332
33.393871 81.365 17.9851
33.635857 81.381 17.8292
33.879597 81.393 17.6652
34.125103 81.401 17.5032
34.372387 81.404 17.3511
34.621464 81.403 17.2152
34.872345 81.400 17.1046
35.125042 81.396 17.0181
35.379574 81.392 16.9587
35.635948 81.390 16.9230
35.894180 81.390 16.9114
36.154285 81.394 16.9150
36.416275 81.404 16.9279
36.680161 81.418 16.9410
36.945961 81.436 16.9451
37.213688 81.458 16.9350
37.483353 81.483 16.9018
37.754974 81.509 16.8471
38.028561 81.534 16.7674
38.304131 81.558 16.6691
38.581699 81.579 16.5560
38.861279 81.598 16.4322
39.142883 81.614 16.3018
39.426529 81.628 16.1682
39.712231 81.639 16.0351
40.000000 81.648 15.9052
40.289856 81.655 15.7831
40.581814 81.661 15.6672
40.875885 81.667 15.5578
41.172089 81.672 15.4542
41.470440 81.677 15.3545
41.770950 81.681 15.2611
42.073643 81.683 15.1757
42.378525 81.684 15.0991
42.685616 81.685 15.0333
42.994934 81.687 14.9771
43.306492 81.689 14.9289
43.620308 81.692 14.8910
43.936401 81.693 14.8655
44.254780 81.695 14.8520
44.575470 81.700 14.8535
44.898483 81.708 14.8620
45.223835 81.720 14.8720
45.551544 81.735 14.8790
45.881630 81.752 14.8765
46.214108 81.770 14.8650
46.548996 81.790 14.8437
46.886307 81.811 14.8101
47.226067 81.834 14.7605
47.568283 81.856 14.6971
47.912983 81.877 14.6198
48.260181 81.896 14.5322
48.609894 81.915 14.4371
48.962143 81.932 14.3372
49.316940 81.947 14.2359
49.674313 81.961 14.1332
50.034271 81.976 14.0309
50.396843 81.990 13.9262
50.762039 82.004 13.8161
51.129883 82.018 13.7022
51.500389 82.030 13.5846
51.873581 82.041 13.4642
52.249481 82.052 13.3413
52.628101 82.061 13.2172
53.009464 82.068 13.0921
53.393593 82.073 12.9702
53.780506 82.076 12.8551
54.170223 82.078 12.7482
54.562763 82.080 12.6521
54.958145 82.081 12.5661
55.356396 82.082 12.4906
55.757530 82.083 12.4241
56.161572 82.086 12.3666
56.568542 82.090 12.3141
56.978462 82.096 12.2632
57.391350 82.103 12.2121
57.807232 82.111 12.1574
58.226128 82.119 12.1001
58.648056 82.127 12.0403
59.073048 82.135 11.9781
59.501114 82.143 11.9132
59.932281 82.151 11.8471
60.366577 82.158 11.7812
60.804020 82.165 11.7161
61.244629 82.173 11.6535
61.688435 82.181 11.5911
62.135452 82.189 11.5268
62.585712 82.198 11.4611
63.039234 82.206 11.3938
63.496040 82.214 11.3251
63.956161 82.223 11.2553
64.419617 82.231 11.1841
64.886421 82.239 11.1104
65.356621 82.246 11.0371
65.830215 82.252 10.9678
66.307251 82.259 10.9001
66.787743 82.267 10.8334
67.271713 82.275 10.7661
67.759193 82.283 10.6968
68.250206 82.291 10.6251
68.744774 82.299 10.5501
69.242928 82.307 10.4731
69.744690 82.314 10.3945
70.250084 82.320 10.3161
70.759148 82.325 10.2390
71.271896 82.330 10.1661
71.788361 82.334 10.1020
72.308571 82.338 10.0441
72.832550 82.343 9.9927
73.360321 82.350 9.9441
73.891922 82.358 9.8947
74.427376 82.368 9.8441
74.966705 82.378 9.7915
75.509949 82.389 9.7341
76.057121 82.402 9.6701
76.608261 82.416 9.5962
77.163399 82.430 9.5068
77.722557 82.444 9.4072
78.285767 82.455 9.3007
78.853058 82.464 9.1882
79.424461 82.474 9.0717
80.000000 82.482 8.9512
80.579712 82.488 8.8264
81.163628 82.493 8.7012
81.751770 82.496 8.5798
82.344177 82.498 8.4622
82.940880 82.499 8.3503
83.541901 82.500 8.2432
84.147285 82.500 8.1410
84.757050 82.500 8.0432
85.371231 82.500 7.9496
85.989868 82.500 7.8592
86.612984 82.500 7.7710
87.240616 82.500 7.6852
87.872803 82.500 7.6017
88.509560 82.500 7.5202
89.150940 82.500 7.4399
89.796967 82.500 7.3612
90.447670 82.500 7.2840
91.103088 82.500 7.2082
91.763260 82.500 7.1337
92.428215 82.500 7.0602
93.097992 82.500 6.9872
93.772614 82.500 6.9151
94.452133 82.500 6.8442
95.136566 82.500 6.7741
95.825966 82.500 6.7048
96.520363 82.500 6.6361
97.219788 82.500 6.5683
