* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Clear MG_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:09:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Clear MG_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Clear MG_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 77.668 57.8700
5.036232 77.687 57.8556
5.072727 77.708 57.8400
5.109486 77.732 57.8218
5.146511 77.760 57.8010
5.183805 77.793 57.7767
5.221369 77.830 57.7510
5.259205 77.867 57.7259
5.297316 77.907 57.7000
5.335702 77.949 57.6723
5.374367 77.993 57.6440
5.413311 78.036 57.6164
5.452538 78.078 57.5890
5.492050 78.120 57.5616
5.531847 78.163 57.5340
5.571934 78.206 57.5061
5.612310 78.249 57.4780
5.652979 78.291 57.4496
5.693943 78.334 57.4210
5.735204 78.377 57.3926
5.776763 78.420 57.3640
5.818624 78.463 57.3346
5.860788 78.505 57.3050
5.903258 78.547 57.2755
5.946035 78.590 57.2460
5.989123 78.633 57.2166
6.032523 78.676 57.1870
6.076237 78.718 57.1566
6.120268 78.761 57.1260
6.164618 78.804 57.0956
6.209289 78.847 57.0650
6.254284 78.890 57.0336
6.299605 78.932 57.0020
6.345255 78.974 56.9706
6.391235 79.017 56.9390
6.437549 79.060 56.9071
6.484198 79.103 56.8750
6.531185 79.145 56.8431
6.578513 79.188 56.8110
6.626183 79.231 56.7782
6.674199 79.274 56.7450
6.722563 79.317 56.7116
6.771278 79.359 56.6780
6.820345 79.401 56.6446
6.869768 79.444 56.6110
6.919549 79.487 56.5766
6.969691 79.530 56.5420
7.020196 79.572 56.5076
7.071068 79.615 56.4730
7.122308 79.658 56.4377
7.173919 79.701 56.4020
7.225904 79.744 56.3661
7.278266 79.786 56.3300
7.331007 79.828 56.2941
7.384131 79.871 56.2580
7.437639 79.914 56.2211
7.491535 79.957 56.1840
7.545822 80.000 56.1471
7.600502 80.042 56.1100
7.655579 80.084 56.0722
7.711054 80.127 56.0340
7.766932 80.170 55.9956
7.823214 80.213 55.9570
7.879904 80.255 55.9187
7.937005 80.298 55.8800
7.994520 80.341 55.8402
8.052452 80.384 55.8000
8.110803 80.427 55.7601
8.169578 80.469 55.7200
8.228777 80.511 55.6797
8.288406 80.554 55.6390
8.348468 80.597 55.5976
8.408964 80.640 55.5560
8.469899 80.682 55.5146
8.531276 80.725 55.4730
8.593097 80.768 55.4308
8.655366 80.811 55.3880
8.718086 80.854 55.3446
8.781260 80.896 55.3010
8.844893 80.938 55.2576
8.908987 80.981 55.2140
8.973545 81.024 55.1697
9.038571 81.067 55.1250
9.104069 81.109 55.0801
9.170040 81.152 55.0350
9.236490 81.195 54.9897
9.303422 81.238 54.9440
9.370838 81.281 54.8977
9.438744 81.323 54.8510
9.507140 81.365 54.8042
9.576033 81.408 54.7570
9.645425 81.451 54.7091
9.715320 81.494 54.6610
9.785721 81.536 54.6132
9.856632 81.579 54.5650
9.928058 81.622 54.5158
10.000000 81.665 54.4660
10.072464 81.708 54.4162
10.145453 81.750 54.3661
10.218971 81.792 54.3157
10.293022 81.835 54.2650
10.367610 81.878 54.2137
10.442738 81.921 54.1620
10.518411 81.963 54.1102
10.594631 82.006 54.0580
10.671404 82.049 54.0052
10.748734 82.092 53.9520
10.826623 82.135 53.8987
10.905077 82.177 53.8450
10.984100 82.219 53.7908
11.063695 82.262 53.7360
11.143867 82.305 53.6807
11.224621 82.348 53.6250
11.305959 82.391 53.5692
11.387886 82.433 53.5130
11.470407 82.475 53.4563
11.553527 82.518 53.3990
11.637249 82.561 53.3412
11.721577 82.604 53.2831
11.806517 82.646 53.2247
11.892071 82.689 53.1661
11.978246 82.732 53.1068
12.065045 82.775 53.0470
12.152473 82.818 52.9868
12.240536 82.860 52.9260
12.329235 82.902 52.8647
12.418578 82.945 52.8031
12.508568 82.988 52.7413
12.599211 83.031 52.6790
12.690510 83.073 52.6158
12.782471 83.116 52.5521
12.875097 83.159 52.4882
12.968395 83.202 52.4240
13.062370 83.245 52.3593
13.157025 83.287 52.2940
13.252366 83.329 52.2283
13.348398 83.372 52.1620
13.445127 83.415 52.0953
13.542556 83.458 52.0281
13.640691 83.500 51.9608
13.739536 83.543 51.8930
13.839099 83.586 51.8244
13.939383 83.629 51.7551
14.040393 83.672 51.6852
14.142136 83.714 51.6150
14.244616 83.756 51.5448
14.347837 83.799 51.4740
14.451808 83.842 51.4023
14.556532 83.885 51.3300
14.662014 83.927 51.2577
14.768262 83.970 51.1851
14.875278 84.013 51.1119
14.983070 84.056 51.0381
15.091644 84.099 50.9633
15.201005 84.141 50.8881
15.311157 84.183 50.8127
15.422109 84.226 50.7371
15.533863 84.269 50.6607
15.646428 84.312 50.5840
15.759809 84.354 50.5072
15.874010 84.397 50.4301
15.989040 84.440 50.3523
16.104904 84.483 50.2741
16.221605 84.526 50.1952
16.339155 84.568 50.1161
16.457554 84.610 50.0372
16.576813 84.653 49.9581
16.696936 84.696 49.8782
16.817928 84.739 49.7980
16.939798 84.782 49.7176
17.062551 84.824 49.6371
17.186193 84.866 49.5571
17.310732 84.909 49.4771
17.436172 84.952 49.3965
17.562521 84.995 49.3161
17.689787 85.037 49.2363
17.817974 85.080 49.1571
17.947090 85.123 49.0786
18.077143 85.166 49.0010
18.208138 85.209 48.9244
18.340080 85.251 48.8491
18.472980 85.293 48.7754
18.606844 85.336 48.7040
18.741676 85.379 48.6353
18.877487 85.422 48.5711
19.014280 85.464 48.5129
19.152065 85.507 48.4621
19.290850 85.551 48.4206
19.430639 85.596 48.3880
19.571442 85.643 48.3661
19.713264 85.693 48.3500
19.856115 85.748 48.3393
20.000000 85.808 48.3230
20.144928 85.874 48.2922
20.290907 85.944 48.2401
20.437943 86.017 48.1571
20.586044 86.091 48.0431
20.735220 86.166 47.8942
20.885475 86.240 47.7122
21.036821 86.313 47.4951
21.189262 86.383 47.2503
21.342808 86.448 46.9825
21.497467 86.509 46.6984
21.653246 86.566 46.4061
21.810154 86.621 46.1054
21.968201 86.673 45.7980
22.127390 86.723 45.4854
22.287735 86.769 45.1694
22.449242 86.813 44.8513
22.611917 86.854 44.5330
22.775772 86.893 44.2144
22.940815 86.929 43.8937
23.107054 86.961 43.5774
23.274498 86.989 43.2704
23.443153 87.015 42.9754
23.613033 87.039 42.6977
23.784142 87.062 42.4342
23.956491 87.085 42.1844
24.130091 87.108 41.9453
24.304947 87.131 41.7143
24.481071 87.155 41.4903
24.658470 87.178 41.2706
24.837156 87.201 41.0573
25.017136 87.223 40.8518
25.198421 87.245 40.6532
25.381020 87.267 40.4617
25.564941 87.290 40.2752
25.750195 87.313 40.0904
25.936790 87.336 39.9102
26.124741 87.357 39.7369
26.314051 87.379 39.5692
26.504732 87.403 39.4077
26.696796 87.427 39.2502
26.890253 87.450 39.0939
27.085112 87.474 38.9412
27.281382 87.498 38.7929
27.479073 87.522 38.6502
27.678198 87.545 38.5152
27.878765 87.570 38.3862
28.080786 87.597 38.2632
28.284271 87.626 38.1422
28.489231 87.656 38.0188
28.695675 87.688 37.8932
28.903616 87.720 37.7644
29.113064 87.754 37.6312
29.324028 87.789 37.4936
29.536524 87.826 37.3472
29.750557 87.865 37.1867
29.966141 87.904 37.0142
30.183289 87.941 36.8300
30.402010 87.978 36.6342
30.622314 88.015 36.4269
30.844217 88.052 36.2083
31.067726 88.086 35.9769
31.292856 88.119 35.7374
31.519617 88.150 35.4927
31.748020 88.178 35.2453
31.978081 88.204 34.9989
32.209808 88.228 34.7533
32.443211 88.251 34.5093
32.678310 88.273 34.2683
32.915108 88.293 34.0316
33.153625 88.311 33.8003
33.393871 88.328 33.5757
33.635857 88.345 33.3583
33.879597 88.361 33.1487
34.125103 88.376 32.9473
34.372387 88.391 32.7552
34.621464 88.406 32.5703
34.872345 88.421 32.3908
35.125042 88.437 32.2162
35.379574 88.454 32.0458
35.635948 88.471 31.8782
35.894180 88.488 31.7118
36.154285 88.505 31.5472
36.416275 88.522 31.3840
36.680161 88.539 31.2232
36.945961 88.556 31.0662
37.213688 88.573 30.9122
37.483353 88.591 30.7616
37.754974 88.609 30.6132
38.028561 88.627 30.4661
38.304131 88.646 30.3202
38.581699 88.665 30.1761
38.861279 88.685 30.0312
39.142883 88.707 29.8837
39.426529 88.729 29.7322
39.712231 88.751 29.5743
40.000000 88.773 29.4122
40.289856 88.794 29.2469
40.581814 88.814 29.0802
40.875885 88.834 28.9152
41.172089 88.853 28.7502
41.470440 88.873 28.5850
41.770950 88.893 28.4193
42.073643 88.912 28.2514
42.378525 88.930 28.0852
42.685616 88.947 27.9257
42.994934 88.965 27.7682
43.306492 88.986 27.6116
43.620308 89.008 27.4503
43.936401 89.030 27.2765
44.254780 89.052 27.0953
44.575470 89.071 26.9087
44.898483 89.089 26.7183
45.223835 89.107 26.5255
45.551544 89.123 26.3333
45.881630 89.136 26.1436
46.214108 89.148 25.9603
46.548996 89.159 25.7886
46.886307 89.170 25.6262
47.226067 89.182 25.4737
47.568283 89.194 25.3282
47.912983 89.207 25.1889
48.260181 89.221 25.0512
48.609894 89.238 24.9104
48.962143 89.256 24.7672
49.316940 89.272 24.6201
49.674313 89.288 24.4712
50.034271 89.305 24.3230
50.396843 89.322 24.1732
50.762039 89.340 24.0193
51.129883 89.357 23.8643
51.500389 89.373 23.7112
51.873581 89.389 23.5573
52.249481 89.407 23.4004
52.628101 89.425 23.2413
53.009464 89.442 23.0794
53.393593 89.458 22.9163
53.780506 89.475 22.7541
54.170223 89.492 22.5903
54.562763 89.509 22.4221
54.958145 89.526 22.2513
55.356396 89.542 22.0794
55.757530 89.558 21.9043
56.161572 89.576 21.7240
56.568542 89.593 21.5393
56.978462 89.607 21.3485
57.391350 89.620 21.1564
57.807232 89.632 20.9665
58.226128 89.643 20.7803
58.648056 89.653 20.6005
59.073048 89.662 20.4273
59.501114 89.671 20.2632
59.932281 89.681 20.1043
60.366577 89.693 19.9488
60.804020 89.706 19.7933
61.244629 89.720 19.6345
61.688435 89.735 19.4693
62.135452 89.751 19.2932
62.585712 89.767 19.1073
63.039234 89.782 18.9095
63.496040 89.795 18.7044
63.956161 89.806 18.4946
64.419617 89.814 18.2834
64.886421 89.820 18.0736
65.356621 89.825 17.8683
65.830215 89.828 17.6713
66.307251 89.829 17.4834
66.787743 89.830 17.3071
67.271713 89.831 17.1413
67.759193 89.832 16.9857
68.250206 89.833 16.8393
68.744774 89.834 16.7017
69.242928 89.837 16.5702
69.744690 89.842 16.4434
70.250084 89.849 16.3172
70.759148 89.857 16.1867
71.271896 89.865 16.0532
71.788361 89.873 15.9168
72.308571 89.881 15.7773
72.832550 89.890 15.6342
73.360321 89.899 15.4883
73.891922 89.907 15.3395
74.427376 89.915 15.1893
74.966705 89.923 15.0401
75.509949 89.931 14.8893
76.057121 89.940 14.7350
76.608261 89.950 14.5773
77.163399 89.958 14.4158
77.722557 89.966 14.2503
78.285767 89.974 14.0805
78.853058 89.982 13.9064
79.424461 89.988 13.7262
80.000000 89.993 13.5444
80.579712 89.996 13.3640
81.163628 89.998 13.1863
81.751770 89.999 13.0141
82.344177 90.000 12.8463
82.940880 90.000 12.6832
83.541901 90.000 12.5243
84.147285 90.000 12.3696
84.757050 90.000 12.2183
85.371231 90.000 12.0696
85.989868 90.000 11.9233
86.612984 90.000 11.7789
87.240616 90.000 11.6363
87.872803 90.000 11.4950
88.509560 90.000 11.3553
89.150940 90.000 11.2171
89.796967 90.000 11.0803
90.447670 90.000 10.9447
91.103088 90.000 10.8103
91.763260 90.000 10.6768
92.428215 90.000 10.5443
93.097992 90.000 10.4123
93.772614 90.000 10.2813
94.452133 90.000 10.1515
95.136566 90.000 10.0223
95.825966 90.000 9.8931
96.520363 90.000 9.7643
97.219788 90.000 9.6361
