* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\focal elegia_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:39:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\focal elegia_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: focal elegia_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.420 -5.5820
5.036232 80.418 -5.5729
5.072727 80.415 -5.5630
5.109486 80.412 -5.5514
5.146511 80.408 -5.5380
5.183805 80.404 -5.5218
5.221369 80.399 -5.5040
5.259205 80.394 -5.4859
5.297316 80.388 -5.4670
5.335702 80.382 -5.4468
5.374367 80.377 -5.4260
5.413311 80.372 -5.4056
5.452538 80.366 -5.3850
5.492050 80.360 -5.3636
5.531847 80.354 -5.3420
5.571934 80.349 -5.3211
5.612310 80.343 -5.3000
5.652979 80.337 -5.2781
5.693943 80.331 -5.2560
5.735204 80.326 -5.2340
5.776763 80.320 -5.2120
5.818624 80.314 -5.1901
5.860788 80.308 -5.1680
5.903258 80.302 -5.1451
5.946035 80.297 -5.1220
5.989123 80.291 -5.0990
6.032523 80.285 -5.0760
6.076237 80.280 -5.0531
6.120268 80.274 -5.0300
6.164618 80.268 -5.0061
6.209289 80.262 -4.9820
6.254284 80.257 -4.9580
6.299605 80.251 -4.9340
6.345255 80.245 -4.9101
6.391235 80.239 -4.8860
6.437549 80.233 -4.8611
6.484198 80.228 -4.8360
6.531185 80.222 -4.8111
6.578513 80.216 -4.7860
6.626183 80.210 -4.7606
6.674199 80.205 -4.7350
6.722563 80.200 -4.7091
6.771278 80.194 -4.6830
6.820345 80.188 -4.6566
6.869768 80.182 -4.6300
6.919549 80.176 -4.6036
6.969691 80.171 -4.5770
7.020196 80.165 -4.5496
7.071068 80.159 -4.5220
7.122308 80.154 -4.4946
7.173919 80.148 -4.4670
7.225904 80.142 -4.4391
7.278266 80.136 -4.4110
7.331007 80.131 -4.3831
7.384131 80.125 -4.3550
7.437639 80.119 -4.3261
7.491535 80.113 -4.2970
7.545822 80.107 -4.2681
7.600502 80.102 -4.2390
7.655579 80.096 -4.2091
7.711054 80.090 -4.1790
7.766932 80.085 -4.1491
7.823214 80.079 -4.1190
7.879904 80.073 -4.0881
7.937005 80.067 -4.0570
7.994520 80.062 -4.0261
8.052452 80.056 -3.9950
8.110803 80.050 -3.9636
8.169578 80.044 -3.9320
8.228777 80.038 -3.9002
8.288406 80.033 -3.8680
8.348468 80.027 -3.8351
8.408964 80.021 -3.8020
8.469899 80.015 -3.7691
8.531276 80.010 -3.7360
8.593097 80.005 -3.7027
8.655366 79.999 -3.6690
8.718086 79.993 -3.6346
8.781260 79.987 -3.6000
8.844893 79.981 -3.5656
8.908987 79.976 -3.5310
8.973545 79.970 -3.4956
9.038571 79.964 -3.4600
9.104069 79.959 -3.4246
9.170040 79.953 -3.3890
9.236490 79.947 -3.3527
9.303422 79.941 -3.3160
9.370838 79.936 -3.2792
9.438744 79.930 -3.2420
9.507140 79.924 -3.2041
9.576033 79.918 -3.1660
9.645425 79.912 -3.1281
9.715320 79.907 -3.0900
9.785721 79.901 -3.0512
9.856632 79.895 -3.0120
9.928058 79.890 -2.9726
10.000000 79.884 -2.9330
10.072464 79.878 -2.8932
10.145453 79.872 -2.8530
10.218971 79.867 -2.8127
10.293022 79.861 -2.7720
10.367610 79.855 -2.7308
10.442738 79.849 -2.6890
10.518411 79.843 -2.6466
10.594631 79.838 -2.6040
10.671404 79.832 -2.5616
10.748734 79.826 -2.5190
10.826623 79.820 -2.4758
10.905077 79.815 -2.4320
10.984100 79.810 -2.3877
11.063695 79.804 -2.3430
11.143867 79.798 -2.2982
11.224621 79.792 -2.2530
11.305959 79.786 -2.2072
11.387886 79.781 -2.1610
11.470407 79.775 -2.1146
11.553527 79.769 -2.0680
11.637249 79.764 -2.0213
11.721577 79.758 -1.9740
11.806517 79.752 -1.9258
11.892071 79.746 -1.8770
11.978246 79.741 -1.8282
12.065045 79.735 -1.7790
12.152473 79.729 -1.7298
12.240536 79.723 -1.6800
12.329235 79.717 -1.6293
12.418578 79.712 -1.5780
12.508568 79.706 -1.5267
12.599211 79.700 -1.4750
12.690510 79.695 -1.4228
12.782471 79.689 -1.3701
12.875097 79.683 -1.3167
12.968395 79.677 -1.2630
13.062370 79.672 -1.2093
13.157025 79.666 -1.1550
13.252366 79.660 -1.0998
13.348398 79.654 -1.0440
13.445127 79.649 -0.9877
13.542556 79.643 -0.9311
13.640691 79.637 -0.8743
13.739536 79.631 -0.8170
13.839099 79.625 -0.7588
13.939383 79.620 -0.7001
14.040393 79.615 -0.6408
14.142136 79.609 -0.5810
14.244616 79.603 -0.5208
14.347837 79.597 -0.4600
14.451808 79.591 -0.3988
14.556532 79.586 -0.3370
14.662014 79.580 -0.2744
14.768262 79.574 -0.2111
14.875278 79.569 -0.1473
14.983070 79.563 -0.0831
15.091644 79.557 -0.0184
15.201005 79.551 0.0470
15.311157 79.546 0.1131
15.422109 79.540 0.1800
15.533863 79.534 0.2471
15.646428 79.528 0.3150
15.759809 79.522 0.3836
15.874010 79.517 0.4529
15.989040 79.511 0.5226
16.104904 79.505 0.5929
16.221605 79.500 0.6640
16.339155 79.494 0.7359
16.457554 79.488 0.8085
16.576813 79.482 0.8819
16.696936 79.477 0.9561
16.817928 79.471 1.0310
16.939798 79.465 1.1066
17.062551 79.459 1.1829
17.186193 79.453 1.2595
17.310732 79.448 1.3370
17.436172 79.443 1.4155
17.562521 79.437 1.4949
17.689787 79.431 1.5750
17.817974 79.425 1.6559
17.947090 79.420 1.7380
18.077143 79.414 1.8210
18.208138 79.408 1.9046
18.340080 79.402 1.9889
18.472980 79.397 2.0739
18.606844 79.391 2.1599
18.741676 79.385 2.2474
18.877487 79.379 2.3359
19.014280 79.374 2.4253
19.152065 79.368 2.5159
19.290850 79.362 2.6082
19.430639 79.356 2.7019
19.571442 79.351 2.7968
19.713264 79.345 2.8939
19.856115 79.339 2.9936
20.000000 79.333 3.0979
20.144928 79.327 3.2088
20.290907 79.322 3.3259
20.437943 79.319 3.4511
20.586044 79.318 3.5799
20.735220 79.320 3.7132
20.885475 79.326 3.8369
21.036821 79.340 3.9442
21.189262 79.360 4.0139
21.342808 79.386 4.0231
21.497467 79.411 3.9701
21.653246 79.430 3.8408
21.810154 79.441 3.6503
21.968201 79.441 3.3996
22.127390 79.426 3.1163
22.287735 79.390 2.8131
22.449242 79.332 2.5352
22.611917 79.249 2.3208
22.775772 79.147 2.2041
22.940815 79.029 2.2287
23.107054 78.901 2.4046
23.274498 78.768 2.7604
23.443153 78.639 3.2832
23.613033 78.522 3.9815
23.784142 78.424 4.8202
23.956491 78.352 5.7815
24.130091 78.308 6.8208
24.304947 78.299 7.9020
24.481071 78.322 8.9816
24.658470 78.379 10.0160
24.837156 78.464 10.9698
25.017136 78.576 11.8001
25.198421 78.706 12.4854
25.381020 78.849 12.9876
25.564941 78.997 13.3128
25.750195 79.139 13.4456
25.936790 79.271 13.4121
26.124741 79.386 13.2199
26.314051 79.480 12.9085
26.504732 79.547 12.5034
26.696796 79.587 12.0546
26.890253 79.596 11.6074
27.085112 79.579 11.2014
27.281382 79.537 10.8844
27.479073 79.477 10.6762
27.678198 79.402 10.6135
27.878765 79.320 10.6938
28.080786 79.239 10.9346
28.284271 79.163 11.3124
28.489231 79.101 11.8194
28.695675 79.053 12.4251
28.903616 79.026 13.1053
29.113064 79.017 13.8339
29.324028 79.029 14.5815
29.536524 79.059 15.3341
29.750557 79.104 16.0691
29.966141 79.164 16.7832
30.183289 79.236 17.4673
30.402010 79.320 18.1172
30.622314 79.417 18.7292
30.844217 79.527 19.2934
31.067726 79.649 19.8044
31.292856 79.785 20.2444
31.519617 79.935 20.6009
31.748020 80.097 20.8518
31.978081 80.269 20.9737
32.209808 80.445 20.9581
32.443211 80.620 20.7866
32.678310 80.791 20.4655
32.915108 80.952 19.9892
33.153625 81.099 19.3758
33.393871 81.227 18.6317
33.635857 81.334 17.7863
33.879597 81.416 16.8612
34.125103 81.474 15.8863
34.372387 81.506 14.8918
34.621464 81.514 13.8995
34.872345 81.498 12.9360
35.125042 81.460 12.0171
35.379574 81.402 11.1617
35.635948 81.324 10.3869
35.894180 81.227 9.7108
36.154285 81.113 9.1487
36.416275 80.987 8.7182
36.680161 80.850 8.4313
36.945961 80.703 8.3033
37.213688 80.552 8.3428
37.483353 80.401 8.5678
37.754974 80.257 8.9653
38.028561 80.127 9.5390
38.304131 80.016 10.2560
38.581699 79.933 11.0994
38.861279 79.880 12.0236
39.142883 79.862 12.9931
39.426529 79.878 13.9607
39.712231 79.931 14.8800
40.000000 80.013 15.7128
40.289856 80.121 16.4084
40.581814 80.245 16.9583
40.875885 80.376 17.3317
41.172089 80.509 17.5458
41.470440 80.635 17.6002
41.770950 80.753 17.5172
42.073643 80.858 17.3088
42.378525 80.948 17.0055
42.685616 81.017 16.6334
42.994934 81.068 16.2176
43.306492 81.102 15.7876
43.620308 81.121 15.3566
43.936401 81.125 14.9441
44.254780 81.115 14.5616
44.575470 81.092 14.2249
44.898483 81.058 13.9414
45.223835 81.016 13.7215
45.551544 80.967 13.5712
45.881630 80.911 13.4985
46.214108 80.852 13.5079
46.548996 80.791 13.6078
46.886307 80.731 13.7936
47.226067 80.677 14.0677
47.568283 80.630 14.4174
47.912983 80.594 14.8365
48.260181 80.569 15.3082
48.609894 80.558 15.8202
48.962143 80.562 16.3522
49.316940 80.582 16.8851
49.674313 80.617 17.4022
50.034271 80.665 17.8833
50.396843 80.724 18.3204
50.762039 80.791 18.6993
51.129883 80.863 19.0185
51.500389 80.939 19.2700
51.873581 81.016 19.4587
52.249481 81.092 19.5842
52.628101 81.165 19.6549
53.009464 81.234 19.6753
53.393593 81.297 19.6571
53.780506 81.353 19.6100
54.170223 81.403 19.5441
54.562763 81.446 19.4706
54.958145 81.483 19.3961
55.356396 81.515 19.3282
55.757530 81.541 19.2761
56.161572 81.561 19.2505
56.568542 81.579 19.2540
56.978462 81.597 19.2943
57.391350 81.616 19.3668
57.807232 81.637 19.4709
58.226128 81.661 19.6018
58.648056 81.690 19.7580
59.073048 81.726 19.9287
59.501114 81.770 20.1066
59.932281 81.821 20.2797
60.366577 81.879 20.4352
60.804020 81.944 20.5678
61.244629 82.013 20.6696
61.688435 82.086 20.7359
62.135452 82.163 20.7596
62.585712 82.243 20.7401
63.039234 82.321 20.6728
63.496040 82.399 20.5632
63.956161 82.474 20.4137
64.419617 82.546 20.2284
64.886421 82.614 20.0100
65.356621 82.678 19.7644
65.830215 82.737 19.4968
66.307251 82.791 19.2126
66.787743 82.840 18.9174
67.271713 82.885 18.6166
67.759193 82.924 18.3153
68.250206 82.959 18.0185
68.744774 82.991 17.7336
69.242928 83.020 17.4585
69.744690 83.049 17.1947
70.250084 83.077 16.9395
70.759148 83.105 16.6915
71.271896 83.133 16.4475
71.788361 83.162 16.2054
72.308571 83.192 15.9595
72.832550 83.223 15.7041
73.360321 83.255 15.4365
73.891922 83.287 15.1515
74.427376 83.317 14.8506
74.966705 83.345 14.5320
75.509949 83.370 14.1996
76.057121 83.392 13.8551
76.608261 83.410 13.5027
77.163399 83.424 13.1458
77.722557 83.434 12.7887
78.285767 83.440 12.4362
78.853058 83.443 12.0907
79.424461 83.442 11.7564
80.000000 83.439 11.4326
80.579712 83.435 11.1216
81.163628 83.429 10.8196
81.751770 83.423 10.5240
82.344177 83.416 10.2336
82.940880 83.407 9.9444
83.541901 83.396 9.6616
84.147285 83.381 9.3877
84.757050 83.363 9.1265
85.371231 83.343 8.8817
85.989868 83.320 8.6554
86.612984 83.296 8.4503
87.240616 83.271 8.2693
87.872803 83.244 8.1180
88.509560 83.218 7.9922
89.150940 83.196 7.8925
89.796967 83.176 7.8112
