* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Elex_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:19:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Elex_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Elex_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 72.098 53.0290
5.036232 72.116 53.0150
5.072727 72.135 53.0000
5.109486 72.157 52.9827
5.146511 72.183 52.9630
5.183805 72.214 52.9393
5.221369 72.247 52.9140
5.259205 72.282 52.8899
5.297316 72.318 52.8650
5.335702 72.356 52.8378
5.374367 72.396 52.8100
5.413311 72.435 52.7829
5.452538 72.475 52.7560
5.492050 72.515 52.7291
5.531847 72.554 52.7020
5.571934 72.593 52.6746
5.612310 72.632 52.6470
5.652979 72.672 52.6196
5.693943 72.711 52.5920
5.735204 72.750 52.5636
5.776763 72.789 52.5350
5.818624 72.828 52.5065
5.860788 72.868 52.4780
5.903258 72.907 52.4496
5.946035 72.946 52.4210
5.989123 72.985 52.3916
6.032523 73.025 52.3620
6.076237 73.064 52.3326
6.120268 73.103 52.3030
6.164618 73.142 52.2731
6.209289 73.182 52.2430
6.254284 73.221 52.2126
6.299605 73.260 52.1820
6.345255 73.299 52.1511
6.391235 73.339 52.1200
6.437549 73.378 52.0886
6.484198 73.417 52.0570
6.531185 73.456 52.0251
6.578513 73.496 51.9930
6.626183 73.536 51.9611
6.674199 73.575 51.9290
6.722563 73.614 51.8961
6.771278 73.653 51.8630
6.820345 73.692 51.8301
6.869768 73.732 51.7970
6.919549 73.771 51.7637
6.969691 73.810 51.7300
7.020196 73.849 51.6956
7.071068 73.889 51.6610
7.122308 73.928 51.6266
7.173919 73.967 51.5920
7.225904 74.006 51.5566
7.278266 74.046 51.5210
7.331007 74.085 51.4856
7.384131 74.124 51.4500
7.437639 74.163 51.4142
7.491535 74.203 51.3780
7.545822 74.242 51.3411
7.600502 74.281 51.3040
7.655579 74.320 51.2671
7.711054 74.360 51.2300
7.766932 74.399 51.1922
7.823214 74.438 51.1540
7.879904 74.477 51.1156
7.937005 74.517 51.0770
7.994520 74.556 51.0381
8.052452 74.595 50.9990
8.110803 74.634 50.9596
8.169578 74.674 50.9200
8.228777 74.714 50.8802
8.288406 74.753 50.8400
8.348468 74.792 50.7992
8.408964 74.831 50.7580
8.469899 74.870 50.7166
8.531276 74.910 50.6750
8.593097 74.949 50.6331
8.655366 74.988 50.5910
8.718086 75.027 50.5486
8.781260 75.067 50.5060
8.844893 75.106 50.4632
8.908987 75.145 50.4200
8.973545 75.184 50.3763
9.038571 75.224 50.3320
9.104069 75.263 50.2871
9.170040 75.302 50.2420
9.236490 75.341 50.1971
9.303422 75.381 50.1520
9.370838 75.420 50.1063
9.438744 75.459 50.0600
9.507140 75.498 50.0132
9.576033 75.538 49.9660
9.645425 75.577 49.9186
9.715320 75.616 49.8710
9.785721 75.655 49.8232
9.856632 75.695 49.7750
9.928058 75.735 49.7262
10.000000 75.774 49.6770
10.072464 75.813 49.6277
10.145453 75.852 49.5781
10.218971 75.891 49.5278
10.293022 75.931 49.4770
10.367610 75.970 49.4257
10.442738 76.009 49.3740
10.518411 76.049 49.3222
10.594631 76.088 49.2700
10.671404 76.127 49.2173
10.748734 76.166 49.1640
10.826623 76.205 49.1102
10.905077 76.245 49.0560
10.984100 76.284 49.0017
11.063695 76.323 48.9470
11.143867 76.362 48.8918
11.224621 76.402 48.8360
11.305959 76.441 48.7797
11.387886 76.480 48.7230
11.470407 76.519 48.6663
11.553527 76.559 48.6090
11.637249 76.598 48.5508
11.721577 76.637 48.4921
11.806517 76.676 48.4333
11.892071 76.716 48.3741
11.978246 76.756 48.3138
12.065045 76.795 48.2530
12.152473 76.834 48.1923
12.240536 76.873 48.1310
12.329235 76.912 48.0688
12.418578 76.952 48.0061
12.508568 76.991 47.9433
12.599211 77.030 47.8800
12.690510 77.069 47.8159
12.782471 77.109 47.7511
12.875097 77.148 47.6858
12.968395 77.187 47.6200
13.062370 77.226 47.5538
13.157025 77.266 47.4870
13.252366 77.305 47.4198
13.348398 77.344 47.3521
13.445127 77.383 47.2834
13.542556 77.423 47.2141
13.640691 77.462 47.1444
13.739536 77.501 47.0740
13.839099 77.540 47.0029
13.939383 77.580 46.9311
14.040393 77.619 46.8589
14.142136 77.658 46.7860
14.244616 77.697 46.7123
14.347837 77.737 46.6380
14.451808 77.777 46.5634
14.556532 77.816 46.4880
14.662014 77.855 46.4114
14.768262 77.894 46.3341
14.875278 77.933 46.2564
14.983070 77.973 46.1781
15.091644 78.012 46.0989
15.201005 78.051 46.0191
15.311157 78.090 45.9384
15.422109 78.130 45.8571
15.533863 78.169 45.7750
15.646428 78.208 45.6920
15.759809 78.247 45.6079
15.874010 78.287 45.5231
15.989040 78.326 45.4380
16.104904 78.365 45.3521
16.221605 78.404 45.2645
16.339155 78.444 45.1761
16.457554 78.483 45.0875
16.576813 78.522 44.9981
16.696936 78.561 44.9071
16.817928 78.601 44.8151
16.939798 78.640 44.7221
17.062551 78.679 44.6281
17.186193 78.718 44.5331
17.310732 78.758 44.4371
17.436172 78.797 44.3401
17.562521 78.836 44.2421
17.689787 78.875 44.1432
17.817974 78.915 44.0431
17.947090 78.955 43.9413
18.077143 78.994 43.8381
18.208138 79.033 43.7338
18.340080 79.072 43.6281
18.472980 79.111 43.5209
18.606844 79.151 43.4121
18.741676 79.190 43.3015
18.877487 79.229 43.1891
19.014280 79.268 43.0751
19.152065 79.308 42.9591
19.290850 79.347 42.8409
19.430639 79.386 42.7201
19.571442 79.425 42.5968
19.713264 79.465 42.4702
19.856115 79.504 42.3395
20.000000 79.543 42.2041
20.144928 79.582 42.0626
20.290907 79.620 41.9161
20.437943 79.657 41.7649
20.586044 79.692 41.6111
20.735220 79.725 41.4548
20.885475 79.757 41.3022
21.036821 79.786 41.1592
21.189262 79.814 41.0262
21.342808 79.842 40.9063
21.497467 79.870 40.7971
21.653246 79.899 40.6974
21.810154 79.929 40.6071
21.968201 79.960 40.5278
22.127390 79.993 40.4541
22.287735 80.030 40.3826
22.449242 80.069 40.3081
22.611917 80.109 40.2237
22.775772 80.151 40.1311
22.940815 80.193 40.0303
23.107054 80.237 39.9192
23.274498 80.282 39.7952
23.443153 80.327 39.6592
23.613033 80.370 39.5086
23.784142 80.411 39.3501
23.956491 80.451 39.1899
24.130091 80.490 39.0272
24.304947 80.529 38.8633
24.481071 80.567 38.6982
24.658470 80.604 38.5315
24.837156 80.640 38.3662
25.017136 80.676 38.2071
25.198421 80.712 38.0492
25.381020 80.751 37.8907
25.564941 80.791 37.7272
25.750195 80.831 37.5532
25.936790 80.871 37.3702
26.124741 80.911 37.1783
26.314051 80.951 36.9763
26.504732 80.990 36.7617
26.696796 81.028 36.5383
26.890253 81.063 36.3085
27.085112 81.096 36.0743
27.281382 81.129 35.8385
27.479073 81.161 35.6003
27.678198 81.190 35.3586
27.878765 81.217 35.1173
28.080786 81.242 34.8815
28.284271 81.267 34.6473
28.489231 81.292 34.4126
28.695675 81.317 34.1773
28.903616 81.339 33.9390
29.113064 81.359 33.7033
29.324028 81.376 33.4754
29.536524 81.391 33.2552
29.750557 81.406 33.0433
29.966141 81.420 32.8432
30.183289 81.431 32.6588
30.402010 81.441 32.4902
30.622314 81.453 32.3408
30.844217 81.466 32.2052
31.067726 81.482 32.0790
31.292856 81.499 31.9622
31.519617 81.516 31.8550
31.748020 81.536 31.7521
31.978081 81.561 31.6511
32.209808 81.590 31.5441
32.443211 81.621 31.4225
32.678310 81.653 31.2872
32.915108 81.685 31.1368
33.153625 81.717 30.9702
33.393871 81.751 30.7871
33.635857 81.785 30.5843
33.879597 81.818 30.3559
34.125103 81.848 30.1093
34.372387 81.872 29.8461
34.621464 81.892 29.5784
34.872345 81.906 29.3167
35.125042 81.915 29.0673
35.379574 81.921 28.8403
35.635948 81.925 28.6342
35.894180 81.930 28.4519
36.154285 81.935 28.2902
36.416275 81.940 28.1486
36.680161 81.946 28.0232
36.945961 81.955 27.9122
37.213688 81.968 27.8082
37.483353 81.984 27.7047
37.754974 82.003 27.5972
38.028561 82.024 27.4775
38.304131 82.045 27.3502
38.581699 82.065 27.2157
38.861279 82.084 27.0772
39.142883 82.103 26.9393
39.426529 82.123 26.7982
39.712231 82.144 26.6519
40.000000 82.166 26.4992
40.289856 82.187 26.3367
40.581814 82.207 26.1692
40.875885 82.224 26.0005
41.172089 82.241 25.8313
41.470440 82.258 25.6641
41.770950 82.275 25.4973
42.073643 82.291 25.3296
42.378525 82.307 25.1622
42.685616 82.322 24.9962
42.994934 82.337 24.8302
43.306492 82.353 24.6634
43.620308 82.368 24.4953
43.936401 82.382 24.3243
44.254780 82.396 24.1523
44.575470 82.409 23.9798
44.898483 82.420 23.8093
45.223835 82.430 23.6421
45.551544 82.438 23.4822
45.881630 82.445 23.3355
46.214108 82.452 23.1982
46.548996 82.462 23.0711
46.886307 82.473 22.9472
47.226067 82.487 22.8198
47.568283 82.501 22.6892
47.912983 82.514 22.5533
48.260181 82.528 22.4122
48.609894 82.542 22.2646
48.962143 82.556 22.1132
49.316940 82.567 21.9582
49.674313 82.576 21.8062
50.034271 82.582 21.6633
50.396843 82.588 21.5312
50.762039 82.594 21.4155
51.129883 82.601 21.3102
51.500389 82.611 21.2124
51.873581 82.622 21.1182
52.249481 82.635 21.0230
52.628101 82.649 20.9262
53.009464 82.664 20.8255
53.393593 82.680 20.7212
53.780506 82.697 20.6134
54.170223 82.714 20.5002
54.562763 82.732 20.3791
54.958145 82.751 20.2512
55.356396 82.768 20.1155
55.757530 82.785 19.9752
56.161572 82.801 19.8337
56.568542 82.817 19.6902
56.978462 82.833 19.5452
57.391350 82.848 19.3983
57.807232 82.863 19.2490
58.226128 82.878 19.0983
58.648056 82.892 18.9474
59.073048 82.907 18.7943
59.501114 82.923 18.6369
59.932281 82.938 18.4753
60.366577 82.952 18.3087
60.804020 82.966 18.1373
61.244629 82.979 17.9604
61.688435 82.991 17.7803
62.135452 83.001 17.5971
62.585712 83.008 17.4173
63.039234 83.012 17.2472
63.496040 83.016 17.0873
63.956161 83.020 16.9411
64.419617 83.025 16.8052
64.886421 83.031 16.6798
65.356621 83.039 16.5582
65.830215 83.050 16.4352
66.307251 83.063 16.3073
66.787743 83.076 16.1691
67.271713 83.090 16.0213
67.759193 83.104 15.8625
68.250206 83.118 15.6933
68.744774 83.130 15.5123
69.242928 83.141 15.3244
69.744690 83.149 15.1323
70.250084 83.154 14.9404
70.759148 83.157 14.7536
71.271896 83.159 14.5723
71.788361 83.160 14.3989
72.308571 83.161 14.2323
72.832550 83.161 14.0727
73.360321 83.161 13.9193
73.891922 83.161 13.7713
74.427376 83.161 13.6283
74.966705 83.161 13.4893
75.509949 83.161 13.3542
76.057121 83.161 13.2229
76.608261 83.161 13.0953
77.163399 83.161 12.9714
77.722557 83.161 12.8512
78.285767 83.161 12.7343
78.853058 83.161 12.6222
79.424461 83.161 12.5166
80.000000 83.161 12.4172
80.579712 83.162 12.3244
81.163628 83.164 12.2372
81.751770 83.167 12.1562
82.344177 83.172 12.0772
82.940880 83.181 11.9980
83.541901 83.192 11.9122
84.147285 83.205 11.8123
84.757050 83.219 11.6992
85.371231 83.233 11.5715
85.989868 83.247 11.4293
86.612984 83.261 11.2720
87.240616 83.274 11.1004
87.872803 83.285 10.9131
88.509560 83.293 10.7164
89.150940 83.298 10.5152
89.796967 83.301 10.3114
90.447670 83.302 10.1086
91.103088 83.301 9.9064
91.763260 83.298 9.7044
92.428215 83.293 9.5064
93.097992 83.285 9.3144
93.772614 83.274 9.1334
94.452133 83.261 8.9694
95.136566 83.247 8.8213
95.825966 83.233 8.6898
96.520363 83.219 8.5742
97.219788 83.205 8.4744
97.924286 83.192 8.3892
