* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Radiance_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:43:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Radiance_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal Radiance_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 88.034 34.2300
5.036232 88.046 34.2151
5.072727 88.059 34.1990
5.109486 88.074 34.1799
5.146511 88.091 34.1580
5.183805 88.111 34.1325
5.221369 88.134 34.1050
5.259205 88.158 34.0771
5.297316 88.183 34.0480
5.335702 88.209 34.0168
5.374367 88.236 33.9850
5.413311 88.262 33.9541
5.452538 88.289 33.9230
5.492050 88.315 33.8911
5.531847 88.342 33.8590
5.571934 88.368 33.8271
5.612310 88.395 33.7950
5.652979 88.422 33.7626
5.693943 88.449 33.7300
5.735204 88.476 33.6971
5.776763 88.502 33.6640
5.818624 88.528 33.6306
5.860788 88.555 33.5970
5.903258 88.581 33.5631
5.946035 88.608 33.5290
5.989123 88.634 33.4946
6.032523 88.661 33.4600
6.076237 88.688 33.4251
6.120268 88.715 33.3900
6.164618 88.742 33.3546
6.209289 88.768 33.3190
6.254284 88.794 33.2831
6.299605 88.821 33.2470
6.345255 88.847 33.2111
6.391235 88.874 33.1750
6.437549 88.900 33.1383
6.484198 88.927 33.1010
6.531185 88.954 33.0631
6.578513 88.981 33.0250
6.626183 89.008 32.9871
6.674199 89.034 32.9490
6.722563 89.060 32.9106
6.771278 89.087 32.8720
6.820345 89.113 32.8332
6.869768 89.140 32.7940
6.919549 89.166 32.7542
6.969691 89.193 32.7140
7.020196 89.220 32.6736
7.071068 89.247 32.6330
7.122308 89.274 32.5921
7.173919 89.300 32.5510
7.225904 89.326 32.5097
7.278266 89.353 32.4680
7.331007 89.379 32.4256
7.384131 89.406 32.3830
7.437639 89.432 32.3406
7.491535 89.459 32.2980
7.545822 89.486 32.2548
7.600502 89.513 32.2110
7.655579 89.540 32.1666
7.711054 89.566 32.1220
7.766932 89.592 32.0776
7.823214 89.619 32.0330
7.879904 89.645 31.9878
7.937005 89.672 31.9420
7.994520 89.698 31.8957
8.052452 89.725 31.8490
8.110803 89.752 31.8021
8.169578 89.779 31.7550
8.228777 89.806 31.7077
8.288406 89.832 31.6600
8.348468 89.858 31.6117
8.408964 89.885 31.5630
8.469899 89.911 31.5142
8.531276 89.938 31.4650
8.593097 89.964 31.4152
8.655366 89.991 31.3650
8.718086 90.018 31.3147
8.781260 90.045 31.2640
8.844893 90.072 31.2128
8.908987 90.098 31.1610
8.973545 90.124 31.1087
9.038571 90.151 31.0560
9.104069 90.177 31.0032
9.170040 90.204 30.9500
9.236490 90.230 30.8962
9.303422 90.257 30.8420
9.370838 90.283 30.7877
9.438744 90.310 30.7330
9.507140 90.337 30.6778
9.576033 90.364 30.6220
9.645425 90.391 30.5658
9.715320 90.417 30.5090
9.785721 90.443 30.4518
9.856632 90.470 30.3940
9.928058 90.496 30.3357
10.000000 90.523 30.2770
10.072464 90.549 30.2183
10.145453 90.576 30.1591
10.218971 90.603 30.0988
10.293022 90.630 30.0380
10.367610 90.657 29.9772
10.442738 90.683 29.9160
10.518411 90.709 29.8543
10.594631 90.736 29.7920
10.671404 90.762 29.7288
10.748734 90.789 29.6650
10.826623 90.815 29.6013
10.905077 90.842 29.5371
10.984100 90.869 29.4718
11.063695 90.896 29.4060
11.143867 90.923 29.3403
11.224621 90.949 29.2740
11.305959 90.975 29.2069
11.387886 91.002 29.1391
11.470407 91.028 29.0708
11.553527 91.055 29.0020
11.637249 91.081 28.9323
11.721577 91.108 28.8621
11.806517 91.135 28.7919
11.892071 91.162 28.7211
11.978246 91.189 28.6489
12.065045 91.215 28.5760
12.152473 91.241 28.5033
12.240536 91.268 28.4300
12.329235 91.294 28.3559
12.418578 91.321 28.2811
12.508568 91.347 28.2054
12.599211 91.374 28.1290
12.690510 91.401 28.0524
12.782471 91.428 27.9751
12.875097 91.455 27.8969
12.968395 91.481 27.8181
13.062370 91.507 27.7384
13.157025 91.534 27.6580
13.252366 91.560 27.5774
13.348398 91.587 27.4961
13.445127 91.613 27.4140
13.542556 91.640 27.3311
13.640691 91.667 27.2475
13.739536 91.694 27.1630
13.839099 91.721 27.0774
13.939383 91.747 26.9911
14.040393 91.773 26.9044
14.142136 91.800 26.8170
14.244616 91.826 26.7290
14.347837 91.853 26.6400
14.451808 91.879 26.5500
14.556532 91.906 26.4590
14.662014 91.933 26.3675
14.768262 91.960 26.2751
14.875278 91.987 26.1815
14.983070 92.013 26.0871
15.091644 92.039 25.9920
15.201005 92.066 25.8961
15.311157 92.092 25.7991
15.422109 92.119 25.7011
15.533863 92.145 25.6020
15.646428 92.172 25.5021
15.759809 92.199 25.4016
15.874010 92.226 25.3001
15.989040 92.253 25.1971
16.104904 92.279 25.0931
16.221605 92.305 24.9886
16.339155 92.332 24.8831
16.457554 92.358 24.7762
16.576813 92.385 24.6681
16.696936 92.411 24.5591
16.817928 92.438 24.4491
16.939798 92.465 24.3377
17.062551 92.492 24.2251
17.186193 92.519 24.1117
17.310732 92.545 23.9971
17.436172 92.571 23.8807
17.562521 92.598 23.7631
17.689787 92.624 23.6447
17.817974 92.651 23.5251
17.947090 92.677 23.4038
18.077143 92.704 23.2811
18.208138 92.731 23.1574
18.340080 92.758 23.0321
18.472980 92.785 22.9049
18.606844 92.811 22.7761
18.741676 92.837 22.6460
18.877487 92.864 22.5141
19.014280 92.891 22.3797
19.152065 92.917 22.2432
19.290850 92.943 22.1047
19.430639 92.969 21.9651
19.571442 92.995 21.8246
19.713264 93.020 21.6842
19.856115 93.045 21.5441
20.000000 93.069 21.4061
20.144928 93.094 21.2733
20.290907 93.119 21.1421
20.437943 93.146 21.0107
20.586044 93.173 20.8781
20.735220 93.201 20.7429
20.885475 93.229 20.6052
21.036821 93.258 20.4655
21.189262 93.289 20.3202
21.342808 93.321 20.1661
21.497467 93.354 20.0022
21.653246 93.387 19.8257
21.810154 93.419 19.6393
21.968201 93.450 19.4446
22.127390 93.480 19.2422
22.287735 93.510 19.0336
22.449242 93.540 18.8182
22.611917 93.568 18.5954
22.775772 93.595 18.3673
22.940815 93.621 18.1357
23.107054 93.646 17.9003
23.274498 93.671 17.6619
23.443153 93.696 17.4193
23.613033 93.720 17.1713
23.784142 93.742 16.9192
23.956491 93.763 16.6637
24.130091 93.783 16.4053
24.304947 93.801 16.1446
24.481071 93.819 15.8823
24.658470 93.836 15.6200
24.837156 93.852 15.3564
25.017136 93.867 15.0899
25.198421 93.880 14.8233
25.381020 93.891 14.5586
25.564941 93.901 14.2962
25.750195 93.911 14.0371
25.936790 93.920 13.7813
26.124741 93.927 13.5283
26.314051 93.932 13.2813
26.504732 93.936 13.0433
26.696796 93.940 12.8143
26.890253 93.944 12.5967
27.085112 93.949 12.3862
27.281382 93.955 12.1800
27.479073 93.963 11.9753
27.678198 93.971 11.7684
27.878765 93.980 11.5593
28.080786 93.989 11.3464
28.284271 93.997 11.1303
28.489231 94.005 10.9104
28.695675 94.013 10.6893
28.903616 94.019 10.4681
29.113064 94.025 10.2503
29.324028 94.029 10.0402
29.536524 94.033 9.8362
29.750557 94.040 9.6402
29.966141 94.048 9.4462
30.183289 94.058 9.2505
30.402010 94.070 9.0483
30.622314 94.084 8.8345
30.844217 94.100 8.6053
31.067726 94.116 8.3547
31.292856 94.132 8.0844
31.519617 94.146 7.7922
31.748020 94.158 7.4834
31.978081 94.165 7.1599
32.209808 94.169 6.8294
32.443211 94.168 6.4992
32.678310 94.164 6.1724
32.915108 94.156 5.8536
33.153625 94.146 5.5454
33.393871 94.133 5.2517
33.635857 94.119 4.9734
33.879597 94.104 4.7151
34.125103 94.090 4.4693
34.372387 94.078 4.2316
34.621464 94.067 3.9984
34.872345 94.056 3.7648
35.125042 94.046 3.5303
35.379574 94.037 3.2932
35.635948 94.028 3.0513
35.894180 94.018 2.8004
36.154285 94.007 2.5444
36.416275 93.993 2.2846
36.680161 93.977 2.0244
36.945961 93.960 1.7667
37.213688 93.940 1.5144
37.483353 93.916 1.2702
37.754974 93.891 1.0373
38.028561 93.865 0.8212
38.304131 93.839 0.6173
38.581699 93.813 0.4228
38.861279 93.788 0.2373
39.142883 93.762 0.0600
39.426529 93.737 -0.1108
39.712231 93.712 -0.2776
40.000000 93.687 -0.4388
40.289856 93.660 -0.5940
40.581814 93.633 -0.7418
40.875885 93.607 -0.8802
41.172089 93.580 -1.0108
41.470440 93.553 -1.1352
41.770950 93.526 -1.2518
42.073643 93.499 -1.3591
42.378525 93.473 -1.4589
42.685616 93.448 -1.5517
42.994934 93.424 -1.6399
43.306492 93.401 -1.7257
43.620308 93.378 -1.8089
43.936401 93.356 -1.8897
44.254780 93.335 -1.9689
44.575470 93.314 -2.0465
44.898483 93.294 -2.1249
45.223835 93.275 -2.2057
45.551544 93.257 -2.2909
45.881630 93.239 -2.3835
46.214108 93.221 -2.4818
46.548996 93.202 -2.5846
46.886307 93.182 -2.6938
47.226067 93.162 -2.8126
47.568283 93.140 -2.9358
47.912983 93.114 -3.0615
48.260181 93.085 -3.1838
48.609894 93.053 -3.2968
48.962143 93.019 -3.3989
49.316940 92.983 -3.4879
49.674313 92.944 -3.5599
50.034271 92.904 -3.6101
50.396843 92.862 -3.6390
50.762039 92.821 -3.6441
51.129883 92.780 -3.6290
51.500389 92.741 -3.5954
51.873581 92.703 -3.5461
52.249481 92.667 -3.4845
52.628101 92.632 -3.4101
53.009464 92.597 -3.3231
53.393593 92.564 -3.2252
53.780506 92.534 -3.1179
54.170223 92.505 -3.0022
54.562763 92.476 -2.8803
54.958145 92.448 -2.7492
55.356396 92.420 -2.6063
55.757530 92.394 -2.4523
56.161572 92.370 -2.2867
56.568542 92.347 -2.1103
56.978462 92.325 -1.9237
57.391350 92.305 -1.7274
57.807232 92.288 -1.5211
58.226128 92.274 -1.3074
58.648056 92.262 -1.0886
59.073048 92.252 -0.8644
59.501114 92.243 -0.6349
59.932281 92.237 -0.4014
60.366577 92.234 -0.1656
60.804020 92.234 0.0736
61.244629 92.234 0.3161
61.688435 92.236 0.5636
62.135452 92.241 0.8176
62.585712 92.248 1.0775
63.039234 92.258 1.3435
63.496040 92.271 1.6145
63.956161 92.288 1.8911
64.419617 92.310 2.1685
64.886421 92.337 2.4441
65.356621 92.369 2.7125
65.830215 92.406 2.9688
66.307251 92.447 3.2095
66.787743 92.493 3.4304
67.271713 92.543 3.6297
67.759193 92.595 3.8045
68.250206 92.651 3.9537
68.744774 92.710 4.0754
69.242928 92.771 4.1689
69.744690 92.833 4.2321
70.250084 92.896 4.2670
70.759148 92.959 4.2748
71.271896 93.022 4.2551
71.788361 93.087 4.2074
72.308571 93.151 4.1332
72.832550 93.213 4.0326
73.360321 93.275 3.9083
73.891922 93.336 3.7630
74.427376 93.396 3.5953
74.966705 93.456 3.4042
75.509949 93.515 3.1904
76.057121 93.572 2.9540
76.608261 93.627 2.6965
77.163399 93.681 2.4203
77.722557 93.733 2.1236
78.285767 93.784 1.8046
78.853058 93.832 1.4667
79.424461 93.876 1.1116
80.000000 93.917 0.7437
80.579712 93.955 0.3687
81.163628 93.991 -0.0153
81.751770 94.026 -0.4080
82.344177 94.059 -0.8102
82.940880 94.089 -1.2227
83.541901 94.118 -1.6442
84.147285 94.145 -2.0720
84.757050 94.171 -2.5111
85.371231 94.196 -2.9668
85.989868 94.219 -3.4360
86.612984 94.237 -3.9190
87.240616 94.253 -4.4120
87.872803 94.266 -4.9109
88.509560 94.277 -5.4180
89.150940 94.285 -5.9343
89.796967 94.291 -6.4589
90.447670 94.294 -6.9902
91.103088 94.294 -7.5308
91.763260 94.293 -8.0821
92.428215 94.289 -8.6458
93.097992 94.282 -9.2256
