* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Stellia_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:45:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Stellia_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal Stellia_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 93.597 -6.1290
5.036232 93.596 -6.1338
5.072727 93.594 -6.1390
5.109486 93.592 -6.1450
5.146511 93.590 -6.1520
5.183805 93.588 -6.1605
5.221369 93.585 -6.1700
5.259205 93.582 -6.1802
5.297316 93.579 -6.1910
5.335702 93.576 -6.2023
5.374367 93.573 -6.2140
5.413311 93.570 -6.2259
5.452538 93.567 -6.2380
5.492050 93.563 -6.2499
5.531847 93.560 -6.2620
5.571934 93.557 -6.2744
5.612310 93.554 -6.2870
5.652979 93.550 -6.2995
5.693943 93.547 -6.3120
5.735204 93.544 -6.3244
5.776763 93.541 -6.3370
5.818624 93.538 -6.3499
5.860788 93.535 -6.3630
5.903258 93.532 -6.3760
5.946035 93.528 -6.3890
5.989123 93.525 -6.4019
6.032523 93.522 -6.4150
6.076237 93.519 -6.4284
6.120268 93.515 -6.4420
6.164618 93.512 -6.4554
6.209289 93.509 -6.4690
6.254284 93.506 -6.4829
6.299605 93.503 -6.4970
6.345255 93.500 -6.5109
6.391235 93.496 -6.5250
6.437549 93.493 -6.5394
6.484198 93.490 -6.5540
6.531185 93.487 -6.5685
6.578513 93.483 -6.5830
6.626183 93.480 -6.5974
6.674199 93.477 -6.6120
6.722563 93.474 -6.6269
6.771278 93.471 -6.6420
6.820345 93.467 -6.6574
6.869768 93.464 -6.6730
6.919549 93.461 -6.6885
6.969691 93.458 -6.7040
7.020196 93.454 -6.7194
7.071068 93.451 -6.7350
7.122308 93.448 -6.7509
7.173919 93.445 -6.7670
7.225904 93.442 -6.7834
7.278266 93.439 -6.8000
7.331007 93.436 -6.8165
7.384131 93.432 -6.8330
7.437639 93.429 -6.8494
7.491535 93.426 -6.8660
7.545822 93.423 -6.8829
7.600502 93.419 -6.9000
7.655579 93.416 -6.9174
7.711054 93.413 -6.9350
7.766932 93.410 -6.9525
7.823214 93.407 -6.9700
7.879904 93.404 -6.9874
7.937005 93.400 -7.0050
7.994520 93.397 -7.0234
8.052452 93.394 -7.0420
8.110803 93.391 -7.0599
8.169578 93.387 -7.0780
8.228777 93.384 -7.0969
8.288406 93.381 -7.1160
8.348468 93.378 -7.1349
8.408964 93.375 -7.1540
8.469899 93.371 -7.1734
8.531276 93.368 -7.1930
8.593097 93.365 -7.2124
8.655366 93.362 -7.2320
8.718086 93.359 -7.2519
8.781260 93.355 -7.2720
8.844893 93.352 -7.2919
8.908987 93.349 -7.3120
8.973545 93.346 -7.3329
9.038571 93.343 -7.3540
9.104069 93.340 -7.3750
9.170040 93.336 -7.3960
9.236490 93.333 -7.4169
9.303422 93.330 -7.4380
9.370838 93.326 -7.4599
9.438744 93.323 -7.4820
9.507140 93.320 -7.5039
9.576033 93.317 -7.5260
9.645425 93.313 -7.5484
9.715320 93.310 -7.5710
9.785721 93.307 -7.5934
9.856632 93.304 -7.6160
9.928058 93.301 -7.6394
10.000000 93.298 -7.6630
10.072464 93.295 -7.6864
10.145453 93.291 -7.7100
10.218971 93.288 -7.7339
10.293022 93.285 -7.7580
10.367610 93.282 -7.7824
10.442738 93.278 -7.8070
10.518411 93.275 -7.8314
10.594631 93.272 -7.8560
10.671404 93.269 -7.8814
10.748734 93.266 -7.9070
10.826623 93.263 -7.9324
10.905077 93.259 -7.9580
10.984100 93.256 -7.9844
11.063695 93.253 -8.0110
11.143867 93.250 -8.0374
11.224621 93.246 -8.0640
11.305959 93.243 -8.0909
11.387886 93.240 -8.1180
11.470407 93.237 -8.1453
11.553527 93.234 -8.1730
11.637249 93.230 -8.2014
11.721577 93.227 -8.2300
11.806517 93.224 -8.2584
11.892071 93.221 -8.2870
11.978246 93.217 -8.3158
12.065045 93.214 -8.3450
12.152473 93.211 -8.3749
12.240536 93.208 -8.4050
12.329235 93.205 -8.4349
12.418578 93.202 -8.4650
12.508568 93.199 -8.4959
12.599211 93.195 -8.5270
12.690510 93.192 -8.5579
12.782471 93.189 -8.5890
12.875097 93.186 -8.6207
12.968395 93.182 -8.6530
13.062370 93.179 -8.6859
13.157025 93.176 -8.7190
13.252366 93.173 -8.7519
13.348398 93.170 -8.7850
13.445127 93.167 -8.8188
13.542556 93.163 -8.8530
13.640691 93.160 -8.8873
13.739536 93.157 -8.9220
13.839099 93.154 -8.9573
13.939383 93.150 -8.9930
14.040393 93.147 -9.0289
14.142136 93.144 -9.0650
14.244616 93.141 -9.1013
14.347837 93.138 -9.1380
14.451808 93.134 -9.1752
14.556532 93.131 -9.2130
14.662014 93.128 -9.2513
14.768262 93.125 -9.2900
14.875278 93.122 -9.3288
14.983070 93.118 -9.3680
15.091644 93.115 -9.4077
15.201005 93.112 -9.4480
15.311157 93.109 -9.4888
15.422109 93.106 -9.5300
15.533863 93.103 -9.5712
15.646428 93.099 -9.6130
15.759809 93.096 -9.6557
15.874010 93.093 -9.6990
15.989040 93.090 -9.7423
16.104904 93.086 -9.7860
16.221605 93.083 -9.8301
16.339155 93.080 -9.8749
16.457554 93.077 -9.9206
16.576813 93.074 -9.9670
16.696936 93.071 -10.0138
16.817928 93.067 -10.0610
16.939798 93.064 -10.1081
17.062551 93.061 -10.1559
17.186193 93.058 -10.2051
17.310732 93.054 -10.2550
17.436172 93.051 -10.3047
17.562521 93.048 -10.3550
17.689787 93.045 -10.4061
17.817974 93.042 -10.4579
17.947090 93.039 -10.5106
18.077143 93.035 -10.5640
18.208138 93.032 -10.6176
18.340080 93.029 -10.6719
18.472980 93.026 -10.7271
18.606844 93.022 -10.7830
18.741676 93.019 -10.8392
18.877487 93.016 -10.8959
19.014280 93.013 -10.9531
19.152065 93.009 -11.0109
19.290850 93.006 -11.0697
19.430639 93.003 -11.1290
19.571442 93.000 -11.1882
19.713264 92.997 -11.2479
19.856115 92.994 -11.3083
20.000000 92.992 -11.3699
20.144928 92.990 -11.4331
20.290907 92.988 -11.4989
20.437943 92.987 -11.5685
20.586044 92.986 -11.6419
20.735220 92.985 -11.7201
20.885475 92.983 -11.8019
21.036821 92.981 -11.8876
21.189262 92.978 -11.9749
21.342808 92.974 -12.0627
21.497467 92.969 -12.1479
21.653246 92.963 -12.2259
21.810154 92.958 -12.2999
21.968201 92.955 -12.3702
22.127390 92.953 -12.4409
22.287735 92.952 -12.5163
22.449242 92.953 -12.5969
22.611917 92.955 -12.6830
22.775772 92.958 -12.7799
22.940815 92.963 -12.8927
23.107054 92.969 -13.0228
23.274498 92.973 -13.1751
23.443153 92.976 -13.3448
23.613033 92.976 -13.5304
23.784142 92.972 -13.7268
23.956491 92.965 -13.9308
24.130091 92.954 -14.1348
24.304947 92.938 -14.3314
24.481071 92.919 -14.5168
24.658470 92.899 -14.6828
24.837156 92.878 -14.8348
25.017136 92.858 -14.9732
25.198421 92.838 -15.1039
25.381020 92.820 -15.2324
25.564941 92.803 -15.3599
25.750195 92.785 -15.4885
25.936790 92.767 -15.6198
26.124741 92.750 -15.7566
26.314051 92.732 -15.8978
26.504732 92.712 -16.0473
26.696796 92.688 -16.1938
26.890253 92.658 -16.3295
27.085112 92.626 -16.4479
27.281382 92.593 -16.5374
27.479073 92.561 -16.6059
27.678198 92.533 -16.6556
27.878765 92.506 -16.6920
28.080786 92.480 -16.7205
28.284271 92.457 -16.7430
28.489231 92.437 -16.7617
28.695675 92.419 -16.7810
28.903616 92.404 -16.8058
29.113064 92.390 -16.8370
29.324028 92.378 -16.8781
29.536524 92.366 -16.9259
29.750557 92.353 -16.9793
29.966141 92.339 -17.0349
30.183289 92.326 -17.0874
30.402010 92.314 -17.1419
30.622314 92.305 -17.2001
30.844217 92.299 -17.2669
31.067726 92.294 -17.3464
31.292856 92.291 -17.4428
31.519617 92.290 -17.5606
31.748020 92.289 -17.7028
31.978081 92.288 -17.8757
32.209808 92.285 -18.0747
32.443211 92.278 -18.2981
32.678310 92.268 -18.5437
32.915108 92.255 -18.8106
33.153625 92.238 -19.0927
33.393871 92.213 -19.3861
33.635857 92.183 -19.6826
33.879597 92.148 -19.9725
34.125103 92.108 -20.2556
34.372387 92.065 -20.5287
34.621464 92.017 -20.7916
34.872345 91.965 -21.0436
35.125042 91.910 -21.2827
35.379574 91.852 -21.5069
35.635948 91.790 -21.7158
35.894180 91.726 -21.9083
36.154285 91.658 -22.0838
36.416275 91.588 -22.2413
36.680161 91.514 -22.3798
36.945961 91.438 -22.4994
37.213688 91.359 -22.5959
37.483353 91.276 -22.6665
37.754974 91.189 -22.7070
38.028561 91.100 -22.7116
38.304131 91.008 -22.6811
38.581699 90.917 -22.6139
38.861279 90.824 -22.5102
39.142883 90.731 -22.3707
39.426529 90.636 -22.1923
39.712231 90.541 -21.9717
40.000000 90.446 -21.7104
40.289856 90.354 -21.4093
40.581814 90.263 -21.0675
40.875885 90.173 -20.6868
41.172089 90.084 -20.2597
41.470440 89.995 -19.7783
41.770950 89.909 -19.2449
42.073643 89.831 -18.6568
42.378525 89.760 -18.0209
42.685616 89.695 -17.3428
42.994934 89.637 -16.6240
43.306492 89.589 -15.8645
43.620308 89.551 -15.0752
43.936401 89.526 -14.2638
44.254780 89.513 -13.4403
44.575470 89.511 -12.6158
44.898483 89.521 -11.7943
45.223835 89.542 -10.9819
45.551544 89.573 -10.1841
45.881630 89.615 -9.4063
46.214108 89.668 -8.6551
46.548996 89.731 -7.9365
46.886307 89.805 -7.2580
47.226067 89.889 -6.6272
47.568283 89.981 -6.0499
47.912983 90.080 -5.5337
48.260181 90.186 -5.0817
48.609894 90.297 -4.6980
48.962143 90.413 -4.3864
49.316940 90.531 -4.1538
49.674313 90.651 -3.9952
50.034271 90.768 -3.9093
50.396843 90.884 -3.8920
50.762039 90.998 -3.9394
51.129883 91.109 -4.0488
51.500389 91.216 -4.2157
51.873581 91.320 -4.4406
52.249481 91.421 -4.7214
52.628101 91.519 -5.0604
53.009464 91.612 -5.4604
53.393593 91.698 -5.9182
53.780506 91.776 -6.4332
54.170223 91.846 -7.0000
54.562763 91.906 -7.6165
54.958145 91.954 -8.2719
55.356396 91.989 -8.9598
55.757530 92.010 -9.6659
56.161572 92.018 -10.3766
56.568542 92.012 -11.0828
56.978462 91.994 -11.7734
57.391350 91.964 -12.4408
57.807232 91.923 -13.0744
58.226128 91.871 -13.6720
58.648056 91.811 -14.2300
59.073048 91.742 -14.7422
59.501114 91.663 -15.2041
59.932281 91.574 -15.6063
60.366577 91.478 -15.9399
60.804020 91.375 -16.1986
61.244629 91.266 -16.3765
61.688435 91.152 -16.4639
62.135452 91.033 -16.4496
62.585712 90.913 -16.3333
63.039234 90.799 -16.1063
63.496040 90.690 -15.7836
63.956161 90.591 -15.3743
64.419617 90.502 -14.8879
64.886421 90.424 -14.3328
65.356621 90.359 -13.7221
65.830215 90.310 -13.0662
66.307251 90.277 -12.3814
66.787743 90.259 -11.6841
67.271713 90.256 -10.9853
67.759193 90.267 -10.3001
68.250206 90.290 -9.6322
68.744774 90.323 -8.9889
69.242928 90.366 -8.3741
69.744690 90.420 -7.7920
70.250084 90.484 -7.2490
70.759148 90.555 -6.7529
71.271896 90.634 -6.3038
71.788361 90.717 -5.9049
72.308571 90.806 -5.5546
72.832550 90.898 -5.2519
73.360321 90.995 -4.9984
73.891922 91.095 -4.7947
74.427376 91.198 -4.6432
74.966705 91.303 -4.5475
75.509949 91.409 -4.5050
76.057121 91.514 -4.5160
76.608261 91.619 -4.5758
77.163399 91.722 -4.6802
77.722557 91.824 -4.8287
78.285767 91.925 -5.0188
78.853058 92.026 -5.2515
79.424461 92.124 -5.5273
