* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Utopia_2022_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:58:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal_Utopia_2022_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal_Utopia_2022_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.181 40.9790
5.036232 80.194 40.9697
5.072727 80.209 40.9600
5.109486 80.226 40.9492
5.146511 80.245 40.9370
5.183805 80.268 40.9225
5.221369 80.294 40.9070
5.259205 80.320 40.8917
5.297316 80.348 40.8760
5.335702 80.378 40.8596
5.374367 80.408 40.8430
5.413311 80.438 40.8265
5.452538 80.468 40.8100
5.492050 80.498 40.7935
5.531847 80.528 40.7770
5.571934 80.558 40.7605
5.612310 80.588 40.7440
5.652979 80.618 40.7276
5.693943 80.648 40.7110
5.735204 80.678 40.6941
5.776763 80.707 40.6770
5.818624 80.737 40.6596
5.860788 80.767 40.6420
5.903258 80.797 40.6245
5.946035 80.827 40.6070
5.989123 80.857 40.5896
6.032523 80.887 40.5720
6.076237 80.917 40.5541
6.120268 80.947 40.5360
6.164618 80.977 40.5181
6.209289 81.007 40.5000
6.254284 81.037 40.4816
6.299605 81.067 40.4630
6.345255 81.097 40.4446
6.391235 81.127 40.4260
6.437549 81.157 40.4071
6.484198 81.187 40.3880
6.531185 81.217 40.3691
6.578513 81.247 40.3500
6.626183 81.276 40.3306
6.674199 81.306 40.3110
6.722563 81.336 40.2916
6.771278 81.366 40.2720
6.820345 81.396 40.2521
6.869768 81.426 40.2320
6.919549 81.456 40.2116
6.969691 81.486 40.1910
7.020196 81.516 40.1706
7.071068 81.546 40.1500
7.122308 81.576 40.1291
7.173919 81.606 40.1080
7.225904 81.636 40.0871
7.278266 81.666 40.0660
7.331007 81.696 40.0446
7.384131 81.726 40.0230
7.437639 81.756 40.0016
7.491535 81.786 39.9800
7.545822 81.815 39.9581
7.600502 81.845 39.9360
7.655579 81.875 39.9136
7.711054 81.905 39.8910
7.766932 81.935 39.8686
7.823214 81.965 39.8460
7.879904 81.995 39.8231
7.937005 82.025 39.8000
7.994520 82.055 39.7766
8.052452 82.085 39.7530
8.110803 82.115 39.7291
8.169578 82.145 39.7050
8.228777 82.175 39.6811
8.288406 82.205 39.6570
8.348468 82.235 39.6326
8.408964 82.265 39.6080
8.469899 82.295 39.5836
8.531276 82.325 39.5590
8.593097 82.354 39.5336
8.655366 82.384 39.5080
8.718086 82.414 39.4826
8.781260 82.444 39.4570
8.844893 82.474 39.4311
8.908987 82.504 39.4050
8.973545 82.534 39.3791
9.038571 82.564 39.3530
9.104069 82.594 39.3261
9.170040 82.624 39.2990
9.236490 82.654 39.2721
9.303422 82.684 39.2450
9.370838 82.714 39.2176
9.438744 82.744 39.1900
9.507140 82.774 39.1621
9.576033 82.804 39.1340
9.645425 82.834 39.1056
9.715320 82.864 39.0770
9.785721 82.893 39.0486
9.856632 82.923 39.0200
9.928058 82.953 38.9906
10.000000 82.983 38.9610
10.072464 83.013 38.9316
10.145453 83.043 38.9020
10.218971 83.073 38.8722
10.293022 83.103 38.8420
10.367610 83.133 38.8111
10.442738 83.163 38.7800
10.518411 83.193 38.7491
10.594631 83.223 38.7180
10.671404 83.253 38.6866
10.748734 83.283 38.6550
10.826623 83.313 38.6231
10.905077 83.343 38.5910
10.984100 83.373 38.5587
11.063695 83.403 38.5260
11.143867 83.433 38.4926
11.224621 83.463 38.4590
11.305959 83.492 38.4256
11.387886 83.522 38.3920
11.470407 83.552 38.3582
11.553527 83.582 38.3240
11.637249 83.612 38.2891
11.721577 83.642 38.2540
11.806517 83.672 38.2192
11.892071 83.702 38.1840
11.978246 83.732 38.1482
12.065045 83.762 38.1120
12.152473 83.792 38.0756
12.240536 83.822 38.0390
12.329235 83.852 38.0021
12.418578 83.882 37.9650
12.508568 83.912 37.9277
12.599211 83.942 37.8900
12.690510 83.972 37.8517
12.782471 84.002 37.8130
12.875097 84.031 37.7742
12.968395 84.061 37.7350
13.062370 84.091 37.6956
13.157025 84.121 37.6560
13.252366 84.151 37.6162
13.348398 84.181 37.5760
13.445127 84.211 37.5352
13.542556 84.241 37.4940
13.640691 84.271 37.4527
13.739536 84.301 37.4110
13.839099 84.331 37.3687
13.939383 84.361 37.3260
14.040393 84.391 37.2832
14.142136 84.421 37.2400
14.244616 84.451 37.1967
14.347837 84.481 37.1530
14.451808 84.511 37.1088
14.556532 84.541 37.0640
14.662014 84.570 37.0188
14.768262 84.600 36.9731
14.875278 84.630 36.9267
14.983070 84.660 36.8801
15.091644 84.690 36.8332
15.201005 84.720 36.7860
15.311157 84.750 36.7383
15.422109 84.780 36.6900
15.533863 84.810 36.6412
15.646428 84.840 36.5920
15.759809 84.870 36.5428
15.874010 84.900 36.4930
15.989040 84.930 36.4423
16.104904 84.960 36.3910
16.221605 84.990 36.3393
16.339155 85.020 36.2871
16.457554 85.050 36.2343
16.576813 85.080 36.1810
16.696936 85.109 36.1273
16.817928 85.139 36.0730
16.939798 85.169 36.0184
17.062551 85.199 35.9631
17.186193 85.229 35.9064
17.310732 85.259 35.8490
17.436172 85.289 35.7913
17.562521 85.319 35.7330
17.689787 85.349 35.6739
17.817974 85.379 35.6141
17.947090 85.409 35.5536
18.077143 85.439 35.4920
18.208138 85.469 35.4291
18.340080 85.499 35.3651
18.472980 85.529 35.3002
18.606844 85.559 35.2340
18.741676 85.589 35.1661
18.877487 85.619 35.0961
19.014280 85.649 35.0235
19.152065 85.679 34.9481
19.290850 85.708 34.8693
19.430639 85.737 34.7881
19.571442 85.765 34.7049
19.713264 85.792 34.6211
19.856115 85.818 34.5368
20.000000 85.843 34.4561
20.144928 85.866 34.3832
20.290907 85.889 34.3171
20.437943 85.913 34.2592
20.586044 85.938 34.2060
20.735220 85.963 34.1529
20.885475 85.988 34.1050
21.036821 86.011 34.0677
21.189262 86.036 34.0370
21.342808 86.064 34.0133
21.497467 86.095 33.9900
21.653246 86.127 33.9607
21.810154 86.160 33.9260
21.968201 86.195 33.8861
22.127390 86.231 33.8361
22.287735 86.269 33.7706
22.449242 86.307 33.6921
22.611917 86.342 33.5997
22.775772 86.376 33.4971
22.940815 86.410 33.3868
23.107054 86.442 33.2712
23.274498 86.471 33.1505
23.443153 86.497 33.0332
23.613033 86.520 32.9286
23.784142 86.542 32.8341
23.956491 86.567 32.7514
24.130091 86.593 32.6761
24.304947 86.619 32.6041
24.481071 86.645 32.5351
24.658470 86.673 32.4693
24.837156 86.703 32.4011
25.017136 86.735 32.3240
25.198421 86.767 32.2401
25.381020 86.797 32.1486
25.564941 86.827 32.0521
25.750195 86.858 31.9534
25.936790 86.888 31.8511
26.124741 86.917 31.7438
26.314051 86.945 31.6352
26.504732 86.972 31.5286
26.696796 86.999 31.4231
26.890253 87.027 31.3192
27.085112 87.055 31.2151
27.281382 87.083 31.1088
27.479073 87.110 31.0011
27.678198 87.137 30.8934
27.878765 87.165 30.7822
28.080786 87.194 30.6639
28.284271 87.223 30.5402
28.489231 87.250 30.4104
28.695675 87.275 30.2782
28.903616 87.299 30.1475
29.113064 87.323 30.0172
29.324028 87.347 29.8874
29.536524 87.370 29.7581
29.750557 87.392 29.6290
29.966141 87.413 29.5011
30.183289 87.434 29.3764
30.402010 87.455 29.2532
30.622314 87.475 29.1296
30.844217 87.495 29.0081
31.067726 87.513 28.8903
31.292856 87.531 28.7772
31.519617 87.548 28.6705
31.748020 87.566 28.5691
31.978081 87.584 28.4727
32.209808 87.603 28.3811
32.443211 87.621 28.2949
32.678310 87.640 28.2121
32.915108 87.660 28.1321
33.153625 87.682 28.0521
33.393871 87.705 27.9691
33.635857 87.728 27.8831
33.879597 87.751 27.7930
34.125103 87.774 27.6991
34.372387 87.798 27.6014
34.621464 87.822 27.5002
34.872345 87.845 27.3955
35.125042 87.867 27.2881
35.379574 87.890 27.1788
35.635948 87.912 27.0671
35.894180 87.933 26.9523
36.154285 87.954 26.8372
36.416275 87.973 26.7241
36.680161 87.991 26.6142
36.945961 88.009 26.5098
37.213688 88.028 26.4091
37.483353 88.046 26.3108
37.754974 88.065 26.2161
38.028561 88.083 26.1267
38.304131 88.102 26.0401
38.581699 88.123 25.9552
38.861279 88.144 25.8701
39.142883 88.166 25.7819
39.426529 88.188 25.6921
39.712231 88.210 25.6016
40.000000 88.233 25.5101
40.289856 88.256 25.4178
40.581814 88.280 25.3241
40.875885 88.304 25.2303
41.172089 88.329 25.1322
41.470440 88.357 25.0274
41.770950 88.386 24.9112
42.073643 88.415 24.7770
42.378525 88.443 24.6282
42.685616 88.469 24.4652
42.994934 88.494 24.2913
43.306492 88.516 24.1084
43.620308 88.536 23.9213
43.936401 88.551 23.7324
44.254780 88.563 23.5503
44.575470 88.571 23.3838
44.898483 88.578 23.2342
45.223835 88.584 23.1083
45.551544 88.592 22.9981
45.881630 88.604 22.9011
46.214108 88.618 22.8081
46.548996 88.635 22.7095
46.886307 88.653 22.6052
47.226067 88.670 22.4918
47.568283 88.688 22.3702
47.912983 88.706 22.2397
48.260181 88.723 22.1022
48.609894 88.737 21.9568
48.962143 88.749 21.8122
49.316940 88.757 21.6768
49.674313 88.764 21.5512
50.034271 88.772 21.4408
50.396843 88.781 21.3401
50.762039 88.791 21.2456
51.129883 88.801 21.1571
51.500389 88.811 21.0744
51.873581 88.823 20.9941
52.249481 88.837 20.9140
52.628101 88.853 20.8311
53.009464 88.869 20.7403
53.393593 88.885 20.6462
53.780506 88.899 20.5518
54.170223 88.913 20.4572
54.562763 88.929 20.3640
54.958145 88.945 20.2692
55.356396 88.961 20.1682
55.757530 88.977 20.0662
56.161572 88.991 19.9670
56.568542 89.005 19.8692
56.978462 89.022 19.7737
57.391350 89.039 19.6762
57.807232 89.056 19.5716
58.226128 89.074 19.4622
58.648056 89.091 19.3497
59.073048 89.109 19.2312
59.501114 89.128 19.1041
59.932281 89.146 18.9692
60.366577 89.162 18.8248
60.804020 89.176 18.6763
61.244629 89.188 18.5284
61.688435 89.199 18.3822
62.135452 89.208 18.2393
62.585712 89.216 18.1032
63.039234 89.222 17.9786
63.496040 89.227 17.8642
63.956161 89.234 17.7617
64.419617 89.242 17.6662
64.886421 89.252 17.5729
65.356621 89.262 17.4822
65.830215 89.272 17.3937
66.307251 89.284 17.3042
66.787743 89.299 17.2110
67.271713 89.314 17.1122
67.759193 89.329 17.0035
68.250206 89.343 16.8892
68.744774 89.356 16.7724
69.242928 89.369 16.6532
69.744690 89.382 16.5339
70.250084 89.396 16.4112
70.759148 89.409 16.2821
71.271896 89.422 16.1483
71.788361 89.434 16.0098
72.308571 89.445 15.8683
72.832550 89.455 15.7257
73.360321 89.464 15.5813
73.891922 89.473 15.4341
74.427376 89.480 15.2863
74.966705 89.486 15.1387
75.509949 89.490 14.9943
76.057121 89.493 14.8561
76.608261 89.494 14.7243
77.163399 89.495 14.5999
77.722557 89.495 14.4832
78.285767 89.495 14.3747
78.853058 89.495 14.2742
79.424461 89.495 14.1822
80.000000 89.495 14.0982
80.579712 89.496 14.0215
81.163628 89.498 13.9521
81.751770 89.500 13.8907
82.344177 89.503 13.8341
82.940880 89.508 13.7807
83.541901 89.515 13.7271
84.147285 89.524 13.6692
84.757050 89.533 13.6081
85.371231 89.541 13.5437
85.989868 89.550 13.4761
86.612984 89.560 13.4054
87.240616 89.570 13.3321
87.872803 89.580 13.2563
88.509560 89.589 13.1802
89.150940 89.598 13.1068
89.796967 89.607 13.0342
90.447670 89.617 12.9609
91.103088 89.628 12.8872
91.763260 89.639 12.8133
92.428215 89.650 12.7372
93.097992 89.664 12.6575
93.772614 89.678 12.5712
94.452133 89.692 12.4727
95.136566 89.706 12.3672
95.825966 89.718 12.2581
96.520363 89.729 12.1462
