* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Utopia_Old_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 3:59:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Focal Utopia_Old_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Focal Utopia_Old_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 76.150 36.8190
5.036232 76.162 36.8098
5.072727 76.175 36.8000
5.109486 76.191 36.7888
5.146511 76.209 36.7760
5.183805 76.230 36.7605
5.221369 76.253 36.7440
5.259205 76.277 36.7282
5.297316 76.302 36.7120
5.335702 76.329 36.6946
5.374367 76.356 36.6770
5.413311 76.383 36.6600
5.452538 76.411 36.6430
5.492050 76.438 36.6256
5.531847 76.465 36.6080
5.571934 76.492 36.5906
5.612310 76.519 36.5730
5.652979 76.546 36.5551
5.693943 76.573 36.5370
5.735204 76.600 36.5190
5.776763 76.628 36.5010
5.818624 76.655 36.4831
5.860788 76.682 36.4650
5.903258 76.709 36.4461
5.946035 76.736 36.4270
5.989123 76.763 36.4085
6.032523 76.791 36.3900
6.076237 76.818 36.3711
6.120268 76.845 36.3520
6.164618 76.872 36.3326
6.209289 76.899 36.3130
6.254284 76.926 36.2935
6.299605 76.953 36.2740
6.345255 76.980 36.2546
6.391235 77.008 36.2350
6.437549 77.035 36.2151
6.484198 77.062 36.1950
6.531185 77.089 36.1746
6.578513 77.116 36.1540
6.626183 77.143 36.1330
6.674199 77.171 36.1120
6.722563 77.198 36.0916
6.771278 77.225 36.0710
6.820345 77.252 36.0496
6.869768 77.279 36.0280
6.919549 77.306 36.0066
6.969691 77.333 35.9850
7.020196 77.360 35.9631
7.071068 77.388 35.9410
7.122308 77.415 35.9191
7.173919 77.442 35.8970
7.225904 77.469 35.8746
7.278266 77.496 35.8520
7.331007 77.523 35.8291
7.384131 77.551 35.8060
7.437639 77.578 35.7831
7.491535 77.605 35.7600
7.545822 77.632 35.7366
7.600502 77.659 35.7130
7.655579 77.686 35.6896
7.711054 77.713 35.6660
7.766932 77.740 35.6416
7.823214 77.768 35.6170
7.879904 77.795 35.5925
7.937005 77.822 35.5680
7.994520 77.849 35.5436
8.052452 77.876 35.5190
8.110803 77.903 35.4936
8.169578 77.931 35.4680
8.228777 77.958 35.4426
8.288406 77.985 35.4170
8.348468 78.012 35.3911
8.408964 78.039 35.3650
8.469899 78.066 35.3386
8.531276 78.093 35.3120
8.593097 78.120 35.2856
8.655366 78.148 35.2590
8.718086 78.175 35.2316
8.781260 78.202 35.2040
8.844893 78.229 35.1766
8.908987 78.256 35.1490
8.973545 78.283 35.1211
9.038571 78.310 35.0930
9.104069 78.337 35.0646
9.170040 78.365 35.0360
9.236490 78.392 35.0076
9.303422 78.419 34.9790
9.370838 78.446 34.9496
9.438744 78.473 34.9200
9.507140 78.500 34.8906
9.576033 78.528 34.8610
9.645425 78.555 34.8306
9.715320 78.582 34.8000
9.785721 78.609 34.7696
9.856632 78.636 34.7390
9.928058 78.663 34.7081
10.000000 78.690 34.6770
10.072464 78.717 34.6456
10.145453 78.745 34.6140
10.218971 78.772 34.5821
10.293022 78.799 34.5500
10.367610 78.826 34.5177
10.442738 78.853 34.4850
10.518411 78.880 34.4516
10.594631 78.908 34.4180
10.671404 78.935 34.3846
10.748734 78.962 34.3510
10.826623 78.989 34.3171
10.905077 79.016 34.2830
10.984100 79.043 34.2487
11.063695 79.070 34.2140
11.143867 79.097 34.1792
11.224621 79.125 34.1440
11.305959 79.152 34.1081
11.387886 79.179 34.0720
11.470407 79.206 34.0361
11.553527 79.233 34.0000
11.637249 79.260 33.9632
11.721577 79.288 33.9260
11.806517 79.315 33.8887
11.892071 79.342 33.8510
11.978246 79.369 33.8131
12.065045 79.396 33.7750
12.152473 79.423 33.7366
12.240536 79.450 33.6980
12.329235 79.477 33.6592
12.418578 79.505 33.6200
12.508568 79.532 33.5802
12.599211 79.559 33.5400
12.690510 79.586 33.4997
12.782471 79.613 33.4590
12.875097 79.640 33.4177
12.968395 79.668 33.3760
13.062370 79.695 33.3346
13.157025 79.722 33.2930
13.252366 79.749 33.2508
13.348398 79.776 33.2080
13.445127 79.803 33.1647
13.542556 79.830 33.1210
13.640691 79.857 33.0772
13.739536 79.885 33.0330
13.839099 79.912 32.9887
13.939383 79.939 32.9440
14.040393 79.966 32.8987
14.142136 79.993 32.8530
14.244616 80.020 32.8072
14.347837 80.048 32.7610
14.451808 80.075 32.7143
14.556532 80.102 32.6670
14.662014 80.129 32.6192
14.768262 80.156 32.5711
14.875278 80.183 32.5227
14.983070 80.210 32.4741
15.091644 80.237 32.4247
15.201005 80.265 32.3750
15.311157 80.292 32.3252
15.422109 80.319 32.2750
15.533863 80.346 32.2243
15.646428 80.373 32.1730
15.759809 80.400 32.1208
15.874010 80.428 32.0680
15.989040 80.455 32.0152
16.104904 80.482 31.9620
16.221605 80.509 31.9088
16.339155 80.536 31.8551
16.457554 80.563 31.8004
16.576813 80.590 31.7450
16.696936 80.617 31.6893
16.817928 80.645 31.6330
16.939798 80.672 31.5764
17.062551 80.699 31.5191
17.186193 80.726 31.4608
17.310732 80.753 31.4020
17.436172 80.780 31.3433
17.562521 80.808 31.2840
17.689787 80.835 31.2239
17.817974 80.862 31.1631
17.947090 80.889 31.1018
18.077143 80.916 31.0400
18.208138 80.943 30.9779
18.340080 80.970 30.9151
18.472980 80.997 30.8509
18.606844 81.025 30.7860
18.741676 81.052 30.7214
18.877487 81.079 30.6561
19.014280 81.106 30.5895
19.152065 81.133 30.5221
19.290850 81.160 30.4539
19.430639 81.188 30.3850
19.571442 81.215 30.3154
19.713264 81.242 30.2451
19.856115 81.269 30.1740
20.000000 81.296 30.1021
20.144928 81.323 30.0291
20.290907 81.350 29.9551
20.437943 81.377 29.8801
20.586044 81.405 29.8041
20.735220 81.432 29.7271
20.885475 81.459 29.6491
21.036821 81.486 29.5697
21.189262 81.513 29.4891
21.342808 81.540 29.4078
21.497467 81.567 29.3251
21.653246 81.594 29.2405
21.810154 81.622 29.1541
21.968201 81.649 29.0660
22.127390 81.677 28.9751
22.287735 81.705 28.8808
22.449242 81.732 28.7821
22.611917 81.759 28.6775
22.775772 81.786 28.5671
22.940815 81.812 28.4490
23.107054 81.837 28.3272
23.274498 81.859 28.2035
23.443153 81.879 28.0822
23.613033 81.897 27.9664
23.784142 81.914 27.8601
23.956491 81.928 27.7678
24.130091 81.942 27.6901
24.304947 81.956 27.6302
24.481071 81.972 27.5850
24.658470 81.990 27.5537
24.837156 82.010 27.5330
25.017136 82.032 27.5220
25.198421 82.058 27.5130
25.381020 82.089 27.5002
25.564941 82.124 27.4770
25.750195 82.161 27.4346
25.936790 82.199 27.3741
26.124741 82.238 27.2942
26.314051 82.277 27.1942
26.504732 82.317 27.0712
26.696796 82.355 26.9292
26.890253 82.389 26.7686
27.085112 82.420 26.5972
27.281382 82.448 26.4215
27.479073 82.473 26.2452
27.678198 82.495 26.0744
27.878765 82.516 25.9092
28.080786 82.535 25.7521
28.284271 82.553 25.6032
28.489231 82.570 25.4639
28.695675 82.587 25.3322
28.903616 82.606 25.2078
29.113064 82.625 25.0872
29.324028 82.645 24.9670
29.536524 82.665 24.8461
29.750557 82.685 24.7217
29.966141 82.705 24.5961
30.183289 82.724 24.4708
30.402010 82.742 24.3462
30.622314 82.760 24.2234
30.844217 82.778 24.1021
31.067726 82.796 23.9822
31.292856 82.813 23.8642
31.519617 82.830 23.7485
31.748020 82.847 23.6361
31.978081 82.864 23.5289
32.209808 82.881 23.4251
32.443211 82.899 23.3241
32.678310 82.918 23.2241
32.915108 82.937 23.1234
33.153625 82.957 23.0211
33.393871 82.978 22.9162
33.635857 82.999 22.8082
33.879597 83.020 22.6963
34.125103 83.042 22.5802
34.372387 83.063 22.4594
34.621464 83.085 22.3332
34.872345 83.107 22.2003
35.125042 83.128 22.0622
35.379574 83.148 21.9197
35.635948 83.166 21.7742
35.894180 83.184 21.6269
36.154285 83.200 21.4792
36.416275 83.215 21.3326
36.680161 83.229 21.1882
36.945961 83.242 21.0471
37.213688 83.254 20.9112
37.483353 83.265 20.7824
37.754974 83.275 20.6612
38.028561 83.285 20.5488
38.304131 83.295 20.4451
38.581699 83.306 20.3506
38.861279 83.317 20.2651
39.142883 83.329 20.1897
39.426529 83.343 20.1211
39.712231 83.360 20.0587
40.000000 83.379 19.9961
40.289856 83.402 19.9287
40.581814 83.427 19.8511
40.875885 83.455 19.7570
41.172089 83.484 19.6442
41.470440 83.514 19.5074
41.770950 83.543 19.3493
42.073643 83.570 19.1689
42.378525 83.594 18.9723
42.685616 83.614 18.7628
42.994934 83.631 18.5473
43.306492 83.643 18.3318
43.620308 83.652 18.1223
43.936401 83.657 17.9265
44.254780 83.660 17.7453
44.575470 83.662 17.5829
44.898483 83.663 17.4372
45.223835 83.664 17.3082
45.551544 83.667 17.1932
45.881630 83.672 17.0912
46.214108 83.678 16.9971
46.548996 83.687 16.9066
46.886307 83.697 16.8161
47.226067 83.709 16.7207
47.568283 83.722 16.6202
47.912983 83.736 16.5124
48.260181 83.750 16.3982
48.609894 83.763 16.2766
48.962143 83.775 16.1512
49.316940 83.786 16.0246
49.674313 83.796 15.8992
50.034271 83.805 15.7787
50.396843 83.814 15.6622
50.762039 83.824 15.5511
51.129883 83.834 15.4422
51.500389 83.846 15.3336
51.873581 83.859 15.2222
52.249481 83.872 15.1042
52.628101 83.886 14.9802
53.009464 83.899 14.8488
53.393593 83.911 14.7122
53.780506 83.922 14.5710
54.170223 83.931 14.4292
54.562763 83.938 14.2902
54.958145 83.944 14.1562
55.356396 83.949 14.0309
55.757530 83.955 13.9132
56.161572 83.961 13.8040
56.568542 83.968 13.7002
56.978462 83.976 13.6000
57.391350 83.986 13.5002
57.807232 83.997 13.3975
58.226128 84.008 13.2902
58.648056 84.020 13.1751
59.073048 84.033 13.0532
59.501114 84.045 12.9236
59.932281 84.056 12.7892
60.366577 84.066 12.6518
60.804020 84.074 12.5142
61.244629 84.081 12.3794
61.688435 84.087 12.2492
62.135452 84.092 12.1270
62.585712 84.097 12.0112
63.039234 84.103 11.9030
63.496040 84.111 11.7982
63.956161 84.120 11.6940
64.419617 84.131 11.5872
64.886421 84.143 11.4743
65.356621 84.156 11.3532
65.830215 84.170 11.2204
66.307251 84.183 11.0773
66.787743 84.195 10.9233
67.271713 84.206 10.7613
67.759193 84.215 10.5929
68.250206 84.223 10.4213
68.744774 84.228 10.2498
69.242928 84.232 10.0803
69.744690 84.234 9.9162
70.250084 84.235 9.7573
70.759148 84.236 9.6046
71.271896 84.236 9.4573
71.788361 84.236 9.3151
72.308571 84.236 9.1773
72.832550 84.236 9.0432
73.360321 84.236 8.9122
73.891922 84.236 8.7836
74.427376 84.236 8.6572
74.966705 84.236 8.5333
75.509949 84.236 8.4112
76.057121 84.236 8.2904
76.608261 84.236 8.1712
77.163399 84.236 8.0541
77.722557 84.236 7.9382
78.285767 84.236 7.8232
78.853058 84.236 7.7092
79.424461 84.236 7.5967
80.000000 84.236 7.4852
80.579712 84.236 7.3748
81.163628 84.236 7.2652
81.751770 84.236 7.1563
82.344177 84.236 7.0482
82.940880 84.236 6.9413
83.541901 84.236 6.8352
84.147285 84.236 6.7295
84.757050 84.236 6.6242
85.371231 84.236 6.5195
85.989868 84.236 6.4152
86.612984 84.236 6.3115
87.240616 84.236 6.2082
87.872803 84.236 6.1055
88.509560 84.236 6.0032
89.150940 84.236 5.9015
89.796967 84.236 5.8002
90.447670 84.236 5.6992
91.103088 84.236 5.5982
91.763260 84.236 5.4971
92.428215 84.236 5.3962
93.097992 84.236 5.2956
93.772614 84.236 5.1952
94.452133 84.236 5.0947
95.136566 84.236 4.9942
95.825966 84.236 4.8938
96.520363 84.236 4.7932
