* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\goldplanar gl1200_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:11:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\goldplanar gl1200_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: goldplanar gl1200_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 81.001 33.4260
5.036232 81.013 33.4130
5.072727 81.025 33.3990
5.109486 81.039 33.3826
5.146511 81.056 33.3640
5.183805 81.076 33.3424
5.221369 81.098 33.3190
5.259205 81.121 33.2950
5.297316 81.145 33.2700
5.335702 81.170 33.2438
5.374367 81.196 33.2170
5.413311 81.221 33.1900
5.452538 81.247 33.1630
5.492050 81.272 33.1366
5.531847 81.298 33.1100
5.571934 81.324 33.0826
5.612310 81.350 33.0550
5.652979 81.376 33.0276
5.693943 81.401 33.0000
5.735204 81.427 32.9721
5.776763 81.452 32.9440
5.818624 81.478 32.9156
5.860788 81.503 32.8870
5.903258 81.528 32.8581
5.946035 81.554 32.8290
5.989123 81.580 32.8001
6.032523 81.606 32.7710
6.076237 81.632 32.7417
6.120268 81.657 32.7120
6.164618 81.682 32.6816
6.209289 81.708 32.6510
6.254284 81.733 32.6205
6.299605 81.759 32.5900
6.345255 81.785 32.5596
6.391235 81.811 32.5290
6.437549 81.837 32.4977
6.484198 81.862 32.4660
6.531185 81.887 32.4341
6.578513 81.913 32.4020
6.626183 81.938 32.3696
6.674199 81.964 32.3370
6.722563 81.990 32.3046
6.771278 82.016 32.2720
6.820345 82.042 32.2386
6.869768 82.067 32.2050
6.919549 82.092 32.1716
6.969691 82.118 32.1380
7.020196 82.143 32.1037
7.071068 82.169 32.0690
7.122308 82.194 32.0341
7.173919 82.220 31.9990
7.225904 82.246 31.9641
7.278266 82.272 31.9290
7.331007 82.298 31.8932
7.384131 82.323 31.8570
7.437639 82.348 31.8206
7.491535 82.374 31.7840
7.545822 82.399 31.7471
7.600502 82.425 31.7100
7.655579 82.451 31.6726
7.711054 82.477 31.6350
7.766932 82.503 31.5971
7.823214 82.528 31.5590
7.879904 82.553 31.5207
7.937005 82.579 31.4820
7.994520 82.604 31.4426
8.052452 82.630 31.4030
8.110803 82.655 31.3636
8.169578 82.681 31.3240
8.228777 82.707 31.2838
8.288406 82.733 31.2430
8.348468 82.759 31.2016
8.408964 82.784 31.1600
8.469899 82.809 31.1186
8.531276 82.835 31.0770
8.593097 82.860 31.0347
8.655366 82.886 30.9920
8.718086 82.912 30.9492
8.781260 82.938 30.9060
8.844893 82.964 30.8621
8.908987 82.989 30.8180
8.973545 83.014 30.7742
9.038571 83.040 30.7300
9.104069 83.065 30.6848
9.170040 83.091 30.6390
9.236490 83.117 30.5931
9.303422 83.143 30.5470
9.370838 83.169 30.5006
9.438744 83.194 30.4540
9.507140 83.219 30.4073
9.576033 83.245 30.3600
9.645425 83.270 30.3117
9.715320 83.296 30.2630
9.785721 83.321 30.2147
9.856632 83.347 30.1660
9.928058 83.373 30.1162
10.000000 83.399 30.0660
10.072464 83.425 30.0162
10.145453 83.450 29.9661
10.218971 83.475 29.9148
10.293022 83.501 29.8630
10.367610 83.526 29.8112
10.442738 83.552 29.7590
10.518411 83.578 29.7063
10.594631 83.604 29.6530
10.671404 83.630 29.5992
10.748734 83.655 29.5450
10.826623 83.680 29.4908
10.905077 83.706 29.4360
10.984100 83.731 29.3803
11.063695 83.757 29.3240
11.143867 83.782 29.2677
11.224621 83.808 29.2110
11.305959 83.834 29.1538
11.387886 83.860 29.0960
11.470407 83.886 29.0378
11.553527 83.911 28.9790
11.637249 83.936 28.9198
11.721577 83.962 28.8601
11.806517 83.987 28.7998
11.892071 84.013 28.7391
11.978246 84.039 28.6778
12.065045 84.065 28.6160
12.152473 84.091 28.5533
12.240536 84.116 28.4900
12.329235 84.141 28.4268
12.418578 84.167 28.3631
12.508568 84.192 28.2984
12.599211 84.218 28.2330
12.690510 84.244 28.1673
12.782471 84.270 28.1011
12.875097 84.296 28.0344
12.968395 84.321 27.9670
13.062370 84.346 27.8988
13.157025 84.372 27.8300
13.252366 84.397 27.7608
13.348398 84.423 27.6911
13.445127 84.448 27.6204
13.542556 84.474 27.5491
13.640691 84.500 27.4769
13.739536 84.526 27.4040
13.839099 84.552 27.3308
13.939383 84.577 27.2571
14.040393 84.602 27.1829
14.142136 84.628 27.1080
14.244616 84.653 27.0320
14.347837 84.679 26.9550
14.451808 84.705 26.8773
14.556532 84.731 26.7990
14.662014 84.757 26.7204
14.768262 84.782 26.6411
14.875278 84.807 26.5605
14.983070 84.833 26.4791
15.091644 84.858 26.3969
15.201005 84.884 26.3141
15.311157 84.910 26.2304
15.422109 84.936 26.1461
15.533863 84.962 26.0610
15.646428 84.987 25.9750
15.759809 85.012 25.8881
15.874010 85.038 25.8001
15.989040 85.063 25.7110
16.104904 85.089 25.6211
16.221605 85.114 25.5306
16.339155 85.140 25.4391
16.457554 85.166 25.3461
16.576813 85.192 25.2521
16.696936 85.218 25.1575
16.817928 85.243 25.0621
16.939798 85.268 24.9657
17.062551 85.294 24.8681
17.186193 85.319 24.7692
17.310732 85.345 24.6691
17.436172 85.371 24.5681
17.562521 85.397 24.4661
17.689787 85.423 24.3627
17.817974 85.448 24.2581
17.947090 85.473 24.1522
18.077143 85.499 24.0451
18.208138 85.524 23.9368
18.340080 85.550 23.8271
18.472980 85.575 23.7160
18.606844 85.601 23.6031
18.741676 85.627 23.4879
18.877487 85.653 23.3711
19.014280 85.678 23.2531
19.152065 85.703 23.1341
19.290850 85.728 23.0142
19.430639 85.752 22.8951
19.571442 85.775 22.7785
19.713264 85.799 22.6651
19.856115 85.823 22.5574
20.000000 85.848 22.4521
20.144928 85.875 22.3480
20.290907 85.904 22.2411
20.437943 85.934 22.1270
20.586044 85.966 22.0051
20.735220 85.998 21.8744
20.885475 86.031 21.7322
21.036821 86.065 21.5743
21.189262 86.099 21.4032
21.342808 86.130 21.2180
21.497467 86.160 21.0242
21.653246 86.188 20.8275
21.810154 86.215 20.6273
21.968201 86.242 20.4253
22.127390 86.268 20.2202
22.287735 86.294 20.0120
22.449242 86.321 19.7982
22.611917 86.348 19.5782
22.775772 86.375 19.3463
22.940815 86.403 19.0965
23.107054 86.431 18.8284
23.274498 86.456 18.5381
23.443153 86.479 18.2294
23.613033 86.497 17.9028
23.784142 86.511 17.5643
23.956491 86.519 17.2167
24.130091 86.520 16.8704
24.304947 86.514 16.5334
24.481071 86.502 16.2154
24.658470 86.483 15.9269
24.837156 86.460 15.6733
25.017136 86.433 15.4630
25.198421 86.405 15.2971
25.381020 86.376 15.1814
25.564941 86.348 15.1110
25.750195 86.324 15.0859
25.936790 86.304 15.0980
26.124741 86.290 15.1417
26.314051 86.283 15.2089
26.504732 86.283 15.2925
26.696796 86.290 15.3829
26.890253 86.305 15.4700
27.085112 86.327 15.5479
27.281382 86.355 15.6094
27.479073 86.388 15.6480
27.678198 86.428 15.6557
27.878765 86.471 15.6301
28.080786 86.516 15.5652
28.284271 86.562 15.4632
28.489231 86.608 15.3231
28.695675 86.653 15.1473
28.903616 86.696 14.9363
29.113064 86.737 14.6944
29.324028 86.774 14.4245
29.536524 86.808 14.1314
29.750557 86.837 13.8195
29.966141 86.863 13.4924
30.183289 86.885 13.1543
30.402010 86.902 12.8074
30.622314 86.915 12.4542
30.844217 86.924 12.0984
31.067726 86.928 11.7424
31.292856 86.927 11.3925
31.519617 86.921 11.0543
31.748020 86.910 10.7324
31.978081 86.896 10.4327
32.209808 86.879 10.1563
32.443211 86.861 9.9076
32.678310 86.843 9.6833
32.915108 86.825 9.4829
33.153625 86.808 9.3022
33.393871 86.793 9.1392
33.635857 86.781 8.9872
33.879597 86.772 8.8408
34.125103 86.765 8.6942
34.372387 86.760 8.5402
34.621464 86.757 8.3773
34.872345 86.754 8.2002
35.125042 86.751 8.0122
35.379574 86.745 7.8133
35.635948 86.737 7.6082
35.894180 86.726 7.4000
36.154285 86.711 7.1943
36.416275 86.693 6.9965
36.680161 86.673 6.8103
36.945961 86.650 6.6396
37.213688 86.624 6.4882
37.483353 86.597 6.3617
37.754974 86.570 6.2581
38.028561 86.544 6.1790
38.304131 86.519 6.1191
38.581699 86.497 6.0746
38.861279 86.477 6.0430
39.142883 86.459 6.0213
39.426529 86.442 6.0080
39.712231 86.428 6.0017
40.000000 86.416 6.0000
40.289856 86.407 6.0002
40.581814 86.399 6.0020
40.875885 86.392 6.0038
41.172089 86.387 6.0070
41.470440 86.383 6.0139
41.770950 86.382 6.0200
42.073643 86.384 6.0226
42.378525 86.388 6.0180
42.685616 86.395 6.0023
42.994934 86.403 5.9741
43.306492 86.413 5.9314
43.620308 86.424 5.8711
43.936401 86.436 5.7886
44.254780 86.448 5.6852
44.575470 86.458 5.5599
44.898483 86.466 5.4152
45.223835 86.472 5.2517
45.551544 86.475 5.0743
45.881630 86.473 4.8855
46.214108 86.466 4.6933
46.548996 86.453 4.5038
46.886307 86.436 4.3243
47.226067 86.414 4.1627
47.568283 86.389 4.0232
47.912983 86.360 3.9117
48.260181 86.329 3.8311
48.609894 86.296 3.7870
48.962143 86.264 3.7770
49.316940 86.234 3.8021
49.674313 86.207 3.8569
50.034271 86.184 3.9380
50.396843 86.165 4.0398
50.762039 86.151 4.1576
51.129883 86.141 4.2858
51.500389 86.137 4.4196
51.873581 86.139 4.5518
52.249481 86.147 4.6750
52.628101 86.159 4.7848
53.009464 86.175 4.8751
53.393593 86.194 4.9439
53.780506 86.216 4.9874
54.170223 86.240 5.0050
54.562763 86.264 4.9934
54.958145 86.287 4.9571
55.356396 86.309 4.8985
55.757530 86.329 4.8211
56.161572 86.347 4.7282
56.568542 86.364 4.6222
56.978462 86.379 4.5052
57.391350 86.391 4.3812
57.807232 86.400 4.2549
58.226128 86.408 4.1262
58.648056 86.415 3.9970
59.073048 86.422 3.8662
59.501114 86.427 3.7330
59.932281 86.431 3.5992
60.366577 86.433 3.4662
60.804020 86.434 3.3342
61.244629 86.435 3.2047
61.688435 86.436 3.0762
62.135452 86.436 2.9480
62.585712 86.436 2.8192
63.039234 86.436 2.6890
63.496040 86.435 2.5562
63.956161 86.434 2.4196
64.419617 86.432 2.2793
64.886421 86.430 2.1345
65.356621 86.426 1.9873
65.830215 86.421 1.8392
66.307251 86.414 1.6903
66.787743 86.406 1.5410
67.271713 86.397 1.3923
67.759193 86.386 1.2446
68.250206 86.374 1.1003
68.744774 86.360 0.9619
69.242928 86.346 0.8282
69.744690 86.331 0.6985
70.250084 86.316 0.5732
70.759148 86.299 0.4526
71.271896 86.281 0.3372
71.788361 86.262 0.2281
72.308571 86.243 0.1242
72.832550 86.223 0.0238
73.360321 86.203 -0.0708
73.891922 86.181 -0.1578
74.427376 86.159 -0.2379
74.966705 86.137 -0.3106
75.509949 86.115 -0.3769
76.057121 86.092 -0.4375
76.608261 86.069 -0.4919
77.163399 86.046 -0.5397
77.722557 86.022 -0.5809
78.285767 85.998 -0.6146
78.853058 85.975 -0.6429
79.424461 85.952 -0.6682
80.000000 85.929 -0.6900
80.579712 85.905 -0.7092
81.163628 85.881 -0.7240
81.751770 85.856 -0.7329
82.344177 85.831 -0.7360
82.940880 85.805 -0.7336
83.541901 85.779 -0.7240
84.147285 85.751 -0.7062
84.757050 85.723 -0.6781
85.371231 85.694 -0.6375
85.989868 85.664 -0.5841
86.612984 85.635 -0.5164
87.240616 85.606 -0.4352
87.872803 85.578 -0.3401
88.509560 85.551 -0.2332
89.150940 85.526 -0.1169
89.796967 85.501 0.0097
90.447670 85.476 0.1469
91.103088 85.452 0.2947
91.763260 85.430 0.4537
92.428215 85.409 0.6226
93.097992 85.390 0.7993
93.772614 85.371 0.9866
94.452133 85.353 1.1876
95.136566 85.336 1.4005
