* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Goldplanar GL2000_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:16:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Goldplanar GL2000_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Goldplanar GL2000_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 82.935 16.0170
5.036232 82.940 16.0141
5.072727 82.946 16.0110
5.109486 82.952 16.0077
5.146511 82.960 16.0040
5.183805 82.969 15.9997
5.221369 82.979 15.9950
5.259205 82.989 15.9901
5.297316 83.000 15.9850
5.335702 83.011 15.9800
5.374367 83.023 15.9750
5.413311 83.035 15.9699
5.452538 83.046 15.9650
5.492050 83.057 15.9605
5.531847 83.069 15.9560
5.571934 83.081 15.9511
5.612310 83.093 15.9460
5.652979 83.105 15.9410
5.693943 83.116 15.9360
5.735204 83.127 15.9310
5.776763 83.139 15.9260
5.818624 83.150 15.9211
5.860788 83.162 15.9160
5.903258 83.174 15.9105
5.946035 83.185 15.9050
5.989123 83.196 15.8999
6.032523 83.208 15.8950
6.076237 83.220 15.8901
6.120268 83.232 15.8850
6.164618 83.244 15.8796
6.209289 83.255 15.8740
6.254284 83.266 15.8685
6.299605 83.278 15.8630
6.345255 83.289 15.8575
6.391235 83.301 15.8520
6.437549 83.312 15.8465
6.484198 83.324 15.8410
6.531185 83.335 15.8356
6.578513 83.347 15.8300
6.626183 83.358 15.8240
6.674199 83.370 15.8180
6.722563 83.382 15.8125
6.771278 83.394 15.8070
6.820345 83.406 15.8011
6.869768 83.417 15.7950
6.919549 83.428 15.7890
6.969691 83.440 15.7830
7.020196 83.451 15.7770
7.071068 83.463 15.7710
7.122308 83.474 15.7650
7.173919 83.486 15.7590
7.225904 83.497 15.7530
7.278266 83.509 15.7470
7.331007 83.520 15.7411
7.384131 83.532 15.7350
7.437639 83.544 15.7286
7.491535 83.556 15.7220
7.545822 83.568 15.7155
7.600502 83.579 15.7090
7.655579 83.590 15.7025
7.711054 83.602 15.6960
7.766932 83.613 15.6895
7.823214 83.625 15.6830
7.879904 83.636 15.6766
7.937005 83.648 15.6700
7.994520 83.659 15.6630
8.052452 83.671 15.6560
8.110803 83.682 15.6495
8.169578 83.694 15.6430
8.228777 83.706 15.6361
8.288406 83.718 15.6290
8.348468 83.730 15.6220
8.408964 83.741 15.6150
8.469899 83.752 15.6081
8.531276 83.764 15.6010
8.593097 83.775 15.5935
8.655366 83.787 15.5860
8.718086 83.798 15.5790
8.781260 83.810 15.5720
8.844893 83.821 15.5646
8.908987 83.833 15.5570
8.973545 83.844 15.5495
9.038571 83.856 15.5420
9.104069 83.868 15.5346
9.170040 83.880 15.5270
9.236490 83.892 15.5190
9.303422 83.903 15.5110
9.370838 83.914 15.5035
9.438744 83.926 15.4960
9.507140 83.937 15.4881
9.576033 83.949 15.4800
9.645425 83.960 15.4720
9.715320 83.972 15.4640
9.785721 83.983 15.4561
9.856632 83.995 15.4480
9.928058 84.007 15.4395
10.000000 84.019 15.4310
10.072464 84.031 15.4230
10.145453 84.042 15.4150
10.218971 84.053 15.4066
10.293022 84.065 15.3980
10.367610 84.076 15.3896
10.442738 84.088 15.3810
10.518411 84.099 15.3720
10.594631 84.111 15.3630
10.671404 84.122 15.3545
10.748734 84.134 15.3460
10.826623 84.145 15.3371
10.905077 84.157 15.3280
10.984100 84.169 15.3190
11.063695 84.181 15.3100
11.143867 84.193 15.3010
11.224621 84.204 15.2920
11.305959 84.215 15.2831
11.387886 84.227 15.2740
11.470407 84.238 15.2645
11.553527 84.250 15.2550
11.637249 84.261 15.2460
11.721577 84.273 15.2370
11.806517 84.284 15.2276
11.892071 84.296 15.2180
11.978246 84.307 15.2080
12.065045 84.319 15.1980
12.152473 84.331 15.1885
12.240536 84.343 15.1790
12.329235 84.355 15.1690
12.418578 84.366 15.1590
12.508568 84.377 15.1495
12.599211 84.389 15.1400
12.690510 84.400 15.1301
12.782471 84.412 15.1200
12.875097 84.423 15.1095
12.968395 84.435 15.0990
13.062370 84.446 15.0890
13.157025 84.458 15.0790
13.252366 84.469 15.0685
13.348398 84.481 15.0580
13.445127 84.493 15.0480
13.542556 84.505 15.0380
13.640691 84.517 15.0276
13.739536 84.528 15.0170
13.839099 84.539 15.0065
13.939383 84.551 14.9960
14.040393 84.562 14.9855
14.142136 84.574 14.9750
14.244616 84.585 14.9646
14.347837 84.597 14.9540
14.451808 84.608 14.9430
14.556532 84.620 14.9320
14.662014 84.631 14.9215
14.768262 84.643 14.9110
14.875278 84.655 14.9000
14.983070 84.667 14.8890
15.091644 84.679 14.8784
15.201005 84.690 14.8680
15.311157 84.701 14.8576
15.422109 84.713 14.8470
15.533863 84.724 14.8360
15.646428 84.736 14.8250
15.759809 84.747 14.8144
15.874010 84.759 14.8040
15.989040 84.770 14.7934
16.104904 84.782 14.7830
16.221605 84.794 14.7729
16.339155 84.806 14.7630
16.457554 84.818 14.7530
16.576813 84.829 14.7430
16.696936 84.840 14.7329
16.817928 84.852 14.7230
16.939798 84.863 14.7139
17.062551 84.875 14.7050
17.186193 84.886 14.6959
17.310732 84.898 14.6870
17.436172 84.909 14.6788
17.562521 84.921 14.6710
17.689787 84.932 14.6633
17.817974 84.944 14.6560
17.947090 84.956 14.6496
18.077143 84.968 14.6440
18.208138 84.980 14.6391
18.340080 84.991 14.6350
18.472980 85.002 14.6314
18.606844 85.014 14.6290
18.741676 85.025 14.6286
18.877487 85.037 14.6300
19.014280 85.048 14.6326
19.152065 85.060 14.6380
19.290850 85.071 14.6474
19.430639 85.083 14.6610
19.571442 85.095 14.6795
19.713264 85.108 14.7030
19.856115 85.122 14.7326
20.000000 85.137 14.7660
20.144928 85.154 14.8029
20.290907 85.174 14.8380
20.437943 85.197 14.8662
20.586044 85.222 14.8860
20.735220 85.247 14.8942
20.885475 85.274 14.8900
21.036821 85.303 14.8725
21.189262 85.332 14.8391
21.342808 85.361 14.7858
21.497467 85.390 14.7161
21.653246 85.416 14.6316
21.810154 85.441 14.5341
21.968201 85.464 14.4256
22.127390 85.485 14.3081
22.287735 85.504 14.1834
22.449242 85.520 14.0551
22.611917 85.533 13.9269
22.775772 85.543 13.8002
22.940815 85.552 13.6763
23.107054 85.559 13.5592
23.274498 85.562 13.4524
23.443153 85.564 13.3571
23.613033 85.565 13.2759
23.784142 85.566 13.2081
23.956491 85.567 13.1541
24.130091 85.568 13.1130
24.304947 85.569 13.0848
24.481071 85.572 13.0670
24.658470 85.577 13.0581
24.837156 85.583 13.0550
25.017136 85.591 13.0544
25.198421 85.601 13.0550
25.381020 85.612 13.0547
25.564941 85.624 13.0530
25.750195 85.638 13.0497
25.936790 85.653 13.0420
26.124741 85.670 13.0263
26.314051 85.687 13.0050
26.504732 85.703 12.9792
26.696796 85.719 12.9490
26.890253 85.738 12.9169
27.085112 85.758 12.8780
27.281382 85.778 12.8284
27.479073 85.799 12.7681
27.678198 85.820 12.6958
27.878765 85.841 12.6111
28.080786 85.862 12.5129
28.284271 85.881 12.4022
28.489231 85.899 12.2780
28.695675 85.914 12.1452
28.903616 85.927 12.0074
29.113064 85.937 11.8672
29.324028 85.945 11.7271
29.536524 85.951 11.5902
29.750557 85.954 11.4605
29.966141 85.955 11.3381
30.183289 85.956 11.2253
30.402010 85.957 11.1201
30.622314 85.957 11.0220
30.844217 85.957 10.9301
31.067726 85.957 10.8437
31.292856 85.957 10.7621
31.519617 85.957 10.6849
31.748020 85.957 10.6111
31.978081 85.957 10.5398
32.209808 85.957 10.4711
32.443211 85.957 10.4046
32.678310 85.957 10.3401
32.915108 85.957 10.2772
33.153625 85.957 10.2151
33.393871 85.957 10.1527
33.635857 85.957 10.0901
33.879597 85.956 10.0266
34.125103 85.955 9.9631
34.372387 85.953 9.8992
34.621464 85.949 9.8381
34.872345 85.943 9.7811
35.125042 85.936 9.7331
35.379574 85.927 9.6993
35.635948 85.918 9.6800
35.894180 85.909 9.6772
36.154285 85.901 9.6900
36.416275 85.893 9.7191
36.680161 85.887 9.7619
36.945961 85.884 9.8187
37.213688 85.885 9.8809
37.483353 85.891 9.9406
37.754974 85.899 9.9959
38.028561 85.908 10.0429
38.304131 85.920 10.0800
38.581699 85.934 10.1052
38.861279 85.950 10.1160
39.142883 85.966 10.1078
39.426529 85.981 10.0850
39.712231 85.995 10.0501
40.000000 86.007 10.0051
40.289856 86.018 9.9527
40.581814 86.028 9.8941
40.875885 86.036 9.8302
41.172089 86.043 9.7641
41.470440 86.048 9.6988
41.770950 86.051 9.6361
42.073643 86.053 9.5791
42.378525 86.054 9.5271
42.685616 86.055 9.4805
42.994934 86.055 9.4391
43.306492 86.055 9.4028
43.620308 86.055 9.3710
43.936401 86.055 9.3434
44.254780 86.055 9.3190
44.575470 86.055 9.2971
44.898483 86.055 9.2780
45.223835 86.055 9.2621
45.551544 86.055 9.2490
45.881630 86.055 9.2387
46.214108 86.055 9.2310
46.548996 86.055 9.2257
46.886307 86.055 9.2230
47.226067 86.055 9.2229
47.568283 86.055 9.2260
47.912983 86.055 9.2327
48.260181 86.055 9.2430
48.609894 86.055 9.2562
48.962143 86.055 9.2740
49.316940 86.055 9.2980
49.674313 86.055 9.3279
50.034271 86.056 9.3639
50.396843 86.057 9.4059
50.762039 86.059 9.4550
51.129883 86.062 9.5089
51.500389 86.068 9.5671
51.873581 86.076 9.6259
52.249481 86.085 9.6810
52.628101 86.096 9.7329
53.009464 86.107 9.7810
53.393593 86.119 9.8249
53.780506 86.132 9.8648
54.170223 86.147 9.8980
54.562763 86.162 9.9203
54.958145 86.178 9.9360
55.356396 86.192 9.9474
55.757530 86.206 9.9550
56.161572 86.221 9.9607
56.568542 86.237 9.9620
56.978462 86.253 9.9567
57.391350 86.268 9.9460
57.807232 86.283 9.9297
58.226128 86.298 9.9100
58.648056 86.311 9.8901
59.073048 86.325 9.8680
59.501114 86.340 9.8434
59.932281 86.355 9.8151
60.366577 86.369 9.7805
60.804020 86.383 9.7431
61.244629 86.396 9.7053
61.688435 86.408 9.6671
62.135452 86.420 9.6299
62.585712 86.433 9.5911
63.039234 86.447 9.5476
63.496040 86.460 9.5011
63.956161 86.472 9.4514
64.419617 86.484 9.4001
64.886421 86.495 9.3490
65.356621 86.507 9.2971
65.830215 86.519 9.2449
66.307251 86.531 9.1901
66.787743 86.544 9.1307
67.271713 86.557 9.0661
67.759193 86.569 8.9946
68.250206 86.580 8.9181
68.744774 86.591 8.8383
69.242928 86.601 8.7542
69.744690 86.611 8.6651
70.250084 86.620 8.5722
70.759148 86.627 8.4751
71.271896 86.633 8.3772
71.788361 86.636 8.2809
72.308571 86.638 8.1882
72.832550 86.640 8.1024
73.360321 86.641 8.0221
73.891922 86.641 7.9471
74.427376 86.641 7.8771
74.966705 86.641 7.8121
75.509949 86.641 7.7511
76.057121 86.641 7.6932
76.608261 86.641 7.6381
77.163399 86.641 7.5850
77.722557 86.641 7.5341
78.285767 86.641 7.4856
78.853058 86.641 7.4391
79.424461 86.641 7.3943
80.000000 86.641 7.3511
80.579712 86.641 7.3093
81.163628 86.641 7.2691
81.751770 86.641 7.2305
82.344177 86.641 7.1931
82.940880 86.641 7.1564
83.541901 86.641 7.1211
84.147285 86.641 7.0875
84.757050 86.641 7.0551
85.371231 86.641 7.0231
85.989868 86.641 6.9921
86.612984 86.641 6.9626
87.240616 86.641 6.9341
87.872803 86.641 6.9061
88.509560 86.641 6.8791
89.150940 86.641 6.8536
89.796967 86.641 6.8291
90.447670 86.641 6.8046
91.103088 86.641 6.7810
91.763260 86.641 6.7591
92.428215 86.641 6.7380
93.097992 86.641 6.7172
93.772614 86.641 6.6970
94.452133 86.641 6.6781
95.136566 86.641 6.6600
95.825966 86.641 6.6427
96.520363 86.641 6.6260
