* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Grado Hemp_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:19:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Grado Hemp_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Grado Hemp_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 62.312 103.6650
5.036232 62.346 103.6437
5.072727 62.383 103.6210
5.109486 62.426 103.5952
5.146511 62.475 103.5660
5.183805 62.534 103.5315
5.221369 62.599 103.4950
5.259205 62.666 103.4599
5.297316 62.736 103.4240
5.335702 62.810 103.3853
5.374367 62.886 103.3460
5.413311 62.961 103.3084
5.452538 63.037 103.2710
5.492050 63.112 103.2331
5.531847 63.188 103.1950
5.571934 63.263 103.1566
5.612310 63.339 103.1180
5.652979 63.414 103.0796
5.693943 63.490 103.0410
5.735204 63.565 103.0016
5.776763 63.641 102.9620
5.818624 63.716 102.9226
5.860788 63.792 102.8830
5.903258 63.867 102.8426
5.946035 63.943 102.8020
5.989123 64.019 102.7616
6.032523 64.094 102.7210
6.076237 64.169 102.6796
6.120268 64.244 102.6380
6.164618 64.319 102.5966
6.209289 64.395 102.5550
6.254284 64.470 102.5127
6.299605 64.546 102.4700
6.345255 64.621 102.4271
6.391235 64.697 102.3840
6.437549 64.772 102.3407
6.484198 64.848 102.2970
6.531185 64.923 102.2526
6.578513 64.999 102.2080
6.626183 65.074 102.1636
6.674199 65.150 102.1190
6.722563 65.225 102.0737
6.771278 65.301 102.0280
6.820345 65.376 101.9821
6.869768 65.452 101.9360
6.919549 65.528 101.8897
6.969691 65.603 101.8430
7.020196 65.678 101.7957
7.071068 65.753 101.7480
7.122308 65.828 101.7001
7.173919 65.904 101.6520
7.225904 65.979 101.6037
7.278266 66.055 101.5550
7.331007 66.130 101.5057
7.384131 66.206 101.4560
7.437639 66.281 101.4061
7.491535 66.357 101.3560
7.545822 66.432 101.3057
7.600502 66.508 101.2550
7.655579 66.583 101.2037
7.711054 66.659 101.1520
7.766932 66.734 101.1002
7.823214 66.810 101.0480
7.879904 66.885 100.9952
7.937005 66.961 100.9420
7.994520 67.037 100.8887
8.052452 67.112 100.8350
8.110803 67.187 100.7808
8.169578 67.262 100.7260
8.228777 67.337 100.6707
8.288406 67.413 100.6150
8.348468 67.488 100.5592
8.408964 67.564 100.5030
8.469899 67.639 100.4462
8.531276 67.715 100.3890
8.593097 67.790 100.3317
8.655366 67.866 100.2740
8.718086 67.941 100.2158
8.781260 68.017 100.1570
8.844893 68.092 100.0978
8.908987 68.168 100.0380
8.973545 68.243 99.9777
9.038571 68.319 99.9170
9.104069 68.394 99.8562
9.170040 68.470 99.7950
9.236490 68.546 99.7333
9.303422 68.621 99.6710
9.370838 68.696 99.6083
9.438744 68.771 99.5450
9.507140 68.846 99.4813
9.576033 68.922 99.4170
9.645425 68.997 99.3522
9.715320 69.073 99.2870
9.785721 69.148 99.2218
9.856632 69.224 99.1560
9.928058 69.299 99.0893
10.000000 69.375 99.0220
10.072464 69.450 98.9542
10.145453 69.526 98.8861
10.218971 69.601 98.8178
10.293022 69.677 98.7490
10.367610 69.753 98.6793
10.442738 69.828 98.6090
10.518411 69.903 98.5383
10.594631 69.979 98.4670
10.671404 70.055 98.3953
10.748734 70.130 98.3230
10.826623 70.205 98.2503
10.905077 70.280 98.1771
10.984100 70.355 98.1028
11.063695 70.431 98.0280
11.143867 70.506 97.9533
11.224621 70.582 97.8780
11.305959 70.657 97.8019
11.387886 70.733 97.7251
11.470407 70.808 97.6479
11.553527 70.884 97.5700
11.637249 70.959 97.4914
11.721577 71.035 97.4121
11.806517 71.110 97.3324
11.892071 71.186 97.2521
11.978246 71.261 97.1709
12.065045 71.337 97.0890
12.152473 71.413 97.0068
12.240536 71.488 96.9240
12.329235 71.563 96.8404
12.418578 71.638 96.7561
12.508568 71.713 96.6714
12.599211 71.789 96.5860
12.690510 71.864 96.4999
12.782471 71.940 96.4131
12.875097 72.015 96.3254
12.968395 72.091 96.2371
13.062370 72.166 96.1484
13.157025 72.242 96.0590
13.252366 72.317 95.9690
13.348398 72.393 95.8781
13.445127 72.468 95.7860
13.542556 72.544 95.6931
13.640691 72.619 95.5999
13.739536 72.695 95.5060
13.839099 72.770 95.4114
13.939383 72.846 95.3161
14.040393 72.922 95.2199
14.142136 72.997 95.1230
14.244616 73.072 95.0254
14.347837 73.147 94.9270
14.451808 73.222 94.8280
14.556532 73.298 94.7280
14.662014 73.373 94.6271
14.768262 73.449 94.5251
14.875278 73.524 94.4220
14.983070 73.600 94.3181
15.091644 73.675 94.2140
15.201005 73.751 94.1091
15.311157 73.826 94.0026
15.422109 73.902 93.8951
15.533863 73.977 93.7869
15.646428 74.053 93.6781
15.759809 74.128 93.5686
15.874010 74.204 93.4581
15.989040 74.279 93.3461
16.104904 74.355 93.2331
16.221605 74.430 93.1196
16.339155 74.506 93.0051
16.457554 74.581 92.8897
16.576813 74.656 92.7731
16.696936 74.731 92.6551
16.817928 74.807 92.5361
16.939798 74.882 92.4167
17.062551 74.958 92.2962
17.186193 75.033 92.1737
17.310732 75.109 92.0501
17.436172 75.184 91.9261
17.562521 75.260 91.8011
17.689787 75.335 91.6748
17.817974 75.411 91.5471
17.947090 75.486 91.4178
18.077143 75.562 91.2871
18.208138 75.637 91.1552
18.340080 75.713 91.0221
18.472980 75.788 90.8879
18.606844 75.864 90.7521
18.741676 75.940 90.6145
18.877487 76.015 90.4751
19.014280 76.090 90.3342
19.152065 76.165 90.1912
19.290850 76.240 90.0458
19.430639 76.316 89.8981
19.571442 76.391 89.7484
19.713264 76.466 89.5962
19.856115 76.541 89.4407
20.000000 76.615 89.2832
20.144928 76.689 89.1245
20.290907 76.762 88.9651
20.437943 76.834 88.8057
20.586044 76.906 88.6471
20.735220 76.977 88.4901
20.885475 77.048 88.3362
21.036821 77.118 88.1872
21.189262 77.189 88.0422
21.342808 77.260 87.9005
21.497467 77.331 87.7622
21.653246 77.403 87.6275
21.810154 77.476 87.4952
21.968201 77.550 87.3652
22.127390 77.625 87.2342
22.287735 77.702 87.0984
22.449242 77.779 86.9581
22.611917 77.856 86.8122
22.775772 77.934 86.6612
22.940815 78.012 86.5051
23.107054 78.090 86.3442
23.274498 78.167 86.1782
23.443153 78.245 86.0082
23.613033 78.323 85.8354
23.784142 78.401 85.6591
23.956491 78.479 85.4787
24.130091 78.556 85.2952
24.304947 78.633 85.1094
24.481071 78.710 84.9222
24.658470 78.787 84.7360
24.837156 78.865 84.5473
25.017136 78.944 84.3533
25.198421 79.023 84.1542
25.381020 79.102 83.9493
25.564941 79.181 83.7382
25.750195 79.261 83.5214
25.936790 79.341 83.2963
26.124741 79.421 83.0600
26.314051 79.500 82.8144
26.504732 79.578 82.5600
26.696796 79.655 82.2983
26.890253 79.731 82.0299
27.085112 79.805 81.7573
27.281382 79.878 81.4828
27.479073 79.950 81.2074
27.678198 80.021 80.9331
27.878765 80.091 80.6584
28.080786 80.161 80.3823
28.284271 80.231 80.1044
28.489231 80.300 79.8239
28.695675 80.369 79.5404
28.903616 80.437 79.2532
29.113064 80.505 78.9624
29.324028 80.571 78.6676
29.536524 80.636 78.3703
29.750557 80.699 78.0720
29.966141 80.762 77.7723
30.183289 80.824 77.4714
30.402010 80.884 77.1704
30.622314 80.942 76.8695
30.844217 80.999 76.5723
31.067726 81.054 76.2821
31.292856 81.107 75.9994
31.519617 81.160 75.7261
31.748020 81.212 75.4623
31.978081 81.263 75.2074
32.209808 81.313 74.9653
32.443211 81.362 74.7410
32.678310 81.413 74.5303
32.915108 81.467 74.3331
33.153625 81.524 74.1422
33.393871 81.584 73.9510
33.635857 81.646 73.7583
33.879597 81.708 73.5622
34.125103 81.773 73.3593
34.372387 81.841 73.1469
34.621464 81.911 72.9204
34.872345 81.982 72.6725
35.125042 82.052 72.4073
35.379574 82.120 72.1246
35.635948 82.186 71.8294
35.894180 82.250 71.5252
36.154285 82.312 71.2154
36.416275 82.371 70.9047
36.680161 82.428 70.5935
36.945961 82.485 70.2835
37.213688 82.540 69.9764
37.483353 82.592 69.6743
37.754974 82.644 69.3774
38.028561 82.695 69.0886
38.304131 82.747 68.8034
38.581699 82.800 68.5178
38.861279 82.853 68.2334
39.142883 82.903 67.9502
39.426529 82.952 67.6694
39.712231 83.002 67.3932
40.000000 83.053 67.1194
40.289856 83.103 66.8461
40.581814 83.152 66.5744
40.875885 83.200 66.3055
41.172089 83.249 66.0374
41.470440 83.299 65.7691
41.770950 83.349 65.4995
42.073643 83.397 65.2259
42.378525 83.444 64.9524
42.685616 83.489 64.6820
42.994934 83.534 64.4144
43.306492 83.578 64.1493
43.620308 83.621 63.8894
43.936401 83.661 63.6353
44.254780 83.699 63.3934
44.575470 83.735 63.1702
44.898483 83.771 62.9653
45.223835 83.808 62.7807
45.551544 83.845 62.6162
45.881630 83.884 62.4720
46.214108 83.924 62.3492
46.548996 83.966 62.2508
46.886307 84.012 62.1711
47.226067 84.064 62.1088
47.568283 84.122 62.0541
47.912983 84.186 61.9988
48.260181 84.257 61.9361
48.609894 84.334 61.8574
48.962143 84.416 61.7592
49.316940 84.501 61.6363
49.674313 84.591 61.4843
50.034271 84.685 61.2976
50.396843 84.781 61.0744
50.762039 84.877 60.8095
51.129883 84.973 60.5075
51.500389 85.067 60.1702
51.873581 85.159 59.8007
52.249481 85.249 59.4017
52.628101 85.336 58.9757
53.009464 85.419 58.5241
53.393593 85.499 58.0528
53.780506 85.574 57.5669
54.170223 85.646 57.0698
54.562763 85.714 56.5660
54.958145 85.778 56.0578
55.356396 85.839 55.5492
55.757530 85.898 55.0398
56.161572 85.955 54.5308
56.568542 86.011 54.0218
56.978462 86.064 53.5135
57.391350 86.115 53.0039
57.807232 86.166 52.4916
58.226128 86.215 51.9769
58.648056 86.262 51.4588
59.073048 86.306 50.9399
59.501114 86.348 50.4223
59.932281 86.388 49.9059
60.366577 86.426 49.3906
60.804020 86.462 48.8789
61.244629 86.496 48.3732
61.688435 86.528 47.8739
62.135452 86.559 47.3829
62.585712 86.590 46.8978
63.039234 86.620 46.4168
63.496040 86.649 45.9398
63.956161 86.677 45.4673
64.419617 86.705 44.9968
64.886421 86.733 44.5256
65.356621 86.761 44.0548
65.830215 86.787 43.5848
66.307251 86.811 43.1159
66.787743 86.835 42.6496
67.271713 86.858 42.1839
67.759193 86.881 41.7167
68.250206 86.902 41.2499
68.744774 86.921 40.7838
69.242928 86.938 40.3209
69.744690 86.954 39.8633
70.250084 86.968 39.4119
70.759148 86.981 38.9679
71.271896 86.993 38.5318
71.788361 87.004 38.1047
72.308571 87.015 37.6858
72.832550 87.025 37.2746
73.360321 87.034 36.8717
73.891922 87.043 36.4785
74.427376 87.053 36.0917
74.966705 87.064 35.7096
75.509949 87.076 35.3297
76.057121 87.088 34.9477
76.608261 87.099 34.5668
77.163399 87.109 34.1880
77.722557 87.118 33.8128
78.285767 87.127 33.4434
78.853058 87.137 33.0777
79.424461 87.147 32.7144
80.000000 87.157 32.3537
80.579712 87.167 31.9957
81.163628 87.176 31.6407
81.751770 87.185 31.2899
82.344177 87.195 30.9407
82.940880 87.206 30.5922
83.541901 87.218 30.2407
84.147285 87.231 29.8815
84.757050 87.244 29.5167
85.371231 87.255 29.1475
85.989868 87.265 28.7728
86.612984 87.276 28.3919
87.240616 87.287 28.0048
87.872803 87.295 27.6089
88.509560 87.301 27.2108
89.150940 87.304 26.8166
89.796967 87.305 26.4258
90.447670 87.306 26.0401
91.103088 87.305 25.6598
91.763260 87.302 25.2850
92.428215 87.298 24.9177
93.097992 87.293 24.5613
93.772614 87.288 24.2127
94.452133 87.283 23.8703
95.136566 87.278 23.5337
95.825966 87.272 23.2018
96.520363 87.266 22.8757
97.219788 87.260 22.5560
