* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Grado R1se_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:33:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Grado R1se_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Grado R1se_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 45.817 101.5580
5.036232 45.849 101.5512
5.072727 45.884 101.5440
5.109486 45.924 101.5353
5.146511 45.971 101.5260
5.183805 46.027 101.5163
5.221369 46.088 101.5070
5.259205 46.150 101.4997
5.297316 46.216 101.4930
5.335702 46.286 101.4858
5.374367 46.358 101.4790
5.413311 46.429 101.4733
5.452538 46.500 101.4680
5.492050 46.571 101.4630
5.531847 46.643 101.4580
5.571934 46.714 101.4525
5.612310 46.785 101.4470
5.652979 46.856 101.4419
5.693943 46.927 101.4370
5.735204 46.998 101.4321
5.776763 47.069 101.4270
5.818624 47.140 101.4215
5.860788 47.211 101.4160
5.903258 47.282 101.4109
5.946035 47.353 101.4060
5.989123 47.424 101.4011
6.032523 47.495 101.3960
6.076237 47.566 101.3905
6.120268 47.638 101.3850
6.164618 47.709 101.3799
6.209289 47.780 101.3750
6.254284 47.851 101.3701
6.299605 47.922 101.3650
6.345255 47.993 101.3596
6.391235 48.064 101.3540
6.437549 48.135 101.3484
6.484198 48.206 101.3430
6.531185 48.277 101.3380
6.578513 48.348 101.3330
6.626183 48.419 101.3276
6.674199 48.490 101.3220
6.722563 48.561 101.3165
6.771278 48.632 101.3110
6.820345 48.703 101.3055
6.869768 48.775 101.3000
6.919549 48.846 101.2945
6.969691 48.917 101.2890
7.020196 48.988 101.2836
7.071068 49.059 101.2780
7.122308 49.130 101.2720
7.173919 49.201 101.2660
7.225904 49.272 101.2605
7.278266 49.343 101.2550
7.331007 49.414 101.2491
7.384131 49.485 101.2430
7.437639 49.556 101.2370
7.491535 49.627 101.2310
7.545822 49.698 101.2250
7.600502 49.769 101.2190
7.655579 49.840 101.2130
7.711054 49.912 101.2070
7.766932 49.983 101.2011
7.823214 50.054 101.1950
7.879904 50.125 101.1885
7.937005 50.196 101.1820
7.994520 50.267 101.1760
8.052452 50.338 101.1700
8.110803 50.409 101.1636
8.169578 50.480 101.1570
8.228777 50.551 101.1500
8.288406 50.622 101.1430
8.348468 50.693 101.1364
8.408964 50.764 101.1300
8.469899 50.835 101.1236
8.531276 50.906 101.1170
8.593097 50.977 101.1101
8.655366 51.049 101.1030
8.718086 51.120 101.0961
8.781260 51.191 101.0890
8.844893 51.262 101.0815
8.908987 51.333 101.0740
8.973545 51.404 101.0670
9.038571 51.475 101.0600
9.104069 51.546 101.0526
9.170040 51.617 101.0450
9.236490 51.688 101.0370
9.303422 51.759 101.0290
9.370838 51.830 101.0215
9.438744 51.901 101.0140
9.507140 51.972 101.0061
9.576033 52.043 100.9980
9.645425 52.114 100.9901
9.715320 52.186 100.9820
9.785721 52.257 100.9736
9.856632 52.328 100.9650
9.928058 52.399 100.9565
10.000000 52.470 100.9480
10.072464 52.541 100.9396
10.145453 52.612 100.9310
10.218971 52.683 100.9221
10.293022 52.754 100.9130
10.367610 52.825 100.9041
10.442738 52.896 100.8950
10.518411 52.967 100.8856
10.594631 53.038 100.8760
10.671404 53.109 100.8665
10.748734 53.181 100.8570
10.826623 53.252 100.8476
10.905077 53.323 100.8380
10.984100 53.394 100.8276
11.063695 53.465 100.8170
11.143867 53.536 100.8070
11.224621 53.607 100.7970
11.305959 53.678 100.7866
11.387886 53.749 100.7760
11.470407 53.820 100.7651
11.553527 53.891 100.7540
11.637249 53.962 100.7426
11.721577 54.033 100.7310
11.806517 54.104 100.7196
11.892071 54.175 100.7080
11.978246 54.246 100.6961
12.065045 54.318 100.6840
12.152473 54.389 100.6716
12.240536 54.460 100.6590
12.329235 54.531 100.6461
12.418578 54.602 100.6330
12.508568 54.673 100.6196
12.599211 54.744 100.6060
12.690510 54.815 100.5926
12.782471 54.886 100.5790
12.875097 54.957 100.5647
12.968395 55.028 100.5500
13.062370 55.099 100.5351
13.157025 55.170 100.5200
13.252366 55.241 100.5052
13.348398 55.312 100.4900
13.445127 55.383 100.4737
13.542556 55.455 100.4570
13.640691 55.526 100.4406
13.739536 55.597 100.4240
13.839099 55.668 100.4068
13.939383 55.739 100.3890
14.040393 55.810 100.3708
14.142136 55.881 100.3520
14.244616 55.952 100.3328
14.347837 56.023 100.3130
14.451808 56.094 100.2927
14.556532 56.165 100.2720
14.662014 56.236 100.2513
14.768262 56.307 100.2300
14.875278 56.378 100.2074
14.983070 56.449 100.1840
15.091644 56.520 100.1603
15.201005 56.592 100.1360
15.311157 56.663 100.1109
15.422109 56.734 100.0850
15.533863 56.805 100.0585
15.646428 56.876 100.0310
15.759809 56.947 100.0025
15.874010 57.018 99.9730
15.989040 57.089 99.9426
16.104904 57.160 99.9110
16.221605 57.231 99.8782
16.339155 57.302 99.8440
16.457554 57.373 99.8087
16.576813 57.444 99.7720
16.696936 57.515 99.7338
16.817928 57.586 99.6940
16.939798 57.657 99.6525
17.062551 57.729 99.6091
17.186193 57.800 99.5632
17.310732 57.871 99.5150
17.436172 57.942 99.4643
17.562521 58.013 99.4110
17.689787 58.084 99.3552
17.817974 58.155 99.2961
17.947090 58.226 99.2331
18.077143 58.297 99.1660
18.208138 58.368 99.0951
18.340080 58.439 99.0191
18.472980 58.510 98.9369
18.606844 58.581 98.8481
18.741676 58.652 98.7525
18.877487 58.724 98.6481
19.014280 58.795 98.5340
19.152065 58.866 98.4072
19.290850 58.937 98.2665
19.430639 59.008 98.1051
19.571442 59.080 97.9176
19.713264 59.150 97.6983
19.856115 59.217 97.4394
20.000000 59.279 97.1423
20.144928 59.334 96.7991
20.290907 59.376 96.4304
20.437943 59.400 96.0380
20.586044 59.405 95.6702
20.735220 59.384 95.3647
20.885475 59.346 95.1552
21.036821 59.296 95.0859
21.189262 59.239 95.1628
21.342808 59.179 95.4101
21.497467 59.125 95.8164
21.653246 59.086 96.3962
21.810154 59.070 97.0950
21.968201 59.092 97.8840
22.127390 59.146 98.7001
22.287735 59.235 99.4809
22.449242 59.351 100.1945
22.611917 59.489 100.7920
22.775772 59.642 101.2615
22.940815 59.803 101.5687
23.107054 59.965 101.7309
23.274498 60.116 101.7432
23.443153 60.256 101.6382
23.613033 60.379 101.4369
23.784142 60.485 101.1693
23.956491 60.572 100.8626
24.130091 60.640 100.5454
24.304947 60.689 100.2463
24.481071 60.721 99.9913
24.658470 60.737 99.8124
24.837156 60.742 99.7201
25.017136 60.742 99.7350
25.198421 60.739 99.8578
25.381020 60.736 100.1002
25.564941 60.740 100.4486
25.750195 60.758 100.9046
25.936790 60.792 101.4343
26.124741 60.849 102.0159
26.314051 60.927 102.6152
26.504732 61.028 103.2003
26.696796 61.149 103.7414
26.890253 61.289 104.2015
27.085112 61.441 104.5696
27.281382 61.598 104.8188
27.479073 61.756 104.9599
27.678198 61.909 104.9886
27.878765 62.057 104.9231
28.080786 62.195 104.7744
28.284271 62.323 104.5593
28.489231 62.439 104.2944
28.695675 62.543 103.9914
28.903616 62.637 103.6637
29.113064 62.718 103.3235
29.324028 62.785 102.9841
29.536524 62.840 102.6554
29.750557 62.885 102.3456
29.966141 62.918 102.0723
30.183289 62.936 101.8456
30.402010 62.941 101.6951
30.622314 62.933 101.6537
30.844217 62.921 101.7218
31.067726 62.913 101.9170
31.292856 62.911 102.2215
31.519617 62.919 102.6328
31.748020 62.943 103.1234
31.978081 62.988 103.6769
32.209808 63.053 104.2563
32.443211 63.140 104.8266
32.678310 63.244 105.3653
32.915108 63.363 105.8396
33.153625 63.491 106.2456
33.393871 63.624 106.5636
33.635857 63.758 106.8087
33.879597 63.886 106.9824
34.125103 64.011 107.1049
34.372387 64.129 107.1941
34.621464 64.244 107.2579
34.872345 64.355 107.3087
35.125042 64.464 107.3500
35.379574 64.570 107.3914
35.635948 64.675 107.4270
35.894180 64.783 107.4553
36.154285 64.891 107.4720
36.416275 64.997 107.4709
36.680161 65.101 107.4560
36.945961 65.202 107.4281
37.213688 65.301 107.3901
37.483353 65.397 107.3416
37.754974 65.489 107.2941
38.028561 65.575 107.2575
38.304131 65.658 107.2360
38.581699 65.741 107.2395
38.861279 65.825 107.2610
39.142883 65.911 107.2979
39.426529 65.999 107.3469
39.712231 66.089 107.4065
40.000000 66.182 107.4689
40.289856 66.280 107.5268
40.581814 66.380 107.5769
40.875885 66.480 107.6135
41.172089 66.582 107.6370
41.470440 66.685 107.6472
41.770950 66.789 107.6410
42.073643 66.893 107.6111
42.378525 66.995 107.5701
42.685616 67.089 107.5297
42.994934 67.183 107.4861
43.306492 67.283 107.4411
43.620308 67.384 107.3881
43.936401 67.481 107.3173
44.254780 67.575 107.2391
44.575470 67.667 107.1616
44.898483 67.757 107.0821
45.223835 67.847 106.9993
45.551544 67.935 106.9171
45.881630 68.018 106.8359
46.214108 68.099 106.7651
46.548996 68.177 106.7169
46.886307 68.255 106.6840
47.226067 68.337 106.6633
47.568283 68.420 106.6550
47.912983 68.500 106.6594
48.260181 68.583 106.6730
48.609894 68.671 106.6953
48.962143 68.763 106.7170
49.316940 68.855 106.7287
49.674313 68.948 106.7300
50.034271 69.044 106.7158
50.396843 69.139 106.6900
50.762039 69.230 106.6526
51.129883 69.320 106.6101
51.500389 69.407 106.5683
51.873581 69.493 106.5301
52.249481 69.576 106.4997
52.628101 69.659 106.4790
53.009464 69.741 106.4701
53.393593 69.822 106.4770
53.780506 69.901 106.5053
54.170223 69.982 106.5519
54.562763 70.068 106.6190
54.958145 70.158 106.6959
55.356396 70.251 106.7717
55.757530 70.347 106.8489
56.161572 70.443 106.9266
56.568542 70.541 107.0039
56.978462 70.643 107.0817
57.391350 70.748 107.1539
57.807232 70.856 107.2137
58.226128 70.967 107.2629
58.648056 71.077 107.3021
59.073048 71.189 107.3290
59.501114 71.304 107.3430
59.932281 71.421 107.3400
60.366577 71.537 107.3124
60.804020 71.652 107.2691
61.244629 71.762 107.2142
61.688435 71.871 107.1541
62.135452 71.979 107.0966
62.585712 72.087 107.0411
63.039234 72.194 106.9890
63.496040 72.301 106.9421
63.956161 72.408 106.9036
64.419617 72.516 106.8701
64.886421 72.627 106.8414
65.356621 72.741 106.8111
65.830215 72.857 106.7726
66.307251 72.976 106.7251
66.787743 73.095 106.6653
67.271713 73.215 106.5931
67.759193 73.335 106.5064
68.250206 73.456 106.4092
68.744774 73.574 106.3038
69.242928 73.692 106.1942
69.744690 73.809 106.0868
70.250084 73.928 105.9772
70.759148 74.049 105.8642
71.271896 74.172 105.7442
71.788361 74.295 105.6141
72.308571 74.420 105.4723
72.832550 74.546 105.3157
73.360321 74.672 105.1453
73.891922 74.796 104.9601
74.427376 74.920 104.7634
74.966705 75.042 104.5574
75.509949 75.163 104.3444
76.057121 75.282 104.1255
76.608261 75.401 103.9054
77.163399 75.518 103.6893
77.722557 75.635 103.4764
78.285767 75.753 103.2702
78.853058 75.873 103.0644
79.424461 75.995 102.8552
80.000000 76.119 102.6394
80.579712 76.243 102.4121
81.163628 76.369 102.1745
81.751770 76.495 101.9259
82.344177 76.622 101.6665
82.940880 76.748 101.3957
83.541901 76.875 101.1146
84.147285 77.001 100.8242
84.757050 77.128 100.5246
85.371231 77.254 100.2161
85.989868 77.381 99.8987
86.612984 77.507 99.5722
87.240616 77.634 99.2367
87.872803 77.760 98.8923
88.509560 77.886 98.5387
89.150940 78.012 98.1759
89.796967 78.139 97.8038
90.447670 78.265 97.4226
91.103088 78.392 97.0318
91.763260 78.518 96.6313
92.428215 78.645 96.2209
93.097992 78.771 95.8001
93.772614 78.898 95.3689
94.452133 79.024 94.9271
95.136566 79.151 94.4740
95.825966 79.277 94.0089
96.520363 79.403 93.5311
97.219788 79.529 93.0391
