* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Grado R2Se_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:19:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Grado R2Se_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Grado R2Se_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 57.524 90.8690
5.036232 57.554 90.8545
5.072727 57.586 90.8390
5.109486 57.623 90.8211
5.146511 57.665 90.8010
5.183805 57.717 90.7776
5.221369 57.773 90.7530
5.259205 57.831 90.7297
5.297316 57.891 90.7060
5.335702 57.956 90.6806
5.374367 58.022 90.6550
5.413311 58.087 90.6304
5.452538 58.152 90.6060
5.492050 58.217 90.5815
5.531847 58.283 90.5570
5.571934 58.348 90.5326
5.612310 58.414 90.5080
5.652979 58.480 90.4831
5.693943 58.545 90.4580
5.735204 58.610 90.4331
5.776763 58.675 90.4080
5.818624 58.740 90.3826
5.860788 58.806 90.3570
5.903258 58.872 90.3311
5.946035 58.937 90.3050
5.989123 59.002 90.2791
6.032523 59.067 90.2530
6.076237 59.132 90.2266
6.120268 59.198 90.2000
6.164618 59.263 90.1736
6.209289 59.329 90.1470
6.254284 59.395 90.1201
6.299605 59.460 90.0930
6.345255 59.525 90.0656
6.391235 59.590 90.0380
6.437549 59.655 90.0101
6.484198 59.721 89.9820
6.531185 59.787 89.9541
6.578513 59.852 89.9260
6.626183 59.917 89.8976
6.674199 59.982 89.8690
6.722563 60.047 89.8401
6.771278 60.113 89.8110
6.820345 60.178 89.7821
6.869768 60.244 89.7530
6.919549 60.310 89.7237
6.969691 60.375 89.6940
7.020196 60.440 89.6636
7.071068 60.505 89.6330
7.122308 60.570 89.6025
7.173919 60.636 89.5720
7.225904 60.702 89.5416
7.278266 60.767 89.5110
7.331007 60.832 89.4796
7.384131 60.897 89.4480
7.437639 60.962 89.4166
7.491535 61.028 89.3850
7.545822 61.093 89.3532
7.600502 61.159 89.3210
7.655579 61.225 89.2881
7.711054 61.290 89.2550
7.766932 61.355 89.2221
7.823214 61.420 89.1890
7.879904 61.485 89.1556
7.937005 61.551 89.1220
7.994520 61.616 89.0881
8.052452 61.682 89.0540
8.110803 61.748 89.0201
8.169578 61.813 88.9860
8.228777 61.878 88.9512
8.288406 61.943 88.9160
8.348468 62.008 88.8806
8.408964 62.074 88.8450
8.469899 62.140 88.8091
8.531276 62.205 88.7730
8.593097 62.270 88.7366
8.655366 62.335 88.7000
8.718086 62.400 88.6631
8.781260 62.466 88.6260
8.844893 62.531 88.5886
8.908987 62.597 88.5510
8.973545 62.663 88.5131
9.038571 62.728 88.4750
9.104069 62.793 88.4366
9.170040 62.858 88.3980
9.236490 62.923 88.3591
9.303422 62.989 88.3200
9.370838 63.055 88.2806
9.438744 63.120 88.2410
9.507140 63.185 88.2012
9.576033 63.250 88.1610
9.645425 63.315 88.1202
9.715320 63.381 88.0790
9.785721 63.446 88.0376
9.856632 63.512 87.9960
9.928058 63.578 87.9546
10.000000 63.643 87.9130
10.072464 63.708 87.8708
10.145453 63.773 87.8280
10.218971 63.838 87.7847
10.293022 63.904 87.7410
10.367610 63.970 87.6976
10.442738 64.035 87.6540
10.518411 64.100 87.6097
10.594631 64.165 87.5650
10.671404 64.230 87.5201
10.748734 64.296 87.4750
10.826623 64.361 87.4297
10.905077 64.427 87.3840
10.984100 64.493 87.3377
11.063695 64.558 87.2910
11.143867 64.623 87.2441
11.224621 64.688 87.1970
11.305959 64.753 87.1497
11.387886 64.819 87.1020
11.470407 64.885 87.0537
11.553527 64.950 87.0050
11.637249 65.015 86.9562
11.721577 65.080 86.9070
11.806517 65.145 86.8572
11.892071 65.211 86.8070
11.978246 65.276 86.7567
12.065045 65.342 86.7060
12.152473 65.408 86.6552
12.240536 65.473 86.6040
12.329235 65.538 86.5522
12.418578 65.603 86.5000
12.508568 65.668 86.4477
12.599211 65.734 86.3950
12.690510 65.800 86.3418
12.782471 65.865 86.2881
12.875097 65.930 86.2337
12.968395 65.995 86.1790
13.062370 66.060 86.1242
13.157025 66.126 86.0690
13.252366 66.191 86.0137
13.348398 66.257 85.9580
13.445127 66.323 85.9018
13.542556 66.388 85.8451
13.640691 66.453 85.7878
13.739536 66.518 85.7300
13.839099 66.583 85.6717
13.939383 66.649 85.6131
14.040393 66.714 85.5542
14.142136 66.780 85.4950
14.244616 66.846 85.4352
14.347837 66.911 85.3750
14.451808 66.976 85.3147
14.556532 67.041 85.2540
14.662014 67.106 85.1929
14.768262 67.172 85.1311
14.875278 67.237 85.0683
14.983070 67.303 85.0051
15.091644 67.368 84.9417
15.201005 67.433 84.8780
15.311157 67.498 84.8143
15.422109 67.564 84.7500
15.533863 67.629 84.6849
15.646428 67.695 84.6190
15.759809 67.761 84.5527
15.874010 67.826 84.4860
15.989040 67.891 84.4192
16.104904 67.956 84.3521
16.221605 68.021 84.2843
16.339155 68.087 84.2161
16.457554 68.152 84.1473
16.576813 68.218 84.0781
16.696936 68.283 84.0082
16.817928 68.348 83.9380
16.939798 68.413 83.8678
17.062551 68.479 83.7971
17.186193 68.544 83.7258
17.310732 68.610 83.6540
17.436172 68.676 83.5818
17.562521 68.741 83.5091
17.689787 68.806 83.4358
17.817974 68.871 83.3621
17.947090 68.936 83.2882
18.077143 69.002 83.2140
18.208138 69.068 83.1397
18.340080 69.133 83.0651
18.472980 69.198 82.9897
18.606844 69.263 82.9140
18.741676 69.328 82.8387
18.877487 69.394 82.7631
19.014280 69.459 82.6867
19.152065 69.525 82.6101
19.290850 69.590 82.5335
19.430639 69.656 82.4571
19.571442 69.721 82.3809
19.713264 69.786 82.3051
19.856115 69.851 82.2293
20.000000 69.917 82.1541
20.144928 69.982 82.0794
20.290907 70.048 82.0061
20.437943 70.113 81.9347
20.586044 70.179 81.8650
20.735220 70.245 81.7972
20.885475 70.312 81.7311
21.036821 70.379 81.6668
21.189262 70.447 81.6031
21.342808 70.515 81.5390
21.497467 70.585 81.4741
21.653246 70.655 81.4080
21.810154 70.727 81.3401
21.968201 70.799 81.2708
22.127390 70.873 81.1971
22.287735 70.948 81.1166
22.449242 71.025 81.0281
22.611917 71.103 80.9300
22.775772 71.181 80.8211
22.940815 71.260 80.7002
23.107054 71.339 80.5652
23.274498 71.418 80.4137
23.443153 71.497 80.2452
23.613033 71.575 80.0568
23.784142 71.651 79.8532
23.956491 71.723 79.6365
24.130091 71.791 79.4113
24.304947 71.857 79.1815
24.481071 71.919 78.9503
24.658470 71.977 78.7190
24.837156 72.031 78.4973
25.017136 72.080 78.2945
25.198421 72.126 78.1132
25.381020 72.172 77.9598
25.564941 72.217 77.8311
25.750195 72.263 77.7260
25.936790 72.311 77.6451
26.124741 72.360 77.5912
26.314051 72.412 77.5560
26.504732 72.471 77.5363
26.696796 72.536 77.5200
26.890253 72.606 77.4955
27.085112 72.680 77.4591
27.281382 72.757 77.4041
27.479073 72.836 77.3281
27.678198 72.918 77.2265
27.878765 73.000 77.0992
28.080786 73.082 76.9419
28.284271 73.161 76.7623
28.489231 73.236 76.5635
28.695675 73.307 76.3553
28.903616 73.374 76.1472
29.113064 73.438 75.9423
29.324028 73.500 75.7472
29.536524 73.562 75.5612
29.750557 73.623 75.3864
29.966141 73.685 75.2202
30.183289 73.748 75.0618
30.402010 73.812 74.9072
30.622314 73.878 74.7536
30.844217 73.946 74.5962
31.067726 74.016 74.4292
31.292856 74.086 74.2523
31.519617 74.156 74.0619
31.748020 74.225 73.8613
31.978081 74.293 73.6520
32.209808 74.361 73.4353
32.443211 74.427 73.2123
32.678310 74.491 72.9843
32.915108 74.554 72.7520
33.153625 74.616 72.5183
33.393871 74.675 72.2865
33.635857 74.734 72.0564
33.879597 74.792 71.8286
34.125103 74.850 71.6033
34.372387 74.906 71.3802
34.621464 74.962 71.1613
34.872345 75.017 70.9492
35.125042 75.071 70.7422
35.379574 75.126 70.5406
35.635948 75.181 70.3422
35.894180 75.237 70.1449
36.154285 75.293 69.9493
36.416275 75.349 69.7555
36.680161 75.405 69.5633
36.945961 75.461 69.3729
37.213688 75.518 69.1833
37.483353 75.575 68.9942
37.754974 75.633 68.8043
38.028561 75.692 68.6123
38.304131 75.751 68.4183
38.581699 75.810 68.2215
38.861279 75.869 68.0223
39.142883 75.929 67.8218
39.426529 75.989 67.6173
39.712231 76.050 67.4059
40.000000 76.112 67.1893
40.289856 76.172 66.9686
40.581814 76.232 66.7433
40.875885 76.293 66.5135
41.172089 76.354 66.2784
41.470440 76.414 66.0374
41.770950 76.475 65.7904
42.073643 76.536 65.5374
42.378525 76.596 65.2774
42.685616 76.656 65.0089
42.994934 76.715 64.7334
43.306492 76.772 64.4518
43.620308 76.829 64.1644
43.936401 76.885 63.8719
44.254780 76.940 63.5745
44.575470 76.993 63.2716
44.898483 77.044 62.9665
45.223835 77.093 62.6623
45.551544 77.142 62.3584
45.881630 77.190 62.0554
46.214108 77.238 61.7525
46.548996 77.284 61.4486
46.886307 77.329 61.1445
47.226067 77.373 60.8402
47.568283 77.416 60.5365
47.912983 77.457 60.2334
48.260181 77.497 59.9325
48.609894 77.535 59.6355
48.962143 77.573 59.3424
49.316940 77.610 59.0537
49.674313 77.645 58.7704
50.034271 77.679 58.4937
50.396843 77.712 58.2244
50.762039 77.745 57.9642
51.129883 77.777 57.7124
51.500389 77.809 57.4687
51.873581 77.840 57.2344
52.249481 77.871 57.0116
52.628101 77.902 56.7983
53.009464 77.935 56.5933
53.393593 77.969 56.3963
53.780506 78.002 56.2071
54.170223 78.037 56.0243
54.562763 78.074 55.8484
54.958145 78.114 55.6733
55.356396 78.156 55.4927
55.757530 78.200 55.3073
56.161572 78.243 55.1149
56.568542 78.287 54.9173
56.978462 78.332 54.7158
57.391350 78.377 54.5094
57.807232 78.422 54.2971
58.226128 78.467 54.0804
58.648056 78.512 53.8613
59.073048 78.557 53.6374
59.501114 78.604 53.4068
59.932281 78.651 53.1694
60.366577 78.697 52.9250
60.804020 78.744 52.6724
61.244629 78.791 52.4108
61.688435 78.838 52.1395
62.135452 78.884 51.8557
62.585712 78.928 51.5645
63.039234 78.969 51.2700
63.496040 79.009 50.9725
63.956161 79.049 50.6738
64.419617 79.088 50.3735
64.886421 79.125 50.0713
65.356621 79.161 49.7685
65.830215 79.196 49.4664
66.307251 79.230 49.1646
66.787743 79.263 48.8623
67.271713 79.295 48.5616
67.759193 79.325 48.2646
68.250206 79.355 47.9705
68.744774 79.385 47.6791
69.242928 79.415 47.3905
69.744690 79.443 47.1049
70.250084 79.470 46.8225
70.759148 79.498 46.5451
71.271896 79.527 46.2685
71.788361 79.557 45.9890
72.308571 79.586 45.7065
72.832550 79.614 45.4192
73.360321 79.642 45.1285
73.891922 79.669 44.8354
74.427376 79.694 44.5406
74.966705 79.718 44.2443
75.509949 79.741 43.9485
76.057121 79.762 43.6542
76.608261 79.782 43.3646
77.163399 79.800 43.0826
77.722557 79.816 42.8095
78.285767 79.832 42.5489
78.853058 79.848 42.2975
79.424461 79.865 42.0533
80.000000 79.882 41.8165
80.579712 79.899 41.5877
81.163628 79.917 41.3634
81.751770 79.938 41.1410
82.344177 79.960 40.9175
82.940880 79.982 40.6884
83.541901 80.004 40.4555
84.147285 80.026 40.2192
84.757050 80.049 39.9785
85.371231 80.071 39.7315
85.989868 80.093 39.4805
86.612984 80.113 39.2269
87.240616 80.132 38.9715
87.872803 80.150 38.7153
88.509560 80.168 38.4595
89.150940 80.184 38.2052
89.796967 80.199 37.9535
90.447670 80.214 37.7066
91.103088 80.228 37.4625
91.763260 80.243 37.2194
92.428215 80.257 36.9795
93.097992 80.269 36.7447
93.772614 80.280 36.5145
94.452133 80.293 36.2900
95.136566 80.307 36.0675
95.825966 80.321 35.8421
96.520363 80.334 35.6175
97.219788 80.345 35.3962
