* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Harmonicdyne g200_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:40:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Harmonicdyne g200_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Harmonicdyne g200_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 87.069 8.0190
5.036232 87.071 8.0176
5.072727 87.074 8.0160
5.109486 87.078 8.0136
5.146511 87.082 8.0110
5.183805 87.086 8.0086
5.221369 87.091 8.0060
5.259205 87.096 8.0031
5.297316 87.102 8.0000
5.335702 87.107 7.9970
5.374367 87.113 7.9940
5.413311 87.119 7.9910
5.452538 87.125 7.9880
5.492050 87.131 7.9850
5.531847 87.137 7.9820
5.571934 87.143 7.9790
5.612310 87.148 7.9760
5.652979 87.154 7.9730
5.693943 87.160 7.9700
5.735204 87.166 7.9671
5.776763 87.172 7.9640
5.818624 87.177 7.9605
5.860788 87.183 7.9570
5.903258 87.189 7.9539
5.946035 87.195 7.9510
5.989123 87.201 7.9481
6.032523 87.207 7.9450
6.076237 87.213 7.9415
6.120268 87.218 7.9380
6.164618 87.224 7.9350
6.209289 87.230 7.9320
6.254284 87.236 7.9286
6.299605 87.242 7.9250
6.345255 87.248 7.9215
6.391235 87.254 7.9180
6.437549 87.259 7.9145
6.484198 87.265 7.9110
6.531185 87.271 7.9075
6.578513 87.277 7.9040
6.626183 87.283 7.9005
6.674199 87.289 7.8970
6.722563 87.295 7.8935
6.771278 87.300 7.8900
6.820345 87.306 7.8866
6.869768 87.312 7.8830
6.919549 87.318 7.8790
6.969691 87.324 7.8750
7.020196 87.329 7.8715
7.071068 87.335 7.8680
7.122308 87.341 7.8641
7.173919 87.347 7.8600
7.225904 87.353 7.8559
7.278266 87.359 7.8520
7.331007 87.365 7.8485
7.384131 87.370 7.8450
7.437639 87.376 7.8411
7.491535 87.382 7.8370
7.545822 87.388 7.8330
7.600502 87.394 7.8290
7.655579 87.399 7.8251
7.711054 87.405 7.8210
7.766932 87.411 7.8165
7.823214 87.417 7.8120
7.879904 87.423 7.8080
7.937005 87.429 7.8040
7.994520 87.435 7.7995
8.052452 87.441 7.7950
8.110803 87.447 7.7910
8.169578 87.452 7.7870
8.228777 87.458 7.7826
8.288406 87.464 7.7780
8.348468 87.470 7.7735
8.408964 87.476 7.7690
8.469899 87.481 7.7645
8.531276 87.487 7.7600
8.593097 87.493 7.7555
8.655366 87.499 7.7510
8.718086 87.505 7.7466
8.781260 87.511 7.7420
8.844893 87.517 7.7370
8.908987 87.522 7.7320
8.973545 87.528 7.7275
9.038571 87.534 7.7230
9.104069 87.540 7.7181
9.170040 87.546 7.7130
9.236490 87.551 7.7080
9.303422 87.557 7.7030
9.370838 87.563 7.6980
9.438744 87.569 7.6930
9.507140 87.575 7.6881
9.576033 87.581 7.6830
9.645425 87.587 7.6775
9.715320 87.592 7.6720
9.785721 87.598 7.6670
9.856632 87.604 7.6620
9.928058 87.610 7.6565
10.000000 87.616 7.6510
10.072464 87.621 7.6460
10.145453 87.627 7.6410
10.218971 87.633 7.6356
10.293022 87.639 7.6300
10.367610 87.645 7.6240
10.442738 87.651 7.6180
10.518411 87.657 7.6124
10.594631 87.663 7.6070
10.671404 87.669 7.6016
10.748734 87.674 7.5960
10.826623 87.680 7.5901
10.905077 87.686 7.5840
10.984100 87.692 7.5780
11.063695 87.698 7.5720
11.143867 87.703 7.5660
11.224621 87.709 7.5600
11.305959 87.715 7.5540
11.387886 87.721 7.5480
11.470407 87.727 7.5421
11.553527 87.733 7.5360
11.637249 87.739 7.5296
11.721577 87.744 7.5230
11.806517 87.750 7.5165
11.892071 87.756 7.5100
11.978246 87.762 7.5035
12.065045 87.768 7.4970
12.152473 87.773 7.4905
12.240536 87.779 7.4840
12.329235 87.785 7.4776
12.418578 87.791 7.4710
12.508568 87.797 7.4641
12.599211 87.803 7.4570
12.690510 87.809 7.4500
12.782471 87.814 7.4430
12.875097 87.820 7.4360
12.968395 87.826 7.4290
13.062370 87.832 7.4220
13.157025 87.838 7.4150
13.252366 87.843 7.4081
13.348398 87.849 7.4010
13.445127 87.855 7.3936
13.542556 87.861 7.3860
13.640691 87.867 7.3785
13.739536 87.873 7.3710
13.839099 87.879 7.3635
13.939383 87.885 7.3560
14.040393 87.891 7.3486
14.142136 87.896 7.3410
14.244616 87.902 7.3331
14.347837 87.908 7.3250
14.451808 87.914 7.3170
14.556532 87.920 7.3090
14.662014 87.925 7.3010
14.768262 87.931 7.2930
14.875278 87.937 7.2851
14.983070 87.943 7.2770
15.091644 87.949 7.2686
15.201005 87.955 7.2600
15.311157 87.961 7.2515
15.422109 87.966 7.2430
15.533863 87.972 7.2346
15.646428 87.978 7.2260
15.759809 87.984 7.2170
15.874010 87.990 7.2080
15.989040 87.995 7.1995
16.104904 88.001 7.1910
16.221605 88.007 7.1821
16.339155 88.013 7.1730
16.457554 88.019 7.1641
16.576813 88.025 7.1550
16.696936 88.031 7.1455
16.817928 88.036 7.1360
16.939798 88.042 7.1269
17.062551 88.048 7.1180
17.186193 88.054 7.1091
17.310732 88.060 7.1000
17.436172 88.065 7.0905
17.562521 88.071 7.0810
17.689787 88.077 7.0720
17.817974 88.083 7.0630
17.947090 88.089 7.0534
18.077143 88.095 7.0440
18.208138 88.101 7.0354
18.340080 88.107 7.0270
18.472980 88.112 7.0179
18.606844 88.118 7.0090
18.741676 88.124 7.0009
18.877487 88.130 6.9930
19.014280 88.136 6.9847
19.152065 88.142 6.9770
19.290850 88.147 6.9709
19.430639 88.153 6.9660
19.571442 88.159 6.9623
19.713264 88.165 6.9600
19.856115 88.171 6.9594
20.000000 88.177 6.9610
20.144928 88.184 6.9662
20.290907 88.192 6.9720
20.437943 88.201 6.9762
20.586044 88.211 6.9780
20.735220 88.221 6.9764
20.885475 88.233 6.9700
21.036821 88.246 6.9583
21.189262 88.260 6.9380
21.342808 88.274 6.9047
21.497467 88.287 6.8611
21.653246 88.299 6.8076
21.810154 88.310 6.7471
21.968201 88.320 6.6824
22.127390 88.328 6.6141
22.287735 88.334 6.5424
22.449242 88.339 6.4711
22.611917 88.342 6.4038
22.775772 88.343 6.3411
22.940815 88.344 6.2846
23.107054 88.345 6.2341
23.274498 88.345 6.1901
23.443153 88.345 6.1520
23.613033 88.346 6.1200
23.784142 88.347 6.0920
23.956491 88.349 6.0673
24.130091 88.351 6.0430
24.304947 88.355 6.0174
24.481071 88.359 5.9870
24.658470 88.365 5.9472
24.837156 88.370 5.9001
25.017136 88.372 5.8446
25.198421 88.373 5.7851
25.381020 88.373 5.7239
25.564941 88.370 5.6651
25.750195 88.364 5.6106
25.936790 88.355 5.5680
26.124741 88.343 5.5456
26.314051 88.330 5.5440
26.504732 88.318 5.5675
26.696796 88.308 5.6129
26.890253 88.299 5.6807
27.085112 88.293 5.7649
27.281382 88.292 5.8626
27.479073 88.296 5.9649
27.678198 88.305 6.0636
27.878765 88.319 6.1529
28.080786 88.336 6.2255
28.284271 88.355 6.2779
28.489231 88.377 6.3037
28.695675 88.400 6.3050
28.903616 88.421 6.2804
29.113064 88.441 6.2351
29.324028 88.458 6.1724
29.536524 88.473 6.0971
29.750557 88.484 6.0130
29.966141 88.492 5.9261
30.183289 88.496 5.8432
30.402010 88.499 5.7651
30.622314 88.501 5.6956
30.844217 88.502 5.6331
31.067726 88.502 5.5775
31.292856 88.502 5.5281
31.519617 88.502 5.4844
31.748020 88.502 5.4450
31.978081 88.502 5.4085
32.209808 88.502 5.3750
32.443211 88.502 5.3444
32.678310 88.502 5.3160
32.915108 88.502 5.2896
33.153625 88.502 5.2650
33.393871 88.502 5.2423
33.635857 88.502 5.2210
33.879597 88.502 5.2008
34.125103 88.502 5.1820
34.372387 88.502 5.1653
34.621464 88.502 5.1500
34.872345 88.502 5.1359
35.125042 88.502 5.1230
35.379574 88.502 5.1114
35.635948 88.502 5.1010
35.894180 88.502 5.0918
36.154285 88.502 5.0840
36.416275 88.502 5.0778
36.680161 88.502 5.0730
36.945961 88.502 5.0693
37.213688 88.502 5.0670
37.483353 88.502 5.0667
37.754974 88.502 5.0680
38.028561 88.502 5.0706
38.304131 88.502 5.0750
38.581699 88.502 5.0816
38.861279 88.502 5.0910
39.142883 88.502 5.1042
39.426529 88.502 5.1210
39.712231 88.503 5.1417
40.000000 88.504 5.1660
40.289856 88.505 5.1941
40.581814 88.508 5.2240
40.875885 88.513 5.2543
41.172089 88.519 5.2820
41.470440 88.526 5.3033
41.770950 88.534 5.3190
42.073643 88.541 5.3281
42.378525 88.549 5.3310
42.685616 88.557 5.3271
42.994934 88.564 5.3180
43.306492 88.570 5.3036
43.620308 88.574 5.2880
43.936401 88.577 5.2749
44.254780 88.579 5.2660
44.575470 88.580 5.2649
44.898483 88.582 5.2700
45.223835 88.584 5.2818
45.551544 88.587 5.2980
45.881630 88.591 5.3178
46.214108 88.597 5.3370
46.548996 88.604 5.3506
46.886307 88.612 5.3600
47.226067 88.619 5.3646
47.568283 88.627 5.3650
47.912983 88.635 5.3612
48.260181 88.642 5.3540
48.609894 88.649 5.3430
48.962143 88.655 5.3320
49.316940 88.659 5.3252
49.674313 88.663 5.3210
50.034271 88.669 5.3205
50.396843 88.676 5.3200
50.762039 88.683 5.3161
51.129883 88.691 5.3090
51.500389 88.698 5.2982
51.873581 88.706 5.2830
52.249481 88.714 5.2622
52.628101 88.721 5.2370
53.009464 88.727 5.2074
53.393593 88.731 5.1771
53.780506 88.734 5.1489
54.170223 88.736 5.1250
54.562763 88.737 5.1085
54.958145 88.738 5.0990
55.356396 88.738 5.0976
55.757530 88.739 5.1040
56.161572 88.741 5.1191
56.568542 88.744 5.1400
56.978462 88.749 5.1651
57.391350 88.756 5.1910
57.807232 88.764 5.2141
58.226128 88.774 5.2330
58.648056 88.785 5.2458
59.073048 88.797 5.2500
59.501114 88.811 5.2425
59.932281 88.826 5.2230
60.366577 88.839 5.1891
60.804020 88.851 5.1451
61.244629 88.861 5.0938
61.688435 88.870 5.0371
62.135452 88.878 4.9768
62.585712 88.884 4.9151
63.039234 88.888 4.8543
63.496040 88.891 4.7961
63.956161 88.893 4.7431
64.419617 88.894 4.6951
64.886421 88.894 4.6530
65.356621 88.894 4.6161
65.830215 88.894 4.5839
66.307251 88.894 4.5561
66.787743 88.894 4.5322
67.271713 88.894 4.5120
67.759193 88.894 4.4950
68.250206 88.894 4.4820
68.744774 88.894 4.4743
69.242928 88.894 4.4710
69.744690 88.895 4.4714
70.250084 88.896 4.4760
70.759148 88.898 4.4857
71.271896 88.901 4.4980
71.788361 88.905 4.5117
72.308571 88.911 4.5230
72.832550 88.918 4.5273
73.360321 88.926 4.5260
73.891922 88.933 4.5190
74.427376 88.941 4.5060
74.966705 88.949 4.4866
75.509949 88.956 4.4620
76.057121 88.962 4.4321
76.608261 88.967 4.4011
77.163399 88.969 4.3730
77.722557 88.971 4.3490
78.285767 88.973 4.3320
78.853058 88.975 4.3210
79.424461 88.977 4.3173
80.000000 88.979 4.3180
80.579712 88.984 4.3219
81.163628 88.990 4.3250
81.751770 88.997 4.3229
82.344177 89.005 4.3160
82.940880 89.012 4.3028
83.541901 89.020 4.2840
84.147285 89.028 4.2596
84.757050 89.035 4.2301
85.371231 89.041 4.1947
85.989868 89.045 4.1581
86.612984 89.047 4.1240
87.240616 89.049 4.0941
87.872803 89.051 4.0714
88.509560 89.052 4.0550
89.150940 89.053 4.0456
89.796967 89.054 4.0420
90.447670 89.056 4.0445
91.103088 89.060 4.0500
91.763260 89.065 4.0564
92.428215 89.072 4.0610
93.097992 89.079 4.0598
93.772614 89.087 4.0540
94.452133 89.095 4.0435
95.136566 89.102 4.0290
95.825966 89.109 4.0107
96.520363 89.116 3.9900
