* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Harmonicdyne helios_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:42:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Harmonicdyne helios_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Harmonicdyne helios_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 70.758 74.7320
5.036232 70.782 74.7242
5.072727 70.808 74.7160
5.109486 70.838 74.7070
5.146511 70.872 74.6970
5.183805 70.914 74.6851
5.221369 70.959 74.6730
5.259205 71.005 74.6628
5.297316 71.054 74.6530
5.335702 71.106 74.6425
5.374367 71.160 74.6320
5.413311 71.213 74.6219
5.452538 71.266 74.6120
5.492050 71.318 74.6024
5.531847 71.371 74.5930
5.571934 71.424 74.5835
5.612310 71.477 74.5740
5.652979 71.530 74.5646
5.693943 71.583 74.5550
5.735204 71.636 74.5450
5.776763 71.688 74.5350
5.818624 71.741 74.5255
5.860788 71.794 74.5160
5.903258 71.847 74.5060
5.946035 71.900 74.4960
5.989123 71.952 74.4865
6.032523 72.005 74.4770
6.076237 72.058 74.4671
6.120268 72.111 74.4570
6.164618 72.164 74.4471
6.209289 72.217 74.4370
6.254284 72.269 74.4265
6.299605 72.322 74.4160
6.345255 72.375 74.4060
6.391235 72.428 74.3960
6.437549 72.481 74.3856
6.484198 72.534 74.3750
6.531185 72.586 74.3645
6.578513 72.639 74.3540
6.626183 72.692 74.3435
6.674199 72.745 74.3330
6.722563 72.798 74.3225
6.771278 72.851 74.3120
6.820345 72.903 74.3016
6.869768 72.956 74.2910
6.919549 73.009 74.2800
6.969691 73.062 74.2690
7.020196 73.115 74.2586
7.071068 73.168 74.2480
7.122308 73.220 74.2366
7.173919 73.273 74.2250
7.225904 73.326 74.2139
7.278266 73.379 74.2030
7.331007 73.432 74.1921
7.384131 73.485 74.1810
7.437639 73.537 74.1696
7.491535 73.590 74.1580
7.545822 73.643 74.1465
7.600502 73.696 74.1350
7.655579 73.749 74.1235
7.711054 73.802 74.1120
7.766932 73.854 74.1006
7.823214 73.907 74.0890
7.879904 73.960 74.0771
7.937005 74.013 74.0650
7.994520 74.066 74.0530
8.052452 74.119 74.0410
8.110803 74.171 74.0290
8.169578 74.224 74.0170
8.228777 74.277 74.0050
8.288406 74.330 73.9930
8.348468 74.383 73.9811
8.408964 74.436 73.9690
8.469899 74.488 73.9566
8.531276 74.541 73.9440
8.593097 74.594 73.9315
8.655366 74.647 73.9190
8.718086 74.700 73.9066
8.781260 74.753 73.8940
8.844893 74.806 73.8810
8.908987 74.859 73.8680
8.973545 74.911 73.8555
9.038571 74.964 73.8430
9.104069 75.017 73.8301
9.170040 75.070 73.8170
9.236490 75.123 73.8041
9.303422 75.176 73.7910
9.370838 75.228 73.7775
9.438744 75.281 73.7640
9.507140 75.334 73.7510
9.576033 75.387 73.7380
9.645425 75.440 73.7246
9.715320 75.493 73.7110
9.785721 75.545 73.6975
9.856632 75.598 73.6840
9.928058 75.651 73.6705
10.000000 75.704 73.6570
10.072464 75.757 73.6436
10.145453 75.810 73.6300
10.218971 75.862 73.6161
10.293022 75.915 73.6020
10.367610 75.968 73.5880
10.442738 76.021 73.5740
10.518411 76.074 73.5600
10.594631 76.127 73.5460
10.671404 76.179 73.5320
10.748734 76.232 73.5180
10.826623 76.285 73.5040
10.905077 76.338 73.4900
10.984100 76.391 73.4761
11.063695 76.444 73.4620
11.143867 76.496 73.4476
11.224621 76.549 73.4330
11.305959 76.602 73.4185
11.387886 76.655 73.4040
11.470407 76.708 73.3895
11.553527 76.761 73.3750
11.637249 76.813 73.3605
11.721577 76.866 73.3460
11.806517 76.919 73.3315
11.892071 76.972 73.3170
11.978246 77.025 73.3025
12.065045 77.078 73.2880
12.152473 77.131 73.2736
12.240536 77.183 73.2590
12.329235 77.236 73.2440
12.418578 77.289 73.2290
12.508568 77.342 73.2144
12.599211 77.395 73.2000
12.690510 77.447 73.1856
12.782471 77.500 73.1710
12.875097 77.553 73.1560
12.968395 77.606 73.1410
13.062370 77.659 73.1265
13.157025 77.712 73.1120
13.252366 77.764 73.0970
13.348398 77.817 73.0820
13.445127 77.870 73.0675
13.542556 77.923 73.0530
13.640691 77.976 73.0385
13.739536 78.029 73.0240
13.839099 78.081 73.0095
13.939383 78.134 72.9950
14.040393 78.187 72.9805
14.142136 78.240 72.9660
14.244616 78.293 72.9514
14.347837 78.346 72.9370
14.451808 78.398 72.9229
14.556532 78.451 72.9090
14.662014 78.504 72.8950
14.768262 78.557 72.8810
14.875278 78.610 72.8670
14.983070 78.663 72.8530
15.091644 78.715 72.8394
15.201005 78.768 72.8260
15.311157 78.821 72.8125
15.422109 78.874 72.7990
15.533863 78.927 72.7854
15.646428 78.980 72.7720
15.759809 79.032 72.7594
15.874010 79.085 72.7470
15.989040 79.138 72.7345
16.104904 79.191 72.7220
16.221605 79.244 72.7094
16.339155 79.297 72.6970
16.457554 79.350 72.6854
16.576813 79.403 72.6740
16.696936 79.455 72.6624
16.817928 79.508 72.6510
16.939798 79.561 72.6398
17.062551 79.614 72.6290
17.186193 79.667 72.6188
17.310732 79.720 72.6090
17.436172 79.772 72.5994
17.562521 79.825 72.5900
17.689787 79.878 72.5808
17.817974 79.931 72.5720
17.947090 79.984 72.5638
18.077143 80.037 72.5560
18.208138 80.089 72.5488
18.340080 80.142 72.5420
18.472980 80.195 72.5358
18.606844 80.248 72.5300
18.741676 80.301 72.5246
18.877487 80.354 72.5200
19.014280 80.406 72.5166
19.152065 80.459 72.5140
19.290850 80.512 72.5119
19.430639 80.565 72.5110
19.571442 80.618 72.5116
19.713264 80.671 72.5140
19.856115 80.723 72.5179
20.000000 80.776 72.5250
20.144928 80.829 72.5367
20.290907 80.882 72.5530
20.437943 80.937 72.5750
20.586044 80.993 72.6000
20.735220 81.050 72.6285
20.885475 81.111 72.6520
21.036821 81.177 72.6662
21.189262 81.247 72.6580
21.342808 81.319 72.6134
21.497467 81.392 72.5311
21.653246 81.462 72.4029
21.810154 81.527 72.2362
21.968201 81.584 72.0304
22.127390 81.632 71.8023
22.287735 81.667 71.5592
22.449242 81.689 71.3292
22.611917 81.695 71.1349
22.775772 81.688 71.0001
22.940815 81.670 70.9538
23.107054 81.646 71.0029
23.274498 81.619 71.1659
23.443153 81.594 71.4376
23.613033 81.576 71.8250
23.784142 81.569 72.3095
23.956491 81.578 72.8844
24.130091 81.605 73.5202
24.304947 81.655 74.1949
24.481071 81.725 74.8801
24.658470 81.816 75.5472
24.837156 81.926 76.1752
25.017136 82.054 76.7372
25.198421 82.194 77.2225
25.381020 82.343 77.6102
25.564941 82.496 77.9048
25.750195 82.649 78.0991
25.936790 82.800 78.2069
26.124741 82.945 78.2336
26.314051 83.084 78.1971
26.504732 83.213 78.1110
26.696796 83.333 77.9932
26.890253 83.444 77.8627
27.085112 83.548 77.7291
27.281382 83.646 77.6081
27.479073 83.741 77.5011
27.678198 83.834 77.4162
27.878765 83.926 77.3501
28.080786 84.020 77.3037
28.284271 84.116 77.2720
28.489231 84.215 77.2536
28.695675 84.318 77.2380
28.903616 84.428 77.2172
29.113064 84.543 77.1821
29.324028 84.662 77.1212
29.536524 84.784 77.0331
29.750557 84.907 76.9135
29.966141 85.031 76.7602
30.183289 85.157 76.5697
30.402010 85.282 76.3423
30.622314 85.405 76.0753
30.844217 85.525 75.7744
31.067726 85.641 75.4433
31.292856 85.754 75.0856
31.519617 85.863 74.7044
31.748020 85.967 74.3045
31.978081 86.066 73.8899
32.209808 86.160 73.4666
32.443211 86.248 73.0404
32.678310 86.332 72.6155
32.915108 86.412 72.1975
33.153625 86.488 71.7885
33.393871 86.561 71.3932
33.635857 86.633 71.0106
33.879597 86.704 70.6418
34.125103 86.774 70.2845
34.372387 86.844 69.9384
34.621464 86.915 69.5985
34.872345 86.988 69.2603
35.125042 87.061 68.9214
35.379574 87.134 68.5784
35.635948 87.207 68.2304
35.894180 87.280 67.8752
36.154285 87.353 67.5135
36.416275 87.425 67.1444
36.680161 87.495 66.7706
36.945961 87.564 66.3943
37.213688 87.631 66.0156
37.483353 87.697 65.6346
37.754974 87.763 65.2526
38.028561 87.827 64.8708
38.304131 87.890 64.4895
38.581699 87.953 64.1099
38.861279 88.015 63.7306
39.142883 88.077 63.3503
39.426529 88.138 62.9695
39.712231 88.199 62.5892
40.000000 88.260 62.2066
40.289856 88.322 61.8197
40.581814 88.384 61.4276
40.875885 88.445 61.0288
41.172089 88.506 60.6226
41.470440 88.567 60.2084
41.770950 88.627 59.7837
42.073643 88.687 59.3453
42.378525 88.746 58.8956
42.685616 88.801 58.4359
42.994934 88.855 57.9667
43.306492 88.908 57.4888
43.620308 88.959 57.0027
43.936401 89.006 56.5080
44.254780 89.049 56.0088
44.575470 89.089 55.5090
44.898483 89.127 55.0098
45.223835 89.162 54.5131
45.551544 89.193 54.0207
45.881630 89.221 53.5346
46.214108 89.246 53.0567
46.548996 89.269 52.5887
46.886307 89.290 52.1327
47.226067 89.308 51.6920
47.568283 89.325 51.2657
47.912983 89.341 50.8556
48.260181 89.357 50.4576
48.609894 89.373 50.0690
48.962143 89.389 49.6886
49.316940 89.404 49.3151
49.674313 89.419 48.9466
50.034271 89.435 48.5807
50.396843 89.450 48.2166
50.762039 89.463 47.8515
51.129883 89.475 47.4886
51.500389 89.485 47.1295
51.873581 89.493 46.7756
52.249481 89.499 46.4281
52.628101 89.502 46.0896
53.009464 89.503 45.7618
53.393593 89.502 45.4475
53.780506 89.498 45.1490
54.170223 89.491 44.8694
54.562763 89.482 44.6118
54.958145 89.472 44.3783
55.356396 89.460 44.1713
55.757530 89.447 43.9943
56.161572 89.432 43.8512
56.568542 89.418 43.7431
56.978462 89.406 43.6733
57.391350 89.395 43.6390
57.807232 89.387 43.6392
58.226128 89.382 43.6719
58.648056 89.383 43.7371
59.073048 89.389 43.8278
59.501114 89.402 43.9393
59.932281 89.421 44.0648
60.366577 89.447 44.1978
60.804020 89.481 44.3328
61.244629 89.522 44.4634
61.688435 89.570 44.5848
62.135452 89.623 44.6916
62.585712 89.682 44.7789
63.039234 89.747 44.8399
63.496040 89.816 44.8740
63.956161 89.887 44.8785
64.419617 89.962 44.8531
64.886421 90.040 44.7978
65.356621 90.120 44.7092
65.830215 90.201 44.5816
66.307251 90.281 44.4213
66.787743 90.359 44.2326
67.271713 90.436 44.0164
67.759193 90.513 43.7747
68.250206 90.589 43.5085
68.744774 90.662 43.2171
69.242928 90.732 42.9076
69.744690 90.798 42.5876
70.250084 90.863 42.2556
70.759148 90.928 41.9132
71.271896 90.991 41.5597
71.788361 91.051 41.1940
72.308571 91.109 40.8197
72.832550 91.165 40.4405
73.360321 91.220 40.0547
73.891922 91.274 39.6614
74.427376 91.326 39.2618
74.966705 91.376 38.8563
75.509949 91.425 38.4457
76.057121 91.472 38.0313
76.608261 91.518 37.6118
77.163399 91.563 37.1862
77.722557 91.607 36.7549
78.285767 91.648 36.3172
78.853058 91.687 35.8759
79.424461 91.724 35.4336
80.000000 91.759 34.9899
80.579712 91.793 34.5447
81.163628 91.826 34.0998
81.751770 91.855 33.6560
82.344177 91.883 33.2159
82.940880 91.910 32.7844
83.541901 91.936 32.3559
84.147285 91.963 31.9264
84.757050 91.990 31.4958
85.371231 92.015 31.0623
85.989868 92.039 30.6269
86.612984 92.062 30.1910
87.240616 92.084 29.7519
87.872803 92.105 29.3057
88.509560 92.125 28.8569
89.150940 92.141 28.4074
89.796967 92.155 27.9609
90.447670 92.166 27.5217
91.103088 92.176 27.0899
91.763260 92.184 26.6670
92.428215 92.191 26.2538
93.097992 92.197 25.8527
93.772614 92.203 25.4608
94.452133 92.210 25.0769
95.136566 92.217 24.6978
95.825966 92.224 24.3197
96.520363 92.232 23.9428
