* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\harmonicdyne poseidon_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:42:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\harmonicdyne poseidon_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: harmonicdyne poseidon_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 59.462 135.0860
5.036232 59.506 135.0652
5.072727 59.553 135.0430
5.109486 59.608 135.0176
5.146511 59.672 134.9890
5.183805 59.749 134.9557
5.221369 59.832 134.9210
5.259205 59.917 134.8881
5.297316 60.007 134.8550
5.335702 60.103 134.8201
5.374367 60.201 134.7850
5.413311 60.298 134.7508
5.452538 60.395 134.7170
5.492050 60.492 134.6836
5.531847 60.589 134.6500
5.571934 60.686 134.6156
5.612310 60.783 134.5810
5.652979 60.880 134.5465
5.693943 60.977 134.5120
5.735204 61.074 134.4776
5.776763 61.171 134.4430
5.818624 61.268 134.4076
5.860788 61.365 134.3720
5.903258 61.461 134.3366
5.946035 61.558 134.3010
5.989123 61.655 134.2651
6.032523 61.752 134.2290
6.076237 61.849 134.1926
6.120268 61.946 134.1560
6.164618 62.043 134.1191
6.209289 62.140 134.0820
6.254284 62.237 134.0446
6.299605 62.334 134.0070
6.345255 62.431 133.9691
6.391235 62.528 133.9310
6.437549 62.625 133.8931
6.484198 62.722 133.8550
6.531185 62.819 133.8162
6.578513 62.916 133.7770
6.626183 63.012 133.7376
6.674199 63.109 133.6980
6.722563 63.206 133.6586
6.771278 63.303 133.6190
6.820345 63.400 133.5787
6.869768 63.497 133.5380
6.919549 63.594 133.4971
6.969691 63.691 133.4560
7.020196 63.788 133.4146
7.071068 63.885 133.3730
7.122308 63.982 133.3312
7.173919 64.079 133.2890
7.225904 64.176 133.2461
7.278266 64.273 133.2030
7.331007 64.370 133.1601
7.384131 64.467 133.1170
7.437639 64.563 133.0737
7.491535 64.660 133.0300
7.545822 64.757 132.9857
7.600502 64.854 132.9410
7.655579 64.951 132.8961
7.711054 65.048 132.8510
7.766932 65.145 132.8056
7.823214 65.242 132.7600
7.879904 65.339 132.7142
7.937005 65.436 132.6680
7.994520 65.533 132.6212
8.052452 65.630 132.5740
8.110803 65.727 132.5267
8.169578 65.824 132.4790
8.228777 65.921 132.4306
8.288406 66.018 132.3820
8.348468 66.114 132.3336
8.408964 66.211 132.2850
8.469899 66.308 132.2358
8.531276 66.405 132.1860
8.593097 66.502 132.1357
8.655366 66.599 132.0850
8.718086 66.696 132.0341
8.781260 66.793 131.9830
8.844893 66.890 131.9317
8.908987 66.987 131.8800
8.973545 67.084 131.8278
9.038571 67.181 131.7750
9.104069 67.278 131.7216
9.170040 67.375 131.6680
9.236490 67.472 131.6147
9.303422 67.569 131.5610
9.370838 67.665 131.5063
9.438744 67.762 131.4510
9.507140 67.859 131.3956
9.576033 67.956 131.3400
9.645425 68.053 131.2842
9.715320 68.150 131.2280
9.785721 68.247 131.1713
9.856632 68.344 131.1140
9.928058 68.441 131.0562
10.000000 68.538 130.9980
10.072464 68.635 130.9397
10.145453 68.732 130.8811
10.218971 68.829 130.8218
10.293022 68.926 130.7620
10.367610 69.023 130.7018
10.442738 69.120 130.6410
10.518411 69.216 130.5797
10.594631 69.313 130.5180
10.671404 69.410 130.4562
10.748734 69.507 130.3940
10.826623 69.604 130.3313
10.905077 69.701 130.2681
10.984100 69.798 130.2043
11.063695 69.895 130.1400
11.143867 69.992 130.0752
11.224621 70.089 130.0100
11.305959 70.186 129.9448
11.387886 70.283 129.8790
11.470407 70.380 129.8123
11.553527 70.477 129.7450
11.637249 70.574 129.6778
11.721577 70.671 129.6101
11.806517 70.767 129.5413
11.892071 70.864 129.4721
11.978246 70.961 129.4028
12.065045 71.058 129.3330
12.152473 71.155 129.2623
12.240536 71.252 129.1910
12.329235 71.349 129.1192
12.418578 71.446 129.0471
12.508568 71.543 128.9748
12.599211 71.640 128.9020
12.690510 71.737 128.8284
12.782471 71.834 128.7541
12.875097 71.931 128.6793
12.968395 72.028 128.6041
13.062370 72.125 128.5284
13.157025 72.222 128.4520
13.252366 72.318 128.3748
13.348398 72.415 128.2971
13.445127 72.512 128.2188
13.542556 72.609 128.1401
13.640691 72.706 128.0608
13.739536 72.803 127.9810
13.839099 72.900 127.9009
13.939383 72.997 127.8201
14.040393 73.094 127.7384
14.142136 73.191 127.6560
14.244616 73.288 127.5733
14.347837 73.385 127.4900
14.451808 73.482 127.4063
14.556532 73.579 127.3220
14.662014 73.676 127.2369
14.768262 73.773 127.1511
14.875278 73.869 127.0644
14.983070 73.966 126.9771
15.091644 74.063 126.8894
15.201005 74.160 126.8011
15.311157 74.257 126.7119
15.422109 74.354 126.6221
15.533863 74.451 126.5314
15.646428 74.548 126.4401
15.759809 74.645 126.3484
15.874010 74.742 126.2561
15.989040 74.839 126.1629
16.104904 74.936 126.0691
16.221605 75.033 125.9744
16.339155 75.130 125.8791
16.457554 75.227 125.7834
16.576813 75.324 125.6871
16.696936 75.420 125.5899
16.817928 75.517 125.4921
16.939798 75.614 125.3935
17.062551 75.711 125.2941
17.186193 75.808 125.1940
17.310732 75.905 125.0931
17.436172 76.002 124.9914
17.562521 76.099 124.8891
17.689787 76.196 124.7865
17.817974 76.293 124.6831
17.947090 76.390 124.5785
18.077143 76.487 124.4731
18.208138 76.584 124.3673
18.340080 76.681 124.2611
18.472980 76.777 124.1544
18.606844 76.874 124.0471
18.741676 76.971 123.9389
18.877487 77.068 123.8301
19.014280 77.165 123.7209
19.152065 77.262 123.6111
19.290850 77.359 123.5007
19.430639 77.456 123.3901
19.571442 77.553 123.2797
19.713264 77.650 123.1701
19.856115 77.746 123.0622
20.000000 77.843 122.9561
20.144928 77.940 122.8524
20.290907 78.038 122.7501
20.437943 78.138 122.6495
20.586044 78.239 122.5471
20.735220 78.341 122.4410
20.885475 78.445 122.3261
21.036821 78.551 122.1969
21.189262 78.658 122.0532
21.342808 78.763 121.8920
21.497467 78.867 121.7172
21.653246 78.968 121.5302
21.810154 79.067 121.3353
21.968201 79.163 121.1348
22.127390 79.256 120.9362
22.287735 79.345 120.7467
22.449242 79.432 120.5701
22.611917 79.518 120.4148
22.775772 79.604 120.2752
22.940815 79.693 120.1502
23.107054 79.785 120.0341
23.274498 79.878 119.9230
23.443153 79.974 119.8112
23.613033 80.073 119.6935
23.784142 80.175 119.5651
23.956491 80.277 119.4188
24.130091 80.380 119.2562
24.304947 80.481 119.0756
24.481071 80.581 118.8793
24.658470 80.678 118.6669
24.837156 80.773 118.4443
25.017136 80.863 118.2141
25.198421 80.948 117.9852
25.381020 81.028 117.7651
25.564941 81.104 117.5612
25.750195 81.176 117.3816
25.936790 81.246 117.2312
26.124741 81.313 117.1166
26.314051 81.381 117.0401
26.504732 81.450 117.0077
26.696796 81.522 117.0140
26.890253 81.600 117.0599
27.085112 81.685 117.1319
27.281382 81.780 117.2211
27.479073 81.884 117.3139
27.678198 81.997 117.3971
27.878765 82.119 117.4599
28.080786 82.247 117.4885
28.284271 82.381 117.4790
28.489231 82.518 117.4222
28.695675 82.656 117.3212
28.903616 82.792 117.1740
29.113064 82.927 116.9873
29.324028 83.059 116.7639
29.536524 83.189 116.5123
29.750557 83.313 116.2396
29.966141 83.434 115.9523
30.183289 83.551 115.6598
30.402010 83.667 115.3614
30.622314 83.781 115.0609
30.844217 83.894 114.7544
31.067726 84.007 114.4392
31.292856 84.119 114.1155
31.519617 84.228 113.7812
31.748020 84.336 113.4394
31.978081 84.441 113.0934
32.209808 84.545 112.7415
32.443211 84.648 112.3819
32.678310 84.749 112.0175
32.915108 84.846 111.6493
33.153625 84.941 111.2814
33.393871 85.033 110.9181
33.635857 85.123 110.5595
33.879597 85.212 110.2070
34.125103 85.301 109.8615
34.372387 85.387 109.5249
34.621464 85.473 109.1955
34.872345 85.560 108.8731
35.125042 85.647 108.5554
35.379574 85.734 108.2400
35.635948 85.821 107.9264
35.894180 85.909 107.6149
36.154285 85.997 107.3005
36.416275 86.087 106.9776
36.680161 86.176 106.6475
36.945961 86.263 106.3084
37.213688 86.349 105.9645
37.483353 86.433 105.6186
37.754974 86.515 105.2725
38.028561 86.596 104.9287
38.304131 86.675 104.5884
38.581699 86.753 104.2535
38.861279 86.829 103.9255
39.142883 86.904 103.6071
39.426529 86.979 103.2974
39.712231 87.055 102.9972
40.000000 87.131 102.7034
40.289856 87.208 102.4133
40.581814 87.285 102.1274
40.875885 87.362 101.8456
41.172089 87.439 101.5674
41.470440 87.517 101.2936
41.770950 87.597 101.0204
42.073643 87.678 100.7444
42.378525 87.760 100.4664
42.685616 87.841 100.1858
42.994934 87.922 99.9034
43.306492 88.004 99.6207
43.620308 88.087 99.3344
43.936401 88.171 99.0416
44.254780 88.256 98.7425
44.575470 88.341 98.4357
44.898483 88.425 98.1225
45.223835 88.508 97.8038
45.551544 88.591 97.4795
45.881630 88.675 97.1501
46.214108 88.759 96.8145
46.548996 88.842 96.4716
46.886307 88.924 96.1216
47.226067 89.006 95.7646
47.568283 89.088 95.3996
47.912983 89.169 95.0254
48.260181 89.250 94.6416
48.609894 89.329 94.2466
48.962143 89.406 93.8426
49.316940 89.480 93.4301
49.674313 89.552 93.0137
50.034271 89.620 92.5977
50.396843 89.686 92.1836
50.762039 89.750 91.7743
51.129883 89.813 91.3697
51.500389 89.873 90.9699
51.873581 89.932 90.5767
52.249481 89.989 90.1924
52.628101 90.045 89.8146
53.009464 90.101 89.4419
53.393593 90.156 89.0736
53.780506 90.208 88.7062
54.170223 90.258 88.3466
54.562763 90.305 88.0002
54.958145 90.351 87.6675
55.356396 90.395 87.3508
55.757530 90.439 87.0505
56.161572 90.482 86.7670
56.568542 90.524 86.5024
56.978462 90.565 86.2598
57.391350 90.607 86.0374
57.807232 90.650 85.8344
58.226128 90.694 85.6513
58.648056 90.738 85.4889
59.073048 90.785 85.3462
59.501114 90.834 85.2239
59.932281 90.887 85.1182
60.366577 90.943 85.0259
60.804020 91.003 84.9451
61.244629 91.067 84.8750
61.688435 91.135 84.8091
62.135452 91.209 84.7425
62.585712 91.287 84.6701
63.039234 91.369 84.5849
63.496040 91.455 84.4882
63.956161 91.542 84.3798
64.419617 91.633 84.2572
64.886421 91.727 84.1175
65.356621 91.824 83.9613
65.830215 91.920 83.7878
66.307251 92.018 83.5984
66.787743 92.118 83.3953
67.271713 92.220 83.1744
67.759193 92.324 82.9330
68.250206 92.430 82.6695
68.744774 92.536 82.3815
69.242928 92.643 82.0686
69.744690 92.749 81.7293
70.250084 92.855 81.3647
70.759148 92.959 80.9743
71.271896 93.062 80.5618
71.788361 93.162 80.1296
72.308571 93.260 79.6809
72.832550 93.355 79.2186
73.360321 93.447 78.7449
73.891922 93.537 78.2634
74.427376 93.626 77.7729
74.966705 93.713 77.2735
75.509949 93.799 76.7659
76.057121 93.882 76.2508
76.608261 93.963 75.7290
77.163399 94.042 75.2015
77.722557 94.120 74.6681
78.285767 94.195 74.1289
78.853058 94.269 73.5851
79.424461 94.340 73.0372
80.000000 94.410 72.4871
80.579712 94.476 71.9370
81.163628 94.541 71.3871
81.751770 94.604 70.8383
82.344177 94.666 70.2901
82.940880 94.726 69.7413
83.541901 94.784 69.1951
84.147285 94.839 68.6542
84.757050 94.893 68.1190
85.371231 94.946 67.5913
85.989868 94.999 67.0691
86.612984 95.051 66.5507
87.240616 95.102 66.0360
87.872803 95.154 65.5255
88.509560 95.206 65.0160
89.150940 95.258 64.5049
89.796967 95.309 63.9921
90.447670 95.360 63.4765
91.103088 95.410 62.9581
91.763260 95.459 62.4366
92.428215 95.508 61.9121
93.097992 95.555 61.3840
93.772614 95.601 60.8541
94.452133 95.645 60.3242
95.136566 95.688 59.7941
95.825966 95.731 59.2642
96.520363 95.772 58.7352
