* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HarmonicDyne Zeus_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:43:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HarmonicDyne Zeus_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HarmonicDyne Zeus_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 67.328 87.7450
5.036232 67.357 87.7267
5.072727 67.388 87.7070
5.109486 67.424 87.6840
5.146511 67.466 87.6580
5.183805 67.516 87.6279
5.221369 67.571 87.5960
5.259205 67.628 87.5649
5.297316 67.687 87.5330
5.335702 67.750 87.4987
5.374367 67.815 87.4640
5.413311 67.879 87.4304
5.452538 67.943 87.3970
5.492050 68.007 87.3636
5.531847 68.071 87.3300
5.571934 68.135 87.2961
5.612310 68.199 87.2620
5.652979 68.263 87.2276
5.693943 68.327 87.1930
5.735204 68.391 87.1581
5.776763 68.455 87.1230
5.818624 68.519 87.0876
5.860788 68.583 87.0520
5.903258 68.647 87.0166
5.946035 68.711 86.9810
5.989123 68.775 86.9452
6.032523 68.839 86.9090
6.076237 68.903 86.8721
6.120268 68.967 86.8350
6.164618 69.031 86.7981
6.209289 69.095 86.7610
6.254284 69.159 86.7237
6.299605 69.223 86.6860
6.345255 69.287 86.6476
6.391235 69.351 86.6090
6.437549 69.415 86.5706
6.484198 69.479 86.5320
6.531185 69.543 86.4926
6.578513 69.607 86.4530
6.626183 69.671 86.4136
6.674199 69.735 86.3740
6.722563 69.799 86.3337
6.771278 69.863 86.2930
6.820345 69.927 86.2521
6.869768 69.991 86.2110
6.919549 70.055 86.1701
6.969691 70.119 86.1290
7.020196 70.183 86.0873
7.071068 70.247 86.0450
7.122308 70.311 86.0021
7.173919 70.375 85.9590
7.225904 70.439 85.9161
7.278266 70.503 85.8730
7.331007 70.567 85.8292
7.384131 70.631 85.7850
7.437639 70.695 85.7406
7.491535 70.759 85.6960
7.545822 70.823 85.6511
7.600502 70.887 85.6060
7.655579 70.951 85.5607
7.711054 71.015 85.5150
7.766932 71.079 85.4687
7.823214 71.143 85.4220
7.879904 71.207 85.3752
7.937005 71.271 85.3280
7.994520 71.335 85.2802
8.052452 71.399 85.2320
8.110803 71.463 85.1836
8.169578 71.527 85.1350
8.228777 71.591 85.0862
8.288406 71.655 85.0370
8.348468 71.719 84.9872
8.408964 71.783 84.9370
8.469899 71.847 84.8867
8.531276 71.911 84.8360
8.593097 71.975 84.7847
8.655366 72.039 84.7330
8.718086 72.103 84.6812
8.781260 72.167 84.6290
8.844893 72.231 84.5762
8.908987 72.295 84.5230
8.973545 72.359 84.4697
9.038571 72.423 84.4160
9.104069 72.487 84.3618
9.170040 72.551 84.3070
9.236490 72.615 84.2517
9.303422 72.679 84.1960
9.370838 72.743 84.1402
9.438744 72.807 84.0840
9.507140 72.871 84.0273
9.576033 72.935 83.9700
9.645425 72.999 83.9122
9.715320 73.063 83.8540
9.785721 73.127 83.7957
9.856632 73.191 83.7370
9.928058 73.255 83.6778
10.000000 73.319 83.6180
10.072464 73.383 83.5577
10.145453 73.447 83.4971
10.218971 73.511 83.4363
10.293022 73.575 83.3750
10.367610 73.639 83.3128
10.442738 73.703 83.2500
10.518411 73.767 83.1873
10.594631 73.831 83.1240
10.671404 73.895 83.0598
10.748734 73.959 82.9950
10.826623 74.023 82.9302
10.905077 74.087 82.8651
10.984100 74.151 82.7994
11.063695 74.215 82.7330
11.143867 74.279 82.6658
11.224621 74.343 82.5980
11.305959 74.407 82.5303
11.387886 74.471 82.4621
11.470407 74.535 82.3928
11.553527 74.599 82.3230
11.637249 74.663 82.2533
11.721577 74.727 82.1831
11.806517 74.791 82.1119
11.892071 74.855 82.0401
11.978246 74.919 81.9673
12.065045 74.983 81.8940
12.152473 75.047 81.8208
12.240536 75.111 81.7470
12.329235 75.175 81.6724
12.418578 75.239 81.5971
12.508568 75.303 81.5214
12.599211 75.367 81.4450
12.690510 75.431 81.3679
12.782471 75.495 81.2901
12.875097 75.559 81.2118
12.968395 75.623 81.1331
13.062370 75.687 81.0539
13.157025 75.751 80.9740
13.252366 75.815 80.8934
13.348398 75.879 80.8121
13.445127 75.943 80.7299
13.542556 76.007 80.6471
13.640691 76.071 80.5639
13.739536 76.135 80.4800
13.839099 76.199 80.3949
13.939383 76.263 80.3091
14.040393 76.327 80.2228
14.142136 76.391 80.1360
14.244616 76.455 80.0489
14.347837 76.519 79.9610
14.451808 76.583 79.8720
14.556532 76.647 79.7820
14.662014 76.711 79.6915
14.768262 76.775 79.6001
14.875278 76.839 79.5075
14.983070 76.903 79.4141
15.091644 76.967 79.3205
15.201005 77.031 79.2261
15.311157 77.095 79.1305
15.422109 77.159 79.0341
15.533863 77.223 78.9370
15.646428 77.287 78.8391
15.759809 77.351 78.7400
15.874010 77.415 78.6401
15.989040 77.479 78.5395
16.104904 77.543 78.4381
16.221605 77.607 78.3356
16.339155 77.671 78.2321
16.457554 77.735 78.1276
16.576813 77.799 78.0221
16.696936 77.863 77.9156
16.817928 77.927 77.8081
16.939798 77.991 77.6992
17.062551 78.055 77.5891
17.186193 78.119 77.4782
17.310732 78.183 77.3661
17.436172 78.247 77.2527
17.562521 78.311 77.1381
17.689787 78.375 77.0224
17.817974 78.439 76.9051
17.947090 78.503 76.7859
18.077143 78.567 76.6651
18.208138 78.631 76.5435
18.340080 78.695 76.4201
18.472980 78.759 76.2942
18.606844 78.823 76.1661
18.741676 78.887 76.0360
18.877487 78.951 75.9031
19.014280 79.015 75.7671
19.152065 79.079 75.6272
19.290850 79.142 75.4823
19.430639 79.205 75.3331
19.571442 79.267 75.1792
19.713264 79.329 75.0222
19.856115 79.389 74.8621
20.000000 79.447 74.7032
20.144928 79.503 74.5490
20.290907 79.558 74.4011
20.437943 79.612 74.2620
20.586044 79.666 74.1321
20.735220 79.719 74.0124
20.885475 79.772 73.9041
21.036821 79.826 73.8108
21.189262 79.881 73.7271
21.342808 79.940 73.6506
21.497467 80.001 73.5761
21.653246 80.064 73.4979
21.810154 80.130 73.4151
21.968201 80.197 73.3262
22.127390 80.265 73.2281
22.287735 80.335 73.1170
22.449242 80.406 72.9941
22.611917 80.475 72.8580
22.775772 80.544 72.7122
22.940815 80.612 72.5598
23.107054 80.679 72.4002
23.274498 80.746 72.2331
23.443153 80.812 72.0612
23.613033 80.875 71.8870
23.784142 80.937 71.7122
23.956491 80.999 71.5397
24.130091 81.061 71.3682
24.304947 81.122 71.1963
24.481071 81.182 71.0262
24.658470 81.241 70.8591
24.837156 81.300 70.6962
25.017136 81.359 70.5403
25.198421 81.418 70.3882
25.381020 81.479 70.2376
25.564941 81.540 70.0881
25.750195 81.601 69.9381
25.936790 81.663 69.7882
26.124741 81.725 69.6389
26.314051 81.787 69.4892
26.504732 81.850 69.3386
26.696796 81.914 69.1862
26.890253 81.979 69.0312
27.085112 82.044 68.8732
27.281382 82.109 68.7110
27.479073 82.175 68.5452
27.678198 82.242 68.3769
27.878765 82.309 68.2032
28.080786 82.377 68.0216
28.284271 82.445 67.8323
28.489231 82.513 67.6340
28.695675 82.580 67.4293
28.903616 82.646 67.2204
29.113064 82.712 67.0073
29.324028 82.778 66.7906
29.536524 82.844 66.5703
29.750557 82.909 66.3459
29.966141 82.973 66.1192
30.183289 83.037 65.8923
30.402010 83.101 65.6633
30.622314 83.166 65.4315
30.844217 83.231 65.1953
31.067726 83.296 64.9528
31.292856 83.361 64.7044
31.519617 83.425 64.4494
31.748020 83.488 64.1893
31.978081 83.551 63.9258
32.209808 83.614 63.6583
32.443211 83.676 63.3865
32.678310 83.737 63.1114
32.915108 83.798 62.8342
33.153625 83.858 62.5543
33.393871 83.918 62.2723
33.635857 83.979 61.9854
33.879597 84.040 61.6916
34.125103 84.101 61.3904
34.372387 84.161 61.0810
34.621464 84.219 60.7635
34.872345 84.276 60.4362
35.125042 84.331 60.1034
35.379574 84.384 59.7675
35.635948 84.434 59.4324
35.894180 84.481 59.1022
36.154285 84.527 58.7795
36.416275 84.572 58.4682
36.680161 84.616 58.1675
36.945961 84.660 57.8796
37.213688 84.706 57.5984
37.483353 84.754 57.3192
37.754974 84.803 57.0404
38.028561 84.852 56.7593
38.304131 84.901 56.4754
38.581699 84.951 56.1882
38.861279 85.002 55.8955
39.142883 85.054 55.5937
39.426529 85.105 55.2854
39.712231 85.154 54.9716
40.000000 85.203 54.6535
40.289856 85.252 54.3336
40.581814 85.301 54.0095
40.875885 85.349 53.6784
41.172089 85.397 53.3435
41.470440 85.443 53.0069
41.770950 85.488 52.6686
42.073643 85.534 52.3292
42.378525 85.579 51.9895
42.685616 85.622 51.6510
42.994934 85.665 51.3115
43.306492 85.711 50.9714
43.620308 85.759 50.6245
43.936401 85.806 50.2636
44.254780 85.853 49.8916
44.575470 85.898 49.5097
44.898483 85.943 49.1157
45.223835 85.989 48.7079
45.551544 86.034 48.2856
45.881630 86.075 47.8457
46.214108 86.114 47.3937
46.548996 86.149 46.9344
46.886307 86.181 46.4677
47.226067 86.212 45.9951
47.568283 86.239 45.5178
47.912983 86.262 45.0366
48.260181 86.281 44.5548
48.609894 86.297 44.0754
48.962143 86.310 43.6007
49.316940 86.318 43.1327
49.674313 86.322 42.6757
50.034271 86.323 42.2340
50.396843 86.320 41.8096
50.762039 86.315 41.4066
51.129883 86.307 41.0236
51.500389 86.298 40.6604
51.873581 86.288 40.3176
52.249481 86.276 39.9952
52.628101 86.264 39.6945
53.009464 86.251 39.4178
53.393593 86.238 39.1614
53.780506 86.227 38.9229
54.170223 86.216 38.7004
54.562763 86.205 38.4902
54.958145 86.195 38.2943
55.356396 86.184 38.1133
55.757530 86.174 37.9473
56.161572 86.165 37.7968
56.568542 86.156 37.6612
56.978462 86.148 37.5395
57.391350 86.140 37.4332
57.807232 86.133 37.3431
58.226128 86.126 37.2701
58.648056 86.121 37.2158
59.073048 86.117 37.1781
59.501114 86.116 37.1560
59.932281 86.117 37.1480
60.366577 86.121 37.1523
60.804020 86.128 37.1680
61.244629 86.137 37.1939
61.688435 86.149 37.2289
62.135452 86.165 37.2728
62.585712 86.184 37.3219
63.039234 86.207 37.3737
63.496040 86.234 37.4249
63.956161 86.265 37.4721
64.419617 86.300 37.5129
64.886421 86.338 37.5444
65.356621 86.380 37.5650
65.830215 86.424 37.5726
66.307251 86.471 37.5660
66.787743 86.520 37.5441
67.271713 86.572 37.5041
67.759193 86.626 37.4428
68.250206 86.682 37.3602
68.744774 86.738 37.2545
69.242928 86.794 37.1283
69.744690 86.850 36.9834
70.250084 86.905 36.8203
70.759148 86.960 36.6400
71.271896 87.015 36.4424
71.788361 87.069 36.2271
72.308571 87.122 35.9964
72.832550 87.173 35.7527
73.360321 87.222 35.4955
73.891922 87.271 35.2251
74.427376 87.319 34.9426
74.966705 87.364 34.6476
75.509949 87.407 34.3435
76.057121 87.448 34.0335
76.608261 87.486 33.7186
77.163399 87.522 33.4002
77.722557 87.556 33.0807
78.285767 87.588 32.7630
78.853058 87.618 32.4476
79.424461 87.647 32.1366
80.000000 87.675 31.8286
80.579712 87.702 31.5242
81.163628 87.729 31.2206
81.751770 87.756 30.9150
82.344177 87.783 30.6086
82.940880 87.808 30.3007
83.541901 87.831 29.9936
84.147285 87.854 29.6903
84.757050 87.876 29.3886
85.371231 87.898 29.0868
85.989868 87.920 28.7856
86.612984 87.940 28.4850
87.240616 87.959 28.1856
87.872803 87.978 27.8877
88.509560 87.997 27.5916
89.150940 88.014 27.2982
89.796967 88.031 27.0066
90.447670 88.048 26.7159
91.103088 88.065 26.4266
91.763260 88.081 26.1390
92.428215 88.096 25.8536
93.097992 88.111 25.5716
93.772614 88.127 25.2906
94.452133 88.143 25.0089
95.136566 88.159 24.7256
95.825966 88.175 24.4396
96.520363 88.191 24.1496
