* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Ananda 2019_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:45:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Ananda 2019_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Ananda 2019_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 78.269 45.2120
5.036232 78.284 45.1994
5.072727 78.300 45.1860
5.109486 78.319 45.1710
5.146511 78.341 45.1540
5.183805 78.367 45.1337
5.221369 78.396 45.1120
5.259205 78.426 45.0909
5.297316 78.457 45.0690
5.335702 78.490 45.0453
5.374367 78.524 45.0210
5.413311 78.558 44.9975
5.452538 78.591 44.9740
5.492050 78.624 44.9500
5.531847 78.658 44.9260
5.571934 78.691 44.9026
5.612310 78.725 44.8790
5.652979 78.758 44.8546
5.693943 78.792 44.8300
5.735204 78.826 44.8056
5.776763 78.859 44.7810
5.818624 78.893 44.7561
5.860788 78.926 44.7310
5.903258 78.959 44.7056
5.946035 78.993 44.6800
5.989123 79.026 44.6546
6.032523 79.060 44.6290
6.076237 79.093 44.6031
6.120268 79.127 44.5770
6.164618 79.160 44.5511
6.209289 79.194 44.5250
6.254284 79.227 44.4981
6.299605 79.261 44.4710
6.345255 79.295 44.4441
6.391235 79.329 44.4170
6.437549 79.363 44.3896
6.484198 79.396 44.3620
6.531185 79.429 44.3346
6.578513 79.463 44.3070
6.626183 79.496 44.2786
6.674199 79.530 44.2500
6.722563 79.563 44.2216
6.771278 79.597 44.1930
6.820345 79.630 44.1641
6.869768 79.664 44.1350
6.919549 79.697 44.1056
6.969691 79.731 44.0760
7.020196 79.764 44.0461
7.071068 79.798 44.0160
7.122308 79.831 43.9856
7.173919 79.865 43.9550
7.225904 79.898 43.9246
7.278266 79.932 43.8940
7.331007 79.965 43.8626
7.384131 79.999 43.8310
7.437639 80.032 43.7996
7.491535 80.066 43.7680
7.545822 80.099 43.7356
7.600502 80.133 43.7030
7.655579 80.166 43.6706
7.711054 80.200 43.6380
7.766932 80.233 43.6051
7.823214 80.267 43.5720
7.879904 80.300 43.5387
7.937005 80.334 43.5050
7.994520 80.368 43.4706
8.052452 80.402 43.4360
8.110803 80.436 43.4016
8.169578 80.469 43.3670
8.228777 80.502 43.3316
8.288406 80.536 43.2960
8.348468 80.569 43.2606
8.408964 80.603 43.2250
8.469899 80.636 43.1892
8.531276 80.670 43.1530
8.593097 80.703 43.1162
8.655366 80.737 43.0790
8.718086 80.770 43.0416
8.781260 80.804 43.0040
8.844893 80.837 42.9661
8.908987 80.871 42.9280
8.973545 80.904 42.8896
9.038571 80.938 42.8510
9.104069 80.971 42.8122
9.170040 81.005 42.7730
9.236490 81.038 42.7331
9.303422 81.072 42.6930
9.370838 81.105 42.6531
9.438744 81.139 42.6130
9.507140 81.172 42.5723
9.576033 81.206 42.5310
9.645425 81.239 42.4891
9.715320 81.273 42.4470
9.785721 81.306 42.4051
9.856632 81.340 42.3630
9.928058 81.373 42.3202
10.000000 81.407 42.2770
10.072464 81.440 42.2337
10.145453 81.474 42.1900
10.218971 81.508 42.1457
10.293022 81.542 42.1010
10.367610 81.576 42.0562
10.442738 81.609 42.0110
10.518411 81.643 41.9652
10.594631 81.676 41.9190
10.671404 81.709 41.8726
10.748734 81.743 41.8260
10.826623 81.776 41.7792
10.905077 81.810 41.7320
10.984100 81.843 41.6842
11.063695 81.877 41.6360
11.143867 81.910 41.5877
11.224621 81.944 41.5390
11.305959 81.977 41.4898
11.387886 82.011 41.4400
11.470407 82.044 41.3898
11.553527 82.078 41.3390
11.637249 82.111 41.2877
11.721577 82.145 41.2360
11.806517 82.178 41.1842
11.892071 82.212 41.1320
11.978246 82.245 41.0798
12.065045 82.279 41.0270
12.152473 82.312 40.9733
12.240536 82.346 40.9190
12.329235 82.379 40.8647
12.418578 82.413 40.8101
12.508568 82.446 40.7548
12.599211 82.480 40.6990
12.690510 82.513 40.6428
12.782471 82.547 40.5861
12.875097 82.581 40.5288
12.968395 82.615 40.4710
13.062370 82.649 40.4128
13.157025 82.682 40.3540
13.252366 82.715 40.2948
13.348398 82.749 40.2350
13.445127 82.782 40.1747
13.542556 82.816 40.1141
13.640691 82.849 40.0533
13.739536 82.883 39.9920
13.839099 82.916 39.9299
13.939383 82.950 39.8671
14.040393 82.983 39.8033
14.142136 83.017 39.7390
14.244616 83.050 39.6747
14.347837 83.084 39.6100
14.451808 83.117 39.5448
14.556532 83.151 39.4790
14.662014 83.184 39.4124
14.768262 83.218 39.3451
14.875278 83.251 39.2769
14.983070 83.285 39.2081
15.091644 83.318 39.1388
15.201005 83.352 39.0690
15.311157 83.385 38.9989
15.422109 83.419 38.9281
15.533863 83.452 38.8564
15.646428 83.486 38.7840
15.759809 83.519 38.7114
15.874010 83.553 38.6381
15.989040 83.586 38.5639
16.104904 83.620 38.4891
16.221605 83.653 38.4139
16.339155 83.687 38.3381
16.457554 83.721 38.2615
16.576813 83.755 38.1841
16.696936 83.789 38.1058
16.817928 83.822 38.0271
16.939798 83.855 37.9484
17.062551 83.889 37.8691
17.186193 83.922 37.7884
17.310732 83.956 37.7071
17.436172 83.989 37.6258
17.562521 84.023 37.5441
17.689787 84.056 37.4613
17.817974 84.090 37.3781
17.947090 84.123 37.2947
18.077143 84.157 37.2110
18.208138 84.190 37.1272
18.340080 84.224 37.0431
18.472980 84.257 36.9585
18.606844 84.291 36.8741
18.741676 84.324 36.7903
18.877487 84.358 36.7071
19.014280 84.391 36.6245
19.152065 84.425 36.5431
19.290850 84.459 36.4636
19.430639 84.493 36.3861
19.571442 84.527 36.3109
19.713264 84.562 36.2381
19.856115 84.598 36.1676
20.000000 84.635 36.0991
20.144928 84.672 36.0317
20.290907 84.711 35.9661
20.437943 84.751 35.9037
20.586044 84.793 35.8410
20.735220 84.838 35.7774
20.885475 84.887 35.7061
21.036821 84.939 35.6209
21.189262 84.994 35.5191
21.342808 85.050 35.3977
21.497467 85.109 35.2522
21.653246 85.170 35.0789
21.810154 85.232 34.8733
21.968201 85.294 34.6285
22.127390 85.355 34.3483
22.287735 85.411 34.0329
22.449242 85.464 33.6863
22.611917 85.514 33.3119
22.775772 85.559 32.9115
22.940815 85.598 32.4849
23.107054 85.630 32.0416
23.274498 85.654 31.5891
23.443153 85.670 31.1336
23.613033 85.680 30.6819
23.784142 85.683 30.2404
23.956491 85.678 29.8141
24.130091 85.665 29.4134
24.304947 85.645 29.0486
24.481071 85.619 28.7254
24.658470 85.588 28.4529
24.837156 85.554 28.2323
25.017136 85.520 28.0692
25.198421 85.486 27.9591
25.381020 85.455 27.9010
25.564941 85.427 27.8890
25.750195 85.404 27.9203
25.936790 85.388 27.9849
26.124741 85.380 28.0763
26.314051 85.379 28.1818
26.504732 85.387 28.2888
26.696796 85.402 28.3909
26.890253 85.422 28.4785
27.085112 85.447 28.5489
27.281382 85.476 28.5969
27.479073 85.509 28.6200
27.678198 85.544 28.6132
27.878765 85.580 28.5791
28.080786 85.615 28.5170
28.284271 85.649 28.4311
28.489231 85.681 28.3232
28.695675 85.711 28.1992
28.903616 85.737 28.0634
29.113064 85.759 27.9222
29.324028 85.778 27.7819
29.536524 85.794 27.6472
29.750557 85.807 27.5242
29.966141 85.818 27.4141
30.183289 85.829 27.3207
30.402010 85.840 27.2421
30.622314 85.852 27.1785
30.844217 85.865 27.1281
31.067726 85.880 27.0909
31.292856 85.897 27.0610
31.519617 85.918 27.0337
31.748020 85.941 27.0060
31.978081 85.966 26.9739
32.209808 85.993 26.9371
32.443211 86.022 26.8954
32.678310 86.053 26.8451
32.915108 86.087 26.7831
33.153625 86.123 26.7061
33.393871 86.160 26.6088
33.635857 86.197 26.4932
33.879597 86.233 26.3598
34.125103 86.269 26.2082
34.372387 86.305 26.0381
34.621464 86.339 25.8503
34.872345 86.372 25.6444
35.125042 86.402 25.4233
35.379574 86.429 25.1885
35.635948 86.453 24.9443
35.894180 86.473 24.6949
36.154285 86.490 24.4424
36.416275 86.504 24.1885
36.680161 86.515 23.9384
36.945961 86.521 23.6959
37.213688 86.523 23.4663
37.483353 86.523 23.2567
37.754974 86.521 23.0653
38.028561 86.519 22.8936
38.304131 86.518 22.7382
38.581699 86.518 22.5972
38.861279 86.518 22.4672
39.142883 86.519 22.3457
39.426529 86.522 22.2282
39.712231 86.527 22.1094
40.000000 86.533 21.9882
40.289856 86.539 21.8606
40.581814 86.544 21.7292
40.875885 86.548 21.5945
41.172089 86.550 21.4582
41.470440 86.551 21.3216
41.770950 86.550 21.1862
42.073643 86.548 21.0531
42.378525 86.544 20.9252
42.685616 86.537 20.8043
42.994934 86.528 20.6951
43.306492 86.516 20.6019
43.620308 86.502 20.5281
43.936401 86.487 20.4789
44.254780 86.471 20.4540
44.575470 86.455 20.4547
44.898483 86.440 20.4809
45.223835 86.426 20.5338
45.551544 86.415 20.6109
45.881630 86.407 20.7110
46.214108 86.402 20.8308
46.548996 86.400 20.9674
46.886307 86.402 21.1187
47.226067 86.408 21.2830
47.568283 86.419 21.4567
47.912983 86.435 21.6375
48.260181 86.457 21.8197
48.609894 86.485 21.9992
48.962143 86.518 22.1688
49.316940 86.557 22.3212
49.674313 86.601 22.4528
50.034271 86.649 22.5588
50.396843 86.700 22.6359
50.762039 86.754 22.6788
51.129883 86.810 22.6890
51.500389 86.865 22.6654
51.873581 86.920 22.6111
52.249481 86.974 22.5287
52.628101 87.027 22.4192
53.009464 87.078 22.2823
53.393593 87.126 22.1243
53.780506 87.170 21.9507
54.170223 87.211 21.7633
54.562763 87.251 21.5653
54.958145 87.289 21.3583
55.356396 87.322 21.1433
55.757530 87.353 20.9263
56.161572 87.381 20.7148
56.568542 87.407 20.5053
56.978462 87.433 20.2971
57.391350 87.459 20.0904
57.807232 87.482 19.8861
58.226128 87.505 19.6814
58.648056 87.530 19.4743
59.073048 87.554 19.2634
59.501114 87.576 19.0450
59.932281 87.597 18.8224
60.366577 87.617 18.5973
60.804020 87.635 18.3704
61.244629 87.652 18.1430
61.688435 87.667 17.9154
62.135452 87.681 17.6878
62.585712 87.694 17.4614
63.039234 87.706 17.2369
63.496040 87.717 17.0154
63.956161 87.726 16.7986
64.419617 87.734 16.5854
64.886421 87.743 16.3754
65.356621 87.752 16.1674
65.830215 87.760 15.9597
66.307251 87.767 15.7524
66.787743 87.774 15.5458
67.271713 87.781 15.3374
67.759193 87.788 15.1246
68.250206 87.795 14.9084
68.744774 87.800 14.6880
69.242928 87.803 14.4654
69.744690 87.804 14.2423
70.250084 87.804 14.0194
70.759148 87.802 13.7969
71.271896 87.798 13.5784
71.788361 87.791 13.3672
72.308571 87.782 13.1654
72.832550 87.772 12.9762
73.360321 87.761 12.7993
73.891922 87.749 12.6367
74.427376 87.737 12.4853
74.966705 87.726 12.3428
75.509949 87.715 12.2092
76.057121 87.703 12.0832
76.608261 87.690 11.9672
77.163399 87.678 11.8645
77.722557 87.666 11.7722
78.285767 87.656 11.6892
78.853058 87.646 11.6141
79.424461 87.637 11.5450
80.000000 87.628 11.4821
80.579712 87.621 11.4262
81.163628 87.616 11.3741
81.751770 87.612 11.3235
82.344177 87.609 11.2731
82.940880 87.607 11.2210
83.541901 87.606 11.1671
84.147285 87.605 11.1102
84.757050 87.605 11.0511
85.371231 87.605 10.9900
85.989868 87.605 10.9271
86.612984 87.605 10.8625
87.240616 87.605 10.7971
87.872803 87.605 10.7323
88.509560 87.605 10.6671
89.150940 87.605 10.6012
89.796967 87.605 10.5351
90.447670 87.605 10.4695
91.103088 87.605 10.4041
91.763260 87.605 10.3395
92.428215 87.605 10.2751
93.097992 87.605 10.2104
93.772614 87.605 10.1461
94.452133 87.605 10.0829
95.136566 87.605 10.0201
95.825966 87.605 9.9569
96.520363 87.605 9.8941
97.219788 87.605 9.8323
