* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Arya_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:36:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Arya_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Arya_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 84.825 0.7980
5.036232 84.826 0.7985
5.072727 84.826 0.7990
5.109486 84.826 0.7996
5.146511 84.826 0.8000
5.183805 84.826 0.7999
5.221369 84.827 0.8000
5.259205 84.828 0.8009
5.297316 84.828 0.8020
5.335702 84.828 0.8026
5.374367 84.829 0.8030
5.413311 84.829 0.8035
5.452538 84.830 0.8040
5.492050 84.830 0.8044
5.531847 84.831 0.8050
5.571934 84.831 0.8060
5.612310 84.832 0.8070
5.652979 84.832 0.8076
5.693943 84.833 0.8080
5.735204 84.833 0.8084
5.776763 84.834 0.8090
5.818624 84.834 0.8100
5.860788 84.835 0.8110
5.903258 84.835 0.8115
5.946035 84.836 0.8120
5.989123 84.836 0.8130
6.032523 84.837 0.8140
6.076237 84.837 0.8145
6.120268 84.838 0.8150
6.164618 84.838 0.8160
6.209289 84.839 0.8170
6.254284 84.839 0.8175
6.299605 84.840 0.8180
6.345255 84.840 0.8190
6.391235 84.841 0.8200
6.437549 84.842 0.8205
6.484198 84.842 0.8210
6.531185 84.842 0.8220
6.578513 84.843 0.8230
6.626183 84.843 0.8235
6.674199 84.844 0.8240
6.722563 84.844 0.8249
6.771278 84.845 0.8260
6.820345 84.845 0.8271
6.869768 84.846 0.8280
6.919549 84.846 0.8285
6.969691 84.847 0.8290
7.020196 84.847 0.8299
7.071068 84.848 0.8310
7.122308 84.848 0.8321
7.173919 84.849 0.8330
7.225904 84.849 0.8335
7.278266 84.850 0.8340
7.331007 84.850 0.8349
7.384131 84.851 0.8360
7.437639 84.851 0.8370
7.491535 84.852 0.8380
7.545822 84.852 0.8390
7.600502 84.853 0.8400
7.655579 84.853 0.8410
7.711054 84.854 0.8420
7.766932 84.854 0.8430
7.823214 84.855 0.8440
7.879904 84.856 0.8450
7.937005 84.856 0.8460
7.994520 84.856 0.8470
8.052452 84.857 0.8480
8.110803 84.857 0.8490
8.169578 84.858 0.8500
8.228777 84.858 0.8510
8.288406 84.859 0.8520
8.348468 84.859 0.8530
8.408964 84.860 0.8540
8.469899 84.860 0.8550
8.531276 84.861 0.8560
8.593097 84.861 0.8570
8.655366 84.862 0.8580
8.718086 84.862 0.8590
8.781260 84.863 0.8600
8.844893 84.863 0.8610
8.908987 84.864 0.8620
8.973545 84.864 0.8629
9.038571 84.865 0.8640
9.104069 84.865 0.8655
9.170040 84.866 0.8670
9.236490 84.866 0.8681
9.303422 84.867 0.8690
9.370838 84.867 0.8699
9.438744 84.868 0.8710
9.507140 84.868 0.8725
9.576033 84.869 0.8740
9.645425 84.870 0.8750
9.715320 84.870 0.8760
9.785721 84.870 0.8775
9.856632 84.871 0.8790
9.928058 84.871 0.8800
10.000000 84.872 0.8810
10.072464 84.872 0.8825
10.145453 84.873 0.8840
10.218971 84.873 0.8850
10.293022 84.874 0.8860
10.367610 84.874 0.8874
10.442738 84.875 0.8890
10.518411 84.875 0.8906
10.594631 84.876 0.8920
10.671404 84.876 0.8930
10.748734 84.877 0.8940
10.826623 84.877 0.8954
10.905077 84.878 0.8970
10.984100 84.878 0.8985
11.063695 84.879 0.9000
11.143867 84.879 0.9015
11.224621 84.880 0.9030
11.305959 84.880 0.9045
11.387886 84.881 0.9060
11.470407 84.882 0.9075
11.553527 84.882 0.9090
11.637249 84.883 0.9105
11.721577 84.883 0.9120
11.806517 84.883 0.9135
11.892071 84.884 0.9150
11.978246 84.884 0.9165
12.065045 84.885 0.9180
12.152473 84.885 0.9194
12.240536 84.886 0.9210
12.329235 84.886 0.9230
12.418578 84.887 0.9250
12.508568 84.887 0.9266
12.599211 84.888 0.9280
12.690510 84.888 0.9294
12.782471 84.889 0.9310
12.875097 84.889 0.9330
12.968395 84.890 0.9350
13.062370 84.890 0.9365
13.157025 84.891 0.9380
13.252366 84.891 0.9399
13.348398 84.892 0.9420
13.445127 84.892 0.9440
13.542556 84.893 0.9460
13.640691 84.893 0.9480
13.739536 84.894 0.9500
13.839099 84.894 0.9520
13.939383 84.895 0.9540
14.040393 84.896 0.9560
14.142136 84.896 0.9580
14.244616 84.897 0.9600
14.347837 84.897 0.9620
14.451808 84.897 0.9640
14.556532 84.898 0.9660
14.662014 84.898 0.9680
14.768262 84.899 0.9700
14.875278 84.899 0.9719
14.983070 84.900 0.9740
15.091644 84.900 0.9765
15.201005 84.901 0.9790
15.311157 84.901 0.9810
15.422109 84.902 0.9830
15.533863 84.902 0.9855
15.646428 84.903 0.9880
15.759809 84.903 0.9900
15.874010 84.904 0.9920
15.989040 84.904 0.9944
16.104904 84.905 0.9970
16.221605 84.905 0.9995
16.339155 84.906 1.0020
16.457554 84.906 1.0044
16.576813 84.907 1.0070
16.696936 84.907 1.0099
16.817928 84.908 1.0130
16.939798 84.908 1.0160
17.062551 84.909 1.0190
17.186193 84.910 1.0219
17.310732 84.910 1.0250
17.436172 84.911 1.0284
17.562521 84.911 1.0320
17.689787 84.911 1.0355
17.817974 84.912 1.0390
17.947090 84.912 1.0424
18.077143 84.913 1.0460
18.208138 84.913 1.0504
18.340080 84.914 1.0550
18.472980 84.914 1.0594
18.606844 84.915 1.0640
18.741676 84.915 1.0689
18.877487 84.916 1.0740
19.014280 84.916 1.0793
19.152065 84.917 1.0850
19.290850 84.917 1.0912
19.430639 84.918 1.0980
19.571442 84.918 1.1052
19.713264 84.919 1.1130
19.856115 84.919 1.1216
20.000000 84.920 1.1310
20.144928 84.920 1.1413
20.290907 84.921 1.1530
20.437943 84.922 1.1663
20.586044 84.922 1.1820
20.735220 84.922 1.2004
20.885475 84.922 1.2230
21.036821 84.923 1.2512
21.189262 84.924 1.2850
21.342808 84.926 1.3251
21.497467 84.930 1.3699
21.653246 84.936 1.4202
21.810154 84.944 1.4689
21.968201 84.957 1.5121
22.127390 84.973 1.5420
22.287735 84.993 1.5504
22.449242 85.014 1.5340
22.611917 85.036 1.4867
22.775772 85.058 1.4091
22.940815 85.077 1.2972
23.107054 85.093 1.1592
23.274498 85.103 0.9980
23.443153 85.106 0.8262
23.613033 85.102 0.6545
23.784142 85.092 0.4921
23.956491 85.076 0.3510
24.130091 85.056 0.2341
24.304947 85.034 0.1502
24.481071 85.011 0.0941
24.658470 84.990 0.0653
24.837156 84.970 0.0580
25.017136 84.953 0.0676
25.198421 84.937 0.0890
25.381020 84.924 0.1163
25.564941 84.912 0.1470
25.750195 84.903 0.1756
25.936790 84.894 0.2040
26.124741 84.884 0.2305
26.314051 84.873 0.2600
26.504732 84.862 0.2966
26.696796 84.851 0.3409
26.890253 84.841 0.3957
27.085112 84.831 0.4589
27.281382 84.823 0.5303
27.479073 84.816 0.6069
27.678198 84.811 0.6860
27.878765 84.808 0.7659
28.080786 84.807 0.8445
28.284271 84.807 0.9199
28.489231 84.809 0.9895
28.695675 84.811 1.0539
28.903616 84.814 1.1120
29.113064 84.816 1.1669
29.324028 84.817 1.2212
29.536524 84.819 1.2759
29.750557 84.821 1.3337
29.966141 84.824 1.3929
30.183289 84.828 1.4542
30.402010 84.833 1.5129
30.622314 84.841 1.5655
30.844217 84.851 1.6100
31.067726 84.860 1.6431
31.292856 84.870 1.6650
31.519617 84.880 1.6737
31.748020 84.890 1.6720
31.978081 84.897 1.6603
32.209808 84.902 1.6430
32.443211 84.906 1.6241
32.678310 84.908 1.6060
32.915108 84.908 1.5921
33.153625 84.907 1.5840
33.393871 84.905 1.5856
33.635857 84.903 1.5940
33.879597 84.902 1.6088
34.125103 84.902 1.6260
34.372387 84.903 1.6409
34.621464 84.905 1.6550
34.872345 84.905 1.6682
35.125042 84.905 1.6810
35.379574 84.905 1.6927
35.635948 84.905 1.7060
35.894180 84.903 1.7230
36.154285 84.900 1.7450
36.416275 84.898 1.7734
36.680161 84.896 1.8089
36.945961 84.893 1.8524
37.213688 84.891 1.9049
37.483353 84.890 1.9690
37.754974 84.890 2.0409
38.028561 84.892 2.1189
38.304131 84.897 2.1999
38.581699 84.905 2.2814
38.861279 84.915 2.3589
39.142883 84.928 2.4283
39.426529 84.944 2.4859
39.712231 84.961 2.5270
40.000000 84.980 2.5500
40.289856 85.000 2.5521
40.581814 85.020 2.5330
40.875885 85.039 2.4893
41.172089 85.055 2.4281
41.470440 85.066 2.3544
41.770950 85.075 2.2721
42.073643 85.082 2.1858
42.378525 85.086 2.0981
42.685616 85.086 2.0108
42.994934 85.082 1.9311
43.306492 85.075 1.8661
43.620308 85.065 1.8181
43.936401 85.055 1.7921
44.254780 85.044 1.7860
44.575470 85.034 1.7998
44.898483 85.026 1.8309
45.223835 85.019 1.8787
45.551544 85.015 1.9369
45.881630 85.015 2.0017
46.214108 85.019 2.0649
46.548996 85.027 2.1182
46.886307 85.037 2.1589
47.226067 85.048 2.1807
47.568283 85.059 2.1870
47.912983 85.069 2.1778
48.260181 85.078 2.1580
48.609894 85.083 2.1312
48.962143 85.087 2.1020
49.316940 85.089 2.0755
49.674313 85.090 2.0540
50.034271 85.089 2.0424
50.396843 85.088 2.0380
50.762039 85.088 2.0410
51.129883 85.090 2.0480
51.500389 85.093 2.0565
51.873581 85.096 2.0640
52.249481 85.100 2.0671
52.628101 85.105 2.0660
53.009464 85.110 2.0600
53.393593 85.114 2.0490
53.780506 85.118 2.0323
54.170223 85.122 2.0120
54.562763 85.124 1.9894
54.958145 85.125 1.9660
55.356396 85.125 1.9437
55.757530 85.124 1.9240
56.161572 85.122 1.9085
56.568542 85.118 1.9000
56.978462 85.114 1.9027
57.391350 85.109 1.9150
57.807232 85.106 1.9373
58.226128 85.103 1.9679
58.648056 85.101 2.0063
59.073048 85.100 2.0499
59.501114 85.102 2.0978
59.932281 85.106 2.1449
60.366577 85.112 2.1856
60.804020 85.119 2.2209
61.244629 85.126 2.2501
61.688435 85.133 2.2740
62.135452 85.141 2.2938
62.585712 85.150 2.3080
63.039234 85.159 2.3138
63.496040 85.167 2.3150
63.956161 85.173 2.3142
64.419617 85.179 2.3120
64.886421 85.186 2.3111
65.356621 85.194 2.3080
65.830215 85.202 2.2998
66.307251 85.210 2.2870
66.787743 85.218 2.2689
67.271713 85.225 2.2470
67.759193 85.232 2.2231
68.250206 85.238 2.1961
68.744774 85.244 2.1656
69.242928 85.250 2.1311
69.744690 85.255 2.0918
70.250084 85.260 2.0481
70.759148 85.264 1.9985
71.271896 85.266 1.9471
71.788361 85.265 1.8969
72.308571 85.263 1.8491
72.832550 85.259 1.8043
73.360321 85.254 1.7671
73.891922 85.246 1.7407
74.427376 85.236 1.7290
74.966705 85.225 1.7377
75.509949 85.214 1.7649
76.057121 85.204 1.8108
76.608261 85.196 1.8759
77.163399 85.188 1.9616
77.722557 85.183 2.0648
78.285767 85.182 2.1857
78.853058 85.186 2.3147
79.424461 85.196 2.4444
80.000000 85.211 2.5688
80.579712 85.230 2.6809
81.163628 85.252 2.7768
81.751770 85.279 2.8510
82.344177 85.308 2.9009
82.940880 85.338 2.9217
83.541901 85.369 2.9150
84.147285 85.400 2.8802
84.757050 85.430 2.8191
85.371231 85.458 2.7319
85.989868 85.483 2.6242
86.612984 85.504 2.5006
87.240616 85.523 2.3643
87.872803 85.539 2.2195
88.509560 85.553 2.0673
89.150940 85.563 1.9088
89.796967 85.570 1.7483
90.447670 85.573 1.5895
91.103088 85.573 1.4363
91.763260 85.570 1.2935
92.428215 85.564 1.1623
93.097992 85.557 1.0449
93.772614 85.549 0.9422
94.452133 85.540 0.8563
95.136566 85.530 0.7851
95.825966 85.521 0.7288
96.520363 85.514 0.6831
97.219788 85.508 0.6442
97.924286 85.504 0.6111
