* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Arya stealth magnet_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 2:37:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Arya stealth magnet_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Arya stealth magnet_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 83.547 19.1250
5.036232 83.553 19.1211
5.072727 83.560 19.1170
5.109486 83.568 19.1124
5.146511 83.577 19.1070
5.183805 83.588 19.1002
5.221369 83.600 19.0930
5.259205 83.612 19.0866
5.297316 83.625 19.0800
5.335702 83.639 19.0726
5.374367 83.653 19.0650
5.413311 83.667 19.0580
5.452538 83.681 19.0510
5.492050 83.695 19.0435
5.531847 83.709 19.0360
5.571934 83.723 19.0290
5.612310 83.737 19.0220
5.652979 83.751 19.0146
5.693943 83.765 19.0070
5.735204 83.778 18.9995
5.776763 83.792 18.9920
5.818624 83.806 18.9845
5.860788 83.820 18.9770
5.903258 83.834 18.9696
5.946035 83.848 18.9620
5.989123 83.862 18.9540
6.032523 83.876 18.9460
6.076237 83.890 18.9385
6.120268 83.904 18.9310
6.164618 83.918 18.9231
6.209289 83.932 18.9150
6.254284 83.946 18.9070
6.299605 83.960 18.8990
6.345255 83.974 18.8911
6.391235 83.988 18.8830
6.437549 84.001 18.8746
6.484198 84.015 18.8660
6.531185 84.029 18.8575
6.578513 84.043 18.8490
6.626183 84.057 18.8405
6.674199 84.071 18.8320
6.722563 84.085 18.8235
6.771278 84.099 18.8150
6.820345 84.113 18.8066
6.869768 84.127 18.7980
6.919549 84.141 18.7891
6.969691 84.155 18.7800
7.020196 84.169 18.7710
7.071068 84.183 18.7620
7.122308 84.197 18.7530
7.173919 84.211 18.7440
7.225904 84.225 18.7351
7.278266 84.239 18.7260
7.331007 84.252 18.7166
7.384131 84.266 18.7070
7.437639 84.280 18.6975
7.491535 84.294 18.6880
7.545822 84.308 18.6785
7.600502 84.322 18.6690
7.655579 84.336 18.6596
7.711054 84.350 18.6500
7.766932 84.364 18.6401
7.823214 84.378 18.6300
7.879904 84.392 18.6200
7.937005 84.406 18.6100
7.994520 84.420 18.6000
8.052452 84.434 18.5900
8.110803 84.448 18.5801
8.169578 84.462 18.5700
8.228777 84.476 18.5596
8.288406 84.490 18.5490
8.348468 84.503 18.5386
8.408964 84.517 18.5280
8.469899 84.531 18.5170
8.531276 84.545 18.5060
8.593097 84.559 18.4955
8.655366 84.573 18.4850
8.718086 84.587 18.4741
8.781260 84.601 18.4630
8.844893 84.615 18.4515
8.908987 84.629 18.4400
8.973545 84.643 18.4290
9.038571 84.657 18.4180
9.104069 84.671 18.4066
9.170040 84.685 18.3950
9.236490 84.699 18.3836
9.303422 84.713 18.3720
9.370838 84.727 18.3601
9.438744 84.741 18.3480
9.507140 84.754 18.3360
9.576033 84.768 18.3240
9.645425 84.782 18.3121
9.715320 84.796 18.3000
9.785721 84.810 18.2875
9.856632 84.824 18.2750
9.928058 84.838 18.2631
10.000000 84.852 18.2510
10.072464 84.866 18.2381
10.145453 84.880 18.2250
10.218971 84.894 18.2125
10.293022 84.908 18.2000
10.367610 84.922 18.1871
10.442738 84.936 18.1740
10.518411 84.950 18.1611
10.594631 84.964 18.1480
10.671404 84.977 18.1346
10.748734 84.991 18.1210
10.826623 85.005 18.1076
10.905077 85.019 18.0940
10.984100 85.033 18.0800
11.063695 85.047 18.0660
11.143867 85.061 18.0526
11.224621 85.075 18.0390
11.305959 85.089 18.0246
11.387886 85.103 18.0100
11.470407 85.117 17.9960
11.553527 85.131 17.9820
11.637249 85.145 17.9676
11.721577 85.159 17.9530
11.806517 85.173 17.9386
11.892071 85.187 17.9240
11.978246 85.201 17.9091
12.065045 85.215 17.8940
12.152473 85.228 17.8791
12.240536 85.242 17.8640
12.329235 85.256 17.8486
12.418578 85.270 17.8330
12.508568 85.284 17.8175
12.599211 85.298 17.8020
12.690510 85.312 17.7866
12.782471 85.326 17.7710
12.875097 85.340 17.7551
12.968395 85.354 17.7390
13.062370 85.368 17.7230
13.157025 85.382 17.7070
13.252366 85.396 17.6911
13.348398 85.410 17.6750
13.445127 85.424 17.6586
13.542556 85.438 17.6420
13.640691 85.452 17.6250
13.739536 85.466 17.6080
13.839099 85.479 17.5915
13.939383 85.493 17.5750
14.040393 85.507 17.5581
14.142136 85.521 17.5410
14.244616 85.535 17.5236
14.347837 85.549 17.5060
14.451808 85.563 17.4885
14.556532 85.577 17.4710
14.662014 85.591 17.4536
14.768262 85.605 17.4360
14.875278 85.619 17.4181
14.983070 85.633 17.4000
15.091644 85.647 17.3815
15.201005 85.661 17.3630
15.311157 85.675 17.3450
15.422109 85.689 17.3270
15.533863 85.702 17.3086
15.646428 85.716 17.2900
15.759809 85.730 17.2711
15.874010 85.744 17.2520
15.989040 85.758 17.2330
16.104904 85.772 17.2140
16.221605 85.786 17.1956
16.339155 85.800 17.1770
16.457554 85.814 17.1576
16.576813 85.828 17.1380
16.696936 85.842 17.1189
16.817928 85.856 17.1000
16.939798 85.870 17.0810
17.062551 85.884 17.0620
17.186193 85.898 17.0430
17.310732 85.912 17.0240
17.436172 85.926 17.0049
17.562521 85.940 16.9860
17.689787 85.953 16.9675
17.817974 85.967 16.9490
17.947090 85.981 16.9304
18.077143 85.995 16.9120
18.208138 86.009 16.8943
18.340080 86.023 16.8770
18.472980 86.037 16.8602
18.606844 86.051 16.8440
18.741676 86.065 16.8284
18.877487 86.079 16.8140
19.014280 86.093 16.8015
19.152065 86.107 16.7910
19.290850 86.121 16.7834
19.430639 86.136 16.7780
19.571442 86.151 16.7748
19.713264 86.168 16.7720
19.856115 86.186 16.7690
20.000000 86.205 16.7620
20.144928 86.226 16.7475
20.290907 86.247 16.7240
20.437943 86.269 16.6884
20.586044 86.290 16.6430
20.735220 86.310 16.5884
20.885475 86.328 16.5271
21.036821 86.345 16.4603
21.189262 86.361 16.3921
21.342808 86.373 16.3263
21.497467 86.384 16.2651
21.653246 86.395 16.2123
21.810154 86.406 16.1661
21.968201 86.416 16.1260
22.127390 86.426 16.0920
22.287735 86.436 16.0643
22.449242 86.446 16.0420
22.611917 86.457 16.0247
22.775772 86.469 16.0110
22.940815 86.481 15.9990
23.107054 86.494 15.9900
23.274498 86.506 15.9843
23.443153 86.519 15.9840
23.613033 86.532 15.9927
23.784142 86.546 16.0070
23.956491 86.563 16.0264
24.130091 86.583 16.0450
24.304947 86.606 16.0569
24.481071 86.631 16.0610
24.658470 86.657 16.0548
24.837156 86.684 16.0360
25.017136 86.713 16.0024
25.198421 86.743 15.9521
25.381020 86.772 15.8818
25.564941 86.801 15.7941
25.750195 86.828 15.6883
25.936790 86.852 15.5702
26.124741 86.873 15.4433
26.314051 86.890 15.3132
26.504732 86.904 15.1857
26.696796 86.916 15.0631
26.890253 86.926 14.9488
27.085112 86.935 14.8451
27.281382 86.942 14.7567
27.479073 86.948 14.6811
27.678198 86.956 14.6192
27.878765 86.966 14.5661
28.080786 86.977 14.5179
28.284271 86.989 14.4721
28.489231 87.004 14.4261
28.695675 87.020 14.3761
28.903616 87.037 14.3167
29.113064 87.055 14.2491
29.324028 87.072 14.1715
29.536524 87.088 14.0881
29.750557 87.103 14.0026
29.966141 87.117 13.9151
30.183289 87.131 13.8269
30.402010 87.145 13.7381
30.622314 87.158 13.6491
30.844217 87.170 13.5611
31.067726 87.182 13.4769
31.292856 87.195 13.3921
31.519617 87.209 13.3044
31.748020 87.224 13.2111
31.978081 87.239 13.1074
32.209808 87.253 12.9971
32.443211 87.265 12.8820
32.678310 87.276 12.7632
32.915108 87.286 12.6420
33.153625 87.295 12.5191
33.393871 87.302 12.3942
33.635857 87.308 12.2712
33.879597 87.311 12.1540
34.125103 87.313 12.0431
34.372387 87.314 11.9407
34.621464 87.315 11.8461
34.872345 87.315 11.7595
35.125042 87.315 11.6811
35.379574 87.315 11.6116
35.635948 87.315 11.5501
35.894180 87.316 11.4962
36.154285 87.317 11.4491
36.416275 87.319 11.4087
36.680161 87.323 11.3721
36.945961 87.329 11.3375
37.213688 87.336 11.3011
37.483353 87.344 11.2579
37.754974 87.353 11.2091
38.028561 87.362 11.1537
38.304131 87.371 11.0921
38.581699 87.380 11.0237
38.861279 87.388 10.9501
39.142883 87.395 10.8712
39.426529 87.401 10.7911
39.712231 87.404 10.7132
40.000000 87.405 10.6401
40.289856 87.406 10.5757
40.581814 87.407 10.5191
40.875885 87.408 10.4707
41.172089 87.409 10.4301
41.470440 87.411 10.3980
41.770950 87.414 10.3710
42.073643 87.419 10.3472
42.378525 87.425 10.3230
42.685616 87.433 10.2949
42.994934 87.441 10.2621
43.306492 87.450 10.2222
43.620308 87.459 10.1761
43.936401 87.468 10.1230
44.254780 87.476 10.0641
44.575470 87.484 9.9989
44.898483 87.490 9.9311
45.223835 87.494 9.8632
45.551544 87.497 9.7981
45.881630 87.499 9.7396
46.214108 87.500 9.6881
46.548996 87.500 9.6451
46.886307 87.500 9.6100
47.226067 87.501 9.5833
47.568283 87.502 9.5640
47.912983 87.504 9.5526
48.260181 87.507 9.5460
48.609894 87.513 9.5424
48.962143 87.520 9.5380
49.316940 87.529 9.5283
49.674313 87.538 9.5140
50.034271 87.546 9.4942
50.396843 87.555 9.4700
50.762039 87.564 9.4419
51.129883 87.573 9.4111
51.500389 87.581 9.3776
51.873581 87.588 9.3451
52.249481 87.594 9.3173
52.628101 87.600 9.2940
53.009464 87.606 9.2769
53.393593 87.613 9.2640
53.780506 87.621 9.2545
54.170223 87.630 9.2470
54.562763 87.640 9.2396
54.958145 87.650 9.2330
55.356396 87.661 9.2278
55.757530 87.672 9.2230
56.161572 87.685 9.2181
56.568542 87.699 9.2120
56.978462 87.714 9.2038
57.391350 87.730 9.1930
57.807232 87.747 9.1808
58.226128 87.766 9.1620
58.648056 87.788 9.1320
59.073048 87.811 9.0901
59.501114 87.833 9.0336
59.932281 87.856 8.9641
60.366577 87.879 8.8825
60.804020 87.901 8.7882
61.244629 87.923 8.6799
61.688435 87.943 8.5602
62.135452 87.961 8.4307
62.585712 87.978 8.2932
63.039234 87.993 8.1497
63.496040 88.007 8.0013
63.956161 88.019 7.8491
64.419617 88.029 7.6953
64.886421 88.037 7.5415
65.356621 88.043 7.3893
65.830215 88.048 7.2402
66.307251 88.051 7.0953
66.787743 88.053 6.9564
67.271713 88.054 6.8232
67.759193 88.055 6.6965
68.250206 88.055 6.5752
68.744774 88.056 6.4591
69.242928 88.056 6.3472
69.744690 88.056 6.2383
70.250084 88.056 6.1322
70.759148 88.056 6.0286
71.271896 88.056 5.9262
71.788361 88.056 5.8236
72.308571 88.056 5.7212
72.832550 88.055 5.6192
73.360321 88.053 5.5172
73.891922 88.052 5.4138
74.427376 88.050 5.3122
74.966705 88.045 5.2143
75.509949 88.039 5.1222
76.057121 88.033 5.0388
76.608261 88.027 4.9631
77.163399 88.021 4.8943
77.722557 88.015 4.8341
78.285767 88.008 4.7845
78.853058 88.001 4.7441
79.424461 87.997 4.7139
80.000000 87.994 4.6890
80.579712 87.993 4.6652
81.163628 87.993 4.6420
81.751770 87.994 4.6185
82.344177 87.996 4.5931
82.940880 88.000 4.5644
83.541901 88.005 4.5311
84.147285 88.010 4.4906
84.757050 88.016 4.4441
85.371231 88.022 4.3915
85.989868 88.028 4.3331
86.612984 88.034 4.2689
87.240616 88.039 4.2001
87.872803 88.043 4.1278
88.509560 88.046 4.0532
89.150940 88.049 3.9774
89.796967 88.052 3.9012
90.447670 88.053 3.8252
91.103088 88.054 3.7502
91.763260 88.055 3.6772
92.428215 88.055 3.6061
93.097992 88.056 3.5371
93.772614 88.056 3.4701
94.452133 88.056 3.4051
95.136566 88.056 3.3421
95.825966 88.056 3.2813
96.520363 88.056 3.2231
