* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audivana_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 3:21:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Lecram\Audivana_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Audivana_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 56.788 116.8080
5.036232 56.827 116.7820
5.072727 56.869 116.7540
5.109486 56.918 116.7212
5.146511 56.974 116.6840
5.183805 57.041 116.6408
5.221369 57.114 116.5950
5.259205 57.190 116.5502
5.297316 57.269 116.5040
5.335702 57.353 116.4544
5.374367 57.440 116.4040
5.413311 57.526 116.3554
5.452538 57.612 116.3070
5.492050 57.698 116.2581
5.531847 57.783 116.2090
5.571934 57.868 116.1596
5.612310 57.954 116.1100
5.652979 58.039 116.0602
5.693943 58.125 116.0100
5.735204 58.210 115.9592
5.776763 58.296 115.9080
5.818624 58.381 115.8566
5.860788 58.467 115.8050
5.903258 58.552 115.7531
5.946035 58.638 115.7010
5.989123 58.723 115.6487
6.032523 58.809 115.5960
6.076237 58.894 115.5427
6.120268 58.980 115.4890
6.164618 59.066 115.4352
6.209289 59.152 115.3810
6.254284 59.238 115.3263
6.299605 59.323 115.2710
6.345255 59.408 115.2152
6.391235 59.494 115.1590
6.437549 59.579 115.1026
6.484198 59.665 115.0460
6.531185 59.750 114.9892
6.578513 59.836 114.9320
6.626183 59.921 114.8743
6.674199 60.007 114.8160
6.722563 60.092 114.7572
6.771278 60.178 114.6980
6.820345 60.263 114.6387
6.869768 60.349 114.5790
6.919549 60.434 114.5188
6.969691 60.520 114.4580
7.020196 60.606 114.3968
7.071068 60.692 114.3350
7.122308 60.778 114.2727
7.173919 60.863 114.2100
7.225904 60.948 114.1472
7.278266 61.034 114.0840
7.331007 61.119 114.0203
7.384131 61.205 113.9560
7.437639 61.290 113.8913
7.491535 61.376 113.8260
7.545822 61.461 113.7603
7.600502 61.547 113.6940
7.655579 61.632 113.6272
7.711054 61.718 113.5600
7.766932 61.803 113.4928
7.823214 61.889 113.4250
7.879904 61.974 113.3563
7.937005 62.060 113.2870
7.994520 62.146 113.2173
8.052452 62.232 113.1470
8.110803 62.318 113.0763
8.169578 62.403 113.0050
8.228777 62.488 112.9333
8.288406 62.574 112.8610
8.348468 62.659 112.7883
8.408964 62.745 112.7150
8.469899 62.830 112.6408
8.531276 62.916 112.5660
8.593097 63.001 112.4913
8.655366 63.087 112.4160
8.718086 63.172 112.3398
8.781260 63.258 112.2630
8.844893 63.343 112.1858
8.908987 63.429 112.1080
8.973545 63.514 112.0293
9.038571 63.600 111.9500
9.104069 63.686 111.8703
9.170040 63.772 111.7900
9.236490 63.858 111.7093
9.303422 63.943 111.6280
9.370838 64.028 111.5458
9.438744 64.114 111.4630
9.507140 64.199 111.3798
9.576033 64.285 111.2960
9.645425 64.370 111.2113
9.715320 64.456 111.1260
9.785721 64.541 111.0404
9.856632 64.627 110.9540
9.928058 64.712 110.8664
10.000000 64.798 110.7780
10.072464 64.883 110.6899
10.145453 64.969 110.6011
10.218971 65.054 110.5110
10.293022 65.140 110.4200
10.367610 65.226 110.3283
10.442738 65.312 110.2360
10.518411 65.398 110.1433
10.594631 65.483 110.0500
10.671404 65.568 109.9559
10.748734 65.654 109.8610
10.826623 65.739 109.7649
10.905077 65.825 109.6681
10.984100 65.910 109.5710
11.063695 65.996 109.4731
11.143867 66.081 109.3739
11.224621 66.167 109.2740
11.305959 66.252 109.1739
11.387886 66.338 109.0731
11.470407 66.423 108.9710
11.553527 66.509 108.8680
11.637249 66.594 108.7645
11.721577 66.680 108.6601
11.806517 66.766 108.5546
11.892071 66.852 108.4481
11.978246 66.938 108.3410
12.065045 67.023 108.2330
12.152473 67.108 108.1240
12.240536 67.194 108.0140
12.329235 67.279 107.9030
12.418578 67.365 107.7911
12.508568 67.450 107.6785
12.599211 67.536 107.5651
12.690510 67.621 107.4506
12.782471 67.707 107.3351
12.875097 67.792 107.2186
12.968395 67.878 107.1011
13.062370 67.963 106.9826
13.157025 68.049 106.8630
13.252366 68.134 106.7426
13.348398 68.220 106.6211
13.445127 68.306 106.4987
13.542556 68.392 106.3751
13.640691 68.478 106.2502
13.739536 68.563 106.1240
13.839099 68.648 105.9971
13.939383 68.734 105.8691
14.040393 68.819 105.7397
14.142136 68.905 105.6090
14.244616 68.990 105.4777
14.347837 69.076 105.3451
14.451808 69.161 105.2107
14.556532 69.247 105.0751
14.662014 69.332 104.9388
14.768262 69.418 104.8012
14.875278 69.503 104.6613
14.983070 69.589 104.5201
15.091644 69.674 104.3783
15.201005 69.760 104.2351
15.311157 69.846 104.0899
15.422109 69.932 103.9431
15.533863 70.018 103.7953
15.646428 70.103 103.6461
15.759809 70.188 103.4949
15.874010 70.274 103.3421
15.989040 70.359 103.1880
16.104904 70.445 103.0321
16.221605 70.530 102.8741
16.339155 70.616 102.7142
16.457554 70.701 102.5526
16.576813 70.787 102.3891
16.696936 70.872 102.2236
16.817928 70.958 102.0561
16.939798 71.043 101.8868
17.062551 71.129 101.7152
17.186193 71.214 101.5409
17.310732 71.300 101.3641
17.436172 71.386 101.1850
17.562521 71.472 101.0031
17.689787 71.557 100.8182
17.817974 71.643 100.6302
17.947090 71.728 100.4390
18.077143 71.814 100.2441
18.208138 71.899 100.0454
18.340080 71.985 99.8422
18.472980 72.070 99.6340
18.606844 72.156 99.4201
18.741676 72.241 99.2002
18.877487 72.327 98.9722
19.014280 72.413 98.7347
19.152065 72.498 98.4853
19.290850 72.582 98.2213
19.430639 72.665 97.9432
19.571442 72.745 97.6485
19.713264 72.822 97.3434
19.856115 72.892 97.0284
20.000000 72.956 96.7183
20.144928 73.012 96.4241
20.290907 73.063 96.1572
20.437943 73.109 95.9313
20.586044 73.152 95.7511
20.735220 73.195 95.6283
20.885475 73.240 95.5561
21.036821 73.291 95.5380
21.189262 73.351 95.5550
21.342808 73.423 95.5959
21.497467 73.506 95.6400
21.653246 73.599 95.6669
21.810154 73.701 95.6640
21.968201 73.810 95.6121
22.127390 73.923 95.5111
22.287735 74.035 95.3510
22.449242 74.146 95.1432
22.611917 74.251 94.8920
22.775772 74.352 94.6094
22.940815 74.446 94.3054
23.107054 74.535 93.9894
23.274498 74.618 93.6732
23.443153 74.698 93.3604
23.613033 74.774 93.0595
23.784142 74.849 92.7682
23.956491 74.923 92.4879
24.130091 74.996 92.2163
24.304947 75.068 91.9519
24.481071 75.139 91.6943
24.658470 75.211 91.4426
24.837156 75.282 91.1973
25.017136 75.351 90.9577
25.198421 75.420 90.7272
25.381020 75.488 90.5103
25.564941 75.557 90.3042
25.750195 75.628 90.1093
25.936790 75.702 89.9212
26.124741 75.777 89.7363
26.314051 75.855 89.5523
26.504732 75.935 89.3676
26.696796 76.017 89.1762
26.890253 76.102 88.9724
27.085112 76.189 88.7543
27.281382 76.276 88.5176
27.479073 76.364 88.2634
27.678198 76.451 87.9899
27.878765 76.536 87.7004
28.080786 76.619 87.3969
28.284271 76.701 87.0814
28.489231 76.781 86.7561
28.695675 76.858 86.4235
28.903616 76.931 86.0853
29.113064 77.002 85.7465
29.324028 77.069 85.4113
29.536524 77.134 85.0834
29.750557 77.197 84.7671
29.966141 77.258 84.4643
30.183289 77.317 84.1789
30.402010 77.376 83.9093
30.622314 77.436 83.6565
30.844217 77.497 83.4163
31.067726 77.560 83.1853
31.292856 77.625 82.9613
31.519617 77.691 82.7421
31.748020 77.760 82.5243
31.978081 77.831 82.3041
32.209808 77.903 82.0803
32.443211 77.976 81.8499
32.678310 78.050 81.6143
32.915108 78.124 81.3741
33.153625 78.199 81.1283
33.393871 78.275 80.8770
33.635857 78.351 80.6174
33.879597 78.428 80.3471
34.125103 78.506 80.0654
34.372387 78.583 79.7702
34.621464 78.660 79.4635
34.872345 78.734 79.1449
35.125042 78.807 78.8184
35.379574 78.877 78.4866
35.635948 78.945 78.1534
35.894180 79.010 77.8216
36.154285 79.072 77.4965
36.416275 79.132 77.1838
36.680161 79.192 76.8845
36.945961 79.251 76.6017
37.213688 79.311 76.3334
37.483353 79.372 76.0796
37.754974 79.435 75.8364
38.028561 79.500 75.6019
38.304131 79.569 75.3693
38.581699 79.642 75.1317
38.861279 79.717 74.8874
39.142883 79.792 74.6324
39.426529 79.869 74.3674
39.712231 79.948 74.0925
40.000000 80.028 73.8044
40.289856 80.109 73.4989
40.581814 80.190 73.1785
40.875885 80.269 72.8435
41.172089 80.348 72.4965
41.470440 80.426 72.1409
41.770950 80.504 71.7746
42.073643 80.582 71.3976
42.378525 80.660 71.0076
42.685616 80.737 70.6024
42.994934 80.814 70.1816
43.306492 80.889 69.7439
43.620308 80.962 69.2897
43.936401 81.033 68.8189
44.254780 81.101 68.3318
44.575470 81.165 67.8266
44.898483 81.225 67.3098
45.223835 81.278 66.7837
45.551544 81.324 66.2597
45.881630 81.363 65.7475
46.214108 81.395 65.2557
46.548996 81.421 64.7929
46.886307 81.441 64.3686
47.226067 81.455 63.9934
47.568283 81.467 63.6725
47.912983 81.479 63.4158
48.260181 81.493 63.2193
48.609894 81.511 63.0853
48.962143 81.535 63.0041
49.316940 81.568 62.9721
49.674313 81.612 62.9730
50.034271 81.669 62.9945
50.396843 81.739 63.0210
50.762039 81.820 63.0362
51.129883 81.912 63.0290
51.500389 82.015 62.9860
51.873581 82.126 62.8982
52.249481 82.244 62.7523
52.628101 82.368 62.5474
53.009464 82.493 62.2769
53.393593 82.620 61.9446
53.780506 82.745 61.5501
54.170223 82.869 61.0998
54.562763 82.989 60.5978
54.958145 83.105 60.0499
55.356396 83.216 59.4612
55.757530 83.322 58.8380
56.161572 83.422 58.1869
56.568542 83.517 57.5131
56.978462 83.606 56.8233
57.391350 83.691 56.1203
57.807232 83.771 55.4087
58.226128 83.848 54.6902
58.648056 83.920 53.9676
59.073048 83.988 53.2422
59.501114 84.053 52.5166
59.932281 84.115 51.7903
60.366577 84.175 51.0638
60.804020 84.233 50.3363
61.244629 84.288 49.6068
61.688435 84.341 48.8763
62.135452 84.392 48.1459
62.585712 84.441 47.4133
63.039234 84.489 46.6770
63.496040 84.536 45.9353
63.956161 84.580 45.1848
64.419617 84.621 44.4294
64.886421 84.658 43.6713
65.356621 84.693 42.9113
65.830215 84.725 42.1501
66.307251 84.755 41.3895
66.787743 84.781 40.6303
67.271713 84.803 39.8764
67.759193 84.822 39.1316
68.250206 84.838 38.3973
68.744774 84.852 37.6771
69.242928 84.865 36.9683
69.744690 84.877 36.2702
70.250084 84.889 35.5803
70.759148 84.901 34.8968
71.271896 84.912 34.2173
71.788361 84.924 33.5396
72.308571 84.935 32.8603
72.832550 84.947 32.1747
73.360321 84.957 31.4843
73.891922 84.965 30.7873
74.427376 84.970 30.0883
74.966705 84.973 29.3914
75.509949 84.974 28.6962
76.057121 84.974 28.0038
76.608261 84.972 27.3144
77.163399 84.968 26.6295
77.722557 84.963 25.9464
78.285767 84.959 25.2658
78.853058 84.954 24.5794
79.424461 84.950 23.8796
80.000000 84.944 23.1644
80.579712 84.936 22.4289
81.163628 84.924 21.6755
81.751770 84.907 20.9016
82.344177 84.883 20.1176
82.940880 84.849 19.3269
83.541901 84.805 18.5475
84.147285 84.750 17.7933
84.757050 84.685 17.0803
85.371231 84.610 16.4254
85.989868 84.528 15.8401
86.612984 84.440 15.3423
87.240616 84.351 14.9297
87.872803 84.266 14.6129
88.509560 84.187 14.3714
89.150940 84.121 14.1967
89.796967 84.067 14.0642
90.447670 84.027 13.9544
91.103088 84.001 13.8442
91.763260 83.990 13.7087
92.428215 83.989 13.5354
93.097992 83.996 13.3030
93.772614 84.007 13.0137
94.452133 84.018 12.6587
95.136566 84.027 12.2499
95.825966 84.030 11.7905
96.520363 84.026 11.2981
97.219788 84.014 10.7883
