* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HifiMAN deva_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:56:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HifiMAN deva_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HifiMAN deva_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 56.369 134.1100
5.036232 56.414 134.0777
5.072727 56.463 134.0430
5.109486 56.519 134.0027
5.146511 56.584 133.9570
5.183805 56.661 133.9032
5.221369 56.746 133.8460
5.259205 56.833 133.7903
5.297316 56.925 133.7330
5.335702 57.022 133.6716
5.374367 57.122 133.6090
5.413311 57.221 133.5479
5.452538 57.320 133.4870
5.492050 57.419 133.4256
5.531847 57.517 133.3640
5.571934 57.615 133.3022
5.612310 57.714 133.2400
5.652979 57.813 133.1772
5.693943 57.912 133.1140
5.735204 58.011 133.0507
5.776763 58.109 132.9870
5.818624 58.207 132.9227
5.860788 58.306 132.8580
5.903258 58.405 132.7933
5.946035 58.504 132.7280
5.989123 58.602 132.6618
6.032523 58.701 132.5950
6.076237 58.800 132.5282
6.120268 58.899 132.4610
6.164618 58.998 132.3932
6.209289 59.096 132.3250
6.254284 59.194 132.2568
6.299605 59.293 132.1880
6.345255 59.392 132.1183
6.391235 59.491 132.0480
6.437549 59.590 131.9772
6.484198 59.688 131.9060
6.531185 59.786 131.8348
6.578513 59.885 131.7630
6.626183 59.984 131.6903
6.674199 60.083 131.6170
6.722563 60.181 131.5432
6.771278 60.280 131.4690
6.820345 60.379 131.3948
6.869768 60.478 131.3200
6.919549 60.577 131.2443
6.969691 60.675 131.1680
7.020196 60.773 131.0913
7.071068 60.872 131.0140
7.122308 60.971 130.9363
7.173919 61.070 130.8580
7.225904 61.169 130.7788
7.278266 61.267 130.6990
7.331007 61.365 130.6188
7.384131 61.464 130.5380
7.437639 61.563 130.4568
7.491535 61.662 130.3750
7.545822 61.761 130.2928
7.600502 61.859 130.2100
7.655579 61.957 130.1263
7.711054 62.056 130.0420
7.766932 62.155 129.9573
7.823214 62.254 129.8720
7.879904 62.352 129.7858
7.937005 62.451 129.6990
7.994520 62.550 129.6118
8.052452 62.649 129.5240
8.110803 62.748 129.4354
8.169578 62.846 129.3460
8.228777 62.944 129.2558
8.288406 63.043 129.1650
8.348468 63.142 129.0738
8.408964 63.241 128.9820
8.469899 63.340 128.8893
8.531276 63.438 128.7961
8.593097 63.536 128.7024
8.655366 63.635 128.6080
8.718086 63.734 128.5124
8.781260 63.833 128.4160
8.844893 63.931 128.3194
8.908987 64.030 128.2220
8.973545 64.129 128.1234
9.038571 64.228 128.0240
9.104069 64.327 127.9244
9.170040 64.425 127.8240
9.236490 64.523 127.7229
9.303422 64.622 127.6210
9.370838 64.721 127.5185
9.438744 64.820 127.4150
9.507140 64.919 127.3105
9.576033 65.017 127.2050
9.645425 65.115 127.0989
9.715320 65.214 126.9921
9.785721 65.313 126.8850
9.856632 65.412 126.7771
9.928058 65.510 126.6675
10.000000 65.609 126.5571
10.072464 65.708 126.4465
10.145453 65.807 126.3351
10.218971 65.905 126.2225
10.293022 66.004 126.1090
10.367610 66.102 125.9949
10.442738 66.201 125.8800
10.518411 66.300 125.7640
10.594631 66.399 125.6470
10.671404 66.498 125.5290
10.748734 66.596 125.4100
10.826623 66.694 125.2905
10.905077 66.793 125.1701
10.984100 66.892 125.0485
11.063695 66.991 124.9261
11.143867 67.090 124.8031
11.224621 67.188 124.6790
11.305959 67.286 124.5536
11.387886 67.385 124.4271
11.470407 67.484 124.3001
11.553527 67.583 124.1720
11.637249 67.681 124.0426
11.721577 67.780 123.9121
11.806517 67.879 123.7811
11.892071 67.978 123.6491
11.978246 68.077 123.5156
12.065045 68.175 123.3810
12.152473 68.273 123.2456
12.240536 68.372 123.1090
12.329235 68.471 122.9711
12.418578 68.570 122.8321
12.508568 68.668 122.6927
12.599211 68.767 122.5521
12.690510 68.865 122.4097
12.782471 68.964 122.2661
12.875097 69.063 122.1216
12.968395 69.162 121.9761
13.062370 69.260 121.8297
13.157025 69.359 121.6821
13.252366 69.458 121.5327
13.348398 69.557 121.3821
13.445127 69.655 121.2307
13.542556 69.754 121.0782
13.640691 69.852 120.9242
13.739536 69.951 120.7691
13.839099 70.050 120.6128
13.939383 70.149 120.4551
14.040393 70.247 120.2958
14.142136 70.346 120.1351
14.244616 70.444 119.9732
14.347837 70.543 119.8101
14.451808 70.642 119.6458
14.556532 70.741 119.4801
14.662014 70.839 119.3129
14.768262 70.938 119.1442
14.875278 71.037 118.9739
14.983070 71.136 118.8022
15.091644 71.234 118.6294
15.201005 71.333 118.4551
15.311157 71.431 118.2789
15.422109 71.530 118.1011
15.533863 71.629 117.9224
15.646428 71.728 117.7421
15.759809 71.826 117.5599
15.874010 71.925 117.3761
15.989040 72.023 117.1909
16.104904 72.122 117.0041
16.221605 72.221 116.8156
16.339155 72.320 116.6252
16.457554 72.418 116.4330
16.576813 72.517 116.2391
16.696936 72.615 116.0439
16.817928 72.714 115.8471
16.939798 72.813 115.6486
17.062551 72.912 115.4483
17.186193 73.010 115.2456
17.310732 73.109 115.0411
17.436172 73.208 114.8350
17.562521 73.307 114.6272
17.689787 73.405 114.4177
17.817974 73.504 114.2062
17.947090 73.602 113.9922
18.077143 73.701 113.7761
18.208138 73.800 113.5587
18.340080 73.899 113.3392
18.472980 73.997 113.1172
18.606844 74.096 112.8931
18.741676 74.194 112.6677
18.877487 74.293 112.4402
19.014280 74.392 112.2100
19.152065 74.491 111.9773
19.290850 74.589 111.7423
19.430639 74.688 111.5052
19.571442 74.787 111.2659
19.713264 74.886 111.0243
19.856115 74.984 110.7801
20.000000 75.083 110.5332
20.144928 75.181 110.2841
20.290907 75.280 110.0312
20.437943 75.379 109.7721
20.586044 75.478 109.5112
20.735220 75.573 109.2517
20.885475 75.668 108.9943
21.036821 75.765 108.7389
21.189262 75.862 108.4903
21.342808 75.955 108.2548
21.497467 76.050 108.0283
21.653246 76.152 107.8165
21.810154 76.260 107.5963
21.968201 76.375 107.3441
22.127390 76.492 107.0673
22.287735 76.601 106.7622
22.449242 76.709 106.4393
22.611917 76.816 106.1118
22.775772 76.924 105.7674
22.940815 77.033 105.3933
23.107054 77.140 105.0035
23.274498 77.237 104.6024
23.443153 77.330 104.2065
23.613033 77.420 103.8373
23.784142 77.510 103.4853
23.956491 77.604 103.1542
24.130091 77.702 102.8254
24.304947 77.808 102.4831
24.481071 77.917 102.1225
24.658470 78.024 101.7326
24.837156 78.132 101.3166
25.017136 78.239 100.8762
25.198421 78.346 100.4055
25.381020 78.451 99.8959
25.564941 78.552 99.3575
25.750195 78.643 98.7912
25.936790 78.726 98.2167
26.124741 78.799 97.6499
26.314051 78.866 97.1028
26.504732 78.927 96.5934
26.696796 78.985 96.1186
26.890253 79.044 95.6830
27.085112 79.105 95.2804
27.281382 79.168 94.9096
27.479073 79.235 94.5595
27.678198 79.309 94.2260
27.878765 79.390 93.8865
28.080786 79.480 93.5152
28.284271 79.573 93.1166
28.489231 79.658 92.6849
28.695675 79.743 92.2256
28.903616 79.831 91.7465
29.113064 79.918 91.2357
29.324028 80.003 90.6786
29.536524 80.081 90.0927
29.750557 80.147 89.4834
29.966141 80.203 88.8737
30.183289 80.249 88.2901
30.402010 80.289 87.7267
30.622314 80.330 87.1834
30.844217 80.365 86.6686
31.067726 80.388 86.1857
31.292856 80.406 85.7496
31.519617 80.423 85.3807
31.748020 80.442 85.0654
31.978081 80.465 84.7976
32.209808 80.492 84.5743
32.443211 80.520 84.3919
32.678310 80.554 84.2462
32.915108 80.596 84.1373
33.153625 80.646 84.0481
33.393871 80.706 83.9619
33.635857 80.774 83.8771
33.879597 80.845 83.7894
34.125103 80.923 83.6901
34.372387 81.013 83.5723
34.621464 81.109 83.4262
34.872345 81.206 83.2380
35.125042 81.307 83.0133
35.379574 81.410 82.7536
35.635948 81.515 82.4574
35.894180 81.620 82.1230
36.154285 81.725 81.7526
36.416275 81.828 81.3478
36.680161 81.929 80.9087
36.945961 82.030 80.4342
37.213688 82.127 79.9288
37.483353 82.218 79.3936
37.754974 82.304 78.8379
38.028561 82.384 78.2692
38.304131 82.460 77.6928
38.581699 82.531 77.1148
38.861279 82.597 76.5399
39.142883 82.658 75.9741
39.426529 82.716 75.4198
39.712231 82.772 74.8826
40.000000 82.827 74.3588
40.289856 82.882 73.8472
40.581814 82.937 73.3447
40.875885 82.991 72.8485
41.172089 83.046 72.3568
41.470440 83.101 71.8665
41.770950 83.156 71.3778
42.073643 83.210 70.8895
42.378525 83.264 70.4017
42.685616 83.318 69.9144
42.994934 83.372 69.4267
43.306492 83.426 68.9375
43.620308 83.480 68.4467
43.936401 83.533 67.9544
44.254780 83.587 67.4588
44.575470 83.640 66.9585
44.898483 83.694 66.4528
45.223835 83.748 65.9413
45.551544 83.802 65.4217
45.881630 83.856 64.8922
46.214108 83.909 64.3508
46.548996 83.961 63.7954
46.886307 84.013 63.2249
47.226067 84.063 62.6368
47.568283 84.111 62.0330
47.912983 84.155 61.4123
48.260181 84.194 60.7820
48.609894 84.227 60.1474
48.962143 84.256 59.5139
49.316940 84.280 58.8873
49.674313 84.299 58.2730
50.034271 84.314 57.6780
50.396843 84.325 57.1039
50.762039 84.334 56.5558
51.129883 84.343 56.0289
51.500389 84.353 55.5218
51.873581 84.364 55.0288
52.249481 84.375 54.5443
52.628101 84.386 54.0668
53.009464 84.397 53.5932
53.393593 84.408 53.1228
53.780506 84.418 52.6531
54.170223 84.427 52.1858
54.562763 84.434 51.7200
54.958145 84.439 51.2597
55.356396 84.441 50.8081
55.757530 84.441 50.3667
56.161572 84.440 49.9369
56.568542 84.437 49.5217
56.978462 84.430 49.1231
57.391350 84.421 48.7457
57.807232 84.410 48.3948
58.226128 84.399 48.0705
58.648056 84.388 47.7747
59.073048 84.377 47.5074
59.501114 84.367 47.2696
59.932281 84.358 47.0613
60.366577 84.351 46.8860
60.804020 84.348 46.7352
61.244629 84.352 46.6038
61.688435 84.361 46.4862
62.135452 84.373 46.3757
62.585712 84.390 46.2712
63.039234 84.412 46.1714
63.496040 84.439 46.0692
63.956161 84.472 45.9581
64.419617 84.509 45.8342
64.886421 84.550 45.6915
65.356621 84.594 45.5293
65.830215 84.640 45.3464
66.307251 84.688 45.1394
66.787743 84.739 44.9033
67.271713 84.790 44.6425
67.759193 84.837 44.3576
68.250206 84.883 44.0556
68.744774 84.927 43.7431
69.242928 84.970 43.4216
69.744690 85.012 43.0931
70.250084 85.053 42.7616
70.759148 85.091 42.4335
71.271896 85.130 42.1046
71.788361 85.173 41.7759
72.308571 85.218 41.4387
72.832550 85.265 41.0839
73.360321 85.312 40.7137
73.891922 85.358 40.3289
74.427376 85.405 39.9238
74.966705 85.455 39.4931
75.509949 85.505 39.0368
76.057121 85.550 38.5502
76.608261 85.591 38.0420
77.163399 85.629 37.5202
77.722557 85.665 36.9821
78.285767 85.699 36.4266
78.853058 85.730 35.8572
79.424461 85.754 35.2752
80.000000 85.774 34.6862
80.579712 85.790 34.0965
81.163628 85.802 33.5051
81.751770 85.810 32.9111
82.344177 85.814 32.3212
82.940880 85.810 31.7405
83.541901 85.802 31.1731
84.147285 85.791 30.6255
84.757050 85.778 30.0960
85.371231 85.762 29.5839
85.989868 85.744 29.0920
86.612984 85.723 28.6236
87.240616 85.700 28.1769
87.872803 85.678 27.7527
88.509560 85.656 27.3468
89.150940 85.634 26.9546
89.796967 85.612 26.5778
90.447670 85.589 26.2181
91.103088 85.567 25.8707
91.763260 85.548 25.5318
92.428215 85.529 25.2007
93.097992 85.508 24.8741
93.772614 85.486 24.5566
94.452133 85.465 24.2537
95.136566 85.444 23.9596
95.825966 85.426 23.6697
96.520363 85.407 23.3856
