* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Edition XS Gras_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:53:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Edition XS Gras_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Edition XS Gras_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 83.798 17.2470
5.036232 83.804 17.2421
5.072727 83.810 17.2370
5.109486 83.817 17.2314
5.146511 83.825 17.2250
5.183805 83.835 17.2173
5.221369 83.846 17.2090
5.259205 83.857 17.2006
5.297316 83.869 17.1920
5.335702 83.882 17.1831
5.374367 83.895 17.1740
5.413311 83.908 17.1650
5.452538 83.921 17.1560
5.492050 83.933 17.1471
5.531847 83.946 17.1380
5.571934 83.959 17.1285
5.612310 83.972 17.1190
5.652979 83.984 17.1100
5.693943 83.997 17.1010
5.735204 84.010 17.0916
5.776763 84.023 17.0820
5.818624 84.036 17.0726
5.860788 84.049 17.0630
5.903258 84.062 17.0530
5.946035 84.074 17.0430
5.989123 84.087 17.0335
6.032523 84.100 17.0240
6.076237 84.112 17.0141
6.120268 84.125 17.0040
6.164618 84.138 16.9941
6.209289 84.151 16.9840
6.254284 84.164 16.9736
6.299605 84.177 16.9630
6.345255 84.189 16.9525
6.391235 84.202 16.9420
6.437549 84.215 16.9315
6.484198 84.228 16.9210
6.531185 84.240 16.9106
6.578513 84.253 16.9000
6.626183 84.266 16.8891
6.674199 84.279 16.8780
6.722563 84.292 16.8670
6.771278 84.305 16.8560
6.820345 84.317 16.8450
6.869768 84.330 16.8340
6.919549 84.343 16.8231
6.969691 84.356 16.8120
7.020196 84.368 16.8006
7.071068 84.381 16.7890
7.122308 84.394 16.7770
7.173919 84.407 16.7650
7.225904 84.420 16.7535
7.278266 84.433 16.7420
7.331007 84.445 16.7301
7.384131 84.458 16.7180
7.437639 84.471 16.7061
7.491535 84.484 16.6940
7.545822 84.496 16.6816
7.600502 84.509 16.6690
7.655579 84.522 16.6565
7.711054 84.535 16.6440
7.766932 84.548 16.6316
7.823214 84.561 16.6190
7.879904 84.573 16.6061
7.937005 84.586 16.5930
7.994520 84.599 16.5800
8.052452 84.612 16.5670
8.110803 84.624 16.5541
8.169578 84.637 16.5410
8.228777 84.650 16.5276
8.288406 84.663 16.5140
8.348468 84.676 16.5006
8.408964 84.689 16.4870
8.469899 84.701 16.4731
8.531276 84.714 16.4590
8.593097 84.727 16.4451
8.655366 84.740 16.4310
8.718086 84.752 16.4165
8.781260 84.765 16.4020
8.844893 84.778 16.3881
8.908987 84.791 16.3740
8.973545 84.804 16.3591
9.038571 84.817 16.3440
9.104069 84.829 16.3290
9.170040 84.842 16.3140
9.236490 84.855 16.2991
9.303422 84.868 16.2840
9.370838 84.880 16.2686
9.438744 84.893 16.2530
9.507140 84.906 16.2375
9.576033 84.919 16.2220
9.645425 84.932 16.2066
9.715320 84.945 16.1910
9.785721 84.957 16.1751
9.856632 84.970 16.1590
9.928058 84.983 16.1426
10.000000 84.996 16.1260
10.072464 85.008 16.1096
10.145453 85.021 16.0930
10.218971 85.034 16.0761
10.293022 85.047 16.0590
10.367610 85.060 16.0420
10.442738 85.073 16.0250
10.518411 85.085 16.0081
10.594631 85.098 15.9910
10.671404 85.111 15.9736
10.748734 85.124 15.9560
10.826623 85.136 15.9381
10.905077 85.149 15.9200
10.984100 85.162 15.9021
11.063695 85.175 15.8840
11.143867 85.188 15.8656
11.224621 85.201 15.8470
11.305959 85.213 15.8286
11.387886 85.226 15.8100
11.470407 85.239 15.7911
11.553527 85.252 15.7720
11.637249 85.264 15.7526
11.721577 85.277 15.7330
11.806517 85.290 15.7136
11.892071 85.303 15.6940
11.978246 85.316 15.6741
12.065045 85.329 15.6540
12.152473 85.341 15.6341
12.240536 85.354 15.6140
12.329235 85.367 15.5936
12.418578 85.380 15.5730
12.508568 85.392 15.5526
12.599211 85.405 15.5320
12.690510 85.418 15.5106
12.782471 85.431 15.4890
12.875097 85.444 15.4681
12.968395 85.457 15.4470
13.062370 85.469 15.4251
13.157025 85.482 15.4030
13.252366 85.495 15.3811
13.348398 85.508 15.3590
13.445127 85.520 15.3366
13.542556 85.533 15.3140
13.640691 85.546 15.2911
13.739536 85.559 15.2680
13.839099 85.572 15.2451
13.939383 85.585 15.2220
14.040393 85.597 15.1986
14.142136 85.610 15.1750
14.244616 85.623 15.1511
14.347837 85.636 15.1270
14.451808 85.648 15.1031
14.556532 85.661 15.0790
14.662014 85.674 15.0546
14.768262 85.687 15.0300
14.875278 85.700 15.0052
14.983070 85.713 14.9800
15.091644 85.725 14.9546
15.201005 85.738 14.9290
15.311157 85.751 14.9031
15.422109 85.764 14.8770
15.533863 85.776 14.8511
15.646428 85.789 14.8250
15.759809 85.802 14.7986
15.874010 85.815 14.7720
15.989040 85.828 14.7451
16.104904 85.841 14.7180
16.221605 85.853 14.6906
16.339155 85.866 14.6630
16.457554 85.879 14.6356
16.576813 85.892 14.6080
16.696936 85.904 14.5801
16.817928 85.917 14.5520
16.939798 85.930 14.5241
17.062551 85.943 14.4960
17.186193 85.956 14.4676
17.310732 85.969 14.4390
17.436172 85.981 14.4106
17.562521 85.994 14.3820
17.689787 86.007 14.3530
17.817974 86.020 14.3240
17.947090 86.032 14.2955
18.077143 86.045 14.2670
18.208138 86.058 14.2385
18.340080 86.071 14.2100
18.472980 86.084 14.1818
18.606844 86.097 14.1540
18.741676 86.109 14.1267
18.877487 86.122 14.1000
19.014280 86.135 14.0738
19.152065 86.148 14.0490
19.290850 86.160 14.0268
19.430639 86.173 14.0070
19.571442 86.186 13.9895
19.713264 86.200 13.9750
19.856115 86.213 13.9648
20.000000 86.228 13.9570
20.144928 86.245 13.9519
20.290907 86.264 13.9440
20.437943 86.285 13.9277
20.586044 86.307 13.9040
20.735220 86.329 13.8735
20.885475 86.352 13.8321
21.036821 86.378 13.7763
21.189262 86.404 13.7041
21.342808 86.429 13.6098
21.497467 86.452 13.5011
21.653246 86.471 13.3832
21.810154 86.488 13.2582
21.968201 86.503 13.1292
22.127390 86.516 12.9991
22.287735 86.525 12.8697
22.449242 86.532 12.7471
22.611917 86.536 12.6385
22.775772 86.538 12.5431
22.940815 86.541 12.4631
23.107054 86.544 12.3971
23.274498 86.547 12.3463
23.443153 86.552 12.3051
23.613033 86.561 12.2703
23.784142 86.572 12.2350
23.956491 86.585 12.1907
24.130091 86.600 12.1381
24.304947 86.614 12.0750
24.481071 86.628 12.0021
24.658470 86.642 11.9191
24.837156 86.655 11.8271
25.017136 86.666 11.7248
25.198421 86.675 11.6201
25.381020 86.680 11.5195
25.564941 86.683 11.4261
25.750195 86.685 11.3453
25.936790 86.686 11.2761
26.124741 86.687 11.2198
26.314051 86.689 11.1751
26.504732 86.692 11.1430
26.696796 86.697 11.1180
26.890253 86.705 11.0968
27.085112 86.716 11.0730
27.281382 86.729 11.0388
27.479073 86.744 10.9951
27.678198 86.757 10.9401
27.878765 86.771 10.8741
28.080786 86.785 10.7958
28.284271 86.799 10.7071
28.489231 86.810 10.6072
28.695675 86.819 10.5031
28.903616 86.825 10.4010
29.113064 86.828 10.3031
29.324028 86.830 10.2140
29.536524 86.831 10.1341
29.750557 86.831 10.0658
29.966141 86.831 10.0081
30.183289 86.832 9.9612
30.402010 86.834 9.9240
30.622314 86.837 9.8967
30.844217 86.841 9.8750
31.067726 86.848 9.8567
31.292856 86.858 9.8360
31.519617 86.870 9.8067
31.748020 86.883 9.7681
31.978081 86.897 9.7171
32.209808 86.911 9.6541
32.443211 86.925 9.5775
32.678310 86.939 9.4891
32.915108 86.951 9.3886
33.153625 86.960 9.2811
33.393871 86.966 9.1704
33.635857 86.971 9.0602
33.879597 86.974 8.9555
34.125103 86.976 8.8561
34.372387 86.977 8.7641
34.621464 86.977 8.6781
34.872345 86.977 8.5980
35.125042 86.977 8.5231
35.379574 86.977 8.4531
35.635948 86.977 8.3871
35.894180 86.977 8.3236
36.154285 86.977 8.2631
36.416275 86.977 8.2053
36.680161 86.977 8.1501
36.945961 86.977 8.0974
37.213688 86.977 8.0471
37.483353 86.977 7.9988
37.754974 86.977 7.9531
38.028561 86.977 7.9102
38.304131 86.977 7.8701
38.581699 86.977 7.8322
38.861279 86.977 7.7971
39.142883 86.977 7.7647
39.426529 86.977 7.7360
39.712231 86.977 7.7115
40.000000 86.977 7.6920
40.289856 86.977 7.6786
40.581814 86.978 7.6710
40.875885 86.980 7.6697
41.172089 86.983 7.6730
41.470440 86.988 7.6808
41.770950 86.995 7.6880
42.073643 87.005 7.6907
42.378525 87.017 7.6850
42.685616 87.031 7.6655
42.994934 87.045 7.6331
43.306492 87.059 7.5866
43.620308 87.073 7.5271
43.936401 87.086 7.4539
44.254780 87.098 7.3701
44.575470 87.107 7.2770
44.898483 87.113 7.1802
45.223835 87.117 7.0850
45.551544 87.120 6.9931
45.881630 87.121 6.9084
46.214108 87.122 6.8291
46.548996 87.122 6.7552
46.886307 87.122 6.6861
47.226067 87.122 6.6217
47.568283 87.122 6.5611
47.912983 87.122 6.5033
48.260181 87.122 6.4481
48.609894 87.122 6.3946
48.962143 87.122 6.3431
49.316940 87.122 6.2932
49.674313 87.122 6.2451
50.034271 87.122 6.1989
50.396843 87.122 6.1541
50.762039 87.122 6.1099
51.129883 87.122 6.0671
51.500389 87.122 6.0259
51.873581 87.122 5.9861
52.249481 87.122 5.9476
52.628101 87.122 5.9101
53.009464 87.122 5.8730
53.393593 87.122 5.8371
53.780506 87.122 5.8030
54.170223 87.122 5.7701
54.562763 87.122 5.7376
54.958145 87.122 5.7060
55.356396 87.122 5.6755
55.757530 87.122 5.6460
56.161572 87.122 5.6180
56.568542 87.122 5.5910
56.978462 87.122 5.5650
57.391350 87.122 5.5400
57.807232 87.122 5.5164
58.226128 87.122 5.4940
58.648056 87.122 5.4729
59.073048 87.122 5.4530
59.501114 87.122 5.4343
59.932281 87.122 5.4170
60.366577 87.122 5.4017
60.804020 87.122 5.3880
61.244629 87.122 5.3756
61.688435 87.122 5.3650
62.135452 87.122 5.3568
62.585712 87.122 5.3510
63.039234 87.122 5.3479
63.496040 87.122 5.3480
63.956161 87.122 5.3512
64.419617 87.122 5.3590
64.886421 87.122 5.3729
65.356621 87.122 5.3930
65.830215 87.123 5.4197
66.307251 87.126 5.4529
66.787743 87.129 5.4940
67.271713 87.134 5.5389
67.759193 87.142 5.5855
68.250206 87.153 5.6289
68.744774 87.166 5.6631
69.242928 87.181 5.6890
69.744690 87.197 5.7056
70.250084 87.213 5.7130
70.759148 87.230 5.7118
71.271896 87.248 5.6990
71.788361 87.267 5.6716
72.308571 87.287 5.6301
72.832550 87.305 5.5730
73.360321 87.323 5.5041
73.891922 87.339 5.4273
74.427376 87.354 5.3412
74.966705 87.369 5.2454
75.509949 87.382 5.1412
76.057121 87.393 5.0278
76.608261 87.402 4.9112
77.163399 87.406 4.7964
77.722557 87.409 4.6852
78.285767 87.411 4.5815
78.853058 87.413 4.4842
79.424461 87.413 4.3936
80.000000 87.413 4.3092
80.579712 87.413 4.2309
81.163628 87.413 4.1571
81.751770 87.413 4.0862
82.344177 87.413 4.0181
82.940880 87.413 3.9525
83.541901 87.413 3.8891
84.147285 87.413 3.8277
84.757050 87.413 3.7681
85.371231 87.413 3.7099
85.989868 87.413 3.6531
86.612984 87.413 3.5980
87.240616 87.413 3.5441
87.872803 87.413 3.4911
88.509560 87.413 3.4391
89.150940 87.413 3.3881
89.796967 87.413 3.3381
90.447670 87.413 3.2892
91.103088 87.413 3.2411
91.763260 87.413 3.1937
92.428215 87.413 3.1471
93.097992 87.413 3.1017
93.772614 87.413 3.0571
94.452133 87.413 3.0127
95.136566 87.413 2.9691
95.825966 87.413 2.9271
96.520363 87.413 2.8861
