* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_HE-6_Sundara_Pads_5128_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:25:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_HE-6_Sundara_Pads_5128_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HiFiMAN_HE-6_Sundara_Pads
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.413 17.1690
5.036232 86.419 17.1643
5.072727 86.425 17.1590
5.109486 86.432 17.1524
5.146511 86.440 17.1450
5.183805 86.450 17.1367
5.221369 86.461 17.1280
5.259205 86.472 17.1197
5.297316 86.484 17.1110
5.335702 86.497 17.1011
5.374367 86.510 17.0910
5.413311 86.523 17.0814
5.452538 86.536 17.0720
5.492050 86.549 17.0626
5.531847 86.561 17.0530
5.571934 86.574 17.0431
5.612310 86.587 17.0330
5.652979 86.599 17.0230
5.693943 86.612 17.0130
5.735204 86.625 17.0031
5.776763 86.638 16.9930
5.818624 86.651 16.9825
5.860788 86.664 16.9720
5.903258 86.676 16.9620
5.946035 86.689 16.9520
5.989123 86.702 16.9416
6.032523 86.715 16.9310
6.076237 86.727 16.9206
6.120268 86.740 16.9100
6.164618 86.753 16.8991
6.209289 86.766 16.8880
6.254284 86.779 16.8770
6.299605 86.792 16.8660
6.345255 86.804 16.8550
6.391235 86.817 16.8440
6.437549 86.830 16.8331
6.484198 86.843 16.8220
6.531185 86.855 16.8106
6.578513 86.868 16.7990
6.626183 86.881 16.7876
6.674199 86.894 16.7760
6.722563 86.907 16.7640
6.771278 86.920 16.7520
6.820345 86.932 16.7405
6.869768 86.945 16.7290
6.919549 86.958 16.7171
6.969691 86.971 16.7050
7.020196 86.983 16.6926
7.071068 86.996 16.6800
7.122308 87.009 16.6675
7.173919 87.022 16.6550
7.225904 87.035 16.6425
7.278266 87.048 16.6300
7.331007 87.060 16.6176
7.384131 87.073 16.6050
7.437639 87.086 16.5921
7.491535 87.099 16.5790
7.545822 87.111 16.5661
7.600502 87.124 16.5530
7.655579 87.137 16.5396
7.711054 87.150 16.5260
7.766932 87.163 16.5125
7.823214 87.176 16.4990
7.879904 87.188 16.4856
7.937005 87.201 16.4720
7.994520 87.214 16.4581
8.052452 87.227 16.4440
8.110803 87.239 16.4301
8.169578 87.252 16.4160
8.228777 87.265 16.4016
8.288406 87.278 16.3870
8.348468 87.291 16.3725
8.408964 87.304 16.3580
8.469899 87.316 16.3436
8.531276 87.329 16.3290
8.593097 87.342 16.3141
8.655366 87.355 16.2990
8.718086 87.368 16.2841
8.781260 87.381 16.2690
8.844893 87.393 16.2536
8.908987 87.406 16.2380
8.973545 87.419 16.2226
9.038571 87.432 16.2070
9.104069 87.444 16.1911
9.170040 87.457 16.1750
9.236490 87.470 16.1590
9.303422 87.483 16.1430
9.370838 87.496 16.1271
9.438744 87.509 16.1110
9.507140 87.521 16.0946
9.576033 87.534 16.0780
9.645425 87.547 16.0611
9.715320 87.560 16.0440
9.785721 87.572 16.0271
9.856632 87.585 16.0100
9.928058 87.598 15.9926
10.000000 87.611 15.9750
10.072464 87.624 15.9575
10.145453 87.637 15.9400
10.218971 87.649 15.9226
10.293022 87.662 15.9050
10.367610 87.675 15.8871
10.442738 87.688 15.8690
10.518411 87.701 15.8506
10.594631 87.713 15.8320
10.671404 87.726 15.8136
10.748734 87.739 15.7950
10.826623 87.752 15.7761
10.905077 87.765 15.7570
10.984100 87.777 15.7381
11.063695 87.790 15.7190
11.143867 87.803 15.6996
11.224621 87.816 15.6800
11.305959 87.828 15.6601
11.387886 87.841 15.6400
11.470407 87.854 15.6200
11.553527 87.867 15.6000
11.637249 87.880 15.5801
11.721577 87.893 15.5600
11.806517 87.905 15.5391
11.892071 87.918 15.5180
11.978246 87.931 15.4970
12.065045 87.944 15.4760
12.152473 87.956 15.4551
12.240536 87.969 15.4340
12.329235 87.982 15.4126
12.418578 87.995 15.3910
12.508568 88.008 15.3691
12.599211 88.021 15.3470
12.690510 88.033 15.3251
12.782471 88.046 15.3030
12.875097 88.059 15.2806
12.968395 88.072 15.2580
13.062370 88.084 15.2351
13.157025 88.097 15.2120
13.252366 88.110 15.1886
13.348398 88.123 15.1650
13.445127 88.136 15.1415
13.542556 88.149 15.1180
13.640691 88.161 15.0946
13.739536 88.174 15.0710
13.839099 88.187 15.0466
13.939383 88.200 15.0220
14.040393 88.212 14.9976
14.142136 88.225 14.9730
14.244616 88.238 14.9481
14.347837 88.251 14.9230
14.451808 88.264 14.8976
14.556532 88.277 14.8720
14.662014 88.289 14.8466
14.768262 88.302 14.8210
14.875278 88.315 14.7952
14.983070 88.328 14.7690
15.091644 88.340 14.7426
15.201005 88.353 14.7160
15.311157 88.366 14.6891
15.422109 88.379 14.6620
15.533863 88.392 14.6346
15.646428 88.405 14.6070
15.759809 88.417 14.5796
15.874010 88.430 14.5520
15.989040 88.443 14.5241
16.104904 88.456 14.4960
16.221605 88.468 14.4676
16.339155 88.481 14.4390
16.457554 88.494 14.4106
16.576813 88.507 14.3820
16.696936 88.520 14.3531
16.817928 88.533 14.3240
16.939798 88.545 14.2945
17.062551 88.558 14.2650
17.186193 88.571 14.2361
17.310732 88.584 14.2070
17.436172 88.596 14.1771
17.562521 88.609 14.1470
17.689787 88.622 14.1175
17.817974 88.635 14.0880
17.947090 88.648 14.0585
18.077143 88.661 14.0290
18.208138 88.673 13.9995
18.340080 88.686 13.9700
18.472980 88.699 13.9408
18.606844 88.712 13.9120
18.741676 88.724 13.8836
18.877487 88.737 13.8560
19.014280 88.750 13.8295
19.152065 88.763 13.8040
19.290850 88.776 13.7799
19.430639 88.789 13.7570
19.571442 88.803 13.7356
19.713264 88.817 13.7150
19.856115 88.832 13.6951
20.000000 88.848 13.6740
20.144928 88.864 13.6494
20.290907 88.881 13.6220
20.437943 88.898 13.5922
20.586044 88.915 13.5590
20.735220 88.932 13.5213
20.885475 88.950 13.4800
21.036821 88.967 13.4356
21.189262 88.985 13.3881
21.342808 89.002 13.3380
21.497467 89.020 13.2851
21.653246 89.037 13.2291
21.810154 89.055 13.1701
21.968201 89.073 13.1087
22.127390 89.091 13.0421
22.287735 89.110 12.9675
22.449242 89.129 12.8851
22.611917 89.147 12.7928
22.775772 89.163 12.6941
22.940815 89.177 12.5911
23.107054 89.190 12.4851
23.274498 89.201 12.3769
23.443153 89.211 12.2701
23.613033 89.217 12.1676
23.784142 89.222 12.0731
23.956491 89.225 11.9913
24.130091 89.228 11.9221
24.304947 89.231 11.8679
24.481071 89.234 11.8260
24.658470 89.239 11.7958
24.837156 89.246 11.7730
25.017136 89.255 11.7542
25.198421 89.265 11.7370
25.381020 89.276 11.7178
25.564941 89.289 11.6970
25.750195 89.302 11.6743
25.936790 89.316 11.6490
26.124741 89.331 11.6202
26.314051 89.347 11.5880
26.504732 89.363 11.5522
26.696796 89.379 11.5140
26.890253 89.395 11.4749
27.085112 89.412 11.4340
27.281382 89.430 11.3927
27.479073 89.449 11.3471
27.678198 89.470 11.2938
27.878765 89.492 11.2321
28.080786 89.514 11.1592
28.284271 89.536 11.0771
28.489231 89.558 10.9872
28.695675 89.579 10.8881
28.903616 89.600 10.7789
29.113064 89.621 10.6602
29.324028 89.640 10.5319
29.536524 89.659 10.3962
29.750557 89.677 10.2550
29.966141 89.693 10.1082
30.183289 89.708 9.9557
30.402010 89.722 9.7992
30.622314 89.734 9.6391
30.844217 89.744 9.4782
31.067726 89.752 9.3190
31.292856 89.759 9.1622
31.519617 89.764 9.0090
31.748020 89.768 8.8612
31.978081 89.771 8.7208
32.209808 89.773 8.5882
32.443211 89.775 8.4654
32.678310 89.778 8.3491
32.915108 89.782 8.2378
33.153625 89.786 8.1281
33.393871 89.792 8.0162
33.635857 89.798 7.9022
33.879597 89.803 7.7850
34.125103 89.809 7.6642
34.372387 89.815 7.5387
34.621464 89.821 7.4092
34.872345 89.826 7.2752
35.125042 89.829 7.1392
35.379574 89.831 7.0030
35.635948 89.832 6.8672
35.894180 89.833 6.7332
36.154285 89.834 6.6002
36.416275 89.833 6.4679
36.680161 89.832 6.3362
36.945961 89.831 6.2046
37.213688 89.829 6.0742
37.483353 89.826 5.9454
37.754974 89.821 5.8202
38.028561 89.815 5.7012
38.304131 89.809 5.5871
38.581699 89.803 5.4777
38.861279 89.797 5.3732
39.142883 89.790 5.2736
39.426529 89.783 5.1791
39.712231 89.776 5.0903
40.000000 89.769 5.0061
40.289856 89.762 4.9257
40.581814 89.756 4.8491
40.875885 89.749 4.7764
41.172089 89.743 4.7071
41.470440 89.737 4.6408
41.770950 89.731 4.5771
42.073643 89.726 4.5160
42.378525 89.721 4.4561
42.685616 89.717 4.3963
42.994934 89.713 4.3361
43.306492 89.709 4.2738
43.620308 89.705 4.2111
43.936401 89.700 4.1481
44.254780 89.695 4.0871
44.575470 89.689 4.0307
44.898483 89.683 3.9781
45.223835 89.677 3.9294
45.551544 89.671 3.8851
45.881630 89.666 3.8463
46.214108 89.661 3.8111
46.548996 89.658 3.7783
46.886307 89.655 3.7461
47.226067 89.654 3.7121
47.568283 89.653 3.6761
47.912983 89.652 3.6370
48.260181 89.652 3.5951
48.609894 89.652 3.5500
48.962143 89.652 3.5021
49.316940 89.652 3.4513
49.674313 89.652 3.3981
50.034271 89.652 3.3430
50.396843 89.652 3.2851
50.762039 89.652 3.2238
51.129883 89.652 3.1591
51.500389 89.652 3.0908
51.873581 89.651 3.0191
52.249481 89.649 2.9438
52.628101 89.647 2.8661
53.009464 89.643 2.7868
53.393593 89.639 2.7081
53.780506 89.634 2.6328
54.170223 89.628 2.5601
54.562763 89.622 2.4904
54.958145 89.615 2.4231
55.356396 89.608 2.3577
55.757530 89.600 2.2951
56.161572 89.592 2.2363
56.568542 89.583 2.1811
56.978462 89.575 2.1297
57.391350 89.566 2.0811
57.807232 89.558 2.0338
58.226128 89.549 1.9901
58.648056 89.539 1.9509
59.073048 89.528 1.9180
59.501114 89.518 1.8945
59.932281 89.509 1.8770
60.366577 89.501 1.8640
60.804020 89.494 1.8540
61.244629 89.487 1.8460
61.688435 89.481 1.8380
62.135452 89.477 1.8287
62.585712 89.474 1.8160
63.039234 89.472 1.7976
63.496040 89.470 1.7730
63.956161 89.468 1.7404
64.419617 89.466 1.7021
64.886421 89.462 1.6587
65.356621 89.457 1.6131
65.830215 89.451 1.5681
66.307251 89.444 1.5241
66.787743 89.437 1.4819
67.271713 89.429 1.4431
67.759193 89.419 1.4091
68.250206 89.408 1.3810
68.744774 89.398 1.3619
69.242928 89.389 1.3480
69.744690 89.380 1.3370
70.250084 89.372 1.3280
70.759148 89.364 1.3189
71.271896 89.357 1.3110
71.788361 89.349 1.3053
72.308571 89.341 1.3010
72.832550 89.333 1.2977
73.360321 89.326 1.2950
73.891922 89.319 1.2923
74.427376 89.313 1.2900
74.966705 89.306 1.2881
75.509949 89.299 1.2870
76.057121 89.291 1.2871
76.608261 89.284 1.2880
77.163399 89.277 1.2897
77.722557 89.271 1.2920
78.285767 89.264 1.2942
78.853058 89.257 1.2970
79.424461 89.250 1.3004
80.000000 89.243 1.3050
80.579712 89.236 1.3112
81.163628 89.228 1.3200
81.751770 89.220 1.3329
82.344177 89.213 1.3490
82.940880 89.206 1.3680
83.541901 89.199 1.3890
84.147285 89.192 1.4106
84.757050 89.186 1.4330
85.371231 89.180 1.4561
85.989868 89.175 1.4790
86.612984 89.170 1.5006
87.240616 89.166 1.5210
87.872803 89.161 1.5388
88.509560 89.156 1.5570
89.150940 89.150 1.5778
89.796967 89.144 1.6009
90.447670 89.138 1.6269
91.103088 89.132 1.6559
91.763260 89.126 1.6884
92.428215 89.120 1.7239
93.097992 89.115 1.7632
93.772614 89.112 1.8029
94.452133 89.110 1.8401
95.136566 89.109 1.8739
