* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Hifiman he-r10 planar_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:24:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Hifiman he-r10 planar_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Hifiman he-r10 planar_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.656 -12.5650
5.036232 90.652 -12.5588
5.072727 90.647 -12.5520
5.109486 90.641 -12.5441
5.146511 90.635 -12.5350
5.183805 90.627 -12.5244
5.221369 90.619 -12.5130
5.259205 90.610 -12.5013
5.297316 90.601 -12.4890
5.335702 90.591 -12.4756
5.374367 90.581 -12.4620
5.413311 90.571 -12.4490
5.452538 90.561 -12.4360
5.492050 90.551 -12.4226
5.531847 90.541 -12.4090
5.571934 90.531 -12.3956
5.612310 90.521 -12.3820
5.652979 90.512 -12.3681
5.693943 90.502 -12.3540
5.735204 90.492 -12.3400
5.776763 90.482 -12.3260
5.818624 90.472 -12.3121
5.860788 90.462 -12.2980
5.903258 90.452 -12.2836
5.946035 90.442 -12.2690
5.989123 90.432 -12.2546
6.032523 90.422 -12.2400
6.076237 90.412 -12.2251
6.120268 90.403 -12.2100
6.164618 90.393 -12.1950
6.209289 90.383 -12.1800
6.254284 90.373 -12.1651
6.299605 90.363 -12.1500
6.345255 90.353 -12.1346
6.391235 90.343 -12.1190
6.437549 90.333 -12.1031
6.484198 90.323 -12.0870
6.531185 90.313 -12.0710
6.578513 90.303 -12.0550
6.626183 90.294 -12.0391
6.674199 90.284 -12.0230
6.722563 90.274 -12.0066
6.771278 90.264 -11.9900
6.820345 90.254 -11.9731
6.869768 90.244 -11.9560
6.919549 90.234 -11.9390
6.969691 90.224 -11.9220
7.020196 90.214 -11.9051
7.071068 90.204 -11.8880
7.122308 90.195 -11.8706
7.173919 90.185 -11.8530
7.225904 90.175 -11.8351
7.278266 90.165 -11.8170
7.331007 90.155 -11.7991
7.384131 90.145 -11.7810
7.437639 90.135 -11.7626
7.491535 90.125 -11.7440
7.545822 90.115 -11.7256
7.600502 90.105 -11.7070
7.655579 90.095 -11.6881
7.711054 90.085 -11.6690
7.766932 90.076 -11.6496
7.823214 90.066 -11.6300
7.879904 90.056 -11.6106
7.937005 90.046 -11.5910
7.994520 90.036 -11.5711
8.052452 90.026 -11.5510
8.110803 90.016 -11.5311
8.169578 90.006 -11.5110
8.228777 89.996 -11.4906
8.288406 89.986 -11.4700
8.348468 89.976 -11.4491
8.408964 89.966 -11.4280
8.469899 89.957 -11.4071
8.531276 89.947 -11.3860
8.593097 89.937 -11.3646
8.655366 89.927 -11.3430
8.718086 89.917 -11.3211
8.781260 89.907 -11.2990
8.844893 89.897 -11.2766
8.908987 89.887 -11.2540
8.973545 89.877 -11.2316
9.038571 89.867 -11.2090
9.104069 89.857 -11.1861
9.170040 89.848 -11.1630
9.236490 89.838 -11.1396
9.303422 89.828 -11.1160
9.370838 89.818 -11.0921
9.438744 89.808 -11.0680
9.507140 89.798 -11.0441
9.576033 89.788 -11.0200
9.645425 89.778 -10.9951
9.715320 89.768 -10.9700
9.785721 89.758 -10.9451
9.856632 89.748 -10.9200
9.928058 89.739 -10.8946
10.000000 89.729 -10.8690
10.072464 89.719 -10.8431
10.145453 89.709 -10.8170
10.218971 89.699 -10.7906
10.293022 89.689 -10.7640
10.367610 89.679 -10.7376
10.442738 89.669 -10.7110
10.518411 89.659 -10.6837
10.594631 89.649 -10.6560
10.671404 89.640 -10.6281
10.748734 89.630 -10.6000
10.826623 89.620 -10.5721
10.905077 89.610 -10.5440
10.984100 89.600 -10.5152
11.063695 89.590 -10.4860
11.143867 89.580 -10.4566
11.224621 89.570 -10.4270
11.305959 89.560 -10.3971
11.387886 89.550 -10.3670
11.470407 89.540 -10.3366
11.553527 89.530 -10.3060
11.637249 89.521 -10.2751
11.721577 89.511 -10.2440
11.806517 89.501 -10.2127
11.892071 89.491 -10.1810
11.978246 89.481 -10.1487
12.065045 89.471 -10.1160
12.152473 89.461 -10.0831
12.240536 89.451 -10.0500
12.329235 89.441 -10.0166
12.418578 89.431 -9.9830
12.508568 89.422 -9.9492
12.599211 89.412 -9.9150
12.690510 89.402 -9.8802
12.782471 89.392 -9.8450
12.875097 89.382 -9.8097
12.968395 89.372 -9.7740
13.062370 89.362 -9.7377
13.157025 89.352 -9.7010
13.252366 89.342 -9.6642
13.348398 89.332 -9.6270
13.445127 89.322 -9.5892
13.542556 89.312 -9.5510
13.640691 89.303 -9.5127
13.739536 89.293 -9.4740
13.839099 89.283 -9.4348
13.939383 89.273 -9.3950
14.040393 89.263 -9.3547
14.142136 89.253 -9.3140
14.244616 89.243 -9.2733
14.347837 89.233 -9.2320
14.451808 89.223 -9.1898
14.556532 89.213 -9.1470
14.662014 89.204 -9.1042
14.768262 89.194 -9.0610
14.875278 89.184 -9.0173
14.983070 89.174 -8.9730
15.091644 89.164 -8.9284
15.201005 89.154 -8.8830
15.311157 89.144 -8.8368
15.422109 89.134 -8.7900
15.533863 89.124 -8.7428
15.646428 89.114 -8.6950
15.759809 89.104 -8.6468
15.874010 89.094 -8.5980
15.989040 89.085 -8.5488
16.104904 89.075 -8.4990
16.221605 89.065 -8.4484
16.339155 89.055 -8.3971
16.457554 89.045 -8.3449
16.576813 89.035 -8.2920
16.696936 89.025 -8.2384
16.817928 89.015 -8.1840
16.939798 89.005 -8.1289
17.062551 88.995 -8.0731
17.186193 88.986 -8.0164
17.310732 88.976 -7.9590
17.436172 88.966 -7.9010
17.562521 88.956 -7.8420
17.689787 88.946 -7.7816
17.817974 88.936 -7.7201
17.947090 88.926 -7.6580
18.077143 88.916 -7.5950
18.208138 88.906 -7.5311
18.340080 88.896 -7.4661
18.472980 88.886 -7.4001
18.606844 88.876 -7.3330
18.741676 88.867 -7.2646
18.877487 88.857 -7.1951
19.014280 88.847 -7.1251
19.152065 88.837 -7.0541
19.290850 88.827 -6.9820
19.430639 88.816 -6.9080
19.571442 88.805 -6.8323
19.713264 88.793 -6.7521
19.856115 88.781 -6.6654
20.000000 88.768 -6.5701
20.144928 88.755 -6.4629
20.290907 88.743 -6.3461
20.437943 88.733 -6.2201
20.586044 88.725 -6.0881
20.735220 88.720 -5.9516
20.885475 88.717 -5.8162
21.036821 88.717 -5.6868
21.189262 88.719 -5.5671
21.342808 88.723 -5.4622
21.497467 88.729 -5.3731
21.653246 88.735 -5.3033
21.810154 88.740 -5.2511
21.968201 88.743 -5.2181
22.127390 88.744 -5.1980
22.287735 88.740 -5.1874
22.449242 88.733 -5.1790
22.611917 88.722 -5.1655
22.775772 88.708 -5.1430
22.940815 88.691 -5.1064
23.107054 88.671 -5.0531
23.274498 88.649 -4.9795
23.443153 88.626 -4.8832
23.613033 88.602 -4.7605
23.784142 88.578 -4.6111
23.956491 88.555 -4.4320
24.130091 88.535 -4.2282
24.304947 88.518 -4.0035
24.481071 88.504 -3.7593
24.658470 88.493 -3.4969
24.837156 88.486 -3.2204
25.017136 88.485 -2.9318
25.198421 88.489 -2.6383
25.381020 88.499 -2.3461
25.564941 88.514 -2.0603
25.750195 88.535 -1.7870
25.936790 88.560 -1.5293
26.124741 88.589 -1.2902
26.314051 88.623 -1.0753
26.504732 88.661 -0.8905
26.696796 88.702 -0.7382
26.890253 88.743 -0.6235
27.085112 88.785 -0.5441
27.281382 88.827 -0.4995
27.479073 88.867 -0.4880
27.678198 88.904 -0.5100
27.878765 88.938 -0.5589
28.080786 88.968 -0.6310
28.284271 88.993 -0.7189
28.489231 89.013 -0.8154
28.695675 89.028 -0.9159
28.903616 89.039 -1.0141
29.113064 89.047 -1.1079
29.324028 89.052 -1.1930
29.536524 89.054 -1.2689
29.750557 89.054 -1.3331
29.966141 89.053 -1.3869
30.183289 89.051 -1.4321
30.402010 89.047 -1.4660
30.622314 89.042 -1.4869
30.844217 89.036 -1.4940
31.067726 89.029 -1.4856
31.292856 89.022 -1.4620
31.519617 89.016 -1.4231
31.748020 89.010 -1.3691
31.978081 89.005 -1.2985
32.209808 89.002 -1.2161
32.443211 89.003 -1.1248
32.678310 89.007 -1.0291
32.915108 89.013 -0.9341
33.153625 89.021 -0.8411
33.393871 89.031 -0.7531
33.635857 89.044 -0.6711
33.879597 89.059 -0.5975
34.125103 89.074 -0.5311
34.372387 89.089 -0.4722
34.621464 89.104 -0.4191
34.872345 89.121 -0.3690
35.125042 89.139 -0.3250
35.379574 89.158 -0.2887
35.635948 89.179 -0.2620
35.894180 89.201 -0.2474
36.154285 89.224 -0.2460
36.416275 89.248 -0.2594
36.680161 89.272 -0.2889
36.945961 89.296 -0.3365
37.213688 89.320 -0.4019
37.483353 89.342 -0.4874
37.754974 89.362 -0.5878
38.028561 89.378 -0.7003
38.304131 89.392 -0.8208
38.581699 89.404 -0.9444
38.861279 89.413 -1.0708
39.142883 89.420 -1.1986
39.426529 89.425 -1.3258
39.712231 89.428 -1.4497
40.000000 89.429 -1.5708
40.289856 89.429 -1.6885
40.581814 89.429 -1.8038
40.875885 89.428 -1.9183
41.172089 89.425 -2.0308
41.470440 89.421 -2.1416
41.770950 89.415 -2.2488
42.073643 89.408 -2.3503
42.378525 89.400 -2.4479
42.685616 89.392 -2.5425
42.994934 89.383 -2.6339
43.306492 89.372 -2.7226
43.620308 89.359 -2.8069
43.936401 89.346 -2.8848
44.254780 89.331 -2.9569
44.575470 89.315 -3.0244
44.898483 89.298 -3.0839
45.223835 89.278 -3.1332
45.551544 89.257 -3.1700
45.881630 89.235 -3.1907
46.214108 89.212 -3.1960
46.548996 89.189 -3.1862
46.886307 89.165 -3.1591
47.226067 89.141 -3.1127
47.568283 89.117 -3.0471
47.912983 89.095 -2.9606
48.260181 89.074 -2.8572
48.609894 89.056 -2.7406
48.962143 89.039 -2.6102
49.316940 89.024 -2.4664
49.674313 89.011 -2.3103
50.034271 89.001 -2.1420
50.396843 88.995 -1.9653
50.762039 88.992 -1.7827
51.129883 88.993 -1.5973
51.500389 88.997 -1.4116
51.873581 89.005 -1.2293
52.249481 89.017 -1.0545
52.628101 89.032 -0.8893
53.009464 89.049 -0.7366
53.393593 89.069 -0.5972
53.780506 89.091 -0.4724
54.170223 89.116 -0.3642
54.562763 89.142 -0.2746
54.958145 89.169 -0.2041
55.356396 89.197 -0.1546
55.757530 89.224 -0.1230
56.161572 89.250 -0.1073
56.568542 89.275 -0.1060
56.978462 89.300 -0.1166
57.391350 89.324 -0.1399
57.807232 89.348 -0.1769
58.226128 89.370 -0.2249
58.648056 89.391 -0.2823
59.073048 89.410 -0.3479
59.501114 89.428 -0.4202
59.932281 89.444 -0.4979
60.366577 89.459 -0.5792
60.804020 89.472 -0.6629
61.244629 89.483 -0.7464
61.688435 89.494 -0.8309
62.135452 89.505 -0.9162
62.585712 89.515 -1.0028
63.039234 89.523 -1.0927
63.496040 89.530 -1.1818
63.956161 89.535 -1.2676
64.419617 89.539 -1.3489
64.886421 89.543 -1.4229
65.356621 89.546 -1.4919
65.830215 89.550 -1.5574
66.307251 89.554 -1.6189
66.787743 89.557 -1.6755
67.271713 89.561 -1.7299
67.759193 89.567 -1.7822
68.250206 89.574 -1.8389
68.744774 89.583 -1.9076
69.242928 89.592 -1.9848
69.744690 89.598 -2.0716
70.250084 89.603 -2.1628
70.759148 89.606 -2.2541
71.271896 89.607 -2.3438
71.788361 89.607 -2.4299
72.308571 89.606 -2.5089
72.832550 89.603 -2.5756
73.360321 89.601 -2.6329
73.891922 89.601 -2.6795
74.427376 89.603 -2.7229
74.966705 89.607 -2.7694
75.509949 89.613 -2.8209
76.057121 89.619 -2.8814
76.608261 89.626 -2.9509
77.163399 89.633 -3.0308
77.722557 89.640 -3.1208
78.285767 89.645 -3.2227
78.853058 89.649 -3.3318
