* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\hifiman he-r7dx_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:23:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\hifiman he-r7dx_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: hifiman he-r7dx_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 71.285 88.5110
5.036232 71.315 88.4888
5.072727 71.347 88.4650
5.109486 71.384 88.4374
5.146511 71.427 88.4060
5.183805 71.478 88.3692
5.221369 71.534 88.3300
5.259205 71.591 88.2916
5.297316 71.652 88.2520
5.335702 71.717 88.2094
5.374367 71.783 88.1660
5.413311 71.848 88.1239
5.452538 71.913 88.0820
5.492050 71.978 88.0396
5.531847 72.044 87.9970
5.571934 72.109 87.9541
5.612310 72.174 87.9110
5.652979 72.239 87.8676
5.693943 72.305 87.8240
5.735204 72.371 87.7801
5.776763 72.436 87.7360
5.818624 72.501 87.6917
5.860788 72.566 87.6470
5.903258 72.631 87.6016
5.946035 72.697 87.5560
5.989123 72.762 87.5106
6.032523 72.827 87.4650
6.076237 72.892 87.4187
6.120268 72.958 87.3720
6.164618 73.024 87.3251
6.209289 73.089 87.2780
6.254284 73.154 87.2307
6.299605 73.219 87.1830
6.345255 73.284 87.1347
6.391235 73.350 87.0860
6.437549 73.416 87.0371
6.484198 73.481 86.9880
6.531185 73.546 86.9387
6.578513 73.611 86.8890
6.626183 73.676 86.8387
6.674199 73.742 86.7880
6.722563 73.807 86.7372
6.771278 73.872 86.6860
6.820345 73.937 86.6342
6.869768 74.003 86.5820
6.919549 74.069 86.5297
6.969691 74.134 86.4770
7.020196 74.199 86.4237
7.071068 74.264 86.3700
7.122308 74.329 86.3162
7.173919 74.395 86.2620
7.225904 74.460 86.2072
7.278266 74.525 86.1520
7.331007 74.590 86.0967
7.384131 74.656 86.0410
7.437639 74.722 85.9847
7.491535 74.787 85.9280
7.545822 74.852 85.8712
7.600502 74.917 85.8140
7.655579 74.982 85.7563
7.711054 75.048 85.6980
7.766932 75.114 85.6392
7.823214 75.179 85.5800
7.879904 75.244 85.5208
7.937005 75.309 85.4610
7.994520 75.374 85.4003
8.052452 75.440 85.3390
8.110803 75.505 85.2777
8.169578 75.570 85.2160
8.228777 75.635 85.1538
8.288406 75.701 85.0910
8.348468 75.767 85.0277
8.408964 75.832 84.9640
8.469899 75.897 84.9003
8.531276 75.962 84.8360
8.593097 76.027 84.7708
8.655366 76.093 84.7050
8.718086 76.158 84.6393
8.781260 76.223 84.5730
8.844893 76.288 84.5058
8.908987 76.354 84.4380
8.973545 76.420 84.3703
9.038571 76.485 84.3020
9.104069 76.550 84.2328
9.170040 76.615 84.1630
9.236490 76.680 84.0933
9.303422 76.746 84.0230
9.370838 76.811 83.9518
9.438744 76.876 83.8800
9.507140 76.941 83.8077
9.576033 77.007 83.7350
9.645425 77.073 83.6623
9.715320 77.138 83.5890
9.785721 77.203 83.5144
9.856632 77.268 83.4390
9.928058 77.333 83.3638
10.000000 77.399 83.2880
10.072464 77.465 83.2114
10.145453 77.530 83.1341
10.218971 77.595 83.0563
10.293022 77.660 82.9780
10.367610 77.726 82.8993
10.442738 77.791 82.8200
10.518411 77.856 82.7399
10.594631 77.921 82.6590
10.671404 77.986 82.5773
10.748734 78.052 82.4950
10.826623 78.118 82.4129
10.905077 78.183 82.3301
10.984100 78.248 82.2459
11.063695 78.313 82.1611
11.143867 78.378 82.0758
11.224621 78.444 81.9900
11.305959 78.509 81.9039
11.387886 78.574 81.8171
11.470407 78.639 81.7294
11.553527 78.705 81.6410
11.637249 78.771 81.5519
11.721577 78.836 81.4621
11.806517 78.901 81.3715
11.892071 78.966 81.2801
11.978246 79.031 81.1879
12.065045 79.097 81.0950
12.152473 79.163 81.0013
12.240536 79.228 80.9070
12.329235 79.293 80.8124
12.418578 79.358 80.7171
12.508568 79.423 80.6204
12.599211 79.489 80.5231
12.690510 79.554 80.4255
12.782471 79.619 80.3271
12.875097 79.684 80.2275
12.968395 79.750 80.1271
13.062370 79.816 80.0259
13.157025 79.881 79.9240
13.252366 79.946 79.8214
13.348398 80.011 79.7181
13.445127 80.076 79.6140
13.542556 80.142 79.5091
13.640691 80.207 79.4036
13.739536 80.272 79.2970
13.839099 80.337 79.1890
13.939383 80.403 79.0801
14.040393 80.469 78.9709
14.142136 80.534 78.8610
14.244616 80.599 78.7500
14.347837 80.664 78.6380
14.451808 80.729 78.5250
14.556532 80.795 78.4111
14.662014 80.860 78.2960
14.768262 80.925 78.1801
14.875278 80.990 78.0636
14.983070 81.056 77.9461
15.091644 81.121 77.8276
15.201005 81.187 77.7081
15.311157 81.252 77.5876
15.422109 81.317 77.4661
15.533863 81.382 77.3436
15.646428 81.448 77.2201
15.759809 81.514 77.0956
15.874010 81.579 76.9701
15.989040 81.644 76.8437
16.104904 81.709 76.7161
16.221605 81.774 76.5872
16.339155 81.840 76.4572
16.457554 81.905 76.3261
16.576813 81.970 76.1941
16.696936 82.035 76.0611
16.817928 82.101 75.9271
16.939798 82.166 75.7922
17.062551 82.232 75.6562
17.186193 82.297 75.5187
17.310732 82.362 75.3801
17.436172 82.427 75.2406
17.562521 82.493 75.1001
17.689787 82.558 74.9582
17.817974 82.623 74.8152
17.947090 82.688 74.6711
18.077143 82.754 74.5261
18.208138 82.820 74.3802
18.340080 82.885 74.2332
18.472980 82.950 74.0846
18.606844 83.015 73.9351
18.741676 83.080 73.7854
18.877487 83.146 73.6352
19.014280 83.211 73.4839
19.152065 83.277 73.3322
19.290850 83.342 73.1801
19.430639 83.408 73.0281
19.571442 83.473 72.8768
19.713264 83.539 72.7252
19.856115 83.606 72.5729
20.000000 83.674 72.4192
20.144928 83.742 72.2638
20.290907 83.811 72.1052
20.437943 83.881 71.9422
20.586044 83.952 71.7731
20.735220 84.023 71.5960
20.885475 84.095 71.4102
21.036821 84.167 71.2148
21.189262 84.239 71.0083
21.342808 84.311 70.7884
21.497467 84.382 70.5573
21.653246 84.451 70.3142
21.810154 84.517 70.0653
21.968201 84.580 69.8157
22.127390 84.641 69.5683
22.287735 84.700 69.3270
22.449242 84.757 69.0942
22.611917 84.814 68.8738
22.775772 84.870 68.6652
22.940815 84.927 68.4704
23.107054 84.985 68.2852
23.274498 85.046 68.1086
23.443153 85.109 67.9342
23.613033 85.175 67.7564
23.784142 85.244 67.5722
23.956491 85.314 67.3773
24.130091 85.385 67.1702
24.304947 85.457 66.9472
24.481071 85.529 66.7103
24.658470 85.600 66.4588
24.837156 85.669 66.1974
25.017136 85.736 65.9305
25.198421 85.803 65.6583
25.381020 85.870 65.3823
25.564941 85.936 65.1033
25.750195 86.000 64.8225
25.936790 86.065 64.5394
26.124741 86.131 64.2548
26.314051 86.197 63.9644
26.504732 86.264 63.6651
26.696796 86.331 63.3544
26.890253 86.398 63.0285
27.085112 86.465 62.6884
27.281382 86.530 62.3324
27.479073 86.592 61.9645
27.678198 86.651 61.5870
27.878765 86.708 61.2035
28.080786 86.761 60.8171
28.284271 86.812 60.4315
28.489231 86.859 60.0512
28.695675 86.904 59.6775
28.903616 86.947 59.3136
29.113064 86.990 58.9585
29.324028 87.032 58.6125
29.536524 87.074 58.2744
29.750557 87.115 57.9435
29.966141 87.156 57.6184
30.183289 87.197 57.2976
30.402010 87.238 56.9804
30.622314 87.279 56.6655
30.844217 87.320 56.3524
31.067726 87.362 56.0401
31.292856 87.403 55.7285
31.519617 87.444 55.4171
31.748020 87.484 55.1054
31.978081 87.524 54.7920
32.209808 87.564 54.4784
32.443211 87.602 54.1653
32.678310 87.639 53.8544
32.915108 87.675 53.5474
33.153625 87.711 53.2444
33.393871 87.746 52.9453
33.635857 87.781 52.6524
33.879597 87.814 52.3683
34.125103 87.848 52.0914
34.372387 87.883 51.8219
34.621464 87.919 51.5574
34.872345 87.956 51.2947
35.125042 87.993 51.0353
35.379574 88.030 50.7803
35.635948 88.068 50.5273
35.894180 88.108 50.2748
36.154285 88.150 50.0214
36.416275 88.192 49.7657
36.680161 88.235 49.5064
36.945961 88.280 49.2432
37.213688 88.327 48.9714
37.483353 88.376 48.6863
37.754974 88.425 48.3875
38.028561 88.474 48.0728
38.304131 88.522 47.7424
38.581699 88.570 47.3957
38.861279 88.618 47.0326
39.142883 88.663 46.6509
39.426529 88.706 46.2566
39.712231 88.744 45.8530
40.000000 88.779 45.4446
40.289856 88.811 45.0367
40.581814 88.841 44.6306
40.875885 88.867 44.2278
41.172089 88.891 43.8326
41.470440 88.912 43.4494
41.770950 88.931 43.0786
42.073643 88.950 42.7243
42.378525 88.969 42.3805
42.685616 88.989 42.0430
42.994934 89.010 41.7105
43.306492 89.030 41.3804
43.620308 89.050 41.0515
43.936401 89.071 40.7229
44.254780 89.093 40.3905
44.575470 89.114 40.0484
44.898483 89.133 39.7016
45.223835 89.149 39.3508
45.551544 89.162 39.0025
45.881630 89.171 38.6612
46.214108 89.178 38.3325
46.548996 89.181 38.0224
46.886307 89.183 37.7334
47.226067 89.184 37.4709
47.568283 89.186 37.2324
47.912983 89.189 37.0186
48.260181 89.194 36.8253
48.609894 89.202 36.6511
48.962143 89.213 36.4882
49.316940 89.229 36.3309
49.674313 89.250 36.1713
50.034271 89.274 35.9993
50.396843 89.301 35.8163
50.762039 89.328 35.6205
51.129883 89.356 35.4114
51.500389 89.385 35.1868
51.873581 89.414 34.9494
52.249481 89.440 34.6999
52.628101 89.465 34.4424
53.009464 89.489 34.1816
53.393593 89.513 33.9165
53.780506 89.536 33.6475
54.170223 89.558 33.3755
54.562763 89.579 33.1009
54.958145 89.598 32.8244
55.356396 89.616 32.5461
55.757530 89.633 32.2674
56.161572 89.648 31.9888
56.568542 89.662 31.7135
56.978462 89.674 31.4447
57.391350 89.684 31.1835
57.807232 89.693 30.9318
58.226128 89.702 30.6904
58.648056 89.710 30.4610
59.073048 89.718 30.2424
59.501114 89.726 30.0338
59.932281 89.735 29.8353
60.366577 89.744 29.6466
60.804020 89.753 29.4683
61.244629 89.763 29.3018
61.688435 89.775 29.1453
62.135452 89.789 28.9975
62.585712 89.805 28.8572
63.039234 89.823 28.7242
63.496040 89.843 28.5942
63.956161 89.867 28.4650
64.419617 89.894 28.3312
64.886421 89.925 28.1889
65.356621 89.959 28.0323
65.830215 89.996 27.8549
66.307251 90.035 27.6554
66.787743 90.074 27.4299
67.271713 90.113 27.1795
67.759193 90.152 26.9033
68.250206 90.189 26.6036
68.744774 90.223 26.2801
69.242928 90.254 25.9396
69.744690 90.280 25.5874
70.250084 90.303 25.2277
70.759148 90.321 24.8649
71.271896 90.336 24.5037
71.788361 90.346 24.1491
72.308571 90.353 23.8046
72.832550 90.357 23.4757
73.360321 90.360 23.1616
73.891922 90.361 22.8640
74.427376 90.362 22.5815
74.966705 90.362 22.3137
75.509949 90.362 22.0594
76.057121 90.362 21.8173
76.608261 90.362 21.5874
77.163399 90.362 21.3697
77.722557 90.362 21.1644
78.285767 90.363 20.9718
78.853058 90.364 20.7924
79.424461 90.366 20.6271
80.000000 90.370 20.4743
80.579712 90.376 20.3339
81.163628 90.384 20.2012
81.751770 90.396 20.0724
82.344177 90.411 19.9453
82.940880 90.428 19.8174
83.541901 90.448 19.6863
84.147285 90.471 19.5501
84.757050 90.496 19.4043
85.371231 90.524 19.2435
85.989868 90.554 19.0684
86.612984 90.584 18.8778
87.240616 90.614 18.6724
87.872803 90.646 18.4534
88.509560 90.679 18.2185
89.150940 90.711 17.9653
89.796967 90.743 17.6956
90.447670 90.773 17.4099
91.103088 90.803 17.1096
91.763260 90.832 16.7959
92.428215 90.859 16.4697
93.097992 90.884 16.1319
93.772614 90.908 15.7837
94.452133 90.930 15.4259
95.136566 90.949 15.0608
95.825966 90.966 14.6901
96.520363 90.980 14.3168
