* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He-x4_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:22:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He-x4_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: He-x4_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.938 26.8270
5.036232 80.947 26.8212
5.072727 80.956 26.8150
5.109486 80.967 26.8079
5.146511 80.980 26.8000
5.183805 80.995 26.7908
5.221369 81.012 26.7810
5.259205 81.029 26.7716
5.297316 81.047 26.7620
5.335702 81.067 26.7516
5.374367 81.087 26.7410
5.413311 81.107 26.7305
5.452538 81.126 26.7200
5.492050 81.146 26.7095
5.531847 81.165 26.6990
5.571934 81.185 26.6885
5.612310 81.204 26.6780
5.652979 81.223 26.6676
5.693943 81.243 26.6570
5.735204 81.262 26.6461
5.776763 81.282 26.6350
5.818624 81.301 26.6240
5.860788 81.321 26.6130
5.903258 81.341 26.6020
5.946035 81.361 26.5910
5.989123 81.381 26.5801
6.032523 81.400 26.5690
6.076237 81.420 26.5576
6.120268 81.439 26.5460
6.164618 81.458 26.5345
6.209289 81.478 26.5230
6.254284 81.497 26.5116
6.299605 81.517 26.5000
6.345255 81.536 26.4881
6.391235 81.556 26.4760
6.437549 81.575 26.4640
6.484198 81.595 26.4520
6.531185 81.615 26.4401
6.578513 81.635 26.4280
6.626183 81.655 26.4156
6.674199 81.674 26.4030
6.722563 81.693 26.3905
6.771278 81.713 26.3780
6.820345 81.732 26.3656
6.869768 81.752 26.3530
6.919549 81.771 26.3401
6.969691 81.791 26.3270
7.020196 81.810 26.3140
7.071068 81.830 26.3010
7.122308 81.849 26.2881
7.173919 81.869 26.2750
7.225904 81.889 26.2616
7.278266 81.909 26.2480
7.331007 81.929 26.2340
7.384131 81.948 26.2200
7.437639 81.967 26.2065
7.491535 81.987 26.1930
7.545822 82.006 26.1791
7.600502 82.026 26.1650
7.655579 82.045 26.1506
7.711054 82.065 26.1360
7.766932 82.084 26.1215
7.823214 82.104 26.1070
7.879904 82.123 26.0926
7.937005 82.143 26.0780
7.994520 82.163 26.0631
8.052452 82.183 26.0480
8.110803 82.203 26.0331
8.169578 82.222 26.0180
8.228777 82.241 26.0026
8.288406 82.261 25.9870
8.348468 82.280 25.9716
8.408964 82.300 25.9560
8.469899 82.319 25.9401
8.531276 82.339 25.9240
8.593097 82.358 25.9080
8.655366 82.378 25.8920
8.718086 82.397 25.8761
8.781260 82.417 25.8600
8.844893 82.437 25.8431
8.908987 82.457 25.8260
8.973545 82.477 25.8095
9.038571 82.496 25.7930
9.104069 82.515 25.7761
9.170040 82.535 25.7590
9.236490 82.554 25.7416
9.303422 82.574 25.7240
9.370838 82.593 25.7066
9.438744 82.613 25.6890
9.507140 82.632 25.6711
9.576033 82.652 25.6530
9.645425 82.671 25.6345
9.715320 82.691 25.6160
9.785721 82.711 25.5981
9.856632 82.731 25.5800
9.928058 82.751 25.5611
10.000000 82.770 25.5420
10.072464 82.789 25.5231
10.145453 82.809 25.5040
10.218971 82.828 25.4846
10.293022 82.848 25.4650
10.367610 82.868 25.4456
10.442738 82.887 25.4260
10.518411 82.907 25.4056
10.594631 82.926 25.3850
10.671404 82.945 25.3651
10.748734 82.965 25.3450
10.826623 82.985 25.3241
10.905077 83.005 25.3030
10.984100 83.025 25.2821
11.063695 83.044 25.2610
11.143867 83.063 25.2396
11.224621 83.083 25.2180
11.305959 83.102 25.1966
11.387886 83.122 25.1750
11.470407 83.141 25.1531
11.553527 83.161 25.1310
11.637249 83.180 25.1086
11.721577 83.200 25.0860
11.806517 83.219 25.0631
11.892071 83.239 25.0400
11.978246 83.259 25.0166
12.065045 83.279 24.9930
12.152473 83.299 24.9696
12.240536 83.318 24.9460
12.329235 83.337 24.9216
12.418578 83.357 24.8970
12.508568 83.376 24.8726
12.599211 83.396 24.8480
12.690510 83.415 24.8231
12.782471 83.435 24.7980
12.875097 83.454 24.7726
12.968395 83.474 24.7470
13.062370 83.493 24.7211
13.157025 83.513 24.6950
13.252366 83.533 24.6686
13.348398 83.553 24.6420
13.445127 83.573 24.6152
13.542556 83.592 24.5880
13.640691 83.611 24.5606
13.739536 83.631 24.5330
13.839099 83.650 24.5051
13.939383 83.670 24.4770
14.040393 83.689 24.4486
14.142136 83.709 24.4200
14.244616 83.728 24.3912
14.347837 83.748 24.3620
14.451808 83.767 24.3322
14.556532 83.787 24.3020
14.662014 83.807 24.2716
14.768262 83.827 24.2410
14.875278 83.847 24.2102
14.983070 83.866 24.1790
15.091644 83.885 24.1472
15.201005 83.905 24.1150
15.311157 83.924 24.0827
15.422109 83.944 24.0500
15.533863 83.963 24.0167
15.646428 83.983 23.9830
15.759809 84.002 23.9492
15.874010 84.022 23.9150
15.989040 84.041 23.8803
16.104904 84.061 23.8450
16.221605 84.081 23.8094
16.339155 84.101 23.7730
16.457554 84.121 23.7358
16.576813 84.140 23.6980
16.696936 84.159 23.6602
16.817928 84.179 23.6220
16.939798 84.198 23.5834
17.062551 84.218 23.5441
17.186193 84.237 23.5034
17.310732 84.257 23.4620
17.436172 84.276 23.4203
17.562521 84.296 23.3780
17.689787 84.315 23.3350
17.817974 84.335 23.2910
17.947090 84.355 23.2456
18.077143 84.375 23.1990
18.208138 84.395 23.1516
18.340080 84.414 23.1031
18.472980 84.433 23.0534
18.606844 84.453 23.0020
18.741676 84.472 22.9488
18.877487 84.492 22.8931
19.014280 84.512 22.8343
19.152065 84.531 22.7721
19.290850 84.550 22.7061
19.430639 84.569 22.6360
19.571442 84.587 22.5611
19.713264 84.605 22.4821
19.856115 84.621 22.3987
20.000000 84.636 22.3141
20.144928 84.648 22.2301
20.290907 84.659 22.1501
20.437943 84.668 22.0767
20.586044 84.675 22.0130
20.735220 84.680 21.9624
20.885475 84.685 21.9270
21.036821 84.689 21.9111
21.189262 84.694 21.9130
21.342808 84.700 21.9343
21.497467 84.709 21.9690
21.653246 84.722 22.0131
21.810154 84.739 22.0619
21.968201 84.758 22.1118
22.127390 84.781 22.1560
22.287735 84.809 22.1881
22.449242 84.839 22.2040
22.611917 84.871 22.1961
22.775772 84.903 22.1680
22.940815 84.934 22.1204
23.107054 84.964 22.0551
23.274498 84.993 21.9728
23.443153 85.020 21.8771
23.613033 85.043 21.7693
23.784142 85.064 21.6571
23.956491 85.081 21.5482
24.130091 85.096 21.4441
24.304947 85.110 21.3489
24.481071 85.122 21.2621
24.658470 85.133 21.1849
24.837156 85.144 21.1161
25.017136 85.155 21.0558
25.198421 85.167 21.0021
25.381020 85.179 20.9532
25.564941 85.192 20.9080
25.750195 85.206 20.8653
25.936790 85.220 20.8231
26.124741 85.235 20.7785
26.314051 85.251 20.7331
26.504732 85.266 20.6867
26.696796 85.280 20.6411
26.890253 85.294 20.5972
27.085112 85.308 20.5560
27.281382 85.322 20.5194
27.479073 85.336 20.4850
27.678198 85.353 20.4520
27.878765 85.370 20.4180
28.080786 85.387 20.3804
28.284271 85.405 20.3391
28.489231 85.424 20.2941
28.695675 85.443 20.2431
28.903616 85.463 20.1835
29.113064 85.483 20.1151
29.324028 85.502 20.0349
29.536524 85.519 19.9481
29.750557 85.533 19.8584
29.966141 85.545 19.7681
30.183289 85.556 19.6794
30.402010 85.565 19.5961
30.622314 85.571 19.5218
30.844217 85.576 19.4591
31.067726 85.580 19.4119
31.292856 85.584 19.3790
31.519617 85.589 19.3620
31.748020 85.595 19.3570
31.978081 85.603 19.3615
32.209808 85.612 19.3730
32.443211 85.623 19.3882
32.678310 85.636 19.4070
32.915108 85.650 19.4288
33.153625 85.665 19.4520
33.393871 85.683 19.4748
33.635857 85.702 19.4970
33.879597 85.722 19.5177
34.125103 85.743 19.5370
34.372387 85.766 19.5562
34.621464 85.792 19.5700
34.872345 85.820 19.5744
35.125042 85.851 19.5660
35.379574 85.883 19.5404
35.635948 85.916 19.4971
35.894180 85.950 19.4343
36.154285 85.983 19.3521
36.416275 86.015 19.2479
36.680161 86.045 19.1272
36.945961 86.071 18.9933
37.213688 86.095 18.8512
37.483353 86.116 18.7061
37.754974 86.134 18.5602
38.028561 86.149 18.4168
38.304131 86.163 18.2782
38.581699 86.175 18.1483
38.861279 86.186 18.0262
39.142883 86.197 17.9128
39.426529 86.207 17.8061
39.712231 86.217 17.7050
40.000000 86.227 17.6081
40.289856 86.238 17.5144
40.581814 86.250 17.4221
40.875885 86.261 17.3296
41.172089 86.273 17.2361
41.470440 86.285 17.1408
41.770950 86.296 17.0432
42.073643 86.307 16.9423
42.378525 86.318 16.8391
42.685616 86.327 16.7335
42.994934 86.335 16.6272
43.306492 86.342 16.5211
43.620308 86.348 16.4172
43.936401 86.353 16.3172
44.254780 86.356 16.2221
44.575470 86.358 16.1336
44.898483 86.360 16.0521
45.223835 86.361 15.9786
45.551544 86.361 15.9131
45.881630 86.362 15.8560
46.214108 86.362 15.8071
46.548996 86.362 15.7664
46.886307 86.362 15.7340
47.226067 86.362 15.7099
47.568283 86.362 15.6950
47.912983 86.362 15.6903
48.260181 86.362 15.6960
48.609894 86.363 15.7123
48.962143 86.366 15.7400
49.316940 86.370 15.7806
49.674313 86.375 15.8309
50.034271 86.383 15.8889
50.396843 86.394 15.9519
50.762039 86.407 16.0171
51.129883 86.423 16.0829
51.500389 86.442 16.1486
51.873581 86.464 16.2079
52.249481 86.490 16.2545
52.628101 86.519 16.2880
53.009464 86.547 16.3057
53.393593 86.577 16.3080
53.780506 86.608 16.2945
54.170223 86.640 16.2641
54.562763 86.672 16.2128
54.958145 86.702 16.1481
55.356396 86.728 16.0756
55.757530 86.753 15.9971
56.161572 86.778 15.9169
56.568542 86.803 15.8341
56.978462 86.826 15.7487
57.391350 86.849 15.6632
57.807232 86.871 15.5812
58.226128 86.894 15.4991
58.648056 86.919 15.4153
59.073048 86.944 15.3272
59.501114 86.970 15.2319
59.932281 86.996 15.1282
60.366577 87.023 15.0150
60.804020 87.051 14.8892
61.244629 87.079 14.7473
61.688435 87.107 14.5903
62.135452 87.133 14.4173
62.585712 87.157 14.2313
63.039234 87.179 14.0343
63.496040 87.198 13.8284
63.956161 87.214 13.6150
64.419617 87.228 13.3984
64.886421 87.238 13.1818
65.356621 87.246 12.9694
65.830215 87.250 12.7666
66.307251 87.252 12.5734
66.787743 87.253 12.3918
67.271713 87.254 12.2203
67.759193 87.254 12.0586
68.250206 87.254 11.9053
68.744774 87.254 11.7592
69.242928 87.254 11.6193
69.744690 87.254 11.4840
70.250084 87.254 11.3532
70.759148 87.254 11.2265
71.271896 87.254 11.1032
71.788361 87.254 10.9828
72.308571 87.254 10.8652
72.832550 87.254 10.7505
73.360321 87.254 10.6382
73.891922 87.254 10.5277
74.427376 87.254 10.4192
74.966705 87.254 10.3129
75.509949 87.254 10.2082
76.057121 87.254 10.1046
76.608261 87.254 10.0022
77.163399 87.254 9.9011
77.722557 87.254 9.8012
78.285767 87.254 9.7024
78.853058 87.254 9.6042
79.424461 87.254 9.5062
80.000000 87.254 9.4082
80.579712 87.254 9.3099
81.163628 87.254 9.2112
81.751770 87.254 9.1123
82.344177 87.254 9.0122
82.940880 87.254 8.9098
83.541901 87.253 8.8062
84.147285 87.251 8.7018
84.757050 87.249 8.5972
85.371231 87.246 8.4931
85.989868 87.242 8.3902
86.612984 87.237 8.2892
87.240616 87.231 8.1912
87.872803 87.225 8.0973
88.509560 87.218 8.0082
89.150940 87.210 7.9248
89.796967 87.202 7.8472
90.447670 87.194 7.7758
91.103088 87.186 7.7101
91.763260 87.178 7.6499
92.428215 87.171 7.5941
93.097992 87.164 7.5419
93.772614 87.157 7.4931
94.452133 87.150 7.4473
95.136566 87.144 7.4041
95.825966 87.137 7.3627
96.520363 87.131 7.3231
97.219788 87.125 7.2849
