* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_HE1000_V2_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:26:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HiFiMAN_HE1000_V2_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HiFiMAN_HE1000_V2_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.841 12.7510
5.036232 90.845 12.7476
5.072727 90.850 12.7440
5.109486 90.855 12.7397
5.146511 90.861 12.7350
5.183805 90.869 12.7297
5.221369 90.877 12.7240
5.259205 90.885 12.7181
5.297316 90.894 12.7120
5.335702 90.903 12.7056
5.374367 90.913 12.6990
5.413311 90.923 12.6924
5.452538 90.932 12.6860
5.492050 90.941 12.6800
5.531847 90.950 12.6740
5.571934 90.959 12.6676
5.612310 90.969 12.6610
5.652979 90.979 12.6546
5.693943 90.988 12.6480
5.735204 90.997 12.6410
5.776763 91.007 12.6340
5.818624 91.017 12.6275
5.860788 91.026 12.6210
5.903258 91.035 12.6140
5.946035 91.045 12.6070
5.989123 91.055 12.6005
6.032523 91.064 12.5940
6.076237 91.073 12.5871
6.120268 91.082 12.5800
6.164618 91.091 12.5725
6.209289 91.101 12.5650
6.254284 91.110 12.5579
6.299605 91.120 12.5510
6.345255 91.130 12.5441
6.391235 91.139 12.5370
6.437549 91.148 12.5296
6.484198 91.158 12.5220
6.531185 91.167 12.5145
6.578513 91.177 12.5070
6.626183 91.187 12.4996
6.674199 91.196 12.4920
6.722563 91.206 12.4840
6.771278 91.215 12.4760
6.820345 91.224 12.4685
6.869768 91.233 12.4610
6.919549 91.242 12.4531
6.969691 91.252 12.4450
7.020196 91.261 12.4371
7.071068 91.271 12.4290
7.122308 91.281 12.4205
7.173919 91.290 12.4120
7.225904 91.299 12.4040
7.278266 91.309 12.3960
7.331007 91.318 12.3876
7.384131 91.328 12.3790
7.437639 91.338 12.3705
7.491535 91.347 12.3620
7.545822 91.356 12.3536
7.600502 91.365 12.3450
7.655579 91.374 12.3360
7.711054 91.384 12.3270
7.766932 91.394 12.3186
7.823214 91.403 12.3100
7.879904 91.412 12.3006
7.937005 91.422 12.2910
7.994520 91.431 12.2819
8.052452 91.441 12.2730
8.110803 91.451 12.2641
8.169578 91.460 12.2550
8.228777 91.469 12.2456
8.288406 91.479 12.2360
8.348468 91.489 12.2266
8.408964 91.498 12.2170
8.469899 91.507 12.2070
8.531276 91.516 12.1970
8.593097 91.525 12.1875
8.655366 91.535 12.1780
8.718086 91.545 12.1681
8.781260 91.554 12.1580
8.844893 91.563 12.1475
8.908987 91.573 12.1370
8.973545 91.582 12.1270
9.038571 91.592 12.1170
9.104069 91.602 12.1066
9.170040 91.611 12.0960
9.236490 91.621 12.0856
9.303422 91.630 12.0750
9.370838 91.639 12.0641
9.438744 91.648 12.0530
9.507140 91.657 12.0420
9.576033 91.667 12.0310
9.645425 91.676 12.0200
9.715320 91.686 12.0090
9.785721 91.695 11.9981
9.856632 91.705 11.9870
9.928058 91.715 11.9756
10.000000 91.724 11.9640
10.072464 91.733 11.9526
10.145453 91.743 11.9410
10.218971 91.752 11.9291
10.293022 91.762 11.9170
10.367610 91.772 11.9050
10.442738 91.781 11.8930
10.518411 91.790 11.8811
10.594631 91.799 11.8690
10.671404 91.808 11.8566
10.748734 91.818 11.8440
10.826623 91.827 11.8315
10.905077 91.837 11.8190
10.984100 91.846 11.8066
11.063695 91.856 11.7940
11.143867 91.866 11.7811
11.224621 91.875 11.7680
11.305959 91.884 11.7550
11.387886 91.894 11.7420
11.470407 91.904 11.7291
11.553527 91.913 11.7160
11.637249 91.922 11.7026
11.721577 91.931 11.6890
11.806517 91.940 11.6751
11.892071 91.950 11.6610
11.978246 91.959 11.6470
12.065045 91.969 11.6330
12.152473 91.979 11.6190
12.240536 91.988 11.6050
12.329235 91.997 11.5911
12.418578 92.007 11.5770
12.508568 92.016 11.5621
12.599211 92.026 11.5470
12.690510 92.035 11.5325
12.782471 92.045 11.5180
12.875097 92.055 11.5031
12.968395 92.064 11.4880
13.062370 92.073 11.4725
13.157025 92.082 11.4570
13.252366 92.091 11.4421
13.348398 92.101 11.4270
13.445127 92.110 11.4111
13.542556 92.120 11.3950
13.640691 92.129 11.3790
13.739536 92.139 11.3630
13.839099 92.148 11.3471
13.939383 92.158 11.3310
14.040393 92.167 11.3146
14.142136 92.177 11.2980
14.244616 92.187 11.2816
14.347837 92.196 11.2650
14.451808 92.205 11.2481
14.556532 92.214 11.2310
14.662014 92.223 11.2141
14.768262 92.233 11.1970
14.875278 92.242 11.1796
14.983070 92.252 11.1620
15.091644 92.261 11.1441
15.201005 92.271 11.1260
15.311157 92.280 11.1080
15.422109 92.290 11.0900
15.533863 92.299 11.0721
15.646428 92.309 11.0540
15.759809 92.318 11.0356
15.874010 92.328 11.0170
15.989040 92.338 10.9981
16.104904 92.347 10.9790
16.221605 92.356 10.9600
16.339155 92.365 10.9410
16.457554 92.374 10.9221
16.576813 92.384 10.9030
16.696936 92.393 10.8836
16.817928 92.403 10.8640
16.939798 92.412 10.8445
17.062551 92.422 10.8250
17.186193 92.431 10.8055
17.310732 92.441 10.7860
17.436172 92.450 10.7665
17.562521 92.460 10.7470
17.689787 92.470 10.7275
17.817974 92.479 10.7080
17.947090 92.488 10.6885
18.077143 92.497 10.6690
18.208138 92.506 10.6494
18.340080 92.516 10.6300
18.472980 92.525 10.6112
18.606844 92.535 10.5930
18.741676 92.544 10.5756
18.877487 92.554 10.5590
19.014280 92.563 10.5435
19.152065 92.573 10.5290
19.290850 92.583 10.5158
19.430639 92.593 10.5040
19.571442 92.603 10.4947
19.713264 92.614 10.4860
19.856115 92.626 10.4769
20.000000 92.639 10.4660
20.144928 92.653 10.4515
20.290907 92.667 10.4330
20.437943 92.682 10.4103
20.586044 92.697 10.3820
20.735220 92.713 10.3460
20.885475 92.728 10.3041
21.036821 92.742 10.2568
21.189262 92.755 10.2061
21.342808 92.768 10.1544
21.497467 92.780 10.1001
21.653246 92.793 10.0413
21.810154 92.805 9.9811
21.968201 92.815 9.9226
22.127390 92.825 9.8641
22.287735 92.837 9.8060
22.449242 92.849 9.7450
22.611917 92.860 9.6767
22.775772 92.871 9.6051
22.940815 92.879 9.5327
23.107054 92.887 9.4601
23.274498 92.894 9.3888
23.443153 92.901 9.3191
23.613033 92.907 9.2506
23.784142 92.912 9.1861
23.956491 92.915 9.1287
24.130091 92.919 9.0771
24.304947 92.924 9.0317
24.481071 92.930 8.9891
24.658470 92.936 8.9455
24.837156 92.942 8.9021
25.017136 92.948 8.8588
25.198421 92.955 8.8150
25.381020 92.963 8.7700
25.564941 92.970 8.7240
25.750195 92.976 8.6769
25.936790 92.982 8.6301
26.124741 92.988 8.5854
26.314051 92.995 8.5411
26.504732 93.002 8.4954
26.696796 93.009 8.4491
26.890253 93.015 8.4023
27.085112 93.022 8.3551
27.281382 93.029 8.3075
27.479073 93.036 8.2591
27.678198 93.043 8.2087
27.878765 93.049 8.1581
28.080786 93.055 8.1092
28.284271 93.062 8.0601
28.489231 93.069 8.0094
28.695675 93.076 7.9571
28.903616 93.083 7.9025
29.113064 93.089 7.8461
29.324028 93.095 7.7883
29.536524 93.101 7.7291
29.750557 93.107 7.6677
29.966141 93.112 7.6071
30.183289 93.116 7.5504
30.402010 93.119 7.4961
30.622314 93.124 7.4447
30.844217 93.130 7.3931
31.067726 93.136 7.3383
31.292856 93.143 7.2801
31.519617 93.150 7.2173
31.748020 93.156 7.1491
31.978081 93.162 7.0742
32.209808 93.168 6.9931
32.443211 93.172 6.9049
32.678310 93.175 6.8131
32.915108 93.175 6.7201
33.153625 93.174 6.6291
33.393871 93.171 6.5439
33.635857 93.167 6.4661
33.879597 93.161 6.3987
34.125103 93.154 6.3411
34.372387 93.147 6.2939
34.621464 93.141 6.2561
34.872345 93.135 6.2270
35.125042 93.129 6.2060
35.379574 93.124 6.1931
35.635948 93.120 6.1850
35.894180 93.118 6.1786
36.154285 93.117 6.1730
36.416275 93.116 6.1662
36.680161 93.116 6.1590
36.945961 93.116 6.1516
37.213688 93.116 6.1440
37.483353 93.116 6.1358
37.754974 93.116 6.1280
38.028561 93.116 6.1214
38.304131 93.116 6.1160
38.581699 93.116 6.1116
38.861279 93.116 6.1090
39.142883 93.116 6.1086
39.426529 93.116 6.1110
39.712231 93.116 6.1167
40.000000 93.116 6.1260
40.289856 93.116 6.1391
40.581814 93.117 6.1560
40.875885 93.118 6.1770
41.172089 93.121 6.2010
41.470440 93.125 6.2275
41.770950 93.130 6.2540
42.073643 93.136 6.2770
42.378525 93.142 6.2980
42.685616 93.149 6.3173
42.994934 93.157 6.3350
43.306492 93.165 6.3515
43.620308 93.173 6.3660
43.936401 93.183 6.3777
44.254780 93.193 6.3870
44.575470 93.203 6.3942
44.898483 93.213 6.3990
45.223835 93.225 6.4019
45.551544 93.238 6.4000
45.881630 93.252 6.3909
46.214108 93.267 6.3730
46.548996 93.282 6.3439
46.886307 93.297 6.3041
47.226067 93.312 6.2530
47.568283 93.326 6.1921
47.912983 93.338 6.1219
48.260181 93.349 6.0451
48.609894 93.358 5.9643
48.962143 93.366 5.8811
49.316940 93.372 5.7979
49.674313 93.377 5.7161
50.034271 93.380 5.6375
50.396843 93.381 5.5631
50.762039 93.382 5.4950
51.129883 93.383 5.4321
51.500389 93.383 5.3738
51.873581 93.383 5.3201
52.249481 93.383 5.2711
52.628101 93.383 5.2261
53.009464 93.383 5.1841
53.393593 93.383 5.1451
53.780506 93.383 5.1083
54.170223 93.383 5.0741
54.562763 93.383 5.0423
54.958145 93.383 5.0130
55.356396 93.383 4.9862
55.757530 93.383 4.9620
56.161572 93.383 4.9407
56.568542 93.383 4.9220
56.978462 93.383 4.9058
57.391350 93.383 4.8930
57.807232 93.383 4.8848
58.226128 93.383 4.8810
58.648056 93.383 4.8817
59.073048 93.384 4.8880
59.501114 93.385 4.9013
59.932281 93.387 4.9200
60.366577 93.391 4.9435
60.804020 93.396 4.9700
61.244629 93.403 4.9983
61.688435 93.412 5.0260
62.135452 93.423 5.0512
62.585712 93.436 5.0710
63.039234 93.451 5.0821
63.496040 93.467 5.0830
63.956161 93.485 5.0720
64.419617 93.504 5.0471
64.886421 93.523 5.0057
65.356621 93.543 4.9481
65.830215 93.562 4.8724
66.307251 93.580 4.7822
66.787743 93.595 4.6796
67.271713 93.609 4.5672
67.759193 93.621 4.4475
68.250206 93.631 4.3222
68.744774 93.638 4.1931
69.242928 93.643 4.0632
69.744690 93.646 3.9364
70.250084 93.648 3.8122
70.759148 93.649 3.6921
71.271896 93.648 3.5752
71.788361 93.647 3.4608
72.308571 93.645 3.3502
72.832550 93.641 3.2438
73.360321 93.636 3.1432
73.891922 93.630 3.0507
74.427376 93.623 2.9652
74.966705 93.617 2.8861
75.509949 93.610 2.8131
76.057121 93.603 2.7459
76.608261 93.596 2.6841
77.163399 93.589 2.6277
77.722557 93.583 2.5751
78.285767 93.577 2.5239
78.853058 93.570 2.4761
79.424461 93.563 2.4332
80.000000 93.556 2.3951
80.579712 93.549 2.3621
81.163628 93.543 2.3340
81.751770 93.537 2.3110
82.344177 93.531 2.2930
82.940880 93.526 2.2811
83.541901 93.522 2.2720
84.147285 93.520 2.2631
84.757050 93.518 2.2530
85.371231 93.517 2.2393
85.989868 93.516 2.2230
86.612984 93.516 2.2044
87.240616 93.516 2.1830
87.872803 93.516 2.1587
88.509560 93.516 2.1321
89.150940 93.516 2.1039
89.796967 93.516 2.0741
90.447670 93.516 2.0426
91.103088 93.516 2.0091
91.763260 93.516 1.9728
92.428215 93.516 1.9341
93.097992 93.516 1.8929
93.772614 93.515 1.8491
94.452133 93.514 1.8015
95.136566 93.511 1.7531
95.825966 93.507 1.7055
