* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HE400se_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 5:02:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HE400se_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HE400se_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 77.151 57.5700
5.036232 77.170 57.5556
5.072727 77.191 57.5400
5.109486 77.215 57.5213
5.146511 77.243 57.5000
5.183805 77.276 57.4753
5.221369 77.312 57.4490
5.259205 77.349 57.4234
5.297316 77.389 57.3970
5.335702 77.431 57.3688
5.374367 77.474 57.3400
5.413311 77.517 57.3114
5.452538 77.560 57.2830
5.492050 77.603 57.2551
5.531847 77.645 57.2270
5.571934 77.687 57.1981
5.612310 77.730 57.1690
5.652979 77.772 57.1401
5.693943 77.815 57.1110
5.735204 77.857 57.0816
5.776763 77.900 57.0520
5.818624 77.942 57.0221
5.860788 77.985 56.9920
5.903258 78.027 56.9616
5.946035 78.070 56.9310
5.989123 78.112 56.9006
6.032523 78.155 56.8700
6.076237 78.197 56.8391
6.120268 78.240 56.8080
6.164618 78.282 56.7766
6.209289 78.325 56.7450
6.254284 78.368 56.7131
6.299605 78.411 56.6810
6.345255 78.454 56.6486
6.391235 78.496 56.6160
6.437549 78.538 56.5831
6.484198 78.581 56.5500
6.531185 78.623 56.5166
6.578513 78.666 56.4830
6.626183 78.708 56.4496
6.674199 78.751 56.4160
6.722563 78.793 56.3816
6.771278 78.836 56.3470
6.820345 78.878 56.3126
6.869768 78.921 56.2780
6.919549 78.963 56.2426
6.969691 79.006 56.2070
7.020196 79.048 56.1716
7.071068 79.091 56.1360
7.122308 79.133 56.0997
7.173919 79.176 56.0630
7.225904 79.218 56.0261
7.278266 79.261 55.9890
7.331007 79.304 55.9521
7.384131 79.347 55.9150
7.437639 79.390 55.8772
7.491535 79.432 55.8390
7.545822 79.474 55.8006
7.600502 79.517 55.7620
7.655579 79.559 55.7231
7.711054 79.602 55.6840
7.766932 79.644 55.6447
7.823214 79.687 55.6050
7.879904 79.729 55.5646
7.937005 79.772 55.5240
7.994520 79.814 55.4836
8.052452 79.857 55.4430
8.110803 79.899 55.4017
8.169578 79.942 55.3600
8.228777 79.984 55.3181
8.288406 80.027 55.2760
8.348468 80.069 55.2337
8.408964 80.112 55.1910
8.469899 80.155 55.1477
8.531276 80.198 55.1040
8.593097 80.241 55.0601
8.655366 80.283 55.0160
8.718086 80.325 54.9717
8.781260 80.368 54.9270
8.844893 80.410 54.8816
8.908987 80.453 54.8360
8.973545 80.495 54.7907
9.038571 80.538 54.7450
9.104069 80.580 54.6982
9.170040 80.623 54.6510
9.236490 80.665 54.6042
9.303422 80.708 54.5570
9.370838 80.750 54.5087
9.438744 80.793 54.4600
9.507140 80.835 54.4116
9.576033 80.878 54.3630
9.645425 80.920 54.3138
9.715320 80.963 54.2640
9.785721 81.005 54.2137
9.856632 81.048 54.1630
9.928058 81.091 54.1122
10.000000 81.134 54.0610
10.072464 81.177 54.0092
10.145453 81.219 53.9571
10.218971 81.261 53.9047
10.293022 81.304 53.8520
10.367610 81.346 53.7988
10.442738 81.389 53.7450
10.518411 81.431 53.6907
10.594631 81.474 53.6360
10.671404 81.516 53.5812
10.748734 81.559 53.5260
10.826623 81.601 53.4703
10.905077 81.644 53.4140
10.984100 81.686 53.3573
11.063695 81.729 53.3000
11.143867 81.771 53.2422
11.224621 81.814 53.1840
11.305959 81.856 53.1258
11.387886 81.899 53.0670
11.470407 81.942 53.0073
11.553527 81.985 52.9470
11.637249 82.028 52.8867
11.721577 82.070 52.8261
11.806517 82.112 52.7648
11.892071 82.155 52.7031
11.978246 82.197 52.6408
12.065045 82.240 52.5780
12.152473 82.282 52.5148
12.240536 82.325 52.4510
12.329235 82.367 52.3863
12.418578 82.410 52.3211
12.508568 82.452 52.2557
12.599211 82.495 52.1900
12.690510 82.537 52.1239
12.782471 82.580 52.0571
12.875097 82.622 51.9894
12.968395 82.665 51.9211
13.062370 82.707 51.8523
13.157025 82.750 51.7830
13.252366 82.792 51.7133
13.348398 82.835 51.6431
13.445127 82.878 51.5724
13.542556 82.921 51.5011
13.640691 82.964 51.4289
13.739536 83.006 51.3560
13.839099 83.048 51.2828
13.939383 83.091 51.2091
14.040393 83.133 51.1349
14.142136 83.176 51.0600
14.244616 83.218 50.9844
14.347837 83.261 50.9080
14.451808 83.303 50.8308
14.556532 83.346 50.7530
14.662014 83.388 50.6749
14.768262 83.431 50.5961
14.875278 83.473 50.5165
14.983070 83.516 50.4361
15.091644 83.558 50.3549
15.201005 83.601 50.2731
15.311157 83.643 50.1909
15.422109 83.686 50.1081
15.533863 83.728 50.0239
15.646428 83.771 49.9390
15.759809 83.814 49.8539
15.874010 83.857 49.7681
15.989040 83.900 49.6814
16.104904 83.942 49.5941
16.221605 83.984 49.5059
16.339155 84.027 49.4171
16.457554 84.069 49.3280
16.576813 84.112 49.2381
16.696936 84.154 49.1470
16.817928 84.197 49.0551
16.939798 84.239 48.9624
17.062551 84.282 48.8691
17.186193 84.324 48.7754
17.310732 84.367 48.6811
17.436172 84.409 48.5859
17.562521 84.452 48.4901
17.689787 84.494 48.3934
17.817974 84.537 48.2961
17.947090 84.579 48.1983
18.077143 84.622 48.1001
18.208138 84.665 48.0012
18.340080 84.708 47.9021
18.472980 84.751 47.8031
18.606844 84.793 47.7041
18.741676 84.835 47.6044
18.877487 84.878 47.5051
19.014280 84.920 47.4070
19.152065 84.963 47.3101
19.290850 85.006 47.2148
19.430639 85.049 47.1211
19.571442 85.093 47.0300
19.713264 85.138 46.9391
19.856115 85.184 46.8471
20.000000 85.232 46.7521
20.144928 85.281 46.6522
20.290907 85.331 46.5461
20.437943 85.381 46.4317
20.586044 85.432 46.3091
20.735220 85.483 46.1777
20.885475 85.535 46.0372
21.036821 85.587 45.8868
21.189262 85.639 45.7262
21.342808 85.690 45.5536
21.497467 85.741 45.3722
21.653246 85.789 45.1849
21.810154 85.837 44.9913
21.968201 85.885 44.7926
22.127390 85.932 44.5872
22.287735 85.979 44.3732
22.449242 86.024 44.1532
22.611917 86.067 43.9284
22.775772 86.108 43.7013
22.940815 86.148 43.4749
23.107054 86.187 43.2483
23.274498 86.225 43.0214
23.443153 86.263 42.7943
23.613033 86.299 42.5666
23.784142 86.335 42.3392
23.956491 86.370 42.1131
24.130091 86.404 41.8883
24.304947 86.437 41.6650
24.481071 86.469 41.4433
24.658470 86.501 41.2234
24.837156 86.532 41.0053
25.017136 86.562 40.7888
25.198421 86.592 40.5752
25.381020 86.621 40.3666
25.564941 86.650 40.1612
25.750195 86.680 39.9589
25.936790 86.710 39.7572
26.124741 86.740 39.5541
26.314051 86.771 39.3483
26.504732 86.802 39.1374
26.696796 86.832 38.9223
26.890253 86.861 38.7024
27.085112 86.890 38.4793
27.281382 86.917 38.2533
27.479073 86.943 38.0263
27.678198 86.968 37.7994
27.878765 86.991 37.5743
28.080786 87.012 37.3524
28.284271 87.032 37.1363
28.489231 87.051 36.9291
28.695675 87.070 36.7303
28.903616 87.089 36.5410
29.113064 87.108 36.3583
29.324028 87.128 36.1799
29.536524 87.148 36.0052
29.750557 87.169 35.8329
29.966141 87.190 35.6622
30.183289 87.212 35.4936
30.402010 87.235 35.3222
30.622314 87.260 35.1428
30.844217 87.284 34.9572
31.067726 87.306 34.7644
31.292856 87.328 34.5673
31.519617 87.349 34.3688
31.748020 87.369 34.1682
31.978081 87.387 33.9643
32.209808 87.404 33.7613
32.443211 87.418 33.5622
32.678310 87.430 33.3702
32.915108 87.441 33.1901
33.153625 87.451 33.0202
33.393871 87.461 32.8606
33.635857 87.471 32.7112
33.879597 87.480 32.5718
34.125103 87.490 32.4432
34.372387 87.500 32.3270
34.621464 87.512 32.2202
34.872345 87.525 32.1211
35.125042 87.540 32.0271
35.379574 87.556 31.9347
35.635948 87.574 31.8441
35.894180 87.591 31.7541
36.154285 87.610 31.6651
36.416275 87.630 31.5789
36.680161 87.652 31.4911
36.945961 87.676 31.3982
37.213688 87.700 31.3001
37.483353 87.724 31.1955
37.754974 87.749 31.0852
38.028561 87.774 30.9699
38.304131 87.800 30.8482
38.581699 87.826 30.7181
38.861279 87.851 30.5822
39.142883 87.874 30.4416
39.426529 87.896 30.2992
39.712231 87.918 30.1588
40.000000 87.940 30.0182
40.289856 87.962 29.8760
40.581814 87.983 29.7342
40.875885 88.003 29.5941
41.172089 88.022 29.4562
41.470440 88.042 29.3218
41.770950 88.062 29.1892
42.073643 88.082 29.0565
42.378525 88.101 28.9252
42.685616 88.120 28.7959
42.994934 88.139 28.6702
43.306492 88.157 28.5500
43.620308 88.176 28.4352
43.936401 88.195 28.3266
44.254780 88.216 28.2222
44.575470 88.238 28.1212
44.898483 88.261 28.0202
45.223835 88.287 27.9160
45.551544 88.314 27.8072
45.881630 88.341 27.6914
46.214108 88.370 27.5672
46.548996 88.400 27.4322
46.886307 88.431 27.2862
47.226067 88.461 27.1278
47.568283 88.490 26.9593
47.912983 88.518 26.7824
48.260181 88.546 26.5973
48.609894 88.573 26.4041
48.962143 88.599 26.2043
49.316940 88.623 25.9991
49.674313 88.646 25.7893
50.034271 88.668 25.5761
50.396843 88.688 25.3593
50.762039 88.707 25.1380
51.129883 88.724 24.9154
51.500389 88.738 24.6929
51.873581 88.750 24.4744
52.249481 88.760 24.2636
52.628101 88.768 24.0623
53.009464 88.775 23.8729
53.393593 88.781 23.6973
53.780506 88.785 23.5384
54.170223 88.790 23.3952
54.562763 88.796 23.2695
54.958145 88.805 23.1552
55.356396 88.816 23.0476
55.757530 88.830 22.9442
56.161572 88.845 22.8414
56.568542 88.862 22.7372
56.978462 88.881 22.6296
57.391350 88.902 22.5152
57.807232 88.925 22.3893
58.226128 88.949 22.2532
58.648056 88.972 22.1060
59.073048 88.994 21.9503
59.501114 89.017 21.7893
59.932281 89.040 21.6203
60.366577 89.064 21.4411
60.804020 89.087 21.2523
61.244629 89.108 21.0525
61.688435 89.128 20.8464
62.135452 89.146 20.6385
62.585712 89.164 20.4274
63.039234 89.181 20.2124
63.496040 89.198 19.9944
63.956161 89.213 19.7729
64.419617 89.227 19.5504
64.886421 89.240 19.3301
65.356621 89.252 19.1094
65.830215 89.265 18.8877
66.307251 89.277 18.6625
66.787743 89.289 18.4299
67.271713 89.300 18.1924
67.759193 89.309 17.9509
68.250206 89.316 17.7065
68.744774 89.322 17.4596
69.242928 89.326 17.2125
69.744690 89.327 16.9656
70.250084 89.326 16.7245
70.759148 89.322 16.4945
71.271896 89.317 16.2754
71.788361 89.311 16.0689
72.308571 89.305 15.8744
72.832550 89.298 15.6923
73.360321 89.291 15.5213
73.891922 89.286 15.3612
74.427376 89.281 15.2083
74.966705 89.278 15.0598
75.509949 89.275 14.9133
76.057121 89.274 14.7655
76.608261 89.273 14.6163
77.163399 89.272 14.4641
77.722557 89.271 14.3093
78.285767 89.269 14.1512
78.853058 89.267 13.9923
79.424461 89.263 13.8339
80.000000 89.258 13.6793
80.579712 89.251 13.5324
81.163628 89.244 13.3923
81.751770 89.237 13.2593
82.344177 89.231 13.1333
82.940880 89.224 13.0143
83.541901 89.218 12.9012
84.147285 89.213 12.7941
84.757050 89.208 12.6892
85.371231 89.205 12.5831
85.989868 89.203 12.4752
86.612984 89.200 12.3627
87.240616 89.197 12.2482
87.872803 89.193 12.1322
88.509560 89.188 12.0182
89.150940 89.182 11.9099
89.796967 89.175 11.8072
90.447670 89.168 11.7113
91.103088 89.161 11.6222
91.763260 89.154 11.5404
92.428215 89.148 11.4651
93.097992 89.143 11.3968
93.772614 89.139 11.3321
94.452133 89.137 11.2684
95.136566 89.135 11.2041
95.825966 89.134 11.1367
96.520363 89.133 11.0672
97.219788 89.133 10.9957
