* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He5xx_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:55:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He5xx_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: He5xx_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 67.422 74.0710
5.036232 67.446 74.0555
5.072727 67.472 74.0390
5.109486 67.503 74.0202
5.146511 67.538 73.9990
5.183805 67.580 73.9738
5.221369 67.627 73.9470
5.259205 67.675 73.9208
5.297316 67.725 73.8940
5.335702 67.778 73.8657
5.374367 67.833 73.8370
5.413311 67.887 73.8089
5.452538 67.941 73.7810
5.492050 67.995 73.7531
5.531847 68.049 73.7250
5.571934 68.103 73.6966
5.612310 68.157 73.6680
5.652979 68.211 73.6396
5.693943 68.265 73.6110
5.735204 68.319 73.5821
5.776763 68.373 73.5530
5.818624 68.427 73.5236
5.860788 68.481 73.4940
5.903258 68.535 73.4641
5.946035 68.589 73.4340
5.989123 68.643 73.4041
6.032523 68.697 73.3740
6.076237 68.751 73.3436
6.120268 68.805 73.3130
6.164618 68.858 73.2821
6.209289 68.912 73.2510
6.254284 68.966 73.2196
6.299605 69.020 73.1880
6.345255 69.074 73.1561
6.391235 69.128 73.1240
6.437549 69.182 73.0921
6.484198 69.236 73.0600
6.531185 69.290 73.0271
6.578513 69.344 72.9940
6.626183 69.398 72.9611
6.674199 69.452 72.9280
6.722563 69.506 72.8946
6.771278 69.560 72.8610
6.820345 69.614 72.8271
6.869768 69.668 72.7930
6.919549 69.722 72.7586
6.969691 69.776 72.7240
7.020196 69.830 72.6891
7.071068 69.884 72.6540
7.122308 69.938 72.6186
7.173919 69.992 72.5830
7.225904 70.046 72.5471
7.278266 70.100 72.5110
7.331007 70.154 72.4746
7.384131 70.208 72.4380
7.437639 70.262 72.4011
7.491535 70.316 72.3640
7.545822 70.370 72.3266
7.600502 70.424 72.2890
7.655579 70.478 72.2512
7.711054 70.532 72.2130
7.766932 70.586 72.1741
7.823214 70.640 72.1350
7.879904 70.694 72.0961
7.937005 70.748 72.0570
7.994520 70.802 72.0171
8.052452 70.856 71.9770
8.110803 70.910 71.9371
8.169578 70.964 71.8970
8.228777 71.018 71.8562
8.288406 71.072 71.8150
8.348468 71.126 71.7736
8.408964 71.180 71.7320
8.469899 71.234 71.6902
8.531276 71.288 71.6480
8.593097 71.342 71.6052
8.655366 71.396 71.5620
8.718086 71.450 71.5186
8.781260 71.504 71.4750
8.844893 71.558 71.4311
8.908987 71.612 71.3870
8.973545 71.666 71.3427
9.038571 71.720 71.2980
9.104069 71.774 71.2527
9.170040 71.828 71.2070
9.236490 71.882 71.1611
9.303422 71.936 71.1150
9.370838 71.990 71.0687
9.438744 72.044 71.0220
9.507140 72.098 70.9747
9.576033 72.152 70.9270
9.645425 72.206 70.8792
9.715320 72.260 70.8310
9.785721 72.314 70.7827
9.856632 72.368 70.7340
9.928058 72.422 70.6848
10.000000 72.476 70.6350
10.072464 72.530 70.5847
10.145453 72.584 70.5340
10.218971 72.638 70.4832
10.293022 72.692 70.4320
10.367610 72.746 70.3807
10.442738 72.800 70.3290
10.518411 72.854 70.2768
10.594631 72.908 70.2240
10.671404 72.962 70.1707
10.748734 73.016 70.1170
10.826623 73.070 70.0632
10.905077 73.124 70.0090
10.984100 73.178 69.9543
11.063695 73.232 69.8990
11.143867 73.286 69.8432
11.224621 73.340 69.7870
11.305959 73.394 69.7307
11.387886 73.448 69.6740
11.470407 73.502 69.6168
11.553527 73.556 69.5590
11.637249 73.610 69.5007
11.721577 73.664 69.4421
11.806517 73.718 69.3832
11.892071 73.772 69.3241
11.978246 73.826 69.2643
12.065045 73.880 69.2040
12.152473 73.934 69.1428
12.240536 73.988 69.0810
12.329235 74.042 69.0192
12.418578 74.096 68.9571
12.508568 74.150 68.8943
12.599211 74.204 68.8310
12.690510 74.258 68.7673
12.782471 74.312 68.7031
12.875097 74.366 68.6383
12.968395 74.420 68.5730
13.062370 74.474 68.5073
13.157025 74.528 68.4410
13.252366 74.582 68.3743
13.348398 74.636 68.3070
13.445127 74.690 68.2394
13.542556 74.744 68.1711
13.640691 74.798 68.1018
13.739536 74.852 68.0320
13.839099 74.906 67.9623
13.939383 74.960 67.8921
14.040393 75.014 67.8209
14.142136 75.068 67.7490
14.244616 75.122 67.6768
14.347837 75.176 67.6040
14.451808 75.230 67.5303
14.556532 75.284 67.4560
14.662014 75.338 67.3819
14.768262 75.392 67.3071
14.875278 75.446 67.2310
14.983070 75.500 67.1541
15.091644 75.554 67.0768
15.201005 75.608 66.9991
15.311157 75.662 66.9209
15.422109 75.716 66.8421
15.533863 75.770 66.7619
15.646428 75.824 66.6810
15.759809 75.878 66.5998
15.874010 75.932 66.5181
15.989040 75.986 66.4359
16.104904 76.040 66.3531
16.221605 76.094 66.2690
16.339155 76.148 66.1841
16.457554 76.202 66.0989
16.576813 76.256 66.0131
16.696936 76.310 65.9264
16.817928 76.364 65.8391
16.939798 76.418 65.7510
17.062551 76.472 65.6621
17.186193 76.526 65.5720
17.310732 76.580 65.4811
17.436172 76.634 65.3899
17.562521 76.688 65.2981
17.689787 76.742 65.2051
17.817974 76.796 65.1111
17.947090 76.850 65.0160
18.077143 76.904 64.9201
18.208138 76.958 64.8240
18.340080 77.012 64.7271
18.472980 77.066 64.6286
18.606844 77.120 64.5291
18.741676 77.174 64.4285
18.877487 77.228 64.3271
19.014280 77.282 64.2252
19.152065 77.336 64.1221
19.290850 77.390 64.0172
19.430639 77.444 63.9111
19.571442 77.498 63.8042
19.713264 77.552 63.6961
19.856115 77.606 63.5868
20.000000 77.660 63.4761
20.144928 77.714 63.3647
20.290907 77.768 63.2511
20.437943 77.822 63.1340
20.586044 77.877 63.0131
20.735220 77.932 62.8880
20.885475 77.986 62.7582
21.036821 78.040 62.6222
21.189262 78.093 62.4822
21.342808 78.144 62.3384
21.497467 78.194 62.1942
21.653246 78.241 62.0524
21.810154 78.287 61.9152
21.968201 78.332 61.7852
22.127390 78.377 61.6631
22.287735 78.420 61.5496
22.449242 78.463 61.4481
22.611917 78.505 61.3630
22.775772 78.547 61.2921
22.940815 78.592 61.2356
23.107054 78.639 61.1901
23.274498 78.687 61.1515
23.443153 78.737 61.1220
23.613033 78.789 61.1045
23.784142 78.845 61.0920
23.956491 78.906 61.0805
24.130091 78.972 61.0640
24.304947 79.040 61.0372
24.481071 79.113 60.9941
24.658470 79.190 60.9290
24.837156 79.271 60.8362
25.017136 79.353 60.7066
25.198421 79.435 60.5442
25.381020 79.514 60.3483
25.564941 79.591 60.1232
25.750195 79.665 59.8707
25.936790 79.736 59.5983
26.124741 79.800 59.3113
26.314051 79.860 59.0184
26.504732 79.915 58.7303
26.696796 79.967 58.4473
26.890253 80.017 58.1721
27.085112 80.065 57.9083
27.281382 80.109 57.6615
27.479073 80.152 57.4283
27.678198 80.198 57.2086
27.878765 80.245 56.9973
28.080786 80.292 56.7892
28.284271 80.340 56.5843
28.489231 80.389 56.3824
28.695675 80.440 56.1783
28.903616 80.493 55.9672
29.113064 80.546 55.7473
29.324028 80.599 55.5147
29.536524 80.651 55.2703
29.750557 80.703 55.0128
29.966141 80.753 54.7443
30.183289 80.800 54.4640
30.402010 80.844 54.1793
30.622314 80.883 53.8969
30.844217 80.920 53.6193
31.067726 80.955 53.3499
31.292856 80.988 53.0934
31.519617 81.016 52.8548
31.748020 81.042 52.6373
31.978081 81.069 52.4480
32.209808 81.097 52.2802
32.443211 81.128 52.1307
32.678310 81.161 51.9952
32.915108 81.197 51.8688
33.153625 81.236 51.7491
33.393871 81.277 51.6338
33.635857 81.322 51.5182
33.879597 81.371 51.3972
34.125103 81.422 51.2692
34.372387 81.474 51.1311
34.621464 81.528 50.9812
34.872345 81.585 50.8182
35.125042 81.644 50.6382
35.379574 81.704 50.4372
35.635948 81.764 50.2153
35.894180 81.823 49.9701
36.154285 81.881 49.7054
36.416275 81.937 49.4228
36.680161 81.990 49.1265
36.945961 82.040 48.8197
37.213688 82.088 48.5065
37.483353 82.132 48.1906
37.754974 82.174 47.8755
38.028561 82.214 47.5656
38.304131 82.252 47.2614
38.581699 82.289 46.9674
38.861279 82.326 46.6764
39.142883 82.367 46.3828
39.426529 82.407 46.0864
39.712231 82.444 45.7842
40.000000 82.480 45.4795
40.289856 82.516 45.1751
40.581814 82.552 44.8684
40.875885 82.587 44.5568
41.172089 82.621 44.2425
41.470440 82.653 43.9268
41.770950 82.683 43.6105
42.073643 82.713 43.2957
42.378525 82.743 42.9804
42.685616 82.772 42.6637
42.994934 82.799 42.3455
43.306492 82.825 42.0247
43.620308 82.850 41.7035
43.936401 82.873 41.3831
44.254780 82.894 41.0655
44.575470 82.913 40.7538
44.898483 82.932 40.4465
45.223835 82.951 40.1426
45.551544 82.968 39.8434
45.881630 82.982 39.5491
46.214108 82.996 39.2614
46.548996 83.011 38.9832
46.886307 83.025 38.7114
47.226067 83.038 38.4449
47.568283 83.052 38.1814
47.912983 83.066 37.9190
48.260181 83.081 37.6564
48.609894 83.095 37.3919
48.962143 83.108 37.1254
49.316940 83.120 36.8567
49.674313 83.132 36.5854
50.034271 83.142 36.3105
50.396843 83.151 36.0334
50.762039 83.157 35.7529
51.129883 83.159 35.4765
51.500389 83.157 35.2093
51.873581 83.151 34.9574
52.249481 83.142 34.7291
52.628101 83.132 34.5233
53.009464 83.121 34.3423
53.393593 83.110 34.1852
53.780506 83.099 34.0522
54.170223 83.088 33.9422
54.562763 83.079 33.8558
54.958145 83.072 33.7881
55.356396 83.067 33.7344
55.757530 83.064 33.6941
56.161572 83.062 33.6637
56.568542 83.060 33.6460
56.978462 83.059 33.6418
57.391350 83.060 33.6540
57.807232 83.061 33.6847
58.226128 83.064 33.7369
58.648056 83.068 33.8156
59.073048 83.076 33.9168
59.501114 83.090 34.0415
59.932281 83.111 34.1797
60.366577 83.139 34.3252
60.804020 83.174 34.4688
61.244629 83.216 34.6011
61.688435 83.265 34.7158
62.135452 83.320 34.8051
62.585712 83.381 34.8639
63.039234 83.445 34.8841
63.496040 83.511 34.8671
63.956161 83.578 34.8098
64.419617 83.644 34.7182
64.886421 83.708 34.5951
65.356621 83.770 34.4473
65.830215 83.830 34.2821
66.307251 83.888 34.1004
66.787743 83.946 33.9054
67.271713 84.003 33.6974
67.759193 84.058 33.4774
68.250206 84.112 33.2464
68.744774 84.165 33.0073
69.242928 84.219 32.7565
69.744690 84.274 32.4926
70.250084 84.328 32.2126
70.759148 84.381 31.9121
71.271896 84.433 31.5936
71.788361 84.483 31.2578
72.308571 84.531 30.9057
72.832550 84.577 30.5380
73.360321 84.620 30.1567
73.891922 84.660 29.7630
74.427376 84.697 29.3598
74.966705 84.731 28.9503
75.509949 84.762 28.5347
76.057121 84.791 28.1137
76.608261 84.816 27.6898
77.163399 84.837 27.2650
77.722557 84.855 26.8419
78.285767 84.870 26.4234
78.853058 84.883 26.0108
79.424461 84.892 25.6054
80.000000 84.899 25.2098
80.579712 84.903 24.8268
81.163628 84.905 24.4567
81.751770 84.907 24.1015
82.344177 84.908 23.7587
82.940880 84.908 23.4267
83.541901 84.908 23.1046
84.147285 84.908 22.7919
84.757050 84.908 22.4866
85.371231 84.908 22.1865
85.989868 84.908 21.8916
86.612984 84.908 21.6012
87.240616 84.908 21.3146
87.872803 84.908 21.0310
88.509560 84.908 20.7496
89.150940 84.908 20.4696
89.796967 84.908 20.1896
90.447670 84.908 19.9080
91.103088 84.908 19.6246
91.763260 84.907 19.3390
92.428215 84.905 19.0506
93.097992 84.903 18.7575
93.772614 84.899 18.4626
94.452133 84.892 18.1669
95.136566 84.883 17.8746
95.825966 84.871 17.5903
96.520363 84.858 17.3136
97.219788 84.845 17.0448
