* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He6.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:58:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He6.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: He6
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.699 53.1930
5.036232 80.717 53.1751
5.072727 80.737 53.1560
5.109486 80.760 53.1340
5.146511 80.786 53.1090
5.183805 80.818 53.0796
5.221369 80.852 53.0480
5.259205 80.887 53.0166
5.297316 80.924 52.9840
5.335702 80.963 52.9489
5.374367 81.004 52.9130
5.413311 81.044 52.8775
5.452538 81.085 52.8420
5.492050 81.125 52.8066
5.531847 81.165 52.7710
5.571934 81.205 52.7351
5.612310 81.245 52.6990
5.652979 81.285 52.6626
5.693943 81.325 52.6260
5.735204 81.365 52.5896
5.776763 81.406 52.5530
5.818624 81.446 52.5157
5.860788 81.486 52.4780
5.903258 81.526 52.4401
5.946035 81.566 52.4020
5.989123 81.606 52.3636
6.032523 81.646 52.3250
6.076237 81.686 52.2861
6.120268 81.727 52.2470
6.164618 81.767 52.2076
6.209289 81.807 52.1680
6.254284 81.847 52.1282
6.299605 81.887 52.0880
6.345255 81.927 52.0471
6.391235 81.967 52.0060
6.437549 82.007 51.9651
6.484198 82.048 51.9240
6.531185 82.088 51.8822
6.578513 82.128 51.8400
6.626183 82.168 51.7976
6.674199 82.208 51.7550
6.722563 82.248 51.7121
6.771278 82.289 51.6690
6.820345 82.329 51.6257
6.869768 82.369 51.5820
6.919549 82.409 51.5377
6.969691 82.449 51.4930
7.020196 82.489 51.4481
7.071068 82.529 51.4030
7.122308 82.569 51.3577
7.173919 82.610 51.3120
7.225904 82.650 51.2657
7.278266 82.690 51.2190
7.331007 82.730 51.1721
7.384131 82.770 51.1250
7.437639 82.810 51.0777
7.491535 82.850 51.0300
7.545822 82.890 50.9817
7.600502 82.931 50.9330
7.655579 82.971 50.8841
7.711054 83.011 50.8350
7.766932 83.051 50.7858
7.823214 83.091 50.7360
7.879904 83.131 50.6852
7.937005 83.171 50.6340
7.994520 83.211 50.5831
8.052452 83.252 50.5320
8.110803 83.292 50.4803
8.169578 83.332 50.4280
8.228777 83.372 50.3752
8.288406 83.412 50.3220
8.348468 83.452 50.2687
8.408964 83.492 50.2150
8.469899 83.532 50.1608
8.531276 83.573 50.1060
8.593097 83.613 50.0507
8.655366 83.653 49.9950
8.718086 83.693 49.9392
8.781260 83.733 49.8830
8.844893 83.773 49.8263
8.908987 83.813 49.7690
8.973545 83.853 49.7113
9.038571 83.894 49.6530
9.104069 83.934 49.5942
9.170040 83.974 49.5350
9.236490 84.014 49.4757
9.303422 84.054 49.4160
9.370838 84.094 49.3558
9.438744 84.134 49.2950
9.507140 84.174 49.2338
9.576033 84.215 49.1720
9.645425 84.255 49.1098
9.715320 84.295 49.0470
9.785721 84.335 48.9837
9.856632 84.375 48.9200
9.928058 84.415 48.8563
10.000000 84.455 48.7920
10.072464 84.495 48.7269
10.145453 84.536 48.6611
10.218971 84.576 48.5948
10.293022 84.616 48.5280
10.367610 84.656 48.4608
10.442738 84.696 48.3930
10.518411 84.736 48.3248
10.594631 84.776 48.2560
10.671404 84.816 48.1868
10.748734 84.857 48.1170
10.826623 84.897 48.0468
10.905077 84.937 47.9761
10.984100 84.977 47.9049
11.063695 85.017 47.8330
11.143867 85.057 47.7603
11.224621 85.098 47.6870
11.305959 85.138 47.6134
11.387886 85.178 47.5391
11.470407 85.218 47.4638
11.553527 85.258 47.3880
11.637249 85.298 47.3124
11.721577 85.338 47.2361
11.806517 85.378 47.1584
11.892071 85.419 47.0801
11.978246 85.459 47.0018
12.065045 85.499 46.9230
12.152473 85.539 46.8434
12.240536 85.579 46.7630
12.329235 85.619 46.6819
12.418578 85.659 46.6001
12.508568 85.699 46.5179
12.599211 85.740 46.4350
12.690510 85.780 46.3514
12.782471 85.820 46.2671
12.875097 85.860 46.1820
12.968395 85.900 46.0961
13.062370 85.940 46.0094
13.157025 85.980 45.9220
13.252366 86.020 45.8344
13.348398 86.061 45.7461
13.445127 86.101 45.6570
13.542556 86.141 45.5671
13.640691 86.181 45.4764
13.739536 86.221 45.3850
13.839099 86.261 45.2934
13.939383 86.301 45.2011
14.040393 86.341 45.1075
14.142136 86.382 45.0130
14.244616 86.422 44.9179
14.347837 86.462 44.8220
14.451808 86.502 44.7253
14.556532 86.542 44.6280
14.662014 86.582 44.5305
14.768262 86.622 44.4321
14.875278 86.662 44.3326
14.983070 86.703 44.2321
15.091644 86.743 44.1305
15.201005 86.783 44.0281
15.311157 86.823 43.9254
15.422109 86.863 43.8221
15.533863 86.903 43.7180
15.646428 86.943 43.6131
15.759809 86.983 43.5070
15.874010 87.024 43.4001
15.989040 87.064 43.2924
16.104904 87.104 43.1841
16.221605 87.144 43.0754
16.339155 87.184 42.9661
16.457554 87.224 42.8560
16.576813 87.264 42.7451
16.696936 87.304 42.6334
16.817928 87.345 42.5211
16.939798 87.385 42.4084
17.062551 87.425 42.2951
17.186193 87.465 42.1813
17.310732 87.505 42.0671
17.436172 87.545 41.9526
17.562521 87.585 41.8381
17.689787 87.625 41.7236
17.817974 87.666 41.6091
17.947090 87.706 41.4943
18.077143 87.746 41.3801
18.208138 87.786 41.2669
18.340080 87.826 41.1551
18.472980 87.866 41.0448
18.606844 87.906 40.9371
18.741676 87.946 40.8326
18.877487 87.987 40.7331
19.014280 88.028 40.6405
19.152065 88.069 40.5551
19.290850 88.111 40.4789
19.430639 88.156 40.4090
19.571442 88.204 40.3454
19.713264 88.257 40.2811
19.856115 88.314 40.2122
20.000000 88.376 40.1291
20.144928 88.443 40.0229
20.290907 88.514 39.8871
20.437943 88.587 39.7123
20.586044 88.660 39.4992
20.735220 88.732 39.2434
20.885475 88.802 38.9504
21.036821 88.867 38.6197
21.189262 88.926 38.2645
21.342808 88.978 37.8937
21.497467 89.023 37.5185
21.653246 89.062 37.1530
21.810154 89.098 36.7965
21.968201 89.133 36.4537
22.127390 89.166 36.1224
22.287735 89.198 35.8032
22.449242 89.229 35.4922
22.611917 89.261 35.1868
22.775772 89.294 34.8834
22.940815 89.326 34.5782
23.107054 89.358 34.2694
23.274498 89.391 33.9544
23.443153 89.423 33.6325
23.613033 89.452 33.2992
23.784142 89.479 32.9633
23.956491 89.502 32.6316
24.130091 89.522 32.3054
24.304947 89.542 31.9881
24.481071 89.560 31.6794
24.658470 89.576 31.3793
24.837156 89.591 31.0894
25.017136 89.606 30.8126
25.198421 89.621 30.5443
25.381020 89.638 30.2804
25.564941 89.656 30.0212
25.750195 89.672 29.7660
25.936790 89.689 29.5133
26.124741 89.707 29.2625
26.314051 89.725 29.0114
26.504732 89.744 28.7568
26.696796 89.762 28.5003
26.890253 89.779 28.2424
27.085112 89.796 27.9833
27.281382 89.813 27.7236
27.479073 89.830 27.4624
27.678198 89.846 27.1986
27.878765 89.861 26.9334
28.080786 89.876 26.6664
28.284271 89.889 26.4004
28.489231 89.900 26.1365
28.695675 89.909 25.8783
28.903616 89.918 25.6307
29.113064 89.927 25.3903
29.324028 89.936 25.1557
29.536524 89.946 24.9263
29.750557 89.956 24.7019
29.966141 89.966 24.4792
30.183289 89.979 24.2563
30.402010 89.992 24.0293
30.622314 90.005 23.7925
30.844217 90.018 23.5503
31.067726 90.029 23.3048
31.292856 90.038 23.0574
31.519617 90.047 22.8097
31.748020 90.055 22.5623
31.978081 90.061 22.3152
32.209808 90.066 22.0723
32.443211 90.068 21.8372
32.678310 90.070 21.6103
32.915108 90.072 21.3936
33.153625 90.074 21.1862
33.393871 90.076 20.9888
33.635857 90.079 20.7983
33.879597 90.083 20.6133
34.125103 90.089 20.4293
34.372387 90.097 20.2411
34.621464 90.105 20.0493
34.872345 90.113 19.8526
35.125042 90.120 19.6512
35.379574 90.128 19.4450
35.635948 90.135 19.2343
35.894180 90.141 19.0180
36.154285 90.146 18.8003
36.416275 90.149 18.5843
36.680161 90.151 18.3713
36.945961 90.152 18.1640
37.213688 90.152 17.9613
37.483353 90.152 17.7631
37.754974 90.152 17.5693
38.028561 90.152 17.3800
38.304131 90.152 17.1942
38.581699 90.152 17.0110
38.861279 90.152 16.8303
39.142883 90.152 16.6518
39.426529 90.152 16.4752
39.712231 90.152 16.3005
40.000000 90.152 16.1273
40.289856 90.152 15.9553
40.581814 90.152 15.7842
40.875885 90.152 15.6138
41.172089 90.152 15.4433
41.470440 90.152 15.2717
41.770950 90.152 15.0993
42.073643 90.152 14.9258
42.378525 90.151 14.7512
42.685616 90.149 14.5749
42.994934 90.146 14.3992
43.306492 90.141 14.2256
43.620308 90.135 14.0573
43.936401 90.128 13.8984
44.254780 90.120 13.7482
44.575470 90.113 13.6076
44.898483 90.105 13.4762
45.223835 90.097 13.3543
45.551544 90.089 13.2412
45.881630 90.083 13.1375
46.214108 90.079 13.0392
46.548996 90.076 12.9423
46.886307 90.074 12.8462
47.226067 90.073 12.7483
47.568283 90.072 12.6492
47.912983 90.072 12.5482
48.260181 90.072 12.4462
48.609894 90.072 12.3430
48.962143 90.072 12.2402
49.316940 90.072 12.1389
49.674313 90.072 12.0392
50.034271 90.072 11.9410
50.396843 90.073 11.8451
50.762039 90.074 11.7527
51.129883 90.075 11.6622
51.500389 90.078 11.5732
51.873581 90.082 11.4832
52.249481 90.087 11.3903
52.628101 90.094 11.2922
53.009464 90.101 11.1856
53.393593 90.109 11.0712
53.780506 90.117 10.9488
54.170223 90.125 10.8182
54.562763 90.132 10.6787
54.958145 90.139 10.5322
55.356396 90.144 10.3794
55.757530 90.148 10.2232
56.161572 90.150 10.0672
56.568542 90.151 9.9113
56.978462 90.152 9.7568
57.391350 90.152 9.6033
57.807232 90.152 9.4513
58.226128 90.152 9.2993
58.648056 90.152 9.1465
59.073048 90.152 8.9913
59.501114 90.152 8.8316
59.932281 90.152 8.6673
60.366577 90.151 8.4974
60.804020 90.149 8.3223
61.244629 90.146 8.1408
61.688435 90.140 7.9573
62.135452 90.130 7.7740
62.585712 90.118 7.5973
63.039234 90.104 7.4348
63.496040 90.088 7.2852
63.956161 90.073 7.1505
64.419617 90.057 7.0282
64.886421 90.042 6.9169
65.356621 90.027 6.8152
65.830215 90.013 6.7238
66.307251 90.001 6.6352
66.787743 89.992 6.5412
67.271713 89.983 6.4442
67.759193 89.971 6.3408
68.250206 89.958 6.2402
68.744774 89.943 6.1510
69.242928 89.927 6.0711
69.744690 89.913 6.0010
70.250084 89.899 5.9411
70.759148 89.884 5.8938
71.271896 89.870 5.8541
71.788361 89.861 5.8210
72.308571 89.855 5.7851
72.832550 89.851 5.7356
73.360321 89.848 5.6751
73.891922 89.844 5.6014
74.427376 89.838 5.5182
74.966705 89.831 5.4259
75.509949 89.822 5.3322
76.057121 89.807 5.2427
76.608261 89.790 5.1641
77.163399 89.772 5.1065
77.722557 89.753 5.0661
78.285767 89.736 5.0434
78.853058 89.720 5.0360
79.424461 89.705 5.0435
80.000000 89.692 5.0600
80.579712 89.685 5.0811
81.163628 89.680 5.1010
81.751770 89.677 5.1129
82.344177 89.676 5.1150
82.940880 89.677 5.1030
83.541901 89.679 5.0781
84.147285 89.679 5.0374
84.757050 89.678 4.9881
85.371231 89.673 4.9351
85.989868 89.667 4.8821
86.612984 89.660 4.8343
87.240616 89.652 4.7921
87.872803 89.642 4.7565
88.509560 89.632 4.7300
89.150940 89.621 4.7166
89.796967 89.611 4.7130
90.447670 89.604 4.7194
91.103088 89.599 4.7300
91.763260 89.595 4.7390
92.428215 89.592 4.7460
93.097992 89.591 4.7487
93.772614 89.591 4.7470
94.452133 89.591 4.7398
95.136566 89.591 4.7280
95.825966 89.591 4.7122
96.520363 89.591 4.6930
97.219788 89.591 4.6714
97.924286 89.591 4.6471
98.633881 89.591 4.6200
