* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He6se V2_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:59:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\He6se V2_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: He6se V2_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 79.628 6.1520
5.036232 79.630 6.1471
5.072727 79.633 6.1420
5.109486 79.636 6.1364
5.146511 79.639 6.1300
5.183805 79.643 6.1219
5.221369 79.647 6.1130
5.259205 79.652 6.1042
5.297316 79.657 6.0950
5.335702 79.662 6.0852
5.374367 79.667 6.0750
5.413311 79.673 6.0645
5.452538 79.678 6.0540
5.492050 79.683 6.0440
5.531847 79.688 6.0340
5.571934 79.693 6.0236
5.612310 79.698 6.0130
5.652979 79.703 6.0026
5.693943 79.709 5.9920
5.735204 79.714 5.9811
5.776763 79.719 5.9700
5.818624 79.724 5.9590
5.860788 79.729 5.9480
5.903258 79.734 5.9370
5.946035 79.740 5.9260
5.989123 79.745 5.9151
6.032523 79.750 5.9040
6.076237 79.755 5.8926
6.120268 79.760 5.8810
6.164618 79.766 5.8696
6.209289 79.771 5.8580
6.254284 79.776 5.8461
6.299605 79.781 5.8340
6.345255 79.786 5.8220
6.391235 79.792 5.8100
6.437549 79.797 5.7980
6.484198 79.802 5.7860
6.531185 79.807 5.7741
6.578513 79.812 5.7620
6.626183 79.817 5.7496
6.674199 79.823 5.7370
6.722563 79.828 5.7240
6.771278 79.833 5.7110
6.820345 79.838 5.6985
6.869768 79.843 5.6860
6.919549 79.848 5.6731
6.969691 79.854 5.6600
7.020196 79.859 5.6466
7.071068 79.864 5.6330
7.122308 79.869 5.6195
7.173919 79.875 5.6060
7.225904 79.880 5.5926
7.278266 79.885 5.5790
7.331007 79.890 5.5651
7.384131 79.895 5.5510
7.437639 79.900 5.5370
7.491535 79.906 5.5230
7.545822 79.911 5.5091
7.600502 79.916 5.4950
7.655579 79.921 5.4806
7.711054 79.926 5.4660
7.766932 79.931 5.4511
7.823214 79.937 5.4360
7.879904 79.942 5.4210
7.937005 79.947 5.4060
7.994520 79.952 5.3911
8.052452 79.957 5.3760
8.110803 79.963 5.3606
8.169578 79.968 5.3450
8.228777 79.973 5.3290
8.288406 79.978 5.3130
8.348468 79.983 5.2976
8.408964 79.989 5.2820
8.469899 79.994 5.2656
8.531276 79.999 5.2490
8.593097 80.004 5.2325
8.655366 80.009 5.2160
8.718086 80.014 5.1996
8.781260 80.020 5.1830
8.844893 80.025 5.1661
8.908987 80.030 5.1490
8.973545 80.035 5.1316
9.038571 80.040 5.1140
9.104069 80.046 5.0965
9.170040 80.051 5.0790
9.236490 80.056 5.0616
9.303422 80.061 5.0440
9.370838 80.066 5.0261
9.438744 80.072 5.0080
9.507140 80.077 4.9896
9.576033 80.082 4.9710
9.645425 80.087 4.9521
9.715320 80.092 4.9330
9.785721 80.097 4.9140
9.856632 80.103 4.8950
9.928058 80.108 4.8761
10.000000 80.113 4.8570
10.072464 80.118 4.8376
10.145453 80.123 4.8180
10.218971 80.129 4.7981
10.293022 80.134 4.7780
10.367610 80.139 4.7576
10.442738 80.144 4.7370
10.518411 80.149 4.7166
10.594631 80.154 4.6960
10.671404 80.160 4.6751
10.748734 80.165 4.6540
10.826623 80.170 4.6326
10.905077 80.175 4.6110
10.984100 80.180 4.5896
11.063695 80.186 4.5680
11.143867 80.191 4.5461
11.224621 80.196 4.5240
11.305959 80.201 4.5016
11.387886 80.206 4.4790
11.470407 80.212 4.4561
11.553527 80.217 4.4330
11.637249 80.222 4.4101
11.721577 80.227 4.3870
11.806517 80.232 4.3631
11.892071 80.237 4.3390
11.978246 80.243 4.3151
12.065045 80.248 4.2910
12.152473 80.253 4.2666
12.240536 80.258 4.2420
12.329235 80.263 4.2176
12.418578 80.269 4.1930
12.508568 80.274 4.1677
12.599211 80.279 4.1420
12.690510 80.284 4.1161
12.782471 80.289 4.0900
12.875097 80.294 4.0641
12.968395 80.300 4.0380
13.062370 80.305 4.0111
13.157025 80.310 3.9840
13.252366 80.315 3.9571
13.348398 80.320 3.9300
13.445127 80.325 3.9027
13.542556 80.331 3.8750
13.640691 80.336 3.8466
13.739536 80.341 3.8180
13.839099 80.346 3.7896
13.939383 80.351 3.7610
14.040393 80.356 3.7317
14.142136 80.362 3.7020
14.244616 80.367 3.6721
14.347837 80.372 3.6420
14.451808 80.378 3.6116
14.556532 80.383 3.5810
14.662014 80.388 3.5502
14.768262 80.393 3.5190
14.875278 80.398 3.4877
14.983070 80.403 3.4560
15.091644 80.408 3.4242
15.201005 80.414 3.3920
15.311157 80.419 3.3592
15.422109 80.424 3.3260
15.533863 80.429 3.2927
15.646428 80.434 3.2590
15.759809 80.439 3.2246
15.874010 80.445 3.1900
15.989040 80.450 3.1557
16.104904 80.455 3.1210
16.221605 80.460 3.0852
16.339155 80.466 3.0490
16.457554 80.471 3.0132
16.576813 80.476 2.9770
16.696936 80.481 2.9403
16.817928 80.486 2.9030
16.939798 80.491 2.8652
17.062551 80.497 2.8270
17.186193 80.502 2.7887
17.310732 80.507 2.7500
17.436172 80.512 2.7107
17.562521 80.517 2.6710
17.689787 80.522 2.6312
17.817974 80.528 2.5910
17.947090 80.533 2.5503
18.077143 80.538 2.5090
18.208138 80.543 2.4672
18.340080 80.548 2.4250
18.472980 80.553 2.3827
18.606844 80.559 2.3400
18.741676 80.564 2.2973
18.877487 80.569 2.2540
19.014280 80.574 2.2097
19.152065 80.580 2.1651
19.290850 80.585 2.1207
19.430639 80.590 2.0760
19.571442 80.595 2.0307
19.713264 80.600 1.9851
19.856115 80.605 1.9390
20.000000 80.610 1.8930
20.144928 80.615 1.8475
20.290907 80.620 1.8030
20.437943 80.625 1.7603
20.586044 80.630 1.7200
20.735220 80.634 1.6837
20.885475 80.639 1.6500
21.036821 80.646 1.6192
21.189262 80.654 1.5890
21.342808 80.663 1.5583
21.497467 80.673 1.5250
21.653246 80.685 1.4884
21.810154 80.698 1.4441
21.968201 80.714 1.3881
22.127390 80.731 1.3181
22.287735 80.748 1.2291
22.449242 80.764 1.1251
22.611917 80.778 1.0081
22.775772 80.791 0.8792
22.940815 80.803 0.7388
23.107054 80.813 0.5902
23.274498 80.820 0.4357
23.443153 80.825 0.2782
23.613033 80.829 0.1220
23.784142 80.831 -0.0339
23.956491 80.832 -0.1889
24.130091 80.831 -0.3438
24.304947 80.829 -0.4996
24.481071 80.826 -0.6548
24.658470 80.821 -0.8101
24.837156 80.813 -0.9608
25.017136 80.803 -1.1035
25.198421 80.790 -1.2349
25.381020 80.776 -1.3508
25.564941 80.761 -1.4499
25.750195 80.746 -1.5285
25.936790 80.731 -1.5889
26.124741 80.718 -1.6296
26.314051 80.708 -1.6590
26.504732 80.703 -1.6830
26.696796 80.701 -1.7080
26.890253 80.702 -1.7403
27.085112 80.706 -1.7849
27.281382 80.712 -1.8493
27.479073 80.719 -1.9319
27.678198 80.724 -2.0360
27.878765 80.727 -2.1548
28.080786 80.727 -2.2843
28.284271 80.725 -2.4198
28.489231 80.720 -2.5571
28.695675 80.713 -2.6918
28.903616 80.703 -2.8183
29.113064 80.692 -2.9368
29.324028 80.681 -3.0442
29.536524 80.671 -3.1459
29.750557 80.661 -3.2460
29.966141 80.652 -3.3449
30.183289 80.642 -3.4444
30.402010 80.632 -3.5449
30.622314 80.622 -3.6474
30.844217 80.611 -3.7519
31.067726 80.599 -3.8605
31.292856 80.586 -3.9678
31.519617 80.569 -4.0698
31.748020 80.551 -4.1649
31.978081 80.533 -4.2497
32.209808 80.515 -4.3259
32.443211 80.496 -4.3941
32.678310 80.477 -4.4539
32.915108 80.458 -4.5046
33.153625 80.439 -4.5480
33.393871 80.422 -4.5848
33.635857 80.405 -4.6170
33.879597 80.388 -4.6470
34.125103 80.372 -4.6740
34.372387 80.356 -4.6977
34.621464 80.340 -4.7180
34.872345 80.324 -4.7345
35.125042 80.309 -4.7470
35.379574 80.293 -4.7549
35.635948 80.278 -4.7580
35.894180 80.263 -4.7548
36.154285 80.250 -4.7480
36.416275 80.238 -4.7390
36.680161 80.228 -4.7300
36.945961 80.219 -4.7234
37.213688 80.211 -4.7210
37.483353 80.204 -4.7251
37.754974 80.197 -4.7360
38.028561 80.191 -4.7556
38.304131 80.184 -4.7820
38.581699 80.176 -4.8146
38.861279 80.167 -4.8509
39.142883 80.157 -4.8894
39.426529 80.145 -4.9269
39.712231 80.131 -4.9600
40.000000 80.117 -4.9880
40.289856 80.103 -5.0092
40.581814 80.088 -5.0240
40.875885 80.073 -5.0316
41.172089 80.058 -5.0340
41.470440 80.045 -5.0328
41.770950 80.032 -5.0290
42.073643 80.020 -5.0248
42.378525 80.008 -5.0190
42.685616 79.996 -5.0103
42.994934 79.984 -5.0020
43.306492 79.974 -4.9973
43.620308 79.965 -4.9950
43.936401 79.954 -4.9960
44.254780 79.942 -4.9970
44.575470 79.930 -4.9943
44.898483 79.918 -4.9900
45.223835 79.906 -4.9861
45.551544 79.894 -4.9800
45.881630 79.881 -4.9696
46.214108 79.867 -4.9560
46.548996 79.854 -4.9392
46.886307 79.842 -4.9200
47.226067 79.830 -4.9000
47.568283 79.817 -4.8770
47.912983 79.804 -4.8494
48.260181 79.791 -4.8181
48.609894 79.779 -4.7842
48.962143 79.767 -4.7461
49.316940 79.754 -4.7021
49.674313 79.741 -4.6521
50.034271 79.730 -4.5943
50.396843 79.720 -4.5321
50.762039 79.712 -4.4681
51.129883 79.705 -4.4031
51.500389 79.699 -4.3379
51.873581 79.695 -4.2751
52.249481 79.692 -4.2176
52.628101 79.691 -4.1661
53.009464 79.690 -4.1224
53.393593 79.690 -4.0861
53.780506 79.690 -4.0569
54.170223 79.690 -4.0350
54.562763 79.689 -4.0208
54.958145 79.688 -4.0130
55.356396 79.687 -4.0109
55.757530 79.685 -4.0130
56.161572 79.681 -4.0182
56.568542 79.676 -4.0240
56.978462 79.670 -4.0269
57.391350 79.664 -4.0280
57.807232 79.658 -4.0270
58.226128 79.652 -4.0240
58.648056 79.645 -4.0187
59.073048 79.638 -4.0120
59.501114 79.632 -4.0045
59.932281 79.626 -3.9970
60.366577 79.620 -3.9906
60.804020 79.614 -3.9850
61.244629 79.608 -3.9807
61.688435 79.601 -3.9770
62.135452 79.594 -3.9733
62.585712 79.587 -3.9700
63.039234 79.580 -3.9677
63.496040 79.572 -3.9650
63.956161 79.563 -3.9608
64.419617 79.554 -3.9550
64.886421 79.546 -3.9467
65.356621 79.537 -3.9370
65.830215 79.528 -3.9273
66.307251 79.519 -3.9160
66.787743 79.509 -3.9026
67.271713 79.498 -3.8850
67.759193 79.487 -3.8599
68.250206 79.477 -3.8311
68.744774 79.468 -3.8013
69.242928 79.460 -3.7711
69.744690 79.451 -3.7419
70.250084 79.443 -3.7131
70.759148 79.435 -3.6844
71.271896 79.427 -3.6561
71.788361 79.419 -3.6279
72.308571 79.410 -3.6001
72.832550 79.402 -3.5730
73.360321 79.393 -3.5451
73.891922 79.383 -3.5154
74.427376 79.372 -3.4821
74.966705 79.362 -3.4416
75.509949 79.352 -3.3971
76.057121 79.343 -3.3498
76.608261 79.335 -3.3011
77.163399 79.326 -3.2535
77.722557 79.318 -3.2051
78.285767 79.310 -3.1547
78.853058 79.303 -3.1031
79.424461 79.295 -3.0510
80.000000 79.288 -2.9981
80.579712 79.281 -2.9439
81.163628 79.274 -2.8891
81.751770 79.268 -2.8342
82.344177 79.262 -2.7791
82.940880 79.256 -2.7235
83.541901 79.251 -2.6691
84.147285 79.247 -2.6179
84.757050 79.243 -2.5691
85.371231 79.238 -2.5233
85.989868 79.232 -2.4781
86.612984 79.226 -2.4315
87.240616 79.220 -2.3831
87.872803 79.214 -2.3319
88.509560 79.208 -2.2781
