* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Silver ananda stealth_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:35:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Silver ananda stealth_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Silver ananda stealth_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 80.198 11.4410
5.036232 80.202 11.4343
5.072727 80.207 11.4270
5.109486 80.212 11.4186
5.146511 80.218 11.4090
5.183805 80.225 11.3975
5.221369 80.233 11.3850
5.259205 80.241 11.3723
5.297316 80.250 11.3590
5.335702 80.259 11.3452
5.374367 80.268 11.3310
5.413311 80.277 11.3166
5.452538 80.287 11.3020
5.492050 80.296 11.2876
5.531847 80.305 11.2730
5.571934 80.314 11.2581
5.612310 80.324 11.2430
5.652979 80.333 11.2280
5.693943 80.342 11.2130
5.735204 80.352 11.1981
5.776763 80.361 11.1830
5.818624 80.370 11.1676
5.860788 80.379 11.1520
5.903258 80.388 11.1366
5.946035 80.398 11.1210
5.989123 80.407 11.1051
6.032523 80.416 11.0890
6.076237 80.425 11.0731
6.120268 80.435 11.0570
6.164618 80.444 11.0406
6.209289 80.453 11.0240
6.254284 80.463 11.0076
6.299605 80.472 10.9910
6.345255 80.481 10.9741
6.391235 80.490 10.9570
6.437549 80.499 10.9401
6.484198 80.509 10.9230
6.531185 80.518 10.9056
6.578513 80.527 10.8880
6.626183 80.536 10.8706
6.674199 80.546 10.8530
6.722563 80.555 10.8351
6.771278 80.564 10.8170
6.820345 80.574 10.7991
6.869768 80.583 10.7810
6.919549 80.592 10.7626
6.969691 80.601 10.7440
7.020196 80.610 10.7256
7.071068 80.619 10.7070
7.122308 80.629 10.6881
7.173919 80.638 10.6690
7.225904 80.647 10.6496
7.278266 80.656 10.6300
7.331007 80.665 10.6106
7.384131 80.675 10.5910
7.437639 80.684 10.5711
7.491535 80.693 10.5510
7.545822 80.702 10.5311
7.600502 80.712 10.5110
7.655579 80.721 10.4906
7.711054 80.730 10.4700
7.766932 80.740 10.4496
7.823214 80.749 10.4290
7.879904 80.758 10.4076
7.937005 80.767 10.3860
7.994520 80.776 10.3645
8.052452 80.786 10.3430
8.110803 80.795 10.3216
8.169578 80.804 10.3000
8.228777 80.813 10.2776
8.288406 80.823 10.2550
8.348468 80.832 10.2325
8.408964 80.841 10.2100
8.469899 80.851 10.1876
8.531276 80.860 10.1650
8.593097 80.869 10.1416
8.655366 80.878 10.1180
8.718086 80.887 10.0946
8.781260 80.897 10.0710
8.844893 80.906 10.0471
8.908987 80.915 10.0230
8.973545 80.924 9.9986
9.038571 80.934 9.9740
9.104069 80.943 9.9496
9.170040 80.952 9.9250
9.236490 80.962 9.8996
9.303422 80.971 9.8740
9.370838 80.980 9.8486
9.438744 80.989 9.8230
9.507140 80.998 9.7971
9.576033 81.008 9.7710
9.645425 81.017 9.7446
9.715320 81.026 9.7180
9.785721 81.035 9.6916
9.856632 81.044 9.6650
9.928058 81.053 9.6376
10.000000 81.063 9.6100
10.072464 81.072 9.5826
10.145453 81.081 9.5550
10.218971 81.090 9.5266
10.293022 81.100 9.4980
10.367610 81.109 9.4696
10.442738 81.118 9.4410
10.518411 81.127 9.4116
10.594631 81.137 9.3820
10.671404 81.146 9.3526
10.748734 81.155 9.3230
10.826623 81.164 9.2926
10.905077 81.174 9.2620
10.984100 81.183 9.2316
11.063695 81.192 9.2010
11.143867 81.201 9.1696
11.224621 81.211 9.1380
11.305959 81.220 9.1066
11.387886 81.229 9.0750
11.470407 81.238 9.0427
11.553527 81.248 9.0100
11.637249 81.257 8.9771
11.721577 81.266 8.9440
11.806517 81.275 8.9107
11.892071 81.285 8.8770
11.978246 81.294 8.8432
12.065045 81.303 8.8090
12.152473 81.312 8.7741
12.240536 81.322 8.7390
12.329235 81.331 8.7041
12.418578 81.340 8.6690
12.508568 81.349 8.6333
12.599211 81.359 8.5970
12.690510 81.368 8.5602
12.782471 81.377 8.5230
12.875097 81.386 8.4857
12.968395 81.396 8.4480
13.062370 81.405 8.4102
13.157025 81.414 8.3720
13.252366 81.423 8.3332
13.348398 81.432 8.2940
13.445127 81.441 8.2547
13.542556 81.451 8.2150
13.640691 81.460 8.1753
13.739536 81.469 8.1350
13.839099 81.478 8.0938
13.939383 81.488 8.0520
14.040393 81.497 8.0102
14.142136 81.506 7.9680
14.244616 81.515 7.9252
14.347837 81.525 7.8820
14.451808 81.534 7.8387
14.556532 81.543 7.7950
14.662014 81.552 7.7508
14.768262 81.562 7.7061
14.875278 81.571 7.6603
14.983070 81.580 7.6140
15.091644 81.589 7.5678
15.201005 81.599 7.5210
15.311157 81.608 7.4733
15.422109 81.617 7.4250
15.533863 81.626 7.3768
15.646428 81.636 7.3280
15.759809 81.645 7.2784
15.874010 81.654 7.2280
15.989040 81.663 7.1768
16.104904 81.673 7.1250
16.221605 81.682 7.0734
16.339155 81.691 7.0211
16.457554 81.700 6.9674
16.576813 81.710 6.9130
16.696936 81.719 6.8583
16.817928 81.728 6.8030
16.939798 81.737 6.7469
17.062551 81.747 6.6901
17.186193 81.756 6.6324
17.310732 81.765 6.5740
17.436172 81.774 6.5150
17.562521 81.784 6.4550
17.689787 81.793 6.3941
17.817974 81.802 6.3321
17.947090 81.811 6.2691
18.077143 81.821 6.2050
18.208138 81.830 6.1396
18.340080 81.839 6.0731
18.472980 81.848 6.0057
18.606844 81.857 5.9370
18.741676 81.866 5.8664
18.877487 81.876 5.7941
19.014280 81.885 5.7202
19.152065 81.894 5.6441
19.290850 81.903 5.5649
19.430639 81.912 5.4831
19.571442 81.921 5.3983
19.713264 81.929 5.3111
19.856115 81.937 5.2213
20.000000 81.944 5.1301
20.144928 81.950 5.0380
20.290907 81.955 4.9471
20.437943 81.959 4.8592
20.586044 81.962 4.7751
20.735220 81.965 4.6955
20.885475 81.968 4.6221
21.036821 81.970 4.5575
21.189262 81.973 4.4991
21.342808 81.977 4.4458
21.497467 81.983 4.3951
21.653246 81.990 4.3443
21.810154 81.998 4.2921
21.968201 82.007 4.2372
22.127390 82.018 4.1771
22.287735 82.029 4.1083
22.449242 82.041 4.0321
22.611917 82.052 3.9473
22.775772 82.063 3.8571
22.940815 82.072 3.7645
23.107054 82.081 3.6691
23.274498 82.091 3.5721
23.443153 82.101 3.4721
23.613033 82.111 3.3686
23.784142 82.121 3.2601
23.956491 82.132 3.1462
24.130091 82.143 3.0241
24.304947 82.154 2.8900
24.481071 82.164 2.7462
24.658470 82.172 2.5920
24.837156 82.178 2.4322
25.017136 82.181 2.2706
25.198421 82.183 2.1092
25.381020 82.183 1.9506
25.564941 82.181 1.7971
25.750195 82.177 1.6518
25.936790 82.173 1.5142
26.124741 82.169 1.3863
26.314051 82.165 1.2642
26.504732 82.163 1.1454
26.696796 82.161 1.0271
26.890253 82.160 0.9061
27.085112 82.159 0.7811
27.281382 82.158 0.6502
27.479073 82.157 0.5132
27.678198 82.155 0.3688
27.878765 82.152 0.2192
28.080786 82.147 0.0645
28.284271 82.140 -0.0908
28.489231 82.130 -0.2425
28.695675 82.118 -0.3888
28.903616 82.105 -0.5264
29.113064 82.091 -0.6548
29.324028 82.075 -0.7730
29.536524 82.058 -0.8789
29.750557 82.040 -0.9682
29.966141 82.023 -1.0459
30.183289 82.009 -1.1146
30.402010 81.996 -1.1769
30.622314 81.983 -1.2368
30.844217 81.970 -1.2929
31.067726 81.958 -1.3444
31.292856 81.947 -1.3939
31.519617 81.937 -1.4443
31.748020 81.928 -1.4949
31.978081 81.918 -1.5471
32.209808 81.908 -1.5979
32.443211 81.898 -1.6444
32.678310 81.889 -1.6889
32.915108 81.881 -1.7321
33.153625 81.874 -1.7759
33.393871 81.867 -1.8226
33.635857 81.860 -1.8719
33.879597 81.853 -1.9244
34.125103 81.847 -1.9809
34.372387 81.841 -2.0435
34.621464 81.834 -2.1099
34.872345 81.825 -2.1802
35.125042 81.815 -2.2489
35.379574 81.803 -2.3107
35.635948 81.790 -2.3659
35.894180 81.778 -2.4129
36.154285 81.766 -2.4529
36.416275 81.754 -2.4863
36.680161 81.742 -2.5140
36.945961 81.732 -2.5345
37.213688 81.723 -2.5550
37.483353 81.718 -2.5818
37.754974 81.713 -2.6159
38.028561 81.707 -2.6617
38.304131 81.701 -2.7149
38.581699 81.694 -2.7740
38.861279 81.685 -2.8359
39.142883 81.674 -2.8985
39.426529 81.661 -2.9569
39.712231 81.646 -3.0058
40.000000 81.630 -3.0440
40.289856 81.614 -3.0668
40.581814 81.598 -3.0790
40.875885 81.584 -3.0826
41.172089 81.572 -3.0810
41.470440 81.561 -3.0782
41.770950 81.550 -3.0740
42.073643 81.541 -3.0691
42.378525 81.532 -3.0650
42.685616 81.524 -3.0642
42.994934 81.517 -3.0650
43.306492 81.509 -3.0670
43.620308 81.500 -3.0680
43.936401 81.492 -3.0650
44.254780 81.484 -3.0600
44.575470 81.478 -3.0529
44.898483 81.472 -3.0470
45.223835 81.467 -3.0447
45.551544 81.464 -3.0490
45.881630 81.463 -3.0637
46.214108 81.461 -3.0880
46.548996 81.457 -3.1240
46.886307 81.452 -3.1659
47.226067 81.445 -3.2092
47.568283 81.436 -3.2519
47.912983 81.426 -3.2911
48.260181 81.414 -3.3249
48.609894 81.401 -3.3510
48.962143 81.388 -3.3690
49.316940 81.375 -3.3762
49.674313 81.362 -3.3780
50.034271 81.352 -3.3779
50.396843 81.343 -3.3780
50.762039 81.333 -3.3819
51.129883 81.322 -3.3890
51.500389 81.312 -3.4000
51.873581 81.302 -3.4140
52.249481 81.290 -3.4320
52.628101 81.276 -3.4480
53.009464 81.259 -3.4576
53.393593 81.240 -3.4570
53.780506 81.219 -3.4410
54.170223 81.197 -3.4091
54.562763 81.175 -3.3593
54.958145 81.153 -3.2911
55.356396 81.131 -3.2035
55.757530 81.110 -3.0962
56.161572 81.091 -2.9671
56.568542 81.075 -2.8203
56.978462 81.062 -2.6579
57.391350 81.052 -2.4833
57.807232 81.046 -2.2989
58.226128 81.044 -2.1093
58.648056 81.047 -1.9178
59.073048 81.056 -1.7313
59.501114 81.070 -1.5565
59.932281 81.088 -1.3983
60.366577 81.110 -1.2633
60.804020 81.134 -1.1532
61.244629 81.160 -1.0722
61.688435 81.187 -1.0191
62.135452 81.213 -0.9955
62.585712 81.237 -0.9960
63.039234 81.259 -1.0179
63.496040 81.278 -1.0549
63.956161 81.294 -1.1010
64.419617 81.307 -1.1519
64.886421 81.318 -1.2013
65.356621 81.327 -1.2489
65.830215 81.336 -1.2919
66.307251 81.344 -1.3319
66.787743 81.351 -1.3697
67.271713 81.358 -1.4049
67.759193 81.366 -1.4367
68.250206 81.374 -1.4669
68.744774 81.383 -1.4961
69.242928 81.393 -1.5279
69.744690 81.405 -1.5656
70.250084 81.418 -1.6119
70.759148 81.431 -1.6707
71.271896 81.445 -1.7419
71.788361 81.458 -1.8265
72.308571 81.470 -1.9248
72.832550 81.482 -2.0377
73.360321 81.493 -2.1648
73.891922 81.501 -2.3083
74.427376 81.506 -2.4607
74.966705 81.505 -2.6169
75.509949 81.501 -2.7707
76.057121 81.494 -2.9147
76.608261 81.484 -3.0477
77.163399 81.472 -3.1658
77.722557 81.458 -3.2698
78.285767 81.445 -3.3594
78.853058 81.431 -3.4349
79.424461 81.416 -3.4959
80.000000 81.401 -3.5439
80.579712 81.389 -3.5785
81.163628 81.378 -3.6050
81.751770 81.368 -3.6281
82.344177 81.360 -3.6490
82.940880 81.353 -3.6698
83.541901 81.347 -3.6910
84.147285 81.342 -3.7124
84.757050 81.337 -3.7369
85.371231 81.334 -3.7679
85.989868 81.331 -3.8039
86.612984 81.327 -3.8454
87.240616 81.322 -3.8899
87.872803 81.317 -3.9348
88.509560 81.311 -3.9809
89.150940 81.305 -4.0281
