* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sundara 2018_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:39:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Sundara 2018_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Sundara 2018_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 67.903 77.6920
5.036232 67.929 77.6712
5.072727 67.957 77.6490
5.109486 67.989 77.6233
5.146511 68.027 77.5940
5.183805 68.072 77.5597
5.221369 68.122 77.5230
5.259205 68.173 77.4866
5.297316 68.226 77.4490
5.335702 68.283 77.4088
5.374367 68.341 77.3680
5.413311 68.398 77.3284
5.452538 68.456 77.2890
5.492050 68.513 77.2492
5.531847 68.571 77.2090
5.571934 68.628 77.1681
5.612310 68.686 77.1270
5.652979 68.744 77.0861
5.693943 68.802 77.0450
5.735204 68.860 77.0037
5.776763 68.917 76.9620
5.818624 68.974 76.9196
5.860788 69.032 76.8770
5.903258 69.089 76.8346
5.946035 69.147 76.7920
5.989123 69.204 76.7487
6.032523 69.262 76.7050
6.076237 69.319 76.6611
6.120268 69.377 76.6170
6.164618 69.434 76.5726
6.209289 69.492 76.5280
6.254284 69.550 76.4832
6.299605 69.608 76.4380
6.345255 69.666 76.3922
6.391235 69.723 76.3460
6.437549 69.780 76.2996
6.484198 69.838 76.2530
6.531185 69.895 76.2062
6.578513 69.953 76.1590
6.626183 70.010 76.1112
6.674199 70.068 76.0630
6.722563 70.125 76.0146
6.771278 70.183 75.9660
6.820345 70.240 75.9172
6.869768 70.298 75.8680
6.919549 70.356 75.8182
6.969691 70.414 75.7680
7.020196 70.472 75.7177
7.071068 70.529 75.6670
7.122308 70.586 75.6157
7.173919 70.644 75.5640
7.225904 70.701 75.5122
7.278266 70.759 75.4600
7.331007 70.816 75.4072
7.384131 70.874 75.3540
7.437639 70.931 75.3007
7.491535 70.989 75.2470
7.545822 71.046 75.1927
7.600502 71.104 75.1380
7.655579 71.162 75.0832
7.711054 71.220 75.0280
7.766932 71.278 74.9723
7.823214 71.335 74.9160
7.879904 71.392 74.8593
7.937005 71.450 74.8020
7.994520 71.507 74.7442
8.052452 71.565 74.6860
8.110803 71.622 74.6277
8.169578 71.680 74.5690
8.228777 71.737 74.5098
8.288406 71.795 74.4500
8.348468 71.852 74.3897
8.408964 71.910 74.3290
8.469899 71.967 74.2683
8.531276 72.025 74.2070
8.593097 72.083 74.1448
8.655366 72.141 74.0820
8.718086 72.199 74.0193
8.781260 72.256 73.9560
8.844893 72.313 73.8918
8.908987 72.371 73.8270
8.973545 72.428 73.7622
9.038571 72.486 73.6970
9.104069 72.543 73.6313
9.170040 72.601 73.5650
9.236490 72.658 73.4978
9.303422 72.716 73.4300
9.370838 72.773 73.3623
9.438744 72.831 73.2940
9.507140 72.889 73.2248
9.576033 72.947 73.1550
9.645425 73.005 73.0853
9.715320 73.062 73.0150
9.785721 73.119 72.9438
9.856632 73.177 72.8720
9.928058 73.234 72.7998
10.000000 73.292 72.7270
10.072464 73.349 72.6534
10.145453 73.407 72.5791
10.218971 73.464 72.5043
10.293022 73.522 72.4290
10.367610 73.579 72.3533
10.442738 73.637 72.2770
10.518411 73.695 72.2003
10.594631 73.753 72.1230
10.671404 73.811 72.0449
10.748734 73.868 71.9660
10.826623 73.925 71.8864
10.905077 73.983 71.8061
10.984100 74.040 71.7254
11.063695 74.098 71.6441
11.143867 74.155 71.5618
11.224621 74.213 71.4790
11.305959 74.270 71.3959
11.387886 74.328 71.3121
11.470407 74.385 71.2274
11.553527 74.443 71.1420
11.637249 74.500 71.0559
11.721577 74.558 70.9691
11.806517 74.616 70.8815
11.892071 74.674 70.7931
11.978246 74.732 70.7039
12.065045 74.789 70.6140
12.152473 74.846 70.5239
12.240536 74.904 70.4330
12.329235 74.961 70.3410
12.418578 75.019 70.2481
12.508568 75.076 70.1544
12.599211 75.134 70.0601
12.690510 75.191 69.9650
12.782471 75.249 69.8691
12.875097 75.306 69.7725
12.968395 75.364 69.6751
13.062370 75.422 69.5764
13.157025 75.480 69.4770
13.252366 75.538 69.3775
13.348398 75.595 69.2771
13.445127 75.652 69.1751
13.542556 75.710 69.0721
13.640691 75.767 68.9685
13.739536 75.825 68.8640
13.839099 75.882 68.7585
13.939383 75.940 68.6521
14.040393 75.997 68.5450
14.142136 76.055 68.4370
14.244616 76.112 68.3281
14.347837 76.170 68.2180
14.451808 76.228 68.1065
14.556532 76.286 67.9941
14.662014 76.344 67.8811
14.768262 76.401 67.7671
14.875278 76.458 67.6517
14.983070 76.516 67.5351
15.091644 76.573 67.4177
15.201005 76.631 67.2991
15.311157 76.688 67.1791
15.422109 76.746 67.0581
15.533863 76.803 66.9361
15.646428 76.861 66.8131
15.759809 76.918 66.6888
15.874010 76.976 66.5631
15.989040 77.034 66.4357
16.104904 77.092 66.3071
16.221605 77.150 66.1777
16.339155 77.207 66.0472
16.457554 77.264 65.9153
16.576813 77.322 65.7821
16.696936 77.379 65.6473
16.817928 77.437 65.5111
16.939798 77.494 65.3733
17.062551 77.552 65.2342
17.186193 77.609 65.0939
17.310732 77.667 64.9521
17.436172 77.724 64.8085
17.562521 77.782 64.6631
17.689787 77.839 64.5160
17.817974 77.897 64.3672
17.947090 77.955 64.2170
18.077143 78.013 64.0651
18.208138 78.071 63.9111
18.340080 78.128 63.7552
18.472980 78.185 63.5976
18.606844 78.243 63.4381
18.741676 78.300 63.2763
18.877487 78.358 63.1122
19.014280 78.415 62.9453
19.152065 78.473 62.7762
19.290850 78.530 62.6060
19.430639 78.588 62.4331
19.571442 78.646 62.2569
19.713264 78.705 62.0762
19.856115 78.763 61.8906
20.000000 78.821 61.6982
20.144928 78.880 61.4975
20.290907 78.939 61.2872
20.437943 78.997 61.0629
20.586044 79.052 60.8322
20.735220 79.102 60.6001
20.885475 79.150 60.3703
21.036821 79.198 60.1471
21.189262 79.244 59.9323
21.342808 79.286 59.7265
21.497467 79.327 59.5372
21.653246 79.366 59.3733
21.810154 79.407 59.2312
21.968201 79.451 59.1134
22.127390 79.499 59.0111
22.287735 79.551 58.9193
22.449242 79.609 58.8281
22.611917 79.673 58.7290
22.775772 79.742 58.6132
22.940815 79.816 58.4698
23.107054 79.892 58.2963
23.274498 79.969 58.0866
23.443153 80.046 57.8404
23.613033 80.123 57.5525
23.784142 80.196 57.2313
23.956491 80.262 56.8787
24.130091 80.323 56.5094
24.304947 80.376 56.1375
24.481071 80.424 55.7675
24.658470 80.469 55.4089
24.837156 80.511 55.0615
25.017136 80.551 54.7282
25.198421 80.589 54.4093
25.381020 80.626 54.1093
25.564941 80.664 53.8183
25.750195 80.706 53.5284
25.936790 80.748 53.2374
26.124741 80.788 52.9385
26.314051 80.826 52.6374
26.504732 80.863 52.3378
26.696796 80.899 52.0384
26.890253 80.934 51.7365
27.085112 80.967 51.4393
27.281382 80.996 51.1532
27.479073 81.023 50.8784
27.678198 81.052 50.6182
27.878765 81.081 50.3693
28.080786 81.109 50.1296
28.284271 81.137 49.8993
28.489231 81.167 49.6797
28.695675 81.198 49.4653
28.903616 81.231 49.2511
29.113064 81.265 49.0373
29.324028 81.299 48.8217
29.536524 81.333 48.6062
29.750557 81.367 48.3933
29.966141 81.401 48.1802
30.183289 81.437 47.9652
30.402010 81.474 47.7483
30.622314 81.510 47.5276
30.844217 81.545 47.3063
31.067726 81.580 47.0876
31.292856 81.615 46.8693
31.519617 81.652 46.6511
31.748020 81.690 46.4303
31.978081 81.728 46.2035
32.209808 81.767 45.9723
32.443211 81.805 45.7380
32.678310 81.843 45.4983
32.915108 81.883 45.2514
33.153625 81.923 44.9973
33.393871 81.960 44.7354
33.635857 81.997 44.4664
33.879597 82.035 44.1913
34.125103 82.073 43.9084
34.372387 82.109 43.6136
34.621464 82.142 43.3145
34.872345 82.171 43.0177
35.125042 82.199 42.7224
35.379574 82.228 42.4298
35.635948 82.257 42.1393
35.894180 82.282 41.8486
36.154285 82.306 41.5634
36.416275 82.328 41.2900
36.680161 82.350 41.0244
36.945961 82.374 40.7656
37.213688 82.398 40.5104
37.483353 82.423 40.2558
37.754974 82.448 40.0004
38.028561 82.474 39.7419
38.304131 82.499 39.4803
38.581699 82.524 39.2141
38.861279 82.548 38.9454
39.142883 82.571 38.6760
39.426529 82.594 38.4054
39.712231 82.616 38.1341
40.000000 82.638 37.8614
40.289856 82.659 37.5860
40.581814 82.679 37.3104
40.875885 82.697 37.0357
41.172089 82.714 36.7644
41.470440 82.729 36.5002
41.770950 82.744 36.2404
42.073643 82.760 35.9828
42.378525 82.775 35.7304
42.685616 82.787 35.4852
42.994934 82.799 35.2473
43.306492 82.813 35.0206
43.620308 82.829 34.7953
43.936401 82.847 34.5630
44.254780 82.866 34.3234
44.575470 82.883 34.0720
44.898483 82.899 33.8134
45.223835 82.913 33.5493
45.551544 82.925 33.2834
45.881630 82.934 33.0181
46.214108 82.941 32.7594
46.548996 82.944 32.5134
46.886307 82.945 32.2814
47.226067 82.946 32.0679
47.568283 82.948 31.8693
47.912983 82.950 31.6846
48.260181 82.953 31.5103
48.609894 82.957 31.3431
48.962143 82.963 31.1812
49.316940 82.969 31.0217
49.674313 82.976 30.8652
50.034271 82.982 30.7097
50.396843 82.988 30.5602
50.762039 82.992 30.4211
51.129883 82.997 30.2922
51.500389 83.003 30.1762
51.873581 83.011 30.0692
52.249481 83.021 29.9680
52.628101 83.032 29.8732
53.009464 83.044 29.7857
53.393593 83.058 29.7001
53.780506 83.077 29.6133
54.170223 83.099 29.5192
54.562763 83.123 29.4094
54.958145 83.147 29.2872
55.356396 83.171 29.1522
55.757530 83.195 29.0062
56.161572 83.218 28.8505
56.568542 83.240 28.6873
56.978462 83.262 28.5185
57.391350 83.282 28.3473
57.807232 83.300 28.1779
58.226128 83.318 28.0093
58.648056 83.337 27.8424
59.073048 83.356 27.6753
59.501114 83.375 27.5063
59.932281 83.394 27.3353
60.366577 83.413 27.1622
60.804020 83.433 26.9853
61.244629 83.453 26.8020
61.688435 83.472 26.6143
62.135452 83.490 26.4224
62.585712 83.507 26.2293
63.039234 83.523 26.0405
63.496040 83.540 25.8493
63.956161 83.559 25.6517
64.419617 83.578 25.4464
64.886421 83.595 25.2293
65.356621 83.610 25.0054
65.830215 83.623 24.7768
66.307251 83.634 24.5475
66.787743 83.641 24.3206
67.271713 83.646 24.1014
67.759193 83.649 23.8955
68.250206 83.650 23.7043
68.744774 83.650 23.5324
69.242928 83.651 23.3763
69.744690 83.653 23.2350
70.250084 83.657 23.1052
70.759148 83.663 22.9845
71.271896 83.670 22.8692
71.788361 83.679 22.7558
72.308571 83.691 22.6422
72.832550 83.705 22.5254
73.360321 83.720 22.4042
73.891922 83.735 22.2767
74.427376 83.752 22.1423
74.966705 83.770 21.9990
75.509949 83.789 21.8483
76.057121 83.806 21.6911
76.608261 83.823 21.5263
77.163399 83.842 21.3541
77.722557 83.861 21.1724
78.285767 83.878 20.9767
78.853058 83.894 20.7744
79.424461 83.907 20.5712
80.000000 83.918 20.3674
80.579712 83.930 20.1660
81.163628 83.942 19.9644
81.751770 83.953 19.7600
82.344177 83.963 19.5554
82.940880 83.972 19.3530
83.541901 83.981 19.1504
84.147285 83.991 18.9469
84.757050 84.000 18.7404
85.371231 84.009 18.5284
85.989868 84.017 18.3115
86.612984 84.025 18.0892
87.240616 84.032 17.8615
87.872803 84.037 17.6255
88.509560 84.040 17.3885
89.150940 84.038 17.1548
89.796967 84.034 16.9295
90.447670 84.028 16.7202
91.103088 84.022 16.5234
91.763260 84.016 16.3394
92.428215 84.011 16.1644
93.097992 84.007 15.9960
93.772614 84.005 15.8293
94.452133 84.004 15.6586
95.136566 84.003 15.4834
95.825966 84.001 15.2996
96.520363 83.998 15.1124
97.219788 83.992 14.9239
