* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Susvara_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:42:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Susvara_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Susvara_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 78.462 12.9580
5.036232 78.466 12.9551
5.072727 78.471 12.9520
5.109486 78.477 12.9482
5.146511 78.483 12.9440
5.183805 78.490 12.9392
5.221369 78.498 12.9340
5.259205 78.506 12.9286
5.297316 78.515 12.9230
5.335702 78.524 12.9175
5.374367 78.534 12.9120
5.413311 78.543 12.9066
5.452538 78.553 12.9010
5.492050 78.562 12.8950
5.531847 78.572 12.8890
5.571934 78.581 12.8835
5.612310 78.591 12.8780
5.652979 78.601 12.8720
5.693943 78.610 12.8660
5.735204 78.619 12.8605
5.776763 78.629 12.8550
5.818624 78.639 12.8491
5.860788 78.649 12.8430
5.903258 78.659 12.8370
5.946035 78.668 12.8310
5.989123 78.677 12.8250
6.032523 78.687 12.8190
6.076237 78.696 12.8131
6.120268 78.706 12.8070
6.164618 78.715 12.8006
6.209289 78.725 12.7940
6.254284 78.734 12.7874
6.299605 78.744 12.7810
6.345255 78.754 12.7750
6.391235 78.763 12.7690
6.437549 78.772 12.7626
6.484198 78.782 12.7560
6.531185 78.791 12.7490
6.578513 78.801 12.7420
6.626183 78.811 12.7354
6.674199 78.820 12.7290
6.722563 78.829 12.7226
6.771278 78.839 12.7160
6.820345 78.848 12.7091
6.869768 78.858 12.7020
6.919549 78.868 12.6950
6.969691 78.877 12.6880
7.020196 78.886 12.6811
7.071068 78.896 12.6740
7.122308 78.906 12.6665
7.173919 78.915 12.6590
7.225904 78.924 12.6520
7.278266 78.934 12.6450
7.331007 78.943 12.6376
7.384131 78.953 12.6300
7.437639 78.963 12.6225
7.491535 78.972 12.6150
7.545822 78.981 12.6075
7.600502 78.991 12.6000
7.655579 79.000 12.5926
7.711054 79.010 12.5850
7.766932 79.020 12.5771
7.823214 79.029 12.5690
7.879904 79.038 12.5610
7.937005 79.048 12.5530
7.994520 79.057 12.5450
8.052452 79.067 12.5370
8.110803 79.076 12.5291
8.169578 79.086 12.5210
8.228777 79.095 12.5126
8.288406 79.105 12.5040
8.348468 79.115 12.4955
8.408964 79.124 12.4870
8.469899 79.133 12.4785
8.531276 79.143 12.4700
8.593097 79.152 12.4615
8.655366 79.162 12.4530
8.718086 79.172 12.4446
8.781260 79.181 12.4360
8.844893 79.190 12.4271
8.908987 79.200 12.4180
8.973545 79.209 12.4091
9.038571 79.219 12.4000
9.104069 79.228 12.3905
9.170040 79.238 12.3810
9.236490 79.247 12.3720
9.303422 79.257 12.3630
9.370838 79.267 12.3536
9.438744 79.276 12.3440
9.507140 79.285 12.3346
9.576033 79.295 12.3250
9.645425 79.304 12.3151
9.715320 79.314 12.3050
9.785721 79.323 12.2950
9.856632 79.333 12.2850
9.928058 79.342 12.2750
10.000000 79.352 12.2650
10.072464 79.361 12.2551
10.145453 79.371 12.2450
10.218971 79.380 12.2346
10.293022 79.390 12.2240
10.367610 79.399 12.2135
10.442738 79.409 12.2030
10.518411 79.418 12.1926
10.594631 79.428 12.1820
10.671404 79.438 12.1711
10.748734 79.447 12.1600
10.826623 79.456 12.1490
10.905077 79.466 12.1380
10.984100 79.475 12.1271
11.063695 79.485 12.1160
11.143867 79.494 12.1046
11.224621 79.504 12.0930
11.305959 79.513 12.0815
11.387886 79.523 12.0700
11.470407 79.533 12.0586
11.553527 79.543 12.0470
11.637249 79.553 12.0351
11.721577 79.562 12.0230
11.806517 79.571 12.0111
11.892071 79.581 11.9990
11.978246 79.590 11.9865
12.065045 79.600 11.9740
12.152473 79.609 11.9621
12.240536 79.619 11.9500
12.329235 79.628 11.9371
12.418578 79.638 11.9240
12.508568 79.647 11.9115
12.599211 79.657 11.8990
12.690510 79.666 11.8861
12.782471 79.676 11.8730
12.875097 79.685 11.8596
12.968395 79.695 11.8460
13.062370 79.704 11.8325
13.157025 79.714 11.8190
13.252366 79.723 11.8056
13.348398 79.733 11.7920
13.445127 79.742 11.7781
13.542556 79.752 11.7640
13.640691 79.761 11.7500
13.739536 79.771 11.7360
13.839099 79.780 11.7221
13.939383 79.790 11.7080
14.040393 79.799 11.6936
14.142136 79.809 11.6790
14.244616 79.818 11.6641
14.347837 79.828 11.6490
14.451808 79.838 11.6340
14.556532 79.847 11.6190
14.662014 79.856 11.6041
14.768262 79.866 11.5890
14.875278 79.875 11.5736
14.983070 79.885 11.5580
15.091644 79.894 11.5421
15.201005 79.904 11.5260
15.311157 79.913 11.5101
15.422109 79.923 11.4940
15.533863 79.932 11.4776
15.646428 79.942 11.4610
15.759809 79.951 11.4446
15.874010 79.961 11.4280
15.989040 79.970 11.4111
16.104904 79.980 11.3940
16.221605 79.989 11.3771
16.339155 79.999 11.3600
16.457554 80.008 11.3426
16.576813 80.018 11.3250
16.696936 80.027 11.3076
16.817928 80.037 11.2900
16.939798 80.046 11.2721
17.062551 80.056 11.2540
17.186193 80.065 11.2360
17.310732 80.075 11.2180
17.436172 80.084 11.2001
17.562521 80.094 11.1820
17.689787 80.103 11.1636
17.817974 80.113 11.1450
17.947090 80.122 11.1261
18.077143 80.132 11.1070
18.208138 80.141 11.0880
18.340080 80.151 11.0690
18.472980 80.160 11.0501
18.606844 80.170 11.0310
18.741676 80.179 11.0117
18.877487 80.189 10.9920
19.014280 80.198 10.9716
19.152065 80.208 10.9510
19.290850 80.218 10.9305
19.430639 80.227 10.9100
19.571442 80.236 10.8895
19.713264 80.244 10.8700
19.856115 80.253 10.8522
20.000000 80.261 10.8380
20.144928 80.268 10.8299
20.290907 80.276 10.8270
20.437943 80.284 10.8301
20.586044 80.294 10.8370
20.735220 80.305 10.8468
20.885475 80.318 10.8570
21.036821 80.333 10.8664
21.189262 80.350 10.8700
21.342808 80.369 10.8631
21.497467 80.390 10.8430
21.653246 80.411 10.8041
21.810154 80.432 10.7501
21.968201 80.451 10.6829
22.127390 80.468 10.6031
22.287735 80.485 10.5102
22.449242 80.499 10.4091
22.611917 80.509 10.3022
22.775772 80.515 10.1971
22.940815 80.518 10.1025
23.107054 80.520 10.0181
23.274498 80.521 9.9467
23.443153 80.521 9.8881
23.613033 80.520 9.8419
23.784142 80.519 9.8110
23.956491 80.518 9.8003
24.130091 80.518 9.8030
24.304947 80.523 9.8159
24.481071 80.530 9.8340
24.658470 80.539 9.8524
24.837156 80.551 9.8680
25.017136 80.566 9.8783
25.198421 80.584 9.8770
25.381020 80.604 9.8565
25.564941 80.625 9.8180
25.750195 80.645 9.7588
25.936790 80.664 9.6831
26.124741 80.681 9.5938
26.314051 80.696 9.4931
26.504732 80.709 9.3823
26.696796 80.719 9.2671
26.890253 80.726 9.1533
27.085112 80.730 9.0431
27.281382 80.733 8.9414
27.479073 80.734 8.8471
27.678198 80.735 8.7616
27.878765 80.735 8.6831
28.080786 80.736 8.6111
28.284271 80.737 8.5431
28.489231 80.738 8.4769
28.695675 80.740 8.4111
28.903616 80.742 8.3436
29.113064 80.743 8.2741
29.324028 80.743 8.1988
29.536524 80.741 8.1261
29.750557 80.735 8.0614
29.966141 80.726 8.0090
30.183289 80.717 7.9760
30.402010 80.708 7.9600
30.622314 80.699 7.9604
30.844217 80.691 7.9800
31.067726 80.683 8.0231
31.292856 80.677 8.0839
31.519617 80.677 8.1629
31.748020 80.683 8.2459
31.978081 80.694 8.3193
32.209808 80.709 8.3809
32.443211 80.726 8.4241
32.678310 80.745 8.4490
32.915108 80.766 8.4534
33.153625 80.787 8.4370
33.393871 80.807 8.3965
33.635857 80.826 8.3391
33.879597 80.841 8.2694
34.125103 80.853 8.1921
34.372387 80.864 8.1125
34.621464 80.872 8.0341
34.872345 80.877 7.9624
35.125042 80.882 7.8971
35.379574 80.887 7.8415
35.635948 80.893 7.7901
35.894180 80.901 7.7384
36.154285 80.909 7.6861
36.416275 80.916 7.6313
36.680161 80.923 7.5731
36.945961 80.932 7.5103
37.213688 80.940 7.4421
37.483353 80.947 7.3654
37.754974 80.953 7.2851
38.028561 80.957 7.2043
38.304131 80.959 7.1251
38.581699 80.961 7.0511
38.861279 80.962 6.9811
39.142883 80.962 6.9150
39.426529 80.962 6.8531
39.712231 80.962 6.7959
40.000000 80.962 6.7421
40.289856 80.962 6.6905
40.581814 80.962 6.6411
40.875885 80.962 6.5933
41.172089 80.962 6.5471
41.470440 80.962 6.5025
41.770950 80.962 6.4591
42.073643 80.962 6.4164
42.378525 80.962 6.3741
42.685616 80.962 6.3317
42.994934 80.962 6.2891
43.306492 80.961 6.2456
43.620308 80.960 6.2021
43.936401 80.959 6.1583
44.254780 80.956 6.1171
44.575470 80.952 6.0797
44.898483 80.946 6.0500
45.223835 80.940 6.0325
45.551544 80.933 6.0260
45.881630 80.927 6.0320
46.214108 80.923 6.0480
46.548996 80.920 6.0726
46.886307 80.919 6.1029
47.226067 80.920 6.1369
47.568283 80.923 6.1709
47.912983 80.928 6.2010
48.260181 80.935 6.2260
48.609894 80.942 6.2442
48.962143 80.951 6.2540
49.316940 80.961 6.2527
49.674313 80.972 6.2420
50.034271 80.980 6.2220
50.396843 80.988 6.1950
50.762039 80.995 6.1629
51.129883 81.002 6.1281
51.500389 81.007 6.0928
51.873581 81.011 6.0591
52.249481 81.014 6.0297
52.628101 81.017 6.0040
53.009464 81.019 5.9817
53.393593 81.022 5.9640
53.780506 81.024 5.9536
54.170223 81.028 5.9470
54.562763 81.034 5.9436
54.958145 81.041 5.9370
55.356396 81.051 5.9202
55.757530 81.061 5.8950
56.161572 81.070 5.8602
56.568542 81.078 5.8181
56.978462 81.086 5.7705
57.391350 81.094 5.7181
57.807232 81.100 5.6610
58.226128 81.105 5.6021
58.648056 81.108 5.5443
59.073048 81.111 5.4881
59.501114 81.114 5.4357
59.932281 81.117 5.3841
60.366577 81.120 5.3320
60.804020 81.124 5.2771
61.244629 81.128 5.2157
61.688435 81.131 5.1501
62.135452 81.133 5.0809
62.585712 81.133 5.0091
63.039234 81.133 4.9356
63.496040 81.131 4.8611
63.956161 81.128 4.7851
64.419617 81.122 4.7131
64.886421 81.113 4.6498
65.356621 81.102 4.5981
65.830215 81.091 4.5630
66.307251 81.079 4.5430
66.787743 81.066 4.5376
67.271713 81.054 4.5490
67.759193 81.042 4.5804
68.250206 81.032 4.6279
68.744774 81.026 4.6916
69.242928 81.023 4.7629
69.744690 81.024 4.8340
70.250084 81.029 4.9019
70.759148 81.036 4.9616
71.271896 81.045 5.0109
71.788361 81.057 5.0461
72.308571 81.070 5.0660
72.832550 81.084 5.0672
73.360321 81.097 5.0530
73.891922 81.109 5.0249
74.427376 81.119 4.9851
74.966705 81.128 4.9347
75.509949 81.135 4.8781
76.057121 81.139 4.8193
76.608261 81.141 4.7611
77.163399 81.142 4.7076
77.722557 81.141 4.6591
78.285767 81.140 4.6164
78.853058 81.137 4.5821
79.424461 81.133 4.5590
80.000000 81.128 4.5470
80.579712 81.125 4.5492
81.163628 81.124 4.5590
81.751770 81.126 4.5721
82.344177 81.130 4.5840
82.940880 81.136 4.5886
83.541901 81.143 4.5860
84.147285 81.150 4.5740
84.757050 81.157 4.5530
85.371231 81.164 4.5226
85.989868 81.171 4.4841
86.612984 81.177 4.4379
87.240616 81.181 4.3871
87.872803 81.184 4.3345
88.509560 81.186 4.2811
89.150940 81.187 4.2294
89.796967 81.187 4.1781
90.447670 81.187 4.1270
91.103088 81.186 4.0761
91.763260 81.185 4.0254
92.428215 81.183 3.9751
93.097992 81.180 3.9247
93.772614 81.176 3.8771
94.452133 81.171 3.8345
95.136566 81.164 3.7981
95.825966 81.157 3.7701
96.520363 81.149 3.7500
97.219788 81.142 3.7381
