* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Mark Levinson No5909_ANC_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:10:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Mark Levinson No5909_ANC_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Mark Levinson No5909_ANC_
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 104.442 -47.1710
5.036232 104.427 -47.1653
5.072727 104.411 -47.1590
5.109486 104.392 -47.1514
5.146511 104.370 -47.1430
5.183805 104.344 -47.1336
5.221369 104.315 -47.1240
5.259205 104.286 -47.1155
5.297316 104.255 -47.1070
5.335702 104.221 -47.0976
5.374367 104.187 -47.0880
5.413311 104.153 -47.0789
5.452538 104.120 -47.0700
5.492050 104.087 -47.0615
5.531847 104.053 -47.0530
5.571934 104.020 -47.0441
5.612310 103.986 -47.0350
5.652979 103.952 -47.0260
5.693943 103.919 -47.0170
5.735204 103.886 -47.0080
5.776763 103.852 -46.9990
5.818624 103.818 -46.9901
5.860788 103.784 -46.9810
5.903258 103.750 -46.9715
5.946035 103.717 -46.9620
5.989123 103.684 -46.9530
6.032523 103.650 -46.9440
6.076237 103.617 -46.9346
6.120268 103.583 -46.9250
6.164618 103.550 -46.9156
6.209289 103.516 -46.9060
6.254284 103.483 -46.8960
6.299605 103.449 -46.8860
6.345255 103.415 -46.8765
6.391235 103.381 -46.8670
6.437549 103.347 -46.8571
6.484198 103.314 -46.8470
6.531185 103.281 -46.8370
6.578513 103.247 -46.8270
6.626183 103.214 -46.8171
6.674199 103.180 -46.8070
6.722563 103.147 -46.7965
6.771278 103.113 -46.7860
6.820345 103.080 -46.7760
6.869768 103.046 -46.7660
6.919549 103.012 -46.7556
6.969691 102.978 -46.7450
7.020196 102.944 -46.7340
7.071068 102.911 -46.7230
7.122308 102.878 -46.7125
7.173919 102.844 -46.7020
7.225904 102.811 -46.6911
7.278266 102.777 -46.6800
7.331007 102.744 -46.6691
7.384131 102.710 -46.6580
7.437639 102.677 -46.6465
7.491535 102.643 -46.6350
7.545822 102.609 -46.6240
7.600502 102.575 -46.6130
7.655579 102.541 -46.6016
7.711054 102.508 -46.5900
7.766932 102.475 -46.5786
7.823214 102.441 -46.5670
7.879904 102.408 -46.5551
7.937005 102.374 -46.5430
7.994520 102.341 -46.5310
8.052452 102.307 -46.5190
8.110803 102.274 -46.5071
8.169578 102.240 -46.4950
8.228777 102.206 -46.4826
8.288406 102.172 -46.4700
8.348468 102.138 -46.4575
8.408964 102.105 -46.4450
8.469899 102.072 -46.4325
8.531276 102.038 -46.4200
8.593097 102.005 -46.4076
8.655366 101.971 -46.3950
8.718086 101.938 -46.3821
8.781260 101.904 -46.3690
8.844893 101.871 -46.3555
8.908987 101.837 -46.3420
8.973545 101.803 -46.3290
9.038571 101.769 -46.3160
9.104069 101.735 -46.3026
9.170040 101.702 -46.2890
9.236490 101.669 -46.2750
9.303422 101.635 -46.2610
9.370838 101.602 -46.2475
9.438744 101.568 -46.2340
9.507140 101.535 -46.2201
9.576033 101.501 -46.2060
9.645425 101.468 -46.1916
9.715320 101.434 -46.1770
9.785721 101.400 -46.1625
9.856632 101.366 -46.1480
9.928058 101.332 -46.1336
10.000000 101.299 -46.1190
10.072464 101.266 -46.1041
10.145453 101.232 -46.0890
10.218971 101.199 -46.0740
10.293022 101.165 -46.0590
10.367610 101.132 -46.0441
10.442738 101.098 -46.0290
10.518411 101.064 -46.0136
10.594631 101.031 -45.9980
10.671404 100.998 -45.9821
10.748734 100.964 -45.9660
10.826623 100.930 -45.9500
10.905077 100.896 -45.9340
10.984100 100.862 -45.9180
11.063695 100.829 -45.9020
11.143867 100.796 -45.8861
11.224621 100.762 -45.8700
11.305959 100.729 -45.8531
11.387886 100.695 -45.8360
11.470407 100.662 -45.8195
11.553527 100.628 -45.8030
11.637249 100.595 -45.7861
11.721577 100.561 -45.7690
11.806517 100.527 -45.7516
11.892071 100.493 -45.7340
11.978246 100.459 -45.7166
12.065045 100.426 -45.6990
12.152473 100.393 -45.6811
12.240536 100.359 -45.6630
12.329235 100.326 -45.6450
12.418578 100.292 -45.6270
12.508568 100.259 -45.6091
12.599211 100.225 -45.5910
12.690510 100.192 -45.5726
12.782471 100.158 -45.5540
12.875097 100.124 -45.5351
12.968395 100.090 -45.5160
13.062370 100.056 -45.4971
13.157025 100.023 -45.4780
13.252366 99.990 -45.4586
13.348398 99.956 -45.4390
13.445127 99.923 -45.4196
13.542556 99.889 -45.4000
13.640691 99.856 -45.3801
13.739536 99.822 -45.3600
13.839099 99.789 -45.3401
13.939383 99.755 -45.3200
14.040393 99.721 -45.2996
14.142136 99.687 -45.2790
14.244616 99.653 -45.2586
14.347837 99.620 -45.2380
14.451808 99.587 -45.2166
14.556532 99.553 -45.1950
14.662014 99.520 -45.1740
14.768262 99.486 -45.1530
14.875278 99.453 -45.1316
14.983070 99.419 -45.1100
15.091644 99.386 -45.0881
15.201005 99.352 -45.0660
15.311157 99.318 -45.0435
15.422109 99.284 -45.0210
15.533863 99.250 -44.9991
15.646428 99.217 -44.9770
15.759809 99.184 -44.9541
15.874010 99.150 -44.9310
15.989040 99.117 -44.9081
16.104904 99.083 -44.8850
16.221605 99.050 -44.8617
16.339155 99.016 -44.8380
16.457554 98.983 -44.8142
16.576813 98.949 -44.7900
16.696936 98.915 -44.7656
16.817928 98.881 -44.7410
16.939798 98.847 -44.7166
17.062551 98.814 -44.6920
17.186193 98.781 -44.6672
17.310732 98.747 -44.6420
17.436172 98.714 -44.6161
17.562521 98.680 -44.5900
17.689787 98.647 -44.5641
17.817974 98.613 -44.5380
17.947090 98.580 -44.5117
18.077143 98.546 -44.4850
18.208138 98.512 -44.4577
18.340080 98.478 -44.4300
18.472980 98.444 -44.4022
18.606844 98.411 -44.3740
18.741676 98.378 -44.3453
18.877487 98.344 -44.3160
19.014280 98.311 -44.2864
19.152065 98.277 -44.2560
19.290850 98.244 -44.2250
19.430639 98.210 -44.1930
19.571442 98.176 -44.1598
19.713264 98.142 -44.1250
19.856115 98.109 -44.0885
20.000000 98.076 -44.0500
20.144928 98.043 -44.0092
20.290907 98.010 -43.9670
20.437943 97.978 -43.9235
20.586044 97.947 -43.8810
20.735220 97.917 -43.8427
20.885475 97.888 -43.8070
21.036821 97.858 -43.7734
21.189262 97.829 -43.7430
21.342808 97.801 -43.7165
21.497467 97.773 -43.6960
21.653246 97.745 -43.6856
21.810154 97.717 -43.6810
21.968201 97.686 -43.6796
22.127390 97.655 -43.6800
22.287735 97.624 -43.6794
22.449242 97.592 -43.6790
22.611917 97.560 -43.6791
22.775772 97.527 -43.6790
22.940815 97.494 -43.6776
23.107054 97.461 -43.6770
23.274498 97.428 -43.6791
23.443153 97.395 -43.6830
23.613033 97.360 -43.6886
23.784142 97.325 -43.6960
23.956491 97.290 -43.7066
24.130091 97.254 -43.7170
24.304947 97.215 -43.7259
24.481071 97.175 -43.7290
24.658470 97.134 -43.7202
24.837156 97.092 -43.7030
25.017136 97.051 -43.6790
25.198421 97.011 -43.6480
25.381020 96.970 -43.6102
25.564941 96.929 -43.5660
25.750195 96.890 -43.5143
25.936790 96.853 -43.4601
26.124741 96.817 -43.4086
26.314051 96.782 -43.3581
26.504732 96.746 -43.3089
26.696796 96.710 -43.2601
26.890253 96.676 -43.2095
27.085112 96.642 -43.1601
27.281382 96.609 -43.1142
27.479073 96.576 -43.0711
27.678198 96.542 -43.0304
27.878765 96.509 -42.9921
28.080786 96.476 -42.9549
28.284271 96.444 -42.9210
28.489231 96.412 -42.8928
28.695675 96.379 -42.8680
28.903616 96.346 -42.8451
29.113064 96.312 -42.8250
29.324028 96.279 -42.8083
29.536524 96.246 -42.7950
29.750557 96.212 -42.7864
29.966141 96.176 -42.7790
30.183289 96.139 -42.7700
30.402010 96.101 -42.7590
30.622314 96.062 -42.7448
30.844217 96.023 -42.7270
31.067726 95.984 -42.7050
31.292856 95.945 -42.6790
31.519617 95.906 -42.6480
31.748020 95.867 -42.6160
31.978081 95.830 -42.5854
32.209808 95.794 -42.5600
32.443211 95.759 -42.5463
32.678310 95.722 -42.5400
32.915108 95.683 -42.5411
33.153625 95.641 -42.5440
33.393871 95.597 -42.5439
33.635857 95.551 -42.5380
33.879597 95.503 -42.5235
34.125103 95.453 -42.4960
34.372387 95.401 -42.4491
34.621464 95.348 -42.3861
34.872345 95.298 -42.3057
35.125042 95.250 -42.2151
35.379574 95.204 -42.1210
35.635948 95.160 -42.0241
35.894180 95.116 -41.9274
36.154285 95.072 -41.8311
36.416275 95.031 -41.7368
36.680161 94.989 -41.6441
36.945961 94.946 -41.5555
37.213688 94.901 -41.4641
37.483353 94.855 -41.3641
37.754974 94.809 -41.2552
38.028561 94.764 -41.1341
38.304131 94.719 -41.0042
38.581699 94.675 -40.8675
38.861279 94.633 -40.7252
39.142883 94.592 -40.5777
39.426529 94.553 -40.4292
39.712231 94.517 -40.2840
40.000000 94.482 -40.1432
40.289856 94.447 -40.0097
40.581814 94.413 -39.8822
40.875885 94.380 -39.7605
41.172089 94.346 -39.6442
41.470440 94.312 -39.5340
41.770950 94.276 -39.4262
42.073643 94.239 -39.3180
42.378525 94.201 -39.2072
42.685616 94.162 -39.0902
42.994934 94.123 -38.9672
43.306492 94.084 -38.8359
43.620308 94.046 -38.6992
43.936401 94.009 -38.5581
44.254780 93.974 -38.4162
44.575470 93.940 -38.2780
44.898483 93.907 -38.1422
45.223835 93.873 -38.0093
45.551544 93.839 -37.8792
45.881630 93.806 -37.7521
46.214108 93.773 -37.6272
46.548996 93.739 -37.5045
46.886307 93.704 -37.3822
47.226067 93.669 -37.2584
47.568283 93.633 -37.1332
47.912983 93.598 -37.0061
48.260181 93.562 -36.8762
48.609894 93.526 -36.7412
48.962143 93.490 -36.6052
49.316940 93.456 -36.4717
49.674313 93.422 -36.3402
50.034271 93.387 -36.2126
50.396843 93.351 -36.0852
50.762039 93.314 -35.9540
51.129883 93.277 -35.8212
51.500389 93.240 -35.6887
51.873581 93.203 -35.5542
52.249481 93.164 -35.4170
52.628101 93.124 -35.2752
53.009464 93.084 -35.1268
53.393593 93.043 -34.9723
53.780506 93.002 -34.8116
54.170223 92.960 -34.6443
54.562763 92.919 -34.4693
54.958145 92.877 -34.2873
55.356396 92.836 -34.0989
55.757530 92.794 -33.9033
56.161572 92.752 -33.6997
56.568542 92.710 -33.4884
56.978462 92.669 -33.2698
57.391350 92.627 -33.0434
57.807232 92.586 -32.8091
58.226128 92.544 -32.5654
58.648056 92.503 -32.3113
59.073048 92.462 -32.0464
59.501114 92.422 -31.7702
59.932281 92.382 -31.4825
60.366577 92.343 -31.1829
60.804020 92.305 -30.8725
61.244629 92.269 -30.5523
61.688435 92.234 -30.2226
62.135452 92.201 -29.8845
62.585712 92.169 -29.5366
63.039234 92.138 -29.1776
63.496040 92.108 -28.8076
63.956161 92.081 -28.4257
64.419617 92.057 -28.0347
64.886421 92.035 -27.6369
65.356621 92.016 -27.2327
65.830215 91.999 -26.8223
66.307251 91.985 -26.4088
66.787743 91.976 -25.9950
67.271713 91.969 -25.5828
67.759193 91.965 -25.1753
68.250206 91.962 -24.7707
68.744774 91.961 -24.3692
69.242928 91.962 -23.9677
69.744690 91.964 -23.5637
70.250084 91.969 -23.1568
70.759148 91.976 -22.7447
71.271896 91.986 -22.3308
71.788361 92.001 -21.9164
72.308571 92.020 -21.5048
72.832550 92.042 -21.0984
73.360321 92.069 -20.7007
73.891922 92.101 -20.3150
74.427376 92.137 -19.9447
74.966705 92.177 -19.5942
75.509949 92.220 -19.2646
76.057121 92.266 -18.9579
76.608261 92.315 -18.6755
77.163399 92.366 -18.4197
77.722557 92.420 -18.1904
78.285767 92.475 -17.9878
78.853058 92.532 -17.8143
