* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\5909 ANC OFF_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:50:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\5909 ANC OFF_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: 5909 ANC OFF_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 102.495 -35.4660
5.036232 102.483 -35.4616
5.072727 102.471 -35.4570
5.109486 102.457 -35.4518
5.146511 102.441 -35.4460
5.183805 102.421 -35.4391
5.221369 102.399 -35.4320
5.259205 102.377 -35.4255
5.297316 102.354 -35.4190
5.335702 102.329 -35.4119
5.374367 102.304 -35.4050
5.413311 102.279 -35.3989
5.452538 102.253 -35.3930
5.492050 102.228 -35.3866
5.531847 102.203 -35.3800
5.571934 102.178 -35.3735
5.612310 102.152 -35.3670
5.652979 102.127 -35.3605
5.693943 102.102 -35.3540
5.735204 102.076 -35.3476
5.776763 102.051 -35.3410
5.818624 102.026 -35.3340
5.860788 102.001 -35.3270
5.903258 101.976 -35.3205
5.946035 101.950 -35.3140
5.989123 101.925 -35.3070
6.032523 101.900 -35.3000
6.076237 101.875 -35.2935
6.120268 101.849 -35.2870
6.164618 101.824 -35.2801
6.209289 101.799 -35.2730
6.254284 101.774 -35.2660
6.299605 101.749 -35.2590
6.345255 101.724 -35.2521
6.391235 101.698 -35.2450
6.437549 101.673 -35.2375
6.484198 101.648 -35.2300
6.531185 101.623 -35.2230
6.578513 101.597 -35.2160
6.626183 101.572 -35.2086
6.674199 101.547 -35.2010
6.722563 101.522 -35.1935
6.771278 101.496 -35.1860
6.820345 101.471 -35.1785
6.869768 101.446 -35.1710
6.919549 101.421 -35.1636
6.969691 101.395 -35.1560
7.020196 101.370 -35.1481
7.071068 101.345 -35.1400
7.122308 101.320 -35.1320
7.173919 101.294 -35.1240
7.225904 101.269 -35.1160
7.278266 101.244 -35.1080
7.331007 101.219 -35.1000
7.384131 101.193 -35.0920
7.437639 101.168 -35.0841
7.491535 101.143 -35.0760
7.545822 101.118 -35.0675
7.600502 101.093 -35.0590
7.655579 101.068 -35.0510
7.711054 101.042 -35.0430
7.766932 101.017 -35.0346
7.823214 100.992 -35.0260
7.879904 100.967 -35.0176
7.937005 100.941 -35.0090
7.994520 100.916 -35.0001
8.052452 100.891 -34.9910
8.110803 100.866 -34.9820
8.169578 100.840 -34.9730
8.228777 100.815 -34.9640
8.288406 100.790 -34.9550
8.348468 100.765 -34.9460
8.408964 100.739 -34.9370
8.469899 100.714 -34.9281
8.531276 100.689 -34.9190
8.593097 100.664 -34.9096
8.655366 100.638 -34.9000
8.718086 100.613 -34.8905
8.781260 100.588 -34.8810
8.844893 100.563 -34.8716
8.908987 100.538 -34.8620
8.973545 100.513 -34.8520
9.038571 100.487 -34.8420
9.104069 100.462 -34.8325
9.170040 100.437 -34.8230
9.236490 100.412 -34.8131
9.303422 100.386 -34.8030
9.370838 100.361 -34.7925
9.438744 100.336 -34.7820
9.507140 100.311 -34.7720
9.576033 100.285 -34.7620
9.645425 100.260 -34.7516
9.715320 100.235 -34.7410
9.785721 100.210 -34.7300
9.856632 100.184 -34.7190
9.928058 100.159 -34.7085
10.000000 100.134 -34.6980
10.072464 100.109 -34.6871
10.145453 100.083 -34.6760
10.218971 100.058 -34.6651
10.293022 100.033 -34.6540
10.367610 100.008 -34.6425
10.442738 99.983 -34.6310
10.518411 99.958 -34.6201
10.594631 99.932 -34.6090
10.671404 99.907 -34.5971
10.748734 99.882 -34.5850
10.826623 99.857 -34.5735
10.905077 99.831 -34.5620
10.984100 99.806 -34.5501
11.063695 99.781 -34.5380
11.143867 99.756 -34.5261
11.224621 99.730 -34.5140
11.305959 99.705 -34.5016
11.387886 99.680 -34.4890
11.470407 99.655 -34.4765
11.553527 99.629 -34.4640
11.637249 99.604 -34.4516
11.721577 99.579 -34.4390
11.806517 99.554 -34.4261
11.892071 99.528 -34.4130
11.978246 99.503 -34.4000
12.065045 99.478 -34.3870
12.152473 99.452 -34.3741
12.240536 99.427 -34.3610
12.329235 99.402 -34.3476
12.418578 99.377 -34.3340
12.508568 99.352 -34.3206
12.599211 99.327 -34.3070
12.690510 99.302 -34.2931
12.782471 99.276 -34.2790
12.875097 99.251 -34.2651
12.968395 99.226 -34.2510
13.062370 99.201 -34.2366
13.157025 99.175 -34.2220
13.252366 99.150 -34.2076
13.348398 99.125 -34.1930
13.445127 99.100 -34.1781
13.542556 99.074 -34.1630
13.640691 99.049 -34.1480
13.739536 99.024 -34.1330
13.839099 98.999 -34.1181
13.939383 98.973 -34.1030
14.040393 98.948 -34.0876
14.142136 98.923 -34.0720
14.244616 98.898 -34.0561
14.347837 98.872 -34.0400
14.451808 98.847 -34.0240
14.556532 98.822 -34.0080
14.662014 98.797 -33.9921
14.768262 98.772 -33.9760
14.875278 98.747 -33.9591
14.983070 98.721 -33.9420
15.091644 98.696 -33.9255
15.201005 98.671 -33.9090
15.311157 98.646 -33.8921
15.422109 98.620 -33.8750
15.533863 98.595 -33.8576
15.646428 98.570 -33.8400
15.759809 98.545 -33.8221
15.874010 98.519 -33.8040
15.989040 98.494 -33.7861
16.104904 98.469 -33.7680
16.221605 98.444 -33.7496
16.339155 98.418 -33.7310
16.457554 98.393 -33.7121
16.576813 98.368 -33.6930
16.696936 98.343 -33.6741
16.817928 98.317 -33.6550
16.939798 98.292 -33.6352
17.062551 98.267 -33.6150
17.186193 98.242 -33.5946
17.310732 98.217 -33.5740
17.436172 98.192 -33.5531
17.562521 98.166 -33.5320
17.689787 98.141 -33.5108
17.817974 98.116 -33.4890
17.947090 98.091 -33.4663
18.077143 98.065 -33.4430
18.208138 98.040 -33.4198
18.340080 98.015 -33.3960
18.472980 97.990 -33.3715
18.606844 97.964 -33.3460
18.741676 97.939 -33.3196
18.877487 97.914 -33.2920
19.014280 97.888 -33.2628
19.152065 97.863 -33.2320
19.290850 97.838 -33.2000
19.430639 97.814 -33.1660
19.571442 97.790 -33.1289
19.713264 97.766 -33.0910
19.856115 97.744 -33.0540
20.000000 97.722 -33.0190
20.144928 97.701 -32.9877
20.290907 97.680 -32.9600
20.437943 97.660 -32.9358
20.586044 97.640 -32.9170
20.735220 97.620 -32.9063
20.885475 97.600 -32.9010
21.036821 97.578 -32.9001
21.189262 97.556 -32.9020
21.342808 97.534 -32.9042
21.497467 97.511 -32.9080
21.653246 97.487 -32.9151
21.810154 97.462 -32.9220
21.968201 97.435 -32.9259
22.127390 97.408 -32.9260
22.287735 97.381 -32.9201
22.449242 97.354 -32.9100
22.611917 97.326 -32.8975
22.775772 97.298 -32.8810
22.940815 97.270 -32.8594
23.107054 97.242 -32.8330
23.274498 97.215 -32.8014
23.443153 97.188 -32.7660
23.613033 97.163 -32.7277
23.784142 97.138 -32.6890
23.956491 97.114 -32.6539
24.130091 97.091 -32.6200
24.304947 97.067 -32.5861
24.481071 97.043 -32.5530
24.658470 97.021 -32.5214
24.837156 96.999 -32.4910
25.017136 96.976 -32.4630
25.198421 96.953 -32.4350
25.381020 96.931 -32.4045
25.564941 96.909 -32.3740
25.750195 96.888 -32.3454
25.936790 96.868 -32.3180
26.124741 96.847 -32.2907
26.314051 96.828 -32.2670
26.504732 96.811 -32.2495
26.696796 96.796 -32.2410
26.890253 96.781 -32.2456
27.085112 96.765 -32.2620
27.281382 96.749 -32.2892
27.479073 96.733 -32.3299
27.678198 96.717 -32.3879
27.878765 96.698 -32.4589
28.080786 96.676 -32.5416
28.284271 96.650 -32.6309
28.489231 96.622 -32.7225
28.695675 96.591 -32.8129
28.903616 96.555 -32.8993
29.113064 96.515 -32.9749
29.324028 96.472 -33.0327
29.536524 96.426 -33.0700
29.750557 96.378 -33.0818
29.966141 96.330 -33.0670
30.183289 96.281 -33.0213
30.402010 96.234 -32.9501
30.622314 96.191 -32.8540
30.844217 96.152 -32.7431
31.067726 96.118 -32.6253
31.292856 96.088 -32.5082
31.519617 96.063 -32.4004
31.748020 96.042 -32.3071
31.978081 96.023 -32.2366
32.209808 96.005 -32.1880
32.443211 95.986 -32.1666
32.678310 95.964 -32.1630
32.915108 95.938 -32.1728
33.153625 95.908 -32.1860
33.393871 95.873 -32.1941
33.635857 95.834 -32.1880
33.879597 95.791 -32.1562
34.125103 95.747 -32.0981
34.372387 95.703 -32.0065
34.621464 95.661 -31.8892
34.872345 95.624 -31.7488
35.125042 95.591 -31.5942
35.379574 95.563 -31.4323
35.635948 95.539 -31.2712
35.894180 95.521 -31.1197
36.154285 95.507 -30.9832
36.416275 95.496 -30.8707
36.680161 95.487 -30.7801
36.945961 95.477 -30.7137
37.213688 95.466 -30.6671
37.483353 95.454 -30.6377
37.754974 95.441 -30.6220
38.028561 95.425 -30.6161
38.304131 95.408 -30.6190
38.581699 95.390 -30.6293
38.861279 95.370 -30.6450
39.142883 95.347 -30.6648
39.426529 95.322 -30.6850
39.712231 95.294 -30.7012
40.000000 95.265 -30.7130
40.289856 95.235 -30.7196
40.581814 95.204 -30.7180
40.875885 95.170 -30.7051
41.172089 95.135 -30.6810
41.470440 95.102 -30.6434
41.770950 95.069 -30.5971
42.073643 95.038 -30.5459
42.378525 95.007 -30.4901
42.685616 94.977 -30.4308
42.994934 94.947 -30.3691
43.306492 94.918 -30.3062
43.620308 94.890 -30.2431
43.936401 94.863 -30.1814
44.254780 94.837 -30.1211
44.575470 94.811 -30.0625
44.898483 94.785 -30.0061
45.223835 94.760 -29.9517
45.551544 94.735 -29.9021
45.881630 94.712 -29.8598
46.214108 94.688 -29.8250
46.548996 94.664 -29.7999
46.886307 94.638 -29.7810
47.226067 94.611 -29.7662
47.568283 94.582 -29.7540
47.912983 94.552 -29.7430
48.260181 94.521 -29.7310
48.609894 94.487 -29.7163
48.962143 94.452 -29.6970
49.316940 94.416 -29.6704
49.674313 94.380 -29.6381
50.034271 94.343 -29.6005
50.396843 94.306 -29.5581
50.762039 94.268 -29.5112
51.129883 94.230 -29.4601
51.500389 94.191 -29.4058
51.873581 94.151 -29.3461
52.249481 94.110 -29.2803
52.628101 94.068 -29.2051
53.009464 94.024 -29.1164
53.393593 93.980 -29.0162
53.780506 93.937 -28.9049
54.170223 93.895 -28.7832
54.562763 93.852 -28.6516
54.958145 93.809 -28.5102
55.356396 93.768 -28.3581
55.757530 93.728 -28.1993
56.161572 93.690 -28.0382
56.568542 93.652 -27.8733
56.978462 93.613 -27.7052
57.391350 93.574 -27.5313
57.807232 93.536 -27.3494
58.226128 93.498 -27.1593
58.648056 93.460 -26.9607
59.073048 93.423 -26.7524
59.501114 93.385 -26.5325
59.932281 93.349 -26.3034
60.366577 93.316 -26.0658
60.804020 93.284 -25.8224
61.244629 93.253 -25.5770
61.688435 93.224 -25.3274
62.135452 93.195 -25.0726
62.585712 93.168 -24.8134
63.039234 93.142 -24.5507
63.496040 93.118 -24.2845
63.956161 93.094 -24.0158
64.419617 93.071 -23.7425
64.886421 93.049 -23.4615
65.356621 93.029 -23.1765
65.830215 93.012 -22.8897
66.307251 92.997 -22.6026
66.787743 92.983 -22.3187
67.271713 92.969 -22.0345
67.759193 92.956 -21.7474
68.250206 92.945 -21.4585
68.744774 92.936 -21.1684
69.242928 92.929 -20.8765
69.744690 92.922 -20.5822
70.250084 92.917 -20.2866
70.759148 92.915 -19.9891
71.271896 92.915 -19.6935
71.788361 92.918 -19.4036
72.308571 92.922 -19.1185
72.832550 92.928 -18.8391
73.360321 92.935 -18.5645
73.891922 92.944 -18.2944
74.427376 92.954 -18.0285
74.966705 92.967 -17.7662
75.509949 92.981 -17.5085
76.057121 92.997 -17.2555
76.608261 93.015 -17.0095
77.163399 93.036 -16.7710
77.722557 93.060 -16.5444
78.285767 93.087 -16.3341
78.853058 93.116 -16.1414
79.424461 93.146 -15.9700
