* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Meze 109 Pro_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:11:11 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Meze 109 Pro_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Meze 109 Pro_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 82.383 42.9080
5.036232 82.397 42.8954
5.072727 82.413 42.8820
5.109486 82.431 42.8666
5.146511 82.452 42.8490
5.183805 82.477 42.8278
5.221369 82.504 42.8050
5.259205 82.532 42.7824
5.297316 82.562 42.7590
5.335702 82.594 42.7342
5.374367 82.626 42.7090
5.413311 82.658 42.6845
5.452538 82.690 42.6600
5.492050 82.722 42.6351
5.531847 82.755 42.6100
5.571934 82.787 42.5851
5.612310 82.819 42.5600
5.652979 82.851 42.5341
5.693943 82.883 42.5080
5.735204 82.915 42.4826
5.776763 82.947 42.4570
5.818624 82.979 42.4306
5.860788 83.011 42.4040
5.903258 83.043 42.3776
5.946035 83.075 42.3510
5.989123 83.107 42.3241
6.032523 83.139 42.2970
6.076237 83.171 42.2696
6.120268 83.203 42.2420
6.164618 83.235 42.2146
6.209289 83.267 42.1870
6.254284 83.299 42.1591
6.299605 83.331 42.1310
6.345255 83.363 42.1026
6.391235 83.395 42.0740
6.437549 83.427 42.0451
6.484198 83.459 42.0160
6.531185 83.491 41.9866
6.578513 83.523 41.9570
6.626183 83.555 41.9271
6.674199 83.588 41.8970
6.722563 83.620 41.8671
6.771278 83.652 41.8370
6.820345 83.684 41.8066
6.869768 83.716 41.7760
6.919549 83.748 41.7451
6.969691 83.780 41.7140
7.020196 83.812 41.6826
7.071068 83.844 41.6510
7.122308 83.876 41.6191
7.173919 83.908 41.5870
7.225904 83.940 41.5546
7.278266 83.972 41.5220
7.331007 84.004 41.4891
7.384131 84.036 41.4560
7.437639 84.068 41.4226
7.491535 84.100 41.3890
7.545822 84.132 41.3551
7.600502 84.164 41.3210
7.655579 84.196 41.2866
7.711054 84.228 41.2520
7.766932 84.260 41.2171
7.823214 84.292 41.1820
7.879904 84.324 41.1471
7.937005 84.357 41.1120
7.994520 84.389 41.0763
8.052452 84.421 41.0400
8.110803 84.453 41.0031
8.169578 84.485 40.9660
8.228777 84.517 40.9291
8.288406 84.549 40.8920
8.348468 84.581 40.8547
8.408964 84.613 40.8170
8.469899 84.645 40.7786
8.531276 84.677 40.7400
8.593097 84.709 40.7016
8.655366 84.741 40.6630
8.718086 84.773 40.6237
8.781260 84.805 40.5840
8.844893 84.837 40.5441
8.908987 84.869 40.5040
8.973545 84.901 40.4637
9.038571 84.933 40.4230
9.104069 84.965 40.3817
9.170040 84.997 40.3400
9.236490 85.029 40.2981
9.303422 85.061 40.2560
9.370838 85.093 40.2136
9.438744 85.125 40.1710
9.507140 85.157 40.1282
9.576033 85.190 40.0850
9.645425 85.222 40.0412
9.715320 85.254 39.9970
9.785721 85.286 39.9527
9.856632 85.318 39.9080
9.928058 85.350 39.8627
10.000000 85.382 39.8170
10.072464 85.414 39.7712
10.145453 85.446 39.7251
10.218971 85.478 39.6787
10.293022 85.510 39.6320
10.367610 85.542 39.5847
10.442738 85.574 39.5370
10.518411 85.606 39.4892
10.594631 85.638 39.4410
10.671404 85.670 39.3923
10.748734 85.702 39.3430
10.826623 85.734 39.2932
10.905077 85.766 39.2430
10.984100 85.798 39.1927
11.063695 85.830 39.1420
11.143867 85.862 39.0907
11.224621 85.894 39.0390
11.305959 85.926 38.9873
11.387886 85.958 38.9350
11.470407 85.990 38.8818
11.553527 86.023 38.8280
11.637249 86.055 38.7742
11.721577 86.087 38.7201
11.806517 86.119 38.6658
11.892071 86.151 38.6111
11.978246 86.183 38.5553
12.065045 86.215 38.4990
12.152473 86.247 38.4428
12.240536 86.279 38.3860
12.329235 86.311 38.3283
12.418578 86.343 38.2701
12.508568 86.375 38.2117
12.599211 86.407 38.1530
12.690510 86.439 38.0939
12.782471 86.471 38.0341
12.875097 86.503 37.9733
12.968395 86.535 37.9120
13.062370 86.567 37.8508
13.157025 86.599 37.7890
13.252366 86.631 37.7263
13.348398 86.663 37.6630
13.445127 86.695 37.5998
13.542556 86.727 37.5361
13.640691 86.759 37.4714
13.739536 86.792 37.4060
13.839099 86.824 37.3398
13.939383 86.856 37.2731
14.040393 86.888 37.2064
14.142136 86.920 37.1390
14.244616 86.952 37.0703
14.347837 86.984 37.0010
14.451808 87.016 36.9318
14.556532 87.048 36.8620
14.662014 87.080 36.7909
14.768262 87.112 36.7191
14.875278 87.144 36.6468
14.983070 87.176 36.5741
15.091644 87.208 36.5009
15.201005 87.240 36.4271
15.311157 87.272 36.3520
15.422109 87.304 36.2761
15.533863 87.336 36.1994
15.646428 87.368 36.1220
15.759809 87.400 36.0439
15.874010 87.432 35.9651
15.989040 87.464 35.8854
16.104904 87.496 35.8051
16.221605 87.528 35.7240
16.339155 87.560 35.6421
16.457554 87.592 35.5595
16.576813 87.625 35.4761
16.696936 87.657 35.3916
16.817928 87.689 35.3061
16.939798 87.721 35.2196
17.062551 87.753 35.1321
17.186193 87.785 35.0436
17.310732 87.817 34.9541
17.436172 87.849 34.8636
17.562521 87.881 34.7721
17.689787 87.913 34.6792
17.817974 87.945 34.5851
17.947090 87.977 34.4897
18.077143 88.009 34.3931
18.208138 88.041 34.2953
18.340080 88.073 34.1961
18.472980 88.105 34.0955
18.606844 88.137 33.9931
18.741676 88.169 33.8888
18.877487 88.201 33.7821
19.014280 88.233 33.6726
19.152065 88.265 33.5601
19.290850 88.297 33.4445
19.430639 88.328 33.3261
19.571442 88.359 33.2042
19.713264 88.389 33.0812
19.856115 88.417 32.9581
20.000000 88.445 32.8371
20.144928 88.472 32.7206
20.290907 88.498 32.6081
20.437943 88.525 32.5000
20.586044 88.552 32.3961
20.735220 88.579 32.2962
20.885475 88.606 32.2001
21.036821 88.634 32.1086
21.189262 88.662 32.0191
21.342808 88.692 31.9303
21.497467 88.723 31.8401
21.653246 88.755 31.7459
21.810154 88.788 31.6481
21.968201 88.821 31.5463
22.127390 88.854 31.4401
22.287735 88.887 31.3287
22.449242 88.921 31.2131
22.611917 88.954 31.0946
22.775772 88.988 30.9722
22.940815 89.022 30.8455
23.107054 89.057 30.7132
23.274498 89.091 30.5723
23.443153 89.125 30.4272
23.613033 89.157 30.2814
23.784142 89.188 30.1341
23.956491 89.220 29.9865
24.130091 89.253 29.8362
24.304947 89.285 29.6795
24.481071 89.317 29.5222
24.658470 89.347 29.3708
24.837156 89.377 29.2192
25.017136 89.411 29.0653
25.198421 89.447 28.9042
25.381020 89.483 28.7289
25.564941 89.518 28.5432
25.750195 89.552 28.3500
25.936790 89.586 28.1453
26.124741 89.622 27.9253
26.314051 89.656 27.6913
26.504732 89.687 27.4403
26.696796 89.715 27.1813
26.890253 89.739 26.9227
27.085112 89.760 26.6633
27.281382 89.781 26.4049
27.479073 89.801 26.1473
27.678198 89.818 25.8897
27.878765 89.832 25.6363
28.080786 89.843 25.3915
28.284271 89.853 25.1553
28.489231 89.862 24.9294
28.695675 89.870 24.7133
28.903616 89.877 24.5057
29.113064 89.883 24.3103
29.324028 89.887 24.1310
29.536524 89.892 23.9652
29.750557 89.899 23.8129
29.966141 89.907 23.6702
30.183289 89.916 23.5338
30.402010 89.926 23.4012
30.622314 89.939 23.2696
30.844217 89.953 23.1362
31.067726 89.968 22.9964
31.292856 89.983 22.8522
31.519617 89.998 22.7024
31.748020 90.012 22.5512
31.978081 90.024 22.4025
32.209808 90.036 22.2562
32.443211 90.049 22.1135
32.678310 90.063 21.9742
32.915108 90.076 21.8389
33.153625 90.089 21.7062
33.393871 90.104 21.5754
33.635857 90.120 21.4442
33.879597 90.137 21.3107
34.125103 90.155 21.1732
34.372387 90.174 21.0289
34.621464 90.194 20.8792
34.872345 90.213 20.7245
35.125042 90.233 20.5652
35.379574 90.253 20.4023
35.635948 90.273 20.2342
35.894180 90.294 20.0609
36.154285 90.317 19.8783
36.416275 90.341 19.6837
36.680161 90.366 19.4723
36.945961 90.391 19.2375
37.213688 90.416 18.9814
37.483353 90.438 18.7033
37.754974 90.458 18.4055
38.028561 90.474 18.0883
38.304131 90.487 17.7564
38.581699 90.495 17.4113
38.861279 90.497 17.0625
39.142883 90.492 16.7187
39.426529 90.481 16.3845
39.712231 90.468 16.0667
40.000000 90.451 15.7664
40.289856 90.430 15.4857
40.581814 90.405 15.2284
40.875885 90.379 14.9998
41.172089 90.351 14.7973
41.470440 90.324 14.6206
41.770950 90.297 14.4672
42.073643 90.270 14.3348
42.378525 90.245 14.2221
42.685616 90.221 14.1297
42.994934 90.200 14.0501
43.306492 90.183 13.9782
43.620308 90.168 13.9081
43.936401 90.155 13.8326
44.254780 90.143 13.7501
44.575470 90.132 13.6563
44.898483 90.121 13.5522
45.223835 90.107 13.4348
45.551544 90.091 13.3122
45.881630 90.070 13.1898
46.214108 90.046 13.0722
46.548996 90.019 12.9625
46.886307 89.987 12.8701
47.226067 89.949 12.8037
47.568283 89.907 12.7680
47.912983 89.864 12.7705
48.260181 89.819 12.8119
48.609894 89.774 12.8946
48.962143 89.729 13.0208
49.316940 89.685 13.1954
49.674313 89.644 13.4126
50.034271 89.609 13.6697
50.396843 89.578 13.9625
50.762039 89.552 14.2868
51.129883 89.532 14.6404
51.500389 89.519 15.0229
51.873581 89.514 15.4243
52.249481 89.519 15.8369
52.628101 89.533 16.2533
53.009464 89.555 16.6646
53.393593 89.584 17.0673
53.780506 89.621 17.4578
54.170223 89.665 17.8284
54.562763 89.718 18.1722
54.958145 89.777 18.4835
55.356396 89.842 18.7547
55.757530 89.911 18.9857
56.161572 89.983 19.1735
56.568542 90.057 19.3188
56.978462 90.132 19.4199
57.391350 90.208 19.4799
57.807232 90.282 19.5000
58.226128 90.355 19.4851
58.648056 90.426 19.4402
59.073048 90.496 19.3661
59.501114 90.564 19.2642
59.932281 90.630 19.1382
60.366577 90.693 18.9919
60.804020 90.754 18.8273
61.244629 90.812 18.6481
61.688435 90.869 18.4533
62.135452 90.924 18.2428
62.585712 90.978 18.0184
63.039234 91.028 17.7820
63.496040 91.076 17.5344
63.956161 91.123 17.2770
64.419617 91.168 17.0095
64.886421 91.210 16.7317
65.356621 91.251 16.4445
65.830215 91.290 16.1483
66.307251 91.327 15.8436
66.787743 91.361 15.5309
67.271713 91.393 15.2106
67.759193 91.423 14.8837
68.250206 91.450 14.5496
68.744774 91.476 14.2068
69.242928 91.498 13.8586
69.744690 91.515 13.5074
70.250084 91.529 13.1557
70.759148 91.541 12.8055
71.271896 91.549 12.4606
71.788361 91.552 12.1234
72.308571 91.552 11.7996
72.832550 91.548 11.4964
73.360321 91.541 11.2125
73.891922 91.535 10.9497
74.427376 91.528 10.7064
74.966705 91.520 10.4823
75.509949 91.512 10.2754
76.057121 91.506 10.0853
76.608261 91.501 9.9073
77.163399 91.498 9.7366
77.722557 91.497 9.5723
78.285767 91.496 9.4122
78.853058 91.495 9.2563
79.424461 91.496 9.1041
80.000000 91.497 8.9553
80.579712 91.499 8.8101
81.163628 91.502 8.6663
81.751770 91.507 8.5227
82.344177 91.514 8.3763
82.940880 91.521 8.2234
83.541901 91.529 8.0643
84.147285 91.536 7.8982
84.757050 91.544 7.7253
85.371231 91.552 7.5454
85.989868 91.559 7.3594
86.612984 91.565 7.1672
87.240616 91.570 6.9724
87.872803 91.573 6.7781
88.509560 91.574 6.5854
89.150940 91.575 6.3963
89.796967 91.576 6.2104
90.447670 91.576 6.0279
91.103088 91.576 5.8484
91.763260 91.576 5.6718
92.428215 91.576 5.4974
93.097992 91.576 5.3244
93.772614 91.576 5.1524
94.452133 91.576 4.9806
95.136566 91.576 4.8094
95.825966 91.576 4.6388
96.520363 91.576 4.4684
