* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Meze Empyrean Elite_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:18:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Meze Empyrean Elite_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Meze Empyrean Elite_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 85.392 0.8560
5.036232 85.392 0.8589
5.072727 85.392 0.8620
5.109486 85.392 0.8657
5.146511 85.392 0.8700
5.183805 85.392 0.8747
5.221369 85.392 0.8800
5.259205 85.392 0.8858
5.297316 85.392 0.8920
5.335702 85.392 0.8984
5.374367 85.392 0.9050
5.413311 85.392 0.9115
5.452538 85.392 0.9180
5.492050 85.392 0.9244
5.531847 85.392 0.9310
5.571934 85.392 0.9379
5.612310 85.392 0.9450
5.652979 85.392 0.9520
5.693943 85.392 0.9590
5.735204 85.392 0.9660
5.776763 85.392 0.9730
5.818624 85.392 0.9800
5.860788 85.392 0.9870
5.903258 85.392 0.9939
5.946035 85.392 1.0010
5.989123 85.392 1.0084
6.032523 85.392 1.0160
6.076237 85.392 1.0235
6.120268 85.392 1.0310
6.164618 85.392 1.0385
6.209289 85.392 1.0460
6.254284 85.392 1.0534
6.299605 85.392 1.0610
6.345255 85.392 1.0690
6.391235 85.392 1.0770
6.437549 85.392 1.0845
6.484198 85.392 1.0920
6.531185 85.392 1.0999
6.578513 85.392 1.1080
6.626183 85.392 1.1165
6.674199 85.392 1.1250
6.722563 85.392 1.1330
6.771278 85.392 1.1410
6.820345 85.392 1.1494
6.869768 85.392 1.1580
6.919549 85.392 1.1665
6.969691 85.392 1.1750
7.020196 85.392 1.1835
7.071068 85.392 1.1920
7.122308 85.392 1.2004
7.173919 85.392 1.2090
7.225904 85.392 1.2179
7.278266 85.392 1.2270
7.331007 85.392 1.2360
7.384131 85.392 1.2450
7.437639 85.392 1.2539
7.491535 85.392 1.2630
7.545822 85.392 1.2725
7.600502 85.392 1.2820
7.655579 85.392 1.2910
7.711054 85.392 1.3000
7.766932 85.392 1.3094
7.823214 85.392 1.3190
7.879904 85.392 1.3290
7.937005 85.392 1.3390
7.994520 85.392 1.3485
8.052452 85.392 1.3580
8.110803 85.392 1.3679
8.169578 85.392 1.3780
8.228777 85.392 1.3879
8.288406 85.392 1.3980
8.348468 85.392 1.4084
8.408964 85.392 1.4190
8.469899 85.392 1.4295
8.531276 85.392 1.4400
8.593097 85.392 1.4505
8.655366 85.392 1.4610
8.718086 85.392 1.4714
8.781260 85.392 1.4820
8.844893 85.392 1.4929
8.908987 85.392 1.5040
8.973545 85.392 1.5150
9.038571 85.392 1.5260
9.104069 85.392 1.5369
9.170040 85.392 1.5480
9.236490 85.392 1.5594
9.303422 85.392 1.5710
9.370838 85.392 1.5825
9.438744 85.392 1.5940
9.507140 85.392 1.6054
9.576033 85.392 1.6170
9.645425 85.392 1.6289
9.715320 85.392 1.6410
9.785721 85.392 1.6529
9.856632 85.392 1.6650
9.928058 85.392 1.6774
10.000000 85.392 1.6900
10.072464 85.392 1.7025
10.145453 85.392 1.7150
10.218971 85.392 1.7275
10.293022 85.392 1.7400
10.367610 85.392 1.7524
10.442738 85.392 1.7650
10.518411 85.392 1.7779
10.594631 85.392 1.7910
10.671404 85.392 1.8045
10.748734 85.392 1.8180
10.826623 85.392 1.8310
10.905077 85.392 1.8440
10.984100 85.392 1.8574
11.063695 85.392 1.8710
11.143867 85.392 1.8849
11.224621 85.392 1.8990
11.305959 85.392 1.9130
11.387886 85.392 1.9270
11.470407 85.392 1.9409
11.553527 85.392 1.9550
11.637249 85.392 1.9694
11.721577 85.392 1.9840
11.806517 85.392 1.9984
11.892071 85.392 2.0130
11.978246 85.392 2.0279
12.065045 85.392 2.0430
12.152473 85.392 2.0580
12.240536 85.392 2.0730
12.329235 85.392 2.0879
12.418578 85.392 2.1030
12.508568 85.392 2.1184
12.599211 85.392 2.1340
12.690510 85.392 2.1499
12.782471 85.392 2.1660
12.875097 85.392 2.1820
12.968395 85.392 2.1980
13.062370 85.392 2.2139
13.157025 85.392 2.2300
13.252366 85.392 2.2464
13.348398 85.392 2.2630
13.445127 85.392 2.2794
13.542556 85.392 2.2960
13.640691 85.392 2.3129
13.739536 85.392 2.3300
13.839099 85.392 2.3475
13.939383 85.392 2.3650
14.040393 85.392 2.3819
14.142136 85.392 2.3990
14.244616 85.392 2.4169
14.347837 85.392 2.4350
14.451808 85.392 2.4530
14.556532 85.392 2.4710
14.662014 85.392 2.4889
14.768262 85.392 2.5070
14.875278 85.392 2.5254
14.983070 85.392 2.5440
15.091644 85.392 2.5624
15.201005 85.392 2.5810
15.311157 85.392 2.5999
15.422109 85.392 2.6190
15.533863 85.392 2.6384
15.646428 85.392 2.6580
15.759809 85.392 2.6775
15.874010 85.392 2.6970
15.989040 85.392 2.7164
16.104904 85.392 2.7360
16.221605 85.392 2.7559
16.339155 85.392 2.7760
16.457554 85.392 2.7964
16.576813 85.392 2.8170
16.696936 85.392 2.8374
16.817928 85.392 2.8580
16.939798 85.392 2.8789
17.062551 85.392 2.9000
17.186193 85.392 2.9209
17.310732 85.392 2.9420
17.436172 85.392 2.9634
17.562521 85.392 2.9850
17.689787 85.392 3.0070
17.817974 85.392 3.0290
17.947090 85.392 3.0504
18.077143 85.392 3.0720
18.208138 85.392 3.0944
18.340080 85.392 3.1170
18.472980 85.392 3.1395
18.606844 85.392 3.1620
18.741676 85.392 3.1845
18.877487 85.392 3.2070
19.014280 85.392 3.2294
19.152065 85.392 3.2520
19.290850 85.392 3.2749
19.430639 85.392 3.2980
19.571442 85.392 3.3215
19.713264 85.392 3.3450
19.856115 85.392 3.3680
20.000000 85.392 3.3910
20.144928 85.392 3.4144
20.290907 85.392 3.4380
20.437943 85.392 3.4615
20.586044 85.392 3.4850
20.735220 85.392 3.5085
20.885475 85.392 3.5320
21.036821 85.392 3.5550
21.189262 85.392 3.5780
21.342808 85.392 3.6010
21.497467 85.392 3.6240
21.653246 85.392 3.6466
21.810154 85.392 3.6690
21.968201 85.392 3.6912
22.127390 85.392 3.7130
22.287735 85.392 3.7342
22.449242 85.392 3.7550
22.611917 85.392 3.7754
22.775772 85.392 3.7950
22.940815 85.392 3.8132
23.107054 85.392 3.8300
23.274498 85.392 3.8452
23.443153 85.392 3.8580
23.613033 85.392 3.8677
23.784142 85.392 3.8740
23.956491 85.391 3.8761
24.130091 85.390 3.8740
24.304947 85.388 3.8661
24.481071 85.384 3.8560
24.658470 85.378 3.8454
24.837156 85.370 3.8390
25.017136 85.359 3.8416
25.198421 85.346 3.8550
25.381020 85.333 3.8830
25.564941 85.320 3.9250
25.750195 85.306 3.9821
25.936790 85.293 4.0529
26.124741 85.281 4.1379
26.314051 85.271 4.2329
26.504732 85.264 4.3350
26.696796 85.259 4.4399
26.890253 85.255 4.5421
27.085112 85.253 4.6419
27.281382 85.252 4.7372
27.479073 85.252 4.8289
27.678198 85.252 4.9168
27.878765 85.252 5.0019
28.080786 85.252 5.0850
28.284271 85.252 5.1669
28.489231 85.252 5.2483
28.695675 85.252 5.3299
28.903616 85.252 5.4124
29.113064 85.252 5.4959
29.324028 85.252 5.5807
29.536524 85.253 5.6669
29.750557 85.254 5.7547
29.966141 85.255 5.8439
30.183289 85.257 5.9352
30.402010 85.260 6.0269
30.622314 85.264 6.1176
30.844217 85.268 6.2069
31.067726 85.273 6.2940
31.292856 85.279 6.3779
31.519617 85.286 6.4574
31.748020 85.293 6.5319
31.978081 85.301 6.6007
32.209808 85.309 6.6629
32.443211 85.317 6.7180
32.678310 85.325 6.7649
32.915108 85.333 6.8025
33.153625 85.341 6.8310
33.393871 85.348 6.8499
33.635857 85.354 6.8600
33.879597 85.358 6.8602
34.125103 85.359 6.8560
34.372387 85.356 6.8502
34.621464 85.350 6.8500
34.872345 85.341 6.8637
35.125042 85.330 6.8910
35.379574 85.319 6.9344
35.635948 85.307 6.9939
35.894180 85.294 7.0709
36.154285 85.282 7.1639
36.416275 85.271 7.2743
36.680161 85.263 7.3948
36.945961 85.258 7.5191
37.213688 85.255 7.6448
37.483353 85.253 7.7675
37.754974 85.252 7.8878
38.028561 85.252 8.0049
38.304131 85.252 8.1189
38.581699 85.252 8.2293
38.861279 85.252 8.3368
39.142883 85.252 8.4420
39.426529 85.252 8.5449
39.712231 85.252 8.6457
40.000000 85.251 8.7439
40.289856 85.250 8.8382
40.581814 85.247 8.9309
40.875885 85.242 9.0221
41.172089 85.236 9.1159
41.470440 85.228 9.2149
41.770950 85.217 9.3228
42.073643 85.204 9.4433
42.378525 85.190 9.5788
42.685616 85.174 9.7318
42.994934 85.156 9.9057
43.306492 85.138 10.1042
43.620308 85.119 10.3286
43.936401 85.101 10.5821
44.254780 85.084 10.8635
44.575470 85.069 11.1740
44.898483 85.057 11.5104
45.223835 85.049 11.8724
45.551544 85.046 12.2534
45.881630 85.049 12.6489
46.214108 85.057 13.0534
46.548996 85.070 13.4620
46.886307 85.089 13.8694
47.226067 85.113 14.2694
47.568283 85.142 14.6594
47.912983 85.174 15.0341
48.260181 85.208 15.3954
48.609894 85.243 15.7418
48.962143 85.280 16.0785
49.316940 85.317 16.4084
49.674313 85.355 16.7365
50.034271 85.393 17.0675
50.396843 85.432 17.4045
50.762039 85.472 17.7521
51.129883 85.516 18.1094
51.500389 85.564 18.4795
51.873581 85.618 18.8554
52.249481 85.678 19.2334
52.628101 85.746 19.6054
53.009464 85.821 19.9644
53.393593 85.903 20.3025
53.780506 85.993 20.6114
54.170223 86.089 20.8846
54.562763 86.190 21.1134
54.958145 86.296 21.2957
55.356396 86.404 21.4263
55.757530 86.514 21.5069
56.161572 86.625 21.5380
56.568542 86.736 21.5191
56.978462 86.848 21.4500
57.391350 86.959 21.3303
57.807232 87.069 21.1594
58.226128 87.177 20.9364
58.648056 87.283 20.6596
59.073048 87.385 20.3306
59.501114 87.482 19.9484
59.932281 87.572 19.5198
60.366577 87.654 19.0487
60.804020 87.729 18.5429
61.244629 87.795 18.0086
61.688435 87.851 17.4550
62.135452 87.897 16.8895
62.585712 87.933 16.3230
63.039234 87.959 15.7672
63.496040 87.977 15.2269
63.956161 87.989 14.7104
64.419617 87.995 14.2189
64.886421 87.995 13.7561
65.356621 87.991 13.3227
65.830215 87.984 12.9217
66.307251 87.975 12.5497
66.787743 87.965 12.2055
67.271713 87.954 11.8856
67.759193 87.943 11.5865
68.250206 87.931 11.3065
68.744774 87.919 11.0426
69.242928 87.906 10.7954
69.744690 87.892 10.5645
70.250084 87.878 10.3504
70.759148 87.864 10.1534
71.271896 87.850 9.9733
71.788361 87.836 9.8107
72.308571 87.823 9.6633
72.832550 87.811 9.5301
73.360321 87.800 9.4082
73.891922 87.792 9.2953
74.427376 87.785 9.1882
74.966705 87.780 9.0838
75.509949 87.777 8.9792
76.057121 87.775 8.8706
76.608261 87.773 8.7582
77.163399 87.772 8.6408
77.722557 87.770 8.5193
78.285767 87.768 8.3932
78.853058 87.765 8.2653
79.424461 87.760 8.1373
80.000000 87.754 8.0112
80.579712 87.747 7.8893
81.163628 87.738 7.7732
81.751770 87.728 7.6650
82.344177 87.718 7.5662
82.940880 87.707 7.4795
83.541901 87.695 7.4041
84.147285 87.684 7.3406
84.757050 87.674 7.2871
85.371231 87.664 7.2430
85.989868 87.656 7.2061
86.612984 87.649 7.1742
87.240616 87.644 7.1461
87.872803 87.640 7.1198
88.509560 87.637 7.0941
89.150940 87.635 7.0668
89.796967 87.634 7.0381
90.447670 87.633 7.0071
91.103088 87.633 6.9741
91.763260 87.633 6.9389
92.428215 87.633 6.9021
93.097992 87.633 6.8640
93.772614 87.633 6.8251
94.452133 87.633 6.7862
95.136566 87.633 6.7471
95.825966 87.633 6.7076
96.520363 87.633 6.6681
