* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Meze Liric_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:12:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Meze Liric_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Meze Liric_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 86.851 21.2130
5.036232 86.858 21.2033
5.072727 86.866 21.1930
5.109486 86.875 21.1814
5.146511 86.886 21.1680
5.183805 86.899 21.1516
5.221369 86.913 21.1340
5.259205 86.928 21.1169
5.297316 86.943 21.0990
5.335702 86.959 21.0793
5.374367 86.976 21.0590
5.413311 86.993 21.0395
5.452538 87.009 21.0200
5.492050 87.025 21.0001
5.531847 87.042 20.9800
5.571934 87.058 20.9601
5.612310 87.075 20.9400
5.652979 87.091 20.9196
5.693943 87.108 20.8990
5.735204 87.124 20.8781
5.776763 87.141 20.8570
5.818624 87.158 20.8360
5.860788 87.174 20.8150
5.903258 87.190 20.7941
5.946035 87.207 20.7730
5.989123 87.223 20.7516
6.032523 87.240 20.7300
6.076237 87.257 20.7081
6.120268 87.273 20.6860
6.164618 87.289 20.6636
6.209289 87.306 20.6410
6.254284 87.322 20.6185
6.299605 87.339 20.5960
6.345255 87.355 20.5736
6.391235 87.372 20.5510
6.437549 87.388 20.5276
6.484198 87.405 20.5040
6.531185 87.422 20.4806
6.578513 87.438 20.4570
6.626183 87.454 20.4331
6.674199 87.471 20.4090
6.722563 87.487 20.3851
6.771278 87.504 20.3610
6.820345 87.520 20.3366
6.869768 87.537 20.3120
6.919549 87.553 20.2871
6.969691 87.570 20.2620
7.020196 87.586 20.2366
7.071068 87.603 20.2110
7.122308 87.620 20.1856
7.173919 87.637 20.1600
7.225904 87.654 20.1341
7.278266 87.670 20.1080
7.331007 87.686 20.0816
7.384131 87.703 20.0550
7.437639 87.719 20.0281
7.491535 87.736 20.0010
7.545822 87.752 19.9741
7.600502 87.769 19.9470
7.655579 87.785 19.9196
7.711054 87.802 19.8920
7.766932 87.818 19.8641
7.823214 87.835 19.8360
7.879904 87.851 19.8076
7.937005 87.868 19.7790
7.994520 87.884 19.7501
8.052452 87.901 19.7210
8.110803 87.917 19.6916
8.169578 87.934 19.6620
8.228777 87.950 19.6326
8.288406 87.967 19.6030
8.348468 87.983 19.5726
8.408964 88.000 19.5420
8.469899 88.016 19.5116
8.531276 88.033 19.4810
8.593097 88.049 19.4502
8.655366 88.066 19.4190
8.718086 88.082 19.3871
8.781260 88.099 19.3550
8.844893 88.115 19.3231
8.908987 88.132 19.2910
8.973545 88.148 19.2586
9.038571 88.165 19.2260
9.104069 88.181 19.1932
9.170040 88.198 19.1600
9.236490 88.214 19.1261
9.303422 88.231 19.0920
9.370838 88.247 19.0581
9.438744 88.264 19.0240
9.507140 88.280 18.9896
9.576033 88.297 18.9550
9.645425 88.313 18.9202
9.715320 88.330 18.8850
9.785721 88.346 18.8491
9.856632 88.363 18.8130
9.928058 88.379 18.7771
10.000000 88.396 18.7410
10.072464 88.412 18.7042
10.145453 88.429 18.6670
10.218971 88.445 18.6297
10.293022 88.462 18.5920
10.367610 88.479 18.5541
10.442738 88.495 18.5160
10.518411 88.511 18.4777
10.594631 88.528 18.4390
10.671404 88.544 18.3996
10.748734 88.561 18.3600
10.826623 88.577 18.3206
10.905077 88.594 18.2810
10.984100 88.610 18.2407
11.063695 88.627 18.2000
11.143867 88.643 18.1592
11.224621 88.660 18.1180
11.305959 88.676 18.0762
11.387886 88.693 18.0340
11.470407 88.709 17.9916
11.553527 88.726 17.9490
11.637249 88.742 17.9062
11.721577 88.759 17.8630
11.806517 88.775 17.8192
11.892071 88.792 17.7750
11.978246 88.808 17.7306
12.065045 88.825 17.6860
12.152473 88.841 17.6412
12.240536 88.858 17.5960
12.329235 88.874 17.5503
12.418578 88.891 17.5040
12.508568 88.907 17.4572
12.599211 88.924 17.4100
12.690510 88.940 17.3627
12.782471 88.957 17.3150
12.875097 88.973 17.2672
12.968395 88.990 17.2190
13.062370 89.007 17.1703
13.157025 89.024 17.1210
13.252366 89.041 17.0713
13.348398 89.057 17.0210
13.445127 89.073 16.9702
13.542556 89.090 16.9191
13.640691 89.106 16.8677
13.739536 89.123 16.8160
13.839099 89.139 16.7637
13.939383 89.156 16.7110
14.040393 89.172 16.6583
14.142136 89.189 16.6050
14.244616 89.205 16.5508
14.347837 89.222 16.4960
14.451808 89.238 16.4413
14.556532 89.255 16.3860
14.662014 89.271 16.3298
14.768262 89.288 16.2731
14.875278 89.304 16.2163
14.983070 89.321 16.1591
15.091644 89.337 16.1008
15.201005 89.354 16.0420
15.311157 89.370 15.9833
15.422109 89.387 15.9240
15.533863 89.403 15.8638
15.646428 89.420 15.8030
15.759809 89.436 15.7423
15.874010 89.453 15.6810
15.989040 89.469 15.6189
16.104904 89.486 15.5561
16.221605 89.502 15.4923
16.339155 89.519 15.4281
16.457554 89.535 15.3638
16.576813 89.552 15.2990
16.696936 89.568 15.2334
16.817928 89.585 15.1670
16.939798 89.601 15.1003
17.062551 89.618 15.0331
17.186193 89.634 14.9654
17.310732 89.651 14.8970
17.436172 89.667 14.8279
17.562521 89.684 14.7581
17.689787 89.700 14.6879
17.817974 89.717 14.6171
17.947090 89.733 14.5454
18.077143 89.750 14.4730
18.208138 89.766 14.4003
18.340080 89.783 14.3271
18.472980 89.799 14.2532
18.606844 89.816 14.1790
18.741676 89.832 14.1046
18.877487 89.849 14.0301
19.014280 89.865 13.9556
19.152065 89.882 13.8811
19.290850 89.899 13.8062
19.430639 89.916 13.7310
19.571442 89.933 13.6561
19.713264 89.951 13.5801
19.856115 89.970 13.5022
20.000000 89.989 13.4211
20.144928 90.008 13.3348
20.290907 90.027 13.2441
20.437943 90.046 13.1490
20.586044 90.065 13.0491
20.735220 90.084 12.9432
20.885475 90.102 12.8331
21.036821 90.119 12.7184
21.189262 90.134 12.6041
21.342808 90.148 12.4959
21.497467 90.161 12.3921
21.653246 90.175 12.2932
21.810154 90.190 12.1981
21.968201 90.204 12.1064
22.127390 90.219 12.0171
22.287735 90.236 11.9310
22.449242 90.254 11.8431
22.611917 90.274 11.7492
22.775772 90.295 11.6471
22.940815 90.316 11.5327
23.107054 90.337 11.4082
23.274498 90.357 11.2734
23.443153 90.376 11.1312
23.613033 90.394 10.9830
23.784142 90.410 10.8331
23.956491 90.423 10.6863
24.130091 90.436 10.5422
24.304947 90.449 10.4023
24.481071 90.463 10.2652
24.658470 90.476 10.1304
24.837156 90.489 9.9962
25.017136 90.504 9.8621
25.198421 90.520 9.7231
25.381020 90.537 9.5737
25.564941 90.554 9.4152
25.750195 90.569 9.2456
25.936790 90.582 9.0692
26.124741 90.594 8.8886
26.314051 90.604 8.7063
26.504732 90.612 8.5246
26.696796 90.618 8.3472
26.890253 90.622 8.1788
27.085112 90.625 8.0192
27.281382 90.628 7.8713
27.479073 90.632 7.7312
27.678198 90.637 7.5973
27.878765 90.644 7.4652
28.080786 90.652 7.3299
28.284271 90.661 7.1912
28.489231 90.669 7.0473
28.695675 90.678 6.8982
28.903616 90.687 6.7428
29.113064 90.695 6.5822
29.324028 90.702 6.4157
29.536524 90.707 6.2482
29.750557 90.710 6.0840
29.966141 90.712 5.9242
30.183289 90.714 5.7719
30.402010 90.716 5.6252
30.622314 90.718 5.4844
30.844217 90.721 5.3462
31.067726 90.726 5.2088
31.292856 90.733 5.0672
31.519617 90.740 4.9152
31.748020 90.747 4.7542
31.978081 90.753 4.5828
32.209808 90.758 4.4042
32.443211 90.761 4.2204
32.678310 90.762 4.0342
32.915108 90.761 3.8480
33.153625 90.757 3.6662
33.393871 90.752 3.4939
33.635857 90.745 3.3312
33.879597 90.738 3.1808
34.125103 90.731 3.0402
34.372387 90.725 2.9095
34.621464 90.720 2.7842
34.872345 90.717 2.6607
35.125042 90.716 2.5362
35.379574 90.715 2.4061
35.635948 90.714 2.2712
35.894180 90.713 2.1303
36.154285 90.712 1.9842
36.416275 90.710 1.8322
36.680161 90.707 1.6772
36.945961 90.702 1.5209
37.213688 90.695 1.3662
37.483353 90.687 1.2168
37.754974 90.678 1.0722
38.028561 90.669 0.9329
38.304131 90.659 0.7992
38.581699 90.648 0.6707
38.861279 90.637 0.5492
39.142883 90.625 0.4366
39.426529 90.613 0.3321
39.712231 90.602 0.2364
40.000000 90.591 0.1471
40.289856 90.581 0.0622
40.581814 90.572 -0.0179
40.875885 90.563 -0.0929
41.172089 90.555 -0.1639
41.470440 90.548 -0.2305
41.770950 90.543 -0.2969
42.073643 90.540 -0.3664
42.378525 90.538 -0.4409
42.685616 90.537 -0.5234
42.994934 90.536 -0.6139
43.306492 90.535 -0.7132
43.620308 90.534 -0.8208
43.936401 90.532 -0.9377
44.254780 90.529 -1.0608
44.575470 90.524 -1.1888
44.898483 90.517 -1.3178
45.223835 90.508 -1.4432
45.551544 90.498 -1.5658
45.881630 90.488 -1.6855
46.214108 90.476 -1.7998
46.548996 90.462 -1.9070
46.886307 90.447 -2.0049
47.226067 90.432 -2.0889
47.568283 90.418 -2.1649
47.912983 90.406 -2.2360
48.260181 90.395 -2.3049
48.609894 90.383 -2.3755
48.962143 90.372 -2.4469
49.316940 90.362 -2.5191
49.674313 90.351 -2.5929
50.034271 90.340 -2.6701
50.396843 90.327 -2.7479
50.762039 90.313 -2.8251
51.129883 90.297 -2.8979
51.500389 90.280 -2.9620
51.873581 90.262 -3.0179
52.249481 90.244 -3.0654
52.628101 90.225 -3.1029
53.009464 90.205 -3.1293
53.393593 90.185 -3.1440
53.780506 90.165 -3.1451
54.170223 90.146 -3.1350
54.562763 90.128 -3.1167
54.958145 90.110 -3.0871
55.356396 90.091 -3.0437
55.757530 90.073 -2.9871
56.161572 90.057 -2.9158
56.568542 90.043 -2.8331
56.978462 90.031 -2.7422
57.391350 90.021 -2.6432
57.807232 90.013 -2.5368
58.226128 90.007 -2.4252
58.648056 90.004 -2.3111
59.073048 90.003 -2.1942
59.501114 90.003 -2.0756
59.932281 90.004 -1.9532
60.366577 90.007 -1.8243
60.804020 90.012 -1.6912
61.244629 90.020 -1.5549
61.688435 90.032 -1.4172
62.135452 90.047 -1.2792
62.585712 90.065 -1.1452
63.039234 90.087 -1.0193
63.496040 90.112 -0.9042
63.956161 90.140 -0.8038
64.419617 90.171 -0.7181
64.886421 90.203 -0.6484
65.356621 90.237 -0.5951
65.830215 90.272 -0.5598
66.307251 90.309 -0.5410
66.787743 90.346 -0.5382
67.271713 90.383 -0.5500
67.759193 90.421 -0.5740
68.250206 90.461 -0.6129
68.744774 90.502 -0.6681
69.242928 90.544 -0.7408
69.744690 90.586 -0.8330
70.250084 90.628 -0.9448
70.759148 90.671 -1.0765
71.271896 90.714 -1.2297
71.788361 90.756 -1.4066
72.308571 90.798 -1.6046
72.832550 90.837 -1.8224
73.360321 90.875 -2.0585
73.891922 90.911 -2.3106
74.427376 90.945 -2.5805
74.966705 90.979 -2.8694
75.509949 91.010 -3.1764
76.057121 91.037 -3.5026
76.608261 91.061 -3.8433
77.163399 91.081 -4.1951
77.722557 91.097 -4.5553
78.285767 91.108 -4.9219
78.853058 91.115 -5.2883
79.424461 91.115 -5.6487
80.000000 91.111 -5.9973
80.579712 91.104 -6.3274
81.163628 91.093 -6.6364
81.751770 91.079 -6.9199
82.344177 91.064 -7.1775
82.940880 91.049 -7.4054
83.541901 91.035 -7.6096
84.147285 91.024 -7.7937
84.757050 91.015 -7.9607
85.371231 91.007 -8.1135
85.989868 91.003 -8.2567
86.612984 91.004 -8.3938
87.240616 91.008 -8.5317
87.872803 91.016 -8.6778
88.509560 91.027 -8.8337
89.150940 91.040 -9.0023
89.796967 91.055 -9.1876
90.447670 91.073 -9.3947
91.103088 91.092 -9.6225
91.763260 91.111 -9.8721
