* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Moondrop venus_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 6:24:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Moondrop venus_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Moondrop venus_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 90.607 -7.4270
5.036232 90.604 -7.4208
5.072727 90.601 -7.4140
5.109486 90.598 -7.4056
5.146511 90.594 -7.3960
5.183805 90.589 -7.3854
5.221369 90.583 -7.3740
5.259205 90.578 -7.3619
5.297316 90.572 -7.3490
5.335702 90.566 -7.3352
5.374367 90.559 -7.3210
5.413311 90.552 -7.3070
5.452538 90.546 -7.2930
5.492050 90.539 -7.2791
5.531847 90.533 -7.2650
5.571934 90.526 -7.2506
5.612310 90.520 -7.2360
5.652979 90.514 -7.2216
5.693943 90.508 -7.2070
5.735204 90.502 -7.1921
5.776763 90.495 -7.1770
5.818624 90.489 -7.1620
5.860788 90.482 -7.1470
5.903258 90.476 -7.1321
5.946035 90.469 -7.1170
5.989123 90.463 -7.1016
6.032523 90.456 -7.0860
6.076237 90.449 -7.0706
6.120268 90.443 -7.0550
6.164618 90.437 -7.0391
6.209289 90.431 -7.0230
6.254284 90.425 -7.0071
6.299605 90.418 -6.9910
6.345255 90.411 -6.9746
6.391235 90.405 -6.9580
6.437549 90.398 -6.9416
6.484198 90.392 -6.9250
6.531185 90.385 -6.9081
6.578513 90.379 -6.8910
6.626183 90.373 -6.8740
6.674199 90.367 -6.8570
6.722563 90.361 -6.8401
6.771278 90.354 -6.8230
6.820345 90.348 -6.8051
6.869768 90.341 -6.7870
6.919549 90.335 -6.7696
6.969691 90.328 -6.7520
7.020196 90.322 -6.7336
7.071068 90.315 -6.7150
7.122308 90.308 -6.6971
7.173919 90.302 -6.6790
7.225904 90.296 -6.6601
7.278266 90.290 -6.6410
7.331007 90.284 -6.6220
7.384131 90.277 -6.6030
7.437639 90.271 -6.5841
7.491535 90.264 -6.5650
7.545822 90.257 -6.5456
7.600502 90.251 -6.5260
7.655579 90.244 -6.5061
7.711054 90.238 -6.4860
7.766932 90.232 -6.4655
7.823214 90.226 -6.4450
7.879904 90.220 -6.4251
7.937005 90.213 -6.4050
7.994520 90.206 -6.3841
8.052452 90.200 -6.3630
8.110803 90.193 -6.3421
8.169578 90.187 -6.3210
8.228777 90.180 -6.2996
8.288406 90.174 -6.2780
8.348468 90.168 -6.2561
8.408964 90.162 -6.2340
8.469899 90.156 -6.2121
8.531276 90.149 -6.1900
8.593097 90.143 -6.1676
8.655366 90.136 -6.1450
8.718086 90.130 -6.1221
8.781260 90.123 -6.0990
8.844893 90.117 -6.0761
8.908987 90.110 -6.0530
8.973545 90.103 -6.0296
9.038571 90.097 -6.0060
9.104069 90.091 -5.9821
9.170040 90.085 -5.9580
9.236490 90.079 -5.9336
9.303422 90.072 -5.9090
9.370838 90.065 -5.8846
9.438744 90.059 -5.8600
9.507140 90.052 -5.8351
9.576033 90.046 -5.8100
9.645425 90.039 -5.7846
9.715320 90.033 -5.7590
9.785721 90.027 -5.7331
9.856632 90.021 -5.7070
9.928058 90.015 -5.6811
10.000000 90.008 -5.6550
10.072464 90.002 -5.6281
10.145453 89.995 -5.6010
10.218971 89.989 -5.5741
10.293022 89.982 -5.5470
10.367610 89.976 -5.5197
10.442738 89.969 -5.4920
10.518411 89.962 -5.4636
10.594631 89.956 -5.4350
10.671404 89.950 -5.4066
10.748734 89.944 -5.3780
10.826623 89.938 -5.3491
10.905077 89.931 -5.3200
10.984100 89.925 -5.2906
11.063695 89.918 -5.2610
11.143867 89.911 -5.2311
11.224621 89.905 -5.2010
11.305959 89.898 -5.1706
11.387886 89.892 -5.1400
11.470407 89.886 -5.1097
11.553527 89.880 -5.0790
11.637249 89.874 -5.0472
11.721577 89.867 -5.0150
11.806517 89.861 -4.9831
11.892071 89.854 -4.9510
11.978246 89.848 -4.9186
12.065045 89.841 -4.8860
12.152473 89.835 -4.8532
12.240536 89.828 -4.8200
12.329235 89.821 -4.7861
12.418578 89.815 -4.7520
12.508568 89.809 -4.7181
12.599211 89.803 -4.6840
12.690510 89.797 -4.6492
12.782471 89.790 -4.6140
12.875097 89.784 -4.5787
12.968395 89.777 -4.5430
13.062370 89.771 -4.5066
13.157025 89.764 -4.4700
13.252366 89.757 -4.4336
13.348398 89.751 -4.3970
13.445127 89.745 -4.3597
13.542556 89.739 -4.3220
13.640691 89.733 -4.2842
13.739536 89.726 -4.2460
13.839099 89.720 -4.2072
13.939383 89.713 -4.1680
14.040393 89.707 -4.1287
14.142136 89.700 -4.0890
14.244616 89.693 -4.0487
14.347837 89.687 -4.0080
14.451808 89.680 -3.9672
14.556532 89.674 -3.9260
14.662014 89.668 -3.8842
14.768262 89.662 -3.8420
14.875278 89.656 -3.7997
14.983070 89.649 -3.7570
15.091644 89.643 -3.7137
15.201005 89.636 -3.6700
15.311157 89.630 -3.6262
15.422109 89.623 -3.5820
15.533863 89.616 -3.5373
15.646428 89.610 -3.4920
15.759809 89.604 -3.4463
15.874010 89.598 -3.4000
15.989040 89.592 -3.3532
16.104904 89.585 -3.3060
16.221605 89.579 -3.2588
16.339155 89.572 -3.2111
16.457554 89.566 -3.1624
16.576813 89.559 -3.1130
16.696936 89.553 -3.0633
16.817928 89.546 -3.0130
16.939798 89.539 -2.9624
17.062551 89.533 -2.9111
17.186193 89.527 -2.8589
17.310732 89.521 -2.8060
17.436172 89.515 -2.7528
17.562521 89.508 -2.6990
17.689787 89.502 -2.6444
17.817974 89.495 -2.5891
17.947090 89.489 -2.5329
18.077143 89.482 -2.4760
18.208138 89.475 -2.4190
18.340080 89.469 -2.3611
18.472980 89.463 -2.3015
18.606844 89.457 -2.2410
18.741676 89.451 -2.1801
18.877487 89.444 -2.1181
19.014280 89.438 -2.0544
19.152065 89.431 -1.9891
19.290850 89.424 -1.9219
19.430639 89.418 -1.8530
19.571442 89.412 -1.7824
19.713264 89.407 -1.7101
19.856115 89.402 -1.6359
20.000000 89.397 -1.5611
20.144928 89.393 -1.4864
20.290907 89.389 -1.4131
20.437943 89.386 -1.3425
20.586044 89.383 -1.2750
20.735220 89.381 -1.2117
20.885475 89.378 -1.1521
21.036821 89.375 -1.0969
21.189262 89.372 -1.0441
21.342808 89.367 -0.9925
21.497467 89.361 -0.9401
21.653246 89.355 -0.8840
21.810154 89.348 -0.8251
21.968201 89.342 -0.7635
22.127390 89.335 -0.6991
22.287735 89.328 -0.6314
22.449242 89.322 -0.5621
22.611917 89.317 -0.4925
22.775772 89.311 -0.4231
22.940815 89.305 -0.3551
23.107054 89.298 -0.2871
23.274498 89.291 -0.2181
23.443153 89.284 -0.1481
23.613033 89.277 -0.0768
23.784142 89.270 -0.0041
23.956491 89.262 0.0696
24.130091 89.253 0.1459
24.304947 89.244 0.2265
24.481071 89.234 0.3109
24.658470 89.225 0.3995
24.837156 89.215 0.4919
25.017136 89.205 0.5863
25.198421 89.194 0.6869
25.381020 89.181 0.7967
25.564941 89.168 0.9179
25.750195 89.155 1.0537
25.936790 89.142 1.2038
26.124741 89.130 1.3694
26.314051 89.120 1.5487
26.504732 89.112 1.7426
26.696796 89.107 1.9447
26.890253 89.107 2.1508
27.085112 89.111 2.3558
27.281382 89.118 2.5540
27.479073 89.127 2.7428
27.678198 89.139 2.9189
27.878765 89.154 3.0778
28.080786 89.171 3.2125
28.284271 89.188 3.3269
28.489231 89.203 3.4212
28.695675 89.216 3.4999
28.903616 89.228 3.5659
29.113064 89.237 3.6239
29.324028 89.244 3.6788
29.536524 89.248 3.7329
29.750557 89.250 3.7899
29.966141 89.251 3.8509
30.183289 89.251 3.9180
30.402010 89.250 3.9919
30.622314 89.249 4.0745
30.844217 89.247 4.1639
31.067726 89.246 4.2596
31.292856 89.245 4.3598
31.519617 89.244 4.4625
31.748020 89.244 4.5679
31.978081 89.244 4.6756
32.209808 89.244 4.7859
32.443211 89.244 4.8984
32.678310 89.244 5.0138
32.915108 89.244 5.1328
33.153625 89.245 5.2549
33.393871 89.246 5.3800
33.635857 89.247 5.5068
33.879597 89.249 5.6347
34.125103 89.253 5.7608
34.372387 89.258 5.8828
34.621464 89.263 5.9988
34.872345 89.268 6.1059
35.125042 89.272 6.2059
35.379574 89.274 6.2987
35.635948 89.274 6.3879
35.894180 89.272 6.4758
36.154285 89.267 6.5659
36.416275 89.259 6.6598
36.680161 89.247 6.7658
36.945961 89.231 6.8910
37.213688 89.211 7.0408
37.483353 89.189 7.2213
37.754974 89.166 7.4366
38.028561 89.141 7.6903
38.304131 89.115 7.9896
38.581699 89.088 8.3425
38.861279 89.063 8.7503
39.142883 89.043 9.2196
39.426529 89.031 9.7422
39.712231 89.028 10.3165
40.000000 89.036 10.9301
40.289856 89.058 11.5764
40.581814 89.096 12.2370
40.875885 89.150 12.8995
41.172089 89.222 13.5391
41.470440 89.313 14.1345
41.770950 89.420 14.6632
42.073643 89.540 15.0967
42.378525 89.669 15.4316
42.685616 89.800 15.6525
42.994934 89.932 15.7679
43.306492 90.060 15.7780
43.620308 90.183 15.6922
43.936401 90.299 15.5136
44.254780 90.405 15.2615
44.575470 90.496 14.9489
44.898483 90.575 14.5976
45.223835 90.642 14.2326
45.551544 90.699 13.8575
45.881630 90.749 13.4839
46.214108 90.791 13.1126
46.548996 90.825 12.7459
46.886307 90.853 12.3906
47.226067 90.874 12.0542
47.568283 90.889 11.7365
47.912983 90.901 11.4387
48.260181 90.909 11.1644
48.609894 90.911 10.9166
48.962143 90.910 10.6983
49.316940 90.907 10.5141
49.674313 90.902 10.3632
50.034271 90.897 10.2467
50.396843 90.892 10.1641
50.762039 90.889 10.1172
51.129883 90.889 10.1000
51.500389 90.894 10.1105
51.873581 90.904 10.1389
52.249481 90.921 10.1782
52.628101 90.944 10.2179
53.009464 90.974 10.2487
53.393593 91.010 10.2610
53.780506 91.052 10.2445
54.170223 91.099 10.1921
54.562763 91.149 10.0931
54.958145 91.199 9.9483
55.356396 91.247 9.7528
55.757530 91.293 9.5134
56.161572 91.334 9.2313
56.568542 91.369 8.9175
56.978462 91.395 8.5799
57.391350 91.413 8.2297
57.807232 91.424 7.8791
58.226128 91.428 7.5336
58.648056 91.426 7.2008
59.073048 91.418 6.8865
59.501114 91.404 6.5990
59.932281 91.387 6.3384
60.366577 91.369 6.1093
60.804020 91.349 5.9073
61.244629 91.329 5.7301
61.688435 91.309 5.5762
62.135452 91.289 5.4452
62.585712 91.271 5.3322
63.039234 91.255 5.2331
63.496040 91.241 5.1451
63.956161 91.227 5.0638
64.419617 91.213 4.9901
64.886421 91.201 4.9245
65.356621 91.190 4.8641
65.830215 91.180 4.8065
66.307251 91.171 4.7511
66.787743 91.162 4.6954
67.271713 91.153 4.6421
67.759193 91.144 4.5935
68.250206 91.135 4.5491
68.744774 91.126 4.5096
69.242928 91.118 4.4741
69.744690 91.110 4.4419
70.250084 91.103 4.4131
70.759148 91.096 4.3874
71.271896 91.090 4.3640
71.788361 91.085 4.3428
72.308571 91.081 4.3210
72.832550 91.078 4.2963
73.360321 91.076 4.2681
73.891922 91.074 4.2342
74.427376 91.071 4.1971
74.966705 91.066 4.1573
75.509949 91.061 4.1181
76.057121 91.055 4.0831
76.608261 91.049 4.0521
77.163399 91.043 4.0260
77.722557 91.036 4.0050
78.285767 91.029 3.9903
78.853058 91.023 3.9800
79.424461 91.018 3.9736
80.000000 91.013 3.9680
80.579712 91.010 3.9599
81.163628 91.008 3.9490
81.751770 91.006 3.9333
82.344177 91.003 3.9150
82.940880 90.999 3.8945
83.541901 90.994 3.8750
84.147285 90.988 3.8601
84.757050 90.981 3.8500
85.371231 90.975 3.8459
85.989868 90.968 3.8480
86.612984 90.961 3.8570
