* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RAAL requisite CA-1a (Open Pads)_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:17:22 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RAAL requisite CA-1a (Open Pads)_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: RAAL requisite CA-1a (Open P
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 75.736 76.3180
5.036232 75.762 76.2959
5.072727 75.790 76.2720
5.109486 75.822 76.2439
5.146511 75.859 76.2120
5.183805 75.904 76.1748
5.221369 75.953 76.1350
5.259205 76.003 76.0958
5.297316 76.056 76.0550
5.335702 76.112 76.0109
5.374367 76.170 75.9660
5.413311 76.227 75.9225
5.452538 76.284 75.8790
5.492050 76.341 75.8346
5.531847 76.398 75.7900
5.571934 76.455 75.7456
5.612310 76.512 75.7010
5.652979 76.568 75.6556
5.693943 76.625 75.6100
5.735204 76.682 75.5646
5.776763 76.739 75.5190
5.818624 76.796 75.4727
5.860788 76.853 75.4260
5.903258 76.910 75.3792
5.946035 76.967 75.3320
5.989123 77.024 75.2842
6.032523 77.081 75.2360
6.076237 77.138 75.1876
6.120268 77.195 75.1390
6.164618 77.252 75.0901
6.209289 77.309 75.0410
6.254284 77.366 74.9917
6.299605 77.423 74.9420
6.345255 77.480 74.8918
6.391235 77.537 74.8410
6.437549 77.594 74.7897
6.484198 77.651 74.7380
6.531185 77.708 74.6861
6.578513 77.765 74.6340
6.626183 77.822 74.5817
6.674199 77.879 74.5290
6.722563 77.936 74.4757
6.771278 77.993 74.4220
6.820345 78.050 74.3682
6.869768 78.107 74.3140
6.919549 78.164 74.2593
6.969691 78.221 74.2040
7.020196 78.277 74.1482
7.071068 78.334 74.0920
7.122308 78.391 74.0357
7.173919 78.448 73.9790
7.225904 78.505 73.9218
7.278266 78.562 73.8640
7.331007 78.619 73.8057
7.384131 78.676 73.7470
7.437639 78.733 73.6882
7.491535 78.790 73.6290
7.545822 78.847 73.5693
7.600502 78.904 73.5090
7.655579 78.961 73.4482
7.711054 79.018 73.3870
7.766932 79.075 73.3258
7.823214 79.132 73.2640
7.879904 79.189 73.2013
7.937005 79.246 73.1380
7.994520 79.303 73.0748
8.052452 79.360 73.0110
8.110803 79.417 72.9463
8.169578 79.474 72.8810
8.228777 79.531 72.8158
8.288406 79.588 72.7500
8.348468 79.645 72.6833
8.408964 79.702 72.6160
8.469899 79.759 72.5487
8.531276 79.816 72.4810
8.593097 79.872 72.4128
8.655366 79.929 72.3440
8.718086 79.986 72.2743
8.781260 80.043 72.2040
8.844893 80.100 72.1332
8.908987 80.157 72.0620
8.973545 80.214 71.9908
9.038571 80.271 71.9190
9.104069 80.328 71.8464
9.170040 80.385 71.7730
9.236490 80.442 71.6988
9.303422 80.499 71.6240
9.370838 80.556 71.5493
9.438744 80.613 71.4740
9.507140 80.670 71.3979
9.576033 80.727 71.3210
9.645425 80.784 71.2433
9.715320 80.841 71.1650
9.785721 80.898 71.0869
9.856632 80.955 71.0080
9.928058 81.012 70.9278
10.000000 81.069 70.8470
10.072464 81.126 70.7664
10.145453 81.183 70.6851
10.218971 81.240 70.6024
10.293022 81.297 70.5190
10.367610 81.354 70.4353
10.442738 81.411 70.3510
10.518411 81.467 70.2658
10.594631 81.524 70.1800
10.671404 81.581 70.0938
10.748734 81.638 70.0070
10.826623 81.695 69.9194
10.905077 81.752 69.8311
10.984100 81.809 69.7419
11.063695 81.866 69.6521
11.143867 81.923 69.5614
11.224621 81.980 69.4700
11.305959 82.037 69.3779
11.387886 82.094 69.2851
11.470407 82.151 69.1914
11.553527 82.208 69.0970
11.637249 82.265 69.0019
11.721577 82.322 68.9061
11.806517 82.379 68.8095
11.892071 82.436 68.7121
11.978246 82.493 68.6140
12.065045 82.550 68.5150
12.152473 82.607 68.4149
12.240536 82.664 68.3140
12.329235 82.721 68.2124
12.418578 82.778 68.1101
12.508568 82.835 68.0070
12.599211 82.892 67.9031
12.690510 82.949 67.7980
12.782471 83.006 67.6921
12.875097 83.063 67.5856
12.968395 83.120 67.4781
13.062370 83.176 67.3690
13.157025 83.233 67.2590
13.252366 83.290 67.1490
13.348398 83.347 67.0381
13.445127 83.404 66.9257
13.542556 83.461 66.8121
13.640691 83.518 66.6975
13.739536 83.575 66.5820
13.839099 83.632 66.4661
13.939383 83.689 66.3491
14.040393 83.746 66.2306
14.142136 83.803 66.1110
14.244616 83.860 65.9905
14.347837 83.917 65.8690
14.451808 83.974 65.7466
14.556532 84.031 65.6231
14.662014 84.088 65.4982
14.768262 84.145 65.3721
14.875278 84.202 65.2452
14.983070 84.259 65.1171
15.091644 84.316 64.9877
15.201005 84.373 64.8571
15.311157 84.430 64.7252
15.422109 84.487 64.5921
15.533863 84.544 64.4582
15.646428 84.601 64.3231
15.759809 84.658 64.1863
15.874010 84.715 64.0481
15.989040 84.771 63.9087
16.104904 84.828 63.7681
16.221605 84.885 63.6263
16.339155 84.942 63.4832
16.457554 84.999 63.3383
16.576813 85.056 63.1921
16.696936 85.113 63.0448
16.817928 85.170 62.8961
16.939798 85.227 62.7459
17.062551 85.284 62.5942
17.186193 85.341 62.4409
17.310732 85.398 62.2861
17.436172 85.455 62.1298
17.562521 85.512 61.9721
17.689787 85.569 61.8130
17.817974 85.626 61.6522
17.947090 85.683 61.4894
18.077143 85.740 61.3251
18.208138 85.797 61.1595
18.340080 85.854 60.9922
18.472980 85.911 60.8229
18.606844 85.968 60.6521
18.741676 86.025 60.4800
18.877487 86.082 60.3062
19.014280 86.139 60.1300
19.152065 86.196 59.9522
19.290850 86.252 59.7732
19.430639 86.309 59.5931
19.571442 86.366 59.4124
19.713264 86.423 59.2312
19.856115 86.479 59.0499
20.000000 86.536 58.8682
20.144928 86.595 58.6870
20.290907 86.654 58.5032
20.437943 86.714 58.3135
20.586044 86.774 58.1191
20.735220 86.834 57.9213
20.885475 86.895 57.7172
21.036821 86.957 57.5045
21.189262 87.020 57.2833
21.342808 87.082 57.0529
21.497467 87.143 56.8143
21.653246 87.204 56.5689
21.810154 87.265 56.3153
21.968201 87.326 56.0516
22.127390 87.386 55.7803
22.287735 87.444 55.5026
22.449242 87.500 55.2202
22.611917 87.556 54.9360
22.775772 87.612 54.6484
22.940815 87.667 54.3564
23.107054 87.721 54.0614
23.274498 87.774 53.7633
23.443153 87.826 53.4654
23.613033 87.876 53.1732
23.784142 87.927 52.8803
23.956491 87.982 52.5831
24.130091 88.037 52.2784
24.304947 88.090 51.9593
24.481071 88.142 51.6324
24.658470 88.192 51.3031
24.837156 88.242 50.9675
25.017136 88.294 50.6242
25.198421 88.345 50.2704
25.381020 88.394 49.9010
25.564941 88.441 49.5214
25.750195 88.484 49.1335
25.936790 88.525 48.7415
26.124741 88.563 48.3493
26.314051 88.598 47.9586
26.504732 88.632 47.5714
26.696796 88.663 47.1895
26.890253 88.691 46.8134
27.085112 88.717 46.4484
27.281382 88.740 46.1016
27.479073 88.763 45.7684
27.678198 88.789 45.4487
27.878765 88.815 45.1374
28.080786 88.841 44.8290
28.284271 88.868 44.5244
28.489231 88.895 44.2249
28.695675 88.924 43.9244
28.903616 88.955 43.6169
29.113064 88.986 43.3035
29.324028 89.014 42.9820
29.536524 89.041 42.6564
29.750557 89.068 42.3308
29.966141 89.094 42.0024
30.183289 89.120 41.6681
30.402010 89.144 41.3324
30.622314 89.164 40.9980
30.844217 89.182 40.6674
31.067726 89.200 40.3449
31.292856 89.218 40.0285
31.519617 89.234 39.7159
31.748020 89.249 39.4114
31.978081 89.262 39.1184
32.209808 89.275 38.8364
32.443211 89.289 38.5677
32.678310 89.304 38.3063
32.915108 89.321 38.0485
33.153625 89.340 37.7903
33.393871 89.359 37.5257
33.635857 89.379 37.2574
33.879597 89.397 36.9865
34.125103 89.415 36.7124
34.372387 89.433 36.4345
34.621464 89.450 36.1544
34.872345 89.465 35.8720
35.125042 89.479 35.5923
35.379574 89.491 35.3209
35.635948 89.502 35.0563
35.894180 89.514 34.7999
36.154285 89.527 34.5494
36.416275 89.539 34.3042
36.680161 89.552 34.0604
36.945961 89.568 33.8141
37.213688 89.584 33.5644
37.483353 89.599 33.3074
37.754974 89.613 33.0474
38.028561 89.625 32.7869
38.304131 89.636 32.5273
38.581699 89.647 32.2715
38.861279 89.658 32.0184
39.142883 89.668 31.7685
39.426529 89.678 31.5203
39.712231 89.688 31.2727
40.000000 89.698 31.0254
40.289856 89.707 30.7779
40.581814 89.716 30.5304
40.875885 89.725 30.2825
41.172089 89.733 30.0344
41.470440 89.740 29.7844
41.770950 89.745 29.5374
42.073643 89.748 29.2974
42.378525 89.750 29.0653
42.685616 89.751 28.8440
42.994934 89.753 28.6323
43.306492 89.755 28.4309
43.620308 89.758 28.2373
43.936401 89.762 28.0507
44.254780 89.768 27.8663
44.575470 89.776 27.6789
44.898483 89.784 27.4883
45.223835 89.792 27.2923
45.551544 89.801 27.0913
45.881630 89.810 26.8848
46.214108 89.818 26.6733
46.548996 89.825 26.4560
46.886307 89.831 26.2364
47.226067 89.835 26.0172
47.568283 89.837 25.8004
47.912983 89.839 25.5889
48.260181 89.840 25.3823
48.609894 89.840 25.1813
48.962143 89.840 24.9853
49.316940 89.840 24.7942
49.674313 89.840 24.6073
50.034271 89.840 24.4241
50.396843 89.840 24.2443
50.762039 89.840 24.0675
51.129883 89.840 23.8933
51.500389 89.840 23.7212
51.873581 89.840 23.5513
52.249481 89.840 23.3839
52.628101 89.840 23.2183
53.009464 89.840 23.0536
53.393593 89.840 22.8903
53.780506 89.840 22.7286
54.170223 89.840 22.5683
54.562763 89.840 22.4089
54.958145 89.840 22.2503
55.356396 89.840 22.0923
55.757530 89.840 21.9342
56.161572 89.840 21.7758
56.568542 89.840 21.6163
56.978462 89.840 21.4548
57.391350 89.840 21.2913
57.807232 89.839 21.1251
58.226128 89.838 20.9563
58.648056 89.837 20.7843
59.073048 89.834 20.6113
59.501114 89.829 20.4379
59.932281 89.822 20.2673
60.366577 89.814 20.1035
60.804020 89.805 19.9453
61.244629 89.796 19.7930
61.688435 89.786 19.6462
62.135452 89.775 19.5043
62.585712 89.764 19.3682
63.039234 89.752 19.2392
63.496040 89.740 19.1162
63.956161 89.728 18.9991
64.419617 89.716 18.8862
64.886421 89.704 18.7749
65.356621 89.692 18.6672
65.830215 89.678 18.5629
66.307251 89.663 18.4652
66.787743 89.647 18.3790
67.271713 89.632 18.2991
67.759193 89.619 18.2219
68.250206 89.606 18.1481
68.744774 89.590 18.0766
69.242928 89.573 18.0101
69.744690 89.556 17.9520
70.250084 89.539 17.9001
70.759148 89.521 17.8525
71.271896 89.503 17.8121
71.788361 89.483 17.7804
72.308571 89.462 17.7590
72.832550 89.441 17.7500
73.360321 89.419 17.7530
73.891922 89.398 17.7681
74.427376 89.376 17.7959
74.966705 89.354 17.8368
75.509949 89.332 17.8909
76.057121 89.310 17.9590
76.608261 89.289 18.0398
77.163399 89.269 18.1322
77.722557 89.249 18.2368
78.285767 89.230 18.3539
78.853058 89.211 18.4837
79.424461 89.193 18.6261
80.000000 89.175 18.7817
80.579712 89.158 18.9503
81.163628 89.141 19.1346
81.751770 89.124 19.3375
82.344177 89.108 19.5585
82.940880 89.095 19.7988
83.541901 89.083 20.0575
84.147285 89.072 20.3331
84.757050 89.063 20.6284
85.371231 89.055 20.9457
85.989868 89.050 21.2853
86.612984 89.048 21.6471
87.240616 89.048 22.0342
87.872803 89.051 22.4494
88.509560 89.058 22.8941
89.150940 89.070 23.3724
89.796967 89.090 23.8789
90.447670 89.118 24.4122
91.103088 89.156 24.9638
91.763260 89.205 25.5283
92.428215 89.265 26.0958
93.097992 89.338 26.6592
93.772614 89.423 27.2049
94.452133 89.522 27.7198
95.136566 89.633 28.1960
95.825966 89.753 28.6248
