* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RAAL requisite CA-1a (Sealed Pads)_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:17:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\RAAL requisite CA-1a (Sealed Pads)_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: RAAL requisite CA-1a (Sealed
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 93.416 10.4170
5.036232 93.420 10.4073
5.072727 93.425 10.3970
5.109486 93.430 10.3854
5.146511 93.436 10.3720
5.183805 93.443 10.3558
5.221369 93.451 10.3380
5.259205 93.459 10.3200
5.297316 93.467 10.3010
5.335702 93.476 10.2803
5.374367 93.486 10.2590
5.413311 93.495 10.2385
5.452538 93.504 10.2180
5.492050 93.513 10.1971
5.531847 93.522 10.1760
5.571934 93.531 10.1546
5.612310 93.540 10.1330
5.652979 93.549 10.1116
5.693943 93.558 10.0900
5.735204 93.567 10.0681
5.776763 93.577 10.0460
5.818624 93.586 10.0236
5.860788 93.595 10.0010
5.903258 93.604 9.9786
5.946035 93.613 9.9560
5.989123 93.622 9.9331
6.032523 93.631 9.9100
6.076237 93.640 9.8871
6.120268 93.649 9.8640
6.164618 93.659 9.8406
6.209289 93.668 9.8170
6.254284 93.677 9.7931
6.299605 93.686 9.7690
6.345255 93.695 9.7446
6.391235 93.704 9.7200
6.437549 93.713 9.6956
6.484198 93.722 9.6710
6.531185 93.731 9.6461
6.578513 93.740 9.6210
6.626183 93.749 9.5956
6.674199 93.758 9.5700
6.722563 93.768 9.5441
6.771278 93.777 9.5180
6.820345 93.786 9.4921
6.869768 93.795 9.4660
6.919549 93.804 9.4396
6.969691 93.813 9.4130
7.020196 93.822 9.3861
7.071068 93.831 9.3590
7.122308 93.840 9.3316
7.173919 93.849 9.3040
7.225904 93.858 9.2766
7.278266 93.868 9.2490
7.331007 93.877 9.2206
7.384131 93.886 9.1920
7.437639 93.895 9.1636
7.491535 93.904 9.1350
7.545822 93.913 9.1061
7.600502 93.922 9.0770
7.655579 93.931 9.0476
7.711054 93.940 9.0180
7.766932 93.950 8.9881
7.823214 93.959 8.9580
7.879904 93.968 8.9276
7.937005 93.977 8.8970
7.994520 93.986 8.8661
8.052452 93.995 8.8350
8.110803 94.004 8.8036
8.169578 94.013 8.7720
8.228777 94.022 8.7401
8.288406 94.031 8.7080
8.348468 94.040 8.6761
8.408964 94.050 8.6440
8.469899 94.059 8.6112
8.531276 94.068 8.5780
8.593097 94.077 8.5446
8.655366 94.086 8.5110
8.718086 94.095 8.4771
8.781260 94.104 8.4430
8.844893 94.113 8.4086
8.908987 94.122 8.3740
8.973545 94.132 8.3391
9.038571 94.141 8.3040
9.104069 94.150 8.2686
9.170040 94.159 8.2330
9.236490 94.168 8.1971
9.303422 94.177 8.1610
9.370838 94.186 8.1247
9.438744 94.195 8.0880
9.507140 94.204 8.0507
9.576033 94.213 8.0130
9.645425 94.222 7.9751
9.715320 94.232 7.9370
9.785721 94.241 7.8986
9.856632 94.250 7.8600
9.928058 94.259 7.8211
10.000000 94.268 7.7820
10.072464 94.277 7.7427
10.145453 94.286 7.7030
10.218971 94.295 7.6627
10.293022 94.304 7.6220
10.367610 94.313 7.5811
10.442738 94.323 7.5400
10.518411 94.332 7.4987
10.594631 94.341 7.4570
10.671404 94.350 7.4147
10.748734 94.359 7.3720
10.826623 94.368 7.3292
10.905077 94.377 7.2860
10.984100 94.386 7.2422
11.063695 94.395 7.1980
11.143867 94.404 7.1536
11.224621 94.414 7.1090
11.305959 94.423 7.0642
11.387886 94.432 7.0190
11.470407 94.441 6.9733
11.553527 94.450 6.9270
11.637249 94.459 6.8802
11.721577 94.468 6.8330
11.806517 94.477 6.7857
11.892071 94.486 6.7380
11.978246 94.495 6.6897
12.065045 94.505 6.6410
12.152473 94.514 6.5922
12.240536 94.523 6.5430
12.329235 94.532 6.4933
12.418578 94.541 6.4430
12.508568 94.550 6.3922
12.599211 94.559 6.3410
12.690510 94.568 6.2898
12.782471 94.577 6.2381
12.875097 94.586 6.1853
12.968395 94.596 6.1320
13.062370 94.605 6.0787
13.157025 94.614 6.0250
13.252366 94.623 5.9708
13.348398 94.632 5.9160
13.445127 94.641 5.8608
13.542556 94.650 5.8051
13.640691 94.659 5.7488
13.739536 94.668 5.6920
13.839099 94.677 5.6348
13.939383 94.687 5.5771
14.040393 94.696 5.5188
14.142136 94.705 5.4600
14.244616 94.714 5.4008
14.347837 94.723 5.3410
14.451808 94.732 5.2808
14.556532 94.741 5.2200
14.662014 94.750 5.1583
14.768262 94.759 5.0961
14.875278 94.768 5.0339
14.983070 94.778 4.9711
15.091644 94.787 4.9069
15.201005 94.796 4.8420
15.311157 94.805 4.7774
15.422109 94.814 4.7120
15.533863 94.823 4.6454
15.646428 94.832 4.5780
15.759809 94.841 4.5108
15.874010 94.850 4.4430
15.989040 94.859 4.3744
16.104904 94.868 4.3051
16.221605 94.877 4.2350
16.339155 94.887 4.1641
16.457554 94.896 4.0924
16.576813 94.905 4.0201
16.696936 94.914 3.9474
16.817928 94.923 3.8740
16.939798 94.932 3.7999
17.062551 94.941 3.7251
17.186193 94.950 3.6494
17.310732 94.959 3.5730
17.436172 94.968 3.4964
17.562521 94.978 3.4191
17.689787 94.987 3.3410
17.817974 94.996 3.2621
17.947090 95.005 3.1819
18.077143 95.014 3.1010
18.208138 95.023 3.0204
18.340080 95.032 2.9391
18.472980 95.041 2.8564
18.606844 95.050 2.7730
18.741676 95.059 2.6898
18.877487 95.069 2.6061
19.014280 95.078 2.5212
19.152065 95.087 2.4361
19.290850 95.096 2.3518
19.430639 95.105 2.2681
19.571442 95.114 2.1850
19.713264 95.124 2.1031
19.856115 95.133 2.0237
20.000000 95.143 1.9451
20.144928 95.154 1.8668
20.290907 95.167 1.7861
20.437943 95.181 1.6999
20.586044 95.196 1.6081
20.735220 95.211 1.5100
20.885475 95.227 1.4031
21.036821 95.244 1.2841
21.189262 95.261 1.1542
21.342808 95.276 1.0121
21.497467 95.290 0.8622
21.653246 95.302 0.7076
21.810154 95.313 0.5502
21.968201 95.323 0.3930
22.127390 95.332 0.2362
22.287735 95.340 0.0813
22.449242 95.348 -0.0729
22.611917 95.357 -0.2265
22.775772 95.366 -0.3818
22.940815 95.375 -0.5411
23.107054 95.383 -0.7048
23.274498 95.392 -0.8741
23.443153 95.400 -1.0488
23.613033 95.408 -1.2298
23.784142 95.414 -1.4148
23.956491 95.419 -1.6027
24.130091 95.422 -1.7908
24.304947 95.424 -1.9760
24.481071 95.425 -2.1588
24.658470 95.426 -2.3386
24.837156 95.426 -2.5158
25.017136 95.426 -2.6902
25.198421 95.426 -2.8628
25.381020 95.426 -3.0345
25.564941 95.426 -3.2058
25.750195 95.426 -3.3775
25.936790 95.426 -3.5498
26.124741 95.426 -3.7228
26.314051 95.426 -3.8977
26.504732 95.426 -4.0756
26.696796 95.426 -4.2568
26.890253 95.426 -4.4422
27.085112 95.425 -4.6318
27.281382 95.424 -4.8259
27.479073 95.422 -5.0247
27.678198 95.420 -5.2296
27.878765 95.416 -5.4377
28.080786 95.410 -5.6475
28.284271 95.403 -5.8567
28.489231 95.394 -6.0622
28.695675 95.384 -6.2647
28.903616 95.374 -6.4650
29.113064 95.362 -6.6607
29.324028 95.348 -6.8503
29.536524 95.334 -7.0328
29.750557 95.320 -7.2054
29.966141 95.307 -7.3728
30.183289 95.295 -7.5379
30.402010 95.284 -7.7028
30.622314 95.272 -7.8715
30.844217 95.260 -8.0418
31.067726 95.247 -8.2125
31.292856 95.234 -8.3837
31.519617 95.221 -8.5555
31.748020 95.208 -8.7278
31.978081 95.193 -8.9020
32.209808 95.177 -9.0738
32.443211 95.159 -9.2386
32.678310 95.141 -9.3988
32.915108 95.124 -9.5547
33.153625 95.107 -9.7078
33.393871 95.089 -9.8603
33.635857 95.071 -10.0108
33.879597 95.053 -10.1578
34.125103 95.035 -10.3038
34.372387 95.017 -10.4512
34.621464 94.999 -10.5978
34.872345 94.979 -10.7431
35.125042 94.959 -10.8848
35.379574 94.938 -11.0200
35.635948 94.917 -11.1498
35.894180 94.896 -11.2740
36.154285 94.875 -11.3938
36.416275 94.855 -11.5104
36.680161 94.835 -11.6248
36.945961 94.815 -11.7383
37.213688 94.796 -11.8518
37.483353 94.778 -11.9663
37.754974 94.760 -12.0828
38.028561 94.742 -12.2033
38.304131 94.723 -12.3258
38.581699 94.704 -12.4494
38.861279 94.684 -12.5738
39.142883 94.664 -12.6983
39.426529 94.643 -12.8228
39.712231 94.621 -12.9479
40.000000 94.599 -13.0718
40.289856 94.576 -13.1930
40.581814 94.553 -13.3108
40.875885 94.528 -13.4241
41.172089 94.503 -13.5328
41.470440 94.479 -13.6353
41.770950 94.455 -13.7348
42.073643 94.432 -13.8343
42.378525 94.408 -13.9329
42.685616 94.384 -14.0309
42.994934 94.359 -14.1279
43.306492 94.335 -14.2229
43.620308 94.311 -14.3179
43.936401 94.287 -14.4147
44.254780 94.263 -14.5128
44.575470 94.238 -14.6138
44.898483 94.211 -14.7128
45.223835 94.182 -14.8052
45.551544 94.153 -14.8919
45.881630 94.125 -14.9715
46.214108 94.097 -15.0469
46.548996 94.069 -15.1213
46.886307 94.040 -15.1919
47.226067 94.010 -15.2566
47.568283 93.981 -15.3169
47.912983 93.954 -15.3725
48.260181 93.927 -15.4259
48.609894 93.899 -15.4806
48.962143 93.871 -15.5339
49.316940 93.843 -15.5834
49.674313 93.816 -15.6319
50.034271 93.790 -15.6819
50.396843 93.764 -15.7329
50.762039 93.737 -15.7855
51.129883 93.710 -15.8399
51.500389 93.684 -15.8963
51.873581 93.657 -15.9549
52.249481 93.629 -16.0175
52.628101 93.599 -16.0799
53.009464 93.568 -16.1393
53.393593 93.536 -16.1939
53.780506 93.503 -16.2409
54.170223 93.469 -16.2809
54.562763 93.435 -16.3136
54.958145 93.402 -16.3400
55.356396 93.369 -16.3607
55.757530 93.336 -16.3760
56.161572 93.303 -16.3853
56.568542 93.270 -16.3920
56.978462 93.239 -16.3982
57.391350 93.209 -16.4070
57.807232 93.179 -16.4234
58.226128 93.149 -16.4430
58.648056 93.116 -16.4634
59.073048 93.082 -16.4830
59.501114 93.048 -16.4993
59.932281 93.013 -16.5120
60.366577 92.976 -16.5211
60.804020 92.937 -16.5230
61.244629 92.898 -16.5143
61.688435 92.858 -16.4950
62.135452 92.818 -16.4634
62.585712 92.778 -16.4221
63.039234 92.740 -16.3721
63.496040 92.702 -16.3171
63.956161 92.666 -16.2611
64.419617 92.630 -16.2041
64.886421 92.594 -16.1478
65.356621 92.557 -16.0911
65.830215 92.521 -16.0336
66.307251 92.484 -15.9751
66.787743 92.446 -15.9167
67.271713 92.406 -15.8541
67.759193 92.365 -15.7836
68.250206 92.322 -15.7042
68.744774 92.279 -15.6132
69.242928 92.235 -15.5112
69.744690 92.191 -15.3979
70.250084 92.147 -15.2733
70.759148 92.103 -15.1370
71.271896 92.058 -14.9893
71.788361 92.014 -14.8307
72.308571 91.970 -14.6603
72.832550 91.926 -14.4777
73.360321 91.881 -14.2824
73.891922 91.837 -14.0743
74.427376 91.793 -13.8524
74.966705 91.750 -13.6155
75.509949 91.707 -13.3645
76.057121 91.666 -13.0998
76.608261 91.626 -12.8226
77.163399 91.587 -12.5344
77.722557 91.548 -12.2336
78.285767 91.511 -11.9188
78.853058 91.474 -11.5907
79.424461 91.439 -11.2501
80.000000 91.404 -10.8947
80.579712 91.369 -10.5229
81.163628 91.336 -10.1328
81.751770 91.304 -9.7209
82.344177 91.275 -9.2899
82.940880 91.249 -8.8421
83.541901 91.224 -8.3749
84.147285 91.200 -7.8878
84.757050 91.178 -7.3770
85.371231 91.160 -6.8379
85.989868 91.146 -6.2722
86.612984 91.136 -5.6805
