* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\raal sr1a_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:19:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\raal sr1a_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: raal sr1a_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 63.072 60.7320
5.036232 63.091 60.7247
5.072727 63.112 60.7170
5.109486 63.137 60.7085
5.146511 63.165 60.6990
5.183805 63.199 60.6876
5.221369 63.236 60.6760
5.259205 63.274 60.6659
5.297316 63.314 60.6560
5.335702 63.356 60.6450
5.374367 63.400 60.6340
5.413311 63.443 60.6239
5.452538 63.486 60.6140
5.492050 63.529 60.6040
5.531847 63.573 60.5940
5.571934 63.616 60.5840
5.612310 63.659 60.5740
5.652979 63.702 60.5641
5.693943 63.745 60.5540
5.735204 63.788 60.5435
5.776763 63.831 60.5330
5.818624 63.874 60.5230
5.860788 63.918 60.5130
5.903258 63.961 60.5026
5.946035 64.004 60.4920
5.989123 64.047 60.4815
6.032523 64.090 60.4710
6.076237 64.133 60.4606
6.120268 64.176 60.4500
6.164618 64.219 60.4390
6.209289 64.263 60.4280
6.254284 64.306 60.4175
6.299605 64.349 60.4070
6.345255 64.392 60.3961
6.391235 64.435 60.3850
6.437549 64.478 60.3735
6.484198 64.521 60.3620
6.531185 64.564 60.3510
6.578513 64.608 60.3400
6.626183 64.651 60.3285
6.674199 64.694 60.3170
6.722563 64.737 60.3061
6.771278 64.780 60.2950
6.820345 64.823 60.2831
6.869768 64.866 60.2710
6.919549 64.909 60.2595
6.969691 64.953 60.2480
7.020196 64.996 60.2361
7.071068 65.039 60.2240
7.122308 65.082 60.2120
7.173919 65.125 60.2000
7.225904 65.168 60.1881
7.278266 65.212 60.1760
7.331007 65.255 60.1635
7.384131 65.298 60.1510
7.437639 65.341 60.1390
7.491535 65.384 60.1270
7.545822 65.427 60.1146
7.600502 65.470 60.1020
7.655579 65.513 60.0890
7.711054 65.557 60.0760
7.766932 65.600 60.0635
7.823214 65.643 60.0510
7.879904 65.686 60.0381
7.937005 65.729 60.0250
7.994520 65.772 60.0115
8.052452 65.815 59.9980
8.110803 65.858 59.9850
8.169578 65.902 59.9720
8.228777 65.945 59.9586
8.288406 65.988 59.9450
8.348468 66.031 59.9310
8.408964 66.074 59.9170
8.469899 66.117 59.9035
8.531276 66.160 59.8900
8.593097 66.203 59.8761
8.655366 66.247 59.8620
8.718086 66.290 59.8481
8.781260 66.333 59.8340
8.844893 66.376 59.8196
8.908987 66.419 59.8050
8.973545 66.462 59.7905
9.038571 66.505 59.7760
9.104069 66.548 59.7616
9.170040 66.592 59.7470
9.236490 66.635 59.7321
9.303422 66.678 59.7170
9.370838 66.721 59.7020
9.438744 66.764 59.6870
9.507140 66.807 59.6721
9.576033 66.851 59.6570
9.645425 66.894 59.6416
9.715320 66.937 59.6260
9.785721 66.980 59.6105
9.856632 67.023 59.5950
9.928058 67.066 59.5796
10.000000 67.109 59.5640
10.072464 67.152 59.5481
10.145453 67.196 59.5320
10.218971 67.239 59.5160
10.293022 67.282 59.5000
10.367610 67.325 59.4841
10.442738 67.368 59.4680
10.518411 67.411 59.4516
10.594631 67.454 59.4350
10.671404 67.497 59.4185
10.748734 67.541 59.4020
10.826623 67.584 59.3856
10.905077 67.627 59.3690
10.984100 67.670 59.3521
11.063695 67.713 59.3350
11.143867 67.756 59.3181
11.224621 67.799 59.3010
11.305959 67.842 59.2835
11.387886 67.886 59.2660
11.470407 67.929 59.2490
11.553527 67.972 59.2320
11.637249 68.015 59.2146
11.721577 68.058 59.1970
11.806517 68.101 59.1791
11.892071 68.144 59.1610
11.978246 68.187 59.1430
12.065045 68.231 59.1250
12.152473 68.274 59.1070
12.240536 68.317 59.0890
12.329235 68.360 59.0711
12.418578 68.403 59.0530
12.508568 68.446 59.0346
12.599211 68.490 59.0160
12.690510 68.533 58.9975
12.782471 68.576 58.9790
12.875097 68.619 58.9606
12.968395 68.662 58.9420
13.062370 68.705 58.9231
13.157025 68.748 58.9040
13.252366 68.791 58.8850
13.348398 68.835 58.8660
13.445127 68.878 58.8470
13.542556 68.921 58.8280
13.640691 68.964 58.8091
13.739536 69.007 58.7900
13.839099 69.050 58.7705
13.939383 69.093 58.7510
14.040393 69.136 58.7320
14.142136 69.180 58.7130
14.244616 69.223 58.6936
14.347837 69.266 58.6740
14.451808 69.309 58.6545
14.556532 69.352 58.6350
14.662014 69.395 58.6155
14.768262 69.438 58.5960
14.875278 69.481 58.5765
14.983070 69.525 58.5570
15.091644 69.568 58.5375
15.201005 69.611 58.5180
15.311157 69.654 58.4985
15.422109 69.697 58.4790
15.533863 69.740 58.4595
15.646428 69.784 58.4400
15.759809 69.827 58.4205
15.874010 69.870 58.4010
15.989040 69.913 58.3815
16.104904 69.956 58.3620
16.221605 69.999 58.3430
16.339155 70.042 58.3240
16.457554 70.085 58.3050
16.576813 70.129 58.2860
16.696936 70.172 58.2674
16.817928 70.215 58.2490
16.939798 70.258 58.2309
17.062551 70.301 58.2130
17.186193 70.344 58.1954
17.310732 70.387 58.1780
17.436172 70.430 58.1608
17.562521 70.474 58.1440
17.689787 70.517 58.1278
17.817974 70.560 58.1120
17.947090 70.603 58.0968
18.077143 70.646 58.0820
18.208138 70.689 58.0676
18.340080 70.732 58.0540
18.472980 70.775 58.0414
18.606844 70.819 58.0300
18.741676 70.862 58.0198
18.877487 70.905 58.0110
19.014280 70.948 58.0039
19.152065 70.991 57.9990
19.290850 71.034 57.9964
19.430639 71.077 57.9980
19.571442 71.120 58.0054
19.713264 71.164 58.0190
19.856115 71.208 58.0405
20.000000 71.254 58.0680
20.144928 71.303 58.1023
20.290907 71.355 58.1360
20.437943 71.411 58.1662
20.586044 71.472 58.1790
20.735220 71.539 58.1605
20.885475 71.607 58.1081
21.036821 71.673 58.0117
21.189262 71.736 57.8792
21.342808 71.794 57.7111
21.497467 71.845 57.5193
21.653246 71.888 57.3088
21.810154 71.921 57.1003
21.968201 71.942 56.9102
22.127390 71.954 56.7551
22.287735 71.960 56.6566
22.449242 71.962 56.6160
22.611917 71.964 56.6446
22.775772 71.968 56.7339
22.940815 71.977 56.8851
23.107054 71.994 57.0807
23.274498 72.022 57.3074
23.443153 72.060 57.5527
23.613033 72.105 57.8012
23.784142 72.158 58.0478
23.956491 72.218 58.2846
24.130091 72.286 58.5048
24.304947 72.360 58.6990
24.481071 72.439 58.8668
24.658470 72.520 59.0045
24.837156 72.605 59.1129
25.017136 72.692 59.1934
25.198421 72.783 59.2400
25.381020 72.877 59.2474
25.564941 72.972 59.2150
25.750195 73.065 59.1395
25.936790 73.156 59.0232
26.124741 73.246 58.8648
26.314051 73.332 58.6713
26.504732 73.410 58.4443
26.696796 73.481 58.1983
26.890253 73.544 57.9460
27.085112 73.601 57.6953
27.281382 73.653 57.4565
27.479073 73.700 57.2343
27.678198 73.743 57.0365
27.878765 73.783 56.8642
28.080786 73.823 56.7239
28.284271 73.865 56.6071
28.489231 73.910 56.5103
28.695675 73.957 56.4251
28.903616 74.008 56.3429
29.113064 74.061 56.2611
29.324028 74.116 56.1744
29.536524 74.172 56.0821
29.750557 74.229 55.9816
29.966141 74.287 55.8741
30.183289 74.345 55.7595
30.402010 74.403 55.6391
30.622314 74.461 55.5146
30.844217 74.520 55.3852
31.067726 74.579 55.2521
31.292856 74.639 55.1112
31.519617 74.701 54.9601
31.748020 74.764 54.7952
31.978081 74.827 54.6124
32.209808 74.890 54.4113
32.443211 74.952 54.1889
32.678310 75.011 53.9493
32.915108 75.067 53.6936
33.153625 75.119 53.4283
33.393871 75.167 53.1579
33.635857 75.210 52.8894
33.879597 75.249 52.6302
34.125103 75.285 52.3843
34.372387 75.318 52.1587
34.621464 75.351 51.9513
34.872345 75.384 51.7639
35.125042 75.419 51.5912
35.379574 75.455 51.4296
35.635948 75.493 51.2752
35.894180 75.533 51.1245
36.154285 75.574 50.9722
36.416275 75.618 50.8125
36.680161 75.663 50.6443
36.945961 75.707 50.4632
37.213688 75.751 50.2733
37.483353 75.793 50.0756
37.754974 75.833 49.8753
38.028561 75.870 49.6773
38.304131 75.906 49.4843
38.581699 75.941 49.3010
38.861279 75.976 49.1263
39.142883 76.011 48.9615
39.426529 76.047 48.8032
39.712231 76.086 48.6504
40.000000 76.126 48.4962
40.289856 76.168 48.3341
40.581814 76.212 48.1623
40.875885 76.256 47.9765
41.172089 76.300 47.7783
41.470440 76.342 47.5665
41.770950 76.383 47.3454
42.073643 76.421 47.1179
42.378525 76.457 46.8873
42.685616 76.490 46.6571
42.994934 76.522 46.4293
43.306492 76.552 46.2068
43.620308 76.581 45.9903
43.936401 76.609 45.7824
44.254780 76.636 45.5803
44.575470 76.665 45.3826
44.898483 76.693 45.1883
45.223835 76.720 44.9953
45.551544 76.746 44.8063
45.881630 76.771 44.6236
46.214108 76.796 44.4453
46.548996 76.822 44.2699
46.886307 76.848 44.0973
47.226067 76.873 43.9259
47.568283 76.897 43.7583
47.912983 76.921 43.5968
48.260181 76.945 43.4403
48.609894 76.969 43.2875
48.962143 76.993 43.1402
49.316940 77.016 42.9995
49.674313 77.039 42.8652
50.034271 77.063 42.7388
50.396843 77.088 42.6172
50.762039 77.114 42.4980
51.129883 77.141 42.3802
51.500389 77.169 42.2620
51.873581 77.197 42.1432
52.249481 77.226 42.0235
52.628101 77.256 41.9012
53.009464 77.286 41.7742
53.393593 77.316 41.6442
53.780506 77.345 41.5113
54.170223 77.373 41.3792
54.562763 77.400 41.2526
54.958145 77.428 41.1292
55.356396 77.457 41.0080
55.757530 77.486 40.8892
56.161572 77.514 40.7722
56.568542 77.543 40.6582
56.978462 77.573 40.5501
57.391350 77.605 40.4422
57.807232 77.639 40.3303
58.226128 77.674 40.2122
58.648056 77.710 40.0836
59.073048 77.746 39.9462
59.501114 77.782 39.8003
59.932281 77.817 39.6463
60.366577 77.851 39.4840
60.804020 77.885 39.3153
61.244629 77.918 39.1411
61.688435 77.949 38.9643
62.135452 77.978 38.7877
62.585712 78.006 38.6133
63.039234 78.033 38.4455
63.496040 78.060 38.2803
63.956161 78.089 38.1147
64.419617 78.117 37.9493
64.886421 78.144 37.7832
65.356621 78.170 37.6173
65.830215 78.196 37.4526
66.307251 78.222 37.2883
66.787743 78.247 37.1229
67.271713 78.271 36.9603
67.759193 78.294 36.8035
68.250206 78.316 36.6533
68.744774 78.338 36.5113
69.242928 78.360 36.3772
69.744690 78.382 36.2519
70.250084 78.406 36.1332
70.759148 78.431 36.0211
71.271896 78.458 35.9112
71.788361 78.487 35.7997
72.308571 78.517 35.6852
72.832550 78.549 35.5651
73.360321 78.581 35.4392
73.891922 78.614 35.3065
74.427376 78.647 35.1673
74.966705 78.680 35.0214
75.509949 78.713 34.8693
76.057121 78.746 34.7108
76.608261 78.779 34.5473
77.163399 78.811 34.3800
77.722557 78.843 34.2094
78.285767 78.875 34.0367
78.853058 78.907 33.8604
79.424461 78.939 33.6780
80.000000 78.971 33.4924
80.579712 79.001 33.3059
81.163628 79.031 33.1174
81.751770 79.062 32.9265
82.344177 79.094 32.7324
82.940880 79.125 32.5342
83.541901 79.156 32.3314
84.147285 79.188 32.1245
84.757050 79.220 31.9104
85.371231 79.253 31.6860
85.989868 79.285 31.4515
86.612984 79.316 31.2059
87.240616 79.346 30.9495
87.872803 79.376 30.6817
88.509560 79.405 30.4036
89.150940 79.430 30.1142
89.796967 79.453 29.8196
90.447670 79.473 29.5251
91.103088 79.490 29.2316
91.763260 79.506 28.9415
92.428215 79.520 28.6556
93.097992 79.532 28.3751
93.772614 79.542 28.1006
94.452133 79.552 27.8338
95.136566 79.561 27.5725
95.825966 79.570 27.3154
96.520363 79.578 27.0616
97.219788 79.586 26.8099
