* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Rode nth-100_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 15, 2023 12:30:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\Rode nth-100_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: Rode nth-100_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 83.554 68.8460
5.036232 83.577 68.8282
5.072727 83.602 68.8090
5.109486 83.631 68.7866
5.146511 83.664 68.7610
5.183805 83.704 68.7305
5.221369 83.747 68.6980
5.259205 83.792 68.6664
5.297316 83.840 68.6340
5.335702 83.890 68.5993
5.374367 83.941 68.5640
5.413311 83.992 68.5295
5.452538 84.043 68.4950
5.492050 84.094 68.4601
5.531847 84.145 68.4250
5.571934 84.196 68.3901
5.612310 84.247 68.3550
5.652979 84.298 68.3191
5.693943 84.349 68.2830
5.735204 84.400 68.2471
5.776763 84.451 68.2110
5.818624 84.502 68.1741
5.860788 84.553 68.1370
5.903258 84.604 68.1001
5.946035 84.655 68.0630
5.989123 84.706 68.0256
6.032523 84.757 67.9880
6.076237 84.808 67.9502
6.120268 84.859 67.9120
6.164618 84.910 67.8731
6.209289 84.961 67.8340
6.254284 85.012 67.7951
6.299605 85.063 67.7560
6.345255 85.114 67.7161
6.391235 85.165 67.6760
6.437549 85.215 67.6361
6.484198 85.266 67.5960
6.531185 85.317 67.5552
6.578513 85.368 67.5140
6.626183 85.419 67.4726
6.674199 85.470 67.4310
6.722563 85.521 67.3891
6.771278 85.572 67.3470
6.820345 85.623 67.3047
6.869768 85.674 67.2620
6.919549 85.725 67.2186
6.969691 85.776 67.1750
7.020196 85.827 67.1316
7.071068 85.878 67.0880
7.122308 85.929 67.0438
7.173919 85.980 66.9990
7.225904 86.031 66.9536
7.278266 86.082 66.9080
7.331007 86.133 66.8626
7.384131 86.184 66.8170
7.437639 86.235 66.7707
7.491535 86.286 66.7240
7.545822 86.337 66.6772
7.600502 86.388 66.6300
7.655579 86.439 66.5822
7.711054 86.490 66.5340
7.766932 86.541 66.4856
7.823214 86.592 66.4370
7.879904 86.642 66.3882
7.937005 86.693 66.3390
7.994520 86.744 66.2893
8.052452 86.795 66.2390
8.110803 86.846 66.1882
8.169578 86.897 66.1370
8.228777 86.948 66.0856
8.288406 86.999 66.0340
8.348468 87.050 65.9822
8.408964 87.101 65.9300
8.469899 87.152 65.8772
8.531276 87.203 65.8240
8.593097 87.254 65.7708
8.655366 87.305 65.7170
8.718086 87.356 65.6622
8.781260 87.407 65.6070
8.844893 87.458 65.5522
8.908987 87.509 65.4970
8.973545 87.560 65.4408
9.038571 87.611 65.3840
9.104069 87.662 65.3272
9.170040 87.713 65.2700
9.236490 87.764 65.2122
9.303422 87.815 65.1540
9.370838 87.866 65.0958
9.438744 87.917 65.0370
9.507140 87.967 64.9773
9.576033 88.018 64.9170
9.645425 88.069 64.8567
9.715320 88.120 64.7960
9.785721 88.171 64.7348
9.856632 88.222 64.6730
9.928058 88.273 64.6108
10.000000 88.324 64.5480
10.072464 88.375 64.4847
10.145453 88.426 64.4211
10.218971 88.477 64.3573
10.293022 88.528 64.2930
10.367610 88.579 64.2278
10.442738 88.630 64.1620
10.518411 88.681 64.0958
10.594631 88.732 64.0290
10.671404 88.783 63.9618
10.748734 88.834 63.8940
10.826623 88.885 63.8258
10.905077 88.936 63.7571
10.984100 88.987 63.6878
11.063695 89.038 63.6180
11.143867 89.089 63.5478
11.224621 89.140 63.4770
11.305959 89.191 63.4059
11.387886 89.242 63.3341
11.470407 89.293 63.2613
11.553527 89.344 63.1880
11.637249 89.394 63.1143
11.721577 89.445 63.0401
11.806517 89.496 62.9653
11.892071 89.547 62.8901
11.978246 89.598 62.8144
12.065045 89.649 62.7380
12.152473 89.700 62.6603
12.240536 89.751 62.5820
12.329235 89.802 62.5038
12.418578 89.853 62.4251
12.508568 89.904 62.3454
12.599211 89.955 62.2650
12.690510 90.006 62.1839
12.782471 90.057 62.1021
12.875097 90.108 62.0199
12.968395 90.159 61.9371
13.062370 90.210 61.8534
13.157025 90.261 61.7690
13.252366 90.312 61.6839
13.348398 90.363 61.5981
13.445127 90.414 61.5119
13.542556 90.465 61.4251
13.640691 90.516 61.3374
13.739536 90.567 61.2490
13.839099 90.618 61.1600
13.939383 90.669 61.0701
14.040393 90.719 60.9789
14.142136 90.770 60.8870
14.244616 90.821 60.7948
14.347837 90.872 60.7020
14.451808 90.923 60.6085
14.556532 90.974 60.5140
14.662014 91.025 60.4185
14.768262 91.076 60.3221
14.875278 91.127 60.2250
14.983070 91.178 60.1271
15.091644 91.229 60.0285
15.201005 91.280 59.9291
15.311157 91.331 59.8286
15.422109 91.382 59.7271
15.533863 91.433 59.6245
15.646428 91.484 59.5211
15.759809 91.535 59.4170
15.874010 91.586 59.3121
15.989040 91.637 59.2060
16.104904 91.688 59.0991
16.221605 91.739 58.9916
16.339155 91.790 58.8831
16.457554 91.841 58.7731
16.576813 91.892 58.6621
16.696936 91.943 58.5505
16.817928 91.994 58.4381
16.939798 92.044 58.3247
17.062551 92.095 58.2101
17.186193 92.146 58.0942
17.310732 92.197 57.9771
17.436172 92.248 57.8591
17.562521 92.299 57.7401
17.689787 92.350 57.6202
17.817974 92.401 57.4991
17.947090 92.452 57.3767
18.077143 92.503 57.2531
18.208138 92.554 57.1282
18.340080 92.605 57.0021
18.472980 92.656 56.8752
18.606844 92.707 56.7471
18.741676 92.758 56.6173
18.877487 92.809 56.4861
19.014280 92.860 56.3539
19.152065 92.911 56.2202
19.290850 92.962 56.0844
19.430639 93.013 55.9471
19.571442 93.064 55.8085
19.713264 93.114 55.6692
19.856115 93.164 55.5293
20.000000 93.213 55.3901
20.144928 93.263 55.2528
20.290907 93.313 55.1171
20.437943 93.363 54.9839
20.586044 93.414 54.8511
20.735220 93.467 54.7181
20.885475 93.521 54.5812
21.036821 93.576 54.4359
21.189262 93.631 54.2832
21.342808 93.685 54.1226
21.497467 93.740 53.9542
21.653246 93.795 53.7776
21.810154 93.849 53.5932
21.968201 93.902 53.3999
22.127390 93.953 53.2022
22.287735 94.002 53.0040
22.449242 94.049 52.8072
22.611917 94.096 52.6151
22.775772 94.143 52.4272
22.940815 94.189 52.2444
23.107054 94.235 52.0662
23.274498 94.282 51.8929
23.443153 94.329 51.7232
23.613033 94.377 51.5575
23.784142 94.426 51.3921
23.956491 94.477 51.2250
24.130091 94.530 51.0522
24.304947 94.584 50.8688
24.481071 94.639 50.6753
24.658470 94.694 50.4706
24.837156 94.749 50.2543
25.017136 94.804 50.0254
25.198421 94.858 49.7843
25.381020 94.910 49.5294
25.564941 94.961 49.2652
25.750195 95.009 48.9952
25.936790 95.056 48.7203
26.124741 95.101 48.4421
26.314051 95.144 48.1624
26.504732 95.184 47.8824
26.696796 95.223 47.6053
26.890253 95.260 47.3350
27.085112 95.295 47.0703
27.281382 95.331 46.8108
27.479073 95.365 46.5583
27.678198 95.396 46.3140
27.878765 95.427 46.0803
28.080786 95.458 45.8622
28.284271 95.490 45.6543
28.489231 95.524 45.4535
28.695675 95.559 45.2583
28.903616 95.594 45.0666
29.113064 95.631 44.8773
29.324028 95.670 44.6898
29.536524 95.710 44.5002
29.750557 95.752 44.3050
29.966141 95.796 44.1022
30.183289 95.840 43.8884
30.402010 95.885 43.6643
30.622314 95.929 43.4290
30.844217 95.973 43.1833
31.067726 96.016 42.9265
31.292856 96.058 42.6624
31.519617 96.098 42.3938
31.748020 96.136 42.1223
31.978081 96.173 41.8508
32.209808 96.210 41.5784
32.443211 96.246 41.3055
32.678310 96.282 41.0314
32.915108 96.317 40.7553
33.153625 96.352 40.4773
33.393871 96.386 40.1975
33.635857 96.419 39.9154
33.879597 96.452 39.6312
34.125103 96.484 39.3444
34.372387 96.515 39.0535
34.621464 96.545 38.7614
34.872345 96.573 38.4705
35.125042 96.600 38.1814
35.379574 96.626 37.8960
35.635948 96.652 37.6123
35.894180 96.678 37.3284
36.154285 96.702 37.0464
36.416275 96.724 36.7677
36.680161 96.745 36.4924
36.945961 96.768 36.2214
37.213688 96.790 35.9534
37.483353 96.810 35.6864
37.754974 96.830 35.4234
38.028561 96.849 35.1674
38.304131 96.867 34.9163
38.581699 96.887 34.6695
38.861279 96.906 34.4264
39.142883 96.924 34.1861
39.426529 96.942 33.9493
39.712231 96.961 33.7170
40.000000 96.980 33.4873
40.289856 96.999 33.2586
40.581814 97.018 33.0313
40.875885 97.037 32.8060
41.172089 97.056 32.5813
41.470440 97.076 32.3560
41.770950 97.095 32.1314
42.073643 97.113 31.9076
42.378525 97.130 31.6863
42.685616 97.148 31.4702
42.994934 97.167 31.2563
43.306492 97.186 31.0418
43.620308 97.204 30.8293
43.936401 97.221 30.6213
44.254780 97.239 30.4153
44.575470 97.259 30.2097
44.898483 97.279 30.0043
45.223835 97.298 29.7980
45.551544 97.317 29.5923
45.881630 97.336 29.3894
46.214108 97.356 29.1863
46.548996 97.377 28.9805
46.886307 97.398 28.7733
47.226067 97.418 28.5652
47.568283 97.438 28.3563
47.912983 97.458 28.1480
48.260181 97.479 27.9383
48.609894 97.500 27.7256
48.962143 97.522 27.5103
49.316940 97.543 27.2923
49.674313 97.564 27.0724
50.034271 97.585 26.8515
50.396843 97.606 26.6283
50.762039 97.627 26.4025
51.129883 97.649 26.1724
51.500389 97.671 25.9364
51.873581 97.692 25.6944
52.249481 97.713 25.4452
52.628101 97.734 25.1904
53.009464 97.753 24.9313
53.393593 97.772 24.6684
53.780506 97.789 24.4036
54.170223 97.806 24.1344
54.562763 97.823 23.8583
54.958145 97.838 23.5784
55.356396 97.850 23.2971
55.757530 97.861 23.0154
56.161572 97.871 22.7357
56.568542 97.880 22.4565
56.978462 97.887 22.1758
57.391350 97.893 21.8975
57.807232 97.896 21.6247
58.226128 97.898 21.3575
58.648056 97.899 21.0972
59.073048 97.898 20.8434
59.501114 97.896 20.5949
59.932281 97.893 20.3544
60.366577 97.887 20.1236
60.804020 97.880 19.9054
61.244629 97.872 19.7031
61.688435 97.863 19.5163
62.135452 97.854 19.3457
62.585712 97.845 19.1913
63.039234 97.836 19.0532
63.496040 97.828 18.9312
63.956161 97.821 18.8260
64.419617 97.816 18.7342
64.886421 97.813 18.6527
65.356621 97.811 18.5811
65.830215 97.810 18.5173
66.307251 97.810 18.4631
66.787743 97.812 18.4201
67.271713 97.816 18.3871
67.759193 97.823 18.3643
68.250206 97.832 18.3490
68.744774 97.844 18.3390
69.242928 97.859 18.3320
69.744690 97.878 18.3271
70.250084 97.900 18.3190
70.759148 97.926 18.3029
71.271896 97.956 18.2761
71.788361 97.989 18.2348
72.308571 98.024 18.1781
72.832550 98.061 18.1042
73.360321 98.100 18.0112
73.891922 98.141 17.8962
74.427376 98.182 17.7603
74.966705 98.223 17.6028
75.509949 98.263 17.4263
76.057121 98.303 17.2324
76.608261 98.341 17.0234
77.163399 98.377 16.8025
77.722557 98.412 16.5695
78.285767 98.448 16.3250
78.853058 98.482 16.0705
79.424461 98.513 15.8070
80.000000 98.543 15.5365
80.579712 98.572 15.2620
81.163628 98.601 14.9815
81.751770 98.629 14.6940
82.344177 98.656 14.4006
82.940880 98.681 14.1017
83.541901 98.704 13.7986
84.147285 98.726 13.4921
84.757050 98.747 13.1836
85.371231 98.766 12.8747
85.989868 98.785 12.5656
86.612984 98.803 12.2577
87.240616 98.820 11.9486
87.872803 98.837 11.6353
88.509560 98.854 11.3206
89.150940 98.868 11.0074
89.796967 98.881 10.6937
90.447670 98.896 10.3797
91.103088 98.912 10.0617
91.763260 98.927 9.7347
92.428215 98.940 9.4027
93.097992 98.952 9.0678
93.772614 98.962 8.7297
94.452133 98.972 8.3886
95.136566 98.980 8.0447
95.825966 98.987 7.6973
96.520363 98.993 7.3498
97.219788 98.996 7.0055
