* Measurement data measured by REW V5.20.13
* Source: C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD560s 2_SPL.txt
* Format: Comma/Tab/Space delimited data
* Dated: Aug 14, 2023 4:48:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\kurin\Desktop\Targets and Curves\Resolve\Img\Files\HD560s 2_SPL.txt Format: Comma/Tab/Space delimited data 623 values loaded, 5 Hz to 39,792 Hz log spaced 
* Measurement: HD560s 2_SPL
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 5.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.000000 66.873 90.8260
5.036232 66.903 90.8000
5.072727 66.936 90.7720
5.109486 66.974 90.7393
5.146511 67.019 90.7020
5.183805 67.072 90.6585
5.221369 67.130 90.6120
5.259205 67.190 90.5659
5.297316 67.253 90.5180
5.335702 67.320 90.4665
5.374367 67.388 90.4140
5.413311 67.456 90.3629
5.452538 67.524 90.3120
5.492050 67.592 90.2606
5.531847 67.659 90.2090
5.571934 67.726 90.1571
5.612310 67.794 90.1050
5.652979 67.862 90.0527
5.693943 67.930 90.0000
5.735204 67.998 89.9467
5.776763 68.065 89.8930
5.818624 68.133 89.8387
5.860788 68.201 89.7840
5.903258 68.269 89.7291
5.946035 68.336 89.6740
5.989123 68.403 89.6187
6.032523 68.471 89.5630
6.076237 68.539 89.5067
6.120268 68.607 89.4500
6.164618 68.674 89.3932
6.209289 68.742 89.3360
6.254284 68.810 89.2783
6.299605 68.878 89.2200
6.345255 68.946 89.1613
6.391235 69.013 89.1020
6.437549 69.080 89.0422
6.484198 69.148 88.9820
6.531185 69.216 88.9217
6.578513 69.284 88.8610
6.626183 69.351 88.7997
6.674199 69.419 88.7380
6.722563 69.487 88.6762
6.771278 69.555 88.6140
6.820345 69.623 88.5513
6.869768 69.690 88.4880
6.919549 69.757 88.4238
6.969691 69.825 88.3590
7.020196 69.893 88.2942
7.071068 69.961 88.2290
7.122308 70.028 88.1633
7.173919 70.096 88.0970
7.225904 70.164 88.0303
7.278266 70.232 87.9630
7.331007 70.300 87.8953
7.384131 70.367 87.8270
7.437639 70.434 87.7583
7.491535 70.502 87.6890
7.545822 70.570 87.6193
7.600502 70.638 87.5490
7.655579 70.705 87.4783
7.711054 70.773 87.4070
7.766932 70.841 87.3353
7.823214 70.909 87.2630
7.879904 70.977 87.1898
7.937005 71.044 87.1160
7.994520 71.111 87.0423
8.052452 71.179 86.9680
8.110803 71.247 86.8928
8.169578 71.315 86.8170
8.228777 71.382 86.7409
8.288406 71.450 86.6640
8.348468 71.518 86.5863
8.408964 71.586 86.5080
8.469899 71.654 86.4293
8.531276 71.721 86.3500
8.593097 71.788 86.2703
8.655366 71.856 86.1900
8.718086 71.924 86.1088
8.781260 71.992 86.0270
8.844893 72.059 85.9448
8.908987 72.127 85.8620
8.973545 72.195 85.7784
9.038571 72.263 85.6940
9.104069 72.331 85.6094
9.170040 72.398 85.5240
9.236490 72.465 85.4379
9.303422 72.533 85.3510
9.370838 72.601 85.2633
9.438744 72.669 85.1750
9.507140 72.736 85.0863
9.576033 72.804 84.9970
9.645425 72.872 84.9069
9.715320 72.940 84.8160
9.785721 73.008 84.7244
9.856632 73.075 84.6320
9.928058 73.142 84.5389
10.000000 73.210 84.4450
10.072464 73.278 84.3505
10.145453 73.346 84.2551
10.218971 73.413 84.1589
10.293022 73.481 84.0620
10.367610 73.549 83.9644
10.442738 73.617 83.8660
10.518411 73.684 83.7669
10.594631 73.752 83.6670
10.671404 73.820 83.5659
10.748734 73.888 83.4640
10.826623 73.956 83.3619
10.905077 74.023 83.2591
10.984100 74.090 83.1551
11.063695 74.158 83.0501
11.143867 74.226 82.9439
11.224621 74.294 82.8370
11.305959 74.361 82.7300
11.387886 74.429 82.6221
11.470407 74.497 82.5126
11.553527 74.565 82.4020
11.637249 74.633 82.2909
11.721577 74.700 82.1791
11.806517 74.767 82.0666
11.892071 74.835 81.9531
11.978246 74.903 81.8381
12.065045 74.971 81.7220
12.152473 75.038 81.6055
12.240536 75.106 81.4880
12.329235 75.174 81.3691
12.418578 75.242 81.2491
12.508568 75.310 81.1286
12.599211 75.377 81.0071
12.690510 75.444 80.8841
12.782471 75.512 80.7601
12.875097 75.580 80.6356
12.968395 75.648 80.5101
13.062370 75.715 80.3832
13.157025 75.783 80.2551
13.252366 75.851 80.1256
13.348398 75.919 79.9951
13.445127 75.986 79.8637
13.542556 76.054 79.7312
13.640691 76.121 79.5972
13.739536 76.189 79.4620
13.839099 76.257 79.3262
13.939383 76.325 79.1891
14.040393 76.392 79.0503
14.142136 76.460 78.9101
14.244616 76.528 78.7686
14.347837 76.596 78.6261
14.451808 76.664 78.4827
14.556532 76.731 78.3381
14.662014 76.798 78.1914
14.768262 76.866 78.0432
14.875278 76.934 77.8938
14.983070 77.002 77.7432
15.091644 77.069 77.5914
15.201005 77.137 77.4381
15.311157 77.205 77.2829
15.422109 77.273 77.1261
15.533863 77.341 76.9683
15.646428 77.408 76.8091
15.759809 77.475 76.6480
15.874010 77.543 76.4851
15.989040 77.611 76.3204
16.104904 77.679 76.1541
16.221605 77.746 75.9865
16.339155 77.814 75.8172
16.457554 77.882 75.6461
16.576813 77.950 75.4731
16.696936 78.018 75.2980
16.817928 78.085 75.1211
16.939798 78.152 74.9427
17.062551 78.220 74.7622
17.186193 78.288 74.5792
17.310732 78.356 74.3941
17.436172 78.423 74.2077
17.562521 78.491 74.0191
17.689787 78.559 73.8279
17.817974 78.627 73.6342
17.947090 78.695 73.4379
18.077143 78.762 73.2391
18.208138 78.829 73.0380
18.340080 78.897 72.8342
18.472980 78.965 72.6276
18.606844 79.033 72.4181
18.741676 79.100 72.2057
18.877487 79.168 71.9902
19.014280 79.236 71.7716
19.152065 79.304 71.5493
19.290850 79.372 71.3228
19.430639 79.439 71.0922
19.571442 79.506 70.8572
19.713264 79.574 70.6173
19.856115 79.642 70.3723
20.000000 79.710 70.1203
20.144928 79.778 69.8594
20.290907 79.845 69.5893
20.437943 79.912 69.3088
20.586044 79.977 69.0182
20.735220 80.041 68.7158
20.885475 80.102 68.4064
21.036821 80.159 68.0911
21.189262 80.213 67.7794
21.342808 80.261 67.4799
21.497467 80.307 67.1963
21.653246 80.352 66.9356
21.810154 80.396 66.6963
21.968201 80.441 66.4804
22.127390 80.488 66.2842
22.287735 80.537 66.1077
22.449242 80.590 65.9421
22.611917 80.648 65.7813
22.775772 80.709 65.6182
22.940815 80.774 65.4434
23.107054 80.841 65.2583
23.274498 80.908 65.0607
23.443153 80.976 64.8523
23.613033 81.045 64.6339
23.784142 81.115 64.4062
23.956491 81.185 64.1709
24.130091 81.257 63.9253
24.304947 81.331 63.6691
24.481071 81.406 63.3974
24.658470 81.483 63.1049
24.837156 81.560 62.7915
25.017136 81.636 62.4552
25.198421 81.711 62.0964
25.381020 81.785 61.7137
25.564941 81.857 61.3104
25.750195 81.924 60.8861
25.936790 81.988 60.4495
26.124741 82.047 60.0081
26.314051 82.102 59.5646
26.504732 82.155 59.1245
26.696796 82.205 58.6875
26.890253 82.253 58.2557
27.085112 82.300 57.8285
27.281382 82.346 57.4073
27.479073 82.391 56.9876
27.678198 82.437 56.5648
27.878765 82.481 56.1396
28.080786 82.523 55.7103
28.284271 82.563 55.2786
28.489231 82.602 54.8453
28.695675 82.639 54.4106
28.903616 82.673 53.9736
29.113064 82.705 53.5386
29.324028 82.733 53.1089
29.536524 82.758 52.6875
29.750557 82.782 52.2792
29.966141 82.805 51.8814
30.183289 82.826 51.4923
30.402010 82.845 51.1145
30.622314 82.863 50.7495
30.844217 82.879 50.3984
31.067726 82.894 50.0631
31.292856 82.909 49.7425
31.519617 82.923 49.4344
31.748020 82.937 49.1433
31.978081 82.949 48.8733
32.209808 82.962 48.6233
32.443211 82.977 48.3954
32.678310 82.994 48.1853
32.915108 83.014 47.9900
33.153625 83.036 47.8072
33.393871 83.061 47.6360
33.635857 83.091 47.4693
33.879597 83.126 47.3024
34.125103 83.165 47.1272
34.372387 83.208 46.9349
34.621464 83.255 46.7233
34.872345 83.303 46.4882
35.125042 83.352 46.2283
35.379574 83.402 45.9402
35.635948 83.451 45.6264
35.894180 83.497 45.2860
36.154285 83.540 44.9265
36.416275 83.579 44.5541
36.680161 83.614 44.1726
36.945961 83.646 43.7857
37.213688 83.674 43.3996
37.483353 83.697 43.0208
37.754974 83.718 42.6516
38.028561 83.737 42.2967
38.304131 83.755 41.9544
38.581699 83.772 41.6242
38.861279 83.788 41.3065
39.142883 83.804 41.0024
39.426529 83.820 40.7094
39.712231 83.837 40.4262
40.000000 83.855 40.1504
40.289856 83.874 39.8789
40.581814 83.893 39.6124
40.875885 83.912 39.3508
41.172089 83.932 39.0934
41.470440 83.953 38.8404
41.770950 83.975 38.5894
42.073643 83.999 38.3394
42.378525 84.024 38.0864
42.685616 84.052 37.8262
42.994934 84.080 37.5584
43.306492 84.107 37.2813
43.620308 84.135 36.9944
43.936401 84.163 36.6960
44.254780 84.191 36.3885
44.575470 84.216 36.0730
44.898483 84.239 35.7525
45.223835 84.261 35.4303
45.551544 84.282 35.1075
45.881630 84.301 34.7860
46.214108 84.319 34.4665
46.548996 84.336 34.1509
46.886307 84.353 33.8375
47.226067 84.370 33.5251
47.568283 84.387 33.2135
47.912983 84.402 32.9020
48.260181 84.417 32.5915
48.609894 84.432 32.2835
48.962143 84.446 31.9755
49.316940 84.461 31.6647
49.674313 84.475 31.3535
50.034271 84.487 31.0440
50.396843 84.498 30.7345
50.762039 84.511 30.4251
51.129883 84.523 30.1125
51.500389 84.535 29.7914
51.873581 84.544 29.4686
52.249481 84.549 29.1480
52.628101 84.552 28.8335
53.009464 84.554 28.5302
53.393593 84.555 28.2375
53.780506 84.555 27.9560
54.170223 84.555 27.6874
54.562763 84.554 27.4353
54.958145 84.554 27.1954
55.356396 84.556 26.9664
55.757530 84.561 26.7434
56.161572 84.567 26.5223
56.568542 84.576 26.2994
56.978462 84.587 26.0705
57.391350 84.599 25.8325
57.807232 84.612 25.5793
58.226128 84.625 25.3155
58.648056 84.636 25.0426
59.073048 84.645 24.7625
59.501114 84.654 24.4774
59.932281 84.661 24.1875
60.366577 84.667 23.8931
60.804020 84.672 23.5965
61.244629 84.675 23.2998
61.688435 84.676 23.0035
62.135452 84.677 22.7092
62.585712 84.676 22.4155
63.039234 84.675 22.1210
63.496040 84.672 21.8275
63.956161 84.667 21.5357
64.419617 84.661 21.2475
64.886421 84.653 20.9651
65.356621 84.643 20.6885
65.830215 84.633 20.4179
66.307251 84.621 20.1555
66.787743 84.607 19.9038
67.271713 84.592 19.6624
67.759193 84.577 19.4327
68.250206 84.562 19.2124
68.744774 84.547 18.9994
69.242928 84.531 18.7954
69.744690 84.515 18.6014
70.250084 84.498 18.4173
70.759148 84.482 18.2436
71.271896 84.466 18.0803
71.788361 84.450 17.9282
72.308571 84.434 17.7863
72.832550 84.420 17.6555
73.360321 84.408 17.5312
73.891922 84.398 17.4098
74.427376 84.389 17.2892
74.966705 84.381 17.1675
75.509949 84.375 17.0412
76.057121 84.371 16.9061
76.608261 84.367 16.7633
77.163399 84.361 16.6114
77.722557 84.353 16.4543
78.285767 84.344 16.2950
78.853058 84.334 16.1353
79.424461 84.321 15.9773
80.000000 84.307 15.8243
80.579712 84.291 15.6801
81.163628 84.273 15.5462
81.751770 84.254 15.4252
82.344177 84.233 15.3182
82.940880 84.212 15.2265
83.541901 84.190 15.1521
84.147285 84.168 15.0980
84.757050 84.146 15.0621
85.371231 84.126 15.0429
85.989868 84.108 15.0420
86.612984 84.089 15.0611
87.240616 84.073 15.0979
87.872803 84.062 15.1533
88.509560 84.054 15.2199
89.150940 84.050 15.2917
89.796967 84.050 15.3658
90.447670 84.054 15.4392
91.103088 84.062 15.5069
91.763260 84.075 15.5640
92.428215 84.091 15.6079
93.097992 84.109 15.6351
93.772614 84.130 15.6440
94.452133 84.153 15.6314
95.136566 84.176 15.5981
95.825966 84.199 15.5427
96.520363 84.222 15.4682
97.219788 84.244 15.3770
